회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
하이데브,정규직,"['UI', '웹디자인', 'UX디자인', 'Figma']","안녕하세요 하이데브 입니다. 공식 현대자동차, 네이버 공식 파트너사 및 협력사로써 특화된 기술 및 소프트웨어를 연구하고 개발합니다. 
개발하는 범주는 일반 소프트웨어 개발 및 특수 AI,Blockchain 분야를 함께 개발합니다. 
서버구축 및 설계 , 화면프레임 레아웃 구성의 개발을 위주로 하이데브는 AWS와도 파트너쉽이 되어있습니다. 
AWS교육은 정기적으로 지원해드리며 함께 높은수준의 개발을 진행하고 팀을 리드하실분을 찾고 있습니다. 
개발분야에 있어서 다양한 교육 및 장비 지원이 있으며 개발의 재능을 마음껏 발휘할수있는 실력과 의지가 있으신분을 채용중입니다.","- 앱 UI 디자인 및 GUI 요소 제작
- 기획서 바탕 UX/UI 방향성 설계
- 피그마를 활용한 디자인 시스템 설계
- 피그마를 활용한 인터랙션 제작
- Photoshop, Illust 활용한 디자인 산출물 제작","- 피그마 경험
- 학력무관
- 경력 5년 이상","- Wireframe, 명세로부터 능동적 UX/UI 구성이 가능하신 분
- 의사소통 능력이 우수한 분
- 프로젝트 전반에 참여하여 방향성을 제시할 수 있는 분",,,,"['UI/UX/GUI디자인', '그래픽디자인', '애니메이션디자인']",['디자인'],"['UI/UX/GUI디자인', '그래픽디자인', '애니메이션디자인']"
리디(주),계약직,"['디자인', '시각디자인', '포토샵', '그래픽디자인', '그래픽', '편집디자인', '웹디자인', '일러스트', '인디자인', '일러스트레이터']",,"[회사 설명]
국내 전자책 점유율 1위를 넘어 글로벌 콘텐츠 산업의 강자로 급부상하고 있는 유니콘 스타트업 리디와 함께 할 당신을 기다립니다.

리디는 2009년 전자책 서비스 '리디북스'를 시작으로, 10년 이상 지속적으로 성장하며 국내외의 고객들에게 전자책, 웹툰, 웹소설 등 다양한 온라인 콘텐츠 서비스를 제공하고 있습니다.

2020년부터는 글로벌 웹툰 구독 서비스 ‘만타(Manta)’를 성공적으로 런칭하여 현재 800만 다운로드를 달성하는 등 북미를 시작으로 글로벌서비스를 확장하고 있습니다. 콘텐츠 산업에서 리디와 함께 성장할 인재라면 지금 도전하시기 바랍니다.


[직무 설명]
- 벤더사의 현지화 납품물에 대한 디자인 검수 및 리뷰
- 벤더사의 현지화 디자이너 교육 및 관리
- 현지화된 웹툰의 후반 디자인 마무리 작업
 > 이미지 수정, 추가, 삭제
 > 식자, 말풍선, 배경 수정","[자격 요건]
- 한영 웹툰 편집 디자인 경험
- 포토샵을 꼼꼼하고 능숙하게 다루실 수 있는 분
- 영어 자격증 보유
- 한영 웹툰 독자이신 분

[우대사항]
- 웹툰 현지화 혹은 유사직무 경험
- 만화 애니메이션 전공자
- 어도비 프로그램 활용 가능자 (일러스트레이터, 인디자인)
- 비즈니스 레벨 수준의 영어 실력",,,,서울시 강남구 역삼동 702-28  어반벤치빌딩 10층,"['일러스트레이터', '출판/편집디자인', '그래픽디자인']",['디자인'],"['일러스트레이터', '출판/편집디자인', '그래픽디자인']"
(주)딥엑스,정규직,"['그래픽', '웹디자인', '콘텐츠제작', '디자인기획', 'photoshop', '로고디자인', 'illustrator', 'UIUX디자인', 'adobe xd', '마케팅디자인']","딥엑스는 인공지능 기술로 인류문명 발전에 기여하고자 세계 최고 수준의 AI 반도체 원천기술을 연구개발 하는 스타트업 기업입니다. 딥엑스의 NPU가 적용될 AI 반도체 시장은 2025년까지 85조 이상의 급격한 성장이 예상되는 거대한 시장으로 우리는 빠르게 변하는 시장에서 기술 리더십을 보유하기 위해 원천기술 확보에 매진하고 있습니다. 우리는 이 도전을 함께 할 열정적인 동료를 찾고 있습니다.

AI 기술이 시대의 패러다임으로 자리잡는 길목에서 동료들과 효과적으로 협업하고 의미 있는 성과를 내기 위해 자신의 재능을 적극적으로 활용하실 분들을 딥엑스로 초대합니다.","딥엑스의 중국영업 담당자는 입사 이후 딥엑스의 중요한 비즈니스 시장인 중국 비즈니스의 전반을 담당하게 되는 중대한 업무를 담당할 예정입니다. 

• 브랜드 아이덴티티 디자인 기획 및 브랜디드 콘텐츠 제작
• 대내외 커뮤니케이션을 위한 디자인 관련 업무 진행
• 고객을 위해 웹/모바일 디지털 환경에서 제품 경험을 설계하는 업무(UIUX 업무)
• 유관부서(기획, 개발, 마케팅)와 협업을 통해 기술 및 제품 관련 마케팅 요소 디자인 
• 로고디자인 및 브랜드 디자인 및 편집, 패키징,그래픽, 웹디자인 진행
• 브랜드 전반의 기획을 바탕으로 크리에이티브한 결과물 도출

※필수 제출서류

- 브랜드 기획 및 Visual 역량을 확인할 수 있는 포트폴리오 (프로젝트별 기여도 표현)","• 학력 : 대졸 이상 (4년)
• 동종 직무 최소 5년 경력
• 디자인 툴(Adobe XD, Photoshop, Illustrator, PowerPoint)을 능숙하게 사용하시는 분
• 모바일/웹 서비스에 대한 이해도가 있는 분
• 브랜드 전반의 기획을 비주얼로 표현할 수 있는 역량이 있으신 분
• 유관부서와 커뮤니케이션하고 협업해서 결과물을 도출할 수 있는 분
• 웹 개발에 이해도가 있으신 분 (html/ css)","• 해당 직무 근무 경력 및 관련 전공 졸업자
• Premiere Pro, After Effects 등 다양한 디자인 툴을 다룰 수 있는 분 
• 브랜드 아이덴티티를 기획하고 디자인 한 경험
• BIBX 혹은 UIUX 전 범위의 디자인 경험을 하신 분 
• B2B 산업에서 브랜드 디자인을 해 본 경험이 있으신 분
• 딥엑스 기술 및 제품에 대한 이해가 있으신 분",,"※복리후생
• 4대보험 (국민연금, 건강보험, 산재보험, 고용보험) 가입
• 업무Tool Kit (최신 사양 노트북, 24~32인치 듀얼모니터, 스탠딩 데스크 등) 제공
• 커피, 티, 두유, 비타음료 등 다양한 바리에이션의 음료와 간식 무한 제공
• 점심, 저녁 든든한 식사 지원
• 생일자 생일축하금(20만원) 지급 및 16시 조기 퇴근
• 기혼자 결혼기념일축하금(20만원) 지급 및 16시 조기 퇴근
• 미혼자 크리스마스축하금(20만원) 지급 
• 설/추석 명절선물비(30만원) 지급
• 경조휴가 및 경조금 지급
• 동반성장을 위한 전 구성원 스톡옵션 부여
• 구성원의 건강증진을 위한 종합 건강검진 지원(연1회)

 복지는 딥엑스의 성장과 함께 지속적으로 업그레이드 됩니다.","경기도 성남시 분당구 판교역로 241번길 20, 미래에셋벤쳐타워 5F","['UI/UX/GUI디자인', '그래픽디자인', '브랜드디자인']",['디자인'],"['UI/UX/GUI디자인', '그래픽디자인', '브랜드디자인']"
(주)베어로보틱스코리아,정규직,"['그래픽디자인', '브랜드디자인', '패키지디자인', 'After effect', '이벤트디자인', 'adobe photoshop', '마케팅디자인', 'Adobe Illustrator', '외국어(영어)', 'adobe premiere']","""Smart Hospitality""를 목표로 로봇이 만들 새로운 세상을 이끌어갈 베어로보틱스에서 각 분야 최고 수준의 훌륭한 멤버들과 함께 새로운 역사를 만들어 갈 동료를 기다립니다.

지금까지의 성장 노하우와 뛰어난 기술력을 바탕으로 ‘서빙’ 이 필요한 다양한 사업에 진출할 예정이며, 안정적인 재정 기반 아래, “자율주행 서빙 로봇”의 성장에 박차를 가해주실 분을 찾고 있습니다.

실리콘밸리의 문화를 경험하며, 함께 성장하고, 미래의 로봇을 만들어갈 동료를 기다립니다.

- “구글을 박차고 나와 순두부식당을 운영하면서 실리콘밸리 생존법을 배웠죠.”,  
https://www.hankyung.com/economy/article/2021072855881 

- 베어로보틱스, 1천억 규모 시리즈B 투자유치
https://www.mk.co.kr/news/it/view/2022/03/239865

- 로봇 스타트업 직원들이 말하는 회사의 모든 것(with 한국 곰 from ‘베어’로보틱스)
https://www.youtube.com/watch?v=WdKJFlegrKI","• 브랜드/ 마케팅 자료 디자인
- 베어로보틱스 브랜딩 시스템 및 비주얼 에셋 개발/관리
- 온/오프라인 이벤트 제작물 디자인 및 외부 제작물 검수
- 내/외부 채널에서의 콘텐츠 시각화
- 엑스포, 이벤트 부스 그래픽 디자인 

• 패키지 디자인
- 로봇 및 악세사리 패키지 및 매뉴얼 디자인","• 3년 이상 경력
• 다양한 팀과 협업한 경험
• 외주사 소통 및 관리 경험
• 영어 의사소통 가능자","• 오프라인 디자인 제작 경험
• 자신이 만든 디자인이 사용자에게 전달 되었던 경험
• 브랜딩 리디자인 경험",,"우리는 이렇게 일하고 있어요!

- We have GOOD HABITS -

우리는 좋은 습관은 지키고, 나쁜 습관을 줄이기 위해 노력합니다. 어제보다 나은 우리를 위해!
- 서로를 배려합니다.
- 상대방의 입장에서 생각합니다.
- 새로운 것을 배웁니다.

- We are having FUN -

우리는 행복해지기 위해 일합니다. 모두가 재미있게 일할 수 있는 업무 환경을 구성합니다.
- 8시~11시 자율 출퇴근 (8시간 근무)
- 식사비 제공
- 간식 무제한 제공

- We FOCUS on work -

우리는 효율적이고 효과적으로 일합니다.
- 고사양 랩탑, 4K 모니터 및 주변기기 지원
- Stock Option, 인센티브 지급
- 영어교육 지원, 종합건강검진, 경조사비/경조휴가 등",서울 성동구 뚝섬로 1길 10,"['그래픽디자인', '브랜드디자인']",['디자인'],"['그래픽디자인', '브랜드디자인']"
(주)디파이,정규직,"['GUI', '디자인', '시각디자인', '그래픽디자인', '웹디자인', 'UX디자인', 'UI디자인', 'UIUX디자인']","DFZ에서 운영 디자이너를 모집합니다.
DFZ는 디파이의 자회사로 디파이 신사업 부문에서 분할하여 설립되었으며,
커머스 사업을 비롯하여 지속적으로 신규 사업을 확장하고 있습니다.
DFZ와 함께 성장할 열정 있는 디자이너 분들의 많은 관심 부탁드립니다.","• PDP(Product Detail Page) 관련 서비스 제작 및 디자인
• Web, Mobile 사이트 운영 개선 디자인","• 경력 : 경력 2년 이상
• Visual 디자인 경험과 디자인을 논리적으로 표현할 수 있는 능력을 보유한 자
• Figma, Adobe, Sketch, Zeplin 등 디자인 툴 활용에 대한 경험과 이해를 갖춘 자
• 동료 및 이해관계자 간의 유연한 커뮤니케이션 능력을 보유한 자","• 커머스 비즈니스 관련 서비스 제작 및 운영 경험
• 웹에이전시 근무 경력","서류전형 - 면접전형 - 최종합격 

* 전형절차는 내부 사정에 따라 변경될 수 있습니다.","• 리프레시 데이(매월 마지막 주 금요일) 조기 퇴근
• 탄력 근무제 (8시반~10시반 사이 출근)
• 연간 50만 원 자기계발비 지원
• 명절 상여 및 각종 경조금 지급
• 근속 포상 (3년 이상 근속 시 100만 원 지급)
• 만 24개월 근무 시 2주 Refresh 휴가
• 업계 최고 수준의 인프라
• 건강검진, 4대보험 가입, 퇴직금(1년 이상 근속 시) 지급
• 정부 지원금 지급 - 중소기업 취업 청년 소득세 감면 혜택",서울 강남구 강남대로140길 20,"['UI/UX/GUI디자인', '그래픽디자인', '웹디자인']",['디자인'],"['UI/UX/GUI디자인', '그래픽디자인', '웹디자인']"
(주)프레인글로벌,정규직,"['영상편집', '모션그래픽', '프리미어', '영상디자인']","섬세이는 자연의 특징, 현상, 더 나아가 기능까지 제품에 담아 우리가 원할 때 원하는 곳에서 자연을 늘 마주하고자 합니다. 
동시에 자연을 온전히 마주할 수 있는 공간, 전시, 캠페인을 전개하고 있습니다.","섬세이의 활동을 촬영, 영상 편집하여 일관된 경험을 선사합니다.
• 제품 영상 촬영/편집
• 팝업스토어 등 오프라인 행사 촬영/편집
• 브랜드 영상 촬영/편집

* 필수 제출서류 
1. [중요] '나는 어떻게 살다 가고 싶은가'를 생각해보고 적어 제출해주세요. (분량 자유)
2. 자기소개서 및 경력기술 포함 이력서
3. 포트폴리오 제출 필수 / 5MB미만
     동영상 링크 및 참여 영역을 기재하여 제출해 주세요.","• 2~5년차, 학력 무관
• 촬영 장비를 사용하여 촬영부터 소프트웨어를 활용하여 편집까지의 경험이 있으신 분
• 남자의 경우 병역필 또는 면제자
• 신용 정보 보호 및 이용에 관한 법률상에 결격 사유가 없는 분
• 기타 취업 규정이나 법령에서 정하는 결격 사유가 없는 분",,서류전형 -> 면접전형 -> 처우협의 -> 최종합격,"• 기본 복리후생 (4대 보험 가입, 퇴직금, 경조금 지급, 연차 및 휴가 지급)
• 생일ME (오후 5시 조기 퇴근)
• 패밀리데이 (매주 금요일 오후 5시 조기 퇴근)
• 다양한 지원비 제공 (운동 지원비, 도서 지원비, 문화 지원비 제공)","서울 중구 칠패로 37, 12층, 14층","['그래픽디자인', '영상/모션디자인', '웹디자인']",['디자인'],"['그래픽디자인', '영상/모션디자인', '웹디자인']"
아주큐엠에스(주),정규직,"['Javascript', 'UX디자인', 'HTML', '웹디자이너', 'UI디자인', '퍼블리셔', 'adobe', '웹사이트 구축']",,"- Web/Mobile UI/UX 디자인
- 다양한 디자인 도구를 활용한 그래픽 디자인
- 반응형 웹 사이트 구축/유지보수(퍼블리싱 포함)","- Adobe 툴, 협업 툴 능숙자 
- html, css, javascript, jQuery 등 퍼블리싱 가능자
- 반응형 웹, 웹 표준, 웹 접근성에 대한 이해 및 경험자
- 원활한 커뮤니케이션 능력 보유자

# 포트폴리오 제출 필수(기여도 기재)",,서류전형-1차면접-최종합격,,서울시 서초구 강남대로 351 청남빌딩 8층 ,"['UI/UX/GUI디자인', '그래픽디자인', '웹디자인']",['디자인'],"['UI/UX/GUI디자인', '그래픽디자인', '웹디자인']"
(주)더워터멜론티더블유씨,정규직,"['브랜딩', '그래픽디자인', '타이포그래피', 'adobe photoshop', 'indesign']","더워터멜론은 신선한 생각과 잘 익은 솔루션으로 세상의 브랜드와 비즈니스에 임팩트 있는 브랜드 경험을 만들고 있는 브랜드 하우스입니다.

2017년 설립 이래 글로벌 및 국내 유수 브랜드의 브랜드 컨설팅 & 캠페인 프로젝트를 진행하고 있으며, 
스몰 브랜드를 위한 플랫폼 `아보카도’, 국내 최대 브랜드 경험 플랫폼인 ‘Be my B’를 운영하며 탄탄한 브랜드 전략을 바탕으로 비즈니스에 가시적 성과를 만들어 내는 크리에이티브와 임팩트 있는 브랜드 경험을 만들어가고 있습니다.

특히, 더워터멜론 캠페인 그룹은 의미 있는 결과물을 통해 지난 9월 발표된 
Korea’s Hottest Agencies 2023에 6위로 선정되었습니다. 
이에 계속해서 성장세를 이어가며, 함께 Visible Impact를 만들어갈 Gap Breaker들을 찾고 있습니다.","• 캠페인 아이디어 제안 및 실행 (KEY 컨셉 도출, KV & DA 개발, 디지털 캠페인, IMC등)
• 경쟁 PT 참여/선 제안 참여
• 그 외 회사가 요구하는 내부 프로젝트","• 5년 미만 경력
• 뻔한 캠페인이 아닌 진정한 크리에이티브를 만들고 싶은 분
• 만화, 영화, 소설, 시 등 다양한 장르의 콘텐츠를 즐기는 분
• 종합광고 대행사/ 디지털 에이전시에서의 경력",• 브랜드 매니저 (BM) / 컨설팅 회사 / 리서치 회사 / 광고 대행사 AP 경험이 있으신 분 우대,,"• Early Friday (매주 금요일 오전 근무)
• 휴가비 지원
• 브랜드 커뮤니티 Be my B 모든 세션 참가비 지원
• 분기별 업무 성과 우수자 시상","서울 강남구 언주로 727, 2층","['그래픽디자인', '브랜드디자인']",['디자인'],"['그래픽디자인', '브랜드디자인']"
코코네엠(주),정규직,"['그래픽디자인', 'UI디자인', '콘텐츠디자인', 'adobe photoshop', 'slack', '리더쉽']","Avatar Life Beyond Your Universe
가능성을 뛰어넘은 세상을 만들어 가는 Cocone M!

우리는 사람들의 삶과 이상을 연결합니다.  
코코네 M이 만든 Digital World에서 무엇이든 누구든 될 수 있는 완전히 새로운 Life를 선사합니다. 
Virtual Life에서 당신의 이상을 실현해보세요!

우리는 세상과 연결되는 새로운 방법을 그리고 있습니다.
혁신적인 기술과 글로벌 커뮤니티를 바탕으로, 가능성을 넘어 이전에 없던 Digital World를 창조해 갑니다.


[우리 팀을 소개합니다!]
안녕하세요! 저는 코코네M MLD팀에서 UXUI를 맡고 있는 디자이너입니다.
 

저희 팀에서는 귀엽고 아기자기한 아바타 소셜 서비스의 운영 디자인과 재미있는 신규 컨텐츠 구상 등을 진행하고 있어요.
제가 합류하며 제일 좋았던 점은 다양한 세계관과 멋진 아트웍을 활용해서 서비스에 꼭 필요한 이미지를 만들 수 있다는 것이었어요.
여러 유관 부서와의 커뮤니케이션으로 따뜻한 업무 환경을 만나보실 수 있고,
새로운 기획에 참여해서 여러가지 의견을 자유롭게 공유하며 배우고 성장할 수 있는 곳이랍니다!
이외에도 다양한 외국인 크루가 함께 일하고 있고, 다들 너무 좋은 분들이셔서 즐거운 분위기로 일할 수 있어요.

앞으로 저희와 함께 성장하고 즐겁게 일하고 싶은 분들을 기다리고 있습니다. 
Cocone M, 그리고 MLD 컴퍼니와 함께하실 분들, 많이 지원해주세요!","• 팀 스케쥴 관리(파트장)
• 80%: 라이브 서비스 운영에 필요한 전반적인 이미지 디자인 작업을 진행해요.
   - 공지, 프로모션, SNS 마케팅용 이미지 그래픽 디자인 등이 해당돼요.
   - * 아바타를 위한 아이템 그래픽 디자인은 해당되지 않아요.
• 20%: 신규 콘텐츠의 UI 및 UX 개선 작업을 진행해요.
   - UI가 대부분이며, 소량의 UX 개선을 진행해요.","• 팀을 이끌어 본 경험이 있거나, 리더십이 있으신 분을 희망해요.
• 소셜 서비스 디자인 경험이 있거나 이해도가 있어요.
• Adobe 그래픽 툴(Photoshop)을 자유롭게 사용할 수 있어요.
• 서비스의 목적과 사용자에 대한 깊이 있는 이해도가 있어요.
• 다양한 컨셉의 아이디어를 구체적으로 시각화할 수 있어요.
• 원활하게 커뮤니케이션이 가능하며, 다양한 직군과의 협업 경험이 있어요.
• 내가 맡은 일에 책임감이 강하고 섬세해요.","• 아바타 소셜 서비스에 대한 이해도가 있거나 관심이 있다면 더 좋아요.
• 글로벌 서비스에 대해 관심이나 경험, 이해도가 있다면 더 좋아요.
• 에이전시 경력이 있는 분이라면 더 좋아요.
• 다양한 플랫폼에 대한 관심이나 이해도가 있다면 더 좋아요.",,"[몸과 마음 모두 즐겁도록]

• 호텔 출신 셰프님들이 정성껏 차려주신 아침.점심.저녁을 마음껏 먹을 수 있는 사내 레스토랑 ""델리""
• 다양하고 건강한 간식과 음료를 반값으로 즐길 수 있는 스낵바 “알콩달콩”
• 기분 좋은 급여일에 동료들과 함께하는 여유로운 식사 ""점심시간 2시간""
• 특별한 날에 즐거운 시간 ""생일/기념일 휴가""
• 5년 장기 근속 구성원에게 부여되는 한달간의 유급 휴가 “하이파이브”
• 일반 진료, 정기 검진, 다이어트·금연 프로그램이 운영되는 사내 부속 의원 ""CMC 메디컬센터""

[주체적으로 성장할 수 있도록]

• 직무 스킬 및 역량 향상을 위한 강의, 컨퍼런스, 세미나 수강 지원 ""하.다 프로젝트""
• 소설, 에세이 등 다양한 분야의 북 서비스(E-book 포함) ""북적북적”
• 글로벌 역량 강화를 위한 사내 Language Director가 제공하는 영어 트레이닝 ""GCT""",서울 강남구 학동로9길 19,"['UI/UX/GUI디자인', '그래픽디자인']",['디자인'],"['UI/UX/GUI디자인', '그래픽디자인']"
(주)클로버추얼패션,정규직,"['시각디자인', '포토샵', '그래픽디자인', '브랜드디자인', '그래픽', '일러스트레이터']","클로버추얼패션(CLO Virtual Fashion Inc.)은 3D 의상 소프트웨어(CLO3D / Marvelous Designer)를 만들고, 3D 의상 데이터 플랫폼(https://www.clo-set.com) 시장을 선도하고 있는 패션 Tech 기업입니다.
루이비통, 아디다스, 나이키, 프라다와 같은 글로벌 패션 기업뿐만 아니라, EA, UbiSoft, Koei, Disney, Lucas Film 등 세계적으로 유명한 게임, CG회사들에서도 저희 소프트웨어를 사용하고 있습니다. 애니메이션 ‘겨울왕국’의 주인공 ‘엘사’의 다양하고 화려한 의상을 구현한 것도 저희 솔루션 통해 이루어졌으며, 전 세계적으로 큰 화제가 된 바 있습니다.

본사는 서울 역삼역 부근에 있지만, 뉴욕, LA, 뮌헨, 상하이, 벵갈로르 등 10개 지역에 오피스가 있습니다. 전체 직원의 약 50%가 해외 패션 디자이너들과 마케터들이며, 개발자들과 늘 함께 소통하며 일합니다.","•  CLO Virtual Fashion 및 개별 프로덕트의 공식 홈페이지와 다양한 채널 (인스타그램, 페이스북, 링크드인, 유튜브, 틱톡 등)에 게시할 디지털 콘텐츠 제작
•  Brand Communications Manager와 협력하여 콘텐츠 방향성 및 세부 사항 결정
•  소셜 콘텐츠 트렌드 리서치 및 트렌드 결과 콘텐츠 적용
•  CLO Virtual Fashion 및 개별 프로덕트의 대내외 공식 브랜드 가이드라인, 템플릿 및 기타 콘텐츠 제작
•  회사 대내외 행사를 위한 Event Material 제작   ","•  디지털 콘텐츠 기획 및 제작 경력 2-3년 이상  
•  타이포그래피, 레이아웃, 그리드 등 시각 디자인에 대한 높은 이해도 보유
•  콘텐츠 기획과 기획에 맞는 컨셉 도출 및 완성도 높은 그래픽 표현
•  Illustrator, Photoshop 등 디자인 편집 툴 활용 능력
•  편집 관련 영상 업무툴 (Final Cut Pro, Premiere Pro, After Effects) 사용 능력
•  다양한 소셜 미디어 채널과 최신 미디어 트렌드에 대한 높은 이해도 보유
•  글로벌 팀과 명확한 소통을 할 수 있는 영어 활용 능력","•  독립적인 업무 수행: 1인 콘텐츠 제작 경험을 보유하거나 콘텐츠 제작 전반을 경험해본 분
•  유관 전공자 (시각 디자인, 컴퓨터 그래픽, 산업 디자인 등)
•  애자일하고 빠른 사이클의 업무 환경에 대한 경험","[서류 검토] -> [과제 제출] -> [1차 인터뷰] - > [2차 인터뷰] -> [3차 인터뷰] -> [처우 협의] -> [최종 합격]

* 본 채용은 과제가 포함된 전형입니다. 과제에 대한 구체적인 내용은 서류 합격 시 별도로 안내할 예정입니다.

※ 지원하실 때 아래 서류를 제출해주세요
- 자기소개서가 포함된 경력기술서 국/영문 각 1부
- 작업물이 담긴 포트폴리오 (각 작업물을 제작하는 데 수행한 Role, 기여도를 명시)","[혜택 및 복지]

• 개인장비: 듀얼 모니터와 데스크탑/랩탑 혹은 MacBook/iMac (3년마다 업그레이드)
• 자기계발: 자기계발 및 체력단련 비용, 도서 구입비, 최신 툴, 동아리 지원금
• 식사, 간식: 중식 제공, 고급 커피 제공, 간식
• 연차, 휴가: 경조사 휴가, 건강검진 휴가, 법정 연차휴가, Year-end holiday (12/25~1/1)
• 근무 형태: 유연 근무제, AM 07 ~ 10 to PM 04 ~ 07
• 보험, 의료: 대형 병원 건강검진, 경조사비, 4대 보험
• 기타: 웰트리 복리후생(복지포인트, 명절 선물)


[Culture]

▶Flexible Work Schedule “우리 모두의 Working Time은 다 달라요.”
• 오전 7시 ~ 10시 내에 자유롭게 출근을 하는 문화를 갖고 있어요. 개인과 팀마다 업무에 집중할 수 있는 시간대는 다르므로, 자유롭게 출퇴근을 하고 있어요.
• 더불어, CLOver는 다양한 time zone에서 일을 하고 있어요. 만약 시차로 인해 밤에 미팅이 있다면, 다음 날은 늦게 출근을 하거나 일찍 퇴근을 하며 업무 시간을 자유롭게 조율해요.

▶Over Communication “항상 active하게 소통하고 공유해요.”
• 전세계 CLOver들과 Slack으로 업무를 공유하고 소통하고 있어요. 최대한 모든 Slack의 Channel은 공개적으로 운영하고 있기 때문에, 관심이 있거나 궁금한 Project가 논의되고 있는 Channel에 언제든지 참여할 수 있어요.
• 분기마다 모든 팀이 시도했던 업무와 성과, lesson learned을 공유하고 있어요. CLOver들은 전 세계에 있기때문에, 영상을 통해 공유를 하고 있어요. 
• Non hierarchy를 지향해요. 직급/직위로 소통하는 것이 아닌 각자의 영어 이름으로 소통을 하고 있고, 누구나 아이디어와 의견을 자유롭게 제시할 수 있어요.

▶No Limitation “CLO에서는 무엇이든 가능해요”
• CLO에서는 여러가지 시도와 도전을 해보는 것을 무한 응원해요. 그동안 해보지 않았던 일들을 CLO에서는 마음껏 재미있게 시도해볼 수 있어요.

▶Refresh “누구에게나 재충전과 휴식은 필요해요.”
• 휴가를 내실 때에 별도의 승인 절차가 없어요. 사전에 팀원들과 일정을 공유 및 조율하신다면, 언제든지 자유롭게 휴가를 사용할 수 있어요.
• 잠시 복잡한 서울을 떠나, 제주도 오피스에서 한 달동안 근무를 하실 수 있어요. 일명 ""제주 한 달 살기""에 나서실 때 가족끼리 머무시기에 부족함 없는 사택과 왕복 항공권 또한 지원해 드려요.
• 물론 제주도로 개인 휴가를 떠나실 때에도, 사택을 이용하실 수도 있어요.


[Benefits and Perks]

▶Keep growing “자기계발비와 업무에 필요한 리소스를 아낌없이 지원해드려요.”
CLO는 CLOver의 성장을 무한 응원해요. 직무 관련한 학습을 위한 자기계발비를 지원 드리고 있어요. 이 외에도, 업무에 필요한 tool도 최대한 아낌없이 지원해드리고 있어요.

▶Healthier Life “건강이 가장 중요해요.”
일도 중요하지만, 건강이 가장 중요해요. 매년 건강검진을 지원해드리고 있으며, 건강검진을 다녀오신 날에는 휴가(1day)를 드리고 있어요.

▶Meals & Snack “밥은 항상 잘 챙겨 먹어야 해요.”
아침 샐러드바, 점심 식사 및 간식비를 지원해드리고 있어요. 물론, 불가피하게 야근을 하게 되셨을 경우 저녁 식대 역시 당연히 지원해드리고 있어요.

클로버추얼패션에 대해 궁금한 점은 이메일(career@clo3d.com)으로 문의주세요.","서울 강남구 테헤란로152, 42층","['광고/시각디자인', '그래픽디자인', '브랜드디자인']",['디자인'],"['광고/시각디자인', '그래픽디자인', '브랜드디자인']"
