회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
(주)칼라일플루이드테크놀로지스코리아,정규직,"['프로젝트관리', '기계설비', '프로젝트매니저', '캐드', '설치', 'AS', '대인관계']",,"기계 설비의 준비 및 현장 설치 관리									
기존 설치된 설비의 A/S 대응 및 관리									
※ 주요 고객사 : 현대자동차, 기아자동차									
","학력 무관									
군복무 의무가 종료된 자									
신입 ~ 대리급 지원 가능 (~경력5년)									
캐드(2D, 3D) 가능한 자									
기계설비 관련 전공 또는 경험 필요(직업학교 교육수료 등)									
","운전면허 1종 보통 소지자									
업무 관련 경력 및 자격증 보유자									
지방 출장 및  휴일근무에 거부감이 없는 자									
대인관계가 원활한 자									
프로젝트 진행 경험이 있는 자									
",,"""• 4대보험 가입
• 자유로운 연차 사용
• 매년 복지포인트 지급
• 본인 및 가족생일 선물 지급
• 명절 선물 지급
• 경조사비 지급
• 운전자보험 및 질병./상해보험 가입(보험료 회사 부담)
• 정기 건강검진(검진비용 최소 30만원 이상/검진비 회사 부담)
• 장기근속자 격려금 지급
• 점심식사 제공
• 야근식대 지원
									
									
									
","경기 안산시 단원구 만해로 205, B동 710호",['기계/기계설비 '],['생산/제조'],['기계/기계설비 ']
씨와이오토텍(주),정규직,"['품질관리', '개선', '제어', '문서관리', '품질검증']","씨와이오토텍은 2006년에 설립된 회사로 자본금 9억원, 2022년 매출액 274억 3,060만원, 사원수 72명 규모의 고용노동부에서 선정한 강소기업으로서, 30년 전통의 자동차부품 제조사이긴 하지만 스타트업의 마인드로 새로운 10년을 준비하는 기업으로 ""적층제조 기술기반의 Smart 모빌리티 분야에 기여하는 히든챔피언 기업으로 성장""을 목표로 노력하고 있습니다.

적층제조는 3D 프린팅 기술을 말하는 전문용어로, 당사는 금속 적층기술을 활용해 대량양산을 가능하게 하는 장비와 공정기술을 개발중에 있습니다.
앞으로 공익의 목적을 가지고 한국 제조업의 체질개선에 기여할 수 있는 리더를 기다립니다.","■ 담당업무

ㆍ 설비 보전계획 수립: 설비 보전에 필요한 전반적인 계획을 수립하고, 그 계획을 시행 합니다. 
     이는 각 설비의 수명, 예방적 유지보수의 주기, 그리고 중요한 수리나 업그레이드 작업을 수행합니다. 

ㆍ 실적관리: 보전 작업의 진행 상황을 추적하고, 이를 통해 보전 계획이 효과적으로 시행되고 있는지
     확인합니다. 이 과정에서 발생하는 문제점을 파악하고, 개선 방안을 모색 합니다. 

ㆍ 팀 관리: 보전 팀원들의 업무를 조정하고, 필요한 교육 및 훈련을 제공합니다.

ㆍ 예산관리: 보전 부서의 예산을 관리하고, 필요한 설비 구입이나 업그레이드, 수리 작업 등에 대한
     비용을 추정하고 통제합니다. 

ㆍ 안전관리: 설비 보전 작업이 안전하게 이루어지도록 관리하고, 모든 팀원이 안전 지침을 준수하도록
     합니다. 또한 위험요소를 평가하고 줄이기 위한 전략을 수립합니다. 

ㆍ 품질관리: 보전 작업이 기계의 성능과 품질을 유지 또는 향상시키도록 관리합니다. 또한 장비의 
    성능을 모니터링하고, 가능한 문제를 조기에 발견하고 해결하는데 중점을 둡니다. 	

ㆍ CMMS 개발에 참여합니다. ","ㆍ (공통) 학력 : 초대졸이상

ㆍ (공통) 경력 : 경력 5년 이상(과장급)

ㆍ 관련 분야의 학사 학위 이상 소지자

ㆍ 설비보전, 유지관리 또는 설비 엔지니어링 관련 분야에서 3~5년 이상의 경력
ㆍ CMMS 또는 관련 소프트웨어 사용 경험
ㆍ 팀을 이끌고 협업을 통해 목표를 달성할 수 있는 리더십 보유
ㆍ 탁월한 문제 해결 능력 및 의사소통 능력
ㆍ 설비 및 기계에 대한 깊은 이해와 예방적 및 수리 유지보수 계획을 개발하고 실행할 수 있는 능력

ㆍ  제출서류(최종적으로 이런 서류를 제출해야 해요)
      - 범죄사실 증명서  
      - 졸업 증명서
      - 직전 회사의 경력증명서
      - 건강상태 증명서
      - 기본증명서 & 가족관계증명서
      -  4대보험납부 증명서","ㆍ학교전공

    - 관련분야 석사 학위 소지자
    - 산업공학, 기계/자동차/조선공학, 전기/전자공학
    - 기계정비산업기사, 전기기사, 시설물유지관리사
    - 군전역간부, 석사학위 수여자, 차량소지자

ㆍ자격증
    - 산업기사 
    - 기계설비보전기술사
    - 전기기사
    - 유지관리사

ㆍ기타 
    - 자동차 제조업 분야 업무 유경험",서류전형 ＞ 온라인사전조사 ＞ 비대면면접(직무능력확인) ＞ 대면(인성확인) ＞ 업무적합성평가시험 ＞ 이전회사평판조회 ＞ 최종합격,"1.  매월 개인발전에 사용할 수 있는 유급 10시간을 제공합니다. 	
2. 당사의 진급시스템은 능력에 따라 진급 속도가 달라지며, 추가적인 인센티브를 제공합니다. 	
3. 회사에서 배운 기술은 퇴직 후 다시 사용할 수 있을 정도의 완성도 있는 교육 프로그램을 제공합니다. 	
4. 탄력근로제를 적용하여 개인 여가시간을 확보할 수 있습니다. 	
5. 매일 건강한 중식을 제공합니다. 	
6. 업무에 집중할 수 있는 깨끗한 업무환경을 제공합니다. 
7. 입사선물",경기 화성시 봉담읍 덕우리 146-3,['기계/기계설비 '],['생산/제조'],['기계/기계설비 ']
램텍(주),정규직,"['로봇', '기계', '장비관리', '메카트로닉스']","램텍은 2003년에 설립된 회사로 자본금 2억원, 매출액 79억9천, 사원수 21명 규모의 고용노동부에서 선정한 강소기업입니다. 서울 구로구 디지털로26길 111(구로동 제이앤케이디지털타워)에 위치하고 있으며, 방사선계측장비 설치 및 유지보수사업을 하고 있습니다.","N&R 사업부 엔지니어 분야
-대형 연구시설 유지보수(중이온, 양성자,포항가속기 등)
1. 연구시설의 주간점검, 월감점검 등
2. RMS 설치 지원","학력 : 대졸이상
전공 : 이공계 4년제 졸업자 또는 이공계부문 기사자격증 이상 보유자
경력 : 경력2년이상
운전가능자","전지, 전자장비 설치, 유지보수 경력2년이상 우대
MS-o=Office 활용능력(엑셀,PPT), 솔리드 웍스, CAD 가능자 우대
영어회화 가능자 우대
전지,전자,기계 관련 산업기사 이상 우대
지방출장 가능자, 야외 현장작업 가능자 우대",서류전형-1차면접-최종합격,"국민연금, 고용보험,산재보험,건강보험,퇴직연금, 상해보험,실비보험
주5일제, 연차제도, 경조휴가,반차제도, 출산휴가, 육아휴직, 남성출산휴가, 노동절휴무, 반반차제도, 자유로운휴가문화, 주말휴무
경조금, 인센티브, 장기근속 포상, 우수사원포상제도, 임직원 교육비, 휴일근로수당, 연월차제도수당, 직책수당, 자격증수당, 명절선물/명절상여, 야간교통비 지급, 휴가비, 청년내일채움공제, 회사 차량지원, 회식비 지원
신입사원교육, 직무능력향상교육, 자격증취득지원, 멘토링제도, 수평적문화, 유연근무제, 임산부 근로시간닥축, 주40시간, 칼퇴권장
휴식공간, 주차장, 쾌적한 업무공간, 탕비실
점심 식사 지원, 저녁식사지원, 근무복 지원, 휴양시설, 음료/간식 제공, 코로나 지원
여름휴가, 상여금, 자유복장, 회의실, 우수사원시상식, 야근강요안함, 노트북, 회식강요 안함, 회사차량 있음, 수평적 조직문화, 사무용품지급","서울 구로구 디지털로26길 111, 1003호 (구로동,제이엔케이디지털타워)",['기계/기계설비 '],['생산/제조'],['기계/기계설비 ']
(주)제노스,정규직,"['제조', 'MES', '기계', '제조 설비 디스플레이']","Vision 1 최고의 제품과 서비스
매년 매출의 약 20%를 R&D에 투자, 우수한 국내외 연구진 확보와 신제품 개발로
세계 최고의 제품을 준비하고 있습니다.

Vision 2 인류의 건강 증진
‘좋은 제품이 널리 쓰이게’하여 더 많은 수의 사람들이 제노스를 통해
건강을 유지할 수 있도록 세상에 기여합니다.

Vision 3 세계 최고의 의료기기 회사
많은 사람들의 ‘건강한 삶’을 도우며 세계 최고의 의료기기 제조사로 성장하겠습니다.","[자동화설비 관리]
ㆍ신규 제조설비 도입
ㆍ제조설비 유지보수
ㆍ제조설비 개선/보완
ㆍ스마트팩토리 및 MES 연계구축","ㆍ전공 : 기계, 전기, 전자, 제어, 공학
ㆍ제조설비 생산기술 PROJECT 수행 경력 3년 이상
ㆍ제조설비 유지보수 경력 3년 이상
ㆍ제조설비 제작 경력 2년 이상","ㆍ의료기기 생산시설 구축 경력
ㆍ제조업 생산기술/설비보전(공무) 경력
ㆍ전기전자 / 기계 설계 관련 자격증 보유
ㆍPLC 작성/분석/수정 가능",서류전형-인성검사-실무면접-최종합격,"건강검진, 경조사지원
장기근속포상, 명절선물 및 상여, 월인센티브, 반기/연말성과급지급
신사옥, 주차장, 구내식당 및 카페테리아, 피트니스센터, 탁구장, 풋살장, 사내도서관, 근무복지급
경조휴가, 배우자출산휴가, 연차 외 유급 하계휴가
영업직 식대지원 및 차량유류대 법인카드 지급",경기도 수원시 영통구 창룡대로 256번길76(이의동)  덴티움 지식산업센터 12층(16229) ,['기계/기계설비 '],['생산/제조'],['기계/기계설비 ']
(주)덴티움,계약직 (정규직 전환 가능),"['생산', '포장', '자동화설비']","하였습니다.

덴티움의 주력 제품은 국내 최초 특수 표면처리 기술(SLA)이 적용된 임플란트 제품이며, 22년 이상의 장기 임상데이터 보유와 함께 뛰어난 생체 친화적인 표면처리 기술을 통해 외형적인 심미성 뿐만 아니라 임플란트 식립 후 체결성, 안정성, 호환성에 있어 뛰어난 장점을 갖고 있습니다. 또한, 임플란트 시술에 필요한 수술도구 제품 뿐만 아니라, 정교하고 편리한 치료를 위한 치과 기자재, 치과재료, 골이식재(합성골) 등의 생체재료를 연구, 개발, 생산하고 있으며, 국내 유일 자체 기술로 개발된 bright alone, bright CT, 밀링머신 등의 통합 임플란트 시스템을 자체 생산하고 있습니다. 특히 매출의 70% 이상이 해외시장에서 발생하고 있으며 전 세계의 Dental 의료 발전을 위해 많은 투자와 연구를 진행하고 있습니다.

또한, 자사는 각국의 석학들과 전문의들을 매년 초빙하여 국내외 임상관련 세미나, 포럼 등을 활발히 개최하여 임상의학의 발전에 기여하고 있습니다. 이를 통해 임플란트 관련 임상 정보를 교류하여 의료기술 발전에 앞장서고 있습니다.

끊임없는 R&D 투자와 함께 100% 전수검사를 기반으로 한 품질 절대주의 실현으로 전세계 70개 이상 국가로 수출하고 있으며, 향후 글로벌 TOP 3 진입을 위한 글로벌 기업으로 꾸준히 성장하고 있습니다.

덴티움은 세계적으로 인정받고 있는 치과용 임플란트 제품 이외에도 생체 재료 분야에서도 폭넓은 연구개발을 통해 골이식재, 차폐막 등 다양한 골재생과 치주조직 재생 관련 제품들을 개발하고 있습니다. 2010년부터는 ICT 사업 본부를 설립해 3차선 방사선 기계인 CBCT, CAD/CAM 시스템을 자체 개발해 임플란트 시스템과 연계하여 통합 임플란트 시스템을 구축, 'Total Solution Provider & Self Development Manufacturer'을 실현하고 있습니다.

덴티움의 임플란트는 국내에서 유일하게 22년 이상의 장기 임상 데이터를 보유하고 있습니다. 관련 논문은 SCI급 저널인 IJPRD에 출간돼 장수 브랜드로 인정받고 있고, 97.9%라는 높은 Survival rate를 보임과 동시에 안정적인 Bone level을 나타내며 안정성까지 입증했습니다. 덴티움은 IMPLANTIUM의 앞선 기술력을 바탕으로 효과적인 제품 라인업을 구축해 시술자의 편의성을 증대하고, 보다 안정적이며 인체에 최적화된 임플란트 시스템을 제공하고 있습니다.

덴티움은 2030년 GLOBAL TOP 3을 목표로 자체 연구개발을 통한 차별화된 기술력을 확보하여 최고 품질의 임플란트 시스템을 제공하기 위해 지금 이 순간에도 연구개발에 매진하고 있습니다.","    ㆍ 덴티움 임플란트 자동화생산팀 자동화 설비 운용
    ㆍ 클린룸 내부 및 외부 설비 운용(클린룸 입장 시 방진복 착용 必)","ㆍ 학력 : 무관
ㆍ 경력 : 1년 이상 (신입 지원 가능)
ㆍ 계약직 6개월 (평가 후 정규직 전환 가능)","ㆍ인근 거주자
ㆍ해당 직무 근무 경험자","1. 서류 전형
2. 인적성 검사 및 1차 실무면접
3. 처우 협의
4. 최종 입사","1. 여름휴가 유급 지원
2. 사내식당 운영
3. 명절선물 지급
4. 각종 경조사 지원
5. 장기근속자 포상
6. 편의시설 운영(Fitness Center, 도서관, 풋살장, 무인 커피머신 등)
7. 기숙사 운영
8. 우수사원 포상
9. 사내 근로복지기금 운영","서울특별시 강남구 테헤란로 87길 21, 10층(삼성동, 동성빌딩) ","['기계/기계설비 ', '생산/제조', '포장/조립 ']",['생산/제조'],"['기계/기계설비 ', '생산/제조', '포장/조립 ']"
(주)우원기술,계약직 (정규직 전환 가능),"['기계', '기계설계', '2차전지']",,ㆍ2차전지 관련 기계설계,"ㆍ학력 : 고졸 이상
ㆍ신입 : 3개월 계약직 적용 후 정규직 전환 심사 
ㆍ경력 : 경력 2년 ~ 8년(연구원, 주임연구원, 선임연구원급)","ㆍ기계/자동차/조선공학, 공학계열
ㆍ해당직무 근무경험, 인벤터 가능자
",서류전형 > 1차면접 > 최종합격,"ㆍ회사 기숙사 운영
ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.(지정병원)
ㆍ사내대출 제도
ㆍ복지포인트 지급 년 200만원 지급 (신용카드와 동일)",경기 평택시 서탄면 서탄2로 176-25,['기계/기계설비 '],['생산/제조'],['기계/기계설비 ']
(주)우원기술,정규직,"['설비', '기계', '기계설계', '2차전지']","세계 최고 수준의 기술력을 가진 2차 전지 자동화설비 선두기업 우원기술

우원기술은 2013년 창립 이래 2차 전지 자동화설비 분야의 세계 최고가 되기 위해 끊임없이 노력해왔습니다.

이러한 노력의 결과, 지속적인 기술개발과 혁신으로 세계 최고 수준의 생산속도와 안정성을 갖춘 Z-Stacking 설비를 개발하였고, 그 기술력을 인정받아 매년 괄목할 만한 성장을 이루며 국내외 유수의 고객사들의 신뢰를 받는 기업으로 자리매김 하였습니다.",ㆍ2차전지 제조설비 설계/자동화 장비 설계,"ㆍ학력 : 공고 기계과 졸업자 이상
ㆍ경력 : 신입(사원)/ 동일계통 2년 이상 경력","ㆍ2차전지 제조 설비 경력자 우대
ㆍ자동화설비 경력자 우대
ㆍ기계설계 관련 자격증 보유자 우대
ㆍInventor/AutoCAD 능숙자 우대
ㆍ영어회화 가능자 우대",서류전형 > 1차면접 > 최종합격,"ㆍ회사 기숙사 운영
ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.
ㆍ사내대출 제도
ㆍ복지포인트 지급(년 200만)
",경기 평택시 서탄면 서탄2로 176-25,['기계/기계설비 '],['생산/제조'],['기계/기계설비 ']
(주)우원기술,정규직,"['설계', '기계', '2차전지', '자동화설비']",,"자동화설비 기계조립, 자동화설비 셋업

- 2차 전지 검사장비 기구 제조
-자동화 설비 제작/설치
-고객사 현장 SET-UP","ㆍ학력 : 무관
ㆍ경력 : 신입/경력 (년수무관)
","ㆍ운전가능자,
ㆍ해당직무 근무경험,
ㆍ 해외출장 가능자
ㆍ 2D,3D 도면 검토 가능자 
",서류전형 > 1차면접 > 최종합격,"ㆍ지원금/보험 : 건강검진, 금연수당, 각종 경조사 지원, 체력단련실운영
ㆍ포상제도 : 복지포인트(연200만원), 장기근속자 포상, 우수사원포상(분기별/500만원)
ㆍ급여제도: 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 4대 보험
ㆍ선물 : 명절선물/귀향비, 창립일선물지급, 생일선물/파티,
ㆍ교육/생활 : 우수사원시상식, 워크샵, 신입사원교육(OJT), 구내식당(사원식당), 점심식사 제공, 저녁식사 제공,
                    사내동호회 운영, 사우회(경조사회), 신규입사자 멘토 제도
ㆍ근무 환경 : 수면실, 회의실, 카페테리아, 전용 사옥, 유니폼지급, 사원증, 사무용품 지급
ㆍ조직문화 : 노조/노사협의회, 회식강요 안함, 야근강요 안함, 자유로운 연차사용
ㆍ출퇴근 : 기숙사 운영, 통근버스 운행, 주차장제공
ㆍ리프레시 : 연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가
",경기 평택시 서탄면 서탄2로 176-25,['기계/기계설비 '],['생산/제조'],['기계/기계설비 ']
(주)우원기술,정규직,"['반도체', '설비', '엔지니어', 'AS', '기계조립', '자동화설비']",,"자동화설비 기계조립, 자동화설비 셋업

- 고객사 A/S 대응 업무
-설비 Job/Change 업무
-설비 개조/개선 공사 업무 ","ㆍ학력 : 무관
ㆍ경력 : 2년이상
ㆍ대인관계 원만한자
ㆍ해외 여행에 결격 사유가 없는자","ㆍ2차전지 설비 유경험자(우대)
ㆍ문서 작성 가능자(PPT,EXCEL)  
ㆍ해외 출장 가능자",서류전형 > 1차면접 > 최종합격,"ㆍ지원금/보험 : 건강검진, 금연수당, 각종 경조사 지원, 체력단련실운영
ㆍ포상제도 : 복지포인트(연200만원), 장기근속자 포상, 우수사원포상(분기별/500만원)
ㆍ급여제도: 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 4대 보험
ㆍ선물 : 명절선물/귀향비, 창립일선물지급, 생일선물/파티,
ㆍ교육/생활 : 우수사원시상식, 워크샵, 신입사원교육(OJT), 구내식당(사원식당), 점심식사 제공, 저녁식사 제공,
                    사내동호회 운영, 사우회(경조사회), 신규입사자 멘토 제도
ㆍ근무 환경 : 수면실, 회의실, 카페테리아, 전용 사옥, 유니폼지급, 사원증, 사무용품 지급
ㆍ조직문화 : 노조/노사협의회, 회식강요 안함, 야근강요 안함, 자유로운 연차사용
ㆍ출퇴근 : 기숙사 운영, 통근버스 운행, 주차장제공
ㆍ리프레시 : 연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가",경기 평택시 서탄면 서탄2로 176-25,['기계/기계설비 '],['생산/제조'],['기계/기계설비 ']
(주)시스콘,정규직,"['C++', 'python', 'Linux', 'Docker', 'github']","시스콘은 물류 자동화 시스템을 비롯한 자율 주행 로봇 전문 회사입니다. 공장의 물류 로봇 서비스 로봇 등 다양한 현장 경험을 가지고 있으며, 로봇에 필요한 설계, 전자, 제어, 관제, 로봇 소프트웨어팀을 보유하고있습니다.

시스콘은 자체적으로 개발한 로봇기술을 통해 고객분들께는 보다 나은 생산성과 부가 가치를, 사용자에게는 편의 기능과 안전한 서비스 제공합니다. 모든 고객분들이 보다 높은 차원의 활동에 집중할 수 있도록 돕는 것이 저희 회사의 역할입니다.
시스콘의 AMR을 통해 같이 성장하며 경쟁력 있는 개발하고 싶으신 분들께 최고의 회사가 되도록 노력하겠습니다.

궁금하신 점은 아래 링크로 오세요!

Notion Link
https://sysconresearch.notion.site/SYSCON-caf77b9d7c6e4806921ed9d739d1c68c","[AMR 시스템 개발]
• 로봇 시스템 아키텍쳐 설계 및 최적화
• 소프트웨어 패키지 및 모듈 통합 시스템
• 로봇과 이기종 간의 통신 시스템 설계 및 인터페이스 최적화
• 상위 관제와의 통신 시스템 설계 및 인터페이스

[AMR 운용/유지보수 소프트웨어 개발]
• AMR 모듈별 기능 통합 및 유닛 테스트, 검증
• 멀티 AMR 운용/유지보수(CI/CD, DevOps) 개발 업무
• 시뮬레이션 환경 조성 및 개발자를 위한 시스템 구축

[배포 및 보안 시스템 개발]
• 로봇 시스템 배포 및 관리 시스템 설계
• SW 보안 및 암호화 개발","• 석사 이상의 학력 혹은 3년 이상의 경력
• 컴퓨터 공학, 로봇 공학, 산업 공학 등 관련 기술 분야 경험
• C++ / python 개발자
• 객체지향, 디자인 패턴에 대한 이해 및 구현 능력
• 아키텍쳐 설계/개발 경험
• 팀 리딩, 개발 리딩에 경험이 있는 자
• 관련 기술 개발 실무 및 리딩 경험이 있는 분","• 로봇 시스템 설계 경험자
• ROS/ROS2 경험자
• 로봇 미들웨어 경험자
• 무선환경에서 1대 n 통신 경험자
• Docker 기반 서비스 개발 경험자
• CI/CD 경험자
• 소스 암호화, 보안 관련 지식 보유
• Linux(Ubuntu) OS기반 운용 프로그램 개발 경험자","[채용절차]
• 서류전형 -> 1차 면접(실무진) ->2차 면접(임원) -> 최종합격
※ 절차는 변경될 수 있습니다.

[지원 시 주의사항]
• 포트폴리오 제출시 10MB 초과할 경우에는 링크를 기재해주세요

[참고사항]
• 서류 합격자에 한해 연락드립니다
• 본 채용은 수시 진행으로 우수 인재 채용 시 마감될 수 있습니다.","안정된 생활을 지원합니다.
건강검진, 각종 경조사 지원, 단체 상해보험, 체력단련실운영, 업무활동비 지급, 통신비 지원

직원들의 열정에 보답하고 싶습니다.
퇴직연금, 인센티브제, 상여금, 장기근속자 포상, 퇴직금, 성과급, 휴일(특근)수당, 직책수당, 4대 보험

우리 회사만의 특별한 복지!
창립일선물지급, 생일선물/파티, 장기근속 선물

직원들의 자기계발을 존중합니다!
워크샵, 외국어 교육 지원, 교육비 지원, 자기계발비 지원, 구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 간식 제공, 식비 지원, 음료제공(차, 커피)

편안하게 일할 수 있는 최선의 환경을 제공합니다.
휴게실, 회의실, 공기청정기, 카페테리아, 게임기, 유니폼지급, 사무용품 지급, 최고 성능 컴퓨터, 안마실/안마의자

직원 중심의 조직문화를 만들어갑니다.
회식강요 안함, 자유복장

직원들의 편의를 위한 출퇴근과 다양한 근무 제도를 제공해요!
기숙사 운영, 차량유류비지급, 주차장제공, 회사차량 있음

최고의 복지는 휴가죠!
연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 근로자의 날 휴무, 휴가비지원, 포상휴가","인천 서구 로봇랜드로 155-30, 4층",['기계/기계설비 '],['생산/제조'],['기계/기계설비 ']
