회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
(주)넥스트챕터,정규직,"['마케팅', '디지털마케팅', '퍼포먼스마케팅', '바이럴마케팅', '브랜드마케팅']",,"More about this job

넥스트챕터의 Head of Marketing은 넥스트챕터가 인수한 브랜드의 마케팅 전반을 책임지는 역할입니다. 자사몰의 기획 및 구축, 주요 소셜 미디어 채널 및 포털의 디스플레이 광고, 인스타그램, 틱톡 등의 소셜 미디어 커뮤니케이션 관리, 인플루언서 기반 마케팅에 이르기까지 모든 마케팅 채널을 두고 전략을 수립하고 실행합니다.
넥스트챕터의 Marketing Team은 크게 Content Marketing, Performance Marketing, Influencer Marketing 으로 구성되며 Head of Marketing은 해당 파트들을 리드하여, 온라인 커머스 브랜드의 성장을 견인할 수 있는 모든 활동들을 총괄합니다. 


Responsibilities
- 넥스트챕터가 인수한 브랜드의 퍼포먼스 마케팅, 콘텐츠 마케팅, 인플루언서/바이럴 마케팅 업무를 총괄합니다.
- 브랜드의 성장을 위한 마케팅 전략을 수립하고 실행합니다.
- 마케팅 효과를 측정 및 분석하며, 채널별 예산을 배분합니다.
- 페이스북, 인스타그램, 구글, 네이버, 카카오 등 주요 퍼포먼스 마케팅 채널에서의 디스플레이 광고 캠페인을 집행하고 최적화합니다.
- 자사몰을 기획 및 구축합니다. ","Qualifications
- 온라인 광고 대행사 또는 브랜드 회사 인하우스 마케팅 팀에서의 관련 경력 10년 이상
- 브랜드 회사 인하우스 마케팅 팀 내 리더십 경력 보유 
- 뛰어난 분석력, 숫자 중심의 사고 능력
- 브랜드 성장 전략에 대한 깊은 이해; 실제 브랜드의 성장을 이끈 경험


Nice to have
- 해외 시장 마케팅 경험",,,,"서울특별시 성동구 연무장7길 11, 8층(성수동2가, 우란문화재단)","['마케팅', '브랜드마케팅', '온라인마케팅']",['마케팅/시장조사'],"['마케팅', '브랜드마케팅', '온라인마케팅']"
(주)넥스트챕터,정규직,"['마케팅', '디지털마케팅', '브랜드마케팅']",,"More about this job

넥스트챕터의 브랜드 매니저는 기존의 브랜드 오너의 철학을 계승하여, 브랜드를 한 단계 도약시키는 중추적인 역할을 수행하는 mini-CEO 입니다. 넥스트챕터 내 해당 브랜드의 '최종 지지자' 로서 브랜드 전략을 수립하고 사내 여러 기능 조직들의 협업을 조율합니다. 특히, 시니어 브랜드 매니저는 복수의 브랜드를 관리할 수 있는 역량과 리더십 스킬이 요구됩니다.
본 포지션은 브랜드의 장기적인 Vision을 설정하고 이를 달성하기 위한 전략을 수립, 실행합니다. 마케팅팀, 상품개발팀, 디자인팀, 채널운영팀 등 다양한 Functional 조직과의 협업을 통해 브랜드의 성장을 도모합니다.
넥스트챕터의 브랜드 매니저는 온라인 네이티브 브랜드 운영에 최적화된 모던한 브랜드 매니지먼트 방법론을 익힐 수 있습니다. 최신 데이터 분석 기술을 활용하여 소비자와 시장에 대한 인사이트를 도출하고 이를 바탕으로 브랜드 자산을 키워나갑니다. 장기적으로는 국내 온라인 채널에서 출발한 중소 브랜드가 오프라인, 글로벌으로 확장하여 '내셔널 브랜드'로 성장해 가는 과정을 경험할 수 있습니다.
연쇄 창업가, Top-tier 소비재 브랜드 스타트업, 글로벌 Tech 회사 출신 등 다양한 백그라운드의 인재들이 함께 하고 있는 Brand Management 팀에 합류하세요.


Responsibilities
- 넥스트챕터가 인수한 브랜드의 성장 전략 수립 및 브랜드 관리 업무를 수행합니다. (General - 카테고리를 특정하지 않고 지원하는 포지션입니다.)
- 브랜드의 장기적인 Vision을 수립하고, 이를 달성하기 위한 성장 로드맵을 기획합니다.
- 주요 유통 채널의 담당 BM/MD와 협업하여, 채널 내 브랜드 성장 전략을 도출하고 실행합니다.
- 신제품 전략을 수립하고, Product Development 팀과 협업하여 신제품을 개발 및 출시합니다.
- Marketing 팀과 협업하여, 퍼포먼스 마케팅, 콘텐츠 마케팅, 바이럴 마케팅, CRM 마케팅 등 전방위적인 마케팅 활동을 수행합니다.
- 넥스트챕터가 인수할 브랜드 및 해당 시장에 대한 분석을 지원합니다.","Qualifications
- 브랜드 제품 개발 및 관리, 퍼포먼스 마케팅, Top-tier 소비재 회사, 미디어 커머스/D2C 브랜드 혹은 컨설팅 관련 경력 7년 이상
- 팀 리더로서 피플 매니지먼트 경험뛰어난 분석력과 문제해결 능력
- Cross-functional 협업 및 Project Management를 위한 커뮤니케이션 스킬 및 리더십
- 브랜드, 온라인 커머스에 대한 깊은 관심


Nice to have
- 브랜드의 론칭부터 스케일업까지 Full-cycle에 대한 경험
- Business-level english proficiency",,,,"서울특별시 성동구 연무장7길 11, 8층(성수동2가, 우란문화재단)","['마케팅', '브랜드마케팅']",['마케팅/시장조사'],"['마케팅', '브랜드마케팅']"
(주)넥스트챕터,정규직,"['마케팅', '디지털마케팅', '브랜드마케팅']",,"More about this job

넥스트챕터의 브랜드 매니저는 기존의 브랜드 오너의 철학을 계승하여, 브랜드를 한 단계 도약시키는 중추적인 역할을 수행하는 mini-CEO 입니다. 넥스트챕터 내 해당 브랜드의 '최종 지지자' 로서 브랜드 전략을 수립하고 사내 여러 기능 조직들의 협업을 조율합니다.
본 포지션은 브랜드의 장기적인 Vision을 설정하고 이를 달성하기 위한 전략을 수립, 실행합니다. 마케팅팀, 상품개발팀, 디자인팀, 채널운영팀 등 다양한 Functional 조직과의 협업을 통해 브랜드의 성장을 도모합니다.
넥스트챕터의 브랜드 매니저는 온라인 네이티브 브랜드 운영에 최적화된 모던한 브랜드 매니지먼트 방법론을 익힐 수 있습니다. 최신 데이터 분석 기술을 활용하여 소비자와 시장에 대한 인사이트를 도출하고 이를 바탕으로 브랜드 자산을 키워나갑니다. 장기적으로는 국내 온라인 채널에서 출발한 중소 브랜드가 오프라인, 글로벌으로 확장하여 '내셔널 브랜드'로 성장해 가는 과정을 경험할 수 있습니다.
연쇄 창업가, Top-tier 소비재 브랜드 스타트업, 글로벌 Tech 회사 출신 등 다양한 백그라운드의 인재들이 함께 하고 있는 Brand Management 팀에 합류하세요.


Responsibilities
- 넥스트챕터가 인수한 브랜드의 성장 전략 수립 및 브랜드 관리 업무를 수행합니다. (주로 Pet 카테고리의 브랜드를 담당하게 되지만, 다른 카테고리를 추가로 부여받을 수도 있습니다.)
- 브랜드의 장기적인 Vision을 수립하고, 이를 달성하기 위한 성장 로드맵을 기획합니다.
- 주요 유통 채널의 담당 BM/MD와 협업하여, 채널 내 브랜드 성장 전략을 도출하고 실행합니다.
- 신제품 전략을 수립하고, Product Development 팀과 협업하여 신제품을 개발 및 출시합니다.
- Marketing 팀과 협업하여, 퍼포먼스 마케팅, 콘텐츠 마케팅, 바이럴 마케팅, CRM 마케팅 등 전방위적인 마케팅 활동을 수행합니다.
- 넥스트챕터가 인수할 브랜드 및 해당 시장에 대한 분석을 지원합니다.","Qualifications
- 브랜드 제품 개발 및 관리, 퍼포먼스 마케팅, Top-tier 소비재 회사, 미디어 커머스/D2C 브랜드 혹은 컨설팅 관련 경력 3년 이상 7년 이하
- 뛰어난 분석력과 문제해결 능력
- Cross-functional 협업 및 Project Management를 위한 커뮤니케이션 스킬 및 리더십
- 브랜드, 온라인 커머스에 대한 깊은 관심


Nice to have
- 펫 브랜드 관리 및 제품 기획 경험
- 신제품 기획, 개발 및 출시까지 전 프로세스 경험
- 네이버 쇼핑, 쿠팡 등 주요 마켓플레이스 관련 운영 경력
- Business-level english proficiency",,,,"서울특별시 성동구 연무장7길 11, 8층(성수동2가, 우란문화재단)","['마케팅', '브랜드마케팅']",['마케팅/시장조사'],"['마케팅', '브랜드마케팅']"
(주)넥스트챕터,정규직,"['마케팅', '디지털마케팅', '브랜드마케팅']",,"More about this job

넥스트챕터의 브랜드 매니저는 기존의 브랜드 오너의 철학을 계승하여, 브랜드를 한 단계 도약시키는 중추적인 역할을 수행하는 mini-CEO 입니다. 넥스트챕터 내 해당 브랜드의 '최종 지지자' 로서 브랜드 전략을 수립하고 사내 여러 기능 조직들의 협업을 조율합니다.
본 포지션은 브랜드의 장기적인 Vision을 설정하고 이를 달성하기 위한 전략을 수립, 실행합니다. 마케팅팀, 상품개발팀, 디자인팀, 채널운영팀 등 다양한 Functional 조직과의 협업을 통해 브랜드의 성장을 도모합니다.
넥스트챕터의 브랜드 매니저는 온라인 네이티브 브랜드 운영에 최적화된 모던한 브랜드 매니지먼트 방법론을 익힐 수 있습니다. 최신 데이터 분석 기술을 활용하여 소비자와 시장에 대한 인사이트를 도출하고 이를 바탕으로 브랜드 자산을 키워나갑니다. 장기적으로는 국내 온라인 채널에서 출발한 중소 브랜드가 오프라인, 글로벌으로 확장하여 '내셔널 브랜드'로 성장해 가는 과정을 경험할 수 있습니다.
연쇄 창업가, Top-tier 소비재 브랜드 스타트업, 글로벌 Tech 회사 출신 등 다양한 백그라운드의 인재들이 함께 하고 있는 Brand Management 팀에 합류하세요.


Responsibilities
- 넥스트챕터가 인수한 브랜드의 성장 전략 수립 및 브랜드 관리 업무를 수행합니다. (주로 Home  Interior 카테고리의 브랜드를 담당하게 되지만, 다른 카테고리를 추가로 부여받을 수도 있습니다.)
- 브랜드의 장기적인 Vision을 수립하고, 이를 달성하기 위한 성장 로드맵을 기획합니다.
- 주요 유통 채널의 담당 BM/MD와 협업하여, 채널 내 브랜드 성장 전략을 도출하고 실행합니다.
- 신제품 전략을 수립하고, Product Development 팀과 협업하여 신제품을 개발 및 출시합니다.
- Marketing 팀과 협업하여, 퍼포먼스 마케팅, 콘텐츠 마케팅, 바이럴 마케팅, CRM 마케팅 등 전방위적인 마케팅 활동을 수행합니다.
- 넥스트챕터가 인수할 브랜드 및 해당 시장에 대한 분석을 지원합니다.","Qualifications
- 브랜드 제품 개발 및 관리, 퍼포먼스 마케팅, Top-tier 소비재 회사, 미디어 커머스/D2C 브랜드 혹은 컨설팅 관련 경력 3년 이상 7년 이하
- 뛰어난 분석력과 문제해결 능력
- Cross-functional 협업 및 Project Management를 위한 커뮤니케이션 스킬 및 리더십
- 브랜드, 온라인 커머스에 대한 깊은 관심


Nice to have
- 홈  인테리어 브랜드 관리 및 제품 기획 경험
- 신제품 기획, 개발 및 출시까지 전 프로세스 경험
- 네이버 쇼핑, 쿠팡 등 주요 마켓플레이스 관련 운영 경력
- Business-level english proficiency",,,,"서울특별시 성동구 연무장7길 11, 8층(성수동2가, 우란문화재단)","['마케팅', '브랜드마케팅']",['마케팅/시장조사'],"['마케팅', '브랜드마케팅']"
(주)넥스트챕터,정규직,"['마케팅', '디지털마케팅', '브랜드마케팅']",,"More about this job

넥스트챕터의 브랜드 매니저는 기존의 브랜드 오너의 철학을 계승하여, 브랜드를 한 단계 도약시키는 중추적인 역할을 수행하는 mini-CEO 입니다. 넥스트챕터 내 해당 브랜드의 '최종 지지자' 로서 브랜드 전략을 수립하고 사내 여러 기능 조직들의 협업을 조율합니다.
본 포지션은 브랜드의 장기적인 Vision을 설정하고 이를 달성하기 위한 전략을 수립, 실행합니다. 마케팅팀, 상품개발팀, 디자인팀, 채널운영팀 등 다양한 Functional 조직과의 협업을 통해 브랜드의 성장을 도모합니다.
넥스트챕터의 브랜드 매니저는 온라인 네이티브 브랜드 운영에 최적화된 모던한 브랜드 매니지먼트 방법론을 익힐 수 있습니다. 최신 데이터 분석 기술을 활용하여 소비자와 시장에 대한 인사이트를 도출하고 이를 바탕으로 브랜드 자산을 키워나갑니다. 장기적으로는 국내 온라인 채널에서 출발한 중소 브랜드가 오프라인, 글로벌으로 확장하여 '내셔널 브랜드'로 성장해 가는 과정을 경험할 수 있습니다.
연쇄 창업가, Top-tier 소비재 브랜드 스타트업, 글로벌 Tech 회사 출신 등 다양한 백그라운드의 인재들이 함께 하고 있는 Brand Management 팀에 합류하세요.


Responsibilities
- 넥스트챕터가 인수한 브랜드의 성장 전략 수립 및 브랜드 관리 업무를 수행합니다. (General - 카테고리를 특정하지 않고 지원하는 포지션입니다.)
- 브랜드의 장기적인 Vision을 수립하고, 이를 달성하기 위한 성장 로드맵을 기획합니다.
- 주요 유통 채널의 담당 BM/MD와 협업하여, 채널 내 브랜드 성장 전략을 도출하고 실행합니다.
- 신제품 전략을 수립하고, Product Development 팀과 협업하여 신제품을 개발 및 출시합니다.
- Marketing 팀과 협업하여, 퍼포먼스 마케팅, 콘텐츠 마케팅, 바이럴 마케팅, CRM 마케팅 등 전방위적인 마케팅 활동을 수행합니다.
- 넥스트챕터가 인수할 브랜드 및 해당 시장에 대한 분석을 지원합니다.","Qualifications
- 브랜드 제품 개발 및 관리, 퍼포먼스 마케팅, Top-tier 소비재 회사, 미디어 커머스/D2C 브랜드 혹은 컨설팅 관련 경력 3년 이상 7년 이하
- 뛰어난 분석력과 문제해결 능력
- Cross-functional 협업 및 Project Management를 위한 커뮤니케이션 스킬 및 리더십
- 브랜드, 온라인 커머스에 대한 깊은 관심


Nice to have
- 신제품 기획, 개발 및 출시까지 전 프로세스 경험
- 네이버 쇼핑, 쿠팡 등 주요 마켓플레이스 관련 운영 경력
- Business-level english proficiency",,,,"서울특별시 성동구 연무장7길 11, 8층(성수동2가, 우란문화재단)","['마케팅', '브랜드마케팅']",['마케팅/시장조사'],"['마케팅', '브랜드마케팅']"
(주)넥스트챕터,정규직,"['마케팅', '디지털마케팅', '브랜드마케팅']",,"More about this job

넥스트챕터의 브랜드 매니저는 기존의 브랜드 오너의 철학을 계승하여, 브랜드를 한 단계 도약시키는 중추적인 역할을 수행하는 mini-CEO 입니다. 넥스트챕터 내 해당 브랜드의 '최종 지지자' 로서 브랜드 전략을 수립하고 사내 여러 기능 조직들의 협업을 조율합니다.
본 포지션은 브랜드의 장기적인 Vision을 설정하고 이를 달성하기 위한 전략을 수립, 실행합니다. 마케팅팀, 상품개발팀, 디자인팀, 채널운영팀 등 다양한 Functional 조직과의 협업을 통해 브랜드의 성장을 도모합니다.넥스트챕터의 브랜드 매니저는 온라인 네이티브 브랜드 운영에 최적화된 모던한 브랜드 매니지먼트 방법론을 익힐 수 있습니다. 최신 데이터 분석 기술을 활용하여 소비자와 시장에 대한 인사이트를 도출하고 이를 바탕으로 브랜드 자산을 키워나갑니다. 장기적으로는 국내 온라인 채널에서 출발한 중소 브랜드가 오프라인, 글로벌으로 확장하여 '내셔널 브랜드'로 성장해 가는 과정을 경험할 수 있습니다.
연쇄 창업가, Top-tier 소비재 브랜드 스타트업, 글로벌 Tech 회사 출신 등 다양한 백그라운드의 인재들이 함께 하고 있는 Brand Management 팀에 합류하세요.


Responsibilities
- 넥스트챕터가 인수한 브랜드의 성장 전략 수립 및 브랜드 관리 업무를 수행합니다. (주로 Beauty 카테고리의 브랜드를 담당하게 되지만, 다른 카테고리를 추가로 부여받을 수도 있습니다.)
- 브랜드의 장기적인 Vision을 수립하고, 이를 달성하기 위한 성장 로드맵을 기획합니다.
- 주요 유통 채널의 담당 BM/MD와 협업하여, 채널 내 브랜드 성장 전략을 도출하고 실행합니다.
- 신제품 전략을 수립하고, Product Development 팀과 협업하여 신제품을 개발 및 출시합니다.
- Marketing 팀과 협업하여, 퍼포먼스 마케팅, 콘텐츠 마케팅, 바이럴 마케팅, CRM 마케팅 등 전방위적인 마케팅 활동을 수행합니다.
- 넥스트챕터가 인수할 브랜드 및 해당 시장에 대한 분석을 지원합니다.

Qualifications브랜드 제품 개발 및 관리, 퍼포먼스 마케팅, Top-tier 소비재 회사, 미디어 커머스/D2C 브랜드 혹은 컨설팅 관련 경력 3년 이상 7년 이하뛰어난 분석력과 문제해결 능력Cross-functional 협업 및 Project Management를 위한 커뮤니케이션 스킬 및 리더십브랜드, 온라인 커머스에 대한 깊은 관심Nice to have뷰티 브랜드 관리 및 제품 기획 경험신제품 기획, 개발 및 출시까지 전 프로세스 경험네이버 쇼핑, 쿠팡 등 주요 마켓플레이스 관련 운영 경력Business-level english proficiency","Qualifications
- 브랜드 제품 개발 및 관리, 퍼포먼스 마케팅, Top-tier 소비재 회사, 미디어 커머스/D2C 브랜드 혹은 컨설팅 관련 경력 3년 이상 7년 이하
- 뛰어난 분석력과 문제해결 능력
- Cross-functional 협업 및 Project Management를 위한 커뮤니케이션 스킬 및 리더십
- 브랜드, 온라인 커머스에 대한 깊은 관심


Nice to have
- 뷰티 브랜드 관리 및 제품 기획 경험
- 신제품 기획, 개발 및 출시까지 전 프로세스 경험
- 네이버 쇼핑, 쿠팡 등 주요 마켓플레이스 관련 운영 경력
- Business-level english proficiency",,,,"서울특별시 성동구 연무장7길 11, 8층(성수동2가, 우란문화재단)","['마케팅', '브랜드마케팅']",['마케팅/시장조사'],"['마케팅', '브랜드마케팅']"
(주)오니스트,정규직,"['콘텐츠기획', '일정관리', '인플루언서 마케팅', '컨텐츠제작', '촬영기획', '콘텐츠마케팅', '스타트업', '커머스기획']","오니스트 소개

오니스트는 서울에 기반을 둔, 글로벌 클린 이너뷰티 브랜드입니다. 오니스트 팀은 이너뷰티라는 시장을 개척하고, 건강함과 아름다움의 경계를 없애는 일을 하고 있습니다. 

2021년부터 매년 300% 성장, 2년만에 단 하나의 제품으로 연매출 40억원을 달성한 빠르게 성장하는 팀입니다. 오니스트는 앞으로 스킨케어, 바디케어, 멘탈케어 등 이너뷰티 영역을 확장할 예정입니다.","콘텐츠 마케터는 데이터 기반으로 현 상황을 정의, 분석하고 새로운 크리에이티브로 감도 높은 브랜딩과 매출 퍼포먼스를 모두 고려한 콘텐츠를 기획하고 제작하는 역할을 담당합니다. 국내 뿐 아니라, 미국, 일본까지 확장할 수 있는 포지션입니다.

[업무 예시]

- 콘텐츠 소구포인트, 카피, 이미지 등 실험 및 효율 개선
- 가설 기반의 광고, CRM, 상세페이지 콘텐츠 기획
- 인플루언서 협업 콘텐츠 기획
- 촬영 기획/ 제작 일정 관리","- 콘텐츠를 통한 매출 및 ROAS 개선 경험
- 구조적인 논리적 흐름으로 문제를 정의하고, 해결하시는 분
- 업무에 대한 높은 책임감과 꼼꼼함을 가지신 분
- 빠른 실행력을 가지신 분
- 원활한 커뮤니케이션을 통한 협업 능력을 가지신 분","- 스타트업 업무 경험
- 커머스 업계의 높은 이해도",,"오니스트는 당신이 오직 일에만 집중 할 수 있도록 환경을 조성합니다.
- 오전 8시~11시 중 자율출퇴근제
- 자유로운 분위기, 수평적인 문화 (영어이름 사용)
- 도서 구매, 사내/외 스터디 및 교육 등 성장 활동비 무제한 지원
- 업무 집중력을 높여줄 수 있는 장비 및 소프트웨어 제공
- 야근 식대 별도 지원","서울 마포구 양화로 186, 4층 404호 (동교동, LC TOWER)","['브랜드마케팅', '상품개발/기획/MD']",['마케팅/시장조사'],"['브랜드마케팅', '상품개발/기획/MD']"
(주)휴머스온,정규직,"['마케팅', '디지털마케팅']",,"[담당 업무]
 - B2B 대상 시장 경쟁력 강화를 위한 마케팅 활동 기획 및 실행
 - 국내 주요 고객사 성공사례 기획, 제작, 유통
 - 페이스북, 인스타그램, 블로그 등 채널 관리 및 콘텐츠 업로드
 - 뉴스레터 기획/운영
 - 콘텐츠 SEO
 - 양질의 MQL 확보를 할 수 있는 콘텐츠 채널 운영 전략 기획","[필수 조건]
 - 콘텐츠 마케팅 혹은 유관업무 경력 3년 이상
 - 콘텐츠 기획/제작부터 채널 운영까지 콘텐츠 마케팅 전반 진행 경험이 있으신 분
 - 회사 내 유관부서와 원활한 커뮤니케이션을 통해 제품의 셀링 포인트를 발굴하고 콘텐츠화 하실 수 있는 분
 - 논리적인 콘텐츠 작성이 가능하고, 마테크(Mar-tech)에 대한 이해가 있는 분
 - 담당 업무에 대해 책임감과 능동적인 태도를 가지고 계신 분
 - 휴머스온의 일하는 방식과 인재상에 부합하다고 느끼시는 분
 - 학사 이상

* 이력서에 직전 연봉 및 희망 연봉 기재 필수
* 포트폴리오 제출 요망

[우대 사항]
 - 브런치, 블로그 등 본인의 채널을 보유하고 있으며 글쓰기에 자신 있는 분
 - 글 재주가 뛰어나고 손이 빠른 분
 - B2B 회사에서 유관 업무를 진행해본 경험
 - 뉴스레터의 콘텐츠를 통해 코어 타겟 구독 유도 경험이 있으신 분",,,,"서울 강남구 선릉로 433, 10층","['마케팅', '브랜드마케팅']",['마케팅/시장조사'],"['마케팅', '브랜드마케팅']"
(주)휴머스온,정규직,"['마케팅', '디지털마케팅']",,"[담당 업무]
 - B2B 온/오프 마케팅 기획을 통한 Sales Lead 발굴
 - 자사 IT 솔루션 관련 마케팅 전략 기획 및 실행
 - 시장 동향 및 업계 분석
 - 기업 및 브랜드 콘텐츠 개발
 - 마케팅 캠페인 기획, 디렉팅
 - 조직구성원 커뮤니케이션 및 R&R 정의","[필수 조건]
 - 콘텐츠 마케팅 혹은 유관업무 경력 7년 이상
 - 마테크 시장을 이해하고, 이에 대한 전략 수립이 가능한 분
 - 다양한 캠페인 집행 경험이 있으신 분
 - 데이터 드리븐 마케팅을 통해 마케팅 전략 수립이 가능한 분
 - 초기 팀을 구축하고, 업무에 대한 도전 정신이 있으신 분
 - 마케팅 성과를 달성하기 위한 다양한 시도를 마다하지 않는 분
 - 팀 목표를 설정하고, 이를 달성하기 위해 몰입하실 수 있는 분
 - 학사 이상

* 이력서에 직전 연봉 및 희망 연봉 기재 필수
* 포트폴리오 제출 요망

[우대 사항]
 - 마테크에 대한 높은 관심을 갖고계신 분
 - 리더로써 팀을 리딩해본 경험이 있는 분
 - Amplitude, Google Analytics의 사용이 능숙하신 분
 - 전략적인 소통을 통해 문제를 해결하는 능력이 탁월하신 분",,,,"서울 강남구 선릉로 433, 10층","['마케팅', '브랜드마케팅', '마케팅커뮤니케이션']",['마케팅/시장조사'],"['마케팅', '브랜드마케팅', '마케팅커뮤니케이션']"
올릿,정규직,"['마케팅', '퍼포먼스마케팅', '퍼포먼스', '마케터']","[회사소개]
올릿은 모두가 매일 사용하는 생활 소비재 분야에서 20년 이상 사랑받는 브랜드를 키우는 D2C 미디어커머스 스타트업입니다.

올릿은 최고 수준의 제품, 기술력, 서비스를 추구하며, 일상에서 겪는 다양한 Pain Point를 해결하여 전 국민이 더 나은 삶을 영위할 수 있도록 기여하고 있습니다. 

또한, 콘텐츠/퍼포먼스/바이럴/CRM 등 마케팅 방법론을 최고 수준으로 고도화하여 가장 효율적으로 소비자들에게 다가갑니다. 동시에 소비자들이 느끼는 가치가 어떻게 하면 극대화될 수 있을지 깊게 고민하여 '지속 가능한 성장'을 지향하고 있습니다.

[성장속도]
올릿은 연평균 300% 이상 빠르고 안정적으로 성장해왔으며, 단 한 번의 역성장 없이 높은 목표를 매 순간 달성해가고 있습니다.

2023년에는 더 다양한 카테고리의 브랜드 런칭 및 제품군 확장, 그리고 글로벌 소비자들에게 사랑받는 브랜드가 되기 위한 본격적인 해외 시장 진출을 계획하고 있습니다. 빠른 속도의 확장 뿐만 아니라, 지속 가능한 성장을 위해 진정한 고객 감동을 줄 수 있는 평생 고객 유치 전략을 적극적으로 펼치고 있습니다.

[사람 중심 성장]
올릿은 2023년 현재까지 폭발적으로 성장해왔으며, 이는 뛰어난 팀원분들과 함께 했기에 가능했던 일이었다고 생각합니다. 그리고 지금 이 순간, 회사 역사상 가장 빠른 속도로 배우며 성장하고 있으며 꿈만 같던 목표를 매번 달성해나가고 있습니다. 이런 여정에서 과거에도, 현재에도, 미래에도 가장 중요한 것은 사람이라고 생각합니다. 

저희와 함께하실 소중한 올리더를 모십니다.","• 메타/구글/네이버/카카오 등 Paid 매체 광고 운영
• 광고 매체별 데이터 분석 및 인사이트 도출, 운영 최적화
• 미디어믹스 및 마케팅 전략 기획","• D2C 커머스 퍼포먼스 마케팅 경력 1년 이상
• 메타/구글/네이버/카카오 등의 Paid 매체에서 성과를 개선한 경험이 있는 분
• 능동적인 업무태도와 빠른 실행력을 바탕으로 문제해결에 뛰어나신 분
• 꼼꼼하고 체계적인 업무스타일을 보유하신 분","• D2C 미디어커머스 스타트업 재직 경험
• 직접전환 목적의 광고 콘텐츠에 대한 인사이트가 많으신 분
• 다양한 매체의 미디어 믹스를 논리적으로 구성하여 높은 효율을 내보신 적이 있으신 분
• 엑셀을 활용한 데이터 정리 및 시각화 능력이 뛰어나신 분","[채용 절차]
1차 서류전형 - 2차 면접 인터뷰 - 합격발표 및 협의 - 최종입사","[퍼포먼스 마케터업무 환경]
• 충분한 예산을 바탕으로 다양한 Paid 매체를 도전적으로 운영하고 있어, 데이터 기반의 인사이트와 판단 능력을 키우기에 좋은 환경입니다.
• 헬스케어/뷰티/반려동물 등 다양한 카테고리 브랜드의 마케팅을 담당하며, 폭넓은 인사이트를 얻을 수 있습니다.
• 콘텐츠/바이럴/CRM/MD 등 전문가로 구성된 팀들이 업무를 지원합니다.
• 지속적으로 성장이 이루어지고 있어, 스텝별로 다양한 상황이 펼쳐지기 때문에 문제해결력을 비약적으로 키우실 수 있습니다.

[복리후생]
• 자유로운 근무 환경
    - 유연근무제 (월~목 초과근무시 금요일 4시부터 퇴근 가능)
    - 자유로운 연차 (2시간 단위로 이유불문 사용 가능)
    - 자유로운 복장
• 풍족한 먹거리 제공
    - 점심식사 지원
    - 커피/음료/간식 제공
    - 팀별 회식비 지원
    - 저녁식사 & 교통비 지원 (초과근무 선택시)
• 올리더에게 주는 선물
    - 웰컴키트 제공
    - 자사제품 50% 할인
    - 1년 근속 순금 선물
    - 리프레시 연차/휴가비 지원
• 성장을 지원해요
    - PC/장비 지원
    - 강의/도서비 지원
• 기념일은 특별하게
    - 생일 조기퇴근/선물
    - 명절 조기퇴근/선물
    - 경조사 휴가/경조금
• 당연하지만 지원해요
    - 4대보험 & 퇴직금

• 지속적으로 복지가 추가되고 있는 중입니다!","서울 구로구 디지털로26길 61, 501호, 502호","['마케팅', '온라인마케팅', '브랜드마케팅']",['마케팅/시장조사'],"['마케팅', '온라인마케팅', '브랜드마케팅']"
