회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
(주)제노스,정규직,"['공정관리', '생산관리', '공정개선', '의료기기', '근태관리', '외주관리', '실적관리', '진도관리', '생산계획수립', '공정분석']","Vision 1 최고의 제품과 서비스
매년 매출의 약 20%를 R&D에 투자, 우수한 국내외 연구진 확보와 신제품 개발로
세계 최고의 제품을 준비하고 있습니다.

Vision 2 인류의 건강 증진
‘좋은 제품이 널리 쓰이게’하여 더 많은 수의 사람들이 제노스를 통해
건강을 유지할 수 있도록 세상에 기여합니다.

Vision 3 세계 최고의 의료기기 회사
많은 사람들의 ‘건강한 삶’을 도우며 세계 최고의 의료기기 제조사로 성장하겠습니다","ㆍ의료기기 생산관리
   - 생산관리 (생산계획 및 진도관리, 실적관리)
   - 공정관리 (공정분석 및 공정개선)
   - 외주관리
   - 근태관리","ㆍ학력 : 전문학사 이상
ㆍ전공 : 무관","ㆍ의료기기, 바이오, 제약 관련 전공 및 경력
ㆍ제조업 생산관리 인턴 및 경력","서류전형-인성검사-실무면접-최종합격

ㆍ접수기간 : 채용시 마감
ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.
","ㆍ건강검진, 경조사 지원
ㆍ장기근속포상, 명절선물 및 상여, 월인센티브, 반기/연말성과급 지급
ㆍ新사옥, 주차장, 구내식당 및 카페테리아, 피트니스센터, 탁구장, 풋살장, 사내도서관, 근무복 지급
ㆍ경조휴가, 배우자출산휴가, 연차 외 유급 하계휴가
ㆍ영업직 식대지원 및 차량 유류대 법인카드 지급",경기도 수원시 영통구 창룡대로 256번길76(이의동)  덴티움 지식산업센터 12층(16229) ,['생산관리'],['생산관리/품질관리'],['생산관리']
(주)콘크리트웍스,정규직,"['QC', '원가관리', '계약관리', '납기관리', '생산기획', '업체선정', '의류생산관리', '스케줄관리', '정산관리', '상품 소싱 기획 관리']","""누구나 최고를 누리는 세상""
전문성과 특유의 집요함으로 2배의 가치를 절반의 가격으로 공급함으로써, 저희 콘크리터들이 누구나 최고를 누리는 세상을 만들어 갑니다.

저희 콘크리트웍스는 매년 300%의 성장률을 보이며, CONCRETE의 특성처럼 빠르고 정확하게 정상을 향하고 있습니다. (20년 매출액 35억, 21년 매출액 110억, 22년 예상 매출액 350억원)

""이런분들이 저희랑 잘맞아요! :D""
성공DNA를 열망하시는 분
집요하게 WHY를 생각하시는 분
끝을 봐야하는 집요함(그릿)이 있으신 분","• 의류소싱 및 생산관리 업무 전반
• 상품기획을 기반으로 담당 style 생산 기획
• [기획-＞품평] 프로모션 업체 수배 및 비딩업체 선정
• [품평-＞APP] 업체 확정 / 원가 및 납기대비 QC 스케줄 관리
• [APP-＞입고] 메인작지, 계약, 납기 및 정산관리","• 관련학과 졸업 필수
• 해당직무 경력 4년 이상",• 집요함과 책임감,,"• 복지포인트 지급 (60만원씩 / 연2회)
• 자사몰 쇼핑지원금 지급 (60만원씩 / 연2회)
• 종합건강검진지원 (60만원 한도)
• 명절보너스 & 여름휴가비 지급
• 생일자 조기퇴근
• 연말 우수사원 선정 및 포상 지급 (3명)
• 연 2회 상여금 지급
• 직원휴게실 설치 (안마의자 등 구비)
• 점심식사 제공
• 커피머신 & 간식제공 (매월 인당 5만원 한도 내 간식 제공)","서울 성동구 아차산로 66, 4층","['생산/품질기획', '생산관리']",['생산관리/품질관리'],"['생산/품질기획', '생산관리']"
(주)베어로보틱스코리아,정규직,"['공정관리', '생산계획', '생산기술', '제조기술', '협력사관리', '외주업체관리', '표준화', '생산공정관리', '외국어(영어)']","""Smart Hospitality""를 목표로 로봇이 만들 새로운 세상을 이끌어갈 베어로보틱스에서 각 분야 최고 수준의 훌륭한 멤버들과 함께 새로운 역사를 만들어 갈 동료를 기다립니다.

지금까지의 성장 노하우와 뛰어난 기술력을 바탕으로 ‘서빙’ 이 필요한 다양한 사업에 진출할 예정이며, 안정적인 재정 기반 아래, “자율주행 서빙 로봇”의 성장에 박차를 가해주실 분을 찾고 있습니다.

실리콘밸리의 문화를 경험하며, 함께 성장하고, 미래의 로봇을 만들어갈 동료를 기다립니다.

- “구글을 박차고 나와 순두부식당을 운영하면서 실리콘밸리 생존법을 배웠죠.”,  https://www.hankyung.com/economy/article/2021072855881 

- 베어로보틱스, 1천억 규모 시리즈B 투자유치https://www.mk.co.kr/news/it/view/2022/03/239865","• 제품의 생산공정 및 각 공정신뢰성에 대한 정의 및 문서화 작업
• 외부 생산 협력사의 제조 공정 및 공정 신뢰도에 대한 관리
• CM 생산 공정 Set-up 및 유지 관리
• 공정 신뢰도 정의 및 테스트 공정 관리
• 4M 관리 및 8P 관리
• 생산 표준화 관련 문서 검토 및 관리
• 외주 협력사 생산 계획 관리","• 컨슈머제품(완제품)의 생산 공정에 관한 전문적인 지식 보유 및 7년 이상의 경력자
• 제조, 유지 보수, 물류 등 폭넓은 기술적 지식을 갖춘 제조업체와 일해 본 경험
• 외주 위탁 생산 관리 유경험자 (7년이상)
• 여러 유관 부서와 협업 경험 및 적극적인 의사소통 능력
• 우수한 문제 해결 및 멀티 태스킹 능력
• 영어로 문서 작성에 어려움이 없는 분","• 생산 기술 업무 유경험자
• 서빙 로봇, 청소기 로봇 등 관련 업종을 경험 하신 분
• HW 회로 분석이 가능하신 분
• 회로 JIG 제작 유경험자
• 회로 JIG 제작 유경험자
• 해외 고객사 혹은 해외 EMS 관리 경험",,"우리는 이렇게 일하고 있어요!

- We have GOOD HABITS -

우리는 좋은 습관은 지키고, 나쁜 습관을 줄이기 위해 노력합니다. 어제보다 나은 우리를 위해!
- 서로를 배려합니다.
- 상대방의 입장에서 생각합니다.
- 새로운 것을 배웁니다.

- We are having FUN -

우리는 행복해지기 위해 일합니다. 모두가 재미있게 일할 수 있는 업무 환경을 구성합니다.
- 8시~11시 자율 출퇴근 (8시간 근무)
- 식사비 제공
- 간식 무제한 제공

- We FOCUS on work -

우리는 효율적이고 효과적으로 일합니다.
- 고사양 랩탑, 4K 모니터 및 주변기기 지원
- Stock Option, 인센티브 지급
- 영어교육 지원, 종합건강검진, 경조사비/경조휴가 등",서울 성동구 뚝섬로 1길 10,"['공정관리', '생산관리']",['생산관리/품질관리'],"['공정관리', '생산관리']"
(주)더캐리,정규직,"['생산', 'QC', '생산관리', '원가관리', '발주']","(주)더캐리와 함께 할 인재를 모집합니다.
많은 지원 부탁드립니다.","1. 임가공 / 완사입 생산관리
- 원부자재 발주 및 투입관리
- 공임 및 원가 관리
- 임가공 공장, 업체별/시즌별 투입계획 관리
2. 월 마감 진행 업무
3. KC 자율 안전(동일모델) 성적서 관리
4. 사내 유관부서 / 임가공, 프로모션 커뮤니케이션
5. 기타 잡화 및 악세사리 생산관리
6. 기본적인 물류 입고 관리","- 동종업계 및 유관업무 경력자
- 의류 관련 학과 전공자","- 장기 근무 가능자
- 영어 / 중국어 가능자
- 엑셀 능력 보유자
- 장애인 우대",서류전형 > 면접전형 > 인적성검사 > 입사,"• 임직원 건강 지원
중식 식권 제휴 & 석식 지원
사내 카페테리아 운영
(바리스타 상주)
사내 헬스키퍼실 운영
종합건강검진(임직원) 지원
종합건강검진(가족) 지원
의료비 지원
독감예방접종 지원


• 마음 편한 육아 지원
자사제품 할인
임신기 근로시간 단축
육아휴직/육아기 근로시간 단축 
임산부 정기건강진단 시간 지원 
임신/육아기 근로형태 코디 운영

• 일/가정 양립 지원
theKARY DAY
(명절연휴 전 4시간 조기퇴근)
생일 반차 제공
명절 선물 제공
Family DAY(월 1회, 조기 퇴근)
야근 없는 날(매주 수요일)


• 더캐리 배테랑 양성
직책수당 지급
장기근속자 리프레시 휴가(매 3년, 휴가 및 휴가비 지급)
장기근속자 포상(매 5년마다 포상) 
장기근속자 안식월 (매 7년마다 부여)

• 근무여건
한강진역 도보 7분 기본 09:30~18:30 (시차출근제 운영)
각 층별 라운지 운영 (음료 및 다과제공) 
개인 노트북 지급 (직무별 일부 상이)

• 경조사 지원
경조휴가 및 경조사비 지원


",서울특별시 용산구 이태원로 241,['생산관리'],['생산관리/품질관리'],['생산관리']
(주)뷰케이코리아,정규직,"['생산관리', '자재관리', '화장품', '안전관리', '직원교육', '생산제조', '작업지시서작성']","1. BEUKAY는 어떤회사인가요?

BEUKAY GROUP은 중국을 기반으로 지속 성장해온 20년 이상의 업력과 규모를 지닌 화장품 전문 기업입니다. 
그룹사 자체적으로 다수의 화장품 브랜드를 보유하고 있으며, 중국 내 3만pos의 오프라인 유통 채널 ,
색조전문 OEM ODM 사업부터 화장품과 관련된 원부자재 비즈니스까지 광범위한 사업영역으로
지속 발전하고 있는 그룹회사 입니다. 
ODM 주요 고객사로는 글로벌 브랜드인, L사, P사, S사 등 대규모 클라이언트 POOL을 보유하고 있습니다. 
BEUKAY KOREA는 BEUKAY GROUP의 글로벌 기지 확장을 위한 초석으로 2018년 설립된 회사입니다. 
한국 국내에서도 유수 색조 브랜드들과 이미 거래를 진행하고 있습니다. 
2. 뷰케이가 바라는 인재상은?

매사에 적극적이고, 주동적인 행동력 있는 인재를 선호합니다. 
평소 화장품에 많은 관심과 애정을 가지신 분 적극 채용합니다. 
진행 과정 중 장애물이나 난관에 봉착했을때 포기하지 않고 밀어붙일 수 있는
뚝심! 있는 인재를 필요로 합니다. ","1. 생산현장 질서 및 안전, 청결 관리       
2. 생산팀 업무 프로세스 개선 및 작업 효율 향상     
3. 생산 자재 소모관리, loss 관리   
4.  작업지시서 관리 및 즉시, 정확성 체크       
5.  생산팀 일상업무 관리, 부서 직원 교육 기획 및 교육 실시   
5. 기타 상사가 요구한 업무 실시",정규직/.계약직 조원 및 도급 일용직 통솔할 수 있는 리더십 있는 분 우대!,,서류전형-면접전형-최종합격,"지원금/보험 건강검진, 각종 경조사 지원
급여제도 퇴직연금, 인센티브제, 장기근속자 포상, 휴일(특근)수당, 4대 보험
선물 생일선물/파티, 장기근속 선물
교육/생활 워크샵, 신입사원교육(OJT), 직무능력향상교육, 교육비 지원, 자기계발비 지원, 구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 식비 지원, 음료제공(차, 커피)
근무 환경 휴게실, 회의실, 공기청정기, 카페테리아, 장애인 전용주차장, 노트북, 자회사 제품할인, 사무용품 지급
조직문화 노조/노사협의회, 수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화, 문화 회식
출퇴근 주차장제공, 주 52시간제 준수
리프레시 연차, 경조휴가제, 반차, 육아휴직
",경기 오산시 가장산업서로 12-35,['생산관리'],['생산관리/품질관리'],['생산관리']
(주)리아드,정규직,"['생산관리', '원가관리', '패션', '품질검사', '원부자재관리', '발주관리', '예산기획']","에이카화이트는 음악과 운동 등 자유롭고 독창적이며 도전적인 문화에서 영감을 받고 삶과 선택에 대한 이야기를 담습니다.
""모든 선택은 자신의 균형을 위함이라고 생각하는 에이카화이트는 신념, 의지, 결심, 선택, 도전 등 그 균형에 대한 이야기들을 우리만의 디자인에 담아 당신의 균형을 위한 선택을 서프트입니다.
우리는 당신의 선택과 균형에 늘 함께 하길 바랍니다","ㆍ완사입 메인 및 샘플 스케줄 관리
ㆍ원/부자재 소싱 및 발주관리
ㆍ프로모션/생산처 발굴 및 관리
ㆍ품질점검
ㆍ원가관리
ㆍ예산 기획 및 관리","ㆍ캐쥬얼 패션브랜드 경력이 있으신 분
ㆍ에이카화이트에 대해 이해도가 높으신 분
ㆍ국내/외 캐쥬얼 패션브랜드에 관심이
   많으신 분
ㆍ문서작성 우수자
ㆍ꼼꼼하고 책임감이 강한 분

해당 요건을 충족하지 않아도 면접 후 채용 가능",,서류전형->면접전형->최종합격,"연차수 별 연차휴가 부여
출산휴가 인병휴가, 대체휴가
여름휴가(유급)부여
자사의류 구매혜택(상시 할인 및 시즌별 적립금)
생일케익 파티 팬트리 식대제공 외근 교통비 지원
회식 교통비 및 회식비 지원 체력단련비 지원
통신비 지원 업무용 필요물품 제공
리프레시 데이 매주 목요일 점심시간 2시간","서울 성동구 연무장13길 9, 601호","['생산/품질기획', '생산관리']",['생산관리/품질관리'],"['생산/품질기획', '생산관리']"
(주)뮤즈라이브,정규직,"['생산', '생산관리', '자재관리', 'MES', '입출고관리']","뮤즈라이브는 키트앨범(키노앨범)을 제작하는 회사입니다.
저희가 만드는 앨범은 일반 CD가 아니라,
스마트폰에서 구동되는 음악 앨범입니다.
2023년 현재 키트앨범 누적 530만개 판매를 돌파하였고, 매년 급성장하고 있습니다.

현재 SM 엔터테인먼트 및 굴지의 기획사들과 함께 새로운 앨범을 만들고 있고,
해외 유니버셜 뮤직 그룹 등 여러 기획사들과 앨범 출시를 협의 중에 있습니다.

저희는 미디어 산업을 혁신 시킬 다양한 생각들을 가지고 있습니다.
뮤즈라이브는 회사와 팀원의 급격한 성장을 목표로 합니다.
저희와 함께 세상의 변화를 이끄실 분을 찾습니다.


*뮤즈라이브의 Smart Factory팀은요! 

• 연간 100만개 이상의 키트를 생산, 관리합니다.
• 정부지원사업을 통해 스마트팩토리를 구축하였으며, 기존보다 더 고도화된 스마트팩토리를 위하여 지속적인 연구개발/투자를 진행중입니다.
• 자동화 설비, MES를 통해 체계적인 생산을 진행합니다.
• 지속적인 신규 설비 도입으로 여러 자동화 설비를 학습, 경험할 수 있습니다.
• 제품의 발주, 생산, QC, 출하, CS, A/S 등 전 과정을 폭넓게 경험하여 생산관리 Generalist로 성장이 가능합니다.","• 키트 앨범 제품별 생산기획 / 진도관리
• 스마트팩토리 생산 인력 관리
• 자동화 설비 운영 및 스케줄 관리
• 자재관리 및 입출고 관리
• MES 시스템 운영 및 개선을 통한 생산성 향상","이런 분과 함께 하고 싶어요!

• 성장에 대한 열정이 가득한 분
• 능동적인 업무태도와 비즈니스 매너가 탑재된 분
• 다양한 성별, 특성, 나이대의 동료와 원활한 의사소통이 가능하신
• 스마트 팩토리에 대한 관심이 높으신 분
•  스타트업에 대한 충분한 이해를 보유하신 분
• 초급 이상의 OS(엑셀) 및 문서 활용 능력을 갖추신 분 (복잡한 함수 사용까진 아니더라도 데이터를 기반으로 구상, 표현에 어려움이 없으신 분)","이런 분이라면 더할 나위 없어요!

• 생산 & 재고관리 및 생산인력 관리 관련 업무를 1년 이상 경험하신 분
• Smart Factory 운영 경험이 있으신 분
• MES 활용 경험이 있으신 분
• 자동화 설비 운영 경험이 있으신 분
• 여러 상황의 개선점을 캐치할 관찰력과 대안을 적극적으로 제시하실 분
• 사무직과 현장직 하이브리드도 기꺼이 가능하신 분
• 오류 없는 꼼꼼함으로 주위를 놀라게 한 경험이 있으신 분
• 공동의 목표 달성을 위해 깊은 몰입이 가능하신 분
• 생산 관리 업무에 대한 높은 직업의식을 갖추신 분","* 채용 절차
서류전형 → 폰 스크리닝 → 대면인터뷰 (1차 & 2차)  → 처우 협의 → 입사

* 지원방법
• 잡플래닛 입사지원
• 제출서류 : 자유양식의 국문 이력서 및 자기소개서","• 간식 무한 제공, 고급 커피 제공
• 10시 출근, 7시 퇴근
• 식비 전액 지원
• 종합 건강 검진 제공 
• 도서 구매비 지원
• 다양한 컨퍼런스 참석 지원
• 생일자 반차 및 상품권 지급
• 업무 관련 도서 및 인강 구매 지원","서울 마포구 월드컵북로56길 19, 10층 (상암동,드림타워)",['생산관리'],['생산관리/품질관리'],['생산관리']
(주)블랭크코퍼레이션,정규직,"['품질관리', '생산관리', '원가분석', '원가관리', '생산기획', '제품생산']","about blank 인간을 위한 새롭고 가치있는 일에 끊임없이 도전합니다.
블랭크코퍼레이션은 사람들의 삶 속의 결핍을 찾아 해결합니다.블랭크가 제안하는 솔루션은 작은 것일수도 있지만 지금까지 누구도 도전하지 못했던 큰 것일 수 있습니다. 사람들의 일상에 임팩트를 제공할 수 있다면 무엇이든 도전하여 변화를 만들어냅니다.

더 파격적이고, 더 다양하고, 더 새로운  우리의 도전을 함께 하실 분을 찾습니다.","모도리 브랜드 제품의 전반적인 생산기획 업무를 맡으실 예정입니다.

주요업무
• 리빙 (주방용품 & 쿡웨어 & 키친웨어) 카테고리의 제품 생산
• 신규 제조사 소싱 및 검증, 계약 체결
• 품질/원가/납기/국내·외 제조 인프라 관리 및 평가
• 내/외부 고객 관점 생산 프로세스 설계
• 가설검증 프로젝트를 통한 문제 해결","• 관련 업무 경력 3년 이상의 경험이 있으신 분
• 원가 분석, 품질 관리, 납기 관리, 국내·외 제조 인프라 관리 경험이 있으신 분
• 리빙 관련 카테고리에 새로운 제품 기획 & 소싱 프로세스 설계 경험이 있으신 분
• 협상 및 협업 커뮤니케이션에 능하신 분","• 주방 용품 브랜드에서 업무를 경험이 있으신 분
• e-commerce의 물류/CS 등 Back Office의 업무 프로세스 이해가 있으신 분
• 금형에 대한 지식을 보유하고 계신 분", • 서류 심사 ＞ 1차 현업 면접 ＞ 2차 최종 면접 ＞ 레퍼런스체크/처우협의 ＞ 최종합격,"of the blanker, by the blanker, for the blanker
블랭커의, 블랭커에 의한, 블랭커를 위한 복지 제도

즐겁게 일하는 환경을 만듭니다.
ㆍ중식비 1만원 지원 (연봉에 미포함)
ㆍ자율 출퇴근제 운영 (8시 - 10시 30분 출근)

개인의 성장을 응원합니다.
ㆍ3 / 5/ 7년 장기근속자 휴가 및 지원금 제도

개인의 삶을 생각합니다.
ㆍ남녀 모두 편하게 사용하는 월 1회 보건휴가
ㆍ매년 5월엔 가족과 풍요로운 시간을 보내기 위한 식사비 지원
ㆍ매년 건강검진 휴가/비용 지원
ㆍ연간 300만원 상당의 자사 제품 구입 비용 지원
ㆍ결혼 경조금 200만원 / 출산 경조금 200만원

더 다양한 블랭크 복지를 입사 후 확인하세요.",서울시 강남구 역삼로 179 ,"['생산/품질기획', '생산관리', '품질관리']",['생산관리/품질관리'],"['생산/품질기획', '생산관리', '품질관리']"
(주)더캐리,정규직,"['생산', 'QC', '생산관리', '원가관리', '발주']","(주)더캐리와 함께 할 인재를 모집합니다.
많은 지원 부탁드립니다.","1. 임가공 / 완사입 생산관리
- 원부자재 발주 및 투입관리
- 공임 및 원가 관리
- 임가공 공장, 업체별/시즌별 투입계획 관리
2. 월 마감 진행 업무
3. KC 자율 안전(동일모델) 성적서 관리
4. 사내 유관부서 / 임가공, 프로모션 커뮤니케이션
5. 기타 잡화 및 악세사리 생산관리
6. 기본적인 물류 입고 관리","- 동종업계 및 유관업무 경력자(신입지원 가능)
- 의류 관련 학과 전공자","- 장기 근무 가능자
- 영어 / 중국어 가능자
- 엑셀 능력 보유자
- 장애인 우대",서류전형 > 면접전형 > 인적성검사 > 입사,"• 임직원 건강 지원
중식 식권 제휴 & 석식 지원
사내 카페테리아 운영
사내 헬스키퍼실 운영
종합건강검진(임직원) 지원
종합건강검진(가족) 지원
의료비 지원
독감예방접종 지원


• 마음 편한 육아 지원
자사제품 할인
임신기 근로시간 단축
육아휴직/육아기 근로시간 단축 
임산부 정기건강진단 시간 지원 
임신/육아기 근로형태 코디 운영

• 일/가정 양립 지원
theKARY DAY
(명절연휴 전 4시간 조기퇴근)
생일 반차 제공
명절 선물 제공
Family DAY(월 1회, 조기 퇴근)
야근 없는 날(매주 수요일)


• 더캐리 배테랑 양성
직책수당 지급
장기근속자 리프레시 휴가(매 3년, 휴가 및 휴가비 지급)
장기근속자 포상(매 5년마다 포상) 
장기근속자 안식월 (매 7년마다 부여)

• 근무여건
한강진역 도보 7분 기본 09:30~18:30 (시차출근제 운영)
각 층별 라운지 운영 (음료 및 다과제공) 
개인 노트북 지급 (직무별 일부 상이)

• 경조사 지원
경조휴가 및 경조사비 지원


",서울특별시 용산구 이태원로 241,['생산관리'],['생산관리/품질관리'],['생산관리']
(주)더캐리,정규직,"['생산', 'QC', '생산관리', '중국']","(주)더캐리와 함께 할 인재를 모집합니다.
많은 지원 부탁드립니다.","- 중국 현지 공장과 커뮤니케이션
- 의류 생산관리
- 원/부자재 핸들링","- 학력무관
- 비즈니스 중국어 가능자(필수)
- 스웨터  생산관리 경력자(4년 이상)","- 장기근무 가능자
- 해외 근무 경험자",서류전형 > 면접전형 > 인적성검사 > 입사,"• 임직원 건강 지원
중식 식권 제휴 & 석식 지원
사내 카페테리아 운영
사내 헬스키퍼실 운영
종합건강검진(임직원) 지원
종합건강검진(가족) 지원
의료비 지원
독감예방접종 지원


• 마음 편한 육아 지원
자사제품 할인
임신기 근로시간 단축
육아휴직/육아기 근로시간 단축 
임산부 정기건강진단 시간 지원 
임신/육아기 근로형태 코디 운영

• 일/가정 양립 지원
theKARY DAY
(명절연휴 전 4시간 조기퇴근)
생일 반차 제공
명절 선물 제공
Family DAY(월 1회, 조기 퇴근)
야근 없는 날(매주 수요일)


• 더캐리 배테랑 양성
직책수당 지급
장기근속자 리프레시 휴가(매 3년, 휴가 및 휴가비 지급)
장기근속자 포상(매 5년마다 포상) 
장기근속자 안식월 (매 7년마다 부여)

• 근무여건
한강진역 도보 7분 기본 09:30~18:30 (시차출근제 운영)
각 층별 라운지 운영 (음료 및 다과제공) 
개인 노트북 지급 (직무별 일부 상이)

• 경조사 지원
경조휴가 및 경조사비 지원


",서울특별시 용산구 이태원로 241,['생산관리'],['생산관리/품질관리'],['생산관리']
