회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
(주)몰림,정규직,"['연구개발', '생명과학', '프로젝트 PM']","「주식회사 몰림 :: 분자영상 | Bio-suite」

🤘바이오연구자가 가장 먼저 전화하는 기업
👏바이오연구자가 ""여기서 했다, 여기선 된다""고 말하는 기업


🧭 주식회사 몰림은 첨단과학과 기술로 바이오연구자들의 성공을 돕기위해 헌신한다는 사명을 갖고 설립된 CRO 입니다. 

우리는 「🙇🏻고객 경험 | 👍탁월한 품질 | 🤖완전 디지털 | 🚀도전과 성장 | 🏆챔피언십」이라는 핵심가치를 추구합니다. 

주식회사 몰림의  핵심역량은 「🎡분자영상 | 💻디지털 | 📏규제과학 | 🛰️소통 | 🦁용기」입니다. 

주식회사 몰림의 사명에 동참하고 함께 가치를 추구하며 
역량을 강화할 인재를 모집합니다!","◉다양한 목적의 비임상시험 프로젝트 관리
◉시험계획서의 작성 
◉시험보고서의 작성 
◉표준작업지침서 작성·운영","◉학력
   ·석사 이상
   ·의/약학, 생물학, 생명공학 관련 전공
◉경력
   ·3년 이상
◉신약개발을 위한 비임상시험의 목적과 과정 설정을 통해 시험결과 도출을 경험을 갖고 있는 분
◉전문과학 및 기술 서비스에 관심이 있으신 분
◉세포, 단백질, 펩타이드, 항체, 미생물 시험 및 분석(바이오의약품 연구개발)의 경험을 갖고 있는 분
◉그리고,
   ·강한 책임감을 갖고 계신 분
   ·시간 약속을 잘 지키시는 분
   ·꼼꼼한 분
   ·소통과 협업을 통해 성과를 달성하시는 분
   ·디지털 협업툴의 이용에 익숙하신 분(Slack, Notion, Google Workspace 등)","◉제약·바이오텍 경력자
◉정부지원 과제 수행 유경험자
◉CRO 사업 및 서비스 유경험자
◉핵의학분자영상연구(방사성동위원소 취급 및 이용 연구) 유경험자
◉광학영상연구(형광영상/생체발광영상) 유경험자
◉보훈대상자 및 장애인은 관계법령에 의거 우대",서류전형 → 실무자 면접 → 임원 면접 → 최종합격,"국민4대보험, 주5일 근무, 보상휴가, 점심식비 지원, 구내식당 운영기관 입주","경기 수원시 영통구 광교로 145, B동 4층","['식품/제약', '유전공학/생명/생물']",['연구개발'],"['식품/제약', '유전공학/생명/생물']"
(주)아델,정규직,"['프로젝트관리', '바이오', 'DNA', '동물']","• 알츠하이머병 항체치료제 및 진단제 개발
• 치료용 플랫폼 개발
• 화학합성 의약품 개발","• 프로젝트 관리
• DNA works (construction design, cloning)
• 동물세포(CHO, HEK) 단백질 발현
• 단백질(바이오의약품) 정제 (AKTA)
• 단백질(바이오의약품) 분석 (HPLC, Octet)","• 학력: 바이오 전공 석사이상
• 경력: 신입 또는 경력 5년 이하","• 항체의약품 및 fusion protein 제작 경험자
• 동물세포 단백질 발현/정제 경험자
• AKTA, HPLC, BLI(Octet) 등 기기 관리 경험자",,"• 유연근무제 시행
• 기념일 상품권 지급
• 회식비 지원
• 자기개발비 지원
• 장기근속자 포상","서울 송파구 올림픽로43길 88, 울산의대 서울아산병원 뇌과학교실","['식품/제약', '유전공학/생명/생물']",['연구개발'],"['식품/제약', '유전공학/생명/생물']"
뉴로핏(주),정규직,"['연구', '임상시험', '임상연구']","2016년에 설립된 뉴로핏은 자체 개발한 인공지능(AI) 기술 기반으로 뇌질환 진단 및 치료 의료기기를 개발하는 기업입니다.

뉴로핏은 현대 의학의 한계를 뛰어넘어 뇌질환으로 고통받는 환자들을 돕는 것을 회사 최우선 과제로 설정했습니다. 

뉴로핏만이 보유한 뇌 과학 기술의 전문성을 바탕으로 뇌질환 의료 솔루션 분야 글로벌 1위 기업으로 도약하기 위해 끊임없이 도전하고 있습니다.","선행연구 조사 및 분석
임상연구/시험 제반 업무(계획서 및 보고서 작성)
관련 규제 및 행정기관, CRO 협력 업무
","임상 연구 Medical Writing 전반 업무 경험 2년 이상
의공학, 생명, 보건, 의학계열 전공자","의료 인공지능 기반 SaMD 임상시험 경험(Protocol, ICF 개발, CSR 작성, 식약처 대응)
CE MDR 임상평가 유경험자 혹은 관심이 있는 자
체계적 문헌 고찰 경험자
연구방법론, 통계 교육 이수자
보건/의학계열 석사 학위 소지자","자유 양식의 이력서 및 자기소개서
서류전형 → 1차면접 → 2차면접   절차는 상황에 따라 변경될 수 있습니다.
","ㆍ자율출근제도 
(오전 7~11시 사이 자유롭게 출근하여 최선을 다해 8시간 근무하고 퇴근합니다.)

ㆍ업무에 필요한 하드웨어 및 필요 소프트웨어 지원
ㆍ점심식사 제공
ㆍ야근 지양 문화, 보상휴가제
ㆍ반반차 사용 가능, 자유로운 휴가 사용
ㆍ외부 교육 및 도서 구매 지원
ㆍ세미나 및 학회 참여 지원
ㆍ경조사 및 졸업, 명절 선물 지급
ㆍ간식, 최고급 원두를 사용한 커피 무한 제공",서울특별시 강남구 테헤란로 124 삼원타워 12층,['유전공학/생명/생물'],['연구개발'],['유전공학/생명/생물']
뉴로핏(주),정규직,"['연구', '의료기기', '임상시험']","2016년에 설립된 뉴로핏은 자체 개발한 인공지능(AI) 기술 기반으로 뇌질환 진단 및 치료 의료기기를 개발하는 기업입니다.

뉴로핏은 현대 의학의 한계를 뛰어넘어 뇌질환으로 고통받는 환자들을 돕는 것을 회사 최우선 과제로 설정했습니다. 

뉴로핏만이 보유한 뇌 과학 기술의 전문성을 바탕으로 뇌질환 의료 솔루션 분야 글로벌 1위 기업으로 도약하기 위해 끊임없이 도전하고 있습니다.","임상시험 및 임상연구 관리
IRB 심의 및 의료기기 실시기관 임상시험 대응 및 지원
","임상시험 경력자 (경력 1년 이상)
임상시험 종사자 교육 이수자
의공학, 생명, 보건, 의학계열 전공자","의료기기 임상시험 경력자
의료 인공지능 기반 SaMD 임상시험 경력자
CRA 경력자","자유 양식의 이력서 및 자기소개서
서류전형 → 1차면접 → 2차면접   절차는 상황에 따라 변경될 수 있습니다.","ㆍ자율출근제도 
(오전 7~11시 사이 자유롭게 출근하여 최선을 다해 8시간 근무하고 퇴근합니다.)

ㆍ업무에 필요한 하드웨어 및 필요 소프트웨어 지원
ㆍ점심식사 제공
ㆍ야근 지양 문화, 보상휴가제
ㆍ반반차 사용 가능, 자유로운 휴가 사용
ㆍ외부 교육 및 도서 구매 지원
ㆍ세미나 및 학회 참여 지원
ㆍ경조사 및 졸업, 명절 선물 지급
ㆍ간식, 최고급 원두를 사용한 커피 무한 제공",서울특별시 강남구 테헤란로 124 삼원타워 12층,['유전공학/생명/생물'],['연구개발'],['유전공학/생명/생물']
(주)아델,정규직,"['세포 배양', '약물감시', '분자생물학 실험', '영어 가능']","(주)아델의 주요 사업은 아래와 같습니다. 함께 일할 연구원을 모십니다.
• 알츠하이머병 항체치료제 및 진단제 개발
• 치료용 플랫폼 개발
• 화학합성 의약품 개발","• 바이오/합성 의약품 후보물질 약효평가 및 작용기전 연구
• 신규 물질 스크리닝 및 분석법 개발
• 직무 관련 문서 작성 (계획서, 보고서, 논문 등)","• 석사 이상 졸업자
• 수행업무 관련 전공자 (생물학, 생명과학, 의생명과학, 면역학, 의과학 등)","• 세포 배양 및 분자생물학 실험 경험자
• 세포 배양 경험자 (Cell line, Primary cell)
• 약물 스크리닝 관련 경력자
• 영어 회화/작문 우수자",서류전형 > 면접 > 최종합격,"• 유연근무제 시행
• 기념일 상품권 지급
• 회식비 지원
• 자기개발비 지원
• 장기근속자 포상","서울 송파구 올림픽로43길 88, 울산의대 서울아산병원 뇌과학교실","['유전공학/생명/생물', '식품/제약']",['연구개발'],"['유전공학/생명/생물', '식품/제약']"
(주)에이아이트릭스,정규직,"['행정', '보건의료', '학회', '기술평가', '의료기술직']","""AI Right Next to you”
AITRICS는 인공지능의 경계를 허물어 인류를 위한 기술로 당신과 함께하겠습니다.

AITRICS는 인공지능 원천기술을 연구/개발하고 이를 실산업영역에 접목하여 해당 분야의 혁신을 지향하는 팀입니다.

인공지능은 사람들의 삶의 양상을 근본적으로 바꿀 수 있는 파급효과가 큰 연구 분야이며 산업적으로도 아직 Early Stage로 기회가 큰 분야입니다.

AITRICS는 의료인공지능, 디지털 휴먼 등 다양한 분야에 인공지능을 활용하고 있습니다.


[ Medical AI Division ]

Medical AI는 환자의 의료 여정에서 환자와 의료진 모두에게 의미 있는 임상적 가치를 제공하는 팀입니다.
VitalCare는 AITRCIS의 기술이 적용된 첫 제품으로 환자의 의료데이터를 분석하여 병원 내 급성 중증 이벤트를 예측하는 인공지능 의료기기 소프트웨어입니다. 

조기 진단은 환자에게는 치료의 시기를 앞당기고 사망률 감소 및 예후를 향상시킬 수 있게 하고, 동시에 병원의 리소스 효율화를 가능하게 합니다.

AITRICS는 단순히 연구 주제로서의 인공지능이 아닌 의료 산업 전문 영역에서의 활용이 가능하고 이를 통해 실질적인 솔루션을 제공하는 것을 추구합니다.

아직 풀리지 않은 우리의 삶을 변화시킬 문제를 해결해 나가기 위해 함께할 팀원을 찾습니다.","• 의료기술평가 연구목적 달성을 위한 연구계획서 작성, 수행, 관리
 －신의료기술평가 연구 전략 수립
  - 보건의료산업 연구 동향 및 정책 이슈 검색 및 분석
  - 체계적 문헌고찰, 경제성 평가 수행
  - 보건의료기술의 안전성, 유효성 및 비교효과성 분석
  - 의료기술평가 보고서 작성 및 관련 행정기관, 학회 협력 업무","• 유관 경력 2년 이상
• 보건학 등 관련 전공자
• 의료기기 임상연구 및 임상시험에 대한 높은 이해도
• 의료기기 인허가 및 건강보험 등재 프로세스에 대한 높은 이해도
• 의료기기 산업 및 인공지능 기술에 대한 높은 이해도
• 외부의 이해관계자에게 임상연구 및 경제성 평가에 관한 자료를 효과적으로 전달할 수 있는 역량
• 커뮤니케이션 능력이 탁월하신 분","• 한국보건의료연구원 주임연구원 이상(관련 분야 3년이상) 재직한 자
• 연구방법론, 통계(의학, 보건통계), 역학 이수자
• 환자자료 및 건강보험 청구자료를 활용한 통계분석 역량
• 의사, 간호사 등 임상경력자",,"1. Work
자율 출근제 및 재택근무
자율 휴가제(장기 휴가 사용 가능)
대체 휴가제(주말 근무 시 연차와 별도로 제공)
고급 장비 지원
완전 자율 복장
뛰어난 동료들과 함께 일할 수 있는 환경

2. Life
중식 비용(1만원까지) 지원
야근 시 석식 비용 지원
간식(토스트, 과자, 우유 등) 무제한 제공
고급 원두와 커피머신 제공
경조 휴가와 화환 지원
출산전후휴가, 육아휴직, 임신기/육아기 단축근무제도 운영

3. Growth & Refresh
AITRICS 구성원 전용 업무/휴식 공간과 카페테리아
장기근속 휴가 제도(3/5/7/10년 근속 시 유급 휴가 각각 5/10/15/20일 추가 제공)
세미나/컨퍼런스 참가비 지원
사내 도서(역사, 인문, 자기계발, 자연과학, 경제/경영, IT 등) 구입 지원","서울특별시 강남구 테헤란로218, AP Tower 13층",['유전공학/생명/생물'],['연구개발'],['유전공학/생명/생물']
(주)엔비피헬스케어,정규직,"['바이오', '임상시험', '임상', 'CRO']","(주) 엔비피헬스케어는요?
코면역 유산균 '바이크롬'과 개별인정원료
'NVP-1703'을 연구개발한 기업입니다.

(주)엔비피헬스케어는 혁신적 가치 창출을 위한 마이크로바이옴 및 의약품 연구개발의 선두주자로서 오픈 이노베이션을 활용한 신약 후보물질 발굴 및 최적 기술개발을 통한 글로벌 미래 헬스케어 비전 개척자 (Next Vision Pioneer)로서 자리매김하고 있습니다.

(주)엔비피헬스케어는 마이크로 바이옴 조절로 질환을 제어하는 기능성 프로바이오틱스 연구 개발을 통해 프로바이오틱스 패러다임 전환을 추구하고 있으며, 임상시험을 기반으로 다양한 기능성을 입증하고 있습니다.

나아가 건강한 사람의 장내세균총에서 분리한 다양한 미생물을 이용하여 알츠하이머, 지방간, 암 등 난치성 질환을 치료하는 파마바이오틱스 혁신신약 및 바이오마커를 연구개발 하고 있습니다.

(주)엔비피헬스케어는 국내 최초 알레르기 비염개선 기능성 프로바이오틱스 개별인정원료 (NVP-1703) 허가를 받아 ""바이크롬 코 유산균""을 런칭하여 판매중이며, NVP-1704 등 다수의 프로젝트를진행중에 있습니다.","임상시험 담당자 모집 
- (마이크로바이옴) 글로벌 임상시험 수행을 위한 시험계획 및 시험종료까지의 전반적인 
임상 진행 관리 업무 
- 임상시험 관련 문서 개발 및 문서 검토 업무 
- 실시가관, CRO 등 관리
- 일정 및 연구비 관리
- SOP 관련 업무 ","-학력 : 대졸이상(4년)
- 전공 : 바이오, 의양학, 생명과학, 간호학, 수의학 등 자연계열 전공자 
- 제약회사 CRO  등에서 임상경력 3년 이상 경력 보유자 
- 직급/직책 : 면접 후 결정","- 영어 능력 우수자 
- 글로벌 임상업무 경험자 또는 PM 경력자
- 석/박사 우대  ",서류전형 → 실무면접(필요시 PT진행) → 임원면접 → 최종합격,"-기본 복지
4대보험, 퇴직연금, 명절선물, 회식비 지원 등

-식비 지원

-휴가
자유로운 연/월차 사용

-브랜드쇼핑
자사제품 임직원 할인

-행복개발비
행복 개발을 위한 선택적 복지제도, 복지포인트 지원

-인센티브 지급
성과에 따른 상여금/성과급 인센티브 지급",경기 수원시 장안구 장안로448번길 5,['유전공학/생명/생물'],['연구개발'],['유전공학/생명/생물']
(주)마이크로바이오틱스,정규직,"['연구개발', '바이오', '연구', '바이오의약품', '신약개발']","당사는 다제내성 세균 치료를 위한 박테리오파지 기반의 치료제를 개발하고, 마이크로바이오타 뱅킹을 활용한 마이크로바이옴 기반의 치료제 및 향후 자가면역질환과 난치병 치료제 개발을 목표로 하고 있습니다.

당사는 연세의료원의 교수들이 직접 설립한 마이크로바이옴 및 박테리오파지 연구 전문 바이오텍 교원벤처 기업입니다. 미생물 총 은행 및 박테리오파지 라이브러리를 구축하여 박테리오파지 기반 다제내성세균 치료제와 장내 파지-미생물 총의 상호관계 연구를 통해 각종 난치병 치료제를 개발하고 있습니다.

현재 글로벌 진출을 위한 GMP를 구축하고 있으며 향후 CDMO사업도 병행할 것 입니다.
","＜시험법 개발 및 분석 부문＞
- 품질검사를 위한 시험법 개발 및 밸리데이션, SOP작성
- PCR, qPCR, ELISA assay 등 분자생물학적 기술을 이용한 시험법 개발 
- 시험법의 GMP 기술이전 
- IND submission을 위한 CMC 자료 구축 지원","- 생명공학, 분자생물학, 생화학 등 유관분야 전공자
- 미생물 및 박테리오파지 연구 경험 또는 관심이 있는 분
- 석사 학위 이상 소지자(박사 우대)",- 생물학적 제제 CMC 개발 및 IND 자료 작성 유경험자 우대,"유의사항
- 채용 절차는 서류전형 > 1차면접 > 인성검사 > 2차면접 > 결과 발표 순으로 진행됩니다.
- 3개월 간 수습 기간 후 수습평가 결과에 따라 정직원으로 전환 여부가 결정됩니다. 입사지원 시 이를 확인 후 동의하신 것으로 간주됩니다.

※ 아래 이력서 양식을 다운로드하신 후 작성하여 제출해주세요.
▶ 파일 제목 : 지원포지션명_성명
▶ 다운로드 : https://bit.ly/3EkwEa1","• 평가 결과에 따른 스톡옵션 지급
• 직원 휴게실 제공/ 간식 제공
• 명절 선물","서울 서대문구 연세로 50-1, 221호",['유전공학/생명/생물'],['연구개발'],['유전공학/생명/생물']
(주)마이크로바이오틱스,정규직,"['연구개발', '바이오', '연구', '분자생물학실험']","당사는 다제내성 세균 치료를 위한 박테리오파지 기반의 치료제를 개발하고, 마이크로바이오타 뱅킹을 활용한 마이크로바이옴 기반의 치료제 및 향후 자가면역질환과 난치병 치료제 개발을 목표로 하고 있습니다.

당사는 연세의료원의 교수들이 직접 설립한 마이크로바이옴 및 박테리오파지 연구 전문 바이오텍 교원벤처 기업입니다. 미생물 총 은행 및 박테리오파지 라이브러리를 구축하여 박테리오파지 기반 다제내성세균 치료제와 장내 파지-미생물 총의 상호관계 연구를 통해 각종 난치병 치료제를 개발하고 있습니다.

현재 글로벌 진출을 위한 GMP를 구축하고 있으며 향후 CDMO사업도 병행할 것 입니다.
","• 품질검사를 위한 시험법 개발 및 밸리데이션, SOP작성
• PCR, qPCR, ELISA assay 등 분자생물학적 기술을 이용한 시험법 개발
• 시험법의 GMP 기술이전 
• IND submission을 위한 CMC 자료 구축 지원","- 석사 학위 이상 소지자(박사 우대)
• 바이오 제약 경력자
• 생명공학, 분자생물학, 생화학 등 유관분야 전공자","• 생물의약품(단백질, 바이러스 등) 생산 공정 개발 및 GMP 기술이전 경험자
• 박사학위 소지자
• 국내외 IND 문서작성 경험자","유의사항
- 채용 절차는 서류전형 > 1차면접 > 인성검사 > 2차면접 > 결과 발표 순으로 진행됩니다.
- 3개월 간 수습 기간 후 수습평가 결과에 따라 정직원으로 전환 여부가 결정됩니다. 입사지원 시 이를 확인 후 동의하신 것으로 간주됩니다.

※ 아래 이력서 양식을 다운로드하신 후 작성하여 제출해주세요.
▶ 파일 제목 : 지원포지션명_성명
▶ 다운로드 : https://bit.ly/3EkwEa1","• 평가 결과에 따른 스톡옵션 지급
• 직원 휴게실 제공/ 간식 제공
• 명절 선물","서울 서대문구 연세로 50-1, 221호",['유전공학/생명/생물'],['연구개발'],['유전공학/생명/생물']
(주)세라트젠,정규직,"['바이오', '분자생물학']","오가노이드(장기유사체)와 기능성 생체소재 기술을 바탕으로 다양한 재생의료 플랫폼을 개발하여 의학의 패러다임을 '치료'에서 '재건'으로 전환하는 것을 목표로 설립된 기업입니다. 자사의 플랫폼 기술을 활용해 줄기세포/유전자/조직공학 치료제 등 재생의료 시장을 선도하고, 궁극적으로는 이식용 장기를 실용화 함으로써 인류 건강 증진에 기여하겠습니다.

오가노이드와 기능성 생체소재 기술을 융합하여 첨단 재생치료제를 개발하고자 하는 인재를 모십니다.","1) ESC, iPSC 등 만능성 줄기세포(Pluripotent stem cell) 배양 및 분화법 구축
2) 오가노이드를 이용한 Disease Modelling & Drug Screening","• 생물학, 생명공학 등 주요 업무에 적합한 관련 전공자
• 석사/박사 학위 취득자
• 가장 최근 2~3년 경력(학위 과정 포함)이 상기의 주요업무(1)을 만족해야 함","• 분자생물학실험 유경험자(유전자 및 단백질 발현 분석)
• Disease Modelling & Drug Screening 유경험자(특히 NASH)
• 담당직무 관련 SCI 논문, 특허 보유자
• 담당직무 관련 정부과제, B2B(기업간) 프로젝트 수행 경력자",,"1) 4대 보험, 퇴직금 지급
2) 스톡옵션 부여
3) 명절/휴가상여, 경조금/경조휴가
4) 팀 운영비, 자기계발비(직무교육/학회 참석, 도서비 등) 지원
5) 자유로운 연차 사용
6) 복지포인트 지급, 생일 상품권 지급
7) 청년일자리 도약장려금, 청년 내일채움공제
8) 주차비(출퇴근 자가차량 이용시), 음료/간식 지원(스낵바)","서울 서대문구 연세로 50, 공학원 332에이비씨호",['유전공학/생명/생물'],['연구개발'],['유전공학/생명/생물']
