회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
(주)레인보우로보틱스,정규직,"['로봇', 'Autocad', '전장설계', 'PCB설계', 'altium', '시제품제작', '전기제어', '전자제어']","레인보우로보틱스는 한국과학기술원 교원창업기업으로 설립되어 대한민국 최초이자 전세계에서 두번째 이족보행로봇인 HUBO(휴보) 연구개발에 참여해 로봇 기술력을 인정받은 기업입니다.

미국방위고등연구계획국(DARPA)에서 주관하는 재난로봇대회인 DARPA Robotics Challenge에 Team-KAIST 로 한국과학기술원(KAIST)와 팀을 이뤄 출전하여 최종 우승하는 성과를 거둔바 있으며, 당사가 보유한 로봇의 요소기술을 이용하여 이족보행로봇, 협동로봇, 족형로봇을 비롯하여 천문마운트 시스템 등 로봇개발에 있어서 우리나라를 대표하는 로봇전문 기업입니다.

우리가 가진 로봇기술로 인간과 로봇이 공존하며 삶을 이롭게 하려는 가치와 신념으로 매년 성장해 나가고 있으며, 로봇산업에서의 No.1 Player를 목표로 함께 성장할 인재를 찾고 있으니 많은 지원 부탁드립니다.","• 로봇 신규 라인업 PCB Artwork
   모바일로봇, 보행로봇, 협동로봇
• BOM 작성
• 협동로봇 전장 설계 및 시제품 배선","• 전자전기제어 또는 로봇 관련 전공자
• 관련학과 전문학사 이상
• PCB 설계 경력 2년 이상","• 설계 툴 능숙자 (Altium Designer, Auto CAD)
• H/W 시스템 전장설계 유경험자",,"• 성과급 제도
• 복리후생 
   - 중식제공,
   - 복지카드 지급(1년근속 시)
   - 사내동호회 지원
   - 경조사 지원(경조물품 및 경조사비, 경조휴가)
   - 법인가입 리조트 이용 시 숙박비 지원 등",대전 유성구 엑스포로339번길 10-19,['전기설계'],['엔지니어링'],['전기설계']
한국인닥타썸(주),정규직,"['전기기사', '운전면허', '전기산업기사', '전기설계', '기술연구소']",,ㆍ전기유도용해로 및 가열기 전원장치 설계직,"ㆍ학력 : 대졸 이상 (4년)
ㆍ경력 : 무관 (신입도 지원 가능)(면접 후 결정)","ㆍ전기기사, 전기산업기사
ㆍ국가유공자, 보훈대상자, 인근거주자, 운전가능자, 차량소지자, 해당직무 근무경험","서류전형-면접전형-최종합격

제출서류
ㆍ이력서, 자기소개서","지원금/보험 건강검진, 직원대출제도, 각종 경조사 지원, 단체 상해보험, 해외여행 지원, 선택적 복리후생, 자녀학자금
급여제도 인센티브제, 장기근속자 포상, 퇴직금, 휴일(특근)수당, 연차수당, 4대 보험
선물 명절선물/귀향비, 창립일 선물 지급
교육/생활 창립일행사, 우수사원시상식, 워크샵, 신입사원교육(OJT), 직무능력향상교육,해외연수지원, 교육비 지원, 구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 사우회(경조사회), 아침식사 제공, 간식 제공,
음료제공(차, 커피)
근무 환경 휴게실, 회의실, 전용 사옥, 유니폼 지급, 노트북, 사원증, 사무용품 지급
조직문화 노조/노사협의회, 수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 캐주얼데이
출퇴근 차량유류비 지급, 주택자금 융자, 주차장 제공
리프레시 연차, 여름휴가, 경조휴가제, 반차, 근로자의 날 휴무, 휴가비지원, 남성출산휴가",경북 고령군 다산면 송곡리 1757번지,['전기설계'],['엔지니어링'],['전기설계']
(주)컴텔싸인,정규직,"['전기', '유지보수', 'LED', '조립']","LED전광판 전문기업으로서 전국의 교통관련 안내전광판, 공공시설물인 재난재해전광판,
홍보전광판 등 조달우수인증을 받은 기술력으로 다양한 종류의 전광판을 생산하며
도시의 빛을 만들고 있습니다. 관련학과 전공자가 아니거나, 업계경력이 없더라도
함께 성장하며 성과를 이뤄나갈 수 있는 인재를 채용합니다.",ㆍLED전광판조립 및 하자보수,"ㆍ학력 : 고졸이상
ㆍ경력 : 경력무관","ㆍ전기기능사, 통신 관련 자격증 소지자
ㆍ동종업계 경력자","서류전형 > 면접전형 > 최종합격

제출서류
ㆍ이력서
ㆍ자기소개서","ㆍ지원금/보험 : 건강검진, 각종 경조사 지원
ㆍ급여제도 : 퇴직연금, 상여금, 우수사원포상, 퇴직금, 4대 보험
ㆍ선물 : 명절선물/귀향비, 생일선물/파티
ㆍ교육/생활 : 우수사원시상식, 워크샵, 구내식당(사원식당), 점심식사 제공, 간식 제공, 음료제공(차, 커피), 해외 워크샵
ㆍ근무 환경 : 회의실, 사내 정원, 유니폼지급, 사무용품 지급
ㆍ조직문화 : 야근강요 안함, 자유복장
ㆍ리프레시 : 여름휴가, Refresh휴가, 근로자의 날 휴무, 가족여행 지원금",경기 용인시 기흥구 용구대로 2236,['전기설계'],['엔지니어링'],['전기설계']
(주)델타이에스,정규직,"['전기', '전자', 'EM']",,"[담당업무]
ㆍEM 해석 기술지원 및
   엔지니어링 컨설팅프로젝트 수행

[근무부서 및 직급/직책]
ㆍ근무부서 : 기술연구소
ㆍ직급 : 프로","ㆍ학력사항 : 대학교4년졸업이상
                   (졸업예정자가능)
ㆍ전공 : 공학계열,이과계열
ㆍ경력사항 : 신입/경력
ㆍ전자기장 해석 소프트웨어 사용 유 경험자","ㆍ전자기장 해석 SW 유 경험자
ㆍ관련 분야 대학원 졸업자 (석사학위 이상)","서류전형 > 면접전형 > 최종합격
- 1차 서류심사
- 2차 면접 (서류심사 합격자에 한하여 면접 개별통보 함)

[제출서류]
ㆍ자기소개서
ㆍ최종학교 졸업증명서 및 성적증명서 각 1 통","지원금/보험
건강검진, 각종 경조사 지원, 헬스비 지급, 자녀학자금

급여제도
장기근속자 포상, 우수사원포상, 4대 보험","기술연구소- 서울시 금천구 벚꽃로 254, 801호",['전기설계'],['엔지니어링'],['전기설계']
(주)델타이에스,정규직,"['컨설팅', 'SW', 'FEA']",,"[담당업무]
ㆍFEA 해석 기술 지원 및
   엔지니어링 컨설팅 프로젝트 수행

[근무부서 및 직급/직책]
ㆍ근무부서 : 기술연구소
ㆍ직급/직책 : 사원/연구원","ㆍ학력사항 : 대학교 4년 졸업 이상
                   (졸업 예정자 가능)
ㆍ경력사항 : 신입/경력","ㆍFEA 해석SW 유경험자
   (ANSYS, ABAQUS, NASTRAN 등…)
ㆍ대학원 졸업자(석사 학위 이상)","서류전형 > 면접전형 > 최종합격
- 1차 서류심사
- 2차 면접 (서류심사 합격자에 한하여 면접 개별통보 함)

[제출서류]
ㆍ자기소개서
ㆍ최종학교 졸업증명서 및 성적증명서 각 1 통","지원금/보험
건강검진, 각종 경조사 지원, 헬스비 지급, 자녀학자금

급여제도
장기근속자 포상, 우수사원포상, 4대 보험","기술연구소- 서울시 금천구 벚꽃로 254, 801호",['전기설계'],['엔지니어링'],['전기설계']
(주)델타이에스,정규직,"['cad', '모델링', 'CAE', '3D모델링']",,"[담당업무]
ㆍCAD모델링업무

[근무부서 및 직급/직책]
ㆍ근무부서 : 기술연구소
ㆍ직급 : 프로","[자격요건]
ㆍ학력사항 : 대학(2, 3년)졸업이상
ㆍ경력사항 : 신입/ 경력
ㆍ3D CAD 프로그램사용유경험자
   (NX/SolidWorks/Solid Edge /CATIA등)
ㆍCAE 해석에관심있는분","ㆍCAD 능숙자(Solid Edge, Solid Works, NX등)
ㆍmesh 제작전용툴사용유경험자","서류전형 > 면접전형 > 최종합격
- 1차 서류심사
- 2차 면접 (서류심사 합격자에 한하여 면접 개별통보 함)

[제출서류[
ㆍ당사 양식 이력서 https://www.deltaes.co.kr/
ㆍ자기소개서
ㆍ최종학교 졸업증명서 및 성적증명서 각 1 통","지원금/보험
건강검진, 각종 경조사 지원, 헬스비 지급, 자녀학자금

급여제도
장기근속자 포상, 우수사원포상, 4대 보험","기술연구소- 서울시 금천구 벚꽃로 254, 801호",['전기설계'],['엔지니어링'],['전기설계']
(주)델타이에스,정규직,"['컨설팅', 'SW', 'FEA']",,"[담당업무]
ㆍ자동차, 전자 분야 열 유동 CFD
   해석 기술지원 및 엔지니어링
   컨설팅 프로젝트 수행

[근무부서 및 직급/직책]
ㆍ근무부서 : 기술연구소
ㆍ직급 : 프로","ㆍ학력사항 : 대학교 4년 졸업 이상
   (졸업 예정자 가능)
ㆍ경력사항 : 경력","ㆍ열유동해석 SW 유 경험자
   (STAR-CCM+, Fluent, CFX, FloEFD 등)
ㆍ1D Simulation 유경험자
   (Flomaster or Amesim 등)
ㆍ대학원 졸업자 (석사학위 이상)","서류전형 > 면접전형 > 최종합격
- 1차 서류심사
- 2차 면접 (서류심사 합격자에 한하여 면접 개별통보 함)

[ 제출서류]
ㆍ자기소개서
ㆍ최종학교 졸업증명서 및 성적증명서 각 1 통","지원금/보험
건강검진, 각종 경조사 지원, 헬스비 지급, 자녀학자금

급여제도
장기근속자 포상, 우수사원포상, 4대 보험","기술연구소- 서울시 금천구 벚꽃로 254, 801호",['전기설계'],['엔지니어링'],['전기설계']
(주)델타이에스,정규직,"['cad', '모델링', 'CAE', '3D모델링']",,"[담당업무]
ㆍCAD모델링업무

[근무부서 및 직급/직책]
ㆍ근무부서 : 기술연구소
ㆍ직급 : 프로","ㆍ학력사항 : 대학(2, 3년)졸업이상
ㆍ경력사항 : 경력
ㆍ3D CAD 프로그램사용유경험자
   (NX/SolidWorks/Solid Edge /CATIA등)
ㆍCAE 해석에관심있는분","ㆍCAD 능숙자(Solid Edge, Solid Works, NX등)
ㆍmesh 제작전용툴사용유경험자","서류전형 > 면접전형 > 최종합격
- 1차 서류심사
- 2차 면접 (서류심사 합격자에 한하여 면접 개별통보 함)

[제출서류]
ㆍ당사 양식 이력서 https://www.deltaes.co.kr/
ㆍ자기소개서
ㆍ최종학교 졸업증명서 및 성적증명서 각 1 통","지원금/보험
건강검진, 각종 경조사 지원, 헬스비 지급, 자녀학자금

급여제도
장기근속자 포상, 우수사원포상, 4대 보험","기술연구소- 서울시 금천구 벚꽃로 254, 801호",['전기설계'],['엔지니어링'],['전기설계']
(주)에바,정규직,"['설계', '전기', '기구설계', '부품설계', '전기차']","● 작은 가능성에도 최선을 다하는 분을 찾습니다

EVAR는 삼성전자 사내벤처 프로그램을 통해 탄생했습니다. 우리의 모토는 ""충전 걱정 없는 전기차 Life” 입니다.
EVAR는 세계 최초로 전기자동차 자율 충전 로봇을 개발했으며, EV충전기 부문 세계 최초로 CES 혁신상 2개 부문에 선정되었고 CES2023에서도 3개 부문에 선정되는 등 당사의 기술력/비전/지속 가능성은 이미 국내외에서 입증되고 있는 상황입니다.
또한 이동식 전기차 충전기, 찾아가는 전기차 충전 서비스와 같이, 공간과 시간의 제약이 없는 환경을 만드는 것을 목표로 합니다.
전기차에 대한 수요가 지속적으로 증가함에 따라 EVAR는 보다 다양하고 편리한 EV 충전 서비스를 선보일 것입니다.
우리와 같은 꿈을 가지고 함께 전기차 충전의 패러다임을 바꿀 분을 찾습니다!



● 우리가 일하는 방식

 수평적으로 소통합니다.
자유로운 분위기 속에서 다양한 아이디어와 힘이 나온다고 믿습니다.
영어 닉네임으로 호칭 부담을 내리고! 자율 복장으로 근무 환경의 편안함을 올리고! 있습니다.

 존중하고 성장합니다.
자신이 맡은 업무를 책임감 있게 실행하며, 나아가 동료와 그의 업무를 존중합니다.
자기개발을 위한 도서 및 온라인 강의를 지원하며, 모든 구성원들이 함께 성장하는 분위기를 만들어 나가고 있습니다.

 멀리 가기 위해, 함께 갑니다. Working Together
""빨리 가려면 혼자 가고, 멀리 가려면 함께 가라.”는 인디언 속담처럼, 우리는 서로 잡아주고 끌며 함께 가고자 합니다.
EVAR의 자산은 바로 당신이라는 모토 아래, 친목도모(소규모 회식비, 동아리 활동비 등)를 적극 지원합니다.","- EVAR에서 제작하는 각종 전기자동차 충전기기 개발
- 충전기(중/대형) 기구 외함 및 내부 브라켓 등 부품 설계 및 도면화
- 전장파트와 협업하여 Layout 검토 및 최적화
- 국내외 인증규격을 만족하는 구조설계","- SolidWorks 3D 툴 사용 가능
- AutoCAD 2D 도면 작성 가능
- 판금 설계 및 전장BKT 설계에 능한 분
- 기본 문서 작성 가능","- 대형제품 판금설계 실무 경험자(3D설계/2D출도/업체견적 및 제작협업)
- 충전 및 방전 등 전기제품 설계 실무 경험자
- 설계 제품 및 부품의 양산 Follow Up 실무 경험자
- 구조/강도 해석 실무 경험자
- 국내외 인증절차 업무경험",,"- 주5일 / 자율출퇴근제
- 점심/저녁 식사 제공은 물론, 간식 무제한
- 특별한 당신을 위한 생일 반차!
- 제주도 여행 시 제주도 직원 사택 사용 가능
- 자기개발을 위한 도서 구매 지원
- 체력단련을 위한 헬스비 지원
- 임직원 건강을 위한 종합검진 지원","경기 성남시 수정구 창업로 42, 919호",['전기설계'],['엔지니어링'],['전기설계']
(주)인텔리안테크놀로지스,정규직,"['CST', 'HFSS', '통신설계']","인텔리안은 전 세계 1위 위성 안테나 및 터미널을 제공하는 기업으로 보다 다양한 분야에서 세상과 사람을 이어주어 더욱 살기 좋은 세상을 만들겠다는 사명을 가지고 있습니다.

해상용 위성 통신 분야 1위로 인정받고 있는 인텔리안은 최첨단 RF 안테나 기술을 바탕으로 VSAT 및 위성 TV 시스템용 글로벌 커넥티비티 솔루션을 제공하는 전세계가 신뢰하는 기업입니다. 인텔리안은 다양한 기능을 갖춘 미래 지향적인 기술 솔루션과 혁신적인 연구 개발을 통해 누구나 이용할 수 있는 빠르고 안정적인 위성 통신을 제공하고자 최선을 다하고 있습니다.","• RF Reflector Design
• RF Component Design","• 학력 : 대졸이상(통신공학, 전파공학 등 관련전공)
• HFSS/CST Studio EM tool을 이용한 안테나 설계 경력
• 위성통신 및 이동통신 관련 RF components 설계 경력",,,"•교통비 지원
•기숙사 지원
•사내 운동시설
•기념일 지원
•휴가비 지원
•휴가/명절
•콘도 지원
•동호회 지원
•포상제도
•건강검진
•학자금제도
•기타 (복지포인트, 경조사 지원, 유류대 지원 등)",경기 평택시 진위면 청호리 348-5번지,['전기설계'],['엔지니어링'],['전기설계']
