회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
(주)서플러스글로벌,정규직,"['해외영업', '국내영업', '반도체장비', '거래선관리', '해외사업', '부품구매', '시장개척', '장비영업', '외국어(영어)', '커뮤니케이션 능력']","""우리는 직원을 채용하지 않습니다. 우리의 동료를 찾습니다.""

우리는 창조적이고 스스로 동기부여를 하는 열정적인 동료가 회사 발전의 초석이며 가장 소중한 자원임을 알고 있습니다.
우리는 모든 동료들이 서로를 존중하며 자아성취를 이룰 수 있도록 좋은 일터를 만들기 위해 최선을 다하고 있습니다.
또한 우리 동료들이 각자 인생의 꿈을 성취할 수 있도록 기회를 제공하고자 최선을 다하고 있습니다.
창사 이래로 20여년간 다양하고 많은 거래 경험과 정보, 우수한 인력과 차별화된 인프라를 기반으로 중고 반도체 장비 시장에서 글로벌 1등 시장을 선도하고 있습니다.
미국을 비롯해 유럽, 일본, 한국, 대만, 중국 등의 세계적인 기업들과의 거래하고 있으며, 고객에게 유휴장비 매입매각 , Refurbishment, Reconfiguration, 매입매각대행 등의 다양한 서비스로 최선의 솔루션을 제공하고자 노력하고 있습니다.
수평적이고 Open 커뮤니케이션을 통해 적확한 의사결정을 추구하며, 1조가치의 회사로 성장하기 위해 국내외 90여명의 전문가들이 최선의 노력을 다하고 있습니다","[이런 팀에서 일을 합니다. ]
• Parts팀은 신규사업으로 Legacy 반도체 장비의 Parts를 유통하고 있습니다.
• Parts팀은 Sales manager 와 DB manager 로 직무가 구분되며, 현재 5년~15년 경력을 가진 4명의 팀원이 업무를 진행하고 있습니다.
• 국내 팀과 중국, 미국, 일본, 싱가포르, 대만 법인 동료들과 협업하여 영업활동을 진행합니다.


[이런 업무를 합니다. ]
• 반도체 Legacy 장비 부품의 국내, 해외 영업활동을 수행합니다.
• 반도체 Legacy 장비 부품의 국내, 해외 공급선을 발굴하며 SCM을 수행합니다.
• 반도체 Legacy 장비 부품의 마켓플레이스를 구축합니다.
• Global Parts flatform의 구체적인 전략과 실행계획을 수립하고, 사업의 매출향상을 위한 기회를 찾습니다.","• 반도체 장비(전,후공정) 및 부품 또는 관련산업(자동차, 전자등) 15년 이상의 영업경력이거나
   Legacy 부품 구매 및 거래선 발굴 가능한 15년 이상의 구매경력이 필요합니다.
• 해외법인 동료, 해외고객과의 소통을 위해 영어로 소통이 가능해야 합니다.
• 의견을 자유롭게 개진하며 상대방을 존중하는 커뮤니케이션 능력이 필요합니다.
• 주도적으로 자신의 일을 찾아 문제를 해결하고 개선하는 능력이 필요합니다.
• 동료들과 업무 협업이 가능해야하며 변화에 유연하게 적응할 수 있어야 합니다.
• 긍정적인 사고를 가지고 목표를 달성하고자 하는 열정이 있어야 합니다.
• 최고수준의 투명성과 도덕성이 필요합니다.","• 반도체 산업, 장비 경험 및 이해가 있으면 더 좋습니다.
• 일본어 또는 중국어가 가능하면 더 좋습니다.
• 마켓플레이스 구축경험이 있으면 더 좋습니다.","• 서류전형 - 역량검사 -  1차 인터뷰(직무) -  2차 인터뷰(문화 적합성) - 석식 인터뷰 -  처우협의 - 최종합격 및 입사
• 지정 양식이 없으며, 자유양식으로 제출된 지원서를 검토합니다.
   (프로젝트(사용 기술, 본인 역할, 성과) 중심으로 경력기술서 구체적으로 작성해 주시기 바랍니다.)
• 서류 합격자에 한하여 온라인지원서 작성을 요청드리며, 이후 온라인 역량검사를 진행합니다.
• 소속팀장과 함께일할 동료가 참석하여 실무중심으로 직무 인터뷰를 진행합니다.
• 경영진과 서플러스글로벌 DNA 부합여부를 확인하기 위해 문화 적합성 인터뷰를 진행합니다.
• 회사와 후보자가 서로를 잘 알 수 있도록 자유로운 분위기에서 석식 인터뷰를 진행합니다.
• 회사내규에 따라 면접후 처우협의를 진행합니다.
• 최종합격후 후보자와 일정조율하여 입사를 진행합니다

[다음을 꼭 유의해 주세요. ]
• 입사지원서의 내용이 사실과 다른 경우 합격이 취소됩니다.
• 전형 단계 및 일정은 변동될 수 있습니다.
• 상황에 따라 검증 절차 추가되거나 생략 될 수 있습니다.
• 수시전형 특성상 조기마감될 수 있습니다
• 서류전형 합격자에 한해 개별로 상세 전형일정 안내드립니다.",,경기 용인시 처인구 남사읍 서촌로 56,"['국내영업', '영업기획/관리/지원', '해외영업']",['영업/제휴'],"['국내영업', '영업기획/관리/지원', '해외영업']"
(주)넥스트챕터,정규직,"['영업', '국내영업']",,"More about this job

넥스트챕터의 세일즈 매니저는 넥스트챕터 브랜드 제품들의 신규 판매 채널 발굴과 관리, 운영을 책임집니다. 
주요 판매 채널의 담당 BM/MD와 장기적 협력관계를 구축하여, 넥스트챕터의 제품들이 각 판매 채널의 지원을 받을 수 있도록 하여 궁극적으로 판매/매출을 제고합니다. 각 채널의 특성에 대한 깊은 이해를 바탕으로 승리할 수 있는 전략을 세우고 실행합니다.


Responsibilities
- 온라인/오프라인 전방위적 신규 판매 채널을 발굴합니다.
- 채널별 매출 및 이익 지표를 기반으로 채널 포트폴리오 전략을 고민합니다.
- 채널별 Go-to-market 전략을 수립합니다.
- 채널별 매출 타겟 및 예산을 주체적으로 수립합니다.
- DPSM 관리 (Distribution, Pricing  Promotion, Shelving, Merchandising)를 비롯한 주요 Sales fundamental을 정의하고, KPI를 수립하여 이를 관리 및 개선시킵니다.
- 매출 활성화를 위한 월별/분기별/연간 행사 계획을 수립하고 집행합니다.
- 주요 판매 채널의 파트너들과 장기적 관계를 구축하며, 협상 전략을 고민하고 실행합니다.","Qualifications
- 소비재 대기업/미디어 커머스/D2C 스타트업에서 세일즈 경력 2년 이상 10년 이하
- 데이터 기반으로 전략적인 사고 및 커뮤니케이션이 가능하신 분
- 명확한 커뮤니케이션 능력, 원활한 대인 관계를 유지할 수 있는 팀 플레이어
- 꼼꼼하고 성실하며, 책임감이 있으신 분
- Vlookup/피벗테이블 등 중/고급 수준의 MS Excel 활용 능력


Nice to have
- 네이버, 쿠팡 등 주요 Online Marketplace 에서의 BM 혹은 MD 경험
- 네이버 쇼핑, 쿠팡 등 주요 온라인 채널 운영 경력
- ‘Why NextChapter’, ‘Why Startup’이 명확한 분 ",,,,"서울특별시 성동구 연무장7길 11, 8층(성수동2가, 우란문화재단)",['국내영업'],['영업/제휴'],['국내영업']
램텍(주),정규직,"['국내영업', '운전면허', '시장분석', '영업전략수립', '실적관리', '전시회참가', '신규시장개척', '영업계획수립', '장비영업', '외국어능력']","REMTECH은 방사선(능) 계측분야의 든든한 동반자로써 지난 30여년의 경험과 전문지식을 바탕으로 보다 나은 서비스를 제공하여 국 민과 방사선 관련 종사자분들의 안전한 환경을 지켜나가기 위해 노력하고 있습니다.
주 활동분야 : 원자력 발전소, 원자력 관련 규제 및 연구 기관, 각 대한 및 병원, 철강/스크랩 산업, 전자 및 자동차 산업, 식품 및 화장품
제조 산업, 국/내외 화물운송 및 유통 산업, 군/경/소방 및 보안관련 기관 등
http://www.remtech.co.kr","담당업무(2명)

화학, 복합가스, 방사선 분석/측정 장비 영업
영업 계획 수립, 영업 활동 및 실적 관리
신규 시장 개척 및 발굴 (국내외 전시회 참석)
시장 환경 분석 및 전략 수립/실행
.Application

스킬
1종보통운전면허, Microsoft Office, OPIC, TOEIC

핵심역량
.계획성, 성실성, 꼼꼼함, 성취지향성, 윤리의식, 적응성, 협동심","학력 : 대졸이상
경력: 신입
전공 : 무관
영어능력: TOEIC(Speaking) 5급 이상, OPIC-IM1 
운전 가능자","컴퓨터 활용능력 2급 이상 또는 준하는 자격증 보유자
영업 활동 관련 전공자 또는 자격증 보유자","서류전형 > 1차면접 > 최종합격

면접일정은 추후 통보됩니다.
허위사실이 발견될 경우 채용이 취소될 수 있습니다.","상여 4회(연봉 별도) 지급, 인센티브(연봉 별도), 식대 지원(연봉 별도), 우사사원 포상, 장기근속자 포상, 경조금, 교육훈련비 지원

국민연금, 고용보험, 산재보험, 건강보험, 퇴직연금, 상해보험
주5일제 연차제도, 경조휴가, 반차제도, 출산휴가, 육아휴직, 남성출산휴가, 노동절 휴무, 가족 돌봄 정책, 공휴일 휴무, 반 반차 제도, 자유로운 휴가문화, 주말 휴무
경조금, 인센티브, 장기근속포상, 우수사원 포상제도, 임직원 교육비, 자기개발 지원, 휴일근로수당, 직책수당, 자격증 수 당, 명절선물/명절상여, 야간교통비 지급, 휴가비, 상여금, 청년내일채움공제, 회사 차량 지원, 회식비 지원 포상제도
신입 사원 교육, 직무능력향상교육, 자격증취득지원 멘토링 제도, 유연근무제, 임산부 근로시간 단축, 자율복장, 주40시간 칼퇴 권장
주차장, 쾌적한 업무공간, 탕비실
점심 식사 지원, 저녁 식사 지원, 휴양시설, 음료/간식 제공, 코로나 지원
여름휴가, 상여금, 회의실, 우수사원시상식, 야근강요 안함, 노트북, 회식강요 안함, 회사차량 있음, 수평적 조직문화, 문턱 없음, 사무용품 지급



","서울 구로구 디지털로26길 111, 1003호 (구로동,제이엔케이디지털타워)","['국내영업', '기술영업', '영업기획/관리/지원']",['영업/제휴'],"['국내영업', '기술영업', '영업기획/관리/지원']"
(주)오누이,계약직 (정규직 전환 가능),"['영업', 'TM', '아웃바운드']","신개념 교육 플랫폼의 선두주자

오누이는 '오빠랑 누나는 이렇게 공부한다'라는 의미를 담고 2016년에 탄생했어요. 현재 <오누이>와 <설탭>이라는 2가지 서비스를 제공하고 있으며, No.1 맞춤형 교육 플랫폼 기업으로 거듭나기 위해 노력중입니다. <오누이>앱은 독학이나 인터넷강의 등으로 공부하는 학생들의 궁금증을 언제 어디서나 해결할 수 있는 실시간 비대면 스마트 질의응답 서비스이며, 스마트 과외 <설탭>은 아이패드를 통해 1:1 실시간 수업을 하는 신개념 스마트 과외 서비스입니다.

누구보다 빠르게, 고속 성장

2019년 6월에 런칭한 <설탭>은 매월 15%씩 늘어나는 신규 회원을 바탕으로 누적 2만 명의 유료 수강생을 확보한 데다가, 연간 약 200% 매출 증가를 통해 빠른 속도의 성장세를 보이고 있어요. 이러한 비전과 성장성을 인정 받아 21년 10월에는 KB인베스트먼트, 스트롱벤처스 등의 기관으로부터 약 140억원 규모의 시리즈A 투자를 받았답니다. 그 외에도 토즈스터디센터, 비상교육 등과 제휴를 맺는 등 계속해서 성장해나가고 있어요!

Z세대를 위한, 설레는 공부의 시작

오누이는 사교육의 딱딱하고 성적 중심적인 프레임에서 벗어나, 신박하면서 즐거운 공부 경험을 제공하자는 것을 목표로 서비스를 운영하고 있어요. 서울대, 연세대, 고려대 등 일명 SKY 과외 선생님들의 강점과 교습타입 등을 분석하는 한편, 철저한 선생님 선발/관리를 통해 학생 개인에게 맞춤화된 서비스를 제공하고 있습니다. 온라인수업 환경은 물론, 직접 제공하는 다양한 학습 콘텐츠와 재미있는 기능/프로그램을 통해 Z세대를 위한 설레는 공부의 시작을 함께하고 있습니다.","- 설탭에 관심 있는 학부모님들에게 학생의 현재 문제에 대해 진단하고, 설탭의 솔루션을 통해 어떻게 해결할 수 있는지 설명하며 구매 의사를 높이고, 구매를 제안하는 역할이에요.
- 구체적으로는 인바운드를 통해 수집된 잠재 고객들에게 전화를 통해 설탭의 제품과 서비스에 대해 설명해요.
- 그 과정에서 성공과 실패 원인을 분석하며 인사이트를 발굴하고, 다양한 실험을 통해 콜 성공율을 높이는 것이 목표에요.
- 잠재 고객들의 관리하며 최종 구매로 이어질 수 있도록 영업 활동을 진행해요.","- 학력, 경력 무관 (신입 가능)
- 실행이 빠른 분, 목표를 달성하는 것을 즐거워하시는 분이면 더욱 좋아요.
",- 다양한 채널을 활용하여 고객과 직접 커뮤니케이션을 해 본 경험이 있으시면 좋아요,"Step 1. 지원서류 접수 및 검토
Step 2. 사전 전화 인터뷰
Step 3. 직무 면접(1/2차)
Step 4. 처우 협의 및 최종 합격","- 직급 없이 ""영어 닉네임"" 으로 소통하는 문화
- 좋은 성과에는 합당한 보상 제공(우수 성과자 : 인센티브 외 한우 선물 세트, 제주도 1박 2일 숙박권 등 지급)
- 잠깐의 리프레시가 필요할 때 재택근무(월 1회)
- 열심히 일한 당신 푹 쉬고 오세요! (분기별 유급 휴가 5일 제공)
- 일하면서 당 떨어질 틈이 없어요! 무제한 간식/음료 제공 
- 법인 카드로 점심식사 제공
- 퇴근 후 자기개발 시 저녁식사 지원
- 커리어 성장 지원(월 내부 영업 강의 진행, 분기별 외부 연사 강의 진행)
- 오뉴이어의 성장을 응원해요! 교육/도서비 지원
- 건강은 소중하니까! 종합 건강검진(연 1회)
- 생일자는 조기퇴근, 케이크, 팀별 파티까지! 
- 오뉴이어의 경사는 회사의 경사! 본인 결혼 시 축의금 100만원","서울 마포구 연희로 11, 4층","['국내영업', '텔레마케팅']",['영업/제휴'],"['국내영업', '텔레마케팅']"
(주)웅진,정규직,"['영업기획', '영업', '영업관리', '기술영업']",,"-클라우드 기반 그룹웨어 솔루션 대외 영업 및 벤더사 관리
- 네이버 클라우드 플랫폼(NCP,네이버웍스) 제안 PT 및 기술 영업
- 신규 및 기존 고객 대상 영업기회 발굴
","【지원자격】 
 - IT 영업경력 3년 이상 (사원~과장급)
 - 고객 협상 및 커뮤니케이션 역량 보유
 - 제안문서 작성 및 프리젠테이션 역량 보유

 【우대사항】 
 - IaaS,SaaS 영업 경험
 - 프리세일즈, 기술 컨설팅 등 경험 소유
 - 글로벌 솔루션 영업 경험
 - 영업에 관심있는 적극적인 지원자

 【공통자격】 
 - 병역필 혹은 면제로 해외여행에 결격 사유가 없는 분 
",,,,서울 중구 청계천로 24,"['IT/솔루션영업 ', '국내영업', '기술영업']",['영업/제휴'],"['IT/솔루션영업 ', '국내영업', '기술영업']"
(주)에스엠플라텍,정규직,"['거래처관리', '국내영업', '운전면허', '출고관리', '문서관리', '견적관리', '데이터베이스 관리', '업체대응']",,"ㆍ플라스틱 압출기 기계 견적 및 출고
ㆍ대외적 업체대응 기타 문서관리업무
ㆍ데이터베이스 작업","ㆍ학력 : 대졸 이상 (2,3년)
ㆍ경력 : 신입/경력 3년 이하(사원~주임급)","ㆍ운전가능자, 차량소지자",서류전형-면접전형-최종합격,"지원금/보험 각종 경조사 지원
급여제도 퇴직연금, 상여금, 우수사원포상, 성과급, 휴일(특근)수당, 연차수당, 직책수당, 장기근속수당, 4대 보험
선물 명절선물/귀향비, 창립일선물지급, 크리스마스 선물
교육/생활 창립일행사, 교육비 지원, 점심식사 제공, 사내동호회 운영, 음료제공(차, 커피)
근무 환경 휴게실, 회의실, 공기청정기
조직문화 수평적 조직문화, 야근강요 안함, 자유로운 연차사용, 칼퇴근 보장
출퇴근 주 52시간제 준수",경기 안산시 단원구 첨단로181번길 29,"['국내영업', '영업기획/관리/지원']",['영업/제휴'],"['국내영업', '영업기획/관리/지원']"
(주)휴머스온,정규직,"['영업', '기술영업', '국내영업']",,"[담당 업무]
 - 통합메세징 클라우드 서비스 영업
 - 기존 및 신규 영업전략 수립 및 수주
 - 매출/실적 관리","[필수 조건]
 - B2B 영업 경험이 있으신 분
 - 고객과 원활하게 커뮤니케이션 할 수 있는 능력이 있으신 분
 - IT전반에 대한 지식을 보유하신 분

* 이력서에 직전 연봉 및 희망 연봉 기재 필수

[우대 사항]
 - Saas, Cloud 서비스 영업 경험이 있으신 분
 - 솔루션, SI, 웹에이전시 등 IT 영업 경력이 있으신 분",,,,"서울 강남구 선릉로 433, 10층","['기술영업', '국내영업']",['영업/제휴'],"['기술영업', '국내영업']"
(주)모먼츠컴퍼니,정규직,"['영업', '온라인MD', 'MD', '프로모션기획', '자사몰운영']","Moments Vision
‘GLOBAL BRAND CONTENTS HOUSE’
모먼츠컴퍼니는 제품, 디자인, 영상, VMD 등 브랜드를 구성하는 모든 요소를 ‘브랜드 컨텐츠‘로 정의하고 
직접 기획하며 제작하고 있습니다.

컨텐츠 기획 시 정성적 요소에만 의존하지 않고 데이터를 끊임없이 연구하며 
새로운 인사이트를 발굴하고자 구성원 모두가 힘을 모으고 있습니다.

현재는 스킨케어 브랜드 ‘비플레인‘과 라이프스타일 브랜드 ‘낫온리포투데이’를 운영하고 있으며, 
앞으로 뷰티 산업을 넘어 헬스케어, F&B 등 새로운 영역으로 끊임없이 도전하고 확장할 계획입니다.

We make your MOMENTS
여러분들의 일상에 특별한 순간을 만들어 드릴 것을 약속합니다.

[낫온리포투데이] 는 23년 중순 패션 카테고리를 전개하며,
섬세한 디자인과 완성도있는 만듦새를 통해 더욱 확장된 브랜드 세계관을 보여주려 합니다.
[낫온리포투데이]의 가치에 공감하고 이를 반영한 상품을 주도적으로 기획하면서
브랜드와 함께 성장해나가실 온라인 MD를 기다리고 있습니다.

모먼츠 컴퍼니의 패션 사업팀은
대형 커머스, 패션 대기업 팀장 출신의 기획자와 디자이너 리드하에 
패션 비즈니스 기능들이 빠르게 갖추어져 가고 있으며,
본 채용 포지션인 온라인 MD는 그 중에서도 매우 핵심적인 기능으로
브랜드 성장에 있어서 아주 중요한 포지션으로 판단하고 있습니다.

신규 패션 비즈니스 구축, 브랜드 런칭 경험을 해보셨거나, 경험해보고 싶으신 분,
언젠가 자기만의 브랜드를 만들고 싶으시거나,
자기 주도적으로 업무하고 싶으신 열정적인 분들을 기다리고 있습니다.","• 브랜드 영업 계획 및 예산 수립
• 매출 분석 및 관리
• 브랜드 프로모션 기획
• 온라인 자사몰/외부몰 (무신사, 29CM 등) 운영
• 시장 조사, 트렌드 분석","• 3년 이상의 패션 온라인 MD 경력이 있으신 분
• 영업 매출 목표를 관리하고, 분석해 보신 분
• 프로모션을 기획하고 운영 해보신 분
• 사방넷, 카페24 등 채널 관리 솔루션 경험이 있으신 분","• 패션 브랜드, 소비자에 대해 폭넓은 이해를 갖추신 분
• 배움을 통해 즐거움을 느끼고 성장 하시는 분
• 데이터 분석 능력이 뛰어나신 분
","• 서류전형 
• 1차 면접
• BDPI 검사
• 2차 면접
• 평판 조회
• 최종 합격","• 명절 상여금
• 자율 휴가제: 본인 상황에 맞게 제한 없는 휴가 사용
• 사무실 출근 시 식대 및 간식 일체 제공
• 업무 관련 도서, 교육, 학습비 지원
• 화장품 구입비: 월 5만원
• 운동비: 월 5만원
• 건강검진비: 120만원 상당 패키지 지원
• 각 종 경조금 지원","서울 강남구 도산대로 145, 9층 (인우빌딩)","['국내영업', '기술영업', '영업기획/관리/지원']",['영업/제휴'],"['국내영업', '기술영업', '영업기획/관리/지원']"
(주)크레켄,정규직,"['마케팅', '영업', '영어', '영업관리', '매출관리', '기술영업']","산업용 방수커넥터, 진공피드스루, 엔코더를 유통하는 업체로, 국내 영업 및 해외영업에 관심이 있으시다면 지원해주세요. ","ㆍ 신규 거래선 제품 상담
ㆍ 기존 거래선 유지 및 관리
ㆍ 인바운드 영업
ㆍ 영업 업무 지원
ㆍ 기존 거래선 수/발주 업무","ㆍ경력 : 과장, 차장급
ㆍ연봉: 3000만원~5000만원

ㆍ경력 : 신입, 대리급
ㆍ연봉: 3000만원~4000만원","ㆍ인근 거주자
ㆍ해당 직무 유경험",서류전형  ->1차면접 ->  최종합격,"퇴직금, 성과급, 4대 보험
점심식사 제공
칼퇴근 보장
연차, 여름휴가, 경조휴가제, 근로자의 날 휴무","경기 성남시 중원구 사기막골로 124, 5층 514호","['국내영업', '기술영업', '영업기획/관리/지원']",['영업/제휴'],"['국내영업', '기술영업', '영업기획/관리/지원']"
(주)웅진,정규직,"['영업지원', '영업기획', '영업', '영업관리']",," - 컨택센터 신규 및 기존 Site 확대 영업
 - 신규 입찰 진행 및 제안 수주,계약 관리
 - 고객사별 손익 분석을 통한 사업계획 수립 및 시장 분석
"," - 관련업무 경력 5년 이상 (대리~차장급)
 - 콜센터 사업 운영 및 사업 제안 경험
 - 아웃소싱 영업 및 신규 사업 수주 경험  
 - 프리젠테이션 역량 및 협상스킬 보유  ",,,,서울 중구 청계천로 24,"['국내영업', '영업기획/관리/지원']",['영업/제휴'],"['국내영업', '영업기획/관리/지원']"
