회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
(주)우원기술,정규직,"['PLC', 'plc제어', '2차전지']",,ㆍ2차전지 PLC제어,"ㆍ학력 : 대졸 이상 (2,3년)
ㆍ경력 : 경력 (년수무관)","ㆍ공학계열
ㆍ해당직무 근무경험
",서류전형 > 1차면접 > 최종합격,"ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.
ㆍ사내대출 제도
ㆍ복지포인트 지급(년 200만)",경기 평택시 서탄면 서탄2로 176-25,['반도체/디스플레이'],['생산/제조'],['반도체/디스플레이']
(주)우원기술,정규직,"['PLC', 'plc제어', 'AS', '2차전지']",,"자동화설비 기계조립, 자동화설비 셋업

- 고객사 PLC 프로그램 A/S 대응 업무
-설비 Job/Change 및 개조 공사시
PLC 프로그램 변경 업무 ","ㆍ학력 : 대졸이상(2,3년)
ㆍ경력 : 무관
ㆍ대인관계 원만한자
ㆍ해외 여행에 결격 사유가 없는자","ㆍMT Developer /GT Designer,
ㆍGW-Works3 Motion CPU
ㆍ Simple Motion 사용가능
ㆍGOT/GP 사용가능
ㆍ해외 출장 셋업경험 우대
ㆍ운전 가능자
ㆍ문서 작성 가능자(PPT,EXCEL)",서류전형 > 1차면접 > 최종합격,"ㆍ지원금/보험 : 건강검진, 금연수당, 각종 경조사 지원, 체력단련실운영
ㆍ포상제도 : 복지포인트(연200만원), 장기근속자 포상, 우수사원포상(분기별/500만원)
ㆍ급여제도: 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 4대 보험
ㆍ선물 : 명절선물/귀향비, 창립일선물지급, 생일선물/파티,
ㆍ교육/생활 : 우수사원시상식, 워크샵, 신입사원교육(OJT), 구내식당(사원식당), 점심식사 제공, 저녁식사 제공,
                    사내동호회 운영, 사우회(경조사회), 신규입사자 멘토 제도
ㆍ근무 환경 : 수면실, 회의실, 카페테리아, 전용 사옥, 유니폼지급, 사원증, 사무용품 지급
ㆍ조직문화 : 노조/노사협의회, 회식강요 안함, 야근강요 안함, 자유로운 연차사용
ㆍ출퇴근 : 기숙사 운영, 통근버스 운행, 주차장제공
ㆍ리프레시 : 연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가",경기 평택시 서탄면 서탄2로 176-25,['반도체/디스플레이'],['생산/제조'],['반도체/디스플레이']
(주)우원기술,정규직,"['PLC', 'plc제어', '2차전지']",,ㆍ2차전지 PLC제어,"ㆍ경력 : 무관 (신입도 지원 가능)
ㆍ학력 : 고졸 이상",,서류전형 > 1차면접 > 최종합격,"ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.
ㆍ사내대출 제도
ㆍ복지포인트 지급(년 200만)",경기 평택시 서탄면 서탄2로 176-25,['반도체/디스플레이'],['생산/제조'],['반도체/디스플레이']
(주)토인,정규직,"['생산', '제조', '자동차부품']",,생산팀 정규직 2명 모집,"• 학 력 : 고졸이상(졸업예정자 가능)
• 경 력 : 무관(신입 기원 가능)","• 동등업종 유경험자
• 인근 거주자",,"(급여제도)
• 4대보험
• 상여금(400% - 시급에 포함), 우수사원 포상, 퇴직금, 성과금(월 팀별 지급)
• 야간수당, 특근수당(휴일), 연차수당, 직책수당, 장기 근속수당

(복리후생)
• 건강검진, 각종 경조사 지원, 의료비 지원(독감 백신 접종)
• 통근버스

(근무환경)
• 구내식당, 휴게실 운영(흡연실/비흡연실- 냉/난방 가능), 유니폼 지급
• 명절 선물지급

(리프레시)
• 연차, 경조휴가제, 반차, 법정 공휴일 휴무",경기도 시흥시 시화벤처로 152,['반도체/디스플레이'],['생산/제조'],['반도체/디스플레이']
(주)에임퓨처,정규직,"['반도체', '프로젝트관리', '전략기획']","에임퓨처는 2020년 LG전자에서 스핀오프한 인공지능(AI) 관련 스타트업입니다.

에임퓨처는 인공지능을 위한 하드웨어-소프트웨어의 융합 솔루션을 제공합니다. 회사의 주요 개발 업무로는 인공지능 네트워크 설계 및 최적화, 네트워크를 하드웨어에서 구동하기 위한 소프트웨어 개발도구(SDK) 작성, 하드웨어를 효율적으로 구동하는 런타임 라이브러리 개발이 포함됩니다.","ㆍ프로젝트 범위를 설정하고 추진 목표, 계획(일정), 추진 체계(방법론 등), 소요 예산 등 프로젝트 수행에 필요한 제반 계획을 수립
ㆍ프로젝트 진행 상황을 지속적으로 모니터링 및 이에 관련하여 정기적으로 보고(문제점 발견, 해결책 제시 등)
ㆍ고객사 관리 - 프로젝트 및 고객사와의 관계 관리 제반 업무를 수행
ㆍ영업, 마케팅, 재무 및 엔지니어링팀들과 협력하여 효율적으로 프로젝트를 관리하고 진행
",ㆍ반도체 칩 제조사에서 5-7년 경력을 보유한 분,"ㆍ영어 말하기, 쓰기에 모두 능통하신 분
ㆍDigital design과 End-to-End flow에 대한 이해도 및 경력을 보유한 분
",,"• 식비/교통비 및 기타 용도의 연간 500만원 복지포인트 지급
• 매주2~3회 재택근무 가능
• 인공지능 관련 제반 기술에 대한 회사 차원의 공식 스터디 상시 진행","서울 서초구 태봉로 114, 5층 에이아이양재허브",['반도체/디스플레이'],['생산/제조'],['반도체/디스플레이']
에이에스디티(주),정규직,"['반도체', 'asic', 'English']","ASDT는 세계 최고 수준의 시스템 반도체 설계를 하는 스타트업 기업입니다. 혁신적인 기술과 창의적인 아이디어를 통해 글로벌 기업에 고품질의 솔루션을 제공합니다. ASDT가 진출하는 시스템 반도 시장은 2025년까지 3500조 이상의 급격한 성장이 예상되는 거대한 시장으로 우리는 빠르게 변하는 시장에서 기술 리더십을 보유하기 위해 기술 및 인재 확보에 매진하고 있습니다. 우리는 이 도전을 함께 할 열정적인 동료를 찾고 있습니다.
우리의 일상 모든 곳에서 사용되는 반도체를 동료들과 효과적으로 협업하고 의미 있는 성과를 내기 위해 자신의 재능을 적극적으로 활용하실 분들을 ASDT로 초대합니다.",System-on-Chip Physical  Implementation( 시스템 반도체 Front-end 개발 ),"Responsibilities :

ㆍ Static timing analysis and timing closure
ㆍ Low power rule (UPF) verification and implementation
ㆍ LDRC, Formal verification, Dynamic simulation
ㆍ DFT structure design and verification
ㆍ Off chip PSI analysis and system guide

Experience :

ㆍ Least three years of experiences in RTL synthesis, STA, DFT, Power Analysis etc

Job Requirements :

ㆍ Experience in multiple clocks designs and low power design such as: Dynamic power optimization, MultiVt optimization, Clock gating, Dynamic and Adaptive Voltage Frequency Scaling.
ㆍ Excellent in manipulate primetime TCL script to generate timing report for a large design.
Deep knowledge of: synthesis, timing, equivalent checks, RC-extraction, noise, power, UPF, etc.
ㆍ Experienced in using EDA tools such as: Design Compiler, Power Compiler, Formality, Primetime, Design For Test, TetraMax, etc.
ㆍ Good knowledge in Design For Test implementation.","• Good communication and interpersonal skills.
• Good at English
• Ability to multi-task and can work under deadline pressure.",,"• 대졸자 초봉 4,200만원
• 4대보험 (국민연금, 건강보험, 산재보험, 고용보험) 가입
• 차량유류비 및 주차료 지원
• 점심 식대 13,000원 제공
• Wellcome Kit (최신 사양 노트북, 32인치 모니터 등) 제공
• 야근시 석식 및 택시비 지원
• 외근 및 출장비 지급
• 인센티브 제도, 휴가비 지원
• 설/추석 명절, 생일자 축하지원금 지급
• 경조휴가 및 경조금 지급
• 전직원 건강검진 지원 
★ ASDT가 성장함에 따라 더 많은 복지들을 베풀 것입니다.","경기 성남시 수정구 달래내로 46, 성남글로벌융합센터 A동 609호",['반도체/디스플레이'],['생산/제조'],['반도체/디스플레이']
에이에스디티(주),정규직,"['반도체', 'asic', 'English']","ASDT는 세계 최고 수준의 시스템 반도체 설계를 하는 스타트업 기업입니다. 혁신적인 기술과 창의적인 아이디어를 통해 글로벌 기업에 고품질의 솔루션을 제공합니다. ASDT가 진출하는 시스템 반도 시장은 2025년까지 3500조 이상의 급격한 성장이 예상되는 거대한 시장으로 우리는 빠르게 변하는 시장에서 기술 리더십을 보유하기 위해 기술 및 인재 확보에 매진하고 있습니다. 우리는 이 도전을 함께 할 열정적인 동료를 찾고 있습니다.
우리의 일상 모든 곳에서 사용되는 반도체를 동료들과 효과적으로 협업하고 의미 있는 성과를 내기 위해 자신의 재능을 적극적으로 활용하실 분들을 ASDT로 초대합니다.",System-on-Chip Physical Design( 시스템 반도체 Back-end 개발 ),"Responsibilities :

• Work with the FE team to understand chip architecture and dependencies between different domains then drive physical aspects early in design cycle.
• Responsible for full chip physical design both flat and hierarchical.
• Create full chip floor plan including pin placement, partitions and power grid.
• Develop and validate high performance low power clock network guidelines.
• Perform block level place, route and close the design to meet timing, area and power constraints.
• Generate and implement ECOs to fix timing, noise and EM IR violations.
• Run Physical design verification flow at chip/block level and come up with guidelines and checklist, execute and track progress.
• Manage, assist, and resolve technical issues related to PD work with team members.

Job Requirements :

• Experience in low power/multi voltage design and understanding of UPF.
• Worked on multiple tape-outs at ultra-deep sub-micron technologies, 28nm and smaller nodes, in complex multi-million gate designs.
• Deep knowledge of Synopsys or Cadence implementation tools and flow.
• Have hands on experience in completing RTL to GDSII flow, which includes synthesis, DFT, IO planning, floor-planning, power analysis, P&R, CTS, extraction, timing closure, physical verification, rail analysis etc.
• Strong technical knowledge in microelectronics and/or system architectures.
• Knowledge on package design, ESD, integration of analog and mixed signal macros.
• Excellent debugging skills for design issues.
• Experience in using Perl and TCL/TK to achieve highly automated, reproducible and fast results.","• Good communication and interpersonal skills.
• Good at English
• Ability to multi-task and can work under deadline pressure.",,"• 대졸자 초봉 4,200만원
• 4대보험 (국민연금, 건강보험, 산재보험, 고용보험) 가입
• 차량유류비 및 주차료 지원
• 점심 식대 13,000원 제공
• Wellcome Kit (최신 사양 노트북, 32인치 모니터 등) 제공
• 야근시 석식 및 택시비 지원
• 외근 및 출장비 지급
• 인센티브 제도, 휴가비 지원
• 설/추석 명절, 생일자 축하지원금 지급
• 경조휴가 및 경조금 지급
• 전직원 건강검진 지원 
★ ASDT가 성장함에 따라 더 많은 복지들을 베풀 것입니다.","경기 성남시 수정구 달래내로 46, 성남글로벌융합센터 A동 609호",['반도체/디스플레이'],['생산/제조'],['반도체/디스플레이']
(주)와이엠케이,정규직,"['반도체', '생산', '디스플레이', '프로그램 개발']",,"기구 엔지니어 : 반도체, 디스플레이 등 최첨단장비 제작 및 SET-UP
제어 엔지니어 : 반도체,디스플레이 등 최첨단장비 프로그램 개발 및 SET-UP","* 나이제한없음
* 졸업예정자 및 각 학력에 준하는 조건을 갖춘 자 지원 가능
* 상기 우대사항은 필수는 아닙니다.","기구 엔지니어 : 1. 기계, 기계설계, 메카트로닉스 전공자
                     2. 도면 이해 가능자
                     3. 일본어, 중국어, 베트남어 가능자

제어 엔지니어 : PLC, 자동화 제어기 경험자","서류전형 > 전화면접 > 대면면접 > 최종합격 

ㆍ해외 여행에 결격사유 없는 자
ㆍ탄력근무제 실시
ㆍ기숙사 제공, 주 1회 가사도우미 방문
ㆍ근무지 : 경기도 평택","ㆍ교육비, 도서비 지원
ㆍ회식비 지원
ㆍ경조사비 지원
ㆍ파트장 이상 휴대폰비, 법인카드 지원
ㆍ자녀 학자금 지원
ㆍ의료비, 건강검진비용 지원
ㆍ우수사원, 장기근속자 포상
ㆍ명절, 창립기념일, 출산, 입사기념 선물
ㆍ체력단련실, 탁구장, 농구장, 야외휴게공간,
   주차장, 장애인전용주차장
ㆍ회의실, 탕비실, 휴게실, 수면실, 탈의실, 장애인 화장실
ㆍ근로자의 날 휴무
ㆍ자유복장
ㆍ음료 제공


",경기 평택시 청북읍 현곡산단로 29,['반도체/디스플레이'],['생산/제조'],['반도체/디스플레이']
(주)와이엠케이,정규직,"['반도체', '생산', '디스플레이', '프로그램 개발']",,"기구 엔지니어 : 반도체, 디스플레이 등 최첨단장비 제작 및 SET-UP
제어 엔지니어 : 반도체,디스플레이 등 최첨단장비 프로그램 개발 및 SET-UP","* 나이제한없음
* 졸업예정자 및 각 학력에 준하는 조건을 갖춘 자 지원 가능
* 상기 우대사항은 필수는 아닙니다.","기구 엔지니어 : 1. 기계, 기계설계, 메카트로닉스 전공자
                     2. 도면 이해 가능자
                     3. 일본어, 중국어, 베트남어 가능자

제어 엔지니어 : PLC, 자동화 제어기 경험자","서류전형 > 전화면접 > 대면면접 > 최종합격 

ㆍ해외 여행에 결격사유 없는 자
ㆍ탄력근무제 실시
ㆍ기숙사 제공, 주 1회 가사도우미 방문
ㆍ근무지 : 경기도 화성(동탄 더퍼스트타워)","ㆍ교육비, 도서비 지원
ㆍ회식비 지원
ㆍ경조사비 지원
ㆍ파트장 이상 휴대폰비, 법인카드 지원
ㆍ자녀 학자금 지원
ㆍ의료비, 건강검진비용 지원
ㆍ우수사원, 장기근속자 포상
ㆍ명절, 창립기념일, 출산, 입사기념 선물
ㆍ체력단련실, 탁구장, 농구장, 야외휴게공간,
   주차장, 장애인전용주차장
ㆍ회의실, 탕비실, 휴게실, 수면실, 탈의실, 장애인 화장실
ㆍ근로자의 날 휴무
ㆍ자유복장
ㆍ음료 제공


",경기 평택시 청북읍 현곡산단로 29,['반도체/디스플레이'],['생산/제조'],['반도체/디스플레이']
(주)판타룩스,정규직,"['생산', '생산관리', '제조', '생산팀', 'LED', '생산 기술', '생산 조립']","주식회사 판타룩스는 영국, 중국, 미국등 세계 각지에 확고한 Buyer를 가지고 있는 전문 엔지니어링 & 마케팅, 생산 기업입니다.
2018년 매출액 370억이며, 세계 1위의 디스플레이 공급업체가 되는 것이 우리의 비젼입니다.","- 품질보증팀내 생산기술 업무
- 양산이관 업무, 공정불량 분석
- 외주업체 작업지도","- 품질보증팀내 생산기술 업무담당
- 문서작성 가능자 (엑셀, 워드, 파워포인트)
- 학력 : 초 대졸 이상
- 나이 : ~35세(1988년생)
","전기, 전자, 정보통신 전공 및 동종업계 경력 우대","1차 서류 심사>>2차 면접>> 최종 합격 통보

-근무조건:정규직(3개월 수습 기간)
-이력서 확인 후 개별 연락드립니다.
-지원서 허위 기재 사실이 발견될 시에는 불합격 또는 입사 취소됩니다.","연금·보험 - 국민연금, 고용보험, 산재보험, 건강보험, 요양 보험, 퇴직연금(DC형)
휴무·휴가·행사 - 주 5일제, 연차제도, 정기휴가, 경조휴가, 반 차제도, 출산휴가
보상·수당·지원 - 각종 경조금, 장기근속 포상, 우수사원 포상 제도, 직책수당
사내 제도·성장 - 신입 사원 교육, 직무향상 교육, 리더십 강화 교육
사내 시설 - 구내식당, 휴식공간, 사내 정원, 여성전용 휴게실
편의·여가·건강 - 건강검진, 아침식사지원, 점심 식사 지원, 간식 구비","인천 계양구 서운산단로 6, 20",['반도체/디스플레이'],['생산/제조'],['반도체/디스플레이']
