회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
(주)삼영에스앤씨,정규직,"['iso', '계측기관리', '창의', '꼼꼼함', '성실성']","(주)삼영S&C는 녹색성장의 근간인 환경, 에너지, 건강과 관련된 센서와 그 응용제품을 생산하는 회사로서, 
기초소자를 만드는 반도체 공정에서부터 모듈패키징, 트랜스미터 완제품에 이르는 일괄 공정을 수행할수있는
핵심 인력과 기술, 설비를 한 지붕 아래 갖추고 있습니다

1993년 국내 최조로 저항형 습도센서 개발을 시작으로 정전용량식 온습도센서, 먼지센서 등 IAQ(실내공가질)와
관련한 센서의 핵심 원천기술과 공정 및 양산기술을 오랜 기간 축적하여 이 분야에서 세계적인 전문 기업으로 
도약하고 있습니다","ISO 17025 교정기관 운영 실무 (온도,습도)
사내 계측기 교정 관리","학력 : 학력무관
경력 : 1~15년
이공계열 전공자
교정 실무 경력자
KOLAS 교정기관 또는 시험기관 기술 실무 경력자
엑셀/PPT 활용 가능자","KOLAS 교정기관 취득 경력
KOLAS 온습도 교정 또는 시험기관 경력 우대",서류전형-1차면접-2차면접-임원면접-최종합격,"
목돈이 필요할 땐 회사에서 도와드려요. 직원사내대출 제도 실시
식비, 메뉴 걱정하지마세요. 중식 무료제공+퇴근 후 저녁도 먹고가세요
주차걱정NO! 넓고 쾌적한 주차장 완비
열심히 일한자! 떠나라! 연차 외 별도 하계휴가 4일
회사만 배불리지 않아요! 스톡옵션/우리사주제도
편한 복장으로 편하게 일하세요. 자율복장/유니폼(점퍼)제공",경기 성남시 중원구 상대원1동 150,['전기/전자/제어 '],['생산/제조'],['전기/전자/제어 ']
(주)아이나비시스템즈,정규직,"['DB', '지도', '운전', '내비게이션']","(주)아이나비시스템즈는 일상의 변화와 새로운 가치를 제공하는 '모밀리티 플랫폼 전문기업', '자율주행용 지도 및 |T기술 기반 전문기업' 입LI다.
자체 브랜드 모바일 내비게이선 '아이나비 에어' 를 운영중이며 모두의 이동에 없어서는 안 최고의 플랫폼과 가치있는 서비스를 만들기 위해 저희와 함께하실 유능한 인재들의 많은 관심과 지원 바랍니다.",- 내비게이션 지도구축을 위한 전국 현장조사 및 로우데이터 구축,"- 경력: 신입
- 직급/직책 : 사원
- 운전면허 2종 보통이상_必
- 출장 가능자_월단위, 1주일 출장
- 대인관계가 원할한 자","- 운전가능자, 해당직무 근무경험 1년이상","[채용절차]
• 서류전형 → 1차 실무 인터뷰 → 2차 컬처핏 인터뷰 → 최종합격
※ 절차는 변경될 수 있습니다.

• 이력서 및 자기소개서 : 온라인 양식(희망연봉 기재), 포트폴리오(선택)
※ 기타 유의사항
1) 입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.
2) 모집분야별로 마감일이 상이할 수 있으니 유의하시길 바랍니다.","중식/석식 제공
• 케이코 식권 지급 (오후 9시 이상 근무시 석식 제공)

휴양시설 이용 지원
• 회사 지정 콘도/펜션 (2박3일)

사내 카페테리아
• 임직원 전용 커피머신 + 간식자판기

중임 직원 전용 사내를 제공
• 블랙박스. 소형가전 등

사내 추천 리크루팅 제도

격주 4.5일제 근무
• 매월 2, 4째주 월요일 오후 1시 출근

생일끼념일 선물 지급
• 생일 및 기념일 정심식사 & 쿠폰 제공

회사창립기념일
창립기념일 휴가 or 선물 지급

상조회 운영 및 각종 경조사비 지원

생일/기념일 선물 지급
• 생일 및 기념일 정심식사 & 쿠폰 제공",경기 성남시 분당구 판교역로 240 A동 8층,['전기/전자/제어 '],['생산/제조'],['전기/전자/제어 ']
(주)뷰온,정규직,"['PLC', '전장', '전장설계', 'plc제어']",,"- PLC 제어
- 전장 설계
- 셋업 및 시운전","- 경력 : 5년 이상 (PLC 제어)
- 직책 : 팀원","- AUTO CAD 및 EPLAN 사용 가능자 우대
- 성실하고 책임감이 높은 분 우대","서류전형
1차면접
최종합격","지원금/보험
각종 경조사 지원, 헬스비 지급
급여제도
퇴직연금, 인센티브제, 스톡옵션, 퇴직금, 성과급, 4대 보험
선물
명절선물/귀향비, 창립일선물지급, 생일선물/파티, 결혼기념일선물, 생일자 조기퇴근
교육/생활
우수사원시상식, 워크샵, 도서구입비지원, 교육비 지원, 점심식사 제공, 저녁식사 제공, 간식 제공, 식비 지원, 음료제공(차, 커피)
근무 환경
회의실, 공기청정기, 노트북, 사원증, 사무용품 지급, 최고 성능 컴퓨터
조직문화
회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용
출퇴근
야간교통비지급, 회사차량 있음
리프레시
연차, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가, 패밀리데이
",서울 금천구 가산디지털1로,['전기/전자/제어 '],['생산/제조'],['전기/전자/제어 ']
(주)우원기술,정규직,"['설비', '전기', '자동화', '제어', '2차전지']","세계 최고 수준의 기술력을 가진 2차 전지 자동화설비 선두기업 우원기술

우원기술은 2013년 창립 이래 2차 전지 자동화설비 분야의 세계 최고가 되기 위해 끊임없이 노력해왔습니다.

이러한 노력의 결과, 지속적인 기술개발과 혁신으로 세계 최고 수준의 생산속도와 안정성을 갖춘 Z-Stacking 설비를 개발하였고, 그 기술력을 인정받아 매년 괄목할 만한 성장을 이루며 국내외 유수의 고객사들의 신뢰를 받는 기업으로 자리매김 하였습니다.",ㆍ2차전지 자동화 설비 조립 및 셋업,"ㆍ학력 : 무관
ㆍ경력 : 2년 이상","ㆍ자동화설비 조립 및 셋업 경험자
ㆍ도면 및 공압회로도 이해가능 (우대)
ㆍ해외출장 가능자 (미국, 헝가리, 중국등)",서류전형 > 1차면접 > 최종합격,"ㆍ회사 기숙사 운영
ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.
ㆍ사내대출 제도
ㆍ복지포인트 지급(년 200만)
",경기 평택시 서탄면 서탄2로 176-25,['전기/전자/제어 '],['생산/제조'],['전기/전자/제어 ']
(주)우원기술,정규직,"['전기', 'C++', 'SW', '제어', '2차전지']","세계 최고 수준의 기술력을 가진 2차 전지 자동화설비 선두기업 우원기술

우원기술은 2013년 창립 이래 2차 전지 자동화설비 분야의 세계 최고가 되기 위해 끊임없이 노력해왔습니다.

이러한 노력의 결과, 지속적인 기술개발과 혁신으로 세계 최고 수준의 생산속도와 안정성을 갖춘 Z-Stacking 설비를 개발하였고, 그 기술력을 인정받아 매년 괄목할 만한 성장을 이루며 국내외 유수의 고객사들의 신뢰를 받는 기업으로 자리매김 하였습니다.",ㆍ2차전지 PC비전 S/W 개발,"ㆍ학력 : 무관
ㆍ경력 : 무관","ㆍMFC, C++, Open Evision, MIL 사용가능
ㆍ머신비전 System 개발 및 셋팅경험 우대
ㆍ머신비전 국내/해외 셋업경험 우대",서류전형 > 1차면접 > 최종합격,"ㆍ회사 기숙사 운영
ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.
ㆍ사내대출 제도
ㆍ복지포인트 지급(년 200만)
",경기 평택시 서탄면 서탄2로 176-25,['전기/전자/제어 '],['생산/제조'],['전기/전자/제어 ']
(주)우원기술,정규직,"['전기', 'PLC', '제어']","세계 최고 수준의 기술력을 가진 2차 전지 자동화설비 선두기업 우원기술

우원기술은 2013년 창립 이래 2차 전지 자동화설비 분야의 세계 최고가 되기 위해 끊임없이 노력해왔습니다.

이러한 노력의 결과, 지속적인 기술개발과 혁신으로 세계 최고 수준의 생산속도와 안정성을 갖춘 Z-Stacking 설비를 개발하였고, 그 기술력을 인정받아 매년 괄목할 만한 성장을 이루며 국내외 유수의 고객사들의 신뢰를 받는 기업으로 자리매김 하였습니다.",ㆍ2차전지 PLC S/W 개발 및 셋업,"ㆍ학력 : 무관
ㆍ경력 : 무관","ㆍMT Developer, GT Designer, GW-Works3 Motion CPU, Simple Motion 사용가능
ㆍGOT, GP 사용가능
ㆍ해외 출장 셋업경험 우대",서류전형 > 1차면접 > 최종합격,"ㆍ회사 기숙사 운영
ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.
ㆍ사내대출 제도
ㆍ복지포인트 지급(년 200만)
",경기 평택시 서탄면 서탄2로 176-25,['전기/전자/제어 '],['생산/제조'],['전기/전자/제어 ']
(주)후지타서울지점,계약직 (정규직 전환 가능),"['전기', '현장관리', '건축', '시공관리']",,"ㆍ건축 현장관리(전국)
ㆍ전기 시공관리(전국)","ㆍ학력 : 대졸이상
ㆍ경력 : 2 ~ 8년","ㆍ해당경력 2년 이상
ㆍ관련 학과 및 자격 소지자 우대
ㆍ일본어 가능자 우대",서류전형 > 임원면접 > 최종합격,"연금·보험
국민연금 , 고용보험, 산재보험, 건강보험, 퇴직연금

휴무·휴가·행사
주5일제, 연차제도, 경조휴가, 반차제도, 육아휴직, 보건휴가, 창립일 휴무, 노동절 휴무

보상·수당·지원
퇴직금, 경조금, 자녀교육비, 가족 의료비 지원, 자격증 수당, 성과급

편의·여가·건강
건강검진","서울시 중구 세종대로30, 8층",['전기/전자/제어 '],['생산/제조'],['전기/전자/제어 ']
(주)우원기술,정규직,"['cad', '전기', 'Autocad', 'E-plan']","세계 최고 수준의 기술력을 가진 2차 전지 자동화설비 선두기업 우원기술

우원기술은 2013년 창립 이래 2차 전지 자동화설비 분야의 세계 최고가 되기 위해 끊임없이 노력해왔습니다.

이러한 노력의 결과, 지속적인 기술개발과 혁신으로 세계 최고 수준의 생산속도와 안정성을 갖춘 Z-Stacking 설비를 개발하였고, 그 기술력을 인정받아 매년 괄목할 만한 성장을 이루며 국내외 유수의 고객사들의 신뢰를 받는 기업으로 자리매김 하였습니다.",ㆍ2차전지 전장설계,"ㆍ학력 : 무관
ㆍ경력 : 무관","ㆍE-PLAN
ㆍAUTO CAD
ㆍ전기/ 전자공학 경험자(우대)",서류전형 > 1차면접 > 최종합격,"ㆍ회사 기숙사 운영
ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.
ㆍ사내대출 제도
ㆍ복지포인트 지급(년 200만)
",경기 평택시 서탄면 서탄2로 176-25,['전기/전자/제어 '],['생산/제조'],['전기/전자/제어 ']
(주)시스콘,정규직,"['C++', '엔지니어', '모션제어']","시스콘은 물류 자동화 시스템을 비롯한 자율 주행 로봇 전문 회사입니다. 공장의 물류 로봇 서비스 로봇 등 다양한 현장 경험을 가지고 있으며, 로봇에 필요한 설계, 전자, 제어, 관제, 로봇 소프트웨어팀을 보유하고있습니다.

시스콘은 자체적으로 개발한 로봇기술을 통해 고객분들께는 보다 나은 생산성과 부가 가치를, 사용자에게는 편의 기능과 안전한 서비스 제공합니다. 모든 고객분들이 보다 높은 차원의 활동에 집중할 수 있도록 돕는 것이 저희 회사의 역할입니다.
시스콘의 AMR을 통해 같이 성장하며 경쟁력 있는 개발하고 싶으신 분들께 최고의 회사가 되도록 노력하겠습니다.

궁금하신 점은 아래 링크로 오세요!

Notion Link
https://sysconresearch.notion.site/SYSCON-caf77b9d7c6e4806921ed9d739d1c68c","• 프로젝트 주행 모듈 관리 및 개선
• 경로 계획 연구 개발
• 경로 추종 및 제어 연구 개발
• 물체 회피 연구 개발 / 멀티 로봇 주행 연구 개발","• 주행 모듈(경로 계획, 물체 회피, 경로 추종, 멀티 로봇, 기구학/동역학 모델링 등) 개발 경험자
• ROS/ROS2 경험자
• C++ 개발 경험자
• 의사 소통, 협업, 문제 해결 능력","• 석사 이상의 학력 혹은 3년 이상의 경력
• 모션 제어, 최적 제어, 경로 생성 개발, 실무 및 리딩 경험이 있는 분
• 영어 능통자
• C++ 최적화, 자료 구조 능통자",,"
• 지원금/보험 : 건강검진, 단체 상해보험, 체력단련실운영
• 급여제도 : 퇴직연금, 4대 보험
• 선물 : 명절선물/귀향비, 창립일선물지급, 생일선물/파티
• 교육/생활 : 자기계발비 지원, 구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 간식 제공, 식비 지원, 음료제공(차, 커피)
• 근무 환경 : 휴게실, 회의실, 공기청정기, 노트북, 사무용품 지급
• 출퇴근 : 통근버스 운행, 주차장제공
• 리프레시 : 연차, 반차","인천 서구 로봇랜드로 155-30, 4층",['전기/전자/제어 '],['생산/제조'],['전기/전자/제어 ']
(주)우원기술,정규직,"['전기', '전자', 'Autocad', '2차전지']",,ㆍ2차전지 전장설계,"ㆍ학력 : 무관
ㆍ경력 : 경력 (년수무관)","ㆍ전기/전자공학
ㆍ이플랜 설계 가능자 우대
ㆍAuto CAD 가능자 우대",서류전형 > 1차면접 > 최종합격,"ㆍ회사 기숙사 운영
ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.(지정병원)
ㆍ사내대출 제도
ㆍ복지포인트 지급 년 200만원 지급 (신용카드와 동일)",경기 평택시 서탄면 서탄2로 176-25,['전기/전자/제어 '],['생산/제조'],['전기/전자/제어 ']
