회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
(주)스마일서브,정규직,"['콘텐츠기획', '서비스기획', '컨텐츠기획', '마케팅기획', '프로모션기획', '콘텐츠마케팅', '블로그운영']","'클라우드 전문 기업' 스마일서브
스마일서브는 인터넷데이터센터(IDC)를 보유한 클라우드(IaaS) 전문 기업입니다.
Cloud, Hosting, Security&Network 분야의 전문가들이 모여 한국형 클라우드를 개발하고 Management 하는
스마일서브에서 함께할 인재를 모집합니다.","ㆍ콘텐츠 영상기획 및 제작
ㆍSA & DA광고, SEO, 블로그, SNS 등 채널 운영
ㆍ영상/ 이미지/ 아티클 형태의 컨텐츠 기획
ㆍ문서기반의 마케팅 자료제작","ㆍ콘텐츠 및 SNS 운영 경력 1~2년
ㆍ기업의 포인트(특징, 브랜드, 상품 등)를 글로 표현이 가능하신 분
ㆍ상품, 프로모션, 서비스 기획에 경험이 있으신 분
ㆍ뉴 미디어 지식과 IT기술에 대한 기본지식을 바탕으로 한
    콘텐츠 기획 아이디어를 보유하신 분
ㆍ대졸 이상
ㆍ해외여행에 결격사유가 없는 자","
ㆍ기업의 포인트(특징, 브랜드, 상품 등)를 글로 표현이 가능하신 분
ㆍ상품, 프로모션, 서비스 기획에 경험이 있으신 분
ㆍ뉴 미디어 지식과 IT기술에 대한 기본지식을 바탕으로 한
    콘텐츠 기획 아이디어를 보유하신 분","서류전형-면접-인적성검사-최종합격

•이력서 및 자기소개서 (자유양식 또는 채용사이트 양식, 사진 첨부 필수, 지원 부문 반드시 기재)
•경력직 지원자는 현재 연봉, 희망연봉 기재하여 접수

- 면접 후 면접 수당을 지급합니다.
- 지원서 및 제출서류가 허위인 경우 합격 취소됩니다.
- 제출된 서류는 반환하지 않으며 합격자를 제외하고 즉시 보안 처리합니다.","제주도 여행 숙박/차량 지원
국내 및 해외여행 지원
생일 상품권 지급
명절 선물세트 지급

정시출근 정시퇴근
자유로운 연차사용
출산/육아휴직
도서구매 지원
자격증 수당 지급
멘토링 및 직무교육
동호회 활동 지원
부식 제공
경조금, 휴가, 화환
자율 복장
능력개발비 지급
높은 접근성

","경기 성남시 분당구 대왕판교로644번길 86, 3층","['상품개발/기획/MD', '온라인마케팅', '전략마케팅']",['마케팅/시장조사'],"['상품개발/기획/MD', '온라인마케팅', '전략마케팅']"
(주)에프피앤코,정규직,"['기획', '마케팅', '퍼포먼스마케팅', '온라인마케팅', '바이럴마케팅', '광고기획', '전략', '시장조사', '마케팅기획', '성과분석']","FLAT IS THE POINT.

플랫포인트는 간결한 디자인으로 공간에 특별한 가치를 완성하는 리빙 디자인 브랜드입니다.

일시적인 유행이 아닌 디자인과 공간에 대한 변치 않는 가치와 본질을 탐구하기에
선, 면, 그리고 비례의 균형을 고려한 디자인을 전개합니다.

차별화된 디테일과 기술력, 그리고 프리미엄 소재가 바탕이 된 디자인 제품만이
비로소 사용자와 공간의 헤리티지를 완성한다고 믿습니다.


플랫포인트는 더 큰 도약을 꿈꾸며
함께 다양한 가능성을 펼칠 분을 찾습니다.","- 메타/구글/카카오/GFA 등 광고 채널 관리
- 퍼포먼스 광고 집행/관리
- 인플루언서 바이럴 마케팅
- 판매/광고 채널별 입점 및 기획
- 광고/컨텐츠 소재 기획 및 실행
- 마케팅 성과분석","- 경력 (년수 무관)
- 메타/자사몰 광고마케팅 등 다양한 매체 경험이 있는 분
- 엑셀/문서 정리에 능숙한 분
- 해외여행에 결격사유가 없는 분


※ 근무조건 :
- 3개월 수습 후 정규직 전환 검토","- 리빙 트렌드에 관심이 많고 이해도가 높은 분
- 문제 해결에 적극적인 분
- 긍정적이고 성취지향적인 분","- 제출 서류 : 이력서 / 포트폴리오 또는 경력기술서
- 절차 : 서류 전형 → 1차 면접 → 2차 면접 → 최종 합격


 * 면접자에 한하여 개별 연락드립니다.
 * 입사지원 서류, 기재 사항에 허위사실이 발견될 경우 채용이 취소될 수 있습니다.","함께하는 여러분을 위해

- 생일 휴가  /  생일 당월 유급휴가 1일 제공
- 리프레시 휴가  /  근속년수에 따라 리프레시 휴가 제공
- 심리 상담  /  월 1회 전문심리치료사와의 상담 제공
- 자기개발비  /  업무 관련 교육비, 도서구입비 등 지원
- 근무환경  /  쾌적하고 편안한 사무실 공간, 자율간식 제공
- 임직원 할인  /  자사 소품 50%, 가구 35% 등 할인
- 중식 제공  /  월 17만원 한도의 중식 전용 카드 제공
- 경조사  /  경조사 관련 각종 경조금 지급","서울 강남구 영동대로112길 36, 1층","['마케팅', '브랜드마케팅', '전략마케팅']",['마케팅/시장조사'],"['마케팅', '브랜드마케팅', '전략마케팅']"
(주)카인즈바이오틱스,정규직,"['디지털마케팅', '퍼포먼스마케팅', '마케팅기획']","㈜카인즈바이오틱스는 2016년에 설립된 회사로, 설립이후 매년 성장을 이루고 있는 중소기업입니다. 현재, 세계적으로 커지고 있는 친환경식품 및 항노화 관련 식품소재개발 및 제조유통 사업을 하고 있습니다. 

우리는 회사 구성원의 한명 한명의 역할이 매우 중요한 소규모 회사로, 구성원 모두가 일하기 좋은 환경을 제공하기 위해 개인의 목소리에 항상 귀를 기울이고 있으며, 작은 회사지만, 복리 및 혜택은 결코 작지 않습니다. 

본인의 역량을 주도적으로 펼쳐보고 싶은 분, 
나의 성장이 곧 회사의 성장이라는 마음으로 자신의 일을 진심으로 즐기고 있는 분을 찾고 있습니다.
","- 온라인마케팅 전략 수립 및 실행

- 검색엔진 최적화(SEO)를 통한 웹사이트 트래픽 증대(홈페이지 및 온라인스토어관리)

- 소셜미디어 및 블로그 등의 콘텐츠 마케팅 기획 및 운영

- 온라인광고 캠페인 구성 및 운영 

- 온라인마케팅 결과 데이터 분석 및 보고서 작성
","- 학력 무관 

- 경력3년이상 필수

- 디자인/포토샵/일러스트 능숙자/퍼포먼스마케팅 가능한 분

- 검색엔진 최적화(SEO), 소셜미디어 마케팅 등의 전략 및 도구에 능숙한 분

- 온라인광고 플랫폼(네이버, 구글 등) 운영 경험이 있는 분

- 데이터 분석 및 보고서 작성에 능숙한 분

- 커뮤니케이션 능력 및 문제해결 능력을 갖춘 분","- 식품 및 건강기능식품업종에서의 온라인마케팅 경력이 있으신 분

- 온라인마케팅 전략 수립 및 실행에 대한 전문적인 지식이 있는 분

- 자발적인 프로젝트 기획 및 성과 창출 경험이 있으신 분

- 웹사이트 개발 및 운영 경험이 있으신 분",서류  --> 1차면접  -->  임원면접 --> 처우 협의 --> 계 약,"
- 탄력근무제도: 개인 상황에 맞춘 근무환경 제공

- 수평적 근무환경(꼰대 없어요)

- 자유로운 연차 사용(연차, 반차, 반반차)

- 자차출퇴근 사원을 위한 당사 건물 내 주차지원

- 월1회 조기퇴근 

- 급여 외 인센티브 

- 기준 연차 외 특별휴가 연 3일 이상 제공

- 중식 100% 제공, 커피, 티 간식 무한제공

- 생일축하 케잌쿠폰, 오후 반차 제공

- 여름휴가 지원금, 명절보너스

- 회식, 야근 없음

- 4대보험 및 퇴직연금","경기 하남시 조정대로 35, 지하2층 에프비203호 (풍산동,미사하우스디엘타워)","['마케팅커뮤니케이션', '온라인마케팅', '전략마케팅']",['마케팅/시장조사'],"['마케팅커뮤니케이션', '온라인마케팅', '전략마케팅']"
(주)모노리스,정규직,"['콘텐츠기획', '콘텐츠제작', '브랜드마케팅', '이벤트기획', '프로모션기획', '인플루언서 마케팅', '외국어능력', '커뮤니케이션 능력']","즐거움은 놀이에서 시작합니다.
모노리스는 놀이의 본질인 일탈성과 자유로움을 지키면서 현대 사회의 즐거움에 맞게 시공간을 확장한 새로운 개념의 스마트파크(Smart Park)를 기획, 개발합니다. 그 첫 번째로 Gravity Racer와 ICT가 융합된 ""9.81파크""를 2020년 제주도 애월에 오픈 하였습니다.

스마트파크는 기술을 통해 놀이와 공간의 모든 요소를 네트워크로 통합하고, 나 뿐만 아니라 놀이를 함께 경험한, 또 경험할 수 있는 사람들을 연결하여 지속적으로 확장되는 현대적 놀이의 장(場)으로, 대표적으로는 스포츠, 온라인게임, 테마파크의 특장점이 융합된 공간이라고 할 수 있습니다.

모노리스 팀은 파크의 기획부터 디자인, 인허가, 건축설계, 하드웨어 개발, 소프트웨어 및 시스템 개발, 마케팅, 파크 운영까지 다양한 분야의 전문가들로 구성되어 있으며, 독특한 경력과 개성을 가지고 있습니다. 오프라인과 온라인의 통합, 하드웨어와 소프트웨어의 통합을 통해 새로운 즐거움을 만들어가며, 함께 스마트하게 일하고 신나게 성장해 나갈 여러분을 기다립니다.

[참고기사]
尹 UAE 순방에 관광벤처 동행… ""중동 시장진출 신호탄 기대 - 이데일리, 2023년 1월
https://www.edaily.co.kr/news/read?newsId=03585046635477064&mediaCodeNo=257&OutLnkChk=Y

부산시-모노리스, '9.81파크 부산' 건립·투자 협약 체결 - 대한경제, 2022년 11월
https://www.dnews.co.kr/uhtml/view.jsp?idxno=202211091210095450895

모노리스·야놀자·H2O 등 관광벤처 ""기술력 앞세워 중동시장 공략"" - 이데일리, 2023년 1월
https://n.news.naver.com/article/018/0005407909

모노리스, 그래비티 레이싱 챔피언십 대회 ‘GROC 2022’ 성료 - 매일경제, 2022년 12월
https://www.mk.co.kr/news/business/10557603

모노리스 9.81파크 제주, 첨단 MICE 명소로 선정 영예 - 한국경제TV, 2023년 7월
https://n.news.naver.com/mnews/article/215/0001112459?sid=101

[여행만이 아닌 공항에 와야만 하는 이유를 위한 다각도의 접근 - TV조선, 2023년 3월
https://www.youtube.com/watch?v=Nqk0XHEdAMs

[ 모노리스 소개 영상 ]
https://youtu.be/QcaJYYBMMFc


[ 포지션 소개 ]
중력가속도 만큼이나 빠르게 성장하고 있는 모노리스와 함께 
계속해서 “9.81 PARK”를 확장해나가고, 
더 즐거운 놀이 공간으로 채워갈 마케터를 찾습니다.

글로벌 비즈니스 기회가 기다리고 있는 모노리스와 함께 즐거운 경험, 신나는 콘텐츠를 
만들어갈 여러분의 많은 관심과 지원을 기다립니다.

잘 노는 그리고 더 잘 놀고 싶은 마케터라면 지금 바로 지원하세요!
","• 자사 고객 접점 채널 (포털, 소셜 플랫폼, 외부 유관 채널) 콘텐츠 기획 및 연간 운영 관리
• 국내/외 고객 대상 검색 엔진 최적화를 위한 콘텐츠 기획, 제작
• 온/오프라인 브랜디드 콘텐츠, 이벤트, 프로모션 기획, 운영
• 브랜드 바이럴 활성화 및 신규 바이럴 채널 발굴","• 제주도(9.81파크)에서 1년 이상 근무가 가능하신 분
• 스스로 목표와 전략을 설정하여 자기주도적으로 일하시는 분
• 고객의 입장에서 생각하고, 의견을 반영해 콘텐츠를 기획할 수 있으신 분
• 적극적인 커뮤니케이션과 긍정적인 마인드로 협업하려 노력하시는 분","• 스타트업 또는 마케팅 전문 대행사 등 다양한 영역의 업무 경험이 3년 이상 있으신 분
• 브랜드 커뮤니케이션 콘텐츠 및 미디어 콘텐츠 에디터 경험이 있으신 분
• 인플루언서 마케팅에 대해 관심이 높으신 분
• 영어, 중국어 등 해외 고객 대상 마케팅이 가능한 분",,"• 월단위 자율출퇴근 (코어타임 13~16시)
• 자유로운 연차 사용
• 근무지로 여의도 사무실 또는 9.81파크 제주 사무실 선택 가능
• 대학종합병원 건강검진 지원
• 분기 별 9.81파크 30% 할인쿠폰 지급
• 9.81파크 내 굿즈샵 및 카페 이용 시 직원 할인
• 신규입사자 9.81파크 체험 프로그램 지원

","서울시 영등포구 여의대로 108, 파크원 타워1 5층","['브랜드마케팅', '온라인마케팅', '전략마케팅']",['마케팅/시장조사'],"['브랜드마케팅', '온라인마케팅', '전략마케팅']"
(주)비밀리,정규직,"['퍼포먼스마케팅', '광고기획', '데이터분석', '이벤트기획', 'JIRA', '마케팅전략수립', 'powerpoint', 'facebook', 'confluence', 'youtube']","[가족과 친구들을 위한 메신저 '패밀리타운']

기존 '비패밀리' 메신저가 '패밀리타운'으로 다시 태어납니다!
'패밀리타운'에서 가족이나 친구들과 함께 메신저 가족을 이루어 보세요. 
건강부터 여행, 숙박, 음악을 비롯한 다양한 콘텐츠와 이미지로 소통가능한 메신저를 통해 가족 및 친구들과 즐겁게 이야기를 나누어보세요. 
앨범과 SNS, 다양한 문화서비스가 결합된 '패밀리타운'은 친구들과의 소통부터 가족들과의 소통까지 누구나 쉽게 사용할 수 있는 커뮤니티를 제공합니다. 
 
메신저를 비롯하여 SNS와 음악 커뮤니티 플랫폼 서비스를 준비중인 비밀리는 각 분야의 실력있는 실무자들과 함께 하기 위해 기다리고 있습니다.","• 신규고객 확보와 이탈 고객 기여 전반적인 디지털 매체 마케팅 캠페인 실행
• 채널별 마케팅 전략 수립 실행
• 이벤트 기획 및 운영
• 전략 수립 및 광고 소재 기획 (A/B테스트) 
• 데이터 분석을 통한 성과 효율 측정 인사이트 도출","• 3~5년이상 퍼포먼스 마케터 경험 (포트폴리오 필수)
• Facebook, GA, Youtube 등 매체 이해도 높고 효율 개선 가능한 분
• ROI 기반 퍼포먼스 마케팅 경험 있으신 분
• 협업 및 커뮤니케이션 역량 뛰어나신 분","• 퍼포먼스 마케팅 예산 및 전략을 직접 수립 운영하여 성과를 내보신 경험이 있으신 분
• 데이터 분석을 통한 가설 수립 및 검증 가능하신 분
• 분석툴 사용 해 본 경험 있으신 분
• 온/오프라인 신규 마케팅 채널 발굴 가능하신 분
• KPI 지표 수립 및 성과관리 가능하신 분
• Iinstall앱 설치 마케팅 가능하신 분
• 전환율높은 콘텐츠 기획 가능하신 분",,"• 호텔식 가족식당 운영, 중식 무료 제공
• 여유 있는 점심시간 1시간 반 제공 (11:30~13:00)
• 사내 라운지 간식 및 커피 무제한 제공 (로봇커피)
• 야근 교통비 및 저녁식사 지원
• 반차(4시간), 반반차(2시간) 제도 시행하여 효율적인 휴가 사용 가능 
• 코로나19 백신 휴가 제공
• 전직원 명절 성과급 지급
• 경조사 휴가 및 경조사비 지원, 장기근속자 지원
• 직무관련 교육비 및 도서 구입비 지원
• 중소기업 소득세 감면 적용 가능
• 계열사 임직원 복지몰 운영
• 그 외 수시로 제공하는 선물들이 많아요 :)","경기 성남시 분당구 황새울로335번길 10, 2층","['브랜드마케팅', '온라인마케팅', '전략마케팅']",['마케팅/시장조사'],"['브랜드마케팅', '온라인마케팅', '전략마케팅']"
(주)메디빌더,정규직,"['퍼포먼스마케팅', '이벤트기획', '마케팅전략', '페이스북', '광고전략', '구글광고', '네이버광고', '인스타그램', '마케팅분석']","메디빌더는 '메디컬 엑셀러레이터' 로, 넥스트 유니콘에 도전합니다. 

■ 130억 l 프리 A & 시리즈 A 누적 투자 유치액 
■ 30개   l 2030년까지 파트너 병원 30개 목표 
■ 750% l 월 매출 최고 성장율 

메디빌더는 '메디컬 엑셀러레이터(Medical Accelerator)' 입니다. 
병원과 합작사를 설립하여 이해관계를 일치시키며, 합작사와 병원 간 장기 파트너십을 구축합니다. 
합작사를 통해 병원의 비진료 영역 전발을 지원하여 신속한 성장을 도모합니다. 
병원 브랜드를 활용해 커머스, IT, 플랫폼, 금육 등 다양한 신규 사업 영역으로 확장합니다.
이렇게 구축된 여러 합작사들을 보유하고 관리하는 '메디컬 에그리게이터' 입니다. ","메디빌더 Business Unit 내 퍼포먼스 마케터는 병원을 올바른 대상에게 효과적으로 알려 병원과 병원의 상품을 대중에게 효과적으로 알리고 병원의 브랜드 가치와 매출의 성장, 시장의 관심을 견인하는 역할을 주도하고 담당합니다. 기존의 병원 마케팅은 대부분 대행사로서의 역할만 수행해왔다면 저희의 퍼포먼스 마케터는 다양한 광고 전략을 직접 수립하고 ROAS 기반의 전략을 수립할 수 있습니다. 기존 병원 경영 마케팅의 혁신을 주도하여 시장을 함께 개척할 멤버를 찾고 있습니다.

주요업무
ㆍ 퍼포먼스 마케팅 실행 및 데이터 분석
ㆍ 페이스북, 인스타그램, 구글 광고로 고객 리드 발굴
ㆍ 광고 전략 수립 및 데이터 기반 마케팅
ㆍ 새로운 퍼포먼스 마케팅 제안 및 운영
ㆍ 구글, 페이스북, 네이버 광고 Self Serve","ㆍ 퍼포먼스마케팅 경력 1년 이상 있으신 분
ㆍ 본인의 결과물로 정량적인 성과를 획득한 경험이 있는 분

","ㆍ DB 게더링, DB 마케팅 퍼포먼스 마케팅을 경험한 분
ㆍ Meta 광고 작업에 능숙하신 분",,"아래 링크를 참고해주세요 

https://bouncy-elderberry-4a8.notion.site/MEDIBUILDER-Introduction-7ebf5d5c90984499a615166e2bd1368c?pvs=4","서울 강남구 테헤란로 123 여삼빌딩 8F, 스파크플러스 강남3호점","['상품개발/기획/MD', '온라인마케팅', '전략마케팅']",['마케팅/시장조사'],"['상품개발/기획/MD', '온라인마케팅', '전략마케팅']"
(주)메디빌더,정규직,"['퍼포먼스마케팅', '온라인마케팅', 'ae', '마케팅전략수립', '병원마케팅', '예산기획', '미디어커머스']","메디빌더는 '메디컬 엑셀러레이터' 로, 넥스트 유니콘에 도전합니다. 

■ 130억 l 프리 A & 시리즈 A 누적 투자 유치액 
■ 30개   l 2030년까지 파트너 병원 30개 목표 
■ 750% l 월 매출 최고 성장율 

메디빌더는 '메디컬 엑셀러레이터(Medical Accelerator)' 입니다. 
병원과 합작사를 설립하여 이해관계를 일치시키며, 합작사와 병원 간 장기 파트너십을 구축합니다. 
합작사를 통해 병원의 비진료 영역 전발을 지원하여 신속한 성장을 도모합니다. 
병원 브랜드를 활용해 커머스, IT, 플랫폼, 금육 등 다양한 신규 사업 영역으로 확장합니다.
이렇게 구축된 여러 합작사들을 보유하고 관리하는 '메디컬 에그리게이터' 입니다. 


메디빌더는 감에 의존하는 병원 시장에서 Paradigm Shift를 이끌고 있습니다.
① Show&Prove: 그럴듯한 말로 넘어가지 않습니다. 숫자로 보여주고, 결과로 증명합니다.
② Speedy: 그럴 것 같아서 결정하지 않습니다. Data에 근거해 의사결정합니다.
③ Systematic:  그럭저럭 운영하지 않습니다. 성과가 나올 수 밖에 없는 체계적 운영을 합니다.","메디빌더의 그로스 마케팅 팀장은 병원의 성장을 주도하는 핵심적인 역할을 담당합니다.

메디빌더에서는 기존 병원 마케팅 대행사의 한계를 뛰어넘은 마케팅 전략 수립과 실행이 가능합니다. 
기존 병원 마케팅 대행사는 병원 예약률 까지만 측정 가능했습니다. 
메디빌더 그로스 마케팅 팀장은 메타 광고, 예약 현황, 구매 전환, 재구매까지 모든 고객 접점에서 데이터를 수집하고 의사 결정합니다. 
기존 대행사가 ROAS를 구할 수 없었던 한계를 뛰어넘어 ROAS 기반으로 다양한 광고 전략을 수립하고 실행합니다.

기존 병원 경영 마케팅의 혁신을 주도하는 메디빌더에서 함께 도전할 리더를 찾습니다.



▣ 주요 업무 
• 그로스마케팅 팀 목표와 전략 수립 및 실행 리드
• 마케팅 예산의 효율적 배분
• 팀 리더로서 그로스 마케팅 팀 팀원들의 성과 극대화
    • 팀원은 퍼포먼스 마케터, AE, 데이터 애널리스트 등으로 구성
• 채용, 피드백, 평가 등 팀 리더 역할

*조직 특성 상 메디빌더 관계사(자회사) 소속이 될 수 있습니다.","• 퍼포먼스 마케팅 경력을 포함하여 최소 경력 3년 이상 보유한 분
• 경력 연수보다 실제 성과를 중시합니다.
• 팀 리딩 경력 최소 1년 이상 보유한 분
• 팀의 목표를 설정하고 목표 달성을 위해 팀을 이끄는 분
• 업무의 우선순위화와 집중하는 능력이 탁월한 분
• 다양한 업무 관계자와 소통하여 최고의 결과를 도출하는 분
• 집요한 고객 관점에서 소비 심리를 도출 가능한 분
• 적극적인 문제해결력을 바탕으로 보다 높은 수준의 결과물을 도출하는 분
• 유효한 피드백과 의견을 수용하여 더 나은 결과물을 만들어내는 분","• 미디어커머스 회사 경력을 보유한 분 
• 온라인마케팅 대행사 경력을 보유한 분 
• 병원 마케팅 대행사 경력을 보유한 분",,"아래 링크를 참고해주세요

https://bouncy-elderberry-4a8.notion.site/MEDIBUILDER-Introduction-7ebf5d5c90984499a615166e2bd1368c?pvs=4","서울 강남구 테헤란로 123 여삼빌딩 8F, 스파크플러스 강남3호점","['상품개발/기획/MD', '온라인마케팅', '전략마케팅']",['마케팅/시장조사'],"['상품개발/기획/MD', '온라인마케팅', '전략마케팅']"
(주)메디빌더,정규직,"['바이럴마케팅', '상품기획', '브랜드마케팅', '이벤트기획', '미디어기획', '프로모션기획', '인플루언서 마케팅', '병원마케팅']","메디빌더는 '메디컬 엑셀러레이터' 로, 넥스트 유니콘에 도전합니다. 

■ 130억 l 프리 A & 시리즈 A 누적 투자 유치액 
■ 30개   l 2030년까지 파트너 병원 30개 목표 
■ 750% l 월 매출 최고 성장율 

메디빌더는 '메디컬 엑셀러레이터(Medical Accelerator)' 입니다. 
병원과 합작사를 설립하여 이해관계를 일치시키며, 합작사와 병원 간 장기 파트너십을 구축합니다. 
합작사를 통해 병원의 비진료 영역 전발을 지원하여 신속한 성장을 도모합니다. 
병원 브랜드를 활용해 커머스, IT, 플랫폼, 금육 등 다양한 신규 사업 영역으로 확장합니다.
이렇게 구축된 여러 합작사들을 보유하고 관리하는 '메디컬 에그리게이터' 입니다. 


메디빌더는 감에 의존하는 병원 시장에서 Paradigm Shift를 이끌고 있습니다.
① Show&Prove: 그럴듯한 말로 넘어가지 않습니다. 숫자로 보여주고, 결과로 증명합니다.
② Speedy: 그럴 것 같아서 결정하지 않습니다. Data에 근거해 의사결정합니다.
③ Systematic:  그럭저럭 운영하지 않습니다. 성과가 나올 수 밖에 없는 체계적 운영을 합니다.","메디빌더의 성형외과 브랜드 마케터는 담당 병원의 차별성을 극대화하여 사람들에게 널리 인지시키는 핵심적인 역할을 담당합니다.

메디빌더에서는 기존 병원 마케팅 대행사의 한계를 뛰어넘은 마케팅 전략 수립과 실행이 가능합니다. 
기존 병원 마케팅 대행사는 병원 예약률 까지만 측정 가능했습니다. 
반면 메디빌더의 마케팅팀은 예약 현황, 구매 전환, 재구매까지 모든 고객 접점에서 데이터를 수집하고 의사 결정합니다.

메디빌더의 차별화된 마케팅 시스템에서 담당병원의 USP 기반 차별화된 상품 기획을 주도하고, 온드미디어 전략 수립 및 직접 실행할 브랜드 마케터를 찾습니다.


▣ 주요 업무 
• USP (Unique Selling Proposition) 를 도출하여 차별화된 상품, 프로모션 기획
• 성형 플랫폼 및 판매 채널 지표 기반 이벤트 기획, 가격 관리
• 온드미디어 (SNS, 웹사이트, 유튜브 채널 등) 기획 및 운영
• 바이럴 마케팅 대행사 및 인플루언서/모델 관리

*조직 특성 상 메디빌더 관계사(자회사) 소속이 될 수 있습니다.","• 병원 마케팅 경력 최소 2년 이상 보유한 분
• 경력 연수보다 실제 성과를 중시합니다.
• 업무의 우선순위화와 집중하는 능력이 탁월한 분
• 다양한 업무 관계자와 소통하여 최고의 결과를 도출하는 분
• 집요한 고객 관점에서 소비 심리를 도출 가능한 분
• 적극적인 문제해결력을 바탕으로 보다 높은 수준의 결과물을 도출하는 분
• 유효한 피드백과 의견을 수용하여 더 나은 결과물을 만들어내는 분","• 병원 상담 실장 경력을 보유한 분 
• 병원 마케팅 대행사 경력을 보유한 분 
• 성형외과, 피부과, 클리닉 마케팅 경력을 보유한 분",,"아래 링크를 참고해주세요

https://bouncy-elderberry-4a8.notion.site/MEDIBUILDER-Introduction-7ebf5d5c90984499a615166e2bd1368c?pvs=4","서울 강남구 테헤란로 123 여삼빌딩 8F, 스파크플러스 강남3호점","['브랜드마케팅', '시장조사/분석', '전략마케팅']",['마케팅/시장조사'],"['브랜드마케팅', '시장조사/분석', '전략마케팅']"
(주)디홀릭커머스,정규직,"['서비스기획', '매출관리', '상품기획', '패션마케팅', '조직관리', '영업전략수립', '플랫폼기획', '손익관리', '브랜드관리', '파트너사관리']","세계로 뻗어가는 글로벌 이커머스 플랫폼, 디홀릭커머스에서 함께할 인재를 모십니다.

[글로벌 고객에게 가치와 행복을 제공하는 이커머스 플랫폼]
디홀릭커머스는 2011 년에 설립되어 일본시장에서 K패션 부분 1위, 월방문자 480만명의 이커머스 플랫폼 “DHOLIC”을 운영하고 있습니다.
글로벌 고객에게 가치와 행복을 제공하고, 글로벌 시장에 진출하고자 하는 국내 패션, 뷰티 기업들에게 플랫폼으로서의 역할을 제공하고 있습니다.

[평등한 기회와 스스로 책임을 다하는 문화를 만듭니다.]
모든 구성원들이 성별/문화/종교 등에 차별 없는 평등한 기회를 통해 스스로 책임을 다할 수 있도록 노력하고 있습니다.
우리가 만들어내는 결과 또한 공정하게 가치를 인정받고 구성원 각자의 성장과 회사의 공통된 목표를 이루는데 최선을 다합니다.
디홀릭커머스에서 자신의 잠재력을 발산하여 글로벌로 나가고자 하는 자신감 있는 분들을 모십니다.

[디홀릭커머스 마케팅본부]
디홀릭커머스 마케팅본부는 글로벌 고객에게 최상의 쇼핑경험을 제공하기 위해 데이터를 분석하고 인사이트를 도출하여,
구성원들이 고객의 니즈에 맞는 쇼핑 경험을 제공하도록 효과적인 방법을 제시합니다.","• 어패럴 입점 비즈니스와 서비스에 대한 깊은 이해를 바탕으로 사업/서비스기획 및 실행
• 어패럴 입점 브랜드관리/상품기획 부서의 세일즈 전략 및 정책 수립
• 어패럴 입점 브랜드/상품매출 및 손익관리
• 어패럴 입점 브랜드관리/상품기획 부서 조직관리
• 매출 확대를 위한 파트너사 관리 및 커뮤니케이션","• 온라인 커머스 플랫폼/입점사업 상품기획 분야 경력 10년 이상
• 온라인 커머스 서비스기획/개발조직과의 협력 프로젝트를 총괄 관리한 경험 있으신 분
• 명확한 커뮤니케이션 및 유연한 관계 구축/관리 스킬 보유하신 분
• 플랫폼 기반 패션사업 경험있으신 분","• 커머스 플랫폼 초기부터 안착 및 성장까지 전 과정 경험있으신 분
• 일본 패션사업에 대한 이해도 있으신 분
• 일본어 사용이 가능하신 분
• 동대문 시장에 대한 이해가 있으신 분",,"• 최고급 장비 및 소프트웨어 제공
• 업무 참고 도서 및 개발 서적 제공
• 경조사 지원
• 생일 당일 반차 및 선물 제공
• 교육비 지원
• 기타 다양한 복지 제공",서울시 중구 세종대로39 대한상공회의소 11층,"['브랜드마케팅', '상품개발/기획/MD', '전략마케팅']",['마케팅/시장조사'],"['브랜드마케팅', '상품개발/기획/MD', '전략마케팅']"
(주)페셔네이트,정규직,"['SNS마케팅', '홈페이지관리', '마케팅기획', '채널운영', '광고집행', '체험단']","㈜페셔네이트는 2023년에 설립된 온라인 유통 스타트업 기업입니다.
운동관련 용품을 유통하고 있으며, 현재 생활용품으로까지 카테고리를 넓혀 진행할 계획입니다.
2023년 4월부터 9월까지 매출 10억원을 달성하였으며, 앞으로도 더욱 빠르게 성장한다고 자신합니다. 서울 서초구 동산로16길 35 (양재동, 명애빌딩)에 위치하고 있으며 같이 성장하실 분들을 모집합니다.
https://fitablekorea.com/","SNS 채널 운영 및 데이터 분석
SNS 포스팅 기획 및 원고 작성
체험단 진행 및 관리
홈페이지 & 소셜 광고 집행
그 외 마케팅 업무","학력 : 초대졸이상
경력: 2~5년
포트폴리오 제출","디자인툴 사용 가능자
통계 분석 능숙자, 문서작성 우수자
SNS 트렌드를 잘 파악하는 분
운동에 관심이 있으신 분","• 서류전형 > 1차면접 > 2차면접> 임원면접 > 최종합격
면접일정은 추후 통보됩니다.
허위사실이 발견될 경우 채용이 취소될 수 있습니다","연금보험 국민연금,고용보험,산재보험,건강보험
휴무.휴가.행사  월차제도, 경조휴가, 반차제도, 공휴일 휴무, 자유로운 휴가문화
보상수당.지원  퇴직금, 경조금, 야간근로수당, 명절선물/명절상여, 성과급, 회식비 지원
사내제도.성장  수평적 문화, 유연근무제, 자율복장","서울특별시 서초구 동산로16길 35, 3층 302호(양재동, 명애빌딩)","['상품개발/기획/MD', '온라인마케팅', '전략마케팅']",['마케팅/시장조사'],"['상품개발/기획/MD', '온라인마케팅', '전략마케팅']"
