회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
리디(주),계약직,"['디자인', '시각디자인', '포토샵', '그래픽디자인', '그래픽', '편집디자인', '웹디자인', '일러스트', '인디자인', '일러스트레이터']",,"[회사 설명]
국내 전자책 점유율 1위를 넘어 글로벌 콘텐츠 산업의 강자로 급부상하고 있는 유니콘 스타트업 리디와 함께 할 당신을 기다립니다.

리디는 2009년 전자책 서비스 '리디북스'를 시작으로, 10년 이상 지속적으로 성장하며 국내외의 고객들에게 전자책, 웹툰, 웹소설 등 다양한 온라인 콘텐츠 서비스를 제공하고 있습니다.

2020년부터는 글로벌 웹툰 구독 서비스 ‘만타(Manta)’를 성공적으로 런칭하여 현재 800만 다운로드를 달성하는 등 북미를 시작으로 글로벌서비스를 확장하고 있습니다. 콘텐츠 산업에서 리디와 함께 성장할 인재라면 지금 도전하시기 바랍니다.


[직무 설명]
- 벤더사의 현지화 납품물에 대한 디자인 검수 및 리뷰
- 벤더사의 현지화 디자이너 교육 및 관리
- 현지화된 웹툰의 후반 디자인 마무리 작업
 > 이미지 수정, 추가, 삭제
 > 식자, 말풍선, 배경 수정","[자격 요건]
- 한영 웹툰 편집 디자인 경험
- 포토샵을 꼼꼼하고 능숙하게 다루실 수 있는 분
- 영어 자격증 보유
- 한영 웹툰 독자이신 분

[우대사항]
- 웹툰 현지화 혹은 유사직무 경험
- 만화 애니메이션 전공자
- 어도비 프로그램 활용 가능자 (일러스트레이터, 인디자인)
- 비즈니스 레벨 수준의 영어 실력",,,,서울시 강남구 역삼동 702-28  어반벤치빌딩 10층,"['일러스트레이터', '출판/편집디자인', '그래픽디자인']",['디자인'],"['일러스트레이터', '출판/편집디자인', '그래픽디자인']"
커뮤니크(주),정규직,"['영상편집', '영상제작', '편집디자인', '컨텐츠기획', '스토리보드', '컨텐츠디자인', '컨텐츠제작', '캠페인기획', '채널운영', '영상디자이너']","커뮤니크 커뮤니케이션 그 이상, 진심의 가치
우리는 기꺼이 이 고민을 우리의 몫으로 받아들여 시대가 원하고 대중이 인정하는 커뮤니케이션의 가치를 만들어 내는데 성심을 다하고 있습니다. 그렇습니다. 우리는 '빠름'의 시대에 '진심'의 가치를 놓치지 않기 위해 오늘도 마음을 다합니다.
매년 빠르게 성장하는 커뮤니크
커뮤니크의 성장은 새로운 기회를 창출하고, 그 기회는 임직원의 성장동력으로 사용됩니다
일할 맛 나는 회사를 만들기 위해 노력합니다.
즐거운 워크 라이프가 될 수 있도록 다양한 복지 제도를 만들기 위해 노력하고 있습니다.","소셜 미디어 채널 콘텐츠 기획 및 제작
마케팅 캠페인 및 광고 영상 소재 제작
유튜브 채널 운영 및 관리
※참고영상: https://bit.ly/3fOR:9p","영상 편집 디자인 경력 2년 이상이신 분
모션그래픽 및 영상 편집 툴에 대한 전반적인 이해가 있는 분
기획에 맞는 컨셉 도출, 스토리보드 기획, 그래픽 표현 능력이 뛰어나신 분
원활한 커뮤니케이션으로 자신의 디자인을 표현하고 설득할수있으신 분
※ 포트폴리오 제출 필수","아이디어 스케치 및 드로잉이 가능하신 분
2D 모션그래픽을 활용한 영상 연출 및 기획단계의 경험을 보유하신 분
3D를 활용한 영상 제작 경험을 보유하신 분.
브랜드가이드라인에 맞는 디자인 도출 경험을 보유하신 분
광고기획의도에 맞는 크리에이티브 기획 경험을 보유하신 분
DSLR 및 촬영장비 운용 경험을 보유하신 분",서류전형-심층면접(면접비 지급)-최종합격,"자유로운 연월차사용 입사 1년 미만이여도 눈치보지 않고 자유로운 연차사용
자유로운 시차출퇴근제 원하는 시간에 출근하고 원하는 시간에 퇴근하는 시차출퇴근제도 사용
급여 외 복지비 지급 여행, 자기개발, 의료비 등 전직원 현금성 복지비 지급
법인 콘도 무료 제공 법인 콘도 할인 X 무료 숙박 제공.
경조금, 경조휴가 지급 즐거운 일, 슬픈 일 경조금 및 경조휴가 지급(사우회 별도 운영)
야근식대 제공 저녁시간 근무 시 저녁 식사비 지원
카페테리아 운영 자체 사옥 내 카페테리아 운영 용리단길 핫플레이스
간편한 출근길 신용산역 도보3분, 삼각지역 5분
기타 다양한 복지 혜택 내일채움공제 / 일학습병행제도/연말 우수사원시상/자사제품할인혜택 /
매월 푸짐한간식제공/자율복장/ 젊은 조직 문화/반려동물 동반 출근가능",서울시 용산구 한강대로44길 14 커뮤니크빌딩,"['영상/모션디자인', '출판/편집디자인']",['디자인'],"['영상/모션디자인', '출판/편집디자인']"
(주)누비콤,정규직,"['편집디자인', '웹디자인', '워드프레스']",,웹디자인업무 ,"ㆍ학력 : 대졸 이상 (2,3년)
ㆍ경력 : 경력 3년 ~ 10년
ㆍ 웹디자인업무 (편집디자인가능)
ㆍ 워드프레스 제작 경험  ",,서류전형-1차면접-최종합격,"지원금/보험 건강검진, 의료비지원(본인), 직원대출제도, 각종 경조사 지원, 단체 상해보험, 의료비지원(가족), 헬스비 지급, 업무활동비 지급, 문화생활비, 통신비 지원, 자녀학자금
급여제도 퇴직연금, 인센티브제, 상여금, 장기근속자 포상, 우수사원포상, 성과급, 연차수당, 직책수당, 장기근속수당, 4대 보험
선물 명절선물/귀향비
교육/생활 창립일행사, 우수사원시상식, 워크샵, 신입사원교육(OJT), 교육비 지원, 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 사우회(경조사회), 아침식사 제공, 음료제공(차, 커피), 해외주재원 제도
근무 환경 휴게실, 수면실, 회의실, 카페테리아, 노트북, 콘도/리조트 이용권, 사무용품 지급
조직문화 자유복장
출퇴근 차량유류비지급, 주택자금 융자, 야간교통비지급, 주차장제공, 주차비지원, 회사차량 있음
리프레시연차, 경조휴가제, 반차, 근로자의 날 휴무, 포상휴가, 산전 후 휴가, 육아휴직, 남성출산휴가, 휴양시설 제공
","서울 영등포구 경인로 775, 3동 502,503호 (문래동3가,에이스하이테크시티)","['웹디자인', '출판/편집디자인']",['디자인'],"['웹디자인', '출판/편집디자인']"
(주)프레인글로벌,정규직,"['디자인', '포토샵', '편집', '그래픽디자인', '브랜드디자인', '편집디자인', '일러스트', '패키지디자인', '일러스트레이터']","섬세이는 자연의 특징, 현상, 더 나아가 기능까지 제품에 담아 우리가 원할 때 원하는 곳에서 자연을 늘 마주하고자 합니다. 
동시에 자연을 온전히 마주할 수 있는 공간, 전시, 캠페인을 전개하고 있습니다.","섬세이의 활동을 일관된 컨셉으로 기획하고 디자인합니다.
• 상세페이지, 콘텐츠 등의 그래픽 디자인
• 패키지 디자인 및 업체 핸들링
• 기타 인쇄물, 옥외 매체 디자인

* 필수 제출서류 
1. [중요] '나는 어떻게 살다 가고 싶은가'를 생각해보고 적어 제출해주세요. (분량 자유)
2. 자기소개서 및 경력기술 포함 이력서
3. 포트폴리오 제출 필수 / 5MB 내외
     프로젝트 기여도를 기재하여 제출해 주세요.","• 2~5년차, 학력 무관
• Adobe Photoshop, Illustrator, Xd 등 그래픽 스킬에 높은 이해도와 역량이 있는 분
• 남자의 경우 병역필 또는 면제자
• 신용 정보 보호 및 이용에 관한 법률상에 결격 사유가 없는 분
• 기타 취업 규정이나 법령에서 정하는 결격 사유가 없는 분","• 디자인 에이전시 근무 이력을 보유하신 분
• 3D 작업이 가능하신 분",서류전형 -> 면접전형 -> 처우협의 -> 최종합격,"• 기본 복리후생 (4대 보험 가입, 퇴직금, 경조금 지급, 연차 및 휴가 지급)
• 생일ME (오후 5시 조기 퇴근)
• 패밀리데이 (매주 금요일 오후 5시 조기 퇴근)
• 다양한 지원비 제공 (운동 지원비, 도서 지원비, 문화 지원비 제공)","서울 중구 칠패로 37, 12층, 14층","['브랜드디자인', '웹디자인', '출판/편집디자인']",['디자인'],"['브랜드디자인', '웹디자인', '출판/편집디자인']"
(주)블루앤트,정규직,"['웹디자인', '콘텐츠디자인', '이벤트디자인', '커머스기획', '배너디자인', '프로모션 페이지 디자인']","블루앤트는 '더 건강한 나, 더 건겅한 세상'을 비전으로 사람과 사람, 사람고 정보를 잇는 디지털 헬스케어 플랫폼 스타트업입니다. 수십억 건의 의료 정보 데이터에서 발견한 인사이트를 다양한 비즈니스 영역에서 새로운 도전을 계속해 나가고 있습니다. 이러한 블루앤트의 차별적 기술과 서비스로 2021년 50억 규모의 투자를 유치완료, 현재 100억규모 투자를 마무리하고 있는 빠르게 성장하고 있습니다.

✔ 2022년 100만 다운로드 앱 달성
http://www.bosa.co.kr/news/articleView.html?idxno=2169048

✔ 2022년 대한민국 퍼스트 브랜드상
https://www.mk.co.kr/news/business/view/2022/01/42053/

✔ 2022년 IF 디자인어워드 수상
https://mirakle.mk.co.kr/view.php?year=2022&no=350530","• 커머스 운영 관련한 콘텐츠 디자인
• MD와 협업하여 프로모션과 기획전 배너, 세부 페이지 디자인 
• 커머스 상품의  썸네일 및 상세페이지  디자인
• 배포된 디자인에 대한 결과 분석 및 다음 버전 업데이트","• 커머스 운영디자인 경력 3년 이상
• 커머스 시스템의 이해도가 있으신 분
• 다양한 이벤트/기획전 디자인 경험이 있으신 분
• 디자인 실무 프로세스에 대한 충분한 이해와 경험이 있으신 분 
• 포트폴리오 필수 제출","• 스타트업 근무 경력
• 헬스케어 인더스트리 이해도가 높으신 분
• 성장의 욕구가 강하며, 스스로 업무를 drive 할 수 있는 분 
• 패키지 디자인 이나 영상 편집이 가능하신 분
• Photoshop, Illustrator에 능숙하고 Figma 등 사용에도 거부감이 없으신 분","1) 진행 절차
1차/2차 면접  처우 협의  입사 확정","복리후생 
- 임직원 건강검진 (100만원 상당) 연 2명 (수습기간 통과인원)
- 비대면 진료 (올라케어) 진료비 및 조제료 전액 지급 (본인, 직계가족)
- 야근 식대 전액 지원 
- 야근 택시비 전액 지원 (21시 이후 퇴근자)
- 자사몰 1만원권 쿠폰 월 6장 지급 (연72만원)
- 생일케이크 제공
- 창립기념일 휴무
- 온/오프라인 강의 전액 지원
- 도서구입비 전액 지원
- 음료, 스낵 등 간식 지원

근로조건
• 근무 형태: 3개월의 수습 기간 동안 계약직, 이후 수습 종료 내부 기준에 따라 정규직으로 채용 됩니다.
• 수습 기간은 지원자 님과 회사가 서로를 알아가는 소중한 기간이에요. 수습 기간에도 급여 100% 지급 및 동일한 복지가 적용돼요.

- 상/하반기 반기별 성과평가 인센티브 지급
- 유연출퇴근 시간제 (08시~10시 자율출퇴근)
- 승인없는 휴가제도 (시간 단위 시차 사용 가능)
- 영어이름 호칭 수평적 문화","서울 강남구 테헤란로20길 10, 8층","['웹디자인', '제품/산업디자인', '출판/편집디자인']",['디자인'],"['웹디자인', '제품/산업디자인', '출판/편집디자인']"
(주)미리디,계약직,"['포토샵', '편집', '그래픽디자인', '그래픽', '편집디자인', '일러스트']",,"• 인쇄 출력 상품을 제작할 수 있도록 인쇄/출력 전, 주문데이터가 작업규약에 맞는지 검수작업을 진행합니다.
   * 주문 데이터는 셀프 디자인 편집 프로그램 '미리캔버스'와 일러스트, 포토샵을 활용하여 검수하며 마감시간 내 신속하고 정확하게 작업해주셔야 합니다.

※ 2주 내외 사내 출근하여 업무교육 및 숙달과정 확인 후 재택근무 가능","• 일러스트, 포토샵 능숙하게 사용 가능하신 분
• 컴퓨터 기본 활용에 문제가 없으신 분
","• 현수막, 인쇄출력업체 또는 편집디자인 경력이 있으신 분
• 인쇄 및 실사 기본 상식을 소유하신 분
• 이미지 누끼작업을 원활하게 하실 수 있는 분 
• 장애인의 경우 관련 법에 의거하여 우대합니다.
• (장애인 증빙서류를 이력서와 같이 제출하는 경우에 한함)",,,"서울시 구로구 디지털로31길 12, 8층 (구로동, 태평양물산)","['광고/시각디자인', '그래픽디자인', '출판/편집디자인']",['디자인'],"['광고/시각디자인', '그래픽디자인', '출판/편집디자인']"
(주)스타트런,정규직,"['디자인', '시각디자인', '포토샵', '편집디자인', '일러스트', '제안서 디자인', 'ppt 디자인', '브로슈어디자인', '배너 디자인']","·  스타트런은 ?
스타트업을 위한 “스타트업 전문 에이전시” 입니다.
스타트업의 IR(투자유치) 및 창업 역량 강화를 위한 [교육/디자인/영상/행사] 등 다양한 사업을 진행해오고 있습니다.

· 스타트런의 디자인비전팀은 ?
수평적인 문화로 팀워크가 좋고 아이디어를 마음껏 제시할 수 있으며 다양한 의견을 수용하고 협업합니다.
디자이너로서 창의적인 아이디어를 도출하여 매력적으로 시각화 할 수 있는 기회가 많은 팀입니다.
인정받을 수 있는 기회가 많은 팀으로 열정적인 분을 모집 합니다.","· 프레젠테이션 디자인 / PPT 디자인 제작
· 입찰 제안서 디자인
· 사인물 디자인 (키비주얼도출, 현수막, 배너, 브로슈어 등)","· 학력 : 초대졸 이상
· 경력 : 최소 2년 이상
· 필수제출서류 : 포트폴리오 (PPT제작) ","이런 분들을 더 선호해요

· 전공자 및 PT디자인 유경력자 우대  
· 커뮤니케이션 역량이 높은 분
· 일러스트, 포토샵 등 각종 툴 사용 가능 하신 분","1차 이력서(포트폴리오) ▶ 임직원면접 ▶ 최종합격 

(합격, 불합격 모두 안내드립니다.)","[문화]
- 수평적으로 서로를 존중하는 문화
- 두 달마다 한 번 런데이 : 홀수달 셋째주 금요일 오후 3시 퇴근!
- 자유롭게 참여할 수 있는 회식 문화

[근무 환경]
- 5호선 양평역에서 5분 거리
- 2개월 수습기간 종료 후 주 1회 재택근무!!!
- 효율적인 업무 진행을 위해 장비(노트북, 데스크탑, 모니터 등) 및 소프트웨어 등 지원
- 업무에 불편하지 않도록! 캐주얼한 복장

[복지 환경]
- 중식 1인 9,000원 제공
- 성장하는데 도움이 되는 업무관련 교육비, 도서 등 지원
- 생일자 조기 퇴근 및 상품권 제공
- 과자, 음료, 커피 등 원하는 간식 구비
- 3년 근속 직원 대상 리프레시 유급 휴가 14일, 5년 근속 시 1개월 지원
- 피로를 풀 수 있는 안마의자!
- 자유로운 연차 사용 (1개월 만근 시 1일 유급휴가 사용)","서울 영등포구 영등포로 33, 505호",['출판/편집디자인'],['디자인'],['출판/편집디자인']
(주)미리디,계약직,"['디자인', '시각디자인', '포토샵', '편집', '그래픽디자인', '그래픽', '편집디자인', '제품디자인', '일러스트']","""간편한 디자인 문화를 만듭니다.""

[미리캔버스] 
저작권 걱정없이 간편히 디자인할 수 있는, 모두를 위한 웹기반 디자인 솔루션
2019년 정식 출시 4년 만에 가입자 1,000만 돌파!

[비즈하우스]
120만 소상공인의 선택을 받아 2022년 50%이상 성장한 온라인 인쇄서비스 
연 400만 개의 디자인 작업이 이루어지며 모든 고객 지표가 꾸준히 성장 중!

미리디는 큰 잠재력을 가진 글로벌 디자인 산업에서 '디자인-인쇄-수익화'가 결합된 독보적인 플랫폼과 서비스를 제공하여, 온라인을 넘어 오프라인까지 디자인과 관련된 모든 문제를 원스톱으로 해결하는 [디자인 올인원 플랫폼]을 향해 나아가고 있습니다.

수평적이고 자유로운 문화 속에서 구성원이 주도적으로 일하는 방식을 지향합니다. 이를 통해 개인과 조직이 함께 성장해 나가고자 합니다. 우리의 기술로 더 많은 사람들이 아름다운 디자인을 누릴 수 있는 세상을 함께 만들어갈 잠재 동료들을 찾고 있습니다. ","∙ 디자인 에디터 관리: 사용자 친화적인 환경을 제공하여 고객이 쉽게 디자인을 시작하고 완성할 수 있도록 지원합니다
- 신규 상품 목업 이미지, 고객 안내 팝업 이미지, 상품 옵션 썸네일, 에디터 아이콘 디자인 및 에디터 기능 설정
∙ 데이터 가공 및 관리: 디자인 작업이 완료되면, 해당 데이터를 효율적으로 처리하고, 디자인 된 내용을 인쇄 가능한 형태로 변환합니다.
∙ 인쇄물 제작 협력: 제품이 인쇄 가능한 상태로 변환되면, 생산 업체와 원활한 협력을 유지하고 인쇄물의 생산과 품질 관리를 지원합니다.
∙ 고객 지원: 고객의 질문에 대답하고 문제를 해결하여 고객 만족도를 유지하고 향상시킬 수 있도록 지원합니다.","∙ 신입 혹은 경력 1년 미만
∙ 디자인 및 그래픽 디자인 관련 경험이 있으신 분
∙ 데이터 처리 및 관리 능력이 우수한 분
∙ 어도비 일러스트레이터, 포토샵 가능자
∙ 새로운 툴 활용에 능숙하신 분
∙ 인쇄물 제작 또는 생산 경험이 있으신 분
∙ 팀 내 협력 및 소통 능력이 원활한 분","∙ 비즈하우스 서비스를 이용해 본 적이 있으신 분
∙ 고객 관점에서 서비스를 바라보실 수 있는 분
∙ 디자인 포트폴리오를 첨부한다면, 500MB 미만 크기의 PDF 파일로 첨부해주세요.","∙ [서류 전형] - [1차 인터뷰] - [2차 인터뷰] - [처우 협의] - [입사] 의 프로세스로 진행됩니다. 
∙ 2차 인터뷰의 경우, 직무/직급에 따라 생략될 수 있습니다.  
∙ 직무에 따라 코딩테스트, 과제 전형이 추가될 수 있습니다.
∙ 입사 후 3개월의 수습 기간 및 수습 평가가 진행됩니다. (급여 100%)
∙ 서류 전형 결과 안내까지는 최대 2주, 인터뷰 결과 안내까지는 최대 3주가 소요됩니다. 
∙ 여러 포지션에 동시에 지원해주시는 것은 가능하지만 동일한 포지션의 경우 최종 결과 안내를 받은 시점으로부터 6개월 후에 재지원이 가능합니다. ","[ 자율과 책임의 근무환경을 제공합니다 ]
자유로운 휴가 사용
경조사 휴가 지원


[ 배움과 성장, 행복을 지원합니다 ]
업무 관련 비용 100% 지원
업무 도서, 온라인 강의 등 스터디 비용 무제한 지원
직원의 행복을 위한 행복개발비 지원
경조사비 지원
외부 교육, 기술 세미나 등을 적극 활용하여 성장을 돕습니다.
 

[ 열일하는 미리인 굶길 수 없다! 삼시세끼 지원 ]
아침 도시락 지원
점심 포인트 지원
저녁 식사비 지원 (개인 스터디 또는 업무로 늦게 퇴근할 경우
제휴 카페 포인트 지원


[ 미리인의 회사 적응과 단합을 지원합니다 ]
직급 없이 수평적인 문화 지향
3년 근속 시 리프레시 휴가
명절 상품권 지급 (설, 추석)","서울시 구로구 디지털로31길 12, 8층 (구로동, 태평양물산)","['그래픽디자인', '제품/산업디자인', '출판/편집디자인']",['디자인'],"['그래픽디자인', '제품/산업디자인', '출판/편집디자인']"
(주)미리디,계약직,"['시각디자인', '그래픽디자인', '편집디자인']",,"""비즈하우스의 다양한 템플릿을 디자인해주세요!""

- 1-2주 간격으로 업데이트되는 신규 상품의 템플릿을 디자인합니다.
     ∙ 다양한 스타일의 인쇄/편집 그래픽 디자인 템플릿
     ∙ 온라인 마케팅에 사용되는 콘텐츠
     ∙ 그 외 다양한 실사 템플릿 디자인
- 템플릿 디자인 기획
     ∙ 트렌드를 분석하고 스타일을 탐색하여 자유롭게 컨셉을 설정합니다. 
- 템플릿 그래픽 에셋 제작
     ∙ 미리캔버스의 에셋을 이용하거나 직접 제작할 수 있습니다. ","""아래 사항을 갖춘 분이라면 목표 달성에 확신을 얻을 것 같아요""

∙ 디자인 경력 3년 이상이신 분
∙ 고객의 선호도를 파악하고 이를 디자인에 녹여낼 수 있으신 분
∙ 협업을 위한 원활한 커뮤니케이션 능력이 있으신 분
∙ 다양한 컨셉 기획하는 것을 좋아하시는 분
∙ 제작참여도를 표기한 포트폴리오를 제출해주세요.",,,,"서울시 구로구 디지털로31길 12, 8층 (구로동, 태평양물산)","['그래픽디자인', '출판/편집디자인', '광고/시각디자인']",['디자인'],"['그래픽디자인', '출판/편집디자인', '광고/시각디자인']"
미학원,정규직,['디자인'],"안녕하세요. 바우하우스를 재건하고 싶은 미학원입니다. 미술에 대한 꿈을 가진 학생과 그의 부모를 위한 교육 과정을 제공하는 온라인 교육 기관을 만들고 있습니다. 서비스는 PoC, Pilot 단계를 거쳐 MVP 구현 과정에 있습니다. BX, 에듀테크(빅데이터, 알고리즘 개발)가 중요한 회사입니다. 예술 학교 교감, 미술 선생님, 미술 연구소, 대기업 디자이너 출신이 다수입니다. 현재 매출 규모나 팀원 커리어 면이나 충분히 도움될 경험이 되리라 판단됩니다.

이런 분이 잘 맞을 겁니다.
-미술 교육을 많이 경험해서 이해도가 높은 분.
(아동미술부터 미대입시, 실무 교육 등 무관).

-교육에 대한 비전이 있는 분.
예: 예중, 예고, 입시학원들 더 좋은 방향으로 바뀌면 좋겠다. 좋은 미술 선생님이 있는 사회를 만들고 싶다 등..

-실무 경험을 할 준비가 된 분.
예: 성장하고 싶다. 최소한의 마인드셋, 스킬셋을 갖췄다고 생각한다. 교육, 디자인, 마케팅, 기획, 운영, 개발, 사업 등의 실무 경험을 하고 싶다. 
","-브랜드 디자인 시스템 구축, BI/BX.",인하우스 브랜드 디자이너 경력직.,유관 전공자 우대. 미술교육 관련 도메인 보유시 우대. 에듀테크 스타트업 경력 우대.,서류 통과 시 대면 인터뷰 진행 연락. ,"식대 제공. 인센티브 및 상여, 성공보수 등.","서울특별시 마포구 와우산로 110, 7층 미학원","['그래픽디자인', '브랜드디자인', '출판/편집디자인']",['디자인'],"['그래픽디자인', '브랜드디자인', '출판/편집디자인']"
