회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
롯데헬스케어(주),정규직,"['거래처관리', '매출관리', '채널영업', 'B2B영업', '신규 거래처 발굴', '헬스케어', '매출마감', 'FMCG']","""Every Moment of your Healthy Life""

롯데헬스케어는 ‘Every Moment of your Healthy life’ 를 비전으로 
언제, 어디서나 고객의 건강한 삶을 위한 생활밀착형 건강관리 경험을 제공하는 것을 목표로 합니다.

저희는 고객의 헬스 데이터를 바탕으로 개개인의 유전자 정보 및 건강검진 결과 분석을 통해 개인 별 맞춤형 건기식, 섭취 방식, 맞춤 식단, 맞춤 디바이스, 운동 방법, 건강 관리를 위한 코칭 서비스 등 건강 관리 전 영역에서 종합적인 솔루션을 제안하는 ‘디지털 헬스케어 플레이그라운드’, [CAZZLE] 을 출시했습니다. 

롯데헬스케어는 '롯데지주'가 700억원을 출자하여 설립한 그룹의 신성장 역량이 투입되고 있는 회사로, 식품/유통/서비스/IT 등 기존 롯데그룹이 보유한 종합적인 인프라를 기반으로 새로운 플랫폼 비즈니스를 구축해 나가는 중입니다.

더불어, 신규 법인으로서 롯데헬스케어 만의 수평적이고 독자적인 인사제도, 업무환경을 구축 중에 있으며, 기존에 보지 못했던 새롭고 매력적인 조직문화와 보상체계를 만들고 있습니다. 

저희와 함께 신규 사업에 대한 열정으로 함께하실 분을 모십니다.","- 자사 헬스케어 상품 B2B 영업 담당 (PB상품, 서비스 등)
 •  신규 거래처 발굴, 기존 거래처 관리
 •  유통 채널 별 매출, 손익 지표 관리
 •  Volume Up 매출 전략 수립
 •  연간 사업 계획 전략 수립 및 실행 관리","• 해당 직무 관련 경험 만 7년 이상 보유자
• FMCG 상품 채널 운영 경험자
• B2B법인(기업검진, 그룹 계열사, 공공기관 등) 대응 유경험자
• 오프라인 채널 유경험자 (마트, 병원 ,약국 등)","• 다양한 카테고리 세일즈 경험자 우대
• 이커머스 비즈니스 및 관련 세일즈 유경험자 우대",,"• 최고급 오피스 환경 제공 (롯데월드타워 오피스 근무)
• 자율적이고 수평적인 조직문화 (통합 직책)
• 기존 롯데그룹 제도와 독립된 별개의 직급/보상체계 운영 (리텐션 보너스, Stock Option 등)
• 업무 효율을 기반으로 한 자율적인 근무제도 운영, 자율복장 운영
• 식사 무제한 제공 (3식)
• 웰컴기프트, 헬스케어 비용 지원(각종 운동, 건강검진 등), 어학교육비 지원 등 다양한 복지 혜택
• 복지포인트 지급(선택적 복지제도), 단체상해보험 지원
• 경조금, 경조휴가, 상조회, 자녀학자금, 실버케어 간병비 지원
• 리프레시휴가제, 자녀입학돌봄휴가, 장기근속휴가 지원
• 임직원 W카드 할인제공 (백화점, 마트, 시네마 등)",서울 송파구 올림픽로 300,"['영업기획/관리/지원', '판매/매장관리']",['영업/제휴'],"['영업기획/관리/지원', '판매/매장관리']"
(유)미소,정규직,"['성과관리', '신규사업기획', '데이터분석', '이벤트기획', '플랫폼기획', '프로세스 개선', '거래처관리. 영업지원']","Mission

‘We build technology that makes everyday offline better’

‘현실의 삶을 개선하는 기술을 만듭니다.’ 미소의 미션입니다. 우리는 미소를 사용하는 사람들의 실제 오프라인에서의 삶이 더 나아지길 바랍니다.

Miso의 문화를 한 마디로 말하면 “올바른 일을 열심히 한다 (work hard on the right things.)"" 입니다.

이를 위해 우리는 고객을 가장 먼저 생각하고, 무엇을 할 것인지 말을 하고 그것을 실제로 해내며, 가장 높은 기준을 갖고 있습니다.

[미소는 어떤 곳인가요?]

미소는 국내 No.1 O2O 홈서비스 플랫폼 기업이에요.

""Hotel-like service in your home(집에서도 호텔같은 서비스를)"" 이라는 비전 아래, 더 나은 오프라인 삶을 위한 경험을 많이 제공하고자 해요. 사람들이 제품을 살때 아마존이나 쿠팡을 이용하듯이 청소나 이사, 리모델링을 원할 때 미소 앱으로 쉽고 빠르게 해결할 수 있어요.

미소 2016년 홈클리닝 서비스를 중심으로 이사/청소/펫시팅/인테리어 등으로 사업 범위를 확장했어요. 매년 2X 성장을 하여, 서비스 출시 후 2년만에 가사도우미 서비스를 1등으로 만들어본 경험이 있고 현재 서비스를 180개 이상 운영하고있어요. 폭발적인 성장 여정을 함께 하고 싶다면 미소에 합류하세요.

2023년 Series A, 누적 고객수 500만 돌파, 재이용율 85% 이상!

총 투자규모 약 130억원(한국 O2O 최초, 실리콘밸리 최대 벤처 투자사 ‘Y Combinator’ 31억 투자유치)


[예비 미소 메이커스를 위한 관련 사이트]

- CEO 인터뷰(EO채널) https://bit.ly/3kq2acp

- 넥스트 유니콘: 홈서비스 미소, 포브스 아시아 100대 유망 기업 선정

- 파이낸셜 타임즈에 소개된 고성장 기업 미소! https://on.ft.com/416ArQT

[미소의 Marketplace Partner Sales Team 소개]

Miso의 Mission은 ‘We build technology that improves our everyday lives offline.’입니다. 미소는 더 나은 매일 매일의 오프라인 삶을 위해 기술을 만드는 회사입니다. 이를 위해 우리는 고객을 가장 먼저 생각하고, 무엇을 할 것인지 말을 하고 그것을 실제로 해내며, 가장 높은 기준을 갖고 있습니다.


미소의 시작은 2016년 생활청소 서비스였습니다. 하지만 단 4년만에 폭발적인 성장으로 현재 170가지 이상의 서비스를 출시해 운영 하고 있습니다.

미소가 꿈꾸는 세상은 간단합니다. 사람들이 제품을 구매하고 싶을 때 아마존이나 쿠팡을 이용하듯, 생활청소나 이사, 리모델링을 원할 때 미소 앱을 켜 쉽고 빠르게 홈 서비스를 이용하는 것입니다.


Partner Sales Team은 미소를 이용하는 Partner 대상으로 가입 상담부터 Partner의 매출향상을 위한 역할을 담당합니다. 현재는 이사 Partner 모집 위주로 업무를 담당하고 있지만 앞으로는 미소의 모든 서비스에 대한 Partner 가입 상담 및 Partner의 성장을 시킬 수 있는 팀으로 만들고자 합니다.


","[직무소개]

Sales Operations Manager 는 더 많은 파트너님들이 미소에서 활동하실 수 있도록 만드는 역할입니다. 파트너 영업팀의 전반적인 운영 프로세스 기획 및 관리 업무가 가장 중요하며, 영업팀의 각 팀원의 성과 측정 및 평가에도 깊게 관여를 합니다. 또한 미소에서 활동 중인 파트너들의 활동 지표와 업체별 특성 파악 및 영업 전략 수립에도 기여를 합니다. Sales Operations Manager의 모든 업무 및 의사결정은 데이터에 기반한 논리적 판단에 근거를 해야하며, 이러한 업무를 주도적으로 이끌어 갈 수 있어야 합니다.

주요업무
신규 파트너 모집 Funnel간 문제점을 파악하여 개선
신규 파트너 모집의 KPI 달성을 위한 프로세스 기획
영업 Tool 개선 및 자동화 업무
영업 담당자 퍼포먼스 관리를 위한 데이터 지원 업무
마케팅 / 사업부서 / 개발팀과의 협업","Business Operations 또는 Sales Operations 분야로 2~5년의 경력을 가지신 분
SQL & Google sheets 등을 통한 데이터 분석이 가능한 분
데이터 기반의 의사 결정으로 증명할 수 있는 성과를 만들어 보신 분
어려운 목표 하에서 달성을 위해 주도적으로 업무를 진행해본 경험이 있는 분","O2O 플랫폼에서의 경험이 있는 분
빠르게 성장하는 비즈니스에서 핵심적인 역할을 수행해보신 분
영업 조직에서 최고의 성과를 만들어보신 분
Hubspot,Pipedrive,Salesforce 도입 및 데이터 integration 등의 업무를 경험해보신 분
인력 퍼포먼스 관리의 경험이 있는 분","- 서류 : 국문 혹은 영문 이력서
- 절차 : 서류 검토 - 커피챗 - 1차면접 - 2차면접- 레퍼런스 체크- 최종합격

- 입사지원 서류에 허위사실이 발견될 경우, 채용 확정 이후라도 채용이 취소될 수 있습니다.","[혜택 및 복지]
- 정직원 Stock Option 보상
- 야근식대, 야근택시비 제공
- 홈클리닝 서비스 제공
 
[업무환경]
- Business 조직과 Product 조직이 Alignment가 잘 맞는 조직문화
- 노트북 및 듀얼 모니터 제공",서울특별시 종로구 율곡로6 트윈트리타워 B동 5층,"['영업기획/관리/지원', '판매/매장관리']",['영업/제휴'],"['영업기획/관리/지원', '판매/매장관리']"
(주)콘크리트웍스,정규직,"['영업기획', '엑셀', '영업md', '유통영업', '프로모션기획', '출고관리', '채널관리', '판매분석', '패션영업', '커뮤니케이션 능력']","""누구나 최고를 누리는 세상""
전문성과 특유의 집요함으로 2배의 가치를 절반의 가격으로 공급함으로써, 저희 콘크리터들이 누구나 최고를 누리는 세상을 만들어 갑니다.

저희 콘크리트웍스는 매년 300%의 성장률을 보이며, CONCRETE의 특성처럼 빠르고 정확하게 정상을 향하고 있습니다. (20년 매출액 35억, 21년 매출액 110억, 22년 예상 매출액 350억원)

1. 최고수준의 '동료'들과 함께하는 동반성장의 기회 !  
   콘크리터들은 국내 최대 패션 플랫폼 M사에서 성공 DNA를 가진 다양한 인재들로 포진되어 있으며
   자신만의 도하우를 서로에게 아낌없이 공유하며, 정보열람이 누구나 가능합니다. 
2. 성공DNA를 가진자는 어딜가나 몸값이 달라진다 !
   모두가 성공 DNA를 내 몸에 심어내기 위해선 남다른 비용과 노력이 수반됨을 충분히 인지하고 있습 
   니다. 다만, 콘크리트웍스의 폭팔력있는 성장과 함께라면 한결 쉬워질 것입니다. 
3. 몰입하는 당신을 위한 최고의 보상 !
   연2회 성과급 지급 + 연 최대 300만원 복지혜택
   성공 DNA를 보유한 사람들에겐 언제나 열려있는 스톡옵션 기회!!    


""이런분들이 저희랑 잘맞아요! ""
성공DNA를 열망하시는 분
집요하게 WHY를 생각하시는 분
끝을 봐야하는 집요함(그릿)이 있으신 분","• 채널별/매장별 배분계획 수립 및 출고(백화점, 아울렛, 몰 등)
• 정산/ 이월 제품 운용 및 시즌 마감
• 상품가격조정 및 프로모션 기획
• 판매분석 및 데이터 관리","•패션회사 영업기획(영업md)경력 2년이상~ 7년이하
•백화점,아울렛, 온라인,위탁사 등 다양한 유통경험
•엑셀프로그램 능숙자
•매출에 대한 열정적인 마인드 및 우수한 커뮤니케이션 능력","•중국, 일본 등 해외유통 경험자 우대
•캐쥬얼브랜드 경력우대",,"• 복지포인트 지급 (60만원씩 / 연2회)
• 자사몰 쇼핑지원금 지급 (60만원씩 / 연2회)
• 종합건강검진지원 (60만원 한도)
• 명절보너스 & 여름휴가비 지급
• 생일자 조기퇴근
• 연말 우수사원 선정 및 포상 지급 (3명)
• 연 2회 상여금 지급
• 직원휴게실 설치 (안마의자 등 구비)
• 점심식사 제공
• 커피머신 & 간식제공 (매월 인당 5만원 한도 내 간식 제공)","서울 성동구 아차산로 66, 4층","['영업기획/관리/지원', '판매/매장관리']",['영업/제휴'],"['영업기획/관리/지원', '판매/매장관리']"
(주)에프피앤코,정규직,"['서비스', '매장관리', 'CS', '고객상담', '판매', '매장운영', '고객응대', '고객만족', '고객경험관리']","안녕하세요. 리빙 디자인 브랜드, 플랫포인트 입니다.
기획부터 제작까지 플랫포인트의 통일된 감성으로 풀어낸
자사 제품을 디자인하여 선보이고 있습니다.

더 큰 도약을 꿈꾸는 플랫포인트와 함께
다양한 가능성을 펼칠 분을 찾습니다.","- 쇼룸 방문고객 상담/판매
- 쇼룸 운영/컨디션 관리
- 오프라인 매출 관리","- 경력 무관
- 해외여행에 결격사유가 없는 분


※ 근무조건 :
- 주 5일 스케줄링 근무 (주말 필수 근무/평일 2일 휴무) / 09:30~18:30
- 2개월 수습 후 정규직 전환 검토","- 협업과 커뮤니케이션 능력이 우수한 분
- 공감 능력과 배려심을 갖춘 분
- 고객경험(CX)에 대한 이해도가 높은 분
- 리빙브랜드 판매 경험이 있는 분","- 서류 전형 → 1차 면접 → 2차 면접 → 최종 합격

 * 면접자에 한하여 개별 연락드립니다.
 * 입사지원 서류, 기재 사항에 허위사실이 발견될 경우 채용이 취소될 수 있습니다.","함께하는 여러분을 위해

- 생일 휴가 / 생일 당월 유급휴가 1일 제공
- 리프레시 휴가 / 근속년수에 따라 리프레시 휴가 제공
- 심리 상담 / 월 1회 전문심리치료사와의 상담 제공
- 자기개발비 / 업무 관련 교육비, 도서구입비 등 지원
- 근무환경 / 쾌적하고 편안한 사무실 공간, 자율간식 제공
- 임직원 할인 / 자사 소품 50%, 가구 35% 등 할인
- 중식 제공 / 월 17만원 한도의 중식 전용 카드 제공
- 경조사 / 경조사 관련 각종 경조금 지급","서울 강남구 영동대로112길 36, 1층",['판매/매장관리'],['영업/제휴'],['판매/매장관리']
(주)더즌,정규직,"['영업관리', 'B2B영업', '가맹점관리', '운영관리', '키오스크']","""더즌은 우리나라에서 가장 행복한 회사를 꿈꿉니다.""

1. 향상된 기술과 품질로 고객의 다양한 니즈를 충족시키는 Total B2B Service Provider입니다.
2. 펌뱅킹, 가상계좌 등 PG 및 결제 서비스를 제공합니다.
3. 본인인증, 청구서, 알림톡 등 카카오페이와 제휴합니다.
4. 리얼마진, 아보카도, 더아파트 등 생활밀착형 서비스를 제공합니다.
5. 무인환전, 스크래핑, 메시징, 해외법인까지 사업을 확장 중입니다.
6. 창립 후 꾸준하게 재무적 성장을 이뤄내고 있습니다.
7. 구성원의 행복이 곧 회사의 성장이라 생각하며, 아낌없는복지를 제공합니다. ","• 환전 키오스크 세일즈 및 관리
     - 인/아웃바운드 영업
     - 기/신규 가맹점 관리 업무 전반
• 환전 키오스크 운영
    - 가맹점 소통을 통한 환경 개선
    - 키오스크 운영 관리","◆ 더즌에 지원한 동기와 직무(프로젝트) 경험 필수 기술

• 키오스크 영업 경험 및 결제(VAN) 시장에 대한 전반적 이해도를 가지고 계신 분
• 금융, 결제, 환전 관련된 업무 경험이 있으신 분
• 책임감이 강하고 열정이 가득하신 분
• 타 부서와 원활한 커뮤니케이션이 가능한 분","• 동종업계 경력을 가지고 계신 분
• 문서 작성 및 기획에 능숙하신 분 (MS Office, 피그마 등)
• 수납/결제 B2B 영업 경험을 가지고 계신 분","서류전형 ＞ 1차 인터뷰(대면/직무역량) ＞ 온라인 인성검사 ＞ 2차 인터뷰(대면/문화적합) ＞ 처우 협의/레퍼런스 체크 ＞ 최종 합격

** 서류 제출 시 더즌에 지원한 사유를 꼭 포함하여 제출해주세요!
** 경우에 따라 채용전형이 생략/추가될 수 있습니다.","주 35시간 근무, 리프레시휴가 12일 추가 제공, 사내 휴양리조트 이용, 근속 3년마다 안식월, 무제한 간식, 취미활동비 지원 등 더즌만의 다양한 혜택을 경험해보세요!

•더즌인의 특권!
- 집중근무 일 7시간 / 주 35시간
- 신논현역 초인접! 전망좋은 교보타워 오피스
- 여유로운 점심시간 1시간 30분
- 개별 법인카드 지급 (점심식대+교통비)
- 장비 구매비용 지원
- 교육비/도서비/취미활동비/체력단련운동비 지원
- 다양한 간식 무제한 제공

•눈치보지 않고 떠나는 30일 이상의 휴가
- 입사와 동시에 연차 사용 가능
- 신규 입사자는 입사축하 4일 더! 
- 연차 외 추가 유급 Refresh 휴가 12일
- 더즌만의 특별한 퇴근 Dozn Day 6일 
- 가족기념일에는 조기퇴근하는 Family Day
- 근속 매 3년 마다 30일의 유급 휴가와 휴가비 지급
- 근로자 휴가지원사업

•‍‍‍가화만사성
- 매년 직원 종합 건강검진 제공
- 행복한 생일, 백화점 상품권 지급
- 경조휴가 및 경조사비 지원
- 명절 선물 제공
- 사내 휴양리조트 운영
- 결혼 축하휴가 2주

•그 외에도,
- 아침 식사, 저녁식대 지원  
- 워크샵 지원
- 팀회식비 지원
- 사내동호회 
- 인재 추천 지원금
- 편하게 쉴 수 있는 사내 휴식 라운지
- 반바지도 샌들도 OK! 자율 복장

#설립4~9년 #리프레시휴가 #주35시간


","서울 서초구 강남대로 465, B동 16층","['기술영업', '영업기획/관리/지원', '판매/매장관리']",['영업/제휴'],"['기술영업', '영업기획/관리/지원', '판매/매장관리']"
쉐어잇(주),정규직,"['시장조사', '계약관리', '영업전략수립', 'ms오피스', '결제', '공간기획', '플랫폼운영', '사용자조사']","#. 회사 소개
 - 쉐어잇은 공간 대여 중개 플랫폼입니다.
 - 공간과 사람을 연결하고, 공간의 가치를 높입니다.
 - 10,000명 스포츠 스타디움부터 1인 스터디실까지 공유 가능한 모든 공간을 중개합니다.
 - 2017년 창업하여 민간, 정부 투자 누적 100억원을 유치하였습니다.

#. 팀 소개
 - Retail 팀은 공간 영업부터 사용자 관리까지, 플랫폼의 모든 프로세스에 투입됩니다.
 - 세부 영역으로 공간 영업, 고객 영업, 운영 관리팀으로 세분화됩니다.","1)  B2B/B2C 공간사용자 개발
공간을 사용하고자 하는 사용자의 니즈를 분석하고, 대상을 확대하기 위한 전략을 수립합니다. 

2) B2B/B2C 공간사용자 영업 
공간이 필요한 공간 사용자에게 적합한 공간을 연결하기 위한 사용자 영업전략을 수립합니다.  

3) 공간 연결 프로세스 관리
공간사용 카테고리를 주 담당으로 사용자 문의 응대 부터 계약, 결제, 사용 까지 공간 사용 전반을 관리합니다.    

4) 공간 카테고리 전략 수립
 담당 공간 카테고리의 플랫폼 마케팅, UI/UX 전략수립을 통해 매출 증진을 위한 대관 프로세스 효율화 계획을 수립하고 실현합니다.","- MS오피스(엑셀, 파워포인트) 숙련","- 스타트업 업무 경험
- 관렵 업무 경험",,"• 중식 지원 (일 1만원)
• 우수사원 100만원(분기)
• 연 성과 보너스 : 최대 월 급여 x 3
• 추천 직원 입사 100만원
• 장기 근속자 포상
• 청년내일채움공제
• 스톡옵션(주식매수선택권) 
• 업무용 Laptop 지급
• 도서, 교육 무제한 지원 
• 개발 서적, 교육 지원","서울특별시 성동구 뚝섬로3길 13, 2층","['영업기획/관리/지원', '판매/매장관리']",['영업/제휴'],"['영업기획/관리/지원', '판매/매장관리']"
(주)두잇,계약직 (정규직 전환 가능),"['엑셀', '매장관리', '영업관리', '고객관리']","폭발적으로 성장하는 배달앱 스타트업 '두잇'에서 사장님 지원을 담당해주실 Account Manager 분을 모십니다. 

안녕하세요, 배달비 없는 배달앱 두잇입니다.
두잇은 세상에 없던 '모든 가게 배달비 무료'라는 혁신적인 고객 가치로 폭발적인 성장세를 만들어내는 스타트업입니다.
세상 모든 고객이 '맛있는 음식을 가장 싸고 빠르게' 먹을 수 있도록 하는 문제를 함께 풀어나갈 동료를 구하고 있습니다. ","- 두잇 입점 상점의 다양한 고민을 파악하고 컨설팅/솔루션 제안을 통해 상점 만족도를 향상
- 상점 운영 중단 유형별 pain point 파악 및 관리 프로세스 개선","- 상점의 다양한 이슈를 매뉴얼 기반으로 판단하여 대처할 수 있는 분
- 유선 및 대면으로 상점 사장님들과 원활하게 소통 가능하신 분","- 1년 이상의 AM 경력 및 유관업무 경험 있으신 분
- Excel 등을 이용한 데이터 정리 및 분석적 사고 능력이 뛰어나신 분",서류 > 1차 전화면접 > 2차 대면면접 > 최종합격 ,"- 업무시간 및 급여
    - 주5일 (11 to 8)
        - 기본급 : 연봉 3600만원 (업계 최고 분을 모시기 위해, 업계 최고의 대우를 해드립니다!) 
        - 인센티브 : 무제한 (월 평균 100만원)

- 계약형태 및 기간
    - 최초 3개월 계약 후 정규직 전환 협의","서울특별시 관악구 남부순환로 1925, 4층","['영업기획/관리/지원', '판매/매장관리']",['영업/제휴'],"['영업기획/관리/지원', '판매/매장관리']"
(주)핸디즈,정규직,"['영업기획', 'pricing', '시장분석', '수요예측', '트렌드분석', '판매전략수립', '커뮤니케이션 능력']","핸디즈는 맞춤형 숙박 브랜드 '어반스테이'와 '르컬렉티브'를 운영하고 있는 
생활형 숙박시설 위탁 운영 스타트업입니다. 
짧은 기간 동안 빠르게 성장해온 핸디즈는 2022년 기준 339억원의 연매출을 달성하며 
전년 대비 3.3배 성장을 이뤄냈습니다.
핸디즈의 도전은 이제 시작입니다. 
이 여행길에 함께할 여러분들을 벅찬 마음으로 기다리고 있습니다.


[핸디즈는 이렇게 일해요]

적극적으로 공유하고 커뮤니케이션 합니다.
어느 한 팀, 어느 한 사람만이 잘 한다고 해서는 우리의 서비스를 구현할 수 없습니다. 
적극적으로 공유하고 커뮤니케이션 함으로써,
모든 구성원이 ONE-TEAM 으로 핸디즈의 모든 일에 대해
관심과 이해를 갖게 되는 것이 매우 필요합니다.

수평적인 커뮤니케이션을 지향합니다.
수직적인 위계나 불필요한 권위는 적극적인 커뮤니케이션과
합리적인 논의를 파괴합니다. 다양하고 자유로운 의견들이
활발하게 만들어 질 수 있도록 수평적인 문화를 지향합니다.

빠르게 실행하고 끊임없이 개선합니다.
고객이 무엇을 원하는지 미리 알 수 없습니다.
빠르게 실행해서 제공하고 열심히 고객의 의견을 듣고 그에따라
끊임없이 개선하는 것만이 방법입니다.","• Revenue 분석 툴을 활용한 데이터 분석
• 데이터 분석을 통한 일/주/월 단위의 판매 전략 수립
• 호텔 상품점검, 개선, 보완점 분석을 통한 상품력 강화
• 수요예측 및 트렌드 분석을 통한 Pricing 전략 수립","• 학력 : 대졸(2년제) 이상
• 경력 : 관련 2년 이상","• 목표의식이 뚜렷하고 목적달성을 위해 다양한 도전을 즐기는 분
• 숫자 감각이 뛰어나고 분석 능력을 갖추신 분
• 커머스MD 혹은 세일즈 관련 업무 경험
• 외부 관계자 또는 협업 부서 간의 커뮤니케이션 능력이 우수한 분","서류전형 > 채용인터뷰 > 최종협의

접수기간 : 채용시까지
제출서류 : 이력서, 자기소개서

* 입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.","• 자유로운 연차
사유가 필요한가요? 쉬고싶을 때 쉬자!

• 생일휴가
생일은 소중하니까 소중하게 보내라고 유급휴가

• 임직원 무료 숙박권 &할인
여행갔을 때 숙소걱정? 핸디즈는 무료로 지점 사용 및 할인 가능!

• 워크스테이션 지급
업무 진행을 위한 데스크탑 or 노트북 / 윈도우 or 맥 선택가능

• 경조사 지원
기쁜 날도 슬픈 날도 핸디즈가 함께합니다.

• 매년 건강검진 지원
일보단 건강이 우선! 행복하자 아프지말고~

• 유니폼 지급
소속감을 느낄 수 있는 패딩조끼 or 가디건 형식의 유니폼 지급

• 매 월 회식비 지원
지루하고 재미없는 회식NO! 모두가 즐거운 회식을 위한 회식비 지원

• 사내 추천 시 보너스 지급
나의 추천으로 새로운 입사자가 있다면 보너스 지급!",서울특별시 서초구 서초대로 398 BNK디지털타워 5층 503호,"['영업기획/관리/지원', '판매/매장관리']",['영업/제휴'],"['영업기획/관리/지원', '판매/매장관리']"
(주)뷰케이코리아,정규직,"['영업관리', '판매관리', 'CS', '고객응대', '수주관리', '출고관리', '원료', '완제품']","1. BEUKAY는 어떤회사인가요?

BEUKAY GROUP은 중국을 기반으로 지속 성장해온 20년 이상의 업력과 규모를 지닌 화장품 전문 기업입니다. 
그룹사 자체적으로 다수의 화장품 브랜드를 보유하고 있으며, 중국 내 3만pos의 오프라인 유통 채널 ,
색조전문 OEM ODM 사업부터 화장품과 관련된 원부자재 비즈니스까지 광범위한 사업영역으로
지속 발전하고 있는 그룹회사 입니다. 
ODM 주요 고객사로는 글로벌 브랜드인, L사, P사, S사 등 대규모 클라이언트 POOL을 보유하고 있습니다. 
BEUKAY KOREA는 BEUKAY GROUP의 글로벌 기지 확장을 위한 초석으로 2018년 설립된 회사입니다. 
한국 국내에서도 유수 색조 브랜드들과 이미 거래를 진행하고 있습니다. 
2. 뷰케이가 바라는 인재상은?

매사에 적극적이고, 주동적인 행동력 있는 인재를 선호합니다. 
평소 화장품에 많은 관심과 애정을 가지신 분 적극 채용합니다. 
진행 과정 중 장애물이나 난관에 봉착했을때 포기하지 않고 밀어붙일 수 있는
뚝심! 있는 인재를 필요로 합니다. ","ㆍ벌크 원료 반제품 완제품의 수주 출고 마감 업무 
ㆍ라씨엘르 B2C, B2B, KOL 주문 취합 출고 업무 및 월 마감 업무
ㆍ출하현황 출고내역 통계 및 고객사 판매현황 통계 작업 
ㆍ품질 이슈 확인 및 신제품 개발현황 확인 
ㆍ기타 고객 요청 사항 대응","ㆍ경력 & 학력 & 성별 & 국적 제한 없습니다.
 ㆍ유창한 중국어 (중국인 지원가능) or 영어 가능자
 ㆍ이메일 ppt 등 문서 작성 및 정리 필수",,서류전형-면접전형-최종합격,"지원금/보험 건강검진, 각종 경조사 지원
급여제도 퇴직연금, 인센티브제, 장기근속자 포상, 휴일(특근)수당, 4대 보험
선물 생일선물/파티, 장기근속 선물
교육/생활 워크샵, 신입사원교육(OJT), 직무능력향상교육, 교육비 지원, 자기계발비 지원, 구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 식비 지원, 음료제공(차, 커피)
근무 환경 휴게실, 회의실, 공기청정기, 카페테리아, 장애인 전용주차장, 노트북, 자회사 제품할인, 사무용품 지급
조직문화 노조/노사협의회, 수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화, 문화 회식
출퇴근 주차장제공, 주 52시간제 준수
리프레시 연차, 경조휴가제, 반차, 육아휴직
",경기 오산시 가장산업서로 12-35,"['영업기획/관리/지원', '판매/매장관리']",['영업/제휴'],"['영업기획/관리/지원', '판매/매장관리']"
신성통상(주),정규직,"['매장관리', '온라인', '프로모션기획', '매출분석', '행사운영', '바이어상담', '경쟁사분석']",,"• 담당브랜드: TOPTEN 애슬레저 라인 밸런스(BALANCE)
• 탑텐밸런스 단독매장 온/오프라인 관리
• 유통바이어 상담 및 신규 유통출점
• 매출 목표 및 달성계획 수립, 실행,피드백
• 행사 운영 및 프로모션 기획
• 상권 및 경쟁사 분석","• 학력: 학사 이상
• 경력: 3년이상
• 직위: 대리-과장급
• 동종업계/유사직무 업무 경험자 (애슬레저/스포츠웨어 업계 우대)","• 성취지향적 태도 및 대인관계능력 우수자
• 우수한 커뮤니케이션 통한 영업 실행능력 우수자
• 능동적/ 외향적 성향 우대","서류전형-인적성 검사-1-2차 면접-채용확정

서류 합격여부에 상관없이 저형괄과는 개별 연락 드릴예정입니다
인적성 검사는 서류 합격자에 한해 시행 예정입니다
인적성 검사는 마이크/카메라 세팅이 필요없이 30분 내외로 소요됩니다","아침/음료는 신성에서
신성통상 자율주차
다양한 교육기회 부여/사내도서관
자사브랜드 할인
신성 한우데이
정시퇴근보장! 셧다운제",서울 강동구 풍성로63길 84,"['영업기획/관리/지원', '판매/매장관리']",['영업/제휴'],"['영업기획/관리/지원', '판매/매장관리']"
