회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
삼지전자(주),정규직,"['품질관리', '생산기술', 'SW QA', '테스트엔지니어', 'MS Office', 'sw test', '중계기']","업력 42년의 중견기업이자 코스닥 상장사인 삼지전자에서 다음과 같이 유능하고 역량있는 인재를 모집합니다. 당사와 함께 미래를 이끌어 나갈 분들의 많은 지원 바랍니다
","신제품 및 양산품 S/W 설계 검증 시험 
4M(PKG)변경 시 S/W 설계 검증 시험 
abnormal 시험을 통한 사전 오류 및 이상동작 검출","경력: 신입/경력 5년 미만
LTE, 5G NR 중계기 등 시스템 설계
검증 경험자(S/W 기능 검증)
동종업계 생산기술 혹은 검증부서
유관업무 경험자
학력 : 초대졸 이상
전공: 공학계열 전공자 (전자, 정보통신 관련)","자기주도적 업무수행 가능자
오피스 문서 작업 능숙자
품질업무 열정을 가진 자","서류전형-실무면접-최종합격

제출서류 : 이력서, 경력기술서 (신입사원 지원자의 경우 성적증명서 제출 必)","기념일 상품권 지급
퇴직연금, 경영성과급
자녀 대학 학자금지원
종합건강검진 지원(배우자 포함)
기숙사 지원 (1인 1실)
동호회 운영 (산악, 축구동호회)
조식, 중식, 석식 무료제공",경기 화성시 금곡로 63-27,"['생산/품질기획', '품질관리', '품질보증']",['생산관리/품질관리'],"['생산/품질기획', '품질관리', '품질보증']"
오케스트로(주),정규직,"['QA', '품질관리', '품질보증', '성능테스트', 'JIRA', '테스트엔지니어', 'openstack', '이슈관리', 'confluence', '커뮤니케이션 능력']","[오케스트로는 계속 변화합니다]
오케스트로는 스스로의 한계를 제한하지 않습니다
클라우드 산업의 새로운 기준을 만들어가는 오케스트로에서
함께 성장할 소중한 동료를 기다립니다
더 큰 성장을 통해 세상을 변화 시키시고 싶은 분이라면 지금 바로 합류하세요","Platform Solution Quality팀은
Platform Solution Quality팀은 솔루션의 품질을 높이기 위해, 프로덕트 구성원들과 서비스 사용성 개선을 함께하고,

QA 프로세스에 대한 지속적인 개선 활동을 하는 등 전반적인 품질보증업무를 수행합니다

솔루션 품질을 높이기 위한 QA 플랜 및 효율적인 테스트 전략을 수립하고,

이를 기반으로 효과적인 QA 방법론 및 테스팅 도구를 도입/적용하고 테스트 케이스들을 관리합니다


 • 자사 클라우드 솔루션에 대한 전반적인 QA업무 수행

 • 솔루션 납품 사업에 대한 QA 업무 수행

 • QA Process를 구축하고 관리 업무

 • 테스트 계획 및 케이스 설계

 • 기능테스트 및 비기능 테스트 수행 (가용성, 응답성) 

 • 이슈관리 및 분석

  • 성능툴 : Jmeter, Locust

  • 협업환경 : Atlassian(Confluence./Jira), Figma

  • 클라우드 환경 : OpenStack, VMWare, K8s, AWS, NCP
"," • 프로젝트 테스트 계획서 작성 경험이 있으신 분

 • 통합테스트 시나리오 설계/작성 가능하신 분

 • 네트워크 환경에 대한 이해도가 높은 분

 • 원활한 커뮤니케이션 및 문서 이해, 작성 능력

 • 논리적이고 체계적인 사고방식을 통한 문제해결 능력

 • 새로운 기술 및 지식 습득에 대한 열정","• 성능/자동화 테스트 경험자

• Jira, Confluence 등의 툴을 이용한 협업 및 커뮤니케이션 경험을 가지신 분",,"• 자율 출퇴근
매일 매일 편한 시간에 출근하세요(9시 ~ 10시)
하루 8시간 열심히 근무하신다면 언제든지 퇴근 하셔도 괜찮아요
• 식비 지원
오케스트로는 점심, 저녁 식대를 제공해드려요
매일 매일 맛있는 식사로 힐링해 보세요
• 각종 휴가 지원
눈치 보지 말고 자유롭게 신청하세요 (연차, 반차, 반반차 운영)
여름휴가(연차 외 최대 3일), 기념일 휴가(본인, 자녀 입학/졸업식 유급)를 제공해드려요
• 개인 장비 지급 (Mac Pro, 모니터 등)
빛나는 성과를 내는데 꼭 필요한 최고급 사양의 업무용 장비를 지원해드려요
필요한 장비, 필요한 소프트웨어는 언제든지 지원해드리니 부담 없이 요청해주세요
• 도서 구입비 지원
개인의 성장이 조직의 성장을 이끈다고 믿어요
새로이 발전하는 기술 트렌드를 익히고 발전시킬 수 있도록 교육비, 도서 구입비를 지원해드려요
• 결혼 장려금 / 출산 장려금 지원
개인의 생활과 직장이 조화를 이루도록 지원해드려요
일생에 가장 축하할 일인 결혼과 출산 장려금을 드려요
• 자유로운 복장
개인의 개성과 스타일을 존중해요
편하게 입으시고, 눈치 보지 마세요
• 그 외
종합 건강검진, 생일 축하(선물 & 조기 퇴근), 명절 선물 등","서울 영등포구 여의대로 108, 43층",['품질관리'],['생산관리/품질관리'],['품질관리']
(주)에스엠플라텍,정규직,"['QC', '품질관리', '운전면허', '품질검사', '계측', '부품검사', '성적서 작성']",,"ㆍ각종 기계 가공공정, 계측 등 품질관리
ㆍ압출기 품질검사 및 각종 부품에 대한
   품질 검사(성적서 관리 포함)","ㆍ학력 : 고졸 이상
ㆍ경력 : 신입/경력 5년 이하(사원~주임급)","ㆍ운전가능자, 차량소지자",서류전형-면접전형-최종합격,"지원금/보험 각종 경조사 지원
급여제도 퇴직연금, 상여금, 우수사원포상, 성과급, 휴일(특근)수당, 연차수당, 직책수당, 장기근속수당, 4대 보험
선물 명절선물/귀향비, 창립일선물지급, 크리스마스 선물
교육/생활 창립일행사, 교육비 지원, 점심식사 제공, 사내동호회 운영, 음료제공(차, 커피)
근무 환경 휴게실, 회의실, 공기청정기
조직문화 수평적 조직문화, 야근강요 안함, 자유로운 연차사용, 칼퇴근 보장
출퇴근 주 52시간제 준수",경기 안산시 단원구 첨단로181번길 29,"['품질관리', '품질보증']",['생산관리/품질관리'],"['품질관리', '품질보증']"
(주)세나테크코리아,정규직,"['QA', 'QC', '품질관리', '품질보증', '인도', '외국어(영어)']","세계로 나아가는 세나테크코리아는
Mobile, Display, Mobility 분야의 어플리케이션 제품구현의 선구자로서 관련 금형기술과 축적된 노하우를 바탕으로
최고의 솔루션을 개발하여 최상의 품질을 제공하기 위하여 끊임없이 노력하고 있습니다.
글로벌 시장변화에 대하여 지속적으로 기술력을 혁신하고 고객에게는 신뢰를 제품에는 믿음을 드리는 기업
세나테크 코리아에 많은 지원 바랍니다.",인도법인 품질관리 및 보증,"ㆍ학력 : 대졸 이상 (2,3년)
ㆍ경력 : 경력 5년 ~ 8년(과장, 대리, 차장급)
ㆍ기타 필수 사항
   - 해당직무 근무경험","ㆍ인근거주자
ㆍ야간근무 가능자",서류전형-1차 면접-최종합격,"교육/생활 창립일행사, 점심식사 제공
급여제도 퇴직연금, 상여금, 장기근속자 포상, 4대 보험
선물 명절선물/귀향비, 생일선물/파티
근무 환경 휴게실, 전용 사옥","경기 안산시 단원구 해안로213번길 45, 반월공단","['품질관리', '품질보증']",['생산관리/품질관리'],"['품질관리', '품질보증']"
(주)블랭크코퍼레이션,정규직,"['품질관리', '생산관리', '원가분석', '원가관리', '생산기획', '제품생산']","about blank 인간을 위한 새롭고 가치있는 일에 끊임없이 도전합니다.
블랭크코퍼레이션은 사람들의 삶 속의 결핍을 찾아 해결합니다.블랭크가 제안하는 솔루션은 작은 것일수도 있지만 지금까지 누구도 도전하지 못했던 큰 것일 수 있습니다. 사람들의 일상에 임팩트를 제공할 수 있다면 무엇이든 도전하여 변화를 만들어냅니다.

더 파격적이고, 더 다양하고, 더 새로운  우리의 도전을 함께 하실 분을 찾습니다.","모도리 브랜드 제품의 전반적인 생산기획 업무를 맡으실 예정입니다.

주요업무
• 리빙 (주방용품 & 쿡웨어 & 키친웨어) 카테고리의 제품 생산
• 신규 제조사 소싱 및 검증, 계약 체결
• 품질/원가/납기/국내·외 제조 인프라 관리 및 평가
• 내/외부 고객 관점 생산 프로세스 설계
• 가설검증 프로젝트를 통한 문제 해결","• 관련 업무 경력 3년 이상의 경험이 있으신 분
• 원가 분석, 품질 관리, 납기 관리, 국내·외 제조 인프라 관리 경험이 있으신 분
• 리빙 관련 카테고리에 새로운 제품 기획 & 소싱 프로세스 설계 경험이 있으신 분
• 협상 및 협업 커뮤니케이션에 능하신 분","• 주방 용품 브랜드에서 업무를 경험이 있으신 분
• e-commerce의 물류/CS 등 Back Office의 업무 프로세스 이해가 있으신 분
• 금형에 대한 지식을 보유하고 계신 분", • 서류 심사 ＞ 1차 현업 면접 ＞ 2차 최종 면접 ＞ 레퍼런스체크/처우협의 ＞ 최종합격,"of the blanker, by the blanker, for the blanker
블랭커의, 블랭커에 의한, 블랭커를 위한 복지 제도

즐겁게 일하는 환경을 만듭니다.
ㆍ중식비 1만원 지원 (연봉에 미포함)
ㆍ자율 출퇴근제 운영 (8시 - 10시 30분 출근)

개인의 성장을 응원합니다.
ㆍ3 / 5/ 7년 장기근속자 휴가 및 지원금 제도

개인의 삶을 생각합니다.
ㆍ남녀 모두 편하게 사용하는 월 1회 보건휴가
ㆍ매년 5월엔 가족과 풍요로운 시간을 보내기 위한 식사비 지원
ㆍ매년 건강검진 휴가/비용 지원
ㆍ연간 300만원 상당의 자사 제품 구입 비용 지원
ㆍ결혼 경조금 200만원 / 출산 경조금 200만원

더 다양한 블랭크 복지를 입사 후 확인하세요.",서울시 강남구 역삼로 179 ,"['생산/품질기획', '생산관리', '품질관리']",['생산관리/품질관리'],"['생산/품질기획', '생산관리', '품질관리']"
한국뉴매틱(주),정규직,"['품질관리', 'ERP', '기계', '원자재', '공압']","어제보다 나은 오늘, 오늘보다 조금 더 나은 내일을 꿈꾸는 당신과 함께합니다.
저희 한국뉴매틱(주)은 공장자동화 부품 소재인 진공시스템과 관련된 핵심 제품을
연구개발하여 제조 수출하는 회사로서, 국내는 물론 유럽을 비롯한 전세계에서
진공자동화 분야의 리더로 활약하고 있는 회사입니다. 주인의식을 바탕으로
회사와 함께 나아갈 창의적이고 진취적인 인재를 새로운 가족으로 모집합니다.","ㆍ공압부품 및 자동화 기계 부품
ㆍ원자재 수입검사 및 ERP 전산업무외","ㆍ전문대졸 이상 또는 졸업 예정자
ㆍMS OFFICE 가능자","ㆍ해외 여행에 결격사유가 없는 자
ㆍ근무지 인근 거주자 우대
ㆍ남성의 경우 군필 또는 면제자","서류전형-면접전형-최종합격

ㆍ1차 서류전형 (합격자에 한하여 통보)
ㆍ2차 면접 (합격자에 한하여 통보)
   (무역부 : 영어 능력 테스트, 연구소 : 설계 능력 검증 테스트 예정)

제출서류
ㆍ이력서
ㆍ자기소개서 (단. 경력자는 경력 관련 내용을 자세히 서술하여 제출)","4대보험 (국민연금, 고용보험, 건강보험, 산재보험)	

보상, 수당, 지원 : 장기근속자 포상, 우수사원표창, 성과에 따른 인센티브	

기타 : 연차, 여름휴가, 교통비 지급, 직원휴게실 운영(커피, 간식제공), 중식제공,
        포인트제도 운영, 콘도/리조트 이용권, 유니폼 지급, 명절선물 등",서울 금천구 벚꽃로10길 24,['품질관리'],['생산관리/품질관리'],['품질관리']
씨와이오토텍(주),정규직,"['품질관리', '개선', '제어', '문서관리', '품질검증']","씨와이오토텍은 2006년에 설립된 회사로 자본금 9억원, 2022년 매출액 274억 3,060만원, 사원수 72명 규모의 고용노동부에서 선정한 강소기업으로서, 30년 전통의 자동차부품 제조사이긴 하지만 스타트업의 마인드로 새로운 10년을 준비하는 기업으로 ""적층제조 기술기반의 Smart 모빌리티 분야에 기여하는 히든챔피언 기업으로 성장""을 목표로 노력하고 있습니다.

적층제조는 3D 프린팅 기술을 말하는 전문용어로, 당사는 금속 적층기술을 활용해 대량양산을 가능하게 하는 장비와 공정기술을 개발중에 있습니다.
앞으로 공익의 목적을 가지고 한국 제조업의 체질개선에 기여할 수 있는 리더를 기다립니다.","■ 주요업무 : 합류하게 되면 이런 일을 하게 될거예요

(1) 품질계획 및 표준설정: 제품의 품질 요구사항 및 기준을 설정하고, 이를 모든 생산과정에서 
      이행하도록 계획을 수립합니다. 
(2) 품질검사 및 검증: 생산된 부품의 품질을 측정하고 검사하여, 기준에 부합하는지 확인합니다. 
(3) 불량품관리: 검사과정에서 발견된 불량품을 분류하고, 원인을 파악하여 보정 및 개선활동을 수행합니다. 
(4) 품질문서관리: 품질관련 문서, 인증서, 검사결과 등을 관리하며, 필요에 따라 이를 내부나 외부에 제공합니다. 
(5) 통계적 품질제어(SPC): 생산과정에서 수집된 데이터를 통계적으로 분석하여 프로세스의 
      안정성과 품질변동을 모니터링합니다. 
(6) 품질개선활동: 문제점을 발견하고, 해당문제를 개선하기 위한 활동을 계획하고 실행합니다. 
(7) 부품 공급업체 품질관리: 공급업체로부터 공급되는 부품의 품질을 모니터링하고, 문제가 발생할
      경우 개선요청을 합니다. 
(8) 교육 및 훈련: 품질관리와 관련된 훈련을 직원들에게 제공하여, 품질의식과 기술을 높입니다 
(9) 품질경영시스템 유지 및 감사: ISO9001, IATF16949, AS9100, SQ 시스템의 요구사항을 
      준수하며, 내부 및 외부감사를 수행하고 결과를 관리합니다. 
(10) 고객 클레임 처리: 고객의 품질관련 의견이나 클레임을 처리하고, 이를 바탕으로 개선활동을 수행합니다. 
(11) 품질지표 및 보고서 작성: 품질과 관련된 KPI를 관리하며, 주기적으로 보고서를 작성하여 
        상위 관리자나 관련부서에 제공합니다. ","■ 자격요건: 이런 분을 찾고 있어요

(1) 기술적 지식
 - SQ, IATF16949, AS9100 등의 품질경영시스템 유지관리 유경험
 - 자동차부품 금속가공제품의 품질관리 유경험
 - 적층제조에 대한 유경험
 - 통계 및 품질도구(Pareto Chart, FMEA, Control Chart 등) 사용 능력

(2) 소프트웨어
 - Minitab 중급 사용능력
 - QMS 사용 유경험
 - R, JMP 사용능력

(3) 문제해결 능력
 - 다양한 프로젝트에서 품질개선 경험 보유. 팀 내에서 협력을 조정하고 필요한 경우, 
    임원과 의사소통할 수 있는 능력 필요
 - 고객 불만에 대한 근본/임시대책 수립 및 대응 유경험

(4) 학습능력
 - 품질 트렌드, 도구, 방법론 등에 대한 지속적인 학습태도가 필요합니다. 
 - 세부적이고 체계적인 작업에 대한 성향이 필요합니다

(5) 측정실 측정기기 사용 능력
 - CMM 사용 가능
 - 인장시험기 사용가능
 - 조도측정기 사용가능
 - Hardness Tester 사용가능

■ 입사서류 : 최종적으로 이런 서류를 제출해야 해요

 - 범죄사실 증명서
 - 졸업 증명서
 - 직전 회사의 경력증명서
 - 건강상태 증명서
 - 기본증명서 & 가족관계증명서
 - 4대보험납부 증명서","■ 학교전공
 ㆍ기계공학
 ㆍ산업공학
 ㆍ금속공학
 ㆍ자동차공학
 ㆍ재료공학

■ 자격증 
 ㆍ품질관리사/품질경영사
 ㆍ6시그마 그린벨트/블랙벨트

■ 경력
 ㆍ학력 : 초대졸이상
 ㆍ경력 : 경력5년

■ 기타
 ㆍ자동차 제조업 분야 업무 유경험",서류전형 ＞ 온라인 사전조사 ＞ 1차 비대면 면접(직무능력 확인) ＞ 2차 대면면접(비전위원회 & 임원) ＞ 3차 전문성 필기시험 ＞ 이전회사 평판조회 ＞ 입사서류검토 ＞ 최종합격,"■ 회사가 제시하는 개인 혜택

(1) 매월 개인발전에 사용할 수 있는 유급 10시간을 제공합니다. 	
(2) 당사의 진급시스템은 능력에 따라 진급 속도가 달라지며, 추가적인 인센티브를 제공합니다. 	
(3) 회사에서 배운 기술은 퇴직 후 다시 사용할 수 있을 정도의 완성도 있는 교육 프로그램 제공합니다. 	
(4) 유연근로제를 적용하여 개인 여가시간을 확보할 수 있습니다. 	
(5) 매일 건강한 중식을 제공합니다. 	
(6) 업무에 집중할 수 있는 깨끗한 업무환경을 제공합니다. 
(7) 입사선물을 드립니다.
(8) 안전한 주차공간을 제공합니다.",경기 화성시 봉담읍 덕우리 146-3,['품질관리'],['생산관리/품질관리'],['품질관리']
(주)제노스,정규직,"['인허가', '기술문서', '인허가업무']","Vision 1 최고의 제품과 서비스
매년 매출의 약 20%를 R&D에 투자, 우수한 국내외 연구진 확보와 신제품 개발로
세계 최고의 제품을 준비하고 있습니다.

Vision 2 인류의 건강 증진
‘좋은 제품이 널리 쓰이게’하여 더 많은 수의 사람들이 제노스를 통해
건강을 유지할 수 있도록 세상에 기여합니다.

Vision 3 세계 최고의 의료기기 회사
많은 사람들의 ‘건강한 삶’을 도우며 세계 최고의 의료기기 제조사로 성장하겠습니다.","ㆍ심혈관 제품(스텐트,카테터 등) 국내/해외 인허가
ㆍCV 임상연구 및 보험등재, 기술문서 작성
ㆍHA필러, Dantal제품 등 해외 인허가 대응
ㆍ인허가 변경,갱신,재평가 등 허가증 관리","ㆍ경력 : 심혈관/덴탈 1년이상(해당직무경력必)
ㆍ학력 : 학사 졸 이상
ㆍ중국어or영어 활용가능자 (회화/작문)","ㆍ화학/바이오/산업공학 관련 전공자 우대
ㆍ국내/외 심사 등 대응 유경험자 (CE MDR, ISO, GMP, FDA, CFDA)
ㆍ시스템 구축 및 Setup 유경험자 (QMS, ERP, BOM, 밸리데이션)
ㆍPPT,엑셀 등 보고문서 활용우수자",서류전형-인성검사-실무면접-최종합격,"건강검진, 경조사지원
장기근속포상, 명절선물 및 상여, 월인센티브, 반기/연말성과급지급
신사옥, 주차장, 구내식당 및 카페테리아, 피트니스센터, 탁구장, 풋살장, 사내도서관, 근무복지급
경조휴가, 배우자출산휴가, 연차 외 유급 하계휴가
영업직 식대지원 및 차량유류대 법인카드 지급",경기도 수원시 영통구 창룡대로 256번길76(이의동)  덴티움 지식산업센터 12층(16229) ,"['품질관리', '품질보증']",['생산관리/품질관리'],"['품질관리', '품질보증']"
(주)리브스메드,정규직,"['QC', '품질관리', '데이터분석', 'ISO인증']","“국내 순수기술을 가지고 세계적인 의료기기 기업으로 도약하는 기업, 리브스메드”

리브스메드는 세계 최초로 다관절 수술 디바이스인 아티센셜을 개발한 의료기기 기업입니다.
미국, 독일, 일본에 법인을 설립하였으며, 유럽 및 아시아 각국에 진출하였습니다.

리브스메드는 누구나 첨단 의료혜택을 누릴 수 있도록, 혁신적인 기술을 통해 지속적으로 발전해 나가고 있습니다.
예비 유니콘 1위로 선정된 리브스메드는 pre IPO 투자유치를 하였으며(누적 투자액 약 600억),
코스닥 상장을 준비 중에 있습니다.

성장을 향해 도약하고 있는 리브스메드와 함께 성장을 이끌어갈 인재를 찾습니다.



*수상내역
- 2018년 보건복지부 장관상 수상
- 2019년 레드닷 어워드 수상
- 2020년 중소벤처기업부, 예비 유니콘 1위 선정
- 2020년 수출유망중소기업 지정 (경기지방중소벤처기업청장)
- 2020년 수출프론티어기업 인증(경기도지사)
- 2021년 식약처, 외과수술기구 제 15호 혁신의료기기 지정
- 2021년 보건산업진흥원장 유공 표창 수상
- 2022년 보건복지부장관 유공 표창 수상
- 2023년 고용노동부 강소기업 선정


*리브스메드 제품 ‘아티센셜’ 소개 영상
- https://www.youtube.com/watch?v=_OJGyMgkju8
- https://www.youtube.com/watch?v=b63Qtupsxzo","• 생산라인 품질관리(QC) 및 개선 업무
• 제품 검사 및 고객 피드백 대응
• 데이터 관리 및 분석
• 팀원(업무 분배) 관리 및 일정 관리 등","• ISO 표준에 대한 이해도 보유한 자
• 인증/인허가에 대한 이해도 보유한 자
• 관련 경력 10년 이상 보유자 (차장~팀장급)
• 학사 이상","• 영어 가능자(필수 아님)
• 인근 거주자(필수 아님)",,"• 뛰어난 동료들과 함께 글로벌 기업을 만들어 나갑니다.
• 보육수당, 경조사 지원, 주차 지원, 창립기념일 선물 등 다양한 복지제도","경기 성남시 분당구 판교로 700, D동 304호",['품질관리'],['생산관리/품질관리'],['품질관리']
(주)리브스메드,정규직,"['QC', '품질관리', '데이터분석', '데이터관리']","“국내 순수기술을 가지고 세계적인 의료기기 기업으로 도약하는 기업, 리브스메드”

리브스메드는 세계 최초로 다관절 수술 디바이스인 아티센셜을 개발한 의료기기 기업입니다.
미국, 독일, 일본에 법인을 설립하였으며, 유럽 및 아시아 각국에 진출하였습니다.

리브스메드는 누구나 첨단 의료혜택을 누릴 수 있도록, 혁신적인 기술을 통해 지속적으로 발전해 나가고 있습니다.
예비 유니콘 1위로 선정된 리브스메드는 pre IPO 투자유치를 하였으며(누적 투자액 약 600억),
코스닥 상장을 준비 중에 있습니다.

성장을 향해 도약하고 있는 리브스메드와 함께 성장을 이끌어갈 인재를 찾습니다.



*수상내역
- 2018년 보건복지부 장관상 수상
- 2019년 레드닷 어워드 수상
- 2020년 중소벤처기업부, 예비 유니콘 1위 선정
- 2020년 수출유망중소기업 지정 (경기지방중소벤처기업청장)
- 2020년 수출프론티어기업 인증(경기도지사)
- 2021년 식약처, 외과수술기구 제 15호 혁신의료기기 지정
- 2021년 보건산업진흥원장 유공 표창 수상
- 2022년 보건복지부장관 유공 표창 수상
- 2023년 고용노동부 강소기업 선정


*리브스메드 제품 ‘아티센셜’ 소개 영상
- https://www.youtube.com/watch?v=_OJGyMgkju8
- https://www.youtube.com/watch?v=b63Qtupsxzo","• 생산라인 품질관리(QC) 및 개선 업무
• 제품 검사 및 고객 피드백 대응
• 데이터 관리 및 분석","• ISO 표준에 대한 이해도 보유한 자
• 인증/인허가에 대한 이해도 보유한 자
• 관련 경력 2년 이상 보유자 (주임~과장급)
• 학사 이상","• 영어 가능자(필수 아님)
• 인근 거주자(필수 아님)",,"• 뛰어난 동료들과 함께 글로벌 기업을 만들어 나갑니다.
• 보육수당, 경조사 지원, 주차 지원, 창립기념일 선물 등 다양한 복지제도","경기 성남시 분당구 판교로 700, D동 304호",['품질관리'],['생산관리/품질관리'],['품질관리']
