회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무(복수선택),직무_lv1,직무_lv2
(주)서플러스글로벌,정규직,"['해외영업', '국내영업', '반도체장비', '거래선관리', '해외사업', '부품구매', '시장개척', '장비영업', '외국어(영어)', '커뮤니케이션 능력']","""우리는 직원을 채용하지 않습니다. 우리의 동료를 찾습니다.""

우리는 창조적이고 스스로 동기부여를 하는 열정적인 동료가 회사 발전의 초석이며 가장 소중한 자원임을 알고 있습니다.
우리는 모든 동료들이 서로를 존중하며 자아성취를 이룰 수 있도록 좋은 일터를 만들기 위해 최선을 다하고 있습니다.
또한 우리 동료들이 각자 인생의 꿈을 성취할 수 있도록 기회를 제공하고자 최선을 다하고 있습니다.
창사 이래로 20여년간 다양하고 많은 거래 경험과 정보, 우수한 인력과 차별화된 인프라를 기반으로 중고 반도체 장비 시장에서 글로벌 1등 시장을 선도하고 있습니다.
미국을 비롯해 유럽, 일본, 한국, 대만, 중국 등의 세계적인 기업들과의 거래하고 있으며, 고객에게 유휴장비 매입매각 , Refurbishment, Reconfiguration, 매입매각대행 등의 다양한 서비스로 최선의 솔루션을 제공하고자 노력하고 있습니다.
수평적이고 Open 커뮤니케이션을 통해 적확한 의사결정을 추구하며, 1조가치의 회사로 성장하기 위해 국내외 90여명의 전문가들이 최선의 노력을 다하고 있습니다","[이런 팀에서 일을 합니다. ]
• Parts팀은 신규사업으로 Legacy 반도체 장비의 Parts를 유통하고 있습니다.
• Parts팀은 Sales manager 와 DB manager 로 직무가 구분되며, 현재 5년~15년 경력을 가진 4명의 팀원이 업무를 진행하고 있습니다.
• 국내 팀과 중국, 미국, 일본, 싱가포르, 대만 법인 동료들과 협업하여 영업활동을 진행합니다.


[이런 업무를 합니다. ]
• 반도체 Legacy 장비 부품의 국내, 해외 영업활동을 수행합니다.
• 반도체 Legacy 장비 부품의 국내, 해외 공급선을 발굴하며 SCM을 수행합니다.
• 반도체 Legacy 장비 부품의 마켓플레이스를 구축합니다.
• Global Parts flatform의 구체적인 전략과 실행계획을 수립하고, 사업의 매출향상을 위한 기회를 찾습니다.","• 반도체 장비(전,후공정) 및 부품 또는 관련산업(자동차, 전자등) 15년 이상의 영업경력이거나
   Legacy 부품 구매 및 거래선 발굴 가능한 15년 이상의 구매경력이 필요합니다.
• 해외법인 동료, 해외고객과의 소통을 위해 영어로 소통이 가능해야 합니다.
• 의견을 자유롭게 개진하며 상대방을 존중하는 커뮤니케이션 능력이 필요합니다.
• 주도적으로 자신의 일을 찾아 문제를 해결하고 개선하는 능력이 필요합니다.
• 동료들과 업무 협업이 가능해야하며 변화에 유연하게 적응할 수 있어야 합니다.
• 긍정적인 사고를 가지고 목표를 달성하고자 하는 열정이 있어야 합니다.
• 최고수준의 투명성과 도덕성이 필요합니다.","• 반도체 산업, 장비 경험 및 이해가 있으면 더 좋습니다.
• 일본어 또는 중국어가 가능하면 더 좋습니다.
• 마켓플레이스 구축경험이 있으면 더 좋습니다.","• 서류전형 - 역량검사 -  1차 인터뷰(직무) -  2차 인터뷰(문화 적합성) - 석식 인터뷰 -  처우협의 - 최종합격 및 입사
• 지정 양식이 없으며, 자유양식으로 제출된 지원서를 검토합니다.
   (프로젝트(사용 기술, 본인 역할, 성과) 중심으로 경력기술서 구체적으로 작성해 주시기 바랍니다.)
• 서류 합격자에 한하여 온라인지원서 작성을 요청드리며, 이후 온라인 역량검사를 진행합니다.
• 소속팀장과 함께일할 동료가 참석하여 실무중심으로 직무 인터뷰를 진행합니다.
• 경영진과 서플러스글로벌 DNA 부합여부를 확인하기 위해 문화 적합성 인터뷰를 진행합니다.
• 회사와 후보자가 서로를 잘 알 수 있도록 자유로운 분위기에서 석식 인터뷰를 진행합니다.
• 회사내규에 따라 면접후 처우협의를 진행합니다.
• 최종합격후 후보자와 일정조율하여 입사를 진행합니다

[다음을 꼭 유의해 주세요. ]
• 입사지원서의 내용이 사실과 다른 경우 합격이 취소됩니다.
• 전형 단계 및 일정은 변동될 수 있습니다.
• 상황에 따라 검증 절차 추가되거나 생략 될 수 있습니다.
• 수시전형 특성상 조기마감될 수 있습니다
• 서류전형 합격자에 한해 개별로 상세 전형일정 안내드립니다.",,경기 용인시 처인구 남사읍 서촌로 56,"['국내영업', '영업기획/관리/지원', '해외영업']",['영업/제휴'],"['국내영업', '영업기획/관리/지원', '해외영업']"
(주)넥스트챕터,정규직,['해외영업'],,"More about this job

본 포지션은 Global 팀 소속으로, 넥스트챕터가 인수한 브랜드의 해외 진출 업무를 수행합니다.
넥스트챕터의 브랜드들이 해외에 성공적으로 진출할 수 있도록 시장 분석, 해외의 신규 바이어 및 채널을 개척하고 관리하는 역할입니다. 글로벌 마케팅팀과 협업하여 더 많은 글로벌 국가에서 넥스트챕터가 인수한 브랜드들을 경험할 수 있도록 합니다.
넥스트챕터 Global 팀은 Top-tier 컨설팅, 글로벌에서 큰 성과를 낸 K-Beauty 브랜드 회사 등 최고의 인재들이 넥스트챕터가 인수한 브랜드의 글로벌 진출을 위해 노력하고 있습니다. 넥스트챕터의 Global 팀에서 한국의 좋은 제품을 해외로 진출시킬 적극적인 Global Sales Manager 를 모십니다.


Responsibilities
- 해외 시장 분석 및 영업 기획
- 신규 바이어 발굴/세일즈/관리 총괄
- 국가별 사업 확장 위한 최적 유통 판매 전략 수립 및 채널 개척
- 국가별 핵심 해외 파트너 채널 관리
- 현지 거래처 미팅 및 수출 관련 유관기관 커뮤니케이션 수행
- 필요 시, 현지 마케팅 및 전시회 지원","Qualifications
- 3년 이상의 해외 B2B 영업 경험이 있으신 분 (Beauty 카테고리 우대, 생활용품 등 타 카테고리도 가능)
- 해외 거래처와 원활한 커뮤니케이션이 가능하신 분
- 글로벌 뷰티 제품 및 시장에 대한 이해도가 있으신 분
- 국가별 바이어 특성에 대한 이해도가 있으신 분
- 높은 수준의 Work Ethics


Nice to have
- 스타트업 해외 영업 경험 보유
- 소비재 대기업 해외 영업 경험 보유
- 비즈니스 레벨의 일본어 실력",,,,"서울특별시 성동구 연무장7길 11, 8층(성수동2가, 우란문화재단)",['해외영업'],['영업/제휴'],['해외영업']
(주)이롬넷,정규직,"['해외영업', '사업기획', '계약관리', '가맹점관리', '매출분석', '백오피스기획', '외국어(영어)']","이롬넷은 국내 및 해외 이용자에게 온라인 전자결제를 제공하는 회사로써 글로벌 전자지급결제 서비스를 진행하고 있습니다. 저희는 현재 전세계 대상으로 Global Fintech Service 사업을 주력으로 급성장하고 있으며, 한국 본사 외 싱가폴 지사, 홍콩 지사를 운영하고 있습니다.","• 해외 영어권 가맹점 응대 및 심사
• 가맹점/매입사 관리 및 업무처리
• 엑셀 데이터 활용 거래분석
• 신사업 서비스 기획참여 및 백오피스 기획참여
• 해외 파트너사 계약 후 업무추진","• MS-Office 활용 능력 우수자
• 영어 원어민 수준 가능자
• 업무에 대한 책임감이 있는자","• 금융업종 또는 결제관련 비즈니스에 대한 높은 이해도가 있는자
• 타 부서의 팀원들과 원할한 협업능력을 보유한자
• 성실근면하고 긍정적인 사고로 일하고자 하는자",,"• 연차, 경조휴가, 창립일 휴무, 생일휴가
• 자율복장
• 도서구입비, 교육비 지원
• 카페테리아 (음료, 간식 무제한)
• 명절선물, 경조사비
• 건강검진 지원","서울 강남구 테헤란로 414, 엘엔비타워 10층","['영업기획/관리/지원', '해외영업']",['영업/제휴'],"['영업기획/관리/지원', '해외영업']"
(주)어밸브,정규직,"['해외영업', '마케팅', '영업기획', '영업관리']",,"ㆍ해외 프로젝트 신규 사업 기획, 관리, 대응
ㆍ시장조사/리서치/협력업체 발굴
ㆍ전략기획팀 업무 지원(사업기획, 해외사업, 마케팅 등)","ㆍ기본적인 영어 회화 가능자
ㆍ해외 출장 가능자
","ㆍ베트남어, 태국어 사용 가능자
ㆍ스마트팜에 관심 많으신 분
ㆍ프레젠테이션 능력 우수자
",,"선택적 근로시간제, 점심식비 제공, 자유로운 연차사용, 반기 별 성과급 지급","경기도 성남시 수정구 시흥동 대왕판교로 815, 판교 제2테크노밸리 8층 847호",['해외영업'],['영업/제휴'],['해외영업']
(주)제노스,정규직,"['해외영업', '거래처관리', '수출', '매출분석', 'TOEIC', '실적관리', '신규시장개척', '의료기기영업', '해외전시회참가']",,"ㆍ심혈관/덴탈/바이오/미용 등 제품별 의료기기 해외영업
ㆍ신규시장 개척 및 각 제품별 판매 방향성, 영업 전략수립
ㆍ해외전시회 기획 및 지원
ㆍ매출 분석, 수출관리, 실적관리, 거래처 관리","ㆍ경력 : 2년 이상 (의료기기 경력자)
ㆍTOEIC 800 이상 (비즈니스 회화 가능자)
ㆍ해외근무에 결격 사유가 없는자","ㆍ의료기기/바이오 등 동종업계 근무경험 우대
ㆍ커뮤니케이션, 문서작성, 어학우수자 우대
ㆍ해외영업(중동,유럽,미주,아시아 등) 업무경험자 우대",서류전형-인성검사-실무면접-최종합격,"ㆍ건강검진, 경조사 지원
ㆍ장기근속포상, 명절선물 및 상여,  월인센티브, 반기/연말성과급 지급
ㆍ新사옥, 주차장, 구내식당 및  카페테리아, 피트니스센터, 탁구장,   풋살장, 사내도서관, 근무복 지급
ㆍ경조휴가, 배우자출산휴가, 연차 외 유급 하계휴가
ㆍ영업직 식대지원 및 차량 유류대 법인카드 지급",경기도 수원시 영통구 창룡대로 256번길76(이의동)  덴티움 지식산업센터 12층(16229) ,"['영업기획/관리/지원', '의약영업', '해외영업']",['영업/제휴'],"['영업기획/관리/지원', '의약영업', '해외영업']"
(주)라이프위드코퍼레이션,정규직,"['해외영업', '영업', '채널영업', '중국어', '키워드광고', 'B2B영업', '대행사관리', '대만']","Derma No.1 라이프위드코퍼레이션 
화장품이 가져야 할 본질을 들여다보고
'좋은' 화장품이라는 본연의 가치를 담아 만들어 가고 있습니다.

채용 홈페이지 안내
- https://lwc.kr","1.	해외 온라인 MD 쇼피(대만), 홍콩 담당 
2.	Shopee (대만), 홍콩 온라인 마켓 상품 입점 및 운영 관리
3.	소형~대형 프로모션, 캠페인 참여 및 프로모션 기획
4.	MD 기본 업무 (상품등록, 매출분석, 정산 등)
5.	그 외 해외온라인 MD 업무 등
","1.	대만어가 유창하신 분 (대만인 우대)
2.	코스메틱(스킨케어) 업계 경력이 있거나 애정 하시는 분
3.	MS OFFICE가 능숙 하신 분
4.	고객 관점에서 생각하여 가설을 세우고 검증을 하여 성과를 내본 경험이 있으신 분","ㆍ메타 광고 운영 경험자
ㆍ피캄 중화권파트(신규팀)에서 같이 성장 하실 분
ㆍ중화권 현지 트랜드에 높은 관심을 보유하신 분",서류전형-면접전형-최종합격,"ㆍ배경음악(BGM)
ㆍ간식바 운영
ㆍ점심 회식
ㆍ자사 제품 50% 할인	
ㆍ명절 귀향비 지급
ㆍ생일 축하금 지급
ㆍ웰컴키트 제공 ( 40만원 상당 )
ㆍ자유로운 복장
ㆍ공기 청정기
ㆍ청결한 비데
ㆍ자유로운 연차 / 반차 / 반반차
ㆍ생일자 연차 제도
ㆍ명절 전날 단축 근무","서울 구로구 디지털로30길 28, 5층 513호",['해외영업'],['영업/제휴'],['해외영업']
(주)라이프위드코퍼레이션,정규직,"['영업', '일본어', '채널영업', 'b2c', '키워드광고', 'b2c영업', '대행사관리']","Derma No.1 라이프위드코퍼레이션 
화장품이 가져야 할 본질을 들여다보고
'좋은' 화장품이라는 본연의 가치를 담아 만들어 가고 있습니다.","	
1.	일본 시장 대상 마케팅 플랜 집행 및 효율 분석, 보고

2.	인플루언서 섭외 및 협업, 씨딩 진행

3.	피캄 공식 SNS 관리 및 캠페인 진행

4.	일본 공식몰 업무 보조

5.	기타 일본사업 관련 업무 보조
","
1.	일본어가 유창하신 분 (일본인 우대) 

2.	코스메틱(스킨케어) 업계 경력이 있거나 애정 하시는 분 

3.	MS OFFICE가 능숙 하신 분

4.	고객 관점에서 생각하여 가설을 세우고 검증을 하여 성과를 내본 경험이 있으신 분","메타 광고, 트위터(X) 광고 운영 경험자

피캄 일본파트(신규팀)에서 같이 성장 하실 분 

일본 현지 트랜드에 높은 관심을 보유하신 분 

일본 EC환경에 이해도가 있으신 분",서류전형-면접전형-최종합격,"ㆍ배경음악(BGM)
ㆍ간식바 운영
ㆍ점심 회식
ㆍ자사 제품 50% 할인	
ㆍ명절 귀향비 지급
ㆍ생일 축하금 지급
ㆍ웰컴키트 제공 ( 40만원 상당 )
ㆍ자유로운 복장
ㆍ공기 청정기
ㆍ청결한 비데
ㆍ자유로운 연차 / 반차 / 반반차
ㆍ생일자 연차 제도
ㆍ명절 전날 단축 근무","서울 구로구 디지털로30길 28, 5층 513호",['해외영업'],['영업/제휴'],['해외영업']
(주)에이아이매틱스,정규직,"['해외영업', '영어', '사업계획', '물류관리', '해외사업', '토익']","(주)에이아이매틱스에서 유능한 인재를 모집합니다!
열정있는 인재들의 많은 관심과 지원 바랍니다.","ㆍ해외 파트너사 발굴
ㆍ해외 마케팅 전략 수립 및 실행
ㆍ영업문서 제작 및 프레젠테이션
ㆍ해외 파트너사 관리
ㆍ해외 시장 조사
ㆍ해외 사업 관련 내부 커뮤니케이션 및 협업
ㆍ수출입 물류 관리","ㆍ대졸 / 신입 ~ 경력 5년 미만
ㆍ토익 900 이상 혹은 그에 준하는 어학 능력 보유자
ㆍ비즈니스 영어 회화 능통자
ㆍ해외 출장시 결격 사유가 없는자
ㆍ밝고 회향적, 적극적인 성격 보유자
ㆍ2024. 4월경부터 분당선 라인 출근 가능자

[필요언어]
ㆍ영어(필수) / 스페인어,일본어(우대)","ㆍ해외 거래처와 직접 소통 및 컨텍 경험자
ㆍ신규 해외채널 발굴자
ㆍ해외 대학 졸업자 우대
ㆍ무역, 글로벌 비지니스 관력학과 졸업 우대",서류전형 > 면접전형 > 최종합격,"ㆍ지원금/보험 : 건강검진
ㆍ급여제도 : 스톡옵션, 퇴직금, 연차수당, 4대 보험
ㆍ선물 : 창립일선물지급
ㆍ교육/생활 : 창립일행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 사이버연수원운영, 교육비 지원,
                 자기계발비 지원, 구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 음료제공(차, 커피)
ㆍ근무 환경 : 휴게실, 회의실, 사내 정원, 사원증, 사무용품 지급
ㆍ조직문화 : 노조/노사협의회, 자유복장
ㆍ리프레시 : 연차, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가","서울 영등포구 양산로 57-5, 1201호",['해외영업'],['영업/제휴'],['해외영업']
에스디바이오센서(주),정규직,"['해외영업', '제약영업', '시장조사', '매출채권관리', '신규 거래처 발굴', '의료기기영업']",,"아프리카 불어권 해외영업 담당
담당 국가 시장 조사 및 매출/채권 관리
신규 대리점 발굴 및 공급 계약 진행","학사이상
경력7년이하

불어가능자
해외 출장 및 해외 비자 발급에 결격사유가 없는 자","해외영업 실무 경험자
동종 업계 경력자
주재원 경력자
영어 능통자",서류접수 및 전형-테스트(영어/논술)및 실무면접-최종면접-채용검진-입사,"[복지]
- 복지포인트 연 120만원 지급
- 임직원 주택자금 대출
- 1+1정기후원
- 하계 휴가 지원
- 생일 축하 쿠폰
- 경조사 지원
- 회사 콘도 지원
- 세미낳우스 운영
- 웰컴키트 지원
- 임직원 종합검진 지원
- 자녀 입학축하금 지급
- 임직원 삼시세끼 지원

[교육]
- 어학 교육 지원
- 직무 교육 지원
- 임직원 도서 구매 지원","경기도 수원시 영통구 덕영대로1556번길 16 디지털엠파이어빌딩 C동 4,5층			","['의약영업', '해외영업']",['영업/제휴'],"['의약영업', '해외영업']"
(주)딥엑스,정규직,"['반도체', '매출관리', '중국어', '판매분석', '파트너사관리', '판매전략수립', '모듈']","딥엑스는 인공지능 기술로 인류문명 발전에 기여하고자 세계 최고 수준의 AI 반도체 원천기술을 연구개발 하는 스타트업 기업입니다. 딥엑스의 NPU가 적용될 AI 반도체 시장은 2025년까지 85조 이상의 급격한 성장이 예상되는 거대한 시장으로 우리는 빠르게 변하는 시장에서 기술 리더십을 보유하기 위해 원천기술 확보에 매진하고 있습니다. 우리는 이 도전을 함께 할 열정적인 동료를 찾고 있습니다.

AI 기술이 시대의 패러다임으로 자리잡는 길목에서 동료들과 효과적으로 협업하고 의미 있는 성과를 내기 위해 자신의 재능을 적극적으로 활용하실 분들을 딥엑스로 초대합니다.","딥엑스의 중국영업 담당자는 입사 이후 딥엑스의 중요한 비즈니스 시장인 중국 비즈니스의 전반을 담당하게 되는 중대한 업무를 담당할 예정입니다. 

• ﻿중국시장 매출 및 중장기 판매 전략 수립
• ﻿중국시장 수요 및 판매 데이터 분석
• ﻿파트너사 및 총판 교육/관리","• ﻿10년 이상의 경력
• ﻿중국어를 활용한 커뮤니케이션이 가능한 분
• ﻿﻿국내외 반도체 또는 모듈 Sales 경력을 보유한 분
• ﻿﻿중국 및 해외출장에 결격사유가 없는 분 (Regular한 출장 예정)","• ﻿반도체 및 HW OEM 산업의 생태계에 대한 이해가 높은 분
• ﻿모듈 제조 및 팹리스 회사에서 근무한 경험이 있는 분",,"• 4대보험 (국민연금, 건강보험, 산재보험, 고용보험) 가입
• 업무Tool Kit (최신 사양 노트북, 24~32인치 듀얼모니터, 스탠딩 데스크 등) 제공
• 커피, 티, 두유, 비타음료 등 다양한 바리에이션의 음료와 간식 무한 제공
• 점심, 저녁 든든한 식사 지원
• 생일자 생일축하금(20만원) 지급 및 16시 조기 퇴근
• 기혼자 결혼기념일축하금(20만원) 지급 및 16시 조기 퇴근
• 미혼자 크리스마스축하금(20만원) 지급 
• 설/추석 명절선물비(30만원) 지급
• 경조휴가 및 경조금 지급
• 동반성장을 위한 전 구성원 스톡옵션 부여
• 구성원의 건강증진을 위한 종합 건강검진 지원(연1회)

 복지는 딥엑스의 성장과 함께 지속적으로 업그레이드 됩니다.","경기도 성남시 분당구 판교역로 241번길 20, 미래에셋벤쳐타워 5F","['기술영업', '영업기획/관리/지원', '해외영업']",['영업/제휴'],"['기술영업', '영업기획/관리/지원', '해외영업']"
