직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
금융/재무,현직원,서울,,5.0,"""수평적문화 , 워라밸 ,복지포인트 많이줌, 직원의견 긍정적으로 수렴.""","
자동차보험 시장점유율이 빠르게 확보되는 중으로 성장성이 기대됨. 대물직원은 자회사 평균복지,평균연봉 등 생각하면 여기서 부족한 점 못느낄 것. 대인직원은 상위 원수사 생각하면 부족하다고 느낄 수 있음. 그러나 성장성 생각하면 몇년뒤에는 상위원수사 부럽지 않을것이라고 생각합니다. 만족해요
","
일이 많고, 체계가 좀 부족하다는 점.차차 나아질거라고 봅니다.
","
앞으로 더 적극적으로 마케팅하고 내실을 다져 탄탄한 보험회사로 성장하길 기원합니다.
"
디자인,현직원,서울,,4.0,"""스타트업의 성격이 있어, 개인의 역할이 중요하다! 운영부터 구축까지 다양한 범위의 업무를 경험할 수 있다. 수평적 조직문화로 의견을 다양하게 낼 수 있다""","
연차를 개인의 스케줄에 맞게 사용할 수 있다. 부서마다 다르겠지만, 다양성을 존중하고 조직내 팀원들이 모두 훌륭하다! 다양한 직군들과 함께 얘기할 기회가 있어서 좋다.
","
기본으로 제공되는 물품이 너무 적다.. 커피머신은 있지만 캡슐은 개인 구비해야하고, 종이컵, 휴지 등 기본적인 다이어리나 볼펜 등 필수물품을 제공해주었으면 좋겠다.
","
아직은 체계가 덜 잡혀 있는 느낌이 있습니다. 앞으로 더 체계가 잡혔으면 좋겠습니다.
"
금융/재무,현직원,서울,,5.0,"""워라밸 균형, 시차 출근제, 수평적인 분위기, 영어이름, 젊은 사람들이 많음""","
직급 또는 직책으로 부르지 않고 스스로 지은 영어이름으로 부르며 사무실 분위기는 수평적 입니다. 시차 출근제를 하며 출퇴근에 대한 압박이 적은 편입니다. 5시에도 퇴근 하는 사람이 많습니다. 보험업에 기반하지만 전통보험사와 다른 자유로운 분위기가 좋습니다.
","
부서간 알앤알이 명확하지않고, 명확하지 않은 만큼 일을 미루는 경향이 있기도 합니다. 사내에서 부서장에 대한 불만이 큰 편입니다.
","
작은 회사인만큼 직원들의 말에 귀기울여주기 바랍니다.
"
기획/경영,전직원,서울,,5.0,"""하고자하는 의욕이 있다면 충분히 성장하고 발전할 수 있는 곳""","
연차를 마음대로 씀. 기업이 커나가는 과정을 직접 눈으로 지켜볼 수 있음. 기획부터 실행까지 모두 지켜볼 수 있어 보람과 책임을 모두 느낄 수 있음.
","
주니어가 많아서 일을 차근차근 배운다기 보다 부딪치면서 배운다
","
경영진의 생각이 직원들에게 잘 전달될 수 있었으면 좋겠다
"
금융/재무,전직원,서울,2023. 08,3.0,"""팀바팀이지만 서로 단합이 안되고 깎아내리기가 난무한 기업. 중재자도 없고 서로 일을 미루는게 일상인 회사""","
워라빌이 철저히 지켜짐. 팀 사람들은 좋음. 전체적으로 활기찬 느낌
","
불필요한 회의와 에너지 낭비가 많음. 그 에너지를 일하는대 쏟으면 좋갰음
","
제발 직원들의 목소리에 귀를 기울여주었으면. 쓸데없는 보고와 회의 좀 줄이세요.
"
기획/경영,현직원,서울,2023. 07,3.0,"""기존 보험사와 다르다고 주장하나…잘 모르겠음 대체 뭘 만들고 싶은걸까""","
다양한 업종 배이스 직원과 교류 보험사 중 워라벨은 좋은 편인듯
","
다양한 업종이 모였으나 사일로가 굉장히 높음 협업은 사실상 어렵고 친분 또는 위에서 강하게 쪼는 것 위주로 진행이 되는 업무환경임
","
심각합니다…이대로 가면 폭망 확정임 인력 이탈 이유를 생각좀 해보세요
"
개발,현직원,서울,2023. 06,4.0,"""본인이 먹거리를 찾아먹으면 충분히 성장할 수 있는 회사 워라벨 좋고, 사람들 좋은곳""","
부바부지만 워라벨이 좋습니다. 일정조율이나 이런 부분도 먼저 물어보고 조율을 합니다. 물론 급한 일정들은 늘 있지만 그래도 최대한 워라벨을 보장해 주려고하는 느김입니다.
","
스타트업 마인드와 대기업마인드가 적당히 안좋게 섞여있습니다. 일단 프로젝트를 진행할때 속도가 더딥니다. 그렇다고 대기업처럼 문서화가 잘되어있지도 않습니다.
","
열정적인 회사사람들이 많습니다. 이런 사람들에게 동기부여를 할 수 있도록 도와주세요.
"
금융/재무,현직원,서울,2023. 04,4.0,"""극상의 워라밸 경험 가능.. 하지만 그렇게 워라밸 좋은게 정말 좋은걸까? 숫자는 거짓말하지 않는다""","
워라밸 좋음일안하는or하기싫은 사람에게는 천국유한 분위기 아무튼 30글자
","
팀장 이상급부터 급격한 질저하그에따른 하루가 멀다하고 바뀌는 형편없는 지시들그에 따라 퍼져있는 매너리즘
","
생각하고 일하자주주사 눈치만 보지말고.. 대체 뭘 하고싶은건지 모르겠어
"
개발,현직원,서울,2023. 04,5.0,"""기존 금융출신이면 편하고 자유롭고플랫폼 출신이면 금융이 답답해 보일수 있지만타금융권 대비 자유도는 높은 조직""","
성장성이 높은 기업이며대기업의 장점 과 스타트업 장점이 있는곳지하철이 연결됨+초고층뷰대표님 마인드가 직원들을 많이 생각한다고 느껴짐
","
대기업의 단점 과 스타트업 단점이 있는곳성장하는 조직이다 보니 넓게 많은걸 해야함팀은 케바케 , 자유로운 분위기 , 가족같은 분위기가 있는 반면 군대 문화 팀도 분명 있음
","
최고의 복지는 돈 이라고 생각하는 직장인들이 많을꺼라 생각함
"
금융/재무,현직원,서울,2023. 03,3.0,"""회사가 어떤 방향으로 나아갈지 모르겠는게 장점이자 단점""","
각종 복리후생 및 직원들 처우에 대한 개선점을 찾아가고있음전통적인 손보사에서 경험해보지못한 업무들 터치가능
","
회의 및 뒷받침할 제반 서류 업무 과도인력 충원이 사세확장 속도에 못미침그레이존이 다수 존재
","
사업의 방향성이 왔다갔다하지 않았으면 함
"
