직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
개발,전직원,서울,2023. 11,3.0,"""교통의 접근성 좋고, 출퇴근이 시간이 여유가 많다.""","
.출퇴근 시간의 여유로움.다양한 음료수와 간식이 제공함
","
.직원과 임직원의 소통 채널이 부족하고 , 필요한 정보를 음성적으로 수집하여 판단함.구성원들의 업무 규정이 부재로  , 어떤 역할과 책임이 있는지 사전에 공유가 안되어서 업무 혼선이  많음
","
.개인의 이익보다는 구성원과 회사의 발전을 위해서 고민하고, 노력하는 모습이 절실히 필요해 보입니다..이러한 노력에도 불구하고 본인이 부족하다고 생각되면 과감하게 다른 분에게 기회를 드려야 한다는 배짱과 용기들이 필요합니다.
"
개발,전직원,서울,2023. 11,3.0,"""사람들이 자꾸 나가는 이유, 그리고 복지가 나쁘진 않으나 일부 부서는 일하기 힘들고 지친 분위기""","
신논현 역 바로 위라 지하철 이용 편리간식 및 음료 다양한 구비!!월요일(또는 연후 후 첫 출근일)은 오후부터 근무!!팀, 부서마다 다르지만 야근강요는 없음일부 복지는 없어지긴 하였으나, 피플팀을 별도 운영하는 등 나름 지원을 신경 쓰는 편
","
책임 안 지고 회피만 하는 일부 무능력한 헤드급 인사들->결정권자도 뭐가 중요하고 핵심인지 매일 생각이 다름.실무자의 의견과 다르더라도 명확한 방향이 보이면 따라 가겠으나,매번 다른이유와 다른 방향의 말바꾸기 등으로 다들 매우 지치고 스트레스 받음이런 것 때문에 다들 일할 때 방어적이고 소극적이됨특정부서의 무능력한 개발팀... 심각한 수준능력 있고 일하는 사람들은 다 나가게 만드는 정치, 오죽하면 사람들이 회전초밥이라고..
","
성과평가가 상급자의 일방적인 평가가 아닌 상호평가로 알고 있습니다.하지만 실무진의 목소리가 반영이 잘 안되는 것 같아요.투명하고 확실하게 진행될 수 있다면 조금 더 회사를 잘 들여다보는 기회가 될 것 같습니다
"
기획/경영,전직원,서울,2023. 10,5.0,"""직원 복리후생, 업무환경 신경써주는 곳.실적 회복하고 더욱 성장할 수 있었으면,,,""","
내부 시스템은 상장 이후 점차 갖춰나가고 있음역이랑 가까워서 통근하기가 좋고업무환경이 굉장히 깨끗하고 스낵바 등 복리후생 좋음월요일 1시 출근월요일 아니더라도 연휴 등 후에도 첫 영업일 1시 출근경영진분들은 물론 동료들도 친절함분기단위로 30만원 상당 한우 등 챙겨줌수평적인 분위기, 대체로 젊은 층이지만 너무 젊지 않은
","
경기가 안좋아서 그런지 실적 영향을 받고 있어서 안따까움.안정되어 있다기 보다는 터닝포인트에 있는 회사라... 구성원들이 정말 으쌰으쌰 해야 함. 하락으로 가면 오래 다니면서 연봉상승이나든가 암울해질테니..특별한 단점은 없음
","
여러모로 고군분투하시는 걸 알고 있어서 특별히 바라는 점은 없고, 새로 투자한 회사도 턴어라운드 성공적으로 하고 회사 전반적으로 성장할 수 있는 발판이 되었으면 하는 바람.
"
기획/경영,전직원,서울,2023. 08,3.0,"""윗선의 지시에 따라 기획의도가 휙휙 바뀝니다.""","
연차를 눈치안보고 쓸수있음 명절때 소고기줍니다휴게공간이 잘되어 있습니다수면실이 있습니다.
","
승진은 꿈도 꿀수없습니다연봉상승이 적습니다 아니 연봉상승이 거이 없습니다있던복지도 사라지고 자꾸이것저것 줄어갑니다
","
신사업 추진도 좋지만 어떻게 돈을 끌어올지 생각해주세요.직원들이 많이 줄었어요
"
미디어/홍보,전직원,서울,2023. 08,2.0,"""앞으로의 발전 가능성은 있는 회사처럼 보였습니다. 개인의 역량 성장을 위해 회사를 다닌다면 다닐만 할 것 같습니다.""","
자율 출근 제도, 복지카드 지급, 교통이 편리한 곳에 회사 위치
","
아닌 척하며 꼰대 마인드가 심한 편입니다. 야근 강요가 심한 편입니다. 야근 해라하며 지시하는 편은 아니고 눈치를 주며 야근을 시킵니다.
","
크게 바라는 점은 없습니다. 퇴사한 마당에 굳이 바라는 점이 없기 때문입니다.
"
디자인,전직원,서울,2023. 08,3.0,"""상장도 하고 튼튼해보이지만 속을 들여다보면 쉽지 않은 구석이 많다.""","
상장했다. 업계 상위권의 이미지, 좋은 휴게실과 일 잘하는 피플팀
","
상급자의 업무에 대한 이해도 부족으로 인한 업무에 대한 어려움이 큼
","
최근에 여럿 권고사직 당했다고 하는데, 있는 직원들 잘 챙겨주세요
"
기획/경영,현직원,서울,2023. 08,5.0,"""개발자, AI연구진, 콘텐츠 기획 및 제작 등 다양한 분야의 인력들이 모여 다양한 결과물을 만들어내는 곳. 새로운 시도들을 많이하는 편이라 배울 수 있는 것들이 많음. 어려운 과제나 프로젝트에도 최상의 결과물을 만들어내기 위해 서로 화이팅하는 분위기""","
연차 눈치 안보고 쓸 수 있음. 사내 편의점이 여느 스타트업과 견주어도 우수한 편임. 매주 월요일 오후 출근. 사람에 대한 스트레스 없는 편. 일에 대한 고민만 하면 됨
","
각 팀간, 사업부 간 소통이 다소 제한적임. 제작팀과 기술기반 서비스, 등 각 팀 간 문화 차이가 있는 것 같음
","
내부 소통이 보다 원활해졌으면 좋겠습니다.
"
영업/제휴,현직원,서울,2023. 04,4.0,"""회사의 분위기가 전체적으로 자유롭고 판교 벤처기업과 비슷함""","
출퇴근이 좋고 휴게실들 직원들 복지가 좋으며 근무 분위기나 환경이 자유롭다
","
젋은직원이 많다보니 자기 개성과 의견이 강하고업무절차가 복잡함
","
업무절차의 간소화가 필요해 보입니다일이 늘어나면 서류준비로 인해 시간이 많이 뺴앗김
"
디자인,전직원,서울,2023. 03,1.0,"""복지는 좋은편이나 비전이 없고 대표 말한마디에 모든게 수십번씩 뒤바뀌는 회사""","
월요일 한시 출근, 스낵바, 위치, 가끔 나오는 명절 선물
","
사내 정치가 심하며 소기업시절 고인물들로 고인문화가 자리 잡음. 회사의 비전이 명확히 없고 시시각각 대표의 기분에 따라 조직과 업무체계가 변함. 때문에 일주일에도 몇명씩 퇴사자들이 발생하고 조직변화는 한두달에 한번씩 발생한다. 애매한 사업들을 여러개 하고 있어 회사의 비전을 아무도 알지못한다.실무진들은 의견을 낼 수 없고 사실상 대표가 하라는대로 해야하는 도구일뿐이다또 월급 루팡러들이 꽤나 있는데 이를 회사에서 걸러내지 못한다. 루팡러들은 윗선들 앞에선 최선의 노력을 다하는 척 의미 없는 야근들을 하고 정작 일잘하는 사람들이 이를 못견디고 계속 빠져나가는 구조
","
회사 규모에 비해 체계가 없음 . 구성원의 의견에 귀기울이고 경영진은 실무 말고 경영을 하세요.
"
디자인,전직원,서울,2023. 02,3.0,"""시설이나 환경은 흠잡을 곳이 없지만, 사람 스트레스를 좀 받을 수 밖에 없는 곳""","
자기 계발 비용, 야근 식대, 스낵바, 커피포트 등 복지는 좋습니다
","
단순 보고를 위한 문서 작업이 많고 윗사람 눈치를 많이 봐야하는 곳
","
제가 일하는 곳도 아니기에 사실상 지금에서는 전혀 바라는 게 없습니다.
"
