직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
서비스/고객지원,현직원,서울,2023. 08,5.0,"""빠르게 성장하고, 자유로운 분위기의 스타트업 회사입니다.""","
자유로운 연차사용 (한시간 단위)사무실에 귀여운 강아지들이 찾아옵니다조식이나 간식, 회식비 지원 등 복지가 정말 다양하고, 직원 만족도를 위해 노력한다는 느낌을 많이 받았습니다.젊은 분위기다보니 회사생활에 있어서 자유로운 점이 많았고, 닉네임제 사용으로 반말이나 폭언 없이 존중받는 점이 좋았습니다.지속적으로 성장하는 기업이다보니 새로운 입사자들이 많은데, 그 분들을 하나 하나 챙겨주는 모습이 인상적이었습니다. 저 역시 자연스레 녹아들 수 있어서 좋았습니다.
","
스타트업이라 빠른 업무 진행 환경이 조금 부담스러운 부분은 있습니다. 성과지향적인 분위기가 조성되어있어 적응에 힘든 부분이 있을 수 있습니다.
","
직원들의 문의사항이나 요청사항에 귀 기울여 주셔서 감사합니다.아주 만족하며 직장생활 하고 있습니다.
"
마케팅/시장조사,전직원,서울,2023. 08,4.0,"""적당히 선만 유지하면 워라밸 누리면서 다니기 좋은 기업""","
회사 분위기가 좋고 간식도 많이 구비되어있다. 팀바팀인지 모르겠으나 같이 일하는 사람들도 좋았다. 단 가끔 선넘은 농담이 큰 소리로 들리거나, 무리한 촬영부탁을 대뜸 요구할때가있음
","
집 인테리어에 싫증이 나거나 스트레스받을 때마다 가구배치를 바꾸거나 새로 사고 괜히 기존 가구를 버리는 사람들이 있던데 딱 그런 사람들이 생각났다조직 구조와 체계를 뚜렷한 명분 없이 수시로 바꾼다. 바뀐 구조를 통한 성과가 구성원들이 적응하기도 전에 그 즉시 나오길 원하며 나오지 않는다고판단되면 바로 다음 구조를 어떻게 바꿀까를 궁리하는거같다항상 문제를 만들어내는 사람들이 있었다 일하는데 아무런 장애가 되지 않는 문제라고 보기 어려운 부분을 굳이 크게 키우고 그 문제를 본인 혹은 본인들이 해결하고는 매번 그걸 과시하는 사람들이 있었다이것 또한 기업 성장에 도움이 된다는 이유로 한 행동이라면 어쩔 수 없지만 그 행동 때문에 떠난 사람들도 있다는걸 알아주셨으면
","
그럼에도 그 모든 것이 보다 더 잘되고자 하신 행동이셨겠죠.그 바람대로 앞으로도 건승하시기를 바랍니다.단지 이 회사에서 마무리를 아름답게하고 나오는 사람이 많지 않은 이유는 떠난 사람들이 아니라 이 회사에 있다는 생각이 듭니다.
"
마케팅/시장조사,현직원,서울,2023. 06,4.0,"""세 종류의 사람이 있다. 성과를 만들어내는 사람, 성과를 돕는 사람, 징징거리는 사람.""","
강아지 옴야근 거의 없음성과 주의자유로운 근무 환경대체로 착함
","
빠르게 변함. 스타트업이라 각오는 했지만 가끔 버거움성과주의라 성과 압박이 꽤 있음.근데 성과주의라고 해놓고, 성과 안나도 몇명은 좀 봐주니 짜증남.못하니까 포지션까지 변경시키면서 챙기는 사람도 있는데, 이해가 안감.자율적인 문화라고 하는데, 막 사는 노답 종종 존재어려서인지 뭔지, 기본적인 예의를 모르는 애들도 있음.
","
성과주의를 유지할거라면, 경영진도 좋은 '채용 성과'를 가져왔으면..일에 관심도 없고 입사하자마 회사 욕하는 애들도 면접에서 못거르면, 채용 '저성과' 아닌가요? 성과를 낼 수 있게 사람을 뽑아주세요. 경력직도 경력직다워야 경력직이지;;그리고 몇명이 악용한다고, 안좋은 소리 좀 들었다고 뭐 바꾸지 말고, 한번 정했으면 줏대 있게 밀어 붙이셨으면 합니다.
"
미디어/홍보,전직원,서울,2023. 06,5.0,"""커머스 마케팅을 경험하기 좋은 회사 입니다. 다양한 경험, 기회들이 열려있다는 점이 가장 장점인 것 같습니다""","
자유로운 분위기 조직이 젊다보니 주도성을 갖고 일하기 좋습니다 일이 정신없이 바쁘긴 하나 그 덕인지 이상한 사람, 말안통하는 사람, 흔히 말하는 꼰대같은 사람, 텃세 이런게 없어서 오히려 좋아요그밖에 조식제공 넉넉한 회식비 컬쳐데이 패밀리데이 명절선물 등 있고 반려견 동반 출근이 가능해서 힐링하기 좋습니다.
","
1. 성과 압박이 있다2. 업무 강도가 하드한편3. 물흐리면서 회사 분위기 안좋게 하는 사람들이 있다 정도
","
일에 열정을 갖고 최선을 다하는 분이 회사에 많습니다. 이런 분들께 더 많은 보상과 기회를 주셨으면 좋겠습니다
"
마케팅/시장조사,전직원,서울,2023. 06,5.0,"""미디어커머스에서 마케팅 경력 쌓고 싶을 때 최고의 회사내가 개인 사정만 없었더라도 절대 퇴사 하지 않았을거다 ㅜ""","
아직 한참 성장 중인 회사라 입사한지 얼마 안된 직원한테도 제법 자율성이 있음먼저 이것저것 아이디어를 내보면 해보라고 기회를 꽤 얻을 수 있는 편반려동물 동반 출근이 가능해서 강아지들이 자주 와서 행복함 💖우리 팀 리더는 성장을 위해 노력을 해주셨음 덕분에 많이 배워서 성과도 꽤 내보고 재밌는 경험을 많이 함
","
태도가 젊은? 어린? 직원들이 많음경력이나 그들의 전문성과는 별개로사무적인 태도나 사회성이 부족한 사람들이 있음
","
대표님은 전체 회의할 때마다 회사나 직원을 위한 고민을 하시는 구나 하는 모습이 보이셨음.. 바쁘셔서 하루에 인사 밖에 안할 때도 많지만 회의할 때 뵈면 그래도 그동안 내가 봤던 대표 중에선 최고의 대표
"
마케팅/시장조사,전직원,서울,2023. 06,1.0,"""내 인생 다시는 만나지 않을 최 최 최 최악의 회사입니다!""","
기업의 장점은 나이대가 전부 어리고, 담배를 많이 펴서 흡연자 분들은 좋을 것 같습니다.
","
배울 점이 없음. 야근은 기본이지만, 오래 일하면 능력 없음으로 치부됩니다.
","
금전만이 아닌 사람 대 사람으로서의 대우,편 가르기가 아닌 소통할 수 있는 문화
"
마케팅/시장조사,전직원,서울,2023. 06,1.0,"""부모의 원수가 간다고 하면 그래 그래 한번 가봐 할 회사""","
강아지들이 돌아가면서 옴 점심 식대는 안주는데 주에 2번 조식 줌
","
체계도 없고 하루 걸러 바뀌는 운영방식에 리더들은 갈피를 못잡고 우왕좌왕 대표가 인정하는 몇명(2)에 의해서 굴러가는 회사그냥 신입만 뽑아서 취향 껏 교육시켜서 쓰는게 빠를듯아닌걸 아니라 하면 바로 뒷이야기 술술 들림그리고 대표가 인정하는 그녀들은 마주치면 인사는 커녕 너는 누군데 우리 회사에 있니 하는 표정으로 쳐다봄 ㅋㅋㅋㅋㅋ
","
뒷 이야기는 셋이서만 하시는게 소문이 안 날것 같습니다
"
마케팅/시장조사,전직원,서울,2023. 05,4.0,"""3.9점은 왜 없지 SNS 광고 컨텐츠를 많이하고 팀바이팀이지만 여러가지 경험하기 좋고 욕심있는 사람은 다니기 좋은 회사""","
대체로 젊은 사람들이어서 커뮤니케이션은 잘 통하는 편간식도 다양하게 있고 커피머신도 있고 칼퇴근 눈치안봐도 돼요티타임 매달 회식비 지원은 최고 복지거기에 연차는 꽤 자유롭고 당일사용도 왠만하면 가능능력있고 성실한 분들도 계셔서 배울게 많았음
","
처음과 다르게 직원채용이 많아져서 갑자기 확 늘었고 누군지 모를때가 있음팀바팀으로 업무량이 다른데 업무량이 적은편은 아니었고 바쁠때는 엄청 바쁨중간관리자가 부족해서 업무량에 비해 피드백으로 성정하기엔 아쉬웠음체계가 있는듯 없는듯 애매함 아무래도 과도기에 근무했던 것 같으니 좋아졌을듯다닐땐 복지부분이 조금 아쉬웠던걸로 기억하는데 이것도 마찬가지로 지금은 좋아졌을듯... 사실 모름
","
단점이라 느꼈던 것들이 이직하니 장점인 것도 있었습니다지금 느끼는건 동기부여 장치가 있었으면 좋겠습니다퇴사는 했지만 브랜드 관심있게 지켜보고 있습니다 꼭 더 성장하시기 바랍니다 복지제도는 많이 늘려주세요
"
마케팅/시장조사,현직원,서울,2023. 05,1.0,"""바이트랩은 직원들은 다들 알다시피 트랩이다 어떤 트랩이 될지는…""","
성과 지향 목표 지향 매출 지향자유로운 연차 사용넘쳐흐르는 흡연 시간 사용행복한 커피챗 시간 회식 비용 매달 주는건 좋다 다 그렇다면 할말없지만..내가 짱이라고 생각한다? 그렇다면 여기서도 짱을 먹을 수 있을 것이다…짱먹을 기회가 도처에 열려있다
","
성과 깎아내리기 상황, 사람별 다르게 전달되는 대표의 영업직 표현마이크로매니징없는 문제 만들고 해결했다고 좋아하기심각한 과장광고 짱먹어도 퇴사할쯤에 회사가 인정하는 성과는 없을 것이다…이미 대표의 것으로 흡수되었기 때문에…짱먹은 기간엔 있는 듯 보임 이것이 트랩
","
본인이 쫄리는걸 직원탓하지마시고 리더십 없는 본인을 돌아보세요 본인이 로봇인게 절대 자랑이 아님을 아셔야 할텐데요 그래도 똑똑하세요 그래서 정말 위험한 사람이십니다 혹자는 그걸 똑똑하다고 생각하지 않는다는 사실도 공감해주세요 아 이해말구요
"
미디어/홍보,전직원,서울,2023. 03,4.0,"""열심히 하고자하는 열정이 있고 성과로도 보여준다면 다양한 기회가 열려있는 곳""","
교육비 지원, 회식비 지원 (점심 회식 지원 ) 컬쳐데이, 패밀리데이, 조식제공 등등..
","
성과주의가 강하다보니 숫자로 결과를 증명해야함 매출압박 있음
","
구조 변화가 잦은 편 같습니다. 체계를 갖춘 안정적인 조직구조를 갖추는것이 좋을 것 같고, 성과에 따른 적당한 보상도 지급해주면 좋을 것 같습니다
"
디자인,전직원,서울,2023. 03,4.0,"""급성장하고 있는 젊은 회사, 회사 분위기도 사람들도 젊다.""","
아직까지는 차근차근 폭풍적으로 성장하고 있다는 느낌을 받았다. 회사 자체가 성장세에 있다보니 분위기 자체도 좋고 경영쪽에서도 최대한 복지쪽에 신경써주는 느낌
","
마케팅이 다 그렇겠지만 특히 과장된, 말을 심하게 하자면 허위광고에 가까운 바이럴 마케팅을 제작하는 일이 잦음. 그런 허위광고를 고민해야하는 일도 많다보니 사람에 따라서는 현타가 올 수도
","
여러모로 수평적으로 사람을 대하시려고 노력하는 모습도 좋고, 잘 되셨으면 하는 바램 입니다. 하지만 사업 자체의 방향이 장기적으로 봤을 때는 위험 할 수도 있다는 생각이 드네요.
"
마케팅/시장조사,전직원,서울,2023. 02,3.0,"""전형적인 커머스 광고 회사. 커머스 광고계에서 성장하고 싶다면 추천함""","
수평적인 의사소통. 자유로운 분위기에 눈치볼 것 없이 일할 수 있음. 성과만 낼 수 있다면 무엇을 해도 놔두는 분위기(그렇다고 개판치라는 의미는 아님)
","
커머스 광고다보니 당연히 과장광고가 많아 맞지 않는경우 버티는게 다소 힘들수 있음. 철저한 성과주의다보니 스트레스가 심할 수 있음. 은근히 야근 강요하는 분위기인데 수당은 없음
","
야근수당정도는 줬으면 좋겠음. 업무 메뉴얼이나 체계화가 다소 안 되어있는 느낌. 성과주의에 자유로운 분위기는 좋다고 생각함.
"
마케팅/시장조사,전직원,서울,2022. 11,4.0,"""직원의 성장을 회사의 성장과 연결 시켜주는 곳""","
연차 사용이 자유롭고 스타트업 중에서 자기 주도적인 업무를 가장 잘 할 수 있는 곳이라고 생각
","
급성장을 하다 보니 아직 체계가 잡히지 않은 부분이 있어서 개선이 필요함
","
업무 외의 직원들 간의 단합과 친목에 대해 경영진의 관심이 더 필요하다고 생각함
"
개발,현직원,서울,2023. 10,1.0,"""워라벨이 없는회사. 시대와 맞지않는 정책으로 퇴화하고 있다""","
장점은 대용량 트레픽에대해 이해를 할수 있고 대량 발송 플로우를 알수 있다
","
하늘에 계신분 마음대로 회사 방향이 결정된다. 많은 사람들이 바뀌고 잏다
","
귀를 기울이고 방향성을 매출만 보지 말고 사람을 보길 바란다
"
