직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
기획/경영,전직원,서울,2023. 09,4.0,"""좋은 사람들과 으쌰으쌰하며 일할 수 있었습니다. 많은 배움이 있었습니다.""","
진리의 팀바팀이지만 좋은 팀에서 많이 성장할 수 있는 기회를 얻었습니다.
","
이해가 명확하게 얼라인이 되지 않은 상태로 하나의 프로젝트를 진행하는 경우가 종종 있었습니다. 먼저 같이 일하는 사람들끼리 목표를 명확하게 맞추고 일하면 더더 좋을것같습니다.
","
경영진분들께 따로 바라는 내용은 없습니다.
"
기획/경영,전직원,서울,2023. 09,4.0,"""스타트업다운 자유롭고 젊은 분위기, 수평적인 문화가 장점""","
식대 15000원까지 지원, 사내 각종 이벤트, 정성스러운 피드백
","
연차 및 재택 사용에 눈치가 보임, 팀바팀별로 분위기가 극과극
","
평가가 눈에 보이는 성과에 치중하다보니 업무 과정에서 비효율이 발생하는 듯
"
기획/경영,현직원,서울,2023. 08,2.0,"""더 성장할 수 있을까? 경영진의 능력에 대한 큰 의구심""","
출근 시간 9~11시 굿복장 자율 굿재택 좋음워라벨 괜찮은 편휴가 눈치 전혀 없음동료들 인격적으로 좋은 사람 많음사무실 괜찮은 편
","
특정 서비스에 리소스 몰빵했는데 성과가 안 나와서 대혼돈 상태애자일하게 일하자더니 결국 또 그냥 똑같이 일함경영진 의견과 조금이라도 어긋나면 이상한 사람 취급 받고 곧 퇴사직원 뒷담화 하고 정치질하는 C레벨경영 방식과 경영진 능력에 대해서 의구심이 드는 지난 1년
","
안에서든 밖에서든 구성원들 욕 좀 그만하세요. 숨 쉬듯이 남 이야기 하던데 사람들 입이 그렇게 무겁지 않습니다. 이 글 봤다고 또 사람들 모아서 누군지 찾고 다닐거 생각하니 굉장히 짜증나네요.
"
개발,현직원,서울,2023. 07,4.0,"""워라벨 좋다. 업무 강도는 팀바팀. 개발자로써 기술스펙 좋다.다만 빠르게 성장하기 위한 구조는 좋으나, 주먹구구 탑다운 업무 일때도 종종 있다.""","
블라인드에 악글이 거의 없고 사실 글이 잘 안올라온다. 선한 사람들이 많다.피플팀(인사, 기업문화팀)이 굉장히 구성원들 신경 많이 쓴다.개발자로써 기술스펙이 나쁘지 않고 신규 기술이나 버전업에도 적극적이다.연봉도 나쁘지않음.
","
빠르게 실행하고 실패를 맛보고 없앨건 없애자는 마인드로 빨리 실천하는건 좋지만, 마무리가 좋지않다. 레거시 관리나 회고 등 저지르고 나몰라라 알아서 누군가 없애주겠지 하는 경향도 있는것 같아서 실무 입장에서 간간히 스트레스 받는다. 그 외 전체적으로 좋다.
","
업무 명확도를 올리고 모두가 공감대를 형성하고 임할 수 있도록 하면 좋을것 같다.
"
개발,현직원,서울,2023. 07,4.0,"""초년생이 다니기 좋은 회사라고 생각. 동료한테 스트레스 안 받고 다닐 수 있음""","
수평적인 분위기. 개발팀은 분위기 좋음. 동료 중에 딱히 빌런도 없음.주 3회 재택, 점심 야근 식대 15000, 한달에 한번 2시간 조기퇴근
","
바뀐 조직구조가 그다지 효율적이지 않은 것 같다. 업무가 골고루 할당되지 않고 자꾸 몰리는 느낌.일부 리더들이 직무 이해도가 낮은 직종의 리더로 있어서 실무자들이 힘들어함.CEO가 관심없는 서비스들은 너무 등한시되는 듯 함Okr로 평가를 하는데 그 기준으로 평가할 수 없는 직무나 업무들도 많아서 별로 적합하지 않은 느낌.복지 서서히 줄이고 있음
","
상반기에 조직구조 개편한다고 어수선했던거에 비해 별로 장점이나 실감나는 차이점을 잘 모르겠는데, 하반기에는 좀 나아졌으면 합니다.
"
미디어/홍보,현직원,서울,2023. 06,5.0,"""아직까지는 사람이 복지다. 좋은 사람들과 프로덕을 만들어가는 으쌰으쌰 분위기.""","
점심 식대 15000원 제공 / 재택 주 3회 가능 / 같이 협업하기 좋은 사람들 / 좋은 사무실 환경 / 스낵바 / 소소한 컬쳐팀의 이벤트들
","
숫자를 만들어내야 하다보니 실패에 대한 두려움이 큰 분위기가 좀 아쉽습니다. 실패와 회고를 건강하게 하는 분위기가 조성되었으면 좋겠습니다.
","
노동에 대한 마땅한 리워드와 복지가 잘 구축되었으면 좋겠습니다.
"
데이터,전직원,서울,2023. 06,3.0,"""만족도, 커리어 모두 팀바팀이 심한 회사. 성장도 글쎄..""","
복지가 좋음간식많고 연차사용 자유롭고 출퇴근시간, 재택근무 가능한 부분이 가장 좋음좋은 팀원들 잘 만나면 회사 다니기 편함
","
주먹구구식 경영, 내가 이것까지 해야된다고?싶은 일떠맡기와 야근의 연속팀바팀 사내정치 심각, 팀원 잘못만나서 퇴사하는 사람들 꽤 있음회사가 추구하는 방향과 잘 안맞으면 진행하는 업무에 회의감이 든다분야에 대한 지식과 회사에 대한 애정없이 다니는 직원들이 많음
","
경영진도 문제지만 분야에 대해 감도 없고 책임감,열정 없는 직원들은 좀 걸러내세요
"
개발,전직원,서울,2023. 06,4.0,"""개발자가 대우받으며 다닐수있는 최고의 회사""","
연차 전혀 눈치안보이고 사람들 다좋고 건물 역에서 가깝고 아무튼 다 좋음
","
돈을 못버는회사라 돈을 안준다 그게 가장큰단점이고 돈을많이받고싶으면 다른회사로 고고
","
돈버는사업열심히해서 직원들에게돌려주세요
"
개발,전직원,서울,2023. 05,4.0,"""워라벨에서 오는 강력판 파워 하지만 지금 한계점인가? 시장의 문제인가""","
연차 눈치없고점심밥값주고워라벨 좋고사람들 괜춘함재택 주 3일 가능소소한 이벤트들
","
오너의 부재한차례 성장후 더딘 성장그정도?단점이 생각보다 많지는  않음
","
잘 될수있도록 독려를 하던가 아니면 강하게 압박을 하던가 필요합니다.
"
개발,현직원,서울,2023. 05,4.0,"""나쁘지 않음. 개발자 대우도 괜찮고 특별한 빌런 없이 사람들이 두루두루 좋아 적당히 잘 다닐 수 있는 회사인듯""","
식대 15000원(페이코 식권), 시간단위 연차, 매월 1회 2시간 조기퇴근(오아시스), 생일자는 생일인 달에 오아시스 (기존 오아시스와 중첩 가능), 연차 눈치 보지않고 그냥 플렉스로 올림, 최대 주3회 재택. 최신 장비(최근에 들어온다면 M2 줄듯?)
","
명확한 돈줄을 찾는 중이긴 한데, 아직까지는 잘 보이진 않는다. 최근 스쿼드 체제로 변경됐는데, 부바부겠지만 일이 늘어난 느낌이 든다.
","
스쿼드 체제도 정비해본다고 했고, bm도 경영진 단에는 노력해보고 있는 듯 함. 큰 불만이 있진 않고 연봉협상 시 인상률이 좀 좋았으면.. 너무 짬
"
