직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
개발,현직원,서울,2023. 10,2.0,"""클라우드회사를 표방하지만 그냥si회사""","
아침주고 점심준다회사가 여의도 파크원에 있다더현대가 가깝다
","
체계가 없다몸집불리기에 급급하다팀바팀이 심하다 야근이 있음
","
사람 소중한줄 아시길 바랍니다성장이 다가 아닙니다
"
개발,현직원,서울,2023. 10,1.0,"""개발자 경력이직 전직장에서 연봉많이 못받았으면 연봉 적게줌, 같은 연차여도 연봉차이 많이나요""","
여의도 뷰기술습득하는데 도움이 많음식대 나오고 야근많아서 경험을 많이해봄
","
경력 이직할때 직전 회사 원천징수때 오라해서 그걸 기반으로 돈을 측정함아무리 잘하고 열심히해도 이전 직장에서 돈 적게 받으면 같은 연차여도 급여 차이 엄청심함,말은 솔루션이라고 하지만 그냥 si업체 이고 야근 드럽게 많이하는데 야근수당없음…  걍 노예임…일하는사람만 일하고 능력은 인정 못받음..최근에 연봉협상은 없다고 선언하고, 이상한 디지털 뱃찌?? 같은거 시행해서 시험봐서 연봉책정한다고함
","
제발 쓸때없는거 하지말고 기존에 있는 인력이나 신경써주시고, 연봉간 불합리나 줄여줘요 제발.. 기존에 있던 직원들좀 제발제발 신경 써줘요..
"
개발,현직원,서울,2023. 10,4.0,"""리뷰가 안좋은데 다녀보면 생각보다 괜찮음 고민 되면 그냥 다니는것도 나쁘지 않를듯""","
그래도 복지쪽을 신경 많이 써주려고 노력하는것 같았고 파견 나가는 사람들에게 조금 더 챙겨주려는것같았음 사무실 뷰가 좋고 사내카페가 있는게 장점
","
몸집이 너무 빠르게 커지다보니 체계가 약간 부족한 느낌
","
복지가 좀 더 다양하고 많았으면 좋겠습니다 다른건 없네요
"
기획/경영,현직원,서울,2023. 10,2.0,"""외형 키우기에만 집중 할 뿐 실속이 없고 체계도 없다.""","
소소한 이벤트로 직원들간 친밀도는 높은 듯 하나.. 업무적으로는 글쎄...;;
","
솔루션 구축사업 획득 후 SI로 일처리를 한다. 솔루션 개발에 관심이 없는 듯..영업 부문을 제외한 개발조직 대부분이 주니어이며,팀장급 이상의 경험이 부족함
","
초기 목표와 같이 홍보한 만큼의 솔루션이 개발될 수 있는 환경을 만들어야 모두가 살 수 있지 않을까..
"
영업/제휴,현직원,서울,2023. 09,4.0,"""회사도 개인도 성장하는회사임투자 크게받음 크게될것같음""","
자유로운 분위기에서 일한다열심히 집중하는 직원이 많다젊은 조직이다빠르게 큰다
","
어럽고 힘들고 정신없다속도가 굉장히 빠르다극복하면  잘크겠지만 쉽지많은않다
","
직원 관점에서 복지, 교육, 프로세스에 힘써주세요직원이 행복해야 회사도 성장합니다
"
데이터,현직원,서울,2023. 09,4.0,"""다 좋은데... 연봉과 동료만 별로인 회사ㅎㅎ""","
비즈니스 모델이 약간 애매하지만 도메인 자체는 괜찮다고 생각합니다
","
회사에서 갑자기 몸집을 불리는 중이라 아무나 막 뽑는게 없지않아 있는거같아요. 개발이랍시고 뽑아놨는데 파이썬 코드 6줄도 읽을줄 모르시는 분 보고 충격..
","
몸집을 불리는 건 좋은데 무턱대고 아무렇게나 키우는 것은 아닌거 같습니다. 조금 더 신중하게 성장하면 좋을꺼같아요.
"
개발,전직원,서울,2023. 09,2.0,"""체계가 없이 일하느라 일을 하는 사람에게만 일이 몰리는구조, 포장이 잘 되어 있는 회사 미래에대한 비전만 보고 근무해야하는 회사""","
투자도 받고 많은 사업이 생겨 회사의 인지도나 영향력이 커져가고 있음
","
체계기 없고 연봉이 동종업계대비 너무나도 소극적이다 시간이지나면 나아질지도 모르겠으나 그사이 핵심인력은 다 이탈 할 듯
","
딱히 할말은 없음 회사 잘되길 빌겠습니다 번창하시고 회사도 더욱 잘 운영하시길
"
개발,현직원,서울,2023. 09,1.0,"""배가 산으로가고있다.파견으로 구성된 사업, 뭘보고 투자했는지 알수없다.""","
회사의 전경이 좋습니다.커피를 싸게 마실수있습니다점심을 줍니다
","
업무의 기준이 없습니다배가 산으로가고 있습니다.SI프로젝트로 구성되어 솔루션은 없다고 생각해야합니다.
","
솔루션회사로 투자를 받았으면솔루션으로 중심을 잘잡아주셨으면 좋겠습니다SI인력파견 보도방으로 전락하기전에..
"
개발,전직원,서울,2023. 08,1.0,"""사람들이 나가는 이유를 제발 좀 알아 줬으면 좋겠습니다.인원이 많다고 나가는 사람이 많을 수 있다? 아닙니다 나간만큼 들어오는 사람이 너무 많고 신입이 엄청 많고 처음에는 회사의 성장을 보고 입사했지만 가면갈수록 산으로 감 이제는 하다하다 SI도 해서 파견도 나감 열심히 입사하셔서 다녀보면 알게 될거임 뭐든 직접 느껴야지 알게됨.""","
여의도 뷰 자긍심 느낄수있음 그게 다임.아 신입이 많아서 젊은 분위기 남 배울수 있다..? 내가 혼자 배우는게 더 많음 이직욕구 뿜뿜
","
일하는 사람만 하고 야근 하고 장점보다 단점이 더 많은 회사누가 누군지를 모르겠음 계속 들어와서 아는 사람만 알게됨.우선 근무해보세요 근무하면 왜 사람들이 나가는지 알겁니다.
","
나가는 사람들이 왜 나가지? 라는 생각을 좀 해줬으면 좋겠음 허구한날 일만 벌리고 일은 제대로 처리도 못하고 신입은 엄청나고 일하는 사람만 하고과연 거기서 버티는 사람이 일을 잘하는 사람일까 나가는 사람이 일을 잘하는 걸까 생각을 해보셨으면 좋겠습니다.어차피 생각 안하실거 알지만 잡플래닛좀 보고 생각을 하셨으면 좋겠습니다.
"
개발,현직원,서울,2023. 08,2.0,"""회사는 빠르게 성장하고 있고 그만큼 직원들은 늙어가는 회사""","
1. 사무실 위치 - 여의도 파크원에 본사 위치2. 식대 지원3. 다양한 프로젝트를 경험할 수 있음
","
1. 상장을 위해 직원들의 고혈을 짜내고 있음2. 회사 규모에 비해 내부 프로세스가 부족함3. 낮은 연봉과 이상한 인센티브 제도(사실상 없는 것과 같음)
","
내실을 다지기 위해 많은 노력을 하고 있다고 말씀하셨습니다. 이제는 말뿐이 아닌 실체를 보여주세요.
"
