직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
,,,,4.0,"""물류 IT를 제대로 느낄 수 있는 기업, 성장을 하고 있고  회사와 함께 개인의 성장 가능성이 많은 회사""","
주변에 열심히 하고 자극이 되는 동료들이 많다. 구성원들이 대부분 착하고 성격이 좋다.개발 팀 같은 경우 백엔드, 프론트의 구분이 잘 나뉘어져 있다.원하는 기술 스택과 써보고 싶은 기술 선택에 대한 존중이 있는 편이며, 기업이 빠르게 성장하는 중이어서 그 가운데 배울 것들이 많고 자기 개발을 열심히 한다면 성장 가능성, 기회 들이 많은 것 같습니다.
","
물류 시장의 퍼스트 무버 이고 처음 하는 것들 많고, 공부해야 할 것들이 많은 편스타트업의 분위기 상 스스로 일을 알아서 찾아서 잘 할 수 있는 사람들이 잘 맞을 회사 분위기
","
회사가 앞으로 나아가야 할 점, 비전 등을 실무자와 이야기 해볼 수 있는 시간, 자리 등이 많았으면 좋겠습니다.직원들끼리 소통을 많이 할 수 있는 기회가 많았으면 좋겠습니다.
"
,,,,4.0,"""욕심이 많을 수록 본인이 성장할 기회, 가능성이 많은 회사""","
자율성을 존중해준다. 임원들 포함, 타팀과의 커뮤니케이션이 가능하다.
","
비중있는 팀이나 인력에 따라 암묵적으로 업무가 결정되는 점
","
더 많은 직원들을 챙길 수 있는 기업문화를 이끌어갈 수 있었으면 좋겠습니다.
"
,,,,5.0,"""척박한 물류시장에서 불가능을 가능으로 만들어내고 있는 혁신적인 물류it 플랫폼 기업입니다.""","
직원 개개인의 의사를 존중하고 장점을 더 부각시킴으로써 사소한 의견일지라도 기획적인 부분에 최대한반영하여 성장하고자하는 기업으로 개인의 성장의 곧 기업의 성장이라고 여깁니다.부족한 직원이 있다고해서 무시하는 것이 아니라 개인 성향에 따라 기다려 주거나 독려하는 기업입니다.
","
수평적 조직이라고 하지만 수직적인 성향으로 진행되는 일이 더러 있으며 경영진에게 인정을 받기 위해불필요한 에너지를 쏟는 몇몇 직원이 있습니다. 물론 다른 기업들도 마찬가지이지만 우리 회사는 개인의 성장이 필요하다기보다 협업을 중심으로 진심으로 동료를 격려하고 윈윈하는것이 더큰 성장을불러올수 있는 기업중의 대표기업이라고 볼수 있습니다.
","
사내 영향력이 있다라고 판단되는 특정 몇몇의 직원 의견에 너무 기울지 않길 바라며상황에 따라 수직적인 업무 진행이 필요하다고 판단되면 리더에게 권한과 책임을 전가 하시길 바랍니다.또한 빠른 성장을 할수 있는 기업이라고 믿기 때문에 오너의 마음을 갖게 하고 스스로 열심히 하도록분위기를 만들어 간다는게 멋지고 대단하지만 리더는 팀원을 아우르면 잘 다스리는 것에 격려를 더 하고실적에 너무 치우치지 않도록 부탁 드립니다.
"
,,,,3.0,"""분위가 좋은 편이며 열심히 하려는 사람이 많다""","
대체적으로 분위기 좋으며 교육비 및 도서비 지원해주고 자율적으로 출퇴근 시간 조절할 수 있다.중식비 및 간식 제공, 복지카드
","
스타트업이나 스타트업 분위기는 아닌듯하다. 먼저 묻지 않으면 당연히 알고있을거라 생각하는 분위기, 그게 업무에 영향이 있는 경우가 있다. 시스템에 대해 잘 알고있는 사람이 생각보다 적은 것 같다. 특정사람의 영향이 큰 경우가 있는 것 같다.
","
경영진이 어떤 점을 바라는지 종종 의문이 들때가 있다. 근본적인 문제에 대해서도 고민해보았으면 좋겠다.
"
개발,현직원,서울,2023. 08,3.0,"""개발자를 대우 해주며 복지도 신경을 많이 쓰는 회사입니다""","
점심 식대에 제한을 두지 않아 먹고 싶은 메뉴를 먹는점연차에 대해 눈치 보지 않고 사용할 수 있는점
","
업무 진행이 비효율적인점기존 가지고 있는 개발적인 문제들이 해소가 안되는점리더의 부재
","
새로운것들을 추구하는것을 조금만 내려놓고 내실을 다질 수 있는 시간이 필요해보입니다
"
개발,현직원,서울,2023. 05,3.0,"""특별히 좋은 것도 아주 나쁜 것도 없는 회사. 인원이 늘고있지만 회사가 그만큼 발전하는지 제대로된 방향으로 가고있는지 의문""","
사람들이 대부분 착하다점심식비 100% 지원한다(각자 법인카드 제공)분위기 자유롭다(담배, 딴짓, 졸음 신경X)
","
직원들 의견이 거의 받아들여지지 않는다성과에 대한 보상 체계가 없다운영 방식이 대단히 보수적이다이상한 제도가 계속 생겨나고 있다
","
이상한 제도 만드는데만 신경쓰지말고 현재 직원들의 근무환경과 애로사항에 제대로 신경을 써줬으면. 계속해서 그만두는 직원이 생기는 이유를 제대로 파악하고 남은 직원에게는 신경을 제대로 써주시길.
"
영업/제휴,현직원,서울,2023. 04,5.0,"""소울만 있다면 역량을 길러주는 회사 I 다만 현재는 경력직만 채용하니 참고! I 레거시에 대한 경험이 있다면 활용 가능!""","
멀리 바라보는 대표와 현실과의 간극을 채우는 P/L I 소울풀한 하모니
","
당장 현실적으로 눈에 보이는 것만 중요한 분께는 비추 I 레거시에서 극복하려는 것을 실현할 수 있는 회사로서 들어온다면 강추
","
더 좋은 솔루션을 향한 기획과 드라이브! 지금처럼!
"
디자인,전직원,서울,2023. 03,3.0,"""개인적으로 발전할 수 있었지만 좋은 회사라고 말할 수있는지는 모르겠다 기억에 남지 않는 회사""","
연차를 부담없이 쓸수있고 회사 분위기가 좋다 회의가 잦지 않아 좋다
","
개인주의 성향이 심한 편 연봉의 수준이 높지 못하다 프로젝트의 방향성이 불뷴명하다
","
합리적인 복지와 보상 체계를 마련해줬음 좋겠다프로젝트 공유
"
금융/재무,전직원,서울,2023. 02,5.0,"""다양한 경험을 하며 커리어를 쌓고 싶은 사람은 강추입니다""","
연차 자유롭게 사용 가능, 간식 제공, 전체적으로 자유로운 분위기
","
단순 보고를 위한 보고가 많아 비효율적, 그리고 딱히 생각 나는 게 없네요
","
더 나은 직원들의 복지가 제공 되었으면 좋겠어요
"
마케팅/시장조사,현직원,서울,2022. 09,5.0,"""방향이 뚜렷합니다. 물류라는 거대한 분야에서 디지털 전환을 선도합니다. 경쟁사, 주변과 비교하기보다 목적지를 향해 꿋꿋하게 나아갑니다. 좋은 동료가 많습니다. 프로페셔널하면서 겸손하고 정중합니다. 함께 성장하는 기분입니다. 자유로운 분위기 속에서 일에 대해 진지하게 고민합니다. 일하기 매력적인 회사입니다.""","
업무 자율성이 높습니다. 하고 싶은 일을 합니다. 출퇴근 시간이 탄력적이고 연차 사용도 본인 승인입니다. 업무를 위한 지원도 아끼지 않습니다. 장비는 물론 식비, 회식비도 무제한으로 지원합니다. 직원들이 편하게 일할 수 있는 분위기를 만들어줍니다. 직원들에게 귀를 기울여 여러 제도와 문화를 만드는 중입니다.
","
연봉 인상률은 높은 편입니다. 다만 추가 수당에 대한 보상이나 성과급이 없습니다.
","
직원으로 보기에 좋은 방향으로 가는 것 같습니다. 결을 유지하면서 회사가 성장하길 바랍니다.
"
기획/경영,전직원,서울,2022. 07,5.0,"""다양한 경험을 할 수 있음. 수평적인 기업문화로 의견반영 잘됨""","
윗사람 눈치안볼수있음 복지 좋음 연봉 상승률도 좋은편임
","
교통이 불편, 컴퓨터 사양이 안좋아서 가끔 버버벅 거리는데 비꿔주질 않음
","
컴퓨터 좀 바꿔주세요 컴퓨터로 일해야되는데 컴퓨터가 느리면..
"
개발,전직원,서울,2022. 03,4.0,"""특색이 없고 기업에 비젼이 보이지 않는다. 분위기만 스타트업.""","
자유로운 분위기 개발 외 신경 쓸 부분이 없다. 서로 서로 신경 안쓰는 분위기.
","
인사를 많이 신경써야 할꺼 같다. 인사에 대한 중요성을 경영진은 모르는거 같음.
","
좀더 적극적인 자세가 필요 한거 같다. 모든 부분에서...
"
,,,,4.0,"""폐쇄적이고 낡은 산업에 한줄기 빛이되는 혁신적인 솔루션 제공기업""","
해당 산업분야에서 국내 선도적인 기술과 입지를 보유함.구성원들이 배려가 많음.
","
명확한 체계가 부족한 프로세스가 많아 입사초기에는 업무를 처리하는데 기준을 잡는게 어려움.
","
더욱 빠르고 결단력있게 추진해주세요.
"
