직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
개발,현직원,서울,2023. 08,2.0,"""사람이 갑자기 잘려나가고 복지가 예고없이 사라짐. 지인으로 가득찬 회사.""","
탕비실이 넓음. 회의실 많음. 분단위 휴가 가능. 자율출퇴근.
","
지인들끼리 뭉치고 그들에게 유리한 운영, 갑자기 사라지는 복지, 사람이 갑자기 잘려나감, 이상한 인사평가, 일을 모르는 사회초년생이 수두룩
","
정말 잘라야할 사람을 잘라야함. 돈없다는 이야기를 왜 자꾸 직원에게하면서 복지를 없애는지 모르겠음
"
인사/총무,전직원,서울,2023. 08,5.0,"""인성 좋고 똑똑한 사람들이 모여서 일을 똑 부러지게 해내는 곳. 똑똑하지 못하면 적응하기 힘든 곳.""","
자기 일을 주도할 수 있고, 근로기준법 내에서는 이보다 유연하고 자율적인 근무를 할 수 있는 곳은 없다. 오전 6시~오후10시 사이에 언제 어디서 어떻게 일하든 자율적으로 일 할 수 있음
","
자율이 주어지는 만큼 성과에 대한 기대치가 매우 높음. 이게 장점이자 단점일 수 있는게 은근하게 압박 받음. 내가 똑똑하지 못했던거라 생각함
","
좋은 사람으로 기억되기 보다 나를 성장시켜준 경영진으로 기억될 수 있도록 명확한 방향과 가이드, 피드백을 주는 연습을 많이 해주시면 좋겠습니다
"
연구개발,현직원,서울,2023. 04,5.0,"""모든 사람들이 같은 곳을 바라보고 열심히 하는곳. 앞으로의 성장이 기대됨.""","
똑똑한 사람들이 많이 모여 있고, 다들 열심히 함. 사내 분위기도 매우 좋음.
","
회사 수익 날때까지 복지 축소가 되었음. 매출 확대되어 복지도 다시 이루어지기를 바람.
","
사원들이 불안해하지 않도록 실력으로 보여주면 좋겠음.
"
데이터,현직원,서울,2023. 02,3.0,"""정말 만족하고 다닐 뻔 했던 회사. 치명적인 단점이 모든 장점을 죽이는 회사""","
자유로운 회사 분위기와 아주 능력있고 뛰어난 직장 동료들. 배울 점이 많고 잘 따라갈 수만 있다면 성장 가능성이 큼
","
아주 짠 연봉. 누구는 올려주고 누구는 안올려주고? 당연히 받아야 하는 여러 보상을 줬다 뺐는 경영 방법
","
책임질 수 있는 말만 하면 좋겠음. 기대했다가 기대가 꺾일 때의 충격이 더 큰 법이니까
"
개발,현직원,서울,2023. 02,1.0,"""시간이 지날수록 아쉬운점이 많아지는 회사""","
자유로운 분위기, 무엇을 해도 아무도 뭐라하지 않음학력이 대부분 높은 편
","
장점과 마찬가지로 자유로운 분위기를 이용한, 악용.너무 자주 바뀌는 경영 방향.
","
회사 내부에 대해서 긍정적으로만 바라보기 보단, 현실을 바라 볼 필요가 있습니다.
"
영업/제휴,현직원,서울,2022. 12,2.0,"""최대한 빠르게, 최대한 많이에 급급하다가 안에서, 위에서부터 자멸하고 있는 곳""","
연차 사용, 출퇴근 시간 매우 자유로움. 착한 사람들이 많음. 복지 있었을 때는 식대, 자기계발비 등 직원 복지 좋았음.
","
헤드급 사람들 중에 헤드하면 안될 것 같은 사람들이 있음. 사람마다 하는 말이 다르고 업무나 회사 방향이 매번 바뀌는 수준. 업무가 24시간 돌아가는 걸 당연하게 생각하나 미래는 잘 모르겠음.
","
자신감에 넘치는 쿨하고 수평적인 모습이라고 생각할지 모르겠지만 사람과 사람 간에 지켜야 할 도리와 예의도 있는 법
"
개발,현직원,서울,2022. 12,2.0,"""개발특성상 여러 팀과 협업할 일이 많고 다양한 분야를 경험해볼 수 있음 쓰는 툴들이 최신이고 지식 업데이트 속도가 빠르다""","
좋은 사람들이 많음자율출퇴근, 연차, 휴가 등 눈치 안보고 쓰는편조직 체계가 (사원들끼리는) 합리적으로 구성된편
","
연봉이 짬경영진의 자기PR에 비해 매출은 별로 없음 기술이 있음 뭘함 팔리질 않는데조직이 맨날 왔다갔다함겨울이 온다 온다 하다가 진짜 와 버렸는데 대책은 있는지 모르겟음
","
의사결정을 할 때 직원들 말을 듣는 척이라도 했으면 좋겟음A->B와 A->notB를 동시에 말하고 있는 경우가 많은데 어쩌란건지
"
데이터,현직원,서울,2022. 11,4.0,"""좋은 회사. 돈은 많이 안 줘도 복지 월 20만원씩 나오고 큰 스트레스 없이 일 할수 있는 회사.""","
꼰대들 별로 없음. 자유롭게 일 할수 있음. 스트레스 덜 받는 환경. 학벌 좋은 사람들 많음. 재밌게 지낼 수 있음.
","
매출이 잘 안 나오는 기업. 말은 번지르르한데 회사가 전망이 좋은지 잘 모르겠음. 뭐가 어떻게 될지 미래도 불투명. 굳이 올 필요는 없지 않을까 싶음.
","
그냥 잘 해주시면 괜찮을 듯. 투자 몇백억 받은 거 잘 활용하시길
"
엔지니어링,현직원,서울,2022. 05,5.0,"""의료기기AI로 매출 별로 없지만 투자 받아 운영하고 있으며 성장 중에 있음""","
워라밸 좋고젊은 문화성장 가능성 높음재택 근무자율 출퇴근회사 깨끗, 청결 함
","
스타트업 인 것명절, 생일, 식비같은 복지 없음차기 제품 성공할지 의문
","
잘하고 계심..매출 많이 오르면 복지 좀 요.화이팅
"
개발,현직원,서울,2022. 02,5.0,"""우수한 동료들과 일할 수 있어 좋고, 개발자가 대우받으며 보람차게 일할 수 있는 곳이라 생각""","
우수한 동료들과 함께 일할 수 있어 좋음. 연봉외에도 식대나 자기계발비 등 복지가 괜찮고, 닫혀있지 않고 개발자들의 다양한 의견을 수렴해 폭넓은 개발 경험을 쌓을 수 있음. 또 기업이 빠르게 성장하는 것에 참여하는 것을 직접적으로 느낄 수 있음
","
정해진 일만 하기를 원하는 사람이라면 분위기가 안 맞을 수 있음
","
사업이 커지는 만큼 더 좋은 건물로 이사했으면 좋겠음
"
