직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
기획/경영,현직원,경기,2023. 09,5.0,"""열정있는 사람들이 모여 매월 새로운 성장 기록을 내는 회사""","
업무 비효율 바로바로 해결성공과 실패를 분석하고 다음을 계획하는 c레벨매월 눈에 띄는 성과를 내는 각 서비스 사업부8년전부터 지금까지 제일 열심히 일하는 코파운더들열심히 일하지만 그렇다고 삭막하진 않은 분위기
","
느긋하게 워라벨을 챙기고 싶은 사람은 힘들 수도일이 많음. 하지만 비효율로부터 나오는 일은 없음.
","
지금처럼만 하면 꾸준히 성장할 것 같음딱히 바라는 점 없음
"
개발,현직원,경기,2023. 05,4.0,"""좋은 코드리뷰 문화가 있는 기업 간식도 주고 판교역이랑 가까움""","
판교역이랑 가까워서 출퇴근이 용이함주변에 맛있는 식당이 많음
","
매일아침 주차난을 겪어야함건물 주차장이 너무 비싸서 걸어다니거나 주변 공영주차장에 주차해야함
","
신규 사업에 대해 적극적으로 투자하는 모습이 보였으면 좋겠다
"
서비스/고객지원,전직원,경기,2022. 11,5.0,"""성장하고 싶다면 가고 꿀빨고 싶으면 추노하세요""","
성장의 기회가 항상 열려있습니다.오버커뮤니케이션으로 분위기가 좋습니다.사람들이 좋습니다.C레벨급들 인품 좋습니다. 대표도 물론이고요.
","
딱히 단점없어요.구지 하나 꼽자면, 일이 많습니다. 좀 쉴만하면 일 줍니다.
","
없어요. 투자 잘 받고 잘됐으면 좋겠어요
"
개발,전직원,경기,2020. 11,3.0,"""복지는 좋은 편이나 워라밸이 중요한 사람에게는 최악의 회사""","
자율 출퇴근. 연차 제한 없음. 간식바 있음. 식대 제공.
","
자율 출퇴근이지만 퇴근 시간이 딱히 없음. 수많은 인턴들이 들어왔다가 나감.
","
입사한 사람을 위한 안내가 더 필요할 듯.
"
개발,전직원,경기,2020. 07,2.0,"""비효율적인 업무구조로 인해 인원이 소모되는 느낌이 강한 편.""","
자차 출퇴근자의 경우 주차지원됨.자율출퇴근제.휴가 제한 없음.
","
구내식당 밥이 맛이 없음.표면적으로는 수평적이고 독립적인 업무 구조를 표방하고 있으나, 철저히 코파운더들 위주로 업무 진행되는 느낌.업무 구조 개선 요구에 수동적.
","
하던대로 하자고 하면 새로운 사람들이 일을 효율적으로 해낼 수 없을 뿐더러 조직이 커나가는 데 방해가 된다고 생각합니다 .좀 더 수용적인 태도로 구성원의 고충을 적극적으로 들을 필요가 있다고 생각합니다.
"
개발,전직원,서울,2020. 06,4.0,"""평온한 분위기에서 진행하는 서비스팀언제 어디서나 말할 수 있는 분위기서로가서로에게 의지하는 팀""","
대표님이 친근하고 솔직하기에 분위기가 좋음야근강요 그런 분위기 없음적은인원으로도 으쌰하는 가족같은 분위기
","
의사결정 시 너무 많은 토의비즈니스적 증명에 꽤 오랜시간이 들어감. 사람들이 알면 좋은 서비스이지만 알지 못해 아쉬움
","
지금대로 쭉 잘 해나가서 꼭 성공했으면 좋겠음
"
기획/경영,전직원,서울,2019. 05,5.0,"""스타트업에서 최고의 복지는 사람이다. 최고의 사람들이 만들어가는 곳!""","
직원과 인턴 모두가 열정이 가득하다. 서로에 대한 배려와 믿음이 너무 좋다. 사무 공간도 너무 좋다. 헬스장, 구내 식당, 편의시설, 냉장고 샤워장이 모든 것이 갖춰져있다. 간식도 많고 스타벅스 캡슐 커피도 많다! 업무 프로세스도 자유롭다. 일만 잘하면 되는 환경. 아, 최근에 카카오밴처스로부터 투자 유치 성공!
","
뭐야? 왜이렇게 찬양일색이야? 할 수 있지만 사실이다. 불편한 점이 있다면 자차가 아닌 사람들에겐 출퇴근이 다소 번거로울 수 있을 것 같다. 인 서울에서 일하는 것에 비교한다면 말이다.
","
앞으로 서로, 더욱 성장해서 저도 마카롱팩토리도 더 좋은 자리에서 만날 수 있길 바라겠습니다! 다들 건강하세요!
"
개발,현직원,서울,2023. 03,3.0,"""그룹사 안에서 안정적으로 일할 수 있음.  편안한 분위기""","
사업기반이 확실해서 안정적으로 업무를 할 수 있다. 그룹사 안에서 일하다 보니까 크게 돈걱정은 안하는 것 같아 보인다. 복지제도가 있다. 연차사용이 자유롭고 분위기가 편안하다
","
과장 차장이 많고 오랫동안 굳혀져서 승진이 어렵다. 복지제도가 많다지만 실제로 사용할수 있는게 없다.
","
직원들의 불만을 듣지만 말고 해결책을 제시해줬으면 좋겠다.
"
개발,전직원,서울,2023. 01,3.0,"""가족같은 분위기는 얼마든 만들수 있지만 딱딱한 몇명을 제외하곤..""","
연차사용이 자유롭고 칼퇴문화가 확실히 잡혀 있어 눈치보지 않고 퇴근가능
","
일하는방식이라는 별 도움안되는 회의시간을 만들어 도움도 안되고 시간만 뺏기는 현상
","
현업과 업무회의를 다녀오는것을 파트장은 놀다 온다고 생각하고 꼽을 줌
"
기획/경영,현직원,서울,2022. 11,4.0,"""사람 때문에 스트레스 받는 일은 없지만 직원들 개개인에 대한 대우가 조금 아쉽습니다.""","
같이 일하시는 분들의 태도가 기본적으로 매우 성실하며 책임의식이 강합니다. 그리고 인사 담당 직원 분들께서도 안내사항이 있을 시 누락없이 잘 챙겨주십니다.
","
인원이 적다보니 오프라인 / 온라인 기술 지원이 매우 힘들고 신입 직원들에 대한 교육 커리큘럼 체계가 전혀 잡혀있지 않습니다.
","
주력으로 밀고 나가는 사업의 캐릭터를 명확하게 가져갔으면 좋겠습니다. 그리고 비전이 확립되면 재직 중인 직원 분들에게 적극적으로 의견을 피력해주십시오.
"
기획/경영,현직원,서울,2022. 10,3.0,"""성장을 추구하지만 아직까진 결과물이 부족한 회사""","
작은 회사이지만 중견그룹의 계열사로 안정적이며, 회사 규모에 비해 복지도 괜찮은 것 같음
","
아직까지는 그룹시스템 운영이 주된 사업외부사업을 통한 성장이 아직 부족
","
회사의 비전과 엔지니어의 비전을 잘 연결했으면 함
"
