직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
개발,현직원,대전,2023. 11,2.0,"""보안사관학교 정보보안이 무엇인지 사회초년생으로서 배울 것이 있지만 경영진의 이기적인 경영방침과 무능함에 내 자신이 더 노력해야겠다는 위기감을 절실히 느끼게 해주는 회사""","
가끔 야근 하는 것을 제외하곤 워라벨이 보장됨. 하지만 그 외 장점이 존재하지 않음
","
단점은 경영, 영업. 이제는 자신들의 업무를 파견사이트에 넘겨주고 성과는 본인들이 가져가려 하고 있음
","
본인들 잘 하고 있다고 생각하시나요? 회사에 매출을 올린 것이 본인들만 잘했다고 생각하시는 건가요? 좀 같이 일하고 같이 기뻐합시다.
"
개발,전직원,서울,2023. 11,3.0,"""신입으로 들어가기엔 좋지만 오래 있진 마세요""","
직원이 정말 많고 보안사관학교란 말이 맞는 분위기입니다
","
박봉, 파견의 경우 사이트 바이 사이트로 달라지는 환경 및 대우
","
연봉 좀 올려주고 직원 복지가 너무 미흡해요
"
생산관리/품질관리,전직원,서울,2023. 10,2.0,"""송파구에 있는 안정적이고 큰 회사로 근무 환경이 좋습니다.""","
안정적, 업무에 큰 어려움이 없음, 가까움, 공공기관 이라면 어디를 가더라도 이글루코퍼레이션 직원이 있음
","
다니면서 개인으로써 전혀 발전된 것이 없음.(연구소 기준)우물안 개구리들이 많고, 주요 보직에서 일을 하는 몇몇의 썩인 고인물들이 있는데 워낙에 역량이 낮은 수준이라 발전이 없고, 누군가 퇴사할까바 전전긍긍.퇴직하면 할 수 있는 일이 없기에 윗사람한테 안까이는게 목적인 사람들이 많고, 변화하고 발전하기 싫어함.개인의 역량 발전이 중요하고, 열심히 일하려는 사람들에게는 비추하고 작은 연봉 받으면서 놀면서 회사 댕기려는 사람들에게는 너무너무 추천합니다.
","
연구소 직원들이 출근해서 놀러다니기 바쁩니다. 팀장이라는 사람이 매일같이 업무시간에 졸고나 있고, 같잖은 수준의 일을 하면서 징징거리는게 일상입니다.일주일만에 끝낼 수 있는 일도, 질질끌고 한달을 하는 사람도 있는데 관리자들은 체크 하지도 않습니다.놀면서 돈벌기는 좋겠습니다.실제 업무 수준 체크를 잘 해야할 필요가 있습니다.
"
개발,현직원,서울,2023. 10,3.0,"""많은 기업들과 공공기업에 파견 할 수 있는 곳이 많아요""","
교육, 개발 지원을 아끼지 않습니다. 복지해택이 좋습니다.
","
파견직과 본사 직원의 차이가 있습니다.단점은 이외에는 없습니다.
","
경영진에게 따고 바라는 점은 생각 해보았으나 없었습니다.
"
개발,현직원,서울,2023. 10,2.0,"""들어올 수 있는 벽은 낮으나 그만큼 스스로 발전시켜야만 살 수 있다.""","
입문의 벽이 낮습니다.보안관제쪽이면 얜뭐야? 하는 사람도 보일 정도로 입문이 낮습니다.
","
미래가 어둡다.인력장사가 주된 수입이며 자사프로그램들이 있지만 향후에도 살아 남을 수 있을까 하는 의구심을 갖게 만든다.
","
자사 프로그램 개발은 정말 제대로 된 인력을 사용하여 개발을 하고 있는가인력 유출이 되지 않을 만큼 회사가 연봉과 복지로서 직원들에게 답하고 있는가를 스스로 생각해봐줬으면 합니다.
"
영업/제휴,현직원,서울,2023. 10,4.0,"""정보보안 직무의 첫 직장으로 나이스함. 다양한 업무를 경험해볼 수 있음.""","
연차 사용을 윗분들 눈치보지않고 자유롭게 사용이 가능함.
","
아직 1년차라 단점은 못느꼈지만 야근 수당이 없다고 들었음.
","
복지 및 보상 제도가 조금 더 구체화되고 다양해지면 좋겠음.
"
개발,전직원,대전,2023. 10,3.0,"""보안관제 사람장사 하는회사 사내 정치가 너무 심함""","
직원 경조사 비용 잘 챙김2년 다니면서 좋았던 점 별로 없음
","
사내정치가 심하고 프로젝트 근무 직원들도 일하는 사람만 일함
","
정치질 하지 말고 능력있는 직원들 서포드 좀 잘 해주세요프로젝트에 나가서 일 하는 직원들 잘 챙겨주세요
"
개발,현직원,서울,2023. 10,2.0,"""괜찮은 사람들이 여러 있는 곳 하지만 돈은 적게 주는 곳""","
괜찮은 사람들이 여러 보임, 복지로 명절 때랑 생일 때 복지 포인트 은근 꿀임
","
월급도 짜고 일단 월급이 짠데 퇴근해야 할 떄 눈치 보는 게 너무 싫다 ㅎㅎ.
","
월급 인상 및 성과를 바라시면 그에 맞는 댓가도 충분히 지불하면 일할 맛이 나지 않을까 싶습니다.
"
개발,전직원,서울,2023. 10,1.0,"""여태껏 다닌 회사중 최악의 회사. 실무에 대해서 알지도 못하는 PM과 개발자에 대한 존중이 하나도 없음.""","
야근 및 주말 업무가 존재하여 자기발전은 할 수 있다. 월급이 제때 나온다.
","
대단하지도 않은 플랫폼과 기술을 특출난 것 마냥 포장하는 기술이 대단함. 고리타분한 윗대가리들이 꽉 틀어쥐고 있어 새로운 친구들이 성장하기가 쉽지 않다. 나가는 사람을 막으려고 가스라이팅하는 수작이 눈에 뻔히 보인다.
","
개발자에 대한 존중이 매우 부족하며 몇몇 팀장은 최악 중의 최악이다.  나이도 먹을 만큼 먹은 사람이 무슨 욕심이 그렇게 많아서 회사 바짓가랑이 붙들고 매달리고 있는 지 모르겠다. 항상 떠들던 과거의 영광은 과거이고 현실을 직시하시길..
"
개발,현직원,서울,2023. 09,1.0,"""요새는 신입들이 워러밸챙겨가며 일하기 편함. 중간부터는 윗사람눈치봐야함""","
별다른 장점 없음. 눈에띄지만않으면 그냥 조용히 워라밸챙기면서 다닐수 있는회서
","
솔루션을 개발잘해서 다시 1등자리에 올라갈생각을못하고 계속 인력장사만함 다들 자기 앞길만 생각하고 나머지 사람들을 이용해먹으려고만함
","
권력을 손에서 놓지 못할거면 제발 귀라도 열고 주변 얘기라도 좀 들어라
"
개발,전직원,대전,2023. 09,1.0,"""연봉 복지 인력 모든 방면에서 후퇴하는 회사""","
야근이 거의 없고 칼퇴가 가능하며,  사내분위기가 나쁘지 않음
","
연봉으로 인한 중간계급의 부재,  신입러쉬, 일할사람이 부족하지만 프로젝트를 자꾸 수행함
","
연봉이나 복지 등 개선이 다수 필요함
"
전문직,전직원,서울,2023. 09,3.0,"""그냥 무난무난하게 다닐수 있는 회사 시회 초년생에게 좋은곳""","
워라벨이 가능하며 본인이 열심히 할 시 능률을 올리기 쉬움
","
연봉인상률이 낮으며 연봉도 적음 복지도 그닥 포인트 말고 없음
","
연봉 인상률과 복지를 좀 더 개선 했으면 좋겠름
"
개발,현직원,서울,2023. 09,2.0,"""복지가 너무 없으며 기업이 아직 미래를 내다 본다기보다는 과거에 머물러 있는 느낌.""","
현재 사이트에선 대체로 눈치 안보고 연차가능. 사내교육 실시하고 있다. 약간의 복지 포인트를 준다.
","
소규모 기업보다 못한 상신 과정. 사이트마다 다르겠지만 보안경험이 없으면 신입이든 경력직신입이든 사람을 너무 무시하면서 알아서 해결하라는 식으로 초반엔 스트레스를 많이준다. 그러므로 매뉴얼? 기대하지마라 윗 사람 꼴리는데로 맞춰가며 해야함.
","
복지 좀 더 늘리면 좋을 것 같고, 임직원들의 교육 부분에도 투자를 하여 양성하는데 힘 쓰시면 좋겠습니다.
"
