직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
개발,전직원,서울,2023. 11,1.0,"""꿈틀하다가 이제 꿈도 희망도 보이지 않네요""","
근무강도가 약하고, 나름 시스템을 세워서 따라가려 했습니다.
","
시스템이 존재하지만, 잘 되지 않는 시스템.시니어 개발자들이 존재하지 않고, 뭘 개발 해야 하는지 기본적인 가이드 조차 없고, 지속적인 문제 제기를 해도 받아 들여지지 않는다.부실한 사업 아이템.. 이에 따른, 전반적인 매출 하락과 순이익 감소가 되었고, 무리한 사옥 이전으로 고정비가 많이 나가게 되고 결국 희망 퇴직까지 받는 상황이 됨. 이에 따라서 각종 복지 축소가 발생하고, 전반적인 분위기 침체.. 그나마 성장 가능성이 있는 b2c 사업을 다 버리고 이제 si까지 하고 있습니다. b2b 사업마져도 매출이 작고, 얼마나 더 유지 될까 싶습니다.문재가 발생 하면 개발자에 대해서 책임 전가를 위해 가스라이팅까지 발생하고, 외국인들에 의해서 굴러가는 회사라 문서도 영어 의사 소통도 영어, 이에 따라 문서화가 되지 않아 부족한 히스토리도 문재가 됨.타팀과의 의사소통도 소극적이거나 대충함.개발 완료 후 산출물 조차 없거나, 부실함. 문서대로 돼있지도 않고, 개발결과에 대한 테스트 조차 없이 전달 됨. 결국 불필요한 시간 낭비가 발생하고, 사소한거 하나 확인 하는데도 엄청난 시간이 낭비 됨.심지어 뒤에서 말도 엄청 많이 나와서, 하지도 말하지도 본인이랑 관련도 없는게 갑자기 자기가 하고 말한걸로 되어서 이상한 사람 되는 경우도 많이 봄. 인력 교체가 자주 이루어져서, 인수인계가 엄청나게 부실하고 부실한 설계와 중복된 코드등.... 총체적인 문제가 존재함.결국 전형적인 si기업이 될거 같고, 개인도 회사도 미래가 안보입니다.
","
마지막엔 있던 애정마저 다 식어서 뭐라 적을게 없네요
"
개발,전직원,서울,2023. 11,4.0,"""개발 직군이고 전문성을 키우고싶은 주니어에게 좋은 회사""","
6시가 지나면 저녁비도 챙겨주고, 야근이 잦진 않지만 하게되더라도 확실히 챙겨줌
","
프로세스가 부족하고 다른 팀의 요청으로 업무를 하게 되는 경우가 많음
","
몇몇 C레벨 분들은 부하직원을 하대하는 경우가 있는데 상호 존중이 필요한것 같습니다.
"
마케팅/시장조사,현직원,서울,2023. 10,1.0,"""예비유니콘은 그냥 이름뿐인 스타트업.""","
회사 위치 말고는 좋은 점이 없는 듯해요.역삼역에서 가까워요.
","
예비유니콘이라는 말에 속지마세요.정말 이름뿐이고 회사 기술개발도 제자리 걸음..사장은 직원알기를 노예쯤으로 알고언제든지 맘에 안들면 내보내요,회사의 비전도 목표도 없고 몇년동안 방향성이 없는 듯 합니다.
","
사장님 사람 귀한 줄 아셔야 할 것 같아요.사람을 잃으면 회사의 미래도 없습니다.
"
개발,현직원,서울,2023. 10,3.0,"""다양한 분야를 경험해볼 수 있는 환경. 첫 회사로는 나쁘지 않다.""","
워라벨 좋음개발자들은 수평적 문화, 다른 곳은 모르겠음.
","
회사의 비전이 명확하지 않음. 장기적으로 진행되는 프로젝트가 잘 없음.이직률은 높은데 기술의 문서화가 잘 되지 않아서 인수인계가 잘 안됨.
","
제품 문제가 생기면 타겟 고객을 바꾸기 보단 본질에 집중해서 해결하려는 의지가 있었으면 좋겠음.
"
마케팅/시장조사,전직원,서울,2023. 09,3.0,"""변화가 주기적으로 일어나고 있는 빠른 속도의 회사.""","
워라밸 나쁘지 않다. 간식도 제공되고 점심식사 수당도 지급된다.
","
직원들과 고객들의 피드백에 고려하지 않다. 데이터 증거 없이 결정한다.
","
직원들의 불만을 듣는 것이 좋을 것입니다.
"
미디어/홍보,현직원,서울,2023. 09,3.0,"""일반적은 인하우스 회사. 근무환경은 나름 편한것같아요.""","
워라벨을 지킬수있는 회사여서 그건 장점인것같아요. 근무 환경도 사람들은 좋음.
","
근무 환경도 사람들도 다 좋은데 작은 회사여서 그런지 업엔다운이 좀 있어서 좀 불안함.
","
직원들 복지가 좀 잘 갖추어지면 더 좋을것같음.
"
미디어/홍보,현직원,서울,2023. 09,1.0,"""불과 3개월 앞도 내다보지 못하고, 데이터가 아닌 고집과 아집으로 중대결정을 내리는 무능한 경영진때문에 벼랑끝에 선 회사""","
수평적인 커뮤니케이션으로 함께 일하는 사람들 간의 협업이 매우 원활함. 정치질이나 파벌없이 선한 사람들이 모여있음.
","
경영진이 회사 경영에 있어 문제점을 제대로 파악하지도 못하며 중간관리자들의 의견은 받아들일 생각도 없고 원하는 대답이 나올때까지 여러 사람을 찔러 보고 그래도 원하는 대답이 나오지 않을 경우 대책없는 결정을 내리고 그대로 밀어부침.경영진이 무능하다보니 중장기 플랜은 커녕 한두달 앞도 내다보지 못하고 의사결정 번복을 밥먹듯이 해 직원들의 사기를 무참히 떨어뜨림향후 회사가 나아갈 방향과 비전을 제시하지 못하고 일방적인 믿음과 희생을 강요함.이 회사 채용공고가 보인다면 꼭 스루 하길 바랍니다.
","
회사에는 여러 직원들의 생계가 달려있습니다. 수십여명의 인생을 나락으로 떨어뜨리는 무책임한 결정을 너무도 쉽게 내렸다는걸 아시는지 모르겠습니다. 지금의 결정이 언젠가 본인들에게 업보로 돌아올 거라는 것도 염두에 두시길 바랍니다.
"
마케팅/시장조사,현직원,서울,2023. 09,1.0,"""최악의 경영진의 번복되는 의사결정으로 인해 회사의 전략이 손바닥 뒤집듯이 바뀌고 잘못된 회사 경영의 책임이 직원들에게 전가되는 곳""","
훌륭한 동료들과 화기애애한 회사 분위기정시 칼퇴가 보장된 곳역삼역 도보5분이라는 좋은 회사 위치
","
훌륭한 직원들을 제대로 활용하지 못하는 경영진의 잘못된 경영정체된 신제품 개발과 미래 비전에 대한 공유가 없음경영진의 잘못된 의사결정으로 직원들에게 책임전가단기, 장기계획 없이 인재채용으로 이제와서 인건비탓하며 인건비 줄이려 애씀
","
매우 단기적이고 좁은 시각으로 의사결정을 하는 것이 아닌 중장기적인 시각에서 전문적인 의사결정이 필요할 것으로 보임. 이런 식으로 계속 회사 경영한다며 회사의 미래는 없을 것.
"
개발,현직원,서울,2023. 09,5.0,"""스타트업을 경험할 사람이라면 오기 좋은 회사입니다.""","
스타트업에 합류하시는분들을 보면 스타트업으로 성장과 발전을 경험하고 싶어하는 분들이 많을겁니다. 사실 저도 마찬가지였고요. 자유로운 분위기, 역동적인 조직문화는 쓰리아이의 큰 장점입니다. 도전 해보고 싶은 것들도 많이 열려 있는 회사라 좋습니다.발전하고 싶은 분들이라면 추천드립니다.
","
급여, 복지가 아무래도 스타트업의 한계를 극복하지 못한 듯 싶네요.하지만 아주 나쁘진 않습니다.체계를 잡아가는 중 인듯 싶네요.그리고 남탓하는 직원들도 좀 보입니다.
","
남탓 , 본인 능력도 안되는 사람들 빨리 조치좀 부탁드립니다.그래야 회사가 발전 할 것 같습니다 솔직히.
"
개발,현직원,서울,2023. 09,1.0,"""매우 좋고 분위기가 좋습니다 . 위치도 나쁘지 않고 다양한 국적의 직원이 있습니다.""","
근무지 서울, 스낵바, 점심비 일부 지원, 역삼역에서 도보 5분거리, 화기애애한 분위기
","
경영진의 무책임함이 있지만 다들 열심히 일을한다. 일부 인원들은 놀러오는지 회사에 오는건지 모르겠다.
","
직원들도 잘 챙겨주고 생각해주세요. 열심히 일하는 직원들도 많습니다.
"
