직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
기획/경영,전직원,서울,,3.0,"""힘내라 케이뱅크! 은행이지만 그나마 자유로운 분위기에 역량있는 구성원.""","
더이상 떨어질 곳은 없다. 위로 올라갈 일만 남았다. 다들 힘내는 분위기만 이어진다면 언젠가는?
","
너무 빠르게 은행스러워진 분위기와 의사결정 방식. 다른 인터넷전문은행에서 이제 배워야 할 듯
","
책임을 직원들이 지게하면 결국 발전은 없습니다. 실패하는게 당연한 상황인데 덜덜 떨게하지 마세요.
"
기획/경영,전직원,서울,,4.0,"""워라벨이 좋고 기업문화가 좋다. 직원들도 대부분 나이스하다. 계약직 외 정규직의 연봉이 높다.""","
수평적 분위기, 연차를 자유롭게 쓸 수 있다. 근무환경이 쾌적하고 팀 분위기가 좋다. 자유로운 분위기에서 근무하고 성과에 대한 보상이 좋다.
","
Kt스타일의 문화가 남아있어서 보고 체계가 복잡하고 쓸데없는 보고서를 써야한다. 인터넷은행으로서 발전가능성에 대한 의문이 있다.
","
인터넷전문은행의 장기 발전 계획을 체계적으로 짜서 알려주면 좋을듯 보고 체계 완화가 필요함
"
영업/제휴,전직원,서울,,4.0,"""은행이지만 아이티회사같은 분위기와사람들이 괜찮은회사였습니다.""","
수평적인 업무, 근무환경일하기도 나름 괜찮았습니다.
","
복지가 더 다양했으면좋겠습니다.연금지원, 성과급등 복지가 다소부족
","
현재는 과거하고다르게 마케팅이나 사업영역을 확장하고 전보다 더 나아진것같아서 좋네요
"
서비스/고객지원,전직원,서울,2023. 11,2.0,"""정치질과 고인물들의 콜라보가 넘쳐나는 곳""","
복지포인트, 구내식당, 좋은 시설 굳이 작성하자면 이뿐이네요.
","
정규직이 되고싶어하는 계약직들의 정치질과 새치혀.. 추하게 살고 싶지 않아서 퇴사합니다. 어느 회사를 다녀도 이런 곳은 처음이네요.- 급여 업계 최저 수준- 계약직 정규직 전환되어도 급여 짭니다 무기계약수준.- 배울 점이 없습니다.
","
보여주기식의 체계 말고 진정으로 회사가 발전할 수 있게 개선해 주세요.
"
서비스/고객지원,전직원,서울,2023. 10,2.0,"""무능력한 윗사람들로 점점 퇴행하는 중소기업""","
야망없이 편하게다니기 좋음힙지로에 위치해 카페가 많음
","
멍청하고 이기적인 사람들이 오래해먹는 케이스인터넷은행이나 전산도 제일 구리고 중소기업보다 못함. 모든 부서에 사람이 부족함
","
임원들만 갈아치우면 분위기가 나름 바뀌지않을까?싶지만 이미 퇴행하고있어 바랄게없다.
"
개발,현직원,서울,2023. 10,2.0,"""워라밸만좋고체계도없는회사막무가내회사후퇴히는회사더좋은회사이직할기회있으면 떠날예정입니다""","
워라밸은 좋음 우수한인력과 같이일함지하철역 가까움이거외에 떠오르는 좋은점이없음
","
체계가없다주먹구구식진행임원부터 문제인사팀은 문화를 바꾼다바꾼다 말만하지 실제하지않음 포기함발전할수있을까
","
경영진의 독단적 행동에 이렇게되는거 같습니다모든 이슈들에 답을정해놓고 진행하는....직원들이왜퇴사하는지 고민해야합니다
"
개발,현직원,서울,2023. 10,3.0,"""나쁘지는않은회사 다만 좋지도 않은회사. 워라밸은 어느정도 보장됨""","
부바부이나 연차를 눈치보지않고사용가능. 업무강도에비해 연봉이 나쁘지않다
","
엔지니어로 성장하기원한다면 좋지않은회사. 리더십의방향성이 불명확하고 일을위한일이 너무많다.
","
조직문화라는걸 말로만만들것이아니라 구체적인 실행을해주셨음좋겠습니다
"
서비스/고객지원,현직원,서울,2023. 09,2.0,"""발전이 없는 회사 씨이오, 임원이 최악이다""","
사내동호회가 좋다매점이 저렴하다더는 없다 쓸말이 없다
","
단점이 너무 많아 뭐부터 써야할지 모를정도..업무를 전혀 모르는 팀장, 무능력한 임원 등등 쓸데없는 업무가 많다 업무과부하 부바부지만 워라밸조차 안좋아짐포괄임금제
","
바랄것도 없고 기대도 안함 퇴사하는게 현명함
"
금융/재무,현직원,서울,2023. 09,3.0,"""일은 편하지만 발전이 없는 회사업무에 스트레스 안받고 일하기는 좋은 회사""","
연차 사용이 자유로우며 워라벨이 좋다눈치 안보고 일할 수 있다자기 일만 열심히 하면 문제 없다위치가 좋다
","
적은 연봉과 점점 사람을 뽑아주지 않는다연봉 불만이 엄청 많다업무량은 많고 체계가 없다복지도 없다ㅜ
","
연봉이랑 복지 개선 해주세요업무량이 않은 부서 추가 인원 채용 해주세요
"
개발,전직원,서울,2023. 08,5.0,"""의사결정이 빠르나 인터넷은행간 경쟁에선 밀린 상황.""","
연차 사용 자유롭고 회사 내 분위기가 좋아요건물도 깔끔하고 주변 을지로의 장점도 많습니다.
","
동종업계 다른 회사들에 밀리는게 안타까워요.경영진과 형식적인 소통만 하고 그 외에는 잘 안되는 것 같아요.
","
이 분위기로 계속 갈 수 있으면 좋을 것 같아요
"
