직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
엔지니어링,현직원,경기,2023. 09,3.0,"""복지가 없고 워라벨은 다른회사보다 좋은것 같지만 그에맞게 연봉이 적음""","
야근식대 제공되고 연차 사용할수있고 정수기가있음 안춥고 안덥다
","
회사에 높은 사람들은 뭐하는지 모르겠음 급여도 가끔 밀림
","
욕심내지 말고 직원들을 소중하게 생각하고 더더욱 소중하게 생각하기
"
엔지니어링,전직원,경기,2023. 04,3.0,"""사내 분위기가 자유롭다. 상호존중의 분위기가 잘 형성되어있다.""","
사람들의 대체적으로 좋고 적응을 잘 할 수 있도록 도와준다.
","
업종의 특성상 야근은 있었다. 부바부 사바사 의 성향이 강하다.
","
직원들의 불편사항을 잘 들어주면 좋겠다. 복지의 측면이 많이 개선 되길 바랍니다.
"
엔지니어링,전직원,서울,2022. 12,3.0,"""처음 입사하여 경력쌓기 좋다고 생각하는 회사.""","
점점 발전하는 회사. 복지도 개선되고있으며 연봉도 인상할 계획. 워라벨 좋음.
","
단점은 딱히 없지만 굳이 뽑자면 고인물들이 존재함.업계 특성상 수직적인 부서가 있음.
","
지금처럼 발전해서 직원들과 성장하는 회사로 나아갔으면함.
"
엔지니어링,현직원,경기,2022. 10,3.0,"""좋게변해가려고노력하지만가업자체가작아 일이많이없습니다..""","
자기계발기회가있으며 복지를 키우려고한다 다양한 의견반영
","
중간다리사람들이많이없고기업이작아 일 수주가 많지않습니다
","
수주를 잘하고 현재 있는사람들을 아낄줄알아야한다고생각합니다
"
기획/경영,현직원,경기,2022. 10,5.0,"""사내 분위기가 좋은 발전하는 회사 나쁘지 않은것 같다.""","
다양한 동호회 운영, 좋은 사내 분위기, 마일리지 제도, 첫 직장이면 배울 것 이 있다
","
아직 까지는 큰 단점은 느끼거나 발견하지 못하였다. 식비 지원이 조금 아쉽다?
","
빠른 시일내에 중견 기업으로 성장 하기를 바라겠습니다.
"
서비스/고객지원,전직원,경기,2022. 10,1.0,"""매일 성장하는 회사, 자유롭고 존중받는 분위기를 가진 회사, 수평적 조직문화, 배울점이 많은 회사""","
시차출퇴근제, 매달 마지막주 금요일 워라밸데이로 16시 퇴근-직원들을 존중해줌
","
딱히 단점은 없음 굳이 뽑자면 ....겨울에 좀 추운거????
","
신세대적인 마인드가 좋았다 옛날 마인드가 아니다
"
엔지니어링,현직원,경기,2022. 07,4.0,"""첫 사회생활로 입사한 곳인데 생각보다 나쁘지 않음""","
크지도 작지도 않은 회사라서 첫 사회생활로 경험하기 적당하고 괜찮다고 생각함
","
복지에 신경을 쓰는것 같으나 다른 중소기업에 비해서 좋은점도 있느만 아직 부족한 복지가 많음
","
복지가 나쁘지는 않으나 직원복지에 조금만 더 개선을 하면 정말 최고의 기업이 될 수 있을것 같습니다.
"
엔지니어링,현직원,경기,2022. 07,5.0,"""비지니스의 성장과 혁신을 선도하는 엔지니어링, 시공, 개발 회사.""","
엔지니어링, 시공, 개발 전문가들이 땀과 노력으로 조성된  가족적인 문화.
","
야근이 많고 힘들다고 하는 산업에 대한 일반인들의 선입견.
","
신뢰와 구성원에게 위임으로 지속적인 성장의 여정으로 이끌어주기.
"
엔지니어링,현직원,경기,2022. 05,4.0,"""기업 사내문화는 정말 좋음. 남자들끼리 모여있는 건설업이지만 대표이사 마인드가 젊은 마인드라  어거지 야근같은건 없음""","
워라벨 신경써주려고 노력중. 본부 부서별로 분위기 상이함. 분위기 거지같은 부서 들어가면눈치성 야근에 점심도 빨리못먹음. 그래도 대표이사 마인드가 밝아서 임원급들이 꼰대짓을극악적으로는 못하게 되있음.
","
야근수당 없음, 연차쓰기 눈치보임, 너무 고령화회사임 개나 소나 임원. 역 피라미드 구조꼰대들이 너무 많음. 50~60대 임원들 다 정리하고 실무진 투입해야함
","
설계회사에서 건설, 개발사업으로 회사가 전환되가고 있음. 부디 최초 회사가 무엇이었는지신경을 써주었으면 좋겠음.
"
엔지니어링,전직원,경기,2022. 05,1.0,"""현장직이라 여러사람이작성한 본사이야기글을 보니 그저 부러울뿐이고, 배부른 소리 같기도 하다. 대부분 현장의 직원들은 다른회사에서 이직해온 사람들인데 서로 입지 넓혀두려고 견제하느라 일반 회사보다는 정신이 썩어빠진 사람들이 다수, 그만큼 아래사람은 성장 할 수 없는 구조이며 잡부인생만 살 수도있겠다 생각하고 빠져나왔음. 안알려주는 문화가 신입사원에게 혹독한 훈련이라 하는 미친생각이 다들 박혀있어서 정말 잡부인생만 살다옴다른 회사이직해서 같은시간 근무해본 결과 성장 차이가 너무 차이나서 그시간이 너무 아깝다 생각하고있음. 신입으로는 절대 비추하고 싶다.""","
면접비 줍니다, 본사라 그런지 다르긴 하네요, 숙소제공해줍니다(방3개 아파트에서 6명이서 몰아서 살아요 관리직인데^^ 경리에 눈팔려서 경리여자는 오피스텔 잡아줌 ^^*)
","
실행소장밑에 그 밑에 꽉막힌 아재들,, 매너1도없는 자기 자신은 꼰대라 자칭하는 공무, 어찌해야합니까 그래서 퇴사했네요월급도 두달 밀린적 있어요그리고 하나더. 진짜 일부러 안알려줍니다 자기일 뺏길까봐랄까,하나더, 연차 절대못씁니다. 우린 연차없다고 세뇌시킵니다(현장직) 본사에서 연차사용일지정통보 보내는데 그날 못쉽니다. 끝
","
실행소장 말 안해도 아실텐데 그 팀 진짜 최악입니다횡령은 기본인거 아실테고 알아서 조사해보세요 공무하는사람 3억 만들었다는데;퇴사하는것도 억울했지만 사직서 작성할때 왜 실행소장 결재를 받아서 거짓말을 써야했는지 지금생각하면 어이가없네요;본사사람들도 나를 안좋은사람으로 기억하겠죠;성장하려는 모습이 좋으면서도 한편으로는 안타깝습니다
"
