직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
디자인,전직원,서울,2023. 08,3.0,"""업무 강도가 높습니다. 복지는 좋은편이나 열정이 없으면 적응하기 힘들거 같습니다.""","
복지는 좋은편에 속합니다. 점심식대, 복지몰, 헬스지원 등 직원 복지에 신경을 많이 쓰는 편.
","
업무 강도가 다른 브랜드에 비해 높습니다. 매출도 높아지는 만큼 업무 강도도 높아져서 이쪽 일에 열정이 없다면 적응하기 힘든 환경입니다.
","
앞으로도 지금처럼 복지에 신경 써주시면 좋을거 같습니다.
"
유통/무역,전직원,서울,2023. 08,2.0,"""빠르게 성장했지만 그만큼 안에서 곪아가는 회사""","
연령대가 어리고 직원 복지에는 돈을 안 아낌 성수동에 있어서 맛집 많음간식이 많음
","
한 명이 사무실 분위기를 좌지우지함야근 안 하면 일 못하는 사람사근사근 안 따르면 싫어함주말이건 밤이건 할거없이 메신저함
","
직원은 소모품이 아닌걸언제쯤 깨달으실 예정인지 궁금합니다
"
디자인,전직원,서울,2023. 06,3.0,"""꽤 다양한 복지와 임원진이 진두지휘로 이끌어나가는 회사.""","
식대 지원, 야근 식대 지원, 탕비실 간식 항상 다양하게 채워져있음, 의류 쪽 희망하면 배우며 성장하기 좋은 회사. 대표님 마인드가 젊고 직원들 챙기려는 모습이 좋음
","
체계가 잡히지 않아 업무 시스템이 중구난방, 한사람에게 일이 몰려도 아무도 신경 안쓰는..업무 강도 대비 월급이 적음, 시즌 전후로 야근이 잦음
","
회사에 대한 업무 체계가 확실히 잡히면 좋겠습니다.
"
디자인,전직원,서울,2023. 06,2.0,"""위에 두분의 마음에들어야 편하게 다닐수 있는회사 그렇지 않다면 팽 당할수도 반대로 맘에 들어한다면 맘편히 다닐 회사""","
두분의 인정을 받게된다면 편하게 다닐 회사입니다 매출도 매년 늘고있는것으로 알고있고 복지는 패션회사치고는 좋은편입니다,
","
입사나 퇴사가 잦은편이고 그이유는 입사한 사람마다 다르고보통 권위적으로 군림하는 것에 대한 압박감을 받고 야근을 안한다면 열정이 없는 직원으로 낙인이 찍힐수도 있습니다
","
무작정 오래 앉아있는다고 일잘하는 직원이나 애사심이 있는 직원이 아닙니다 패션회사 답게 직장문화 또한 트렌드에 맞춰나갔으면 좋겠습니다.
"
디자인,전직원,서울,2023. 06,4.0,"""무신사 타겟 최적화된 기업으로 생각합니다. 디자이너로써 포트폴리오 쌓기 좋은 회사""","
복지에 상당부분 노력하고 돈을 아끼지 않는 경영을 하시며 소통하는것에 노력함.
","
노력하는 자에게 많은 혜택과 기회를 열어 주는것은 맞으나 쌓은 공에 비례하는지는 의심해볼 필요가 있음.
","
어느 누구도 회사 브랜딩에 대하여 높게 평가 하는 사람이 없음. 이것은 가성비에 중요시 하기 때문에 놓치는 부분이다 라기 보단 다른 문제점을 고민해볼 필요가 있습니다. 쉽게 이해보자면 어느 커뮤니티에 회사 브랜드 검색해보면 기가 막히게 브랜드 찬양글 은 하나도 없고 시딩나갔던 리뷰 글, 광고 글 밖에 없단걸 보셨으면 좋겠습니다.
"
영업/제휴,전직원,서울,2023. 03,1.0,"""체계없고 비효율적인 전형적인 중소 스타트업""","
식대 20만원 줌(식권대장으로 줘서 쓸수있는 곳 많지않음)시차출퇴근(회사 도착시간이 출근시간이 아닌 월말에 익월 출근시간을 정해서 출근하는 방식임)사람들이 젊어서 의사소통하기 쉽다간식줌,복지포인트
","
장점 외 모든것이 단점. 스타트업이라 체계없고 업무도 비효율적. 시스템 만들 고급 인력 데려올 생각은 안하고 사람으로 떼우려고 함. 야근 많이 하면 일 잘하는줄 안다. 특정 인물들의 마이크로매니징이 심하고, 의견이 합리적이지 않음. 퇴사가 잦아 절반이 수습사원이고 경력 입사도 수습급여 적용. 원수가 간다고 해도 한번쯤 말려볼 회사.
","
없습니다. 사람들 계속 퇴사하는데 바뀔거면 진작에 바뀌었겠죠.
"
디자인,전직원,서울,2023. 02,1.0,"""모든게 대표, 이사 뜻대로 매우 비합리적,비효율적""","
점심 식비, 자유로운 연차사용, 간식특정적인 빌런이 있어서 단합하기쉬움.회식에 돈안아낌
","
야근해야 일 잘하고 일 많이 하는줄 안다.시간개념이 없음모든게 대표,이사 마음대로 매우 비합리적이고 생각하는게 방향이 별로라 따르고 싶은 마음이 안듬.본인 말 잘따르는 몇명만 챙김직급, 연봉체계 하나도없는듯함..
","
지금처럼 본인 생각들이 전부 맞다고 생각한다면오래못갈듯 합니다~
"
디자인,전직원,서울,2023. 01,3.0,"""발전을 하려는게 눈에보여 하고자 하는사람에게는 좋은회사이나 그렇지 않은사람에게는 힘든곳""","
패션업계치고 복지가 굉장히 좋은편, 간식. 건강검진 등 금융치료
","
회사가 발전을 앞세우다보니 업무강도가 빡세고 야근이잦음
","
경영진은 회사의 발전이 우선이기에 앞만보고 가는것도 좋으나 가끔씩 직원들을 돌아보는것도 좋은거같음
"
영업/제휴,전직원,서울,2022. 11,5.0,"""1. 성장과 비전에 있어서는 확실한 기업2. 하고자 하는 의지가 있으면 엄청나게 서포트 해줌3. 규모대비 복지가 상당함4. 업무 에러사항에 대해 귀를 많이 기울여줌""","
1. 회사 규모 대비 복지가 상당히 좋은 편[휴가비/건강검진/인센/포상/복지몰/적립금 등]2. 임직원을 위해서 해외 워크샵 등 지원을 절대 아끼지 않음3. 임직원 대다수가 좋은 역량을 가지고 있어서 따라만가도 웬만한 하이패스 저리가라 수준[케바케로 조금 힘들 수는 있음]4. 하고자 하는 의지가 있으면 회사에서 적극적으로 서포트 해줌[정말 중요하다고 생각함]5. 빠르게 성장하고 있는 회사인만큼 업계에서 주목받고 있다는걸 느낄 수 있음[동기부여]6. 자율복장에 모두 편하게 소통하는 분위기 형성
","
1. 빠르게 성장하고 있는 회사인만큼 스스로 노력하지 않으면 본인이 뒤쳐지고 있다는 걸 느낌2. 끊임없이 노력하고 성장할 자신이 없으면 이 회사는 본인과 맞지 않을 수 있음
","
개인적인 문제로 퇴사를 했지만 가끔 생각나는 회사 입니다. 사람을 제일 중요시 했던 회사인만큼 계속 초심잃지 않고 고속 성장하시길 바랍니다.
"
기획/경영,전직원,서울,2022. 10,3.0,"""정말  근성있고 실수안할 자신있으면 다닐만함  머리좋은 사람추천""","
복지 괜찮음  직원들 끼리 화합 괜찮음  여러가지 금융치료들이 많음 사무실 쾌적함
","
일적인 부분에 스트레스 없을수없음 가끔 업무보다보면 한숨나옴
","
초심이 퇴색되지 않도록 사람이 떠나지 않도록 해주세요
"
