직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
개발,현직원,경기,2023. 06,4.0,"""여러모로 평균이상은 해주는 회사.좋은 사람들이 많은편입니다""","
적당히 잘주는편인 연봉, 시간제로 사용가능한 휴가, 사람들에 치이는 일이 잘안생긴다
","
비효율적인 과정이 좀 있는편이고 은근히 보수적인 분위기 눈치보는 분위기 존재
","
경영진은 잘하고계신것같다고 생각합니다 수직적인면을 아직 못겪어봐서..
"
디자인,전직원,서울,2023. 01,5.0,"""기본적인걸 잘 지켜주는 회사 여러가지 기회를 주는 회사 좀 공무원 느낌도 나긴함.이런 저런 소소한 복지를 잘 챙겨주려고 노력함.""","
연차 편하게 사용 수평적 구조 , 소소한 신경써서 해주는 복지를 챙겨줌강압적인 분위기 없음.
","
수평적 구조가 단점이자 장점 신입들이 할 말 안 할 말 다함. 좀 고여 있는 느낌이 있음.
","
수평적 구조도 좋지만 모두 수평적 구조는 고쳐야 할거 같음. 도전하는 방향도 좀 모색해 줬으면..
"
기획/경영,전직원,경기,2022. 07,4.0,"""다양하게 활동을 하려는 기업. 사원복지에도 신경을 많이 씀. 사람들이 정말 좋음""","
사람들때문에 다닌다고 이야기 할 정도로 정말 좋습니다.
","
발전이 다소 미약할 수 있음. 지금 하고 있는 일들이 향후 큰 도움이 되기를...
","
신규 사업에 적극 투자 하는데 게임 개발도 조금 봐주셨으면 좋겠다.
"
개발,현직원,경기,2022. 06,3.0,"""스스로 성장하려면 업무 외 공부나 사이드 프로젝트를 통해 자기계발을 끊임없이 해야함""","
월요일 오후 출근 /자유로운 연차사용 /스낵바 /건물 환경 /나름 괜찮은 복지
","
신작 게임의 다양성 부재 , 점심 식대가 나오지 않음 /
","
고인물과 주니어들만 남지말고 미들급 사원들이 많아졌으면 좋겠네요
"
개발,전직원,경기,2022. 05,1.0,"""잡플래닛 관리하는 회사 .. 비전이 있었나요 이회사에..""","
연차 눈치 안보고 쓸 수 있음깨끗한 업무 환경매일 주는 간식맛있는 커피
","
무너져 가는 회사.. 게임도 망하고 사람들도 다 떠나감나또한 마찬가지
","
......제발.... 무능의 극치..............
"
기획/경영,전직원,경기,2022. 05,4.0,"""회사에서 제공하는 복지들과 친절한 동료들의 관계가 매우 좋음""","
윗사람 눈치 안보고 휴가 사용가능 4.5일제점심시간 1시간 반무엇보다 대표님을 믿고 가는 회사
","
업무 체계화 부족, 각 팀 헤드들간의 소통은 되는 건가 싶음계열사가 너무 많음
","
매우 좋은 회사이나 직접적인 소통이 부족했던 것 같습니다.
"
기획/경영,현직원,경기,2022. 05,5.0,"""메타버스, 블록체인 등의 괜찮은 서비스 활용의 비젼 있는 카카오계열사""","
자율과 책임이 확실하고 야근이 없는 회사. 카카오 계열사라 그런지 복리후생도 괜찮고 매주 월요일 2시 출근이 최대 장점
","
전체적인 사업방향성의 공유가 안 되고 부서별 프로젝트 커뮤니케이션이 어려움
","
사업의 방향성에 대한 이야기를 나누는 자리가 있으면 좋겠음
"
개발,현직원,경기,2022. 03,1.0,"""곧 망할거같은 회사 . 카카오게임즈가 준 돈으로 버티고 있는 회사""","
점심시간이 한시간 반 월요일 두시 출근조식 스낵바 커피 공짜
","
커리어에 독이되는 회사식대지원 없고 복지가 없음야근 많음 현재 만들고 있는 게임이 망해감그마저도 대표조차 제대로 살려보고자 하는 욕망이 없음개발 실력자들은 이미 나가고 없음갈데 없는 사람만 모여있음
","
회사는 모두가 함께 만들어 가는 것이지 대표 소유가 아닙니다.
"
개발,전직원,경기,2022. 03,1.0,"""게임개발을 기대했다면 착각. 여기는 투자회사""","
연차 자유롭게 쓸수 있음월요일 2시 출근야근 왠만하면 없음스낵바 있음
","
고인물 아니면 신입인데 고인물에서 배울게 없음개발다운 개발을 진행하지 않음자사 게임개발에 집중하기보다 다른 게임개발사에 투자하는 전략비싼 분당물가에도 식대지원하지 않는 유일한 회사
","
회사는 커가는데 직원들이 피부로 느끼는 바는 없음회사와 직원간 커뮤니케이션이 부족함
"
개발,전직원,경기,2022. 02,4.0,"""완벽한 워라벨과 착하고 순한 동료들이 있는 곳입니다.""","
워라벨 보장, 자유로운 분위기, 착한 협조적인 동료, 보기드문 선한 CEO
","
취약한 개발 역량, 어쩌면 관심이 없는 것 같은 느낌, 커리어가 후퇴하는 느낌
","
좋은 구성원으로 넘치는 곳이라 정체되어 있는 모습이 너무 안타깝습니다.
"
기획/경영,전직원,경기,2022. 02,4.0,"""카카오 계열사지만 내부는 중소기업에 머물로있음""","
월요일 2시출근으로 4.5일 근무, 수평적인 분위기, 좋은 동료들, 간식코너, 기업 규모치고 괜찮은 연봉, 야근식비/택시비 지원
","
체계가 없음, 게임개발에 적극적이지 않음, 점심 식대를 지원해주지 않음, 보너스 상여금 없음
","
신규게임 개발에 힘써야될 것 같음 현재 있는 게임으로는 미래가 어둡다고 생각함
"
