직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
기획/경영,현직원,서울,2022. 02,5.0,"""성장 가능성이 높은 사업모델, 개인의 경험도 쌓을 수 있는 자율적인 업무 환경을 가진 회사.""","
유연근무제로 출근시간을 자유롭게 결정, 법으로 지정된 연차 이외에 추가로 10일 이상의 휴가가 제공됨.수평적 기업문화.본인의 업무는 자율적으로 업무 수행이 가능하여 성취감이 높음.
","
스스로 일정관리나 업무관리를 하지 못하는 사람에게는 비추천.스타트업으로 개인에게 부여되는 책임감의 강도가 높음.
","
회사의 가치를 적극적으로 알리고, 인재 영입도 더 적극적으로 하면 좋겠다.
"
데이터,전직원,서울,2022. 01,4.0,"""기업 문화는 수평적이고 자율적임. 문화적으로 일하기에 문제 없다. 그러나 스타트업이기에 업무량이 많다.""","
기업 문화가 좋으며, 인간 관계로 문제될 일이 거의 없다. 개발자로서 성잘할 수 있는 거대한 인프라 시스템이 존재한다.
","
복지가 부족하다. 업무가 체계적이지 못하다. 비규칙적이며 일시적인 업무가 자주 발생한다.
","
체계적인 업무 관리가 반드시 필요하다.
"
디자인,현직원,서울,2022. 01,4.0,"""기술 회사이고 대표도 개발자 출신이라 개발자 대우가 좋고 커리어 측면에서도 매력적인 제품을 보유한 기업.""","
조용하지만 자유롭고 편한 분위기.모두 '님' 호칭을 사용하며 수평적인 문화.직급이나 직책에 상관 없이 자기 의견을 말할 수 있는 문화.넉넉한 휴가와 좋은 동료들.
","
아직 체계적인 업무 프로세스가 자리 잡히지 않음.인원이 부족해 담당자가 없거나 애매한 업무를 원치 않더라도 누군가는 해야 함.적은 인원임에도 부서간, 구성원간의 소통이 부족함.
","
직원들의 목소리에 좀 더 귀 기울여 주면 좋겠습니다.
"
기획/경영,현직원,서울,2022. 01,4.0,"""시행착오가 많고, 더디지만 발전하고 있는 스타트업""","
1. 회사에 과분할 정도로 좋은 사람들이 많음2. 업무 외적인 스트레스는 크게 없는 것 같음30자 채우기 너무 어려움
","
1. 계획적으로 일하는 역량이 미흡함2. 규모가 작아 한 사람이 커버해야 하는 일의 범위가 넓은편임30자 채우기 너무 어려움
","
열심히 공부하고 발전하는, ""솔선""의 경영진을 희망합니다.
"
마케팅/시장조사,현직원,서울,2022. 01,4.0,"""내 아이디어가 성장의 원동력으로 작용하는 곳. 수평적 리더십으로 누구나 리더가 될 수 있는 곳. 기계적인 일처리에서 벗어나 내가 하는 일의 의미를 찾아가고 싶은 분에게 추천.""","
자율 출근제(8:30~10:30), 연차 말고 10일의 리프레시 휴가가 더 있음(총 휴가 22일), 자기개발을 위한 도서 구매를 지원함, 세미나 같은 교육 목적의 행사도 지원함, 따릉이 정기권을 지원함(겨울은 추워서 못타는데도 지원해줌), 어린이날과 크리스마스 선물을 회사에서 지급함(동심 챙길 수 있음), 전동 스텐딩 책상을 지원함, 반대 의견을 내고 듣는 데에 익숙한 사람들이 모여 있음. 다양한 복지제도를 눈치 안보고 진짜 다 이용할 수 있음.
","
상대적으로 작은 조직이다보니, 한 사람이 감당해야 하는 무게가 크게 느껴질 수 있음. 그렇기 때문에 책임감으로 인한 자발적 야근이 종종 발생함
","
각 본부 간의 상황을 서로가 인지하고, 같은 방향으로 함께 나아가고 있다는 느낌을 더 받았으면 좋겠음. 그래도 점점 나아지고 있는 것 같음.
"
개발,전직원,서울,2023. 09,3.0,"""직원에게 거짓말 하는 회사게임 출시에 대한 기준이 들쭉날쭉""","
복지가 좋음퇴근이나 휴가가 자유로음게임 개발을 위한 여러 가지 복지도 진행함연말에 다같이 쉬는 날이 있음데이터를 기준으로 결정함
","
직원에게 거짓말을 함결과의 투명성은 있으나 과정;의 투명성은 없음직원 관리가 안됨문제 해결에 공정함이 없음믿고 싶은 말만 믿음회사의 문제는 모두가, 개인의 문제는 개인이 짊어짐
","
일단 얘기하고 이후에 말이 바뀌는 것들이 없어졌으면 좋겠습니다.
"
개발,현직원,서울,2023. 05,1.0,"""블라인드에서는 3점대까지 떨어진회사. 5점을 받아서는 안되는 회사.""","
연차 자유대표님이 착함무제한 간식침대있음30분 단위의 연차
","
사람위에 기업이 있는 회사사람에 대한 존중 없음회사 소개에 적혀있는 내용 맞는거 하나도 없음
","
사람을 뽑을게 아니라 있는 사람들이나 더 잘 관리하세요어차피 뽑아놓고 사람 방치할껀데 왜 뽑는지 전혀 모르겠네요
"
개발,현직원,서울,2023. 02,5.0,"""연봉, 복지, 인간미 대기업 빰치는 개발사""","
같이 일하는 사람들이 모나지 않고 성격이 좋음 / 경력직으로 많이 채워짐 / 게임에 진심인 사람들이 많음 / 자유로운 연차 사용 / 무제한 간식 / 도서 강의 지원 / 건강검진 / 육아지원
","
한명의 역할이 크다보니 업무량이 많다. 정말로 개발을 좋아하면 최적의 환경
","
한명 한명 챙기는데 힘들텐데 계속 힘써주세요
"
개발,현직원,서울,2022. 04,5.0,"""소위 말하는 개념 있는 스타트업. 당신이 대기업 체질이 아니라면 플하가 딱이다.""","
분위기가 너무 자유롭고 좋음.눈치 볼 거 없음.야근 강요 일절 없음
","
모든 걸 해야 한다. 정해진게 없으니 스스로 알아서 찾아서 해야 한다.
","
관리자가 필요합니다. 관리자가 필요합니다.
"
디자인,현직원,서울,2021. 12,5.0,"""보람차며 즐겁게 일할 수 있는 회사.""","
연차 등을 자유롭게 쓸 수 있어 개인 시간에 대해 충분히 존중 받으며,  직장 동료 분들도 다들 좋으셔서 일하는 것에 거부감이 들지 않고 즐겁게 일할 수 있다.
","
중기청 이나 내일 체움 공제 등의 혜택을 받지 못한다.
","
변치 않고 이대로만 가주면 좋겠습니다.
"
