직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
개발,전직원,경기,2023. 10,1.0,"""수평적 조직문화를 따라가고 싶지만 발끝만큼도 못미치는 회사""","
간식 자유롭게 먹을 수 있음, 깔끔한 인테리어 정도로 말할 수 있겠다..
","
수평적이라고는 하나 실상은 전혀 그렇진 않다. 들어가보면 누구보다 수직적이고 직원들 눈치보고 주눅들게 만드는 기업문화
","
직원들도 인권이 있다는것을 좀 알아줬음 함
"
생산/제조,현직원,경기,2023. 09,2.0,"""텃세심함 기업문화가 아주 이상하게 정착되어있어 이런회사에 처음발들이면 정상적인회사가 이상하게보일수있음""","
표면적으로는 개인 사생활존중 워라벨 생각해주는척 엄청함 실상은 경험해보면 뼈저리게느낌
","
수평적 조직문화가 월급도 수평적이될수있음직급이없어 월급도 잘 안오름성과급이 본인성과에대한성과급이아님그렇다고 일잘안하면 그거마저도 안줌
","
일하라고 뽑아논직원 믿고 일시켰음좋겠음주변 박사들 전문가들 말듣고 내부직원말은 안들음
"
기획/경영,현직원,경기,2023. 05,1.0,"""단순 유통업에 불과하나 반도체 중고 장비를 유통한다고 자기네도 유명 반도체 장비 회사 같은 줄 아는 회사""","
연차 사용 매우 자유로움. 영어 이름을 쓰고 높임말을 하기 때문에 나이에 관심이 없음. 예예 하면서 업무가 잘 진행되고 있다고만 하면 별로 체크하지를 않음. 답정너 대표가 듣고 싶은 거 하고 싶은 것만 챙겨 주면 터치 없음.
","
수평을 엄청 강조하나 실제로는 매우 권위적인 대표. 허황되게 눈만 높아서, 가진 기술과 역량도 없는데 하고 싶은 것만 많음. 20년간 해왔던 유통 외에 할 줄 아는 게 없음. 수준 낮은 임직원 많음.
","
하던 유통이나 제대로 잘 하고 내실이나 기하기를.
"
서비스/고객지원,현직원,경기,2023. 02,3.0,"""오너경영인이 대표일 때의 장단점이 명확한 회사""","
조/중/석 식 무료 제공건물이 크고 아름답다근무시간이 유연한 편
","
다른 어떤 회사에서도 볼 수 없는 SNS 방식의 보고 체계 (장점일 수도..)ROI로 모든 것을 판단함접근성이 좋지 않음
","
투명하게 의사 결정이 되는 부분도 있지만 아직도 많은 부분은 대표의 의사에 따릅니다. 대표의 의사와 맞지 않는다고 임원들을 갈아 치우면 결국 예스맨들만 남기게 되는 것은 아닐까요.
"
영업/제휴,현직원,경기,2023. 02,3.0,"""경매와 다양한 업체와의 만남을 즐기신다면 컴""","
회사가 이쁨. 헬스장 있음. 많은 업체와의 컨택 가능. 유통업계쪽에 계셨다면 괜찮으실 듯.
","
소통을 강조하지만 소통이 이뤄지지 않을 수도 있음.  크게 나쁜 점은 없지만 실수하지 않으시길
","
과연 신입들에게 얼마나 같은 방향성을 향하고 있는지 알려주는것필요. 교육적인 측면에서 부족.
"
금융/재무,전직원,경기,2023. 01,3.0,"""다양한 업종에서 시작해서 반도체 한우물을 통해 최고의 위치까지 올라온 기업으로 현재의 업종만으로도 충분히 사업을 영업할 수 있다고 생각함. 다음의 사업영역을 발굴하기 위해 노력하는 기업""","
평등한 문화, 임직원의 복지에 아낌없는 지원, 쾌적한 근무환경, 따뜻한 조직문화 등을 가지고 있다고 생각함. 집단지성을 통한 수준높은 의사결정을 내리고, 모든 업무를 전 직원이 함께 확인할 수 있는 투명한 구조를 가짐
","
적은 인원으로 최대의 이익을 내는 구조를 가지고 있어, 체계적인 의사결정체계, 규정 및 지침들을 갖추지는 못함. 성문법보다는 관습법에 더 기울어져 있다고 봄.
","
신속한 의사결정도 좋지만 의사결정과정에 다양한 의견이 수렴될 수 있도록 했으면 좋겠다. 아울러 높은 수준의 집단지성을 기대하지만 다양한 조직 및 인원이 충원되면 높은 집단지성의 힘을 유지하기가 어려워지며, 더 나은 조직문화를 위해서는 회사가 갖춰야할 최소한의 규정 및 제도들을 갖춰야 할 필요성이 있다. 우리 조직은 수준높은 지성을 갖추고 있다는 자긍심 또는 자부심도 좋지만 더 성장하기 위해서 갖춰야 할 형식도 있다는 점을 인식하고 받아들일 수 있었으면 좋겠음.
"
기획/경영,전직원,서울,2022. 09,4.0,"""경영진이 업무에 열정적임. 따라갈 수 있다면 함께 하는것""","
도서구입비 지원, 식사 지원, 자유로운 분위기지만 흠..
","
일이 많음, 다 해야함, 찾아서 해야함주말에도 업무가 강요될 수 있음
","
워라밸에 대한 고민이 필요직원의 복지에 대하여 워라밸 시점에서 관심 필요
"
기획/경영,현직원,경기,2022. 06,5.0,"""해당 직무의 전무가로 인정받고 도전적인 일을 다양하고 주도적으로 개진할 수 있는 기업""","
사옥이전으로 근무 환경이 매우 좋음 식사(3식)제공 , 지급포인트로 사내카페, 편의점 이용가능선택적근로시간제헬스장, 탁구장, 포켓볼등 체육시설한화, 대명, 아난티 리조트 이용가능리무진 카니발 주말이용가능
","
대중교통 이용이 어려움, 접근성이 떨어짐1-2명의 실무담당자로 수행 업무의 영역이 매우 넓음
","
조직이 커지고 신규입사자가 많은 만큼 최소한의 규정보완이 필요
"
마케팅/시장조사,현직원,경기,2022. 06,4.0,"""복지가 좋고 발전 가능성이 보이는 회사 입니다. 프로세스가 체계화 되어 있지 않은 부분이 있는데 조금씩 개선해 나가려는 모습이 보입니다.""","
조식, 중식, 석식을 무상 제공합니다. 복지 적립금이 제공되며, 월 단위로 사내 카페 및 편의점을 이용할 수 있는 적립금 또한 따로 지급됩니다. 일하는 사람들이 대체로 성격들이 좋습니다.
","
A부터 Z까지 한 분야의 일을 오롯이 해내야 하는 경우가 많습니다. 경력이 많이 않은 신입들에게는 조금 버거운 업무들이 주어지거나 어려움을 겪을 경우가 있을 것으로 생각됩니다. 다만 주변 팀원들에게 도움을 요청하면 지원 받을 수 있는 부분이라 생각합니다.
","
근무시간 조정 및 출퇴근 시간이 비교적 자유롭게 새로운 제도를 도입해 진행하고 있는데 꽤 만족스럽습니다. 앞으로 근무지에 대한 제한 또한 좀 더 확대 되었으면 하는 바램입니다.
"
영업/제휴,전직원,경기,2022. 01,5.0,"""커가는 기업 신사옥 이전 리퍼비시 장비가 가격대가 치솟아 현재시장은 좋으나 언제까지 갈지...""","
사옥이 좋음 밥이 맛있음 젊은 기업을 표방함 눈치제로는 아님
","
신사옥이전으로 사옥은 좋아졌으나 너무 동떨어진곳에 있어서 자치아니면 출퇴근 힘듬
","
미래 먹거리 준비를 해야합니다. 리퍼비시는 지속되나 언제까지 중고사업만 하기에는 힘들어요
"
유통/무역,전직원,경기,2022. 01,2.0,"""성장하려고 노력하는 회사. 업무 강도는 있을 수 있으나 적응하기 나름일듯.""","
비교적 자유로운 분위기입니다. 사옥을 이전해서 쾌적 합니다.
","
야근 하는 사람들은 계속 야근합니다. 수평적인 문화를 지지하지만 실현되기는 어려워보입니다.
","
지속적으로 나오는 직원들의 의견들을 적극적으로 수렴하면 좋겠습니다.
"
기획/경영,전직원,경기,2021. 12,3.0,"""조금 멀기는 하지만 여러가지 여건이 나쁘지 않고 좋습니다.""","
해외출장을 많기에 세상을 보는 눈이 넒어집니다.조금 멀기는 하지만 여러가지 여건이 나쁘지 않고 좋습니다.
","
외진곳에 있음집에서 먼곳에 있기도 하거니와 대중교통을 하용하기 힘들정도로 외진곳에 있어서 출퇴근이 어려움이 있음
","
집에서 먼곳에 있기도하고 대중교통이 없으니 차량지원 밍 셔틀버스 운영을 건의 합니다.
"
영업/제휴,현직원,경기,2021. 09,3.0,"""지속적으로 성장하고 도약하는 회사!중소에서 중견으로 가는 과도기..지금이 중요한 시기 성장하거나 고여서 그대로거나관료주의적으로 점점 변화되고 있음..자유와 방임의 줄타기""","
사옥이전으로 쾌적한 근무조건, 모든것이 새롭고 좋음사내복지 시설도 개선되고 휴게실 및 인프라 확충 됨.자율 출퇴근 제도 및 여러 리조트 회원권 구비자유로운 연차 사용, 간략한 보고 형식 , 의류지급 등복지는 업계최고임소수의 의견에도 귀을 기울여 줌
","
새로운 사옥 이전으로 필수 유지인력의 채용이 더딤.미리준비했어야 하는 아쉬움..부족하면 채용하고 내부인력으로 대체하려는 시스템..중소에서 중견으로 기업의 규모는 커졌으나 대응하는 의사결정 및 프로세스는 아직 중소기업 마인 회사의 직원 개개인의 자율성을 중시하나 중견기업에서 내부통제 준법감시 개인정보 보호, 경영진단을 할 수 있은 감사팀의 부재가 아쉬움.회사에 소풍온듯한 마인드로 다니는 사람들이 많음사무실에서 과자봉다리들고 돌아다니면서 나눠먹고 과자봉다리 들고 업무문의하는 사람도 있음회사내 친목모임에 집중하느라 업무 태만은 기본이고 파벌그룹 카르텔 존재여직원 텃세 엄청남 주동자들 눈밖에 나서 퇴사한 여직원들도 있음파벌 카르텔에 도전하면 그들만의 업무쉴드와 가족애보다 끈끈한 전우애로 동지를 보호함..신입직원들은 파벌카르텔에 동참해서 편한 회사생활과 업무쉴드를 받으며  카르텔 세력으로 성장 할 수 도 있음파벌  카르텔로 인해 묵묵히 자기자리에서 본인 업무만 하는 직원들이 상대적 박탈감을 느끼는 경우가 종종있음본 업무가 아님에도 서로의 욕심과 욕망들로 인한 알력다툼 세력확장에 대한 내부 이해관계가 너무 복잡함..누구하나 신경안쓰고 발톱을 먼저 드러내 먼저 선점하는 사람이 권력과 통제권을 획득하는 내부적으로 볼때는 이상하고 외부에서 볼때는 아름다운 도깨비 나라 같은 이상한 구조임기득권 선점과 쟁탈에 혈안이 되어있음   근속년수가 오래된 일부 직원들이 그들의 파벌을 형성해서 개인친목이 회사의 분위기를 휩쓸고 사내정치를 함회사차량을 무단사용하고 파손시키고도 보고안하고 넘어가는 사람도 많고, 아무도 신경안씀..
","
회사가 중견기업으로 성장한 만큼 조직의 확장도 중요하나 내실을 다지고 내부 통제 및 준법을 지킬 수 있는 시스템을 구비해주세요자율과 방임의 아슬아슬한 선타기가 회사에 독이될 수도 있고 약이 될 수도 있습니다. 상대적으로 회사를 오래다닌 직원들의 충성심과 회사에 대한 애정은 깊을지언정 반대로 회사를 폄하시키는 행위를 하는것도 그들입니다.관료주의적인 회사를 바로 그들이 만들고 있습니다.이제는 경영진이 나서서 바로 잡아야 할 시기입니다
"
기획/경영,전직원,경기,2021. 08,3.0,"""동종업계와 비교하여 근로자의 처우가 좋은 편이며 수평적 분위기""","
연차 사용이 자유롭고 비교적 수평적인 사무실 분위기 직원들끼리 사이가 매우 좋음
","
내 업무를 제외하고 가끔 잡무가 있음 그러나 내 업무에 지장을 줄 정도는 아님
","
경영진에게 바라는 점은 딱히 없고 현상태 유지만 해도 좋을듯함
"
영업/제휴,전직원,경기,2021. 07,1.0,"""이름만 글로벌이고 전형적인 한국형 중소기업""","
점심제공, 건강검진 1년에 1회 지원, 복지포인트, 명절 선물 지원 등생각보다 복지는 나쁘지 않음. 이제 용인 사옥으로 이전했으니 근무환경은 좋아 졌으려나?
","
공격적인거 잘 받아칠 수 있는 분만 들어가세요. 들어가셔도 그들만의 리그에 잘 적응하셔야 합니다. 집 일찍가서 워라밸 챙길 생각은 접으시길.. 휴일에도 노트북 들고 일하셔야해요
","
제가 애기한다고 바뀔까 싶네요.. 그냥 지금 계신 분들하고 지금처럼 똑같이 일 할 거라고 생각합니다.
"
기획/경영,전직원,경기,2021. 06,4.0,"""업계 1위임. 이것만으로도 평가가 되는데 20자 이상 쓰라니깐 하나 더 씀.독특한 사내문화를 가지고 있어서 직원의 성향에 따라 호불호 있을 수 있음.""","
돈 잘범. 번만큼은 아니지만 직원들에게 반드시 환원하고 있음직원들에게 돈쓰는 것을 아까워하지 않음(너무 무리한 것이 아니라면)장비보관창고가 여름엔 시원하고 겨울엔 따뜻해서 점심먹고 걷기운동하기 좋음연차 자유로움, 아무튼 복지는 최고수준에 가까움
","
대표의 비전에 따라가기가 벅차거나 무리한 요구가 잦음 그때문에 야근 많고 해야만 하는 분위기임.대표를 제외하고는 수평적 조직문화에 가까움.즉, 대표의 그날 기분에 따라 좌지우지되는 경우가 있고 직원들이 눈치보기 바쁨.수평적이라는 것을 대표가 늘 강요하고 직원들에게 오픈마인드라고 말하며 언제든지 의견제시하는 것을 환영한다 하지만 꼰대(본인피셜)이기 때문에 그 문화가 정착하긴 어려움
","
한국에서 수평적 조직문화를 정착시키기는 어려움다만, 그 문화를 정착시키는 것은 경영진의 의지에 따라서 결정됨문화는 수평적이나 회의시간과 결정과정은 절대 그렇지 않다는 것은 직원들이 노력하지 않거나 생각이 없어서가 아닌 경영진이 만들어내는 분위기라는 것을 알아주었으면 좋겠음모든 직원들이 대표이사와 같이 열정적으로 일할 수는 없음. 대표로서 받아가는 보상과 직원으로서 받아가는 보상이 다르기 때문이라는 것. 주인의식을 가진 직원은 절대로 존재할 수 없다는 것을 알아주었으면 좋겠음
"
영업/제휴,전직원,경기,2021. 05,1.0,"""밑에 평점 올릴려고 현직원들 조작해서 쓰길래 객관적으로 써준다""","
식사제공(아침 김밥, 점심, 저녁 급식, 다만 저녁은 늦게 가면 비용절감으로 전체 인원의 1/3 만 계약되서 못먹음), 회사 옷 제공(다만 회사에서만 입어야 함, 어떤 직원은 그냥 걸어놓음), 명절 선물 제공, 배우자 있을 경우 둘다 제공, 콘도 제공(콘도는 회사명의로 있다고는 하지만 인사팀에 예약 걸어놓고 하는 거라 비용이 싸거나 그렇진 않음, 그냥 숙박사이트 이용해서 그정도 가격 나옴), 휴일 때 카니발 등 제공 등
","
나간 사람들이 3년 안에 30명이 넘어가는데 정상적인 회사인가? 밑에 현직원들 쓴 글 중에 가장 인상에 남는게 회사애서 느끼는 감정이 케바케라고? 전직원이 50명인데 그중 한달에 한명씩은 나가..그건 알고 있어? 그 나가는 사람하테 들은 이야기 경영진들하테는 하니? 니내 워크샵때 평균 근속년수 체크하잖아~ 그거 왜하는데? 오래 다닌 사람은 10년 이상 다니는데 평균 근속년수는 왜케 낮냐? 니내도 문제라고 인지하잖아 그러면서 뭘 회사 좋다라고 해?
","
나는 지금도 여기 들어가려고 1차 2차 면접하고 석식면접하는 사람들이 불쌍해? 동료를 찾는다고? 동료 찾는 사람들이 그렇게 회사안에서는 개무시하고 사람취급들을 안하나? 경영진 당신들부터 무시하지 마시라구요! 현직원들 시켜서 평점 조정해서 올릴려고 하지말고 그냥 좀 문화를 바꿔볼 생각은 안해? 오죽하면 나간 사람들이 이렇게 적겠어? 어차피 그만두는 마당에 무슨 감정이 있다고 그렇게 하겠냐? 경영진들 오늘도 여기 평점 낮다고 몇명 안되는 인사팀이나 팀장들 볶겠지? 그러면 그사람들 어쩔수 없이 적을거고..그게 정상이냐? 차라리 나간 사람들 연락해서 간담회라도 해라 그게 낫지 않겠냐 그럼 니내도 회사가 왜 그모양이고 한달에 한명꼴로 나가는지 이해할거 아냐..나간사람들을 비정상으로 몰지말고 너희가 고칠생각을 좀해..로봇도 아니고...
"
기획/경영,현직원,경기,2021. 05,4.0,"""경력사원이 형식,절차에 구애받지 않고 자신의 전문성을 펼칠수 있는 환경을 가진 기업""","
반도체 산업 경기 호황으로 매출, 이익이 높으며 매년 성과급 및 스톡옵션 지급. 규모에 비해 급여 맟 복리후생 양호. 현재의 매출수준을 지키려하기보다는 새로운 사업구상을 통해 1조 기업을 키우고자 하는 경영진의 강한 의지. 의전, 형식, 절차를 따지지 않고 간편한 업무처리. 팀장,경영진에게 잘보이기 위한 문화가 아니고 담당업무를 전문가답게 잘 처리하는지가 중요. 연차사용에 눈치볼필요없이 자유롭게 사용기능하며 선택적극로시간제 도입으로 유연한 시간활용가능
","
경력위주의 채용으로 평균연령이 높음, 회사의 미래를 위해 신입인력 채용 비중을 늘릴 필요가 있음. 다른회사와 문화가 달라 경력입사자가 적응하기에 어려울수 있어, 신규인력의 적응을 위해 적극적인 지원 필요. 업무의 폭이 넓어 해보지 않은 업무를 진행할 수 있으며 스스로 문제를 해결해야 하는 능력과 센스는 필수. 업무는 스스로 하나하나 가르쳐 주지 않으며 스스로 부딪혀 업무를 익혀야 함.
","
외부인력 채용도 중요하지만 내부인력에 대한 보다 큰 애정이 우선적으로 필요. 오래다닌사람들은 회사에 대한 애정이 높아 그들에 대한 강한신뢰, 격려, 인정이 필요. 동료들의 애로사항에 대한 청취와 해결노력 필요.
"
