직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
디자인,전직원,서울,2023. 10,4.0,"""사람들 전반적으로 일하기 좋은 회사였습니다~""","
연차 눈치안보고 쓸 수 있었고 다들 으쌰으쌰 하는 분위기라 좋습니다
","
점심식대가 너무 적었고 일반 평사원보다 리더들이 많아서 직급 체계가 애매했습니다
","
컨펌을 기다리는 시간이 많아서 작업시일 맞추는데 힘들었습니다
"
마케팅/시장조사,전직원,서울,2023. 10,1.0,"""일하는 사람만 일하고, 안하면 계속 안할 수 있다.""","
역과 가까운 곳에 위치. 강남에 있으나, 식대를 아주 적지만 지원. 딱 그 정도.
","
쓸데없는 보고 라인. 새벽까지 근무하는 직원들 봄. 기존 직원 텃세 가득.
","
없어요. 그냥 계속 이 상태면 좋을 듯. 글쎄요.
"
마케팅/시장조사,전직원,서울,2023. 09,2.0,"""사람들은 좋았으나 업무가 그렇게 전문적이진 않았다라고 생각함.""","
사람들이 좋았다. 사내 이벤트가 많아서 서로 으샤으샤하는 분위기가 있었다
","
문제는 고인물들끼리민 으샤으샤한다. 업무가 엄창나게 전문적이었단 생각은 안들었다. 분명 배울 점은 있었으나 입사 초반에 숙제가 있어서 워라밸 따위는 개나 줬어야 했다.
","
분명 성장통이 있으셨을텐데 감수하고 지금까지 성장하신 것 보면 대단하다고도 느낍니다.
"
기획/경영,전직원,인천,2023. 09,2.0,"""젊은 구성원 비율이 높아 역동적인 강점을 강조하나 어떤 오래된 회사보다도 훨씬 정치적이고 경직된 회사""","
반도체 취준생 교육이라는 새로운 시장을 창조한 오너의 성과는 인정함
","
대표를 비롯한 극 소수 경영진의 독단, 리더들의 편가르기와 능력부족으로 몇 없는 실력자들도 오래 못버티고 떠남. 리더들도 실력으로 증명해야 하나 그렇지 못함
","
꼭 지켜야 하는 사람으로 찍은 사람이라도 진짜 회사와 사업에 도움이 되는지 다시 잘 생각해보시면 좋겠습니다. 경영진은 약속을 지키는 노력을 보이시고 책임은 전가하지 않으시길..
"
교육,전직원,서울,2023. 09,2.0,"""체계도 없고 발전이 전혀 안 보이는 회사. 장/단점이 명확해서 맞는 사람에겐 잘 맞을 수 있음.""","
수평적 문화. 말만 수평이 아니라 진짜 수평 문화라 좋았음.대부분 2,30대로 구성된 젊은 직원들점심/저녁 식대 일부 제공금요일 자율 출퇴근, 리프레시 등 다양한 복지 제도
","
자기들 입으로 동료가 가장 큰 복지라는데 텃세 엄청 심함. 회사 분위기가 화기애애하고 시끌벅적한데 고인물들끼리만 친목질하고 화기애애함. 새로 들어온 사람들은 뭘 해도 눈치 보이는 분위기.아무리 스타트업이라지만 너무 부족한 체계... 체계가 없을 순 있는데 자기들도 만들어가고 있는 체계에 나를 끼워넣고 군말없이 따라야 함.일이 바빠죽겠는데 사내 행사가 너무 많음. 스터디나 과제 같은 것도 줘서 쉬는날에도 회사에 시간 쏟아야 함.직원 규모에 비해 사무실 환경이 너무 좁고 더러움... 전염병 걸리기 딱 좋은 근무환경
","
최악의 회사였어요. 탈출한 것을 다행이라고 생각합니다.
"
디자인,전직원,서울,2023. 09,1.0,"""체계는 없는 고인물들의 리그와 갑질이 난무하는 회사가스라이팅도 즐긴다면 입사를 추천합니다!!!""","
강남역 인근에 위치하여 출퇴근이 편리하다. 주변 맛집이 많다.
","
사내 텃새가 회사 규모 대비 매우 심한 편이며 퇴사율이 높아 고인물들만 남는 전형적인 좋지 않은 중소기업이다.또한 팀장급에 가스라이팅을 지속적으로 하여 신입 혹은 새로 들어온 경력직들이 애사심을 가지고 지속적으로 다니기 힘들게 만들며 체계는 없고 총체적 난국 그 자체 단점이 너무 많아 다 적기에는 나의 손가락이 아프니 여기까지만 적어본다.
","
화이팅!! 인생 난이도 올리지 마십쇼!! 그릇이 커야 사업의 규모도 더 커지니 참고들이나 하셔요
"
교육,전직원,서울,2023. 08,1.0,"""업계에서 단단하게 입지를 다졌지만 그것으로 끝. 더 이상의 성장이나 발전 없이 고인물들 채찍질해서 겨우 유지만 하고 있는 수준의 회사""","
1. 식대 제공 - 강남에서 먹기엔 조금 모자랄 수도 있지만 그래도 주는 것이 어디.2. 비교적 수평적인 문화 - 직책으로 서로를 부르지만 기본적인 수평문화
","
1. 더 이상 발전하지 않는 자체 콘텐츠. 현 상황을 막기에만 급급함.2. 묘하게 야근을 강요하는 문화 형성.3. 개개인의 열정을 바라지만 그에 대한 보상은 미흡4. 웹 기반 서비스임에도 불구하고 UI/UX 개선 노력 없음5. 팀장이 전혀 팀을 리드하지 못하고 본인 일에 치여사는 분위기6. (가장 충격적인 부분) 스타트업, 상호 수평관계를 표방하면서 막상 대표는 임직원에게 반말 날림. 스타트업 다니면서 대표가 나한테 반말한 건 처음 들어봄.
","
그저 매출 정상화 하려고 날뛰시는데, 교육업계에서 매출은 곧 콘텐츠의 차별화입니다. 전혀 신경쓰지 않으시면서 당장의 이익에만 몰두하신다면 조만간 업계 입지도 뺏길겁니다. 에듀테크 사업은 생각보다 신예 강자들이 많이 나오고 있거든요.
"
교육,전직원,서울,2023. 07,2.0,"""-장/단점이 분명한 회사.-야근 일상, 업무 많음, 말도 많음, 회사 행사도 많음. (무조건 필수 참여)""","
-장점..그닥-연차는 팀원들과 일정이 겹치지 않는 이상 눈치 안보고 사용 가능-점심/저녁 식비 지원-회사 분위기가 딱딱하지 않음
","
-입사날부터 업무량이 많아 힘듬-금요일 자율출근제라고 하는데 자율출근제인지 모르겠음 (팀원이 지각하면 사용 NO)-퇴근 직전까지 업무 부여 (야근안하면 업무가 없는줄 암)-매일 업무일지를 써야함...........회사 카페에 올려야함...-코로나걸리면 재택근무 했었는데, 재택하면 자신이 일을 하고 있는 모습을 줌으로 실시간 보여주면서 일해야함...회의는 이해하겠는데...그냥.....회사가 직원을 못믿는 느낌
","
경영진에게 바라는점 글쎄요. 잘 모르겠네요.
"
마케팅/시장조사,전직원,서울,2023. 06,4.0,"""장단점이 분명한 기업이라고 생각함. 대체적으로 나쁘지않음""","
사람 스트레스 없이 밝은 분위기에서 근무할 수 있음. 여러가지 시도해 볼 수 있는 기회가 주어짐. 강남역 도보 5분.
","
체계가 비효율적이라고 느낀 상황이 다소 있음. 경영진과 리더들이 체계를 잡기위해 노력하나 아직음 조금 부족할 수 있음.
","
제공되는 점심 식대가 조금 부족한 편인데 늘려주면 좋겠음.
"
마케팅/시장조사,전직원,서울,2023. 05,3.0,"""열정적이긴 하나 비효율적이고 업무를 하는 사람은 많이하고 안하는 사람은 안함""","
강남 물가가 비싼지만 점심 식대를 지원해줘서 맛있는 점심을 먹을 수 있다.  그냥 직장 다닌다는 생각으로 다니면 다닐만 함
","
화장실이 작아서 불편하다. 강남이라 출퇴근때 지하철 타기가 힘들다. 사람들 말이 너무 많다.
","
딱히 바라는 거 없다. 업무 좀 분배 시켜서 진행해라
"
