직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
서비스/고객지원,현직원,서울,,4.0,"""힘든 시장상황 임에도 앞으로 더욱 성장할 기업젋은 임직원들로 구성된 활기 넘치는 기업""","
임직원 연령대가 대체로 젊고 서로 소통이 잘 되는 것 같음.
","
공유 창고라는 다소 생소한 사업.사업을 시작한지 얼마되지 않아 아직은 정리가 덜 된 느낌임.
","
힘든 시장 상황임에도 임직원들을 잘 케어해주시고 소통하시려는 것 같음.
"
기획/경영,현직원,서울,,4.0,"""한국시장에서 아직 널리 알려지지 않은 셀프스토리지 업계를 선점하기위해 발 빠르게 나아가고 있는 회사""","
외국계특성상  개인주의적인 문화로 연차 사용 (연간 20일+@) 회식 강요없고  개개인의 일에 집중할 수 있는 분위기
","
올해부터 지점 확장을하면서  조직 운영에 있어서 다소 미흡한점이 있음
","
회사가 성장함에따라  직원들의 혜택과 관심도 증가했으면 좋겠다
"
기획/경영,현직원,서울,,4.0,"""한국 셀프스토리지 시장에서 외국계 자본을 통한 사업 확장과 발전가능성이 높은 회사""","
전반적으로 젊은 직원들로 구성되어 지점 확장에 따라 빠르게 업무가 진행되고 있음.  연차 사용이 자유롭고 외국계 특성상 야근 회식 강요는 없음. (연차 20일, 직원 스토리지 유닛 사용가능)
","
외국계 기업이라  영어 활용이 잦은편이나  사바사일듯;
","
올해부터 본격적인 사업시작으로 아직 부족한부분도 많지만 장기적인 관점에서 시스템과 직원 복지에 조금 더 신경써줬으면하는 바람입니다.
"
영업/제휴,현직원,서울,2023. 11,2.0,"""그냥저냥 꿈과 미래 없이 다니긴 괜찮은 곳""","
워라밸은 좋다고 하면 좋은편. 회사에서 시키는 야근은 많지 않음(일부 무능한 경영진이 일을 다 던져서 야근하는 직원들 제외). 휴가가 많음. 단, 지점 직원간 서로 겹치지 않게 써야되기 때문에 연달아 쓰기는 어려움. 가끔 평일 하루 휴가내고 쉬는건 종종 가능한 편. 올해부터 건강검진 지원이 늘어나 내시경이나 MRI도 무료로 찍을 수 있음.그냥 아무생각 없이 적당히 큰 목표나 욕심 없기 다니긴 나쁘지 않은 회사.
","
학벌 좋고 능력 좋다는 경영진들이나 부서장들 중엔 자격 미달인 사람들이 보인다. 지사장 포함 일부 경영진들은 도대체 무슨일을 하는지 모르겠다. 이 작은 회사에서도 경영진들은 라인 타는게 보인다. 일부 초기 멤버들은 일에 비해 높은 연봉을 받는 것 같다. 실적은 지점에서 나오지만 지점 영업은 제일 등한시된다. 싱가포르 본사는 한국 시장에 대해 제대로 이해하고 있지 않지만, 자기들 방식을 강요하고 그걸 성과에 반영한다. 지점에서는 정확한 가이드라인이 없어 매번 혼란스럽고 그때마다 임기응변식으로 해결하는 경우가 많다. 싱가포르 본사가 양아치인지, 한국 지사가 양아치인지 모르겠지만 둘중 하난(혹은 둘다) 직원 월급, 성과급, 승진을 무기로 양아치짓을 한다. 1호점 오픈하고 반년뒤 연봉협상때 초기 멤버들은 4~5%씩 인상되었지만, 1년 뒤 협상때 지점 실적 안좋다며 2%대 인상됐다.(첫해에는 실적이 아예 없었는데???)면접볼때 성과금 많이 나온다는 식으로 거짓말친다. 입사할때 내돈주고 노트북 사는곳은 처음봤다(페이백은 해준다)이미 시장에 쟁쟁한 경쟁사가 있는 환경에서 들어왔는데 지사장은 정말 운영에 아무런 관심도, 흥미도 없다. 본인이 큰 꿈이나 욕심 없고 적당히 일하고 살고싶으면 다니기 나쁘지 않다. 반대로 말하면 회사에서 의견 내고 승진하고 싶고 열심히 일해서 좋은 성과를 받고싶다면 추천하지 않는다.
","
매출은 어디서 나오는지, 회사가 어느 부분에 포인트를 주로 운영해야 하는지 아직도 모른다면(혹은 알면서도 내 알바 아님이라고 생각한다면) 이 회사는 수년 안에 도태될 가능성이 높습니다. 돈 받는만큼 일좀 하시기 바랍니다. 그리고 싱가포르 본사가 한국 지점을 흔들면 흔들수록 직원들 사기는 뚝 떨어지는거 아시나요?
"
전문직,전직원,서울,2023. 11,1.0,"""당장 갚아야할 캐피탈, 리볼빙이 많지 않다면 여유를 가지고 이곳 보다 더 좋은 곳에 가시는 것이 당신의 인생을 구하는 지름길입니다..""","
이 곳만의 특별한 기업 정신이 있으며, 모든 직원은 그에 따라 움직입니다.
","
이 곳의 기업 정신을 3無경영이라고 소개하고 싶습니다.1無. 기본적인 기업의 각 펑션 및 운영싸이클에 대한 이해도가 없음. 여기서 오는 업무적인 펑크는 직원 가스라이팅 및 갈아넣기 신공을 통해 (스타트업 정신 언급, 과도한 업무 부여 후 닥달하기) 메우려고 시도함.2無. 본사의 한국시장 이해도 없음.한국 사정을 이해하지 못하고 밀어내기 수준으로 본사 가이드를 푸쉬하는 성향이 있음.3無. 각 분야의 전문가 부재.무언가를 물어보려고 해도 정확히 아는 사람들이 없어서 모두가 길을 잃고 헤메고 있음. 어디로 가야하죠~ 아저씨~
","
현재 당면한 상황을 모조리 직원 탓인줄로만 굳게 믿고 있다면 누가 이 기업에서 일하고 싶어할까요? 회사의 미래와 직원을 위한 현명한 의사결정 기대해보겠습니다.
"
서비스/고객지원,현직원,서울,2023. 11,1.0,"""구지구지구지 입사하겠다고 하면 말리진않겠지만유~ 들어오면 복지는없을것이구만유~ 헬!!  경영진들 심각한 수준... 직원들 호구로아는...""","
있어야 씀둥... 밑에보면 아시겠지만 4.0 경영진둘이 쓴 내용인데 본인들끼리는 괜찮은가봐유~ 나도 경영진이지만 줄타기하는 꼴이 ...  이 작은 회사에 라인만들기하눈 꼴이 매우 우스워유~ 아 하나 있음둥유,,,  휴가 있음유 있지만 자유롭게 사용 못함유(근무하면서 써봐유 내가 무슨말하는지 알꺼임유)
","
경영진들 맘대로 운영하는 회사임유~ 경영진이지만 답답해서 언제 그만둬야하는 각잡고 있어유~ 아...아....많음유 휴가 빼고 .. 장점이 많이 없는 회사에유 한국 사장포함해서유 ~ 그 밑에 있는 머리들이 일을 참 못해유... 직원들에게 거짓말과 농락을 참 잘해유~
","
직원들 말 좀 들어유우 그리고 맘대로 할꺼면유 직원들은 왜 있어유~ 직원들에게 피해는 주지 말아야쥬
"
금융/재무,전직원,서울,2023. 10,2.0,"""무능한 일부 고인물 때문에 능력있는 사람들이 빛을 잃는 회사""","
(한 두 명 빼고는) 사람들이 거의 경력직이라 나이스하고 상식적이다.직원들이 대부분 젊고 재밌어서 회사 다닐 맛 났다.통신비 제공해 주었음.
","
한 두 명의 빌런이 모든 사람을 괴롭게 함.자격증도 없고 업무 관련 지식이 전무한 사람을 팀 헤드로 앉혀서 재무리스크 관리 전혀 안됨.또한 팀 헤드로서 필요한 업무 지식은 전무하나 절대로 개인 발전할 생각따위 하지않고 있으며,이 때문에 팀원들에게 적절한 업무가이드를 제공하지 못함.모든 리포트는 자기 손으로 절대 작성하는 법이 없으며, 자리에 앉아서 무한 메일forward만 일삼음.타 부서와 협조시 재무팀으로서 적절한 응대를 하지 못하여 항상 팀원이 팀장 역할을 맡아서 했으며,자기 그릇이 작고 모자란 걸 생각하지 못하고 팀원에게 열등감을 표출하는 등 인성 또한 매우 의심됨.업무시간에 업무 따위는 하지 않고, 개인 웹서핑, 뉴스 탐독을 시전하는 등 젊은 사람이 전형적인 60대 꼰대 부장 같은 행보를 보이고 있음.현재 12개 지점에 대해 마감해야 하는데, 이 부서에 일잘러가 온다면 일로 몸이 축나고 열등감으로 갈릴 위험이 있어 절대적으로 비추하는 바임.
","
자기 입맛에 맛는 직원보다 객관적인 업무 역량 및 근무태도 평가가 절실함. 하향 평가뿐 아니라 상향평가, 동료평가 등 360 인사평가를 정기적으로 실시할 필요성 있음.
"
영업/제휴,현직원,서울,2023. 10,1.0,"""업계 1위를 노리지만 후퇴하고 있는 중인지도 모를 알쏭달쏭한 포지션""","
1년차부터도 연차가 많음방문객이 많지 않고 지점 근무자가 1~2명 뿐이라 사람 스트레스가 거의 없음요금제 상관없이 통신비 100%지원회식 거의 없음
","
인력 부족수동으로 하는 일이 많아서 혼자 근무하는 날은 밥도 못 먹고 계약 밀어넣고 일하는 경우가 종종 발생하는데 본사에서는 누구도 신경쓰지 않는것 같다. 혼자 일하는 날이 거의 절반인데 식사라도 편히 할 수 있거나 밥도 못 먹고 일한 날은 식비라도 지원해 줬으면 함 노트북 구입노트북이 필수인데 누군가 퇴사해서 남는 노트북이 없다면 사비로 구입해야 함. 나중에 환급해 주기는 하지만 노트북을 사비로 구입해야 하는 건 너무 불편함. 웰컴키트까지는 바라지도 않고 일하는데 필요한 것은 고용주가 준비해 줘야 한다고 생각함. 일방적인 운영운영 방식이나 지침이 수시로 바뀌는데 손님들한테 어떻게 설명 하라는 지시가 없어서 항상 지점에서 알아서 아이디어를 짜서 땜질하기 급급함. 어떤 이유에서 변경이 되었고 어떤 문의가 예상되는지 소통이라도 해줘야 지점에서도 이해하고 일할 것 같음. 의미없는 외부활동 기존 고객 관리만으로도 벅찬데 주변업체 영업 및 경쟁업체 조사 등 외부활동을 지시함. 안할 수도 없는게 개인 평가에 이 활동이 포함되어 있어서 강제적임. 성과가 나오는 활동도 아닌데 계속 하는 이유를 물어도 그냥 할 수 밖에 없다고 함. 막막한 커리어알바인지 직원인지 헷갈릴 정도로 시키는 일만 하게 됨. 규모로 보면 소규모 스타트업 정도인데도 소통이 안된다는 것을 자주 느낌. 의견 내는 것을 좋아하지 않는 분위기가 만연하고 내더라도 윗사람 입맛에 맞는지 눈치 봐야함
","
이러다 사업접는 것 아닌지 불안불안합니다. 본사는 지점에 어느 정도 신경쓰고 있는지도 모르겠고요.
"
서비스/고객지원,현직원,서울,2022. 09,1.0,"""경력직의 무덤, 물경력의 천국 그냥 저냥 월급 나오는 것에 만족하면 너무 너무 좋은 회사이지만 업무 스킬 성장 같은 커리어 발전은 기대하기 어려움""","
연차(20일) 많이 주고 통신비 지원 됨직원은 창고 1개 무료로 사용할 수 있음
","
본사는 싱가폴에 있고 한국은 지사 형태로 운영되는데 항상 본사에서 걱정스러운 시선으로 한국을 바라보고 있음. 제한적인 사업 영역(임대 창고)인데다가 한국 시장에 이미 경쟁자가 있기 때문임... 이런 상황을 타개하기 위해서는 시장 상황에 밝고 경험이 풍부한 지휘자가 필요한데 임원부터 커리어 매치 안돼서 매번 본사에 치이면서 일하고 그것이 아래로 내려와서 분위기도 안 좋음
","
매번 '잘 돼야 될텐데....'라는 식의 걱정으로 끝내지 말고 한번쯤은 진중하게 목표 달성을 위해서 어떤 준비를 하고 계획을 실행해야 하는지 생각해 보시죠. 한국 지사도 이제 1년 넘었는데 그때 그때 상황에 휘둘려서 성급한 결정을 내리는 것을 이제 그만해도 되지 않을까요?
"
"
          현직원
      ",서울,2023. 06,,5.0,"""성장 가능성도 높고 기업문화도 좋다. 수평적이고 소통도 원활하다. 사람들이 다 너무 좋아서 사람에게 오는 스트레스는 없다.""","
이미 안정적인 대기업 캐시카우가 있고 A시리즈 투자도 많이 받았다. 상장을 도전하는 만큼 성장하는 회사에서 배우는 점이 많다. 임직원의 행복을 추구하는 대표의 마인드와 인성이 좋은 직원들만 뽑아서 그런지  사람에게 오는 스트레스는 없다.
","
성장하는 회사이고 상장을 도전하기 위해 새로운 캐시카우를 발굴해야 해서 그런지 가끔 목표가 바뀌기도 하고 사람도 새로 많이 들어와서 조직구성 등 비효율적일 때도 있다. 그래도 개선하려는 노력이 많이 보인다.
","
회사 내 기획팀 또는 그 역량이 필요합니다. 그리고 소통은 수평적이라 좋지만 가끔 업무 프로세스도 체계적이지 못할 때가 많아 업무 일정에 차질이 생기는 경우가 있습니다. 커가는 회사만큼 체계를 잘 잡아가면 좋을것 같습니다.
"
