직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
개발,현직원,서울,2023. 10,1.0,"""멀리서 보면 좋지만, 실상은 다른 회사""","
성수 핫 플레이스에 위치, 점심값 지원, 자율적인 업무시간
","
좋은 인재들이 점점 떠나가고 있음회사 성장에 비해 경영/운영적인 측면이 초기 스타트업 같음
","
본인 말을 하고 싶을 때, 1%만 한다는 생각으로 하면 좋을 듯, 너무 말이 많음
"
개발,현직원,서울,2023. 10,4.0,"""자율주행 모바일 서비스 로봇의 기대와 꿈을 갖고 있는 곳. 아직 갈 길이 꽤 있다.""","
구글 스타일의 소프트웨어 개발 문화. 기구설계, 전장 부품 설계, 소프트웨어 등 로봇 구현에 필요한 주요 엔지니어링 영역을 모두 커버하는 기술. 좋은 인재를 많이 영입한 상태.
","
여러 지역에 나뉜 오피스 사이의 커뮤니케이션 부담. 하드웨어 설계, 생산에 따른 비용부담. 꾸준한 매출을 내기 어려운 시장 현황.
","
내부의 피드백, 의견을 잘 들어볼 필요가 있음. 업은 아이 찾는 격은 아닐지.
"
개발,전직원,서울,2023. 10,1.0,"""외부에서 바라보는 것보다 풀 수 없는 문제가 많은 회사""","
역량 있고 좋은 동료들이 있어서 일할 때 큰 어려움이 없었음
","
중간관리자가 역량을 펼칠 수 없는 환경, 스타트업 오너 리스크가 팽배한 조직, 아예 전문가의 말을 듣지 않음
","
새 경영진을 구성하는 편이 회사를 성장시키는 방법일 수 있습니다
"
영업/제휴,전직원,서울,2023. 10,3.0,"""체계가 잡히지 않은 곳으로, 매우 수평적인 조직 구조.""","
연차를 편하게 사용할 수 있다. 간식이 넉넉한 편이다.
","
문제가 생기면 원활하게 해결되지 않는다.팀마다 젊은 꼰대가 있어서 분위기를 흐릴 때가 많다.
","
올해, 퇴사한 직원들이 왜 퇴사했는지 파악하시길 바랍니다.
"
엔지니어링,현직원,서울,2023. 08,1.0,"""인간 스트레스 꽤 있는 곳. 과대평가된 기업이라 생각된다.""","
네임 밸류로 인한 커리어 생김.자유로운 휴가 사용이 가능함.
","
인간 스트레스 있음.생각보다 배울 게 없어서 물경력 됨.
","
복지나 연봉보다 사람이 먼저죠. 인성 평가 제대로 해주세요.
"
개발,전직원,서울,2023. 07,3.0,"""개발자가 대우받으며 알차게 시간을 잘 쓸 수 잇는 곳인 것 같다.""","
자율출퇴근이 행복하다. 기업이 젋은 것이 장점이라면 장점이다
","
돈이 많이 안 모인다. 서울에서 자취하려면 되게 비싼데 너무 안모인다.
","
돈이없는 사람들에게 기숙사를 제공해주면 좋을 것 같단느 생각을한다.
"
서비스/고객지원,전직원,서울,2023. 05,2.0,"""코로나 특수로 인하여 로봇산업이 많은 관심을 받을때에 시대적 분위기를 잘 탄 회사.""","
휴가를 사용할때 주변 눈치를 보지 않고 내가 필요할때 필요한 만큼 상당히 자유롭게 휴가 사용이 가능함
","
업무가 체계적으로 잡혀있지 않은 부분이 많아서 시행착오가 많음. 경영진이 전략적인 계획을 수립해서 진행하는것이 아니라 대표한테 좌지우지 됨.
","
어차피 대표맘대로 하는것이라 딱히 경영진한테 뭘 바란다는것 자체가 그닥 무의미할 것 같음.
"
엔지니어링,현직원,서울,2023. 05,3.0,"""급여보다 다른 항목이 우선시 되는 사람이라면 다니기 괜찮은 스타트업""","
식대 1.5만원, 서울숲 부근에 위치한 회사라 접근성이 나쁘지 않음, 스낵바를 이용할 수 있음
","
R&R을 명확하게 하고자 하나, 아직 제대로 되지 않고 있음. 급여 인상률이 굉장히 미비함.
","
바쁜건 알겠지만, 업무 관련 결정이 필요할땐 차일피일 미루지 않고 빠르게 결정을 내려줬으면 좋겠음.조금 더 개선된 급여 및 보상이 있었으면 어떨까 하는 생각이 들기도 함
"
서비스/고객지원,현직원,서울,2023. 03,4.0,"""빠르게 발전하는 회사. 대한민국에 이렇게 초기에 무엇을 끌고 가는 것을 본적이 없다. 서빙로봇이라는 개념을 만든회사""","
식대 1.5만원을 줌. 성수동에 있어서 나름 핫플을 가기도 좋음. 나름 핫한 아이템을 운영함
","
의사결정이 느립니다. 스타트업이 맞나 싶어요. 제발 직원들에게 의사결정 권한을 이양해 주세요비효율이 커요 ㅠ
","
우리는 모두 일을 하기 위해 모인 사람입니다. 믿어주세요!!!
"
서비스/고객지원,전직원,서울,2022. 12,2.0,"""초기 대표 및 회사 아이템의 스타성으로 성장하는듯 하였으나 이제는 약발 다 떨어진듯.""","
포텐셜이 높은 직원들이 많아 배울점은 여기저기에 상당히 있음.
","
초기에는 좋은 멤버들이 잘 포진되어 업무도 잘 처리하였으마, 시리즈B 준비하면서 급격하게 몸집은 불렸지만 일은 여전히 하던사람만 하는 리소스 관리의 문제가 있음. 대표가 의심이 많은건지 경력자들의 실무에대해 참견 및 간섭이 잦음.
","
경력자에게 일을 믿고 맡기지 못하겠으면 경력자를 뽑지마세요.
"
개발,전직원,서울,2022. 10,1.0,"""글쎄... 하청업체의 삶을 살 수 있는 곳...?""","
미국회사라는 것 그리고 굉장히 자율에 맡기는 부분이 많음. (장점이자 단점)그래도 개인화 로봇(?)쪽에서는 나쁘지 않은 인지도
","
결국엔 미국의 하청이 되고 또 한국 투자자들의 하청이다.C레벨은 직원들의 복지에 대해 전혀 신경쓰고 있지 않음.대표가 마이크로매니징을 하는데, 바쁘다보니 모든 일이 대표에게 걸려있음. 대부분의 윗사람들이 대표 라인, 그래도 개발자들은 개발을 하는 사람들이지 개발자외의 대표라인은 경력도 그 포지션에 있던 사람들이 아니여서 실무자들이 고생함.사람 늘리는 것에만 관심이 있음.
","
직원을 믿어주세요. 권한은 주지 않은채 책임만 지라는 태도는 정말 별로였습니다.
"
개발,전직원,서울,2022. 09,5.0,"""스마트한사람들과 근무하는 자부심을 느낄수 있는 세계""","
대부분의 사람들이 지나치게 정상적이고 매너있음. 똑똑하고 합리적임. 이런 사람들 어디서도 만나기 힘듦. 일 잘한느 사람들과 함께 제대로 협력해 일할 수 있고 문화 역시 사람다운 문화를 경험할 수 있었음. 눈치 보지 않고 연차사용할 수 있음.
","
성과압박과 피어프레셔, 기대수준에 못미칠까하는 두려움이 공존. 팀바팀이지만 업무량이 엄청 많거나 야근이 있는 사람도 있음. 어떤 사람은 불필요하게 야근을 심하게 함미국과 협업, 영어가 안되면 회의할때 뭔소리인지 모름. 점점 비대해진 조직과 그로인해 개개인의 성취영역 제한이 분명히 있음. hr이 열심히 하지만 위에서는 관심이 없어보임
","
본사 눈치를 너무 봄. 한국리더십 커뮤니케이션이 부족하다. 회사 문화 액티비티필요. 복리후생도 너무없음
"
개발,현직원,서울,2022. 05,1.0,"""한국인 대표에게 한국인 차별을 경험할 수 있는 곳""","
그래도 로봇 업계에서는 이름값이 있고, 뭐… 그 정도인 것 같음
","
잘 되는 것 처럼 보이지만, 결국 하청업체 같이 일하는 느낌이 강함.그리고, 한국 직원들에게 미국보다 생산성 낮다는 이야기를 하는 한국인 대표, 돈은 한국에서 벌고, 한국은 무슨 테스트 필드마냥 미국 애들이 개발한 똥을 다 치우고 있는데ㅎㅎ
","
기업 문화에 투자하세요.오래 다니던 사람들이 최근에 우루루 퇴사한 이유가 확실히 있습니다.
"
