직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
마케팅/시장조사,현직원,서울,2023. 10,3.0,"""성장하고자하는 의지만 있으면 좋은 곳""","
성장하고자하는 의지만 있으면 좋은 곳전반적으로 부여되는 업무의 폭이 넓다.
","
변화를 좋아하지 않는 사람들에게는 버거울 수 있다.
","
크게  바라는  점은  없다.
"
마케팅/시장조사,현직원,서울,2023. 10,3.0,"""배우고자 하면 얻을수 있는 곳근데 다른건 못 얻음""","
프리한 업무환경큰 광고주 네이밍협업사가 많아 정보값 많음. 특히 구글 최신 정보 오가는 편
","
팀바팀, 광고주 바이 광고주로 야근 많음저연차에 책임을 크게 지우는 구조
","
복지 자꾸 줄이려면서 앞에서만 준다준다 하지 않았으면... 뭘더 좋게 말하려고 해도 의도가 너무 빤히 보여요.
"
마케팅/시장조사,현직원,서울,2023. 10,1.0,"""팀바팀이겠지만, 멘토로 삼고 싶은 시니어가 없다. 퇴사율이 매우 높고 직원들의 평균 근속연수도 짧은 편이라 업무가 효율적으로 진행되기 어렵다. 너무 주니어들로만 구성되어 실무를 겉핥기 느낌으로만 배우는 것 같다.""","
1. 자유로운 연차 사용 및 반반차 존재2. 허접하고 양이 적지만 일단 스낵바 존재3. 매우 깔끔한 새 사옥4. 매일 지각하는 사람 있을 정도로 동아리 같은 편한 분위기5. 자율복장6. 9-10 유연출근제7. 야근 시 익일 지연출근 가능
","
1. 쓸데없는 문서 아카이빙 작업이 지나치게 많음2. 갑 오브 갑질하는 클라이언트 못 쳐내서 생기는 물경력 업무. 담당 직원들만 죽어나는 중3. 인격적으로나 업무적으로나 수준 떨어지는 일부 직원들4. 유명무실한 셀프연봉제도5. 파격적으로 줄어들고 있는 복지6. 모비라이팅이라고 불리는 가스라이팅 문화 존재7. 체계 없는 주먹구구식 일처리
","
잡플래닛 평점 관리할 시간에 남아있는 직원들한테 더 신경써주세요
"
마케팅/시장조사,전직원,서울,2023. 10,2.0,"""영업자로 뽑아 놓고 문서 작업이 너무나 많다. 경력직이 오래 버티기 힘든 구조이다""","
간식을 잘 주는 것. 일을 짧은 기간내에 잘 배울 수 있는 점.
","
경력직이 버티기 힘든 구조이다. 대표 말이 곧 법인 회사
","
별로 바라는 거 없음. 주가 올리는데 더 신경 쓰시길 바랍니다
"
영업/제휴,전직원,서울,2023. 09,2.0,"""경력직의 무덤 때문에 평균연령이 매우 낮은 편퇴사율만봐도 답이 나오는 회사""","
반반차 사용가능함수평문화로 님호칭 사용사옥이전함 화장실이 사무실 내부에 있음
","
회의를 위한 회의가 많음많은 퇴사와 입사로 1년넘은 직원을 보가 어려움고객 히스토리를 모르는 직원이 대다수이며 이에 대한 책임을 그런 직원들에게 지게하는 편
","
당장 눈앞의 이익뿐만이 아니라 숲을 보고 가세요기존 직원들도 계속나가는 것을 방어하시고퇴사등으로 인해 플랜과 액션이 제한되는 걸 이해하셔야합니다
"
마케팅/시장조사,전직원,서울,2023. 09,2.0,"""업계에선 높게 평가한다고 하나 구성원 입장에선 잘 모르겠음""","
- 사람들이 착함 정말 착함- 수평적인 문화 님호칭 사용- 복장자율 캡모자에 슬리퍼 신어도 아무도 신경안씀- 팀바팀이지만 경력을 빠르게 쌓을 순 있음
","
- 회전율이 미친듯이 빠름 매일 퇴사자가 우수수 나옴- 일을 주도하거나 팀의 방향을 잡아줄 리더급들이 부족함 매번 못버티고 퇴사함- 복지가 점점 줄어들고 있음 반발은 늘어나는데 회사는 별생각 없어보임- 특정 팀 중심으로 돌아가는 구조라 본인이 어느 팀이느냐에 따라 그냥 서포트(=잡일)만 하게 될수도 있음 까라면 까야 됨 늘 그래왔으니까- 모든 업무를 세세하게 쪼개 시간단위로 평가하고 싶어함
","
무엇이 진짜 문제이고 중요한 건지 아무리 얘기해도 바뀌지 않을 것 같습니다
"
마케팅/시장조사,전직원,서울,2023. 08,2.0,"""빠르게 업무를 배우기 좋은 곳. 스파르타마케팅 사관학교라고 말하기도 함""","
좋은 동료들, 단기간에 많은 경험을 하게 되는 곳빠르게 배움
","
그만큼 일이많고 일도 많은데 회의도 많고 효율성을 높이기 위한 회의를 하는 곳
","
회의를 줄이고 실무자들입장에서 생각해보길복지가 늘어나길
"
마케팅/시장조사,전직원,서울,2023. 08,2.0,"""빠루게 성정하여 상장까지 됐으나 이후 정체, 위기새내기들이 일을 배우기에는 도움이 될 수 있으나 경력직이 버티기에는 쉽지 않은 곳""","
자유로운 분위기, 실력과 욕심이 있다면 비교적 빠르게 승진 가능.
","
여전히 잡혀있지 않은 체계와 고연차 리더들의 부재.무조건 실적을 만들어내야 하는 분위기 속 야근은 거의일상.
","
직원들의 입장을 조금 더 생각해 주시고 비용이 발생하더라도 복지 비용을 더 사용해 보세요. 장기적으로는 퇴사율을 낮추는 이익이 발생할 것입니다.
"
미디어/홍보,전직원,서울,2023. 08,1.0,"""신입들이 다니기엔 좋은 회사이며 나름 다양한 광고주를 경험할 수 있다""","
눈치 안보고 연차 사용 가능하며 자기주도적 업무가 인맥에 따라 가능하다
","
얕은 경력의 사람들로 구성되어 있고 물경력으로 들어온 경력직들이 많아 배우기 힘들다
","
중간급 사람들의 의견을 깊이 새겨들어 주셨으면 좋겠습니다.
"
기획/경영,현직원,서울,2023. 08,4.0,"""성장할 마음만 있으면 많은 기회가 주어지는 회사 매우 젊은 구성원들과의 원활한 소통이 장점인 회사""","
구성원들이 젊어서 커뮤니케이션 하는데 있어서 꼰대적인 마인드가 없다. 기업문화가 자유롭고 성과만 잘 낸다면 터치를 하지 않는다. 최근에 사옥을 통으로 임대해서 건물 하나를 쓰고 있음. 코스닥 상장사라는 점
","
잦은 퇴사자들, 유명무실한 셀프연봉제도, 장기근속자들의 부재와 부서별로 비전을 제시할 수 있는 리더, 팀장이 별로 없음. 커리어 단계 상 거쳐가는 기업으로 많이 인식하고 있음.
","
직원들의 불만을 듣지만 말고 실질적인 해결을 해주고 적합한 보상을 제공하면 좋겠다.
"
