직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
영업/제휴,전직원,서울,2023. 10,4.0,"""돈 많은 회사, 간식자판기, 쾌적한 업무환경, 워라벨 나름 좋음""","
회사가 돈이 많아서 재정적으로 타이트하거나 아껴쓰라고 닥달하지 않아서 편함. 간식 자판기도 지원 빵빵하고 시설도 깨긋함
","
경영진이 회사 경영을 해본 경험이 없는 듯.. 점점 산으로 가는 듯한 영업실적... 따로 대비책은 없어보임
","
기업의 미래에 대해 실직적인 대안을 만들어 주세요 너무 생각없이 자리만 지키지 말고...영업팀 영업력만 믿고 있기엔 실적이 그리 좋지 못한거 같습니다.
"
연구개발,현직원,서울,2023. 07,5.0,"""드라마틱한 성장을 하고 있으나 내부적으로는 아직 미성숙한 단계""","
자유로운 분위기와 근태제도.매일 간식을 제공하며 무료 자판기 또한 편하게 이용 가능
","
회사 규모의 성장세만큼 내부 시스템적인 면이 성장하지 못한 상황으로 보임.내무적으로 시스템 관련 많은 인원들을 채용하여 시스템 보완에 힘을 쓰는 중
","
기업의 방향성 공유를 해주는 것은 좋으나 현업 직원들의 바라는 것들은 아직 해결이 어려워보입니다.
"
생산/제조,현직원,서울,2023. 06,5.0,"""스트레스 안받으면서 다닐수 있는 회사입니다.""","
자판기가 있어 자유롭게 간식과 음료를 먹을 수 있으며, 매일 오전에 간식도 나옵니다. 월급 안밀리고 자유로운 분위기입니다.
","
펀드에 인수되면서 성과중시의 경영이 진행되면서 실제 실무진과의 괴리가 있습니다.
","
실무에서 필요한 내용들에 대해 귀를 귀울여주셨으면 좋겠고, 인력이 필요한 경우 지원을 해주시면 좋겠습니다.
"
개발,전직원,서울,2023. 06,3.0,"""연구소 개발자에 대한 대우가 좋았던것으로 기억합니다.그 외 개발자나 IT직군은 상대적으로 메리트가 떨어졌습니다.""","
회사에서 운영하는 카페가 있었고 도서는 무료로 구매 가능
","
팀장급 인사를 크게 신경 안쓰는건진 모르겠지만 전문성이 부족한 팀장 밑에서 고생을 많이 했습니다…
","
특정 직군만 우대하지 말고 골고루 균형적인 처우가 적용되면 좋을 것 같습니다.
"
영업/제휴,현직원,서울,2023. 06,3.0,"""개발자가 대우 받을 수 있는 곳이며 제품의 시장 성장 가능성이 아직 높음.""","
연차 눈치 안보고 사용, 도서구입비 지원, 회식 강요 없음
","
중견기업이지만 지속적으로 만들어 나아가야할 프로세스가 많음. 그래도 대체적으로 임직원들이 꾸준히 할 일은 해나가는 회사
","
실질적인 복리후생에 조금더 힘써주었으면 좋겠음. 예) 의료비 지원 등
"
개발,현직원,서울,2023. 06,3.0,"""글로벌 치과 구강 스캐너 기업.경쟁 업체에 비해 저렴한 가격으로 승부하지만, 그 다음의 승부수가 필요해 보임.""","
아직은 회사의 매출이 안정적인 편.개발 조직의 경우 자신의 업무에 소극적인 구성원이 많아서, 주도적으로 업무에 임할 경우 연봉 인상폭이 클 수 있음.
","
중간 연차의 과장, 차장 개발자의 부재 인해 저연차와 고연차의 업무 괴리가 큼.사업기획의 누군가에 의해서 개발조직이 휘둘리는 경우가 많고, 개발조직에서 사업기획이 컨트롤이 안됨.
","
좀 더 내실있는 사업 모델을 찾아야 할 것으로 보임.매출 목표에 따른 급조 된 TF 형태의 업무를 꾸리는 것을 줄이고, 내실 있는 중장기 플랜이 필요해 보임.신규인력 채용에 좀 더 공을 들일 필요가 있어 보임.
"
생산/제조,전직원,서울,2023. 06,4.0,"""겉으로 보여지는 사이즈만 키우다가 속이 썩어감""","
연차자율, 복장자율, 업무 강도대비 높은 연봉 및 각종 복지혜택
","
뭘 원하는지 모르겠음. 각 포지션별 업무강도 및 환경이 다 다른데, 그런부분을 전혀 생각안함. 그냥 무조건 다 똑같이 하라함.
","
각 포지션별 조금더 디테일한 관리가 필요하다고 생각됨. 포지션별 환경이 다 다르기 때문에 어쩔 수 없는 부분도 있겠으나, 누구는 땀뻘뻘, 누구는 가만히 앉아서 인터넷쇼핑, 누구는 휴식시간 5분일찍 출발 등등.. 월급은 다 똑같이 주면서, 형평성은 전혀 맞지않음.
"
마케팅/시장조사,전직원,서울,2023. 05,3.0,"""다양한 경험과 기회가 주어지나 연구소 중심으로 운영되는 기업""","
외국계 기업의 느낌처럼 자유롭고 누구나 편하게 의견을 제시할수 맀름
","
많은 업무의 중심이 특정 부서 중심으로 돌아가는것이 다소 아쉬움
","
개개인이 성장할수 있는 회사로 만들어 주시고 더 많은 복지가 있으면 좋겠습니다.
"
유통/무역,현직원,서울,2023. 05,3.0,"""슬슬 성장세가 저물어가는 회사.그동안 폭발적으로 많이 성장했으나, 더이상의 성장은 힘들어 보임.""","
회사 분위기가 굉장히 자유로운 편임.출퇴근(탄력근무제)/연차사용/근무복장 등등에서 타 회사 대비 자유롭다고 느낌
","
일 못하는 고인물 대잔치, 일 잘하고 의지 열정 많은 분들은 이미 다 퇴사 혹은 이직규모 및 성장 대비 연봉 상승률 및 급여가 매우 적은 편
","
열심히 일해서 회사가 성장하는 만큼 보상도 따라야 한다고 생각합니다.
"
개발,현직원,서울,2023. 04,4.0,"""성장해 나가는 과도기여서 해야할 일은 많지만 빠르게 커가는 것이 보임""","
알짜기업임. 업계 1위이고 회사가 성장해가는 것이 눈에 보임
","
그래서 일이 좀 많음. 팀바팀이긴하지만 전체적으로 일은 많은 편
","
지금처럼 내년에도 인센 많이많이 주세요~ 현금성 복지도 늘어나면 좋겠습니다~
"
