직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
개발,현직원,서울,2023. 03,3.0,"""그룹사 안에서 안정적으로 일할 수 있음.  편안한 분위기""","
사업기반이 확실해서 안정적으로 업무를 할 수 있다. 그룹사 안에서 일하다 보니까 크게 돈걱정은 안하는 것 같아 보인다. 복지제도가 있다. 연차사용이 자유롭고 분위기가 편안하다
","
과장 차장이 많고 오랫동안 굳혀져서 승진이 어렵다. 복지제도가 많다지만 실제로 사용할수 있는게 없다.
","
직원들의 불만을 듣지만 말고 해결책을 제시해줬으면 좋겠다.
"
개발,전직원,서울,2023. 01,3.0,"""가족같은 분위기는 얼마든 만들수 있지만 딱딱한 몇명을 제외하곤..""","
연차사용이 자유롭고 칼퇴문화가 확실히 잡혀 있어 눈치보지 않고 퇴근가능
","
일하는방식이라는 별 도움안되는 회의시간을 만들어 도움도 안되고 시간만 뺏기는 현상
","
현업과 업무회의를 다녀오는것을 파트장은 놀다 온다고 생각하고 꼽을 줌
"
기획/경영,현직원,서울,2022. 11,4.0,"""사람 때문에 스트레스 받는 일은 없지만 직원들 개개인에 대한 대우가 조금 아쉽습니다.""","
같이 일하시는 분들의 태도가 기본적으로 매우 성실하며 책임의식이 강합니다. 그리고 인사 담당 직원 분들께서도 안내사항이 있을 시 누락없이 잘 챙겨주십니다.
","
인원이 적다보니 오프라인 / 온라인 기술 지원이 매우 힘들고 신입 직원들에 대한 교육 커리큘럼 체계가 전혀 잡혀있지 않습니다.
","
주력으로 밀고 나가는 사업의 캐릭터를 명확하게 가져갔으면 좋겠습니다. 그리고 비전이 확립되면 재직 중인 직원 분들에게 적극적으로 의견을 피력해주십시오.
"
기획/경영,현직원,서울,2022. 10,3.0,"""성장을 추구하지만 아직까진 결과물이 부족한 회사""","
작은 회사이지만 중견그룹의 계열사로 안정적이며, 회사 규모에 비해 복지도 괜찮은 것 같음
","
아직까지는 그룹시스템 운영이 주된 사업외부사업을 통한 성장이 아직 부족
","
회사의 비전과 엔지니어의 비전을 잘 연결했으면 함
"
개발,현직원,서울,2022. 06,3.0,"""워라벨은 보장되지만 실력향상을 기대하기는 힘들다.성격이 좋은 동료들이 많다.""","
아주그룹에서 내려오는 기업문화가 훌륭하다구내식당을 이용할 수 있다.특별한 일이 없다면 칼퇴가능.시차 출퇴근제 적용되어 출퇴근 시간 선택가능퇴근시간 지나면 자동 pc off생일 또는 결혼기념일 공짜연차 부여
","
연봉이 매우 작다.올해 연봉을 기존에 받던 상승률보다 더 올려줬음에도불구하고 작다.인센티브 없음.엔지니어로 구성되어있는 팀이 아닌스텝부서가 우수팀을 받는 이해되지 않는 케이스도 있었음낮은 연차 직원들의 경우 거의 1~2년 경험 쌓다가 이직
","
일잘하는 직원들이 왜 퇴사하는지퇴사자들이 많이 발생하는 이유를 파악하고이를 해결할 수 있는 대책이 시급해 보입니다.
"
개발,전직원,서울,2022. 04,1.0,"""신사업을 시작하고 새로운 위험에 부딪힌 회사대표만 행복한 회사""","
강남역이 가깝고 본사 건물에 금이 하나도 없다RPA를 시작했는데 이제는 아무나 다 하는 사업임
","
연봉이 엄청 낮고 복리후생이 거의 없다회사분위기는 엄청 어둡고 컴퓨터대신 타자기가 있어야 어울릴것 같다
","
부잣집 아들이 부모님 재산 까먹는 것 같은 마인드로는회사가 발전하기가 힘들죠
"
엔지니어링,전직원,서울,2022. 02,3.0,"""서울 강남에 위치한 아주그룹의 전 계열사의 전산 시스템을 운영하는 IT 계열사""","
그냥 저냥 한 일반기업, 워라벨은 지켜지지만 케바케, 줄 잘타면 오래 버틸수 있는곳
","
미래성 결여, 직원 챙겨주는 의지 없음, 각자 도생, 객관적 성과도 묻힘, 주관적 성과로 평가, 줄 잡으면 장기근무 가능
","
기업 구조는 탄탄해보이지만 향후 먹거리 불확실성으로 항상 초조한 분위기인데.. 방법 하나 알려드릴게요.모든 것은 사람으로 인해 이루어집니다. 관리자들을 혁신 하세요.
"
개발,전직원,서울,2022. 01,3.0,"""그룹사 유지보수로 개발능력을 쌓기에 좋음그룹사 복지를 그대로 누릴 수 있음""","
부바부이지만 대체적으로 워라밸이 좋음강남역에 위치해 출퇴근이 편함지하식당이 있어 점심저녁 식사 해결하기 좋음
","
역피라미드 구조. 무능력한 윗직급들이 너무 많음신규사업 실패로 회사가 많이 기울었음아래직원 이직률이 굉장히 높음
","
기존 유지보수 하던 직원들에게도 충분한 대우를 해주길기존 직원들만 남고 새로운 직원들이 왜 자꾸 나가고 있는지를 제발 좀 생각해보길 바랍니다
"
개발,전직원,서울,2021. 11,3.0,"""개인이 따로 공부하지 않으면 기술 능력향상에 도움이 되진 않습니다. 모기업의 직원들이 가끔 갑질할때가 있습니다. 다른 중소기업들이랑 다를건 없습니다.""","
직종마다 다르지만 칼퇴 가능합니다. 워라벨 좋습니다. 다른 중소기업들과 비슷하게 복지가 있고 점심 구내식당 비용 나옵니다.
","
사내 정치질, 연봉 적음, 기술력있는 인재들이 대우 받기 힘듭니다.
","
체계는 있으나 어설프게 지키거나 누군 지키고 누군 안지켜도 되는 그런 체계는 없느니만 못합니다. 직원들에게 많이 베풀어주시기 바랍니다. 발전하여 잘되시길 기원합니다.
"
개발,현직원,서울,2021. 10,4.0,"""모기업 내 IT 담당 계열사로 어느정도 안전성은 있음""","
대기업은 아니지만 아주그릅 내 계열사로 어느정도 체게적인 그룹 지원 및 내부 관리 커리큘럼이 있어 안정적임
","
대기업에 비해선 복지가 아쉬울 수 있으며 IT 업종의 특성상 경우에 따라 업무강도가 들쭉날쭉함
","
직원의 복지와 직군간 소통 등에 대한 지원이 보다 활성화되었으면 좋겠음
"
개발,전직원,서울,2021. 04,3.0,"""안정적인 직장, 보장되는 퇴근, 서로 존중하는 분위기""","
가장 큰 장점은 칼퇴가 무조건 보장된다는 것이고 업무환경도 진취적으로 바꿔가려고 하는 움직임이 있습니다.
","
발전하는 분위기보다는 전체적으로 정체된 분위기이기 때문에 뭔가를 많이 배우기는 어렵습니다,
","
서로 협업 할 수 있는 분위기를 만들면 좋지않을까요?
"
개발,현직원,서울,2021. 04,3.0,"""한 곳에 정착하고 싶은 엔지니어라면 만족할 듯""","
대기업이 아니기 때문에 다양한  어플리케이션 경험이 가능함
","
다양한 업무 경험은 좋으나 기술적 발전에는 한계가 있음
","
성장을 위한 새로운 사업은 지속적으로 수행되어야 하지만 기존 사업 영역에도 조금 더 관심을 자져주셨으면 함
"
개발,전직원,서울,2021. 03,5.0,"""워라벨을 가지고, 개발자로써 근무할 수 있는 곳, 부서마다 분위기가 많이 다름.""","
도서구입비, 연차 눈치안보고 쓸 수 있음, 모회사가 좋아서 망할일 없음, 업무적인 측면에서 많은걸 배울 수 있음(신입때), 여러가지 복지제도 있음
","
역피라미드 구조, 전체적인 분위기가 많이 보수적임, 기업의 규모에 비해서 연봉이 적은 것으로 보임
","
딱히 없음, 앞으로 하시는일 전부 잘 되셨으면 좋겠습니다.
"
개발,전직원,서울,2021. 01,3.0,"""전형적인  옛날 회사라서 그 나름의 장점과 단점이 있습니다.""","
운영위주의 회사라 옛날 느낌으로 일 할 수 있음. 중견기업이라서 정시 출퇴근 할 수 있음.
","
답답한 회사 분위기를 잘 버텨내야 함. 형식적인 부분이 많이 남아있음.
","
나이 많은 분들이 많아서, 알아서 잘 하시겠지요.
"
개발,현직원,서울,2020. 10,2.0,"""나쁘지 않고 이것저것 경험해볼수있다 프로젝트 진행을 자주함""","
연차 사용이 자유롭고 워라벨이 괜찮다 강남역 바로 앞이라 가깝다
","
복지제도 다양하지 않고 야근수당 주말주당 안줌... 야근했을시 택시비는 줌
","
복지를 늘렸으면 좋겠다 연봉 협상도 없고 좀더 적극적으로 이끌어줬으면
"
개발,현직원,서울,2020. 08,3.0,"""업무 강도가 높지 않지만 개발 역량을 발전하기엔 한계가 있는 곳""","
칼퇴 가능하며 업무강도가 높지 않음 대부분 사람들도 좋은 분들임
","
급여가 많이 높지 않음 돈 욕심이 없고 배우고 싶은 욕심이 없으며 다닐 곳으로 추천
","
성과급을 준다면 직원들이 좀 더 의욕적으로 일을 할 수 있을 것
"
개발,현직원,서울,2020. 05,2.0,"""신입이 와서 혼자서 이것저것 해보는 곳 다만 성장의 기회로 삼기는..""","
연차 별 사유 안물어봄명절 5만원 포인트 지급퇴근은 알아서 하는 편
","
주니어들이 들어왔다가 시니어 비율 보고  도망갈듯한 시니어 비율기업에 주니어급이 적다는건 다 이유가 있다.적은 급여
","
있는것부터 다 가다듬고 새로운 추진을 시작했으면 좋겠음.일단 벌리고 보자는건 아닌거 같은데..
"
개발,전직원,서울,2020. 04,2.0,"""아주캐피탈 및 아주산업 IT 유지보수 기업""","
퇴근이 자유로움 눈치 안보고 땡하면 집에감, 구내식당 밥이 맛있음
","
딱딱한 조직문화, 간간이 또라이들이 상주, 연봉이 너무 적음
","
나와서 바라는 점이 딱히 없습니다. 회사 잘 키워주세요
"
개발,전직원,서울,2020. 03,1.0,"""아주그룹 sm과 대외사업을 수행하는 회사로 캐리어의 미래를볼수 있음""","
다양한 업무 경험할수 있고다양한 사람을 만날수 있음최신트랜드를 따라갈수 있음
","
조직구조가 역 피라미드구조윗 직급이 직급에 비해 아는게 많지는 않음
","
최신 트렌드에 대한 관심과직원 처우에 대한 개선 필요
"
개발,전직원,서울,2020. 02,2.0,"""몇년전부터 계속 발전보다 정체중 ..""","
워라벨 좋습니다 .  자기가 맡은 업무에만 충실할 수 있음
","
커리어 발전은 기대 할 수 없는 곳, 역피라미드 구조..
","
사람은 뽑으면 된다는 마인드를 가지고 있음..
"
개발,현직원,서울,2019. 12,3.0,"""워라벨을 중시하는 회사20자 채우기 힘드네""","
연차에 눈치 없고, 신입으로 입사해 일 배우는 환경이 좋은 근무조건, 좋은 분들이 많아요.자신의 직무외에 다른 업무는 안함.
","
월급이 적은게 가장 큰 문제임..30자 채우기 힘드네..
","
회사가 성장했으면 좋겠다.20자 채우기 힘드네..
"
개발,전직원,서울,2019. 09,2.0,"""연봉이 낮은 만큼 업무강도도 약합니다. 바쁜사람만 바빠보이고 불쌍해보여요. 이기적인 문화""","
워라벨이 좋으며 점심을 제공 합니다. 혼자일하는것을 좋아하시면 적극추천
","
무의미한 성과관리 업무보다 잡무를 더 많이하며 사람들끼리 뭉치는걸 좋아하시면 이회사 분위기는 적응안됨 기술력 상승하시려는 분들께는 비추
","
자기배 채울 생각만하지말고 직원 연봉 덜줄생각 말고 단합이 잘될수 있게 더 노력해주세요
"
