직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
인사/총무,현직원,서울,2023. 10,1.0,"""전자금융계의 I am 김밥 Heaven 같은 곳2에요""","
1. Shin Non Hyn 역 근처2. 표면적 짧은 WoRK 시간3. 모닝 브렉퍼스트 가끔 있어요4. Card 줘요
","
1. 위에서 싸면 down에서 치워여2. What is this company?3. 전금계의 Kim 1000 2 이에요 no 신뢰에요4. 꼰대 있어요5. 눈치 많이 보여요
","
그동안 더 잘해줘서 고마워요 다음에도 잘 부탁이에요
"
영업/제휴,현직원,서울,2023. 10,2.0,"""전자금융계의 김밥천국같은 곳 입니다.""","
1. 신논현역 교보타워에 오피스가 있음2. 7시간 근무3. 아침 격일 제공4. 월 1회 리프레쉬 휴가 등등 복지 좋음5. 개인 기명 법카로 점심값 지원
","
1. 탑다운 방식으로 신규 사업 벌리고 실무자가 수습 하고 있음.2. 이 회사가 뭐하는 회사인지 명확하게 이야기할 수 있는 사람 없음.3. 전자 금융계 김밥천국 or  문어발4. 상장 될거같이 하지만 제3자가 보기에 상장이 어려울거같다고 함.5. 스타트업이라고 생각하고 가면 큰코다친다 어디보다 수직적, 보수적6. 몇명 성격이 진짜 괴랄한 사람이 있음. 영향력이 큼.7. 임원이나 팀장급이 입이 무거워야 되는데 부하직원 고충 듣고 나면 어느새 그욕 그대로 당사자한테 전해져있음.8. 야근 안하면 일 없는 줄로 앎.
","
문제가 있다고 여러번 제기 된 건이 있으면 충고나 경고를 해야합니다. 그냥 감싸고 도니 개선이 안되겠죠.
"
서비스/고객지원,현직원,서울,2023. 10,1.0,"""상장을 꿈꾸지만 좌충우돌 우당탕탕 대환장 파티🎉""","
더즌 회사는 직원들에게 식대를 제공하며 플러스 1일 휴가 혜택도 주는게 특징입니다. 또한 기대와 어울리지 않게 교보타워에 있어서 독특한 매력을 지닙니다.
","
더즌 회사는 불공정한 연봉 평가를 제공하며 성골 집단의 권력 쏠림, 복지만 보고 들어온 수준낮은 인재들과 실력없는 꼰다 팀장들이 많아서 정말 추천하지 않습니다. 유사 핀테크 SI 금융계의 크몽 프리랜서입니다.
","
복지만 늘리는게 전부가 아니니 회사를 좀 정상적으로 운영하길 바래요.
"
기획/경영,전직원,서울,2023. 09,2.0,"""영업 CS 중심의 전형적인 SI 인력 관리식 회사""","
1. 캐시카우, 안정적 재무구조2. 대표의 공동체 비전3. 나름 복지 노력
","
1. 하향 평준화 연봉 테이블2. 사람과 기술력을 키우지 않는 'IT 회사'3. 따라하기만 급급 B2C 절대 성공 못할 수직 구조, 순종 문화4. 리더십, 실력 부족의 '진골 계급'그 외 술자리 의사결정 등 모두 그대로일 듯..
","
No more luck. We all know that change is needed.
"
영업/제휴,전직원,서울,2023. 08,2.0,"""IT는 주35시간 지켜질지 모르나 영업은 퇴근 후 술자리, 대기타다 제안서작업 등등 워라밸 헬...IT는 좋지만 영업은 글쎄""","
중식대 지원해주고, 수습끝나면 월 하루씩 추가 휴가 있고 간식이 배치되어 있어 마음대로 먹을수 있다.신논현역 바로 앞이라 교통도 편리하다
","
경영진의 일방적인 의사결정영업은 술자리, 대표 한마디에 야근 등등 독재자스타일의 기업
","
좀 더 소통이 가능한 회사로 바껴야 경쟁력이 있을거 같고 인센티브 제도가 필요하다
"
개발,현직원,서울,2023. 07,1.0,"""생각 없이 다닌다면 이만한 스타트업을 찾기도 힘들기 때문에 괜찮다""","
매 달 제공되는 리프레쉬 휴가신논현역 바로 코 앞이라 출퇴근의 편리함그 밖에도 좋은 점이 있었던가
","
개발보다 모니터링이 주 업무개발은 돌아만 가면 땡이라는 식으로 진행어디서 봤던 것들의 복붙으로 이루어진 코드들실력자가 없어서 코드 리뷰를 하지도 못함연차에 맞는 실력을 갖춘 자가 없다
","
직원들의 불만을 들어줬으면 좋겠다아니 땐 굴뚝에 연기 날까
"
개발,현직원,서울,2023. 05,3.0,"""복지 누리면서 잠깐 다니기에 좋은 곳입니다 오래 다닐 직장은 글쎄요""","
야근하는 사람 존재하지 않습니다 근무시간이 점심시간 출퇴근시간 모두 포함하여 짧습니다
","
취업공고에 나와있는 업무와 실 업무 내용 틀리다 업체 비젼 불투명하다 상장에 미쳐있어 보이는 문제들 전혀 않 고치고 돌진하고 있다
","
이런식이라면 상장하면 모두다 주식팔고 나가는것이 확정입니다
"
개발,전직원,서울,2023. 05,3.0,"""좋다 생각하면 좋고 나쁘다 생각하면 나쁠수도""","
전체적인 직원들에 대한 복지는 왠만한 회사에 비해 매우 좋다연차도 자유롭고 기본연차+리프레쉬 등 30개가 넘는 연차가 보장되고아침식사, 식대지원 등 본인이 활용할 수 있다면 복지로써는 매우 좋은 회사라 생각된다그리고 팀바이팀이겠지만 업무 분위기 및 강도 또한 매우 자유로운 분위기 이며,전체적으로 직원들도 다 착하고 업무 협업도 잘 되는 편이다물론 일부 그렇지 않는 사람도 있지만 그런 분들은 소수이기에 뭐 그닥..?문제는 없다또 개인적인 좋은점이지만 복장에 대해 매우 자유로운편이다과장과 거짓말을 살짝 덧붙혀 이야기하자면 수영복만 아니면 될 정도?ㅎㅎ 좋은점은 더 많이 있지만 사실 좋다 나쁘다는 개인차이기때문에내가 느끼기에 전체적으로 좋은편에 속한다고 생각한다.
","
어느회사나 비슷할 수 있겠지만 상황에 따라 돈에 민감하다많이 안써도될곳에는 잘 쓴다.예를 들자면 이벤트성 상품이나..워크샵..? 정작 회사 업무상 필요한곳에는만원도 왜이렇게 비싸냐라는 이야기가 나온다 그리고 누구라고 콕 찝어 말할 수 없지만 몇몇 직원과 임원이 좀 문제가 있다미꾸라지 한마리가 물 흐린다고 하듯 이것 또한 개인적인것이지만그런 사람들만 없었다면 매우 좋은 회사이지 않을까 싶다물론 그런 사람들과 잘 맞는 사람이 있을 수 있기에 반대로 생각하며 나의 문제일수도있다다만 나뿐만아니라 전체적인 사람들이 안좋아하고 그 사람들때문에일을 힘들어하는것을보면 문제는 있어 보인다 솔직히 큰 단점은 없다고 생각한다.
","
큰 바램은 없다 위 언급 했듯 전체적으로 좋다뭐 그래도 굳이 이야기하자면 임원분들도 힘드시겠지만 직원들 이야기를 좀 더 들어주고급 발진하여 화내는 모습을 줄였으면 하고본인들이 틀렸을때 또는 잘못하여 사과를 하여야할때 임원이라는 또는 연배 있다는 이유로 너무 꼿꼿이 있지 않았으면 좋겟다.세상에서 가장 행복한 회사를 꿈꾼다면 말이다..
"
마케팅/시장조사,현직원,서울,2023. 05,2.0,"""핀테크 인줄 근데 핀은 있는데 테크가 없는 기업....슬슬 힘들어지고 있는 것 같다..""","
누구나 아는 망하지 않을 거라는 사실주변에 맛집 많고 아디다스 있다핫한 까페 음식점 있다 그런 점은 조으다
","
누구나 다하는 사업모델이라..진입 장벽은 없으나 시장에 선도기업들이 이미 있다..한정된 파이 나누어 먹으려고 치열하게 싸워야 하나 남는 건... 갑자기 냉장고에 계란과 라면이 사라짐...점점 어려워 지는 것 같다.. 레거시가 없어서 딱히 누구에게 배우거나 롤모델로 설정한 이유없다그냥 월급 돈푼인나 벌려고 다니게 된다 커리어 생각없는 사회 초년 생들은 다니기 좋으나미들급은 커리어기 꼬일 수도 있다. 워라벨 워라벨 찾다가 큰일 날 수도 있다 진취적인 사업 마인드는 경의를 표하나되는게 없다 그래서 분위기만 드러워진다 앞으로 치고 빠질수 있을까? 의구심이...
","
그다지 바라는게 없습니다. 항상 행복하시고 건강하시고 아디오스
"
교육,전직원,서울,2023. 04,3.0,"""생각보다 꼰대스럽다.. 겉으로 화기애애함을 강조하지만 좀만 본인에게 불이익이 생기면 발작하는 빌런들이 존재한다.""","
확실한 캐시카우가 있어서 망하지는 않는다.적당히 사용 가능한 연차가 주어진다.회사가 신논현역 교보타워에 있어서 출퇴근 편리하다.
","
쬐깐한 기업에서 벗어난지 얼마 안되어서 회사 시스템이 많이 부족하다.전능하신 대표님만 계신다...딱히 경영진이라고 할 사람이 없는게 문제이다.신사업은 어디로 가는지 누가 알까..헛발질의 연속... 매출과 휴가 사용이 연결 될 수도.결정은 지들이 해놓고 부하 직원을 단도리 시키는 이상한 사람들..이다.자기 객관화가 어려운 분들이 상당수 존재...그냥 포기하고 입닫고 생활하면 마음 편하다뭔가 공동의 목표를 이루어가자 라기보다 누칼협? 알빠노 문화가 많다...기대하지마라..
","
화가 나셔도 소리는 지르지 말고...욕하지 말아주세요 무서워요.술은 제발 집에가서 드셔도 좋으실 것 같아요.
"
