직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
생산/제조,전직원,경기,2023. 07,2.0,"""중소기업이 다 똑같겠지만 여긴 고장난 설비, 기계를 수리하는데도 매출없다고 수리 미루고 나중가서는 왜 수리 안되었냐고 질책하던 회사였음. 적어도 일을 할수있도록 고장난 부분에 대해서는 돈을 써야하는데 사장 눈치만 보며 돈에 대한 부분은 매우 궁색했다. 퇴사한지 2년 지났는데 지금은 어쩌려나?""","
일이 편함, 그 외에 장점이 또 있나? 30자 채우기도 어렵네.
","
적은 연봉에 주야 교대근무 많음, 설비 담당하면 생산쪽 인원 끝나고 남아서 고치라하고 그 고치는것도 부품수급이 어려움(해외설비라 비싸다고 기안 올려도 잘 안사줌) 그리고 부서 별 남탓이 매우 강했다.
","
만약 내가 경영진이었다면 회사에서 주둥이로만 일하고 해결하려는 사람을 초고속 진급 시키지 않았을거다.제대로 된 회사라면 윗 상사가 아랫직원보다 스킬, 지식, 하다못해 일을 할 수 있도록 지원이 되어야할텐데 그게 없음.결국 이 회사는 한계가 명확하게 보인다.경영진과 기존 인력의 지배 구조를 바꾸지 않는한 일하는 사람만 일하고 나머지는 남탓하며 얘때문에 진행 안된다고 보고하고 커피나 빨러 나가겠지.
"
생산/제조,전직원,경기,2023. 03,3.0,"""하락은 면하기 위해 현재를 유지하고자 하나, 실행하고자 하는 의지가 있는 사람이 부족함.""","
연차 및 출퇴근 시간 눈치 안보고 정해진 시간에 출퇴근하면 됨. 자유로움.
","
향후 비전이 불투명 함. 체계를 갖추고 싶어하나, 의지가 미약함.
","
새로운 변화를 추구하고자 하면, 그 의지는 위에서부터 실행되어야 변화를 체감하는 것이 빠를 것이라 생각 됨.
"
연구개발,전직원,경기,2022. 12,1.0,"""주먹구구식으로 일하는 곳. 까라면 까라는 식. 개발업무하는 사람들 갈데 없으면 다니세요. 회사에 기술도 없고 내세울게 없습니다.""","
회사에서 점심밥과 저녁밥을 줍니다. 그냥 밥 줍니다 한끼 때우면 그만이죠
","
조직과 직급이 있는데도. 어떤 부장은 욕하고 소리지르고. 그 부장이 곧 사장되는 줄 알았습니다. 여러사람 힘들게 합니다. 조직이 자주 바뀝니다.
","
탈출해서 바라는 것 없어요. 여러사람들이 퇴사를 하면 왜 퇴사하는지 알아보세요.
"
영업/제휴,전직원,경기,2022. 12,1.0,"""말과 행동이 다른 회사, 애사심을 가질 수 없는 회사""","
연차 자유로움 / 저녁 나옴 / 주차장 넓음 / 업무 강도 보통
","
연봉 형편없음 / 복지가 없음 / 성과급 보너스 기대하면 안됨
","
한번 뱉은 말은 잘 지켜주시길 신뢰감이 전혀 생기지 않습니다.
"
연구개발,전직원,경기,2022. 10,3.0,"""워라벨을 중요시하고 센서 분야에 대해 공부하거나 알고싶으면 추천. 단, 연봉은 매우 짬""","
식대에 돈 들어갈 일이 없음. 야근이 없고 일이 빡세지 않음. 윗사람들은 잘 모르겠으나 젊은 사람들은 괜찮음
","
복지가 없음 그나마 있던 복지도 없애는 추세. 돈이 짜다 연봉부터 짜고 성과급, 보너스 일절 없음.
","
젊은 사람이 없고 역피라미드 구조 되어가는중 고이다 못해 썩어간다 직원들 복지나 처우 개선이 필요하다 신입이나 젊은 경력들이 없는 이유 중 제일 큼
"
생산관리/품질관리,전직원,경기,2022. 07,3.0,"""꼬우면 니가 사장하건가…딱 이말이 들어 맞는 회사미래적인 발전 가능성은 보이지만 지금같이 하면 끝은 창대하게 내려 앉을 듯…""","
워라벨 확실~유연 출퇴근 하는거 같음…잠시 쉬어 갈 수 있는 회사~데이터 정리는 확실히 배울 수 있음
","
복지 없음직원의 안녕에 관심 없음뜬구름 잡는 이야기만 난무함 (특히 대표)인력의 소중함을 회사가 알지 못함문서의 중요성을 말로만 하고 관리하지 않음
","
시스템을 모르면 배우세요~그냥 생각 나는데로 말하지 말고~쪽팔리다 생각하지말고 물어보던지요~진짜 회사 생각하는 사람이 누구인지 잘 판단 하세요살살 꼬리치면서 다가오면 그 사람 의심부터 하세요~제발~진짜 충성 직원들 다나가고 간신배만 남게 생겼네…
"
연구개발,전직원,경기,2022. 06,1.0,"""팀장이 1명인 회사, 결정한 사람이 책임을 져야 되는데 책임은 아래로 내림""","
주자장이 있어 주차는 편하게 할 수 있음, 그 외 장점은 생각 안남
","
낮은 연봉, 꼰대문화, 오래된 책상과 의자, 사무실에 벌래가 많고 군대외 비슷한 식단의 구내식당
","
직원들 의견을 묵살하지말고 경청하시길
"
생산관리/품질관리,전직원,경기,2022. 05,2.0,"""업무 강도가 약해 돈 욕심 없으면 오래 다닐 수 있는 회사.""","
연차를 편하게 쓸 수 있음. 윗 사람한테 잘 보이면 어느 정도 진급이 수월함회사 기술력은 좋음. 월급이 밀리지 않음. 타 회사에 비해 업무 강도는 약함.
","
작업자는 다 이모님들로 작업 변경이 있으면 반발이 심함. 일이 없는 부서는 되게 한가하고 많은 부서는 바쁨.  연봉이 적고 크게 인상되지 않음.
","
R&R을 명확히 하고 인사평가가 잘 반영됐으면 좋겠음.
"
생산관리/품질관리,전직원,경기,2022. 05,3.0,"""관련 과를 전공한 사람이 들어오면 잘 적응할 수 있음관련이 없는 과를 전공하여 회사에서 배워서 경력을 쌓기에는 무리가 있음""","
연차 자유, 급여 밀린 적 없음 자기 할 일 만 끝내면 따로 touch 없음(팀마다 다름)
","
신입사원 교육 부족, 업무에 대한 전체적인 교육 부족, 사내 생산 제품에 대한 전체적인 교육 부족
","
교육system 확립 및 직원 복지에 대해 생각해주셨으면 좋겠습니다.
"
생산/제조,전직원,경기,2022. 03,4.0,"""자재의 입고/관리/출하 등의 생산 현장 관리가 제대로 되고 있다.센서라는 제품의 전망이 좋다.""","
연차 사용이 자유롭고, 생산 현장 스케쥴 조정이 편하다. 매일 중식을 제공해서 좋다.생산 업무가 엄청 위험한 환경이 아니며, 안전하게 근무할 수 있다.
","
생산 물량이 많이 줄고 있다. 그만큼 회사 매출액도 적어지고 있는 것 같다.직원들의 입/퇴사가 빈번히 발생하고 있다.
","
기업을 더욱 더 발전시켜 모두에게 좋은 기업이 되면 좋겠습니다.
"
