직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
생산/제조,현직원,경북,2023. 02,2.0,"""가족같은 분위기라고 생각할 수 있는 회사! 가족들과 함께 어울려 지내는 집 같은 분위기의 회사!""","
1. 예전 자료가 잘 모여있음2. 저녁까지 줌3. 티타임 제공!4. 가족처럼 지낼 수 있는 동료들 제공!
","
1. 본사 의존도가 심함2. 가족 같은 선배들에게 늘 감시 당함3. 자화자찬 속에 자아실현 중인 능력없는 정치가들 투성
","
가족 같은 분위기는 없어도 됩니다.지내고 싶은 직장으로만 만들어주세요.
"
엔지니어링,전직원,경북,2022. 09,3.0,"""중소기업치고 전반적으로 나쁘지 않으며 자기 커리어를 쌓으며 다닐수 있는 직장으로 느꼇음.""","
연차를 눈치 안보고 자유롭게 사용가능함.전체적인 분위기가 자유로움
","
워라밸을 지키기 힘들고 사무직도 현장으로 나가는 일이 많아서 힘듦
","
직원이 바라는 점을 익명으로 들어주면 좀더 자유롭게 의견제시응 할것 같안데 너무 경영진 위주로 생각함
"
엔지니어링,전직원,경북,2022. 09,1.0,"""정치질이 매우 심한곳 뭐 하나 실수하면 책임지라고 하는곳""","
식대를 따로 준다는 점 그리고 자녀 학자금지원 연봉은 높지않지만 퇴근이 그렇게 늦지 않다는 점
","
연봉이 너무 낮다 아무나 할수있고 외국계회사인데 주어동사목적어도 모르는 사람이 있고 영어를 아에 못하는사람이 대부분이다
","
직원들에게 일만 시키지말고 진짜 외국계회사처럼 복지를 늘리고 연봉도 늘려야 능력있는 사람들이 많이 남아있을거같네요
"
생산/제조,전직원,대구,2022. 06,3.0,"""근무환경과 업무시간 불균형에대한 문제가 있다고생각한다.""","
직원들간의 분위기가 좋으며 사람들도 좋다. 보너스가 조금 있는편이다.
","
기업한줄평과 같이 근무환경이 좋지않고 업무시간 불균형문제가 가장 큰부분을 차지한다고 생각한다.
","
조금더 고생하는사람들에 대한 대우가 높아졌으면 좋겠다.
"
생산/제조,전직원,대구,2021. 12,3.0,"""자기 계발과 함께, 기업의 성장과 함께 나아갈 수 있는 회사.""","
연차 사용에 눈치 없이 사용 가능, 평등적인 분위기, 자신의 역할에 집중 할 수 있음, 진급의 기회가 많음
","
일반 중소기업 치곤 크게 나쁘진 않음.업무의 과부하가 가끔씩 생김.
","
합리적인 복지와 급여 체계가 필요함.
"
엔지니어링,전직원,대구,2021. 10,3.0,"""경쟁사가 별로없는 독보적인 기업이라 비전이 있는 점""","
본사가 미국에 있어서 영어로 일할일이 좀 있음, 단점이 되기도 하지만 충분히 자기계발한다면 도움이 됨
","
본사가 미국에 있어서 일하기가 불편함, 장점이자 단점이다.
","
직원들 복지에 힘많이 써주기 바라고,  서비스 부서에대한 지원이 특히 많이 필요하다.
"
생산/제조,현직원,경북,2021. 08,1.0,"""외국계 기업이고, 그래도 회사다 보니 굴러가고 밥 먹게는 해주는 곳""","
1. 미국이 본사인 기업(주변에 이거로만 자랑 가능 대신 본인  양심은 찔릴 듯) 2. 저녁 제공(굶어죽진 않음) / 단점도 됨 밥 먹고 일해라 이거니까3. 미국에서 체계를 잘 잡아 놓아 망할 일이 없음
","
1. 연봉이 꾸준히 오르는 장점은 어느 곳이나 존재하므로  장점이 아님2. 쥐콩만한 곳에서 직원들 정치질이 장난이 아님(회사생활 피곤함)3. 니탓 내탓 바쁨(실제 전문적인 곳에선 내 탓이오로 넘어감)4. 갈굼. 요즘은 군대도 안 갈구는데 갈굼 예전 군대식임5. 전문성 저하( 생산직이 엔지니어도 넘어가고 엔지니어가  생산, 영업 등 넘어가고 이리갔다 저리갔다 누구나 할 수  있는 전문성이 저하된 일들임)6. 직원들에게 배울 게 없음(일부 대단하신 지혜로운 분들  제외, 젊은 층 엔지니어들 열등감 쩖. 들어간다면 질투심  일으키지 마셈 정치질 시작함)7. 조금만 문제 생기면 본사에 응애응애 함 (전문성 절대적 저하! 자괴감 유발 가능)
","
말한다고 변했으면 일찌감치 변해서 젊은층이 많이 머무르고 소문난 회사겠지
"
엔지니어링,전직원,대구,2021. 07,3.0,"""체계는 덜 잡혔지만 발전 가능성 있음.전체적인 자료 정리 및 체계적인 관리가 더해진다면 좋은기업이 될것 같음""","
연차 눈치 안보고 쓸수있음연차가 쎃일수록 작지만 꾸준히 월급이 오름전체적인 분위기 좋음
","
체계적인 신입사원 교육 및 양성이 필요해보임일부 직원들의 내로남불이 있음
","
회식문화에 대한 개선이 필요해 보임자유로운 참여 및 횟수를 줄여야된다고 봄
"
영업/제휴,전직원,대구,2021. 05,2.0,"""외국계 기업이라는 장점을 가진 회사. 정치가 복잡한 회사.""","
외국계 기업이라서 복지가 좋음. 영어로 업무를 진행해야 해서 영어공부를 무조건 해야함.
","
회사 내 정치가 복잡함. 체계적이지 않고 신입사원을 던져놓는 업무 체계. 많은 회식.
","
몇몇 중간 관리자들을 관리하여 군대식 문화를 줄여줬으면 좋겠습니다.
"
개발,전직원,대전,2021. 03,3.0,"""젊은 꼰대(30~40) 및 정치질 심한 기업 입니다!!!""","
1. 연차 자유롭다 2. 회식비 지원(의무적 참석)3. 주5일제(사무직기준)
","
현장직 8:30~17:30 근무시 세금때고 200만원도 안되요무조건 잔업 해야함 As//pm경우 장기출장이 많다 최소 2주~3개월 오티안하면 ㅋㅋ 200만원 이하입니다꼰대들이 너무많습니다 특히 전기생산 // 기술부
","
현장직 기본급좀 올려주세요 요새 그돈받고 일해요그러니깐 계속 사람들 나가죠.. 윗사람들 돈챙겨줄시간에현장직 사람들좀 챙겨주세요
"
생산/제조,전직원,경북,2021. 02,3.0,"""외국계기업,오래갈회사,단 봉급이짜다. 그래도 직원들은 다들 잘해줄려고 노력하시는게 보임.""","
연차눈치안줌,계신분들다좋앗음,외국계기업 미국이본사,그래서 대표조차도 월급받는사람,대대로물려주고 그런거없음 그래서 그런부분은 깨끗함,업계서 알아줌,비슷한 업계에 좀 연령있는사람들에게 인닥타썸 하면 다아심
","
봉급이 짬...생산이나서비스는 시급제로 연봉협상함.다른부서는 그냥 토요일특근포함수당 연봉계약, 그래서 시급제인분들은 일없으면 칼퇴, 칼퇴가 좋을수도있으나 쨋든돈이안됨, 근데 돈이안되는게 특근을 안해서라고들함, 당연히특근을하면 받아야되는돈인데 그걸 월급이짠이유라고 다들 생각함.사실 그냥 연봉이 짠거임..월급은 짠데 업무적으로 원하는게 너무많음융해로 사업 자체가 줄어드는건 현실
","
계속발전을할려고하는부분은 정말 좋은부분이라고생각합니다하지만 신입사원들이 퇴사하는부분이 사람때문이라고 생각하시는거같은데 돈이 큰거같습니다.
"
엔지니어링,전직원,경북,2021. 01,2.0,"""기업 자체는 외국계 기업이다 보니 망하기는 힘든 기업임""","
커피 타 먹을 수 있다, 저녁 제공 된다, 점심 반찬 가지 수가 어느 정도 된다, 일이 고난이도가 아니다(머리 안 좋아도 된다)
","
갈굼 심함, 군대 문화, 꼰대 문화, 이런 기업도 존재하는구나 알려주는 기업, 기술직인데 전문성 저하, 청소해야함
","
사람이 있어야 일이 있고 기업이 있음. 고인 물 문화 버리고 발전을 하길 바람
"
생산/제조,현직원,경북,2021. 01,3.0,"""음.. 나쁘진않다? 하지만 좋은편도 아니다! 딱 중간이에요""","
글로벌 회사 입니다. 부서에따라 해외 교육 시스템이 있는것같아요그리구 보너스도 줍니다
","
밥이 진짜 정말 맛없어요.... 끔찍해요회사 접근성이 정말... 끔찍해요 ㅠ ㅊ
","
그렇게 나쁜기억은 없었던것같아요 다만 능력있고 머리좋은 사람들을 월급 많이 주고 스카웃할 필요는 있을것같아요
"
생산/제조,전직원,대구,2020. 06,3.0,"""생산직으로 있었는데 힘든만큼 경험쌓기 좋았다""","
용해로 사후관리를 하는데 망할 일은 없을거같고 배울점이 많았습니다. 평생직장으로는 힘들거같습니다
","
정시 퇴근이 힘들고 용해로 관련 일이라 덥고 위험하고 힘듭니다.
","
안전에 조금 더 신경 써주시면 좋겠습니다. 복지를 늘렸으면 좋겠습니다
"
엔지니어링,전직원,인천,2020. 05,2.0,"""임원이 왕이고 임원 말 한마디에 움직이는 회사""","
연차 자유롭게 사용 가능회사에 돈이 많음쉽게 자르지 않음
","
1. 복지제도가 다양하게 있으나, 몇개는 과장급 이상부터 복지 혜택 가능2. 엔지니어링을 해도 임원이 생각했을 때 된다고 생각이 들면 무조건 되게 만들어야 함3. 정식 근무시간은 5시반이나 왜 5시반까지만 일하냐고 하는 임원들4. 영어 좀 할 줄 알면 온갖 부서의 영어 메일을 도맡아함.5. 할많하않.
","
최근 코로나로 신규사업을 펼치려고 하는 것은 좋으나, 열린 마음으로 봤으면 한다. 영업도 좀 여유롭게 받아오고.... 금요일 퇴근 5분전에 급하다고 엔지니어링 해달라는 임원들....본인들의 삶만 있는 것이 아니라 다른 사람들도 삶과 가족이 있음을 알아줬으면 좋겠네요
"
생산/제조,현직원,대구,2019. 08,5.0,"""사회 생활은 이런거다는 것을 느끼게 하는 회사.멋진 기업.""","
본인 의지만 있으면 어떻게는 할 수 있는 기업.언제든 기회가 있는 점.
","
부서 특성상 각자의 임무가 있어 개인 플레이가 심함.업무에 따라 역량에 따라 퇴근 시간이 달라짐.
","
우물안 개구리가 되지 않았으면 하며, 직원이 있어야 회사가 운영이 되며, 회사는 발전이 되어야 직원을 잡을수 있음.
"
서비스/고객지원,현직원,대구,2019. 07,2.0,"""밤낮가릴꺼없이 일해야 됩니다 기본급자체가 워낙작아서 오티안하면 힘듭니다""","
나름 복지는 좋은편입니다 사무실 환경도 좋구 체육대회 등산등 종종 합니다
","
부서별 업무강도가 너무 틀리고 자기 개인생활 없습니다 워라벨도 없고 그리고 너무 위험합니다
","
기본급좀 올려주세요 위험수당이라도 따로챙겨주시던가요
"
엔지니어링,전직원,대구,2019. 07,3.0,"""미국 본사에서 하라는 대로 하면 되기때문에 크게 리스크 될건 없지만 그만큼 개발의지나 전문성도 없음""","
본사와 컨택하는 일이 많으므로 영어 e-mail 작성 실력 향상가능함, 월급 밀리는 일은 절대 없음.
","
본사에 컨택하는 일이 많으므로 영어공부하며 e-mail 써야하는데 영어를 완전 잘하는 사람이 아니라면 업무시간에 차질이 많이 생김
","
직원들 복지에 힘쓴다 매년 말만하지만 고쳐진게 눈에 보이지 않음
"
엔지니어링,전직원,대구,2019. 07,3.0,"""회사 전체는 워크샵 회식을 자주하나 신입사원때 지옥같다음주강요 군대회식 그들의 리그 고인물 많다""","
연차 자유롭다 기술부는 근무시간 일강도비해 보수가 좋다공휴일 다 쉰다
","
밥드럽게 맛없다정치질심함부서간 소통안됨현장직 사람들 기본근무만했을때 월급 200이하 ㅋ꼰대많음 사무실사람들 일안함 ㅋㄹ절대가지마셈 현장직은
","
위에사람들만 월급많이받을생각하지말고현장 사람들도 똑같이 대우해주셈 ㅋ
"
생산/제조,전직원,대구,2019. 04,3.0,"""기술을 배우고 쌓기에는 좋은 기업 차가 없다면 출퇴근이 힘들다""","
연차가 자유롭다업무량만큼 급여를 받을수있다직원들간의 관계가 좋다
","
모든 작업이 단순 노동으로 느껴질만큼 자동화 시스템은 없음
","
직원들의 이야기를 듣고 피드백을 해주었으면 좋겠습니다
"
엔지니어링,전직원,경북,2019. 03,2.0,"""3점은 아닌거 같고, 2~2.5점 정도 주고 싶다.임원진의 마인드가 바뀌면 성장 가능성이 있는 곳""","
본인의 의사를 적극적으로 업무에 반영휴가를 마음대로 쓸 수 있는 편이다
","
그만큼 임원급 인원에서 기술력이 있는 사람이 없다는 반증관리가 매우 미흡하다
","
헛소리좀 그만 하고 정신좀 차렸으면 좋겠다영업좀 제대로 해오세요
"
생산/제조,현직원,대구,2018. 04,3.0,"""일한만큼 보상받을수있는 기업. 장기 근속을 바라본다면 좋은 복지.""","
눈치없이 연차를 쓸수있음. 설립이후 한번도 적자가 없음. 부서간 분위기는 좋음
","
생산직 작업 특성상 수작업일임. 출퇴근 자차없이는 어려움.
","
신입사원 모집에 더욱 관심을가지고 집중해줬으면 좋겠다.
"
생산관리/품질관리,현직원,경기,2023. 11,2.0,"""고인물의 횡포로 인하여 아랫사람들이 힘들어함""","
월급 바로바로 나오고 연차 자유롭게 사용가능하고 작업복 지급
","
윗사람들이 책임을 안지려고하고 생산 팀장의 횡포가 심함 한번 마음에 안들면 끝까지 미워하고 불이익을 줌
","
윗사람들을 다쳐내야함 그리고 아랫사람들을 더 잘해줘야함 밑에 사람들이 잘해야만 회사가 안정적임
"
생산/제조,전직원,경기,2023. 10,3.0,"""근무환경은 나쁘지 않음. 사람이 없고 출장이 많음""","
사람들이 착해서 다니기에는 좋음. 출장이 많아서 출장 다니는거 좋아하는 사람은 괜찮음
","
급여가 적고 일할 사람이 없어서 구인공고를 계속 하나 사람이 안들어옴
","
월급을 올려서 사람이 들어오게 하지 않는 이상 발전은 없을듯
"
영업/제휴,전직원,경기,2023. 10,3.0,"""젊은분들을 중심으로 나아가는 회사입니다.""","
젊은 분들이 많아서 회사에 에너지가 좋고 근무환경이 조금이나마 젊은 느낌이다.
","
업무 숙지가 어려운 편이며 업무량에 비해 인원이 적고 업무 전달이 잘안된다.
","
젊은 회사이기 때문에 좀 더 이야기를 많이 들어주고 급여 인상은 꼭 필요할 것 같습니다.
"
기획/경영,현직원,경기,2023. 09,3.0,"""전체적으로 안정적으로 사업을 영위할 수 있는 회사이다.""","
전반적으로 회사가 상당히 안정적이고, 워라벨이 보장되는 회사이다. 직원에 대한 배려도 있고 본인이 노력하면 성장할 수 있다.
","
내부에서는 시스템이 많이 안되어 있는 부분들이 있고 변화를 하지 않는 회사이다. 개선이 많이 필요하다.
","
목표와 방향을 갖고 회사를 이끌고 개선을 지속적으로 시도해야 한다. 편협한 사고에서 벗어나야 한다.
"
생산/제조,현직원,경기,2023. 09,3.0,"""성장하려는 의지는 있으나 성장을 못하는 전형적인 기업""","
연차쓸때 눈치 안보고 사용가능. 자유로운 분위기. 친절하게 대해주는 분위기. 정시퇴근. 월급이 안 밀린다.
","
일이 조금 몰리는 경향이 있다. 공단이라 생기는 단점들(공기가 안좋음, 출퇴근시 차량이 필요하나 주차장이 작아 주차가 힘들다)
","
적극적으로 투자하면 좋겠고 바꾼다고 하는데 진짜 바뀌고 있는지 잘 모르겠다. 빠른 결단과 행동이 필요함
"
생산/제조,전직원,경기,2023. 07,2.0,"""정체되어 고인물만 남은회사커리어와 성장을 생각한다면 추천하지 않습니다.""","
정시 출퇴근이 가능하다.분기별 회식비 지급으로 부서별 단합을 도모 할 수 있습니다. 점심을 제공해 준다.현장 에어컨및 화로가 있다.
","
연차, 정시 출퇴근시 눈치 많이 준다.밥이 맛없다. 이슈사항 책임 떠넘기기가 있다.교통편이 불편해 자차 없으면 출퇴근이 힘들다.
","
노후화되서 비만 내리면 물 줄줄 새요.자리는 좁기만하고, 시설에 투자좀 해야할듯 합니다.
"
엔지니어링,현직원,경기,2023. 02,2.0,"""건물은 다소 노후되었지만 회사는 탄탄하다. 그리고 압출기 설계가 재미있다""","
직장상사들 모두 친절하고 화목한 분위기이다. 친해지기 쉬우며 배울것도 많고 업무도 잘 가르쳐준다.
","
급여가 다른회사에 비해 낮은 편인것같다. 상여금 또한 연봉의 포함되어있어서 좀 아쉬운것같다. 대명절에 선물이 조금나온다.
","
연봉인상률이 높았으면합니다. 건물의 리모델링도 고려해 보았으면 좋겠다.
"
서비스/고객지원,현직원,경기,2022. 12,1.0,"""칼퇴 가능 , 그것만 원한다면 와도 됨 , 사람들 대부분 안 좋음 , 관리자여도 생산직 막노동이랑 같은 취급에 , 생산직 힘이 너무 쎄서 생산직 눈에 한번 밟히면 회의때 나락감""","
칼퇴 가능 , 점심 제공, 크리스마스 케잌 챙겨줌 그 외는 딱히....
","
모든 일에 틀이 안 잡혀있음 , 80년대 기업 문화, 3주차 수요일 마다 강제로 반차 사용하게함 , 그래서 직원들 대부분이 연차가 마이너스임, 신입으로 들어갔는데 일을 알려주는 사람이 없고 ,  과장차장급은 책임을 신입에게 전가시킴 , 하는일도 없고 , 무언가 사내시스템 개혁 하려고 의견을 제시해도 묵살시키고 , 그대로 진행시킴 , 그러면서 매일 , 시스템 바꿀 의견만 물어댐 , 과장차장급 일 할줄 몰라서 경력자 채용하여 다 떠넘김, 그 결과 경력자는 졸지에 모르는거 다 넘겨 받아서 며칠만에 퇴사함 이게 반복임
","
무능력한 고인물들 잘라내고 능력있고 미래 밝은 젊은 인재 채용하십쇼
"
엔지니어링,전직원,경기,2022. 07,2.0,"""외국계 기업. 고용 안정성이 있지만, 발전가능성은 보이지 않음.""","
월급 꼬박꼬박 잘 나옴. 월1회 회식비 지원. 칼퇴근 가능하고,나름 기술력을 보유하고 있으며, 외국기업 대주주로써 회사가 망할 일은 없어 보인다.
","
칼퇴근하면 눈치가 보임. 업무 플로우가 명확하지 않아 일처리가 힘듬.경영진의 그들만의 생각으로 모든것이 이루어짐. 건의사항등 먹히지 않는다고 봄
","
구두지시로 인한 문제시 회피 하지말고, 제대로 좀 처리하였으면 합니다.
"
기획/경영,현직원,경기,2022. 05,3.0,"""전체적으로 탄탄한 회사이고 안정적인 회사라고 할 수 있음. 업계 1위의 회사임""","
자율적으로 일할 수 있는 환경이고 저녁과 휴일이 보장되어 있음. 회사가 안정적임
","
편협한 시각으로 바라보는 직원들이 있음. 전체적으로 시스템이 많이 무너져 있음.
","
경영진이 경영에 집중하고 관리자가 관리에 실무자가 실무에 집중할 수 있는 환경을 만들어야 합니다.
"
엔지니어링,현직원,경기,2022. 05,2.0,"""매달 월급이 밀리거나 하진않지만 정체되어있음""","
연차 자유롭게 사용 가능 일이 그렇게 힘들지 않음 편한 분위기
","
전산화가 미흡함 성장가능성이 낮음 그냥저냥 흘려보내듯이 사는 사람이 많음
","
적극적인 투자를 하고 부하 직원들의 의욕을 고취시킬수 있는 경영을 바람
"
연구개발,전직원,경기,2022. 03,3.0,"""일본 JSW의 그룹사로 되고 일본 기업의 기술 지원으로 인지도가 높아짐""","
기계 제조업 회사로서 매출과 영업이익이 높은 편이라 월급이나 상여금은 밀리지 않고 잘 챙겨줌
","
직급 체계나 연봉 등이 투명하게 공개되지 않고 있으며 임원진의 마음에 들어야만 승진이 수월하고 나머지는 겉절이 취급 당하는 일이 많음
","
업계에서 국내 최고라고 내세울 시간에 열심히 일하는 직원들 더 챙겨주고 보상해주는 회사가 되길 바랍니다
"
생산/제조,현직원,경기,2022. 01,2.0,"""누구나 생각하는 전형적인 중소기업.기업 자체는 안정적""","
제조업 생각중이면 신입 지원좋음.용접 선반 지게차등 다양한 경험 쌓을 수 있음.연차사용 눈치 없음.야근 안해도 됨.
","
서류절차 무시 구두진행,애매한 지시사항.책임회피 등부서는 나누어져 있지만 의미가 없음.
","
이 회사 문제점이 뭔지 알고는 있는지모르겠습니다.
"
