직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
개발,현직원,경기,2023. 09,3.0,"""본사 복지가 괜찮은편이고 나름 프로세스가 점점 더 잡혀가는느낌""","
정기검진시 지정병원, 출산수당 등 수당 종류 여러개 있고 공지가 수시로 잘 올라옴
","
상장기업치고 연봉이 그리 높은 편은 아닌것 같아요...
","
사실 다른팀들은 어떻게 돌아가는지 잘모르겠는데.. 직원들을 더 대우해줬으면
"
디자인,현직원,서울,2023. 09,5.0,"""발전하고 있는 회사이고 새로운 부분에 계속 도전하고 있습니다.""","
자유로운 분위기 속에 단단해지고 있는 회사입니다업계상위권을 계속 유지중이며  업계를 선도한다
","
부문별로 분위기가 다른것 같고 신규입사자가 많아서 직원들 상호간 잘 모른다
","
내실을 다지면서 회사가 커졌으면 좋겠습니다
"
영업/제휴,전직원,서울,2023. 08,3.0,"""상명하복조직 약간의 군대식 문화 개발자는 비교적 프리하게 일하는 분위기""","
관급에 강점이 있고 관급만 하는 업체로 매출은 좋으나 영업이익은 그다지 좋지않으나 월급은 따박따박 잘나옴
","
관급에서 문제가 생기면 큰 차질이 생길수 있으나 관급영업과 기술은 뒷받침해줌 잉여인력이 많음 라인문화가 있음
","
성과급을 투명하고 공정하게 지급하길 바랍니다 라인에 따라 승진 급여가 달라짐
"
영업/제휴,현직원,서울,2023. 07,3.0,"""동종업계에 비해 연봉이 괜찮은 편이며 앞으로 솔루션 개발에만 집중 한다면 괜찮은 회사임.""","
연차를 눈치 안보며 쓸 수 있고 자유로운 편임 / 동료들이 너무 좋아서 업무적 스트레스가 있어도 으쌰으쌰 하는 분위기 그리고 스낵바 무제한 제공
","
쓸데없는 프로세스가 너무 많음 진짜로 이것 때문에 스트레스 많이 받음 그리고 영업,조달 자기네들이 할 일도 제대로 안함 성격 파탄자들 꽤 있음
","
직원들이 불만을 말한다면 귀 기울여주고 이런 것들은 너무 좋지만 거기까지만 이라서 달라지는게 하나도 없다.
"
개발,현직원,서울,2023. 07,2.0,"""자유로운 분위기와 워라벨은 있는 회사""","
자유로운 연차 사용이 가능.대체적으로 인원들의 분위기가 딱딱하지는 않지만, 부바부 인듯
","
영업 > 연구소로 그만큼 영업이 왕인 회사의사 결정이 너무 느리고 서로 책임을 미루는 경향이 있음.비전을 잘 모르겠음
","
단기적인 수익보단 미래를 생각하고 사업을 진행했으면 좋겠음
"
기획/경영,전직원,서울,2023. 07,4.0,"""나이 들어서 들어오기 좋은회사, 편하게 다닐 수 있음 월급 꼬박꼬박 잘 들어옴""","
- 칼퇴 가능 (팀마다 다를 수 있음)- 저녁 식대 제공됨- 경조사 잘 챙겨줌 ( 매월 사우회비 나감-직급 마다 퍼센트 다름)
","
- 팀이 힘이 있어야 사라 남을 수 있는 회사, 힘이 없음 다 받음영업 팀이 제일 세다- 간식이 들어오나 별로 들어 오지 않아 매번 비어 있음-성장 할 수 없는 회사
","
너무 안주하려하지 말고 새로운 도전 정신이 필요함,기업 뿐만 아니라 사람들도
"
영업/제휴,전직원,서울,2023. 07,3.0,"""외부평가와 내부평가가 다른회사여직원들과 개발자들은 근무하기 편한회사""","
매출은 매년 상승하는 회사로 급여는 밀리지 않고 따박따박 잘나옴
","
분위기가 경직되어있고 여직원과 개발자는 터치가 없어 편하게 근무함 일하는 사람만 일함
","
공정한 대우 눈에 보이는 파벌싸움 답정너인 회사 부디 귀기울여 들어주길
"
개발,전직원,서울,2023. 07,3.0,"""회사는 매우 안정적이며 직원에 대한 복지는 좋은 회사이다.""","
솔루션을 기반으로 다수의 공공기관을 거래처로 보유하고 있어 안정적인 자금 흐름을 보유하고 있다.
","
신규 사업 발굴에 뒤쳐지는 경향이 있으며 신규 사업 진입 시 어려움이 있을 수 있다.
","
지속적으로 직원들의 복지를 신경 써주시고 아껴주시기 바랍니다.
"
개발,전직원,경기,2023. 06,2.0,"""같이 일하는 사람들 수준이...본인만 급하고 본인 말은 들어줘야하는 이기적인 회사""","
중소치곤 복지가 많다교육 등 자기개발이 가능하다쓸게 영...
","
영업쪽은 본인이 왕인줄 아는지 해달라는게 너무많고 무리한 부탁이라 안된다하면 승질에 우리쪽 요청사항은 안들어줍니다
","
다 같은 일하고 같이 협력해야되는데 특정 부서 특정 인원 등 본인 생각만 하는 이기적인 모습에 정떨어져서 나왔네요그런 인원은 빨리 정리하시길..
"
개발,현직원,서울,2023. 05,1.0,"""신입사원으로 1년정도 사회경험하기에는 좋은회사, 그러나 무능한 관리자들로 인해 정치질이 막연한 회사로서 1년이상은 추천하지 않는다.""","
스마트시티 등 Iot 기반의 회사로서 능력있는 직원들로 구성되고 열심히 한다면 커리어 발전과 함께 돈도 벌고 좋은 회사로 거듭날것이다.
","
무능한 관리자들과 열악한 환경으로 인해 커리어 개선도 힘들뿐만 아니라 내돈내산으로 구매한 복지등  직원으로서 자부심 , 안정감등을 느끼기 어렵다.
","
회사가 더욱 더 성장했으면 좋겠습니다. 성장에 아끼지 않고 모든 부서가 노력해주세요
"
