직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
기획/경영,현직원,서울,,4.0,"""사업규모가 확장되고 있고, 산업군에서도 선두 기업이여서 비전이 좋음""","
성장하는 스타트업의 단점이 있으나 하나하나 극복하고 변화할려는 의지가 있음
","
아직은 조직의 체계가 자리 잡히지 않아서 업무 외적으로 신경쓸 부분이 있음
","
소통을 통해서 상호보완적인 관계를 지향하였음 함
"
기획/경영,전직원,서울,,4.0,"""성장하는 인공지능 개발 기업. 다언어 사용 가능한 ai를 개발중에 있어 향후 글로벌 시장에 진출할 것으로 예상됨.""","
비교적 수평적인 사무실 분위기. 연차 사용도 자유로움. 능력이 있으면 신입이어도 아이디어나 회의를 통해 디벨롭 시킬 수 있는 여지를 줌. 평균 연령 젊음. 성장의 기회 큼. 계약직 야근 일절 없음.
","
야근 수당 없음. (교통비 지급) 부서에 따라 분위기 다름. 대표의 장기적 전략과 방향성이 구성원과 공유되는가 불분명. 회전율 높은 편.
","
단기로 일한 터라 경영진에게 딱히 바라는 점 없음.
"
기획/경영,현직원,서울,,5.0,"""AI 영상합성 기술력으로 성장이 기대되는 기업입니다.""","
비교적 자유로운 출퇴근 시간과 현금성 복지에 강점이 있고, 최근 기술력을 인정 받아 빠른 성장을 이뤄내고 있습니다.
","
급격한 성장으로 아직 운영체계가 불명한 부분들이 있습니다. 또 성장기 기업이다 보니 특정 업무에 과부하가 걸리는 경향도 있어 보입니다.
","
장기적으로 회사와 구성원이 함께 성장할 수 있다는 비전을 더 많이 보여주셨으면 좋겠습니다.
"
기획/경영,전직원,서울,,4.0,"""다양한 도전을 통해 개인의 한계를 깰 수 있는 곳""","
식비지원..법인카드로 점심과 저녁을 먹을 수 있고 탕비실에 간식이 쌓여있음, 신기하게 좋은 동료들; 마음에 맞는 사람들이 많았음, 업무 중 스피커로 음악을 틀어도 되는 비교적 자유로운 분위기, 빠르게 진행되는 사업 속에서 개인역량을 키울 수 있음
","
프로젝트 일정이 무리하게 잡힐 때가 있으며 그 기간에는 초과근무를 피할 수 없음, 짧은 기획과 준비과정을 거치고 사업을 진행하여 실수가 생김
","
빠른 성장을 위해 전력질주하는 것도 좋지만 사업의 안정성을 위해 시간을 들여 퀄리티를 높이는 기본에 충실한 경영을 해주시길! 너무나 성실하고 좋은 사람들과 함께 일하는 점을 생각하여 동료들을 귀하여 여겨주시길 바랍니다
"
개발,전직원,서울,2023. 11,3.0,"""야근잘하면 사랑받는곳으로 일과삶의 분리가 전혀안되는 알콜홀릭회사""","
사람들은 좋았다E들끼리 어울려놀기는 좋은회사술잘마시는 사람은 다니기좋은회사
","
술 못마시는 사람에겐 너무 피곤했던 회사정규직이 아무의미가 없는 회사사람을 부품으로만 대하던 경영진
","
사람을 사람으로 대할줄 알아야하는데 바뀔거같지는 않아 할말이없네요
"
기획/경영,전직원,서울,2023. 11,4.0,"""직원들에 대한 복지가 아주 잘되어 있습니다.""","
서로 편안한 분위기에서 업무를 공유하고 도와주는 분위기가 좋았습니다.
","
인수인계 매뉴얼이 없어서 새로 들어온 담당자가 업무를 파악하고 빠르게 투입되는게 힘들어 보였습니다.
","
크게 바라는건 없습니다. 지금처럼 회사성장과 임직원을 위해서 다양한 방향으로 고민해주시면 감사하겠습니다.
"
기획/경영,전직원,서울,2023. 11,3.0,"""갈까말까 할때는 가지 않는 것이 상책""","
20대 후반 인력들을 혹하게 할만한 복지가 많음 친구들에게 자랑할만함
","
근데 그 복지가 싸게 잘 먹힌다는게 중요함. 진짜 가성비…
","
진심은 기대하지 않음. 지금처럼 일관성만 있어도 선방하는거에요
"
마케팅/시장조사,현직원,서울,2023. 10,3.0,"""인공지능 키워드를 선점하고, 글로벌로 발돋움 하려는 회사""","
출퇴근 분위기가 자유롭고, 주거지원 혜택이 매우 꿀임 간식 지원도 좋고
","
포괄임금제 아래 계속 되는 야근, 피로감이 누적되고 있음
","
글로벌 진출에서 확실한 성과를 내야 합니다. 모두ㅜ노력하고 있지만 가시적인 성과가 얼른 만들어지길!
"
개발,전직원,서울,2023. 08,5.0,"""연구원이 대우 받으며 다른 직군은 아쉽지만 한단계 아래로 봄""","
연구원이라면 정말 대우받으며 연구에 몰두할 수 있는 환경을 제공함
","
연구원이 아니라면 대표에게 많이 시달릴 수 있으나 지금은 대표가 미국에 있어 좀 나을듯
","
직원들을 신뢰하고 좋은 직원 많이 뽑아서 성장할 수 있길
"
전문직,전직원,서울,2023. 08,4.0,"""무엇보다 너무 나이스한 동료들, 개인의 성장 가능성은 글쎄..""","
외국 직원이 많고 그 언어 파트에 들어가려면 원어민 수준이어야 함, 하는 일도 모두 외국어를 횔용해야 하기에 한국에 있어도 까먹지 않음. 간식바가 있어 언제든 가져다 먹을 수 있음. 무엇보다 너무나도 좋은 사람들. 직장을 많이 옮겨 다녔지만 이렇게 동료들이 좋은 회사는 처음.
","
계약직이라 발전 가능성은 없고 그냥 단순한 작업의 반복.
","
잘하고 있는 직원을 왜 몇 개월 단위로 자꾸 내보내고 또 똑같은 포지션에 새로운 사람을 뽑는지 잘 모르겠음... 계속 바뀌는 신입 직원에게 매번 같은 업무를 가르쳐야 하는 번거로움이 있는 것 같음.
"
