직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
기획/경영,현직원,서울,,5.0,"""드디어 수익모델이 잘 잡혀가고 있다. 작년하고 올해 빠르게 성장하고 있다. 내부적으로 일이 많지만 그럭저럭 잘 해내고 있다.""","
동료들이 좋다.서로 배려 하고, 실력에 대한 자부심 있다. 워라벨 좋고, 마지막주 금요일 하프데이, 기업 문화가 좋다. 요새 성장하고 있다.
","
수평적이면 수평적 수직적이면 수직적 좀 정해졌으면 한다. 두개가 섞여 있어서 어느 장단에 따라야 할지 모르겠다.
","
수익이 조금씩 나서 신납니다. 앞으로 더 빠르게 자랐으면 좋겠습니다.
"
서비스/고객지원,현직원,서울,2023. 09,5.0,"""테헤란로에 위치해서 좋긴 좋은데 계속 다닐수 있을까?망하기 일보 직전 회사의 좌충우돌 몸부림 쑈!""","
서울 강남 요지에 위치하여 오고 가기 편하고 사람들 만나기 참 좋다 근데 회사랑은 전혀 상관 없는 일 아닌가? 아무튼 직원들이 회사 생활 하기에는 참 위치가 좋다
","
• 의사결정 프로세스가 문제가 많다. 1) 소수 몇명의 입김이 강해서 결국 뒤집어지는 결정이 다수2) 전결 규정이 느슨해서 결국 몇몇의 의견이 중요• 대표를 뛰어넘는 권력을 형성한 그들. 1) 이대로 가다간 대표가 허수아비가 되는 듯2) ‘저 나갑니다’ 협박을 일삼는 그들. • 경비에 문제가 없을까?1) 누군가는 경비 처리에 투명하지 못한것 같은데….2) 도대체 이해할 수 없는 경비 사용
","
제발 정신 차리세요. 사람 좋다고 다 되는 세상이 아닙니다. 짜를 사람은 짜르고 좀 강한 모습을 보이세요.
"
개발,전직원,서울,2023. 09,1.0,"""내가 경험한 최악의 직장. 원수의 자식이 간다해도 뜯어 말릴 회사.""","
점심시간 널널해요. 사무실 위치가 좋아요. 그게 다에요.
","
내가 다닌 최악의 직장이라고 평한다. 이유는 뒤죽박죽 체계 속에 시도때도 없이 열리는 마라톤 회의. 결론은 없고 언제나 지금 좋으면 장땡이라는 듣도 보지도 못한 경영행태. 개발자는 집중할 시간이 없고 말도 안되는 지시사항에 놀라는게 일상. 정말 쓸게 너무 많은데 말을 아낀다.
","
좀 더 진중한 태도를 가지고 미래를 내다보고 경영을 하시면 좋겠습니다.
"
영업/제휴,현직원,서울,2023. 08,1.0,"""영업직에게는 너무 힘든 회사. 경영진의 과도한 경영 목표에 밑에 사람은 난감하다.""","
1. 매우 Free한 분위기-점심 회식이 많고 강남 한복판 핫한 곳에 위치하다보니 점심브터 술한잔하는 분위기다2. 유연한 근무 환경- 딱히 퇴근시간에 남아있는 사람들이 없다. 다들 나가서 논다.
","
1. Sales pipeline 수립이 불가능2. 잠재고객은 많은데 적절한 offering이 부족3. 잠재고객들의 회사대상 적개심4. Business opportunity 에서 언제나 소외되는 회사위에 상당한 원인은 자업자득이라는것이 문제다.
","
1. 마케팅 인력 감원 -> 비용 절감 후 영업직 증원으로 실적 개선2. 과도한 법인카드 사용 자제 -> 비용 절감 통해 수익성 향상3. 진지한 경영자세 관철
"
서비스/고객지원,현직원,서울,2023. 08,1.0,"""좀 더 명확하게 회사의 비전을 새웠으면 좋겠음도저히 이대로는 안될것 같은 우려가 존재. 수익은 어떻게 내야할지 막막.""","
회사 ux ui가 깔끔하다. 사용자 편의성 뿐만 아니라 일하는 사람으로서 crm이나 사내인프라가 깔끔한 편이다.
","
회사안에 이제 우리 어떻게 하지 라는 우려가 존재한다. 왜냐면 수익화 모델의 성장동력이 전무하기 때문이다. 기업이 역성장해야 우리가 손익이 개선되는 이상한 사업구조. 회사는 비전이 명확하지 않아서 모두가 공감하기 어려운 메세지를 주곤한다. 이대로 가다가는 망할 것이라는 걱정이 다수.
","
대표님, 프러젝트 리드들이랑 다시 회의 좀 하셔서 회사 사업 구조 개편을 하세요. 이대로 가다가 진짜 망할 것 같습니다. 더는 이대로 남에게 기대면 안됩니다.
"
영업/제휴,전직원,서울,2023. 04,1.0,"""회사가 지향하는 사내문화, 업무방식을 역행하는 전략제휴팀, 그리고 이를 알면서도 방조하는 회사...""","
1. 워라밸 좋아요... 야근은 몇번 안해봄2. 재택근무 (팀바이팀 주 1~4일 재택가능)3. 분단위 출퇴근제4. 매출이 많이 올라왔다고 했음5. 자유로운 연차 사용6. 연 200만원 병원비 지원7. 장기적인 방향성에 대해 지속적인 고민을 하는 대표8. IT 파트의 경우 비교적 수평적이고 편안한 환경에서 일함9. 간식을 열심히 채워줌10. 대표자 권위적이지 않다. (이야기를 해보지는 않았지만...)11. 스타트업 다운 캐주얼한 복장과 문화를 지향하고 있다.
","
1. 팀내 리더급들은 리더가 아닌 보스 느낌이다. 영업하는 팀원들에게 칭찬 한마디 없고 항상 부족하다고 영업을 다그치기 바쁘다. 2. 잡플래닛의 사내문화 = 전략제휴팀의 문화가 아니다. 전략제휴팀에 지원할 사람은 잡플래닛에 소개된 사내문화는 꿈꾸지 말아라.3.리더급에게 만족스러운 팀원이 되려면 업무시간에 영업하고 업무외시간에 잔업을 하세요. 업무시간에는 오직 콜만 하시면 됩니다.4. 신입으로 들어온 영업직의 퇴사율은 엄청납니다. 1년채우지도 못하고 퇴사하는 직원 여럿봤어요.5. 당장 이번달 매출이 안나오면, 난리가 납니다. 팀 내 중장기적인 목표는 거의 없습니다. 사실 필요도 없습니다. 당장의 매출이 중요하니까요. 6. 진짜 문제가 되는 사람이 누구인지 알면서도, 몰라도 알 수 있으면서도 방관하는 회사. 오히려 누가 문제인지를 오해할 수 있을 것 같기도 하네요. 무섭다고 문제는 아니지요...7. 동료 의견에는 듣는 척만, 자신은 항상 옳다고 생각하는... 그리고 신입들의 열정에 불만이 많은...팀원을 좋아하지 않고 항상 싫어함...팀원 욕하는거 다 알고 있는데...그러다 윗사람 한명에게는 아무소리도 못함...8. 근무관련 복지도 전략제휴팀에서는 활용못하는 것이 몇개 있음. 9 진짜진짜 좋은 분들도 많은데 팀 분위기가 뭔가 잘못 설정된 느낌이 있음. 진짜 어디서부터 이상하게 된 것인지 궁금함.10. 분명히 회사에서도 알 것 같은데... 왜??
","
좋은 사내문화를 모든 팀에 만들어주세요~!
"
기획/경영,현직원,서울,2023. 03,4.0,"""합리적으로 결정하려고 노력함신입보단 경력직 추천..복지가 어나더레벨""","
나름 합리적으로 결정하는 경영진복지가 어나더레벨금요일 하프데이재택근무를 계속 한다!
","
아직 체계가 있다고는 할 순 없다.운영과 개발간의 지원차이가 좀 있다. 복지는 좋은데, 그만큼 일정압박도 있다.
","
허술하게 관리되고있는 부분들은 다시 점검해주셨으면 좋겠습니다.
"
미디어/홍보,전직원,서울,2023. 03,3.0,"""지킬 것은 지켜주는 회사. 하이브리드 근무 굿장기적인 성장성은 글쎄;""","
님 호칭 문화 좋음복지 확대를 위해 노력함하이브리드 근무 좋음
","
심리적인 고용 안정성은 그닥부바부 타는 듯팀 간 협업이 쉽지 않음
","
직원들을 위하는 경영진하지만 미래에 대한 좋은 점 외 위기나 어려운 점도 오픈하면 좋을듯
"
디자인,전직원,서울,2022. 07,5.0,"""디자이너가 대우받으면서 일할 수 있진 않지만, 타 부서간 협업이 잘됨""","
연차를 눈치보지 않고 쓸 수 있음, 휴가도 자유롭게 사용가능
","
디자인 규모가 작은데 비해 시즌별로 변경되는 업무가 많아서 업무 강도가 쎄다
","
직원들의 불만을 해결하는 방법을 함께 고민했으면 좋겠음
"
개발,전직원,서울,2022. 06,2.0,"""몇명의 파워가 너무 강력해서 주눅들었던 경험이 있는 회사. 부바부 사바사""","
같이 일하는 사람들은 너무 나이스했습니다. 다들 열심히 일할수있도록 격려도많이해주고 재밌게 일을 할 수 있었습니다. 일정에 대해서도 압박은 있었지만 공감대를 잘 이끌어줘서 동기부여도해주기도했고 그래서 힘은 들었지만 잘 극복할수있었습니다.지금도 아마 유닛체제로 하는것같은데 이때 당시 유닛분위기는 각 유닛마다 너무 달랐습니다. 평화로운곳도있었고 얼굴붉히는곳도있었습니다. 부바부 사바사입니다
","
수평적인 의사결정을 지향하고있긴하지만 결국에는 몇몇의 사람들의 결정이 곧 최종결정으로 되었습니다. 이런것들을 경험을 하면할수록 왜 회의를해야하나 싶기도 한적이 있었고 힘이빠질때도있었습니다. 초기기획부터 늘어지는경우가 많았고 일정도 자연스럽게 늘어지는경우도 허다했습니다. 이래놓고 작업속도가 느리다 이런 이야기가 들릴때마다 허무하기도했습니다.
","
수평문화를 위해 계속해서 노력해주세요. 그리고 많은사람들에게 기회가가는 평등한 회사가되어주세요.
"
