직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
기획/경영,전직원,경기,2023. 11,5.0,"""다녀보았던 다른 중소기업과는 다르게 복지가 좋았다""","
명절교통비를 주는게 좋았고 같은 사원끼리도 사이가 좋았음 사무실도 넓고 쾌적했음
","
삼성 밑에서 일하니까 보안문제로 전자기기 스티커 부착 등 불편한 점이 있었다. 그리고 적은 연봉
","
전 이미 퇴사해서 없지만 다른분들이라도 연봉을 좀 더 올려주세요
"
서비스/고객지원,전직원,부산,2023. 11,4.0,"""일이 많은 사람은 많고 적은 사람은 적음""","
야근은 하지 않음같이 일하는 동료들이 착함일이 그렇게 어렵지 않음
","
일이 많은 사람한텐 엄청 많음(급여는 일 없는 사람과 동일함)상사의 꼰대 기질이 심함연봉 협상이 아닌 통보임
","
바라는 점은 딱히 없음상사의 히스테리가 심한 것만 고쳐지면 좋겠음
"
서비스/고객지원,현직원,부산,2023. 09,4.0,"""워라벨이 잘 지켜지는 회사다. 야근 없음""","
본인이 하는 만큼 인정해주고 여러 프로젝트를 경험할 수 있는 회사다.
","
지하철 역이랑 회사 거리가 엄청 먼 건 아니지만 거리가 좀 있어서 여름에 걸어가기 빡세다.
","
모든 리더가 그런건 아니겠지만 경험해본 특정 리더는 왜지? 라는 생각이 들 때가 있음
"
서비스/고객지원,현직원,부산,2023. 08,4.0,"""실무 경험을 쌓으며 경력 키우기 좋은 곳, 기업 탄탄""","
팀바팀이지만 꼰대 문화 없음, 팀원들이 다들 젊은 편이라 비교적 편안한 업무환경이 조성됨 담당인 업무가 많지 않지만 원하는 정도에 따라 일의 강도 조절 가능, 연차는 팀원들과 상의 후 원하는 날짜에 사용 가능 허례허식 없는 내부 분위기.
","
딱히 없지만, 다른 업계 기준 낮은 연봉, 팀바팀 업무 시간(간간히 야근이 있을 수 있음, 근데 챙겨줌)
","
회사 소식을 내부에도 안내해 주었으면 합니다. (회사 인수나 계열사 증가 등..)
"
개발,현직원,서울,2023. 08,2.0,"""워라벨은 좋음 야근이 거의 없는 수준 그러나 그게 전부다. 별 생각 없이 다니기에는 좋은 회사""","
워라벨 좋음 야근 거의 없음 물론 야근이 잦은 프로젝트가 있기는 하지만 극소수워라벨도 좋고 전체적으로 일이 여유로움
","
복지라 부를만한게 없음 그나마 사내 카페정도? 점심값 지원x 연봉 현저히 낮음
","
애꿎은 프로젝트 비는 인원들 쳐낸 다음 다시 사람 뽑고 그런 짓 안 하면 좋겠음
"
생산관리/품질관리,현직원,서울,2023. 07,2.0,"""QA, CS가 무슨 업무인지 궁금하면 다녀볼만 한 곳""","
회사가 국회의사당역에서 5분 거리 이내에 있어서 대중 교통으로 이동이 원활함.
","
회사가 국회의사당에서 가까워서 날 좀 풀린다 싶으면 시위가 무조건 있음.업무에 방해가 될 정도로 시끄러움.
","
직원들에게 자꾸 업무 외적으로 이상한 것 좀 시키지 마세요.그리고 너무 노골적으로 '남한테 보여주기 식' 행동을 하는 사람이 있습니다.
"
생산관리/품질관리,전직원,서울,2023. 07,1.0,"""복불복, 팀바팀이 너무 심하고 첫직장으로왔다가 꼬일수 있는곳""","
운이 좋으면 워라벨은 확실히 지켜진다. 제때 퇴근이 가능하다
","
식대없고 고객사 눈치보기 급급 팀장 잘못만나면 진짜 답이없다
","
사람을 그렇게 막 부려먹지 말아주세요. 많은 입사자들의 꿈을 짓밟지말아주세요
"
생산관리/품질관리,전직원,서울,2023. 07,1.0,"""최저 임금, 팀바팀으로 어디는 공무원처럼 다닐 수 있고 칼퇴하는데, 어디는 칼퇴만 해도 눈치줌""","
수평적인 사내 문화로 사원들 연령대가 낮고 다들 친절하고 착함. 사내 카페가 싸고 메뉴도 자주 바꿈
","
낮은 임금, 팀바 팀이지만 일부 팀에선 칼퇴하면 눈치주고 같은 팀내 업무 마지막으로 끝내는 사람 퇴근까지 기다려야함, 내 업무 아닌데 일손 모자르다고 업무 지원해주고, 주말에 무급으로 일한적도 있음. 사내정치 있음
","
애들 급여 좀 올려주고 리더급들 물갈이 좀 해야하지않을런지.
"
서비스/고객지원,전직원,서울,2023. 06,3.0,"""많은 욕심이 없다면 반복적인 업무를 하면서 보낼 수 있는 곳.""","
사내 카페, 명절 교통비, 비교적 자유로운 연차 사용, 좋은 팀 분위기
","
임원진들은 주기적으로 뉴스에서 보일만한 메타버스, NFT 등 새로운 키워드에 꽂혀서 사원들에게 PPT 발표나 자료 조사를 요청합니다. 보상은 임원진과의 식사 기회. 연봉 인상률도 매우 낮은 편.
","
신기술이 궁금하시면 직접 찾아보시고, 왜 신입이 안 들어오는지를 고민하기보다 연봉 조건을 다시 보시기 바랍니다.
"
개발,전직원,서울,2023. 06,3.0,"""팀바팀 사바사가 심한 회사, 그에 따라 성장할 수도 있고 아예 못할 수도 있음""","
평범...한 외주업체 회사, 파견이 많이 줄었다고는 하지만 파견나가면 신경을 잘 안씀 (장점이자 단점), 싼 사내카페....?, 좋은 사람도 극소수 있다
","
좋은 사람이 너무 극소수다.그 좋은 사람이 일을 다 한다. 나머지는 일을 1인분을 못하는 것 같다.같은 사람들이 모이는 만큼 좋은 사람만 힘들어 진다. (어떻게 버티시는지?)
","
연봉을 핑계대지 말고 올려줄지 말지 확실하게 해줬으면... 실제로 한 말은 좀 지켜주셨으면...좋겠습니다.
"
서비스/고객지원,전직원,서울,2023. 06,4.0,"""워라벨이 보장되고 , 다양한 업무를 배우면서 성장 할 수 있는곳입니다.""","
연차를 자유롭게 사용할수 있고, 생일휴가,검진휴가가 츄가로 제공. 사내카페를 저렴한 가격으로 이용 가능
","
업무가 한곳에 집중되어 있으며, 일하는 사람만 일하는 구조.
","
직원들의 불만에 조금 더 귀 기울여 주세요. (연봉, 복지)
"
서비스/고객지원,전직원,서울,2023. 06,4.0,"""직원을 위하는 회사입니다평생 직장으로 생각해도 될 정도""","
직원을 위한 부분은 아낌없이 지원을 해줍니다큰 회사는 아니나 복지부분에서 모자란 부분은 없다고 생각됩니다
","
업무에 있어 책임회피와 떠넘기기가 많습니다열심히하는 직원만 업무가 계속 늘어나는 마법이 있습니다
","
회사의 발전을 위한 체계적인 시스템 구축이 필요할 것 같습니다
"
개발,전직원,서울,2023. 05,2.0,"""QA에 대한 업무를 배우기 좋은 곳이나 , 윗선의 마인드가 많이 부족하게 느껴지는 회사""","
QA업무에 대한 기본 지식이나 업무 프로세스를 배우기에 좋다.교육체계가 확실히 잡혀있지는 않지만 기초적인 내용부터 접할 수 있음
","
이직 예정인 팀원에게 악담을 하는 최상위 계층본인 실무에 집중하느라 팀원 관리를 손 놔버린 관리자관리자 이상급이 오면 딸랑거리느라 바쁘고 자기 책 잡힐 일에 대해서만 집요하게 트집을 잡아대는 관리자...기본적으로 회사 분위기는 괜찮은데 윗선이 많이 문제인 회사
","
사람이 왜 미련없이 떠나는지 파악하지 못하고 있는건지 알면서도 모른척 하는건지...회사 이미지를 까먹는게 어디인지 생각해봤으면 좋겠어요
"
개발,전직원,서울,2023. 05,2.0,"""그나마 대체적으로 사람들 좋은 게 몇 없는 장점인데 그 좋은 사람들마저 잡을 생각을 안함""","
돈 늦게 주진 않음, (일부 팀 제외) 일 어렵진 않고 야근도 거의 없음, 사내 카페있어서 커피 싸게 먹음,
","
정치질 좀 있어서 인싸 라인에 눈 밟히면 안 좋은 팀으로 배정 될 수 있음, 점심비 없음, 대박 짠 연봉, 실장 라인이 잊을만 하면 한두번 씩 지뢰 터트리는 짓을 함, 안그래도 허리 라인이 부족한데 인건비 줄일려고 좋은 사람들을 잡을 생각을 안함
","
요즘 회사 사정 안 좋은건 아는데 한 치 앞만 보겠다고 유능한 사람들 떠나는 걸 방치하지 좀 말았으면 좋겠음
"
서비스/고객지원,전직원,서울,2023. 05,2.0,"""최저 연봉, 복지 없음, 워라벨은 보장""","
워라벨 보장칼퇴 가능사원끼리 분위기 좋음그 외에 없음
","
월급은 진짜 최저시급으로 받음인센티브 없음팀바팀이 심하고 복지 없음커리어에 도움 없음
","
여러분 경영진에 바라지 말고 탈출하세요!!!
"
생산관리/품질관리,전직원,서울,2023. 05,2.0,"""외주업체의 한계인지 몰라도 외부 눈치 많이 보고 프로젝트를 이끌어줄 TL 부족""","
팀바팀이긴 한데 위라벨 보장, 신입이 가서 일배우기엔 나쁘지 않음
","
낮은 월급, 복지 거의 없음, 1-2년 하고 나가는 사람 많아서 상급자 부족 및 고인물화
","
상급자가 부족한건 알지만 어느정도 물갈이나 팀이동 필요하다는걸 알아줬으면 함
"
서비스/고객지원,전직원,서울,2023. 05,2.0,"""서비스업이 무엇인지 배울수 있었던 회사시대를 잘만나서 발전한 회사""","
사내카페가 저렴한 가격에 제공되어 좋다윗 사람의 돈자랑질을 들을수있다
","
애들이 안씻고 다니는지 여름에는 냄새가 너무 난다화장실도 적다
","
가스라이팅이 지금도 통한다고 생각하면 오산.그냥 직원들 말 경청하길
"
서비스/고객지원,현직원,서울,2023. 04,1.0,"""게임회사의 첫발 내딛을때 찍먹하기 좋은회사 그이상 그이하도 아님""","
외주업이다보니 본인이 원하면 전배가서 하고싶은 게임 프로젝트 업무 가능 (본인이 게임회사로 쭉가겠다한다는 조건하에 굉장히 메리트있는 사항) 난안함 1.사내카페있음 저렴
","
파견직 1년찍고 90프로가 다퇴사함 왜냐? 정규직 되도 연차 1년동안 없음 똑같이 월차임 ㅋㅋㅋ거기다 돈도 편의점알바 해도 버는돈주네??ㅋㅋ일은 사람 갈면서 시키는데 월급은 ..미래가안보이는 회사임 돈걱정 돈욕심 자기성장에 욕심없는 사람이고 나는 비혼주의자다 하는사람은 다니는거에 지장없을듯 1.같은 건물 슬리퍼 못신게함 층을 옮겨다닐때 신발신고 다녀야됨 2. 인수인계 사수.부사수 시스템 일절없음 그냥오면 이거하시면되요 하고 끝 아니모르는데 어케 하냐고 ㅡㅡ?3.팀장급 TL급 실무안함 출근해서 컴퓨터모니터만 보다 퇴근 (업무에 도움 전혀안됨)4. 자기성장을 할수가없음 왜냐? 연협이 통보식임 ㅋㅋ(나도곧나감)5. 일의 수행량.업무성과 이런거 필요없이 진짜 쓰잘대기없는 Kpi 했냐 안했냐로 연봉 협상해줌 그마저도 최대가 5프로 ㅋㅋ6. 단점이 너무많아서 여기까지만 기재하겠음7. QA 직무 한해서 쓴거임 8. 돈급한거아니면 자격증공부더해서 더좋은곳 가라 정말이다9
","
바라는거없다 뭐 해주는척 하면서 들어주는게 전혀없는 윗라인이랑은 소통자체가 하기싫음
"
