직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
개발,전직원,서울,2023. 03,3.0,"""혁신적이고 경쟁력 있는 기술을 개발하는 메디컬 기업""","
다양한 분야에서 혁신적인 기술을 개발해 유망한 비전을 가지고 있음
","
경영진의 철학이 모호해 방향성을 잡기 어렵고 이로 인해 업무가 매우 불안정함
","
본인의 장점에 맡는 업무만을 담당해서 처리했으면 합니다.
"
연구개발,현직원,서울,2023. 02,5.0,"""유하고 능력있는 사람들이 모여있는 좋은 회사미래가 기대되는 회사""","
1. 이제 본격적으로 제품 판매가 시작되고 있습니다2. 능력 있는 사람들, 매너있는 착한 사람들이 많습니다3. 유연출근제와 재택 좋습니다4. 팀바팀이나 워라벨이 좋습니다5. 업무적으로 성장가능성이 많아보입니다
","
1. 대표님 어디가셨어요2. 업력에 비해 체계가 없습니다
","
1. 의료업계의 보수적 문화가 회사에 전파되지 않았으면 합니다.2. 자유로움이 우리 회사의 최대 미덕이라고 생각합니다.3. 얼굴 많이 비추셨으면 좋겠습니다
"
기획/경영,현직원,서울,2022. 05,5.0,"""직원 한명 한명을 대우해주고, 발전 가능성이 무궁무진한 회사""","
자율재택, 점심식대제공, 도서구입비 등등 여러 괜찮은 복지들이 있으며 워라벨이 좋은 편.
","
자유가 개인에게 주어진 만큼 책임은 본인이 져야함. 더불어 회사의 비전을 정확하게 직원들에게 공유해 주었으면 함. 직원들 간 소통이 활발하게 이루어졌으면 함.
","
회사의 방향성 및 비전을 직원들에게 잘 공유해주시고 회사를 이대로만 잘 운영해주셨으면 합니다.
"
개발,전직원,서울,2022. 04,3.0,"""- 친절한 동료들과 최고의 워라밸- 주니어/중간급 연차로 오게 된다면 실무에 대한 갈증을 느낄 수 있음""","
기본적으로 스타텁에 제공되는 복지들이 있고 워라밸 부분에선 최상의 만족도.
","
사업부분이 여러가지다보니 하나의 비전을 갖고 회사가 운영되는게 아닌 느낌. 목표의식을 느끼기 어려움.
","
기존 사업과 신사업 각자 개발을 하더라도 한 회사안에서 공통된 비전을 갖고 회사를 운영해, 실무자들에게 동기부여를 주는 환경이 조성돼야할 것 같습니다.
"
기획/경영,현직원,서울,2021. 12,4.0,"""비전과 방향성을 제시하지 못하는 경영진으로 미래가 아직 모호하지만, 그 리스크를 잘 해결하면 가능성은 있음. 하지만 개인 커리어는 보장할 수 없음. 자유롭고 수평적인 문화는 좋지만 체계는 부족함.""","
고급 기술 인력들을 보유하며 제품에 녹일 기술들을 발전시키고 있음. 기존에 전체적으로 방향성 제시를 못했지만, 요즘은 헬스케어 쪽은 많이 안정화 되었다고 생각함. 리드들이 오면서 체계가 많이 잡혀가고 있음.위치 강남역세권, 자율 재택이 가능하며, 보기 드물게 자유롭고 수평적이며 규제도 딱히 없는 문화. 식대 제공, 매니저급 연봉 높은 편이며 인정 받으면 상승률이 높음.
","
목표, 비전, 방향성을 계속해서 제시하지 못하는 혹은 안하는 경영진으로 인해, 훌륭한 인력들의 노력이 물거품이 되고 갈피를 못 잡는 경우가 많았음.회사는 헤매고 있을지 모르나 나중엔 그 리스크를 극복하고 성장할지 모르나 그 시간 동안의 개인들의 커리어는 신경써주지 않음. 업무 방향에 아무런 가이드나 지시도 없거나 혹은 일단 급한 불만 끄는 일처리로 진행되고 있음. 코파운더들과의 업무 협업이 안되는데, 아무 것도 조정이 안 되는 느낌. 그들의 생각이 직원들과 공유가 잘 안 되는 듯.
","
코파운더들은 과연 사업에는 어떤 생각을 가지신건지 궁금합니다. 방향성에 대해 이젠 결정을 내려주세요.
"
개발,전직원,서울,2021. 11,4.0,"""인공지능 최첨단의 연구개발 능력을 접할 수 있는 회사""","
상당한 연봉 경쟁력, 자유로운 사내 분위기, 유연근무제, 실력있는 동료들
","
불명확한 목표가 이쯤되면 명확해질 때도 된거같은데.... 하지만 타겟만 확실히 잡는다면 여전히 할만하지 않을까?
","
선택과 집중을 해서 꼭 성공히켰으면 좋겠습니다
"
기획/경영,전직원,서울,2021. 11,3.0,"""마음 편하게 다닐 수 있는 만큼 커리어 발전은 없는 회사""","
자유로운 분위기, 재택 완전 허용, 개인 법카 사용, 너무 착하고 좋은 사람들, 그 외 다양한 복지
","
좋은 사람들이 많은 만큼, 휘둘리는 사람들도 많음. 그 안에서 왕 행세를 하는 분들도 있음. 가장 크리티컬한 건 회사가 사업성과 비전이 없음.
","
비전을 제대로 정립하여 나아갈 방향성을 구성원들에게 제발 보여주기를
"
데이터,전직원,서울,2021. 09,5.0,"""개발자가 대우받으면서 일할 수 있습니다. 어디나 그렇지만..""","
같이 일하는 동료들의 수준들이 매우 높습니다. 커뮤니케이션이 잘 됩니다.
","
돈을 벌지 못해 투자금이 바닥날 때 까지 기다리고 있는것 같은 느낌이 듭니다..
","
돈을 벌지 못하고 있는데 어떻게든 회사를 살릴려면..
"
개발,현직원,서울,2021. 07,5.0,"""워라밸 최고. 조직문화 최고. 퍼스트 무버라면 도전할만한 회사. 그러나 의료 규제라는 장벽.""","
수평적 조직문화, 닉네임으로 호칭 통일. 자율출퇴근제. 자율재택근무제. 백신 접종 회차당 유급휴가 2일. 카페테리아 및 스낵바. 직원 휴게실. 스탠딩 책상. 자유로운 연차사용. 사내메신저로 슬랙 사용. 최상급 장비지원. 높은 연봉수준 등등...
","
맞춤형 인재 수급의 어려움. 신기술/신제품이기 때문에 의료 규제를 통과시켜 사업화를 하는데 여러가지 어려움이 있음. 반대로 생각하면 다른 기업이 쉽게 따라잡을 수 없는 높은 진입 장벽을 만드는 과정이라고 생각함.
","
경영진의 중장기적인 비전은 매우 만족하지만, 단기적으로도 직원 사기를 높이고 회사에 대한 자긍심이 생길 수 있는 소소한 챌린지? 사업성과? 홍보자료?를 만들면 좋을 것 같음.
"
연구개발,현직원,서울,2021. 07,5.0,"""열정 있는 인공지능 연구원이 발전하기 매우 좋은 곳. 옆에서 끊임없이 최신을 공부하는 능력자들이 있어 좋음.""","
1. 논문 쓰는 걸 장려하는 분위기2. 실력자들이 많아서 물어보면서 도움 받으면서 연구할 수 있음. 아무리 회사가 좋아도 주위에 잘 모르는 사람들 있음 발전하기 힘든데, 여긴 그렇지 않음. 회사 코파운더 교수님들에게 도움 받을 수도 있음.3. 재택근무 같은 자유로운 분위기/제도로 자유롭게 연구에만 몰두할 수 있음4. 연봉도 꽤 높으면서 상대적으로 자유롭게 주어진 과제를 하고 싶은 대로 연구가 가능함.5. 연구원으로써 연구 외 업무가 타 회사에 비해 적은 편. 연구에만 몰두할 수 있음.
","
1. 회사업무와 아무 상관없는 논문쓰는건 장려하지 않음.2. 캐쉬카우 없음. 성장하고 배우는거 필요없고 안정적인 곳에서 걱정없이 돈 많이 벌고 싶은 분들에겐 비추천.3. 프로젝트 진행 방식이 회사가 아닌 연구소처럼 논문/연구부터 시작하는 듯함. 연구/개발/사업/제품화 부분들이 처음부터 같이 계획/진행되야 하는데 어려운점이 있는 것 같음.
","
연구 시킬 때 더 멀리 보고 논문으로만 끝나지 말고 제품으로 연결되는 연구/논문을 할 수 있도록 (연구원/개발자/기획자 소통 등을 통해) 해주셨음 합니다.
"
기획/경영,전직원,서울,2021. 07,2.0,"""사업 방향성 모호함. 지금 들어오실 분들은 다시 한 번 생각해 보셔야할 듯. 워라벨을 중시하는 사람이면 추천합니다.""","
동료들이 인성적으로 괜찮다. 현재는 모난 사람 없다. 여기서 일하는 동료들의 스펙이 아쉽다.
","
사업 방향성을 경영진도 모른다. 각자 하고싶은것만 한다. 직원들이 하나둘씩 떠나가는데 심각성을 모른다. 일단 기술이 있으니 포장해서 그럴 듯 한 제품을 만들어보자는 마인드.
","
기업의 목표, 방향성을 잘 잡아주었으면 합니다. 회사의 미래가 없으니 사람들이 떠나가는건데 해결방안도 해결하려는 의지도 안보입니다. 코파운더들은 회사에 나오지도 않고 자기 분야 연구만 열심히 할 뿐 관심도 없어보입니다.
"
데이터,전직원,서울,2021. 06,5.0,"""개발자가 대우받으며 보람차게 일할 수 있는 곳. 다양한 개발 환경 경험이 가능하다.""","
연차를 매우 자유롭게 사용할 수 있고 자기 계발 비용 지원해준다. 자유로운 근무 환경에 대해 만족도가 매우 높다.
","
지나친 자유로움이 때로는 조금 걱정되는 정도? 그 외 문제된다고 생각한 점은 없습니다.
","
여러 도전적인 과제를 잘 대처하여 이겨나갈 수 있었으면 좋겠습니다.
"
기획/경영,현직원,서울,2021. 06,3.0,"""우수한 인공지능 기술을 가진 미래가 기대되는 스타트업""","
인공지능 역량이 우수한 동료들. 재택근무, 자율출퇴근 등 유연한 근태관리. 식대 및 간식 지원. 구성원의 자율을 존중하고 업무 압박 없는 편.
","
CEO와 코파운더들 사이에 의견통일이 잘 안되는 것처럼 보임.의사결정 느림.인허가 등 제품개발과 판매와의 간극이 커서 기다림에 지침.연구역량에 비해 상대적으로 약한 사업역량.
","
조금 더 비전을 공유하고 사업에 대한 의지를 보여주었으면 함.
"
개발,전직원,서울,2021. 03,3.0,"""개발업무의 영역이 매우 넓다. 많은걸 경험할 수 있긴 하지만 굳이 경험 안 해도 되는것도 경험하게 되는것이 장점이자 단점""","
점심 식대 만원 제공. 전 사원 법카 지급. 회사에 어떤 문제가 있을 때 사원과 임원이 함께 진지한 분위기로 토론이 가능하다. 업무방식, 업무 시간은 자율에 맡김. 휴가 사용이 자유로움. 입사 하면 휴가가 1개월에 1개씩 발생하지 않고 15개를 12개월로 쪼개서 반올림해서 줌.
","
임원과 사원이 함께 토론한건 그냥 이야기 한걸로 끝남(그냥 같이 이야기만 하고 문제 해결 진행 절대 안됨). 전반적으로 회사사람들이 기가 너어무 쎄다..(안그러면 손해보는 일이 많음->기 약한 사람은 계속 손해보다 퇴사->기쎈사람들만 남는 순환루트) 암묵적으로 라인이 존재한다.
","
항상 말도 안되는 스케쥴과 성과를 요구하고 닦달하는게 매우 익숙한 평범한 IT 사장님.. 기업경영을 무슨 주식 단타치듯이 일주일에 한번씩 성과확인하십니다. 리스크도 좀 그렇게 확인하셨으면 좋겠습니다.
"
개발,현직원,서울,2021. 03,5.0,"""팀마다 다르겠지만 Due를 잘 지키면서 성과를 내면 크게 문제되지 않는 것 같음""","
- 재택근무가 잘 활성화 되어있으며, 팀마다 다르겠지만 일주일에 한번정도 출근을 요구받기도 함. 하지만 기본적으로 재택근무를 당연시하고 있음.- founder 중에 카이스트 인공지능대학원 교수님 두 분이 계시는데, 기술적으로 큰 도움을 받고 있음.
","
- 재택근무를 채택하고 있지만, 코로나19라는 사태 때문에 어쩔 수 없이 하는 느낌이 강함. 재택근무를 더 잘하기 위해서 어떤 고민을 하고 제도적으로 지원해야하는지 아무도 별 생각이 없음
","
회사 차원에서 보상 제도가 빨리 생겼으면 좋겠습니다.
"
개발,전직원,서울,2021. 01,3.0,"""대우는 많이 받을 수 있으나 보람을 느낄 수 있을지는 의문.""","
스타트업 치고 최고의 복지를 자랑하는 기업임. 해외 선도사를 많이 참조하려 하지만 적용불가 (수평문화지만 좋은 예시가 아님). A부터 Z까지 만들고 싶은 사람에게 추천. 신입이 아닌 주도적으로 일할 수 있는 시니어들에게 추천.
","
회사 비전이 모호함. 사업기반이 매우 불안정적임. 체계가 없는 상태에서 좋은 복지에 안주해 놀고 싶어하는 인력과 일당 백 하는 인력이 나눠져 있음.
","
경영 체계를 먼저 만드는것이 필수일듯.
"
