직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
영업/제휴,전직원,서울,2023. 09,2.0,"""게임을 하면 포인트가 쌓이는 모바일 플랫폼.""","
게임 업계 경험을 쌓고 싶다면 여러 게임 회사와 접촉할 수 있는 좋은 기회가 있다. 다양한 게임 회사들과 미팅을 하고 행사에 참여할 수 있다.
","
미래에 대한 전망과 비전이 부족합니다. 경영진들은 대기업보다 더 혁신적으로 행동해야 합니다.
","
직원 존중이 필요합니다. 회사 문화를 바꿔야합니다.
"
기획/경영,전직원,서울,2023. 03,4.0,"""사람들은 좋으나 사람들이 늘 부족한 회사. 일이 많다""","
맥북지원. 주1회 재택근무. 지하에 각종 음료. 자유로운 분위기.
","
스타트업이다보니 체계적이지 않음. 내방역 근처에 맛집 없음
","
신규 사업 추진에 적극적인 모습을 바랍니다
"
기획/경영,현직원,서울,2022. 12,5.0,"""솔직 할수록 좋은 기업. 초반에 조금 어려울 수는 있지만, 자신이 회사 생활을 만들어 나감에 뿌듯함을 크게 느낄 수 있는 회사. 이 나이에, 이런 곳에 와 볼 수 있음에 감사함을 느끼고 다니는 중.""","
현재 운영하고 있는 서비스의 특별함. 믿음직한 이사진, 큰 미래를 보고 함께 달려가는 것이 목표인 작지만 작지 않은 회사. 팀원끼리 충분한 의지가 된다는 것도 큰 장점.
","
사옥 위치가 조금 애매하다. 역세권이나, 흔치 않은 내방역이라는게 조금의 단점?
","
경영진들에 대한 신뢰가 큽니다. 앞으로도 일하기 좋은, 모두가 달려가는 회사를 위해 노력해 주세요.
"
마케팅/시장조사,전직원,서울,2022. 09,5.0,"""스타트업 중에서 정말 괜찮은 IT 앱 회사. 개발 능력자들부터 비즈니스 사업 인적 커넥션 탄탄!! 앱 디자인에서도 우수한 곳. 무엇보다 매일/매달이 다르게 성장하고 복지나 회사의 체계 또한 성장하는 곳!!""","
사람들이 좋습니다. (흔히 말하는 빌런없고 좋은 사람들과 일하고 교류하면서 즐거웠습니다) 그리고 사업적으로 비전을 확실히 갖고 있는 대표님과 성공을 확신하고 그걸 실현시키고자 하는 임원분들이 든든합니다.개발, 디자인, 사업 (게임 업계), IT 앱 서비스 분야에서 능력있는 동료들과 제대로 일할 수 있습니다. 스타트업 중에서 고루고루 (자금 사업 개발력 인적네트워크 서비스) 괜찮은 드문 곳이에요.
","
여느 스타트업처럼 중간 관리자, 연차가 있는 팀원이 조금 부족한 감이 있습니다.  그리고 성장과 탁월함을 추구하기 때문에 주어진 일만 해내길 원하시는 분은 힘들 수 있어요.
","
지금있는 주니어분들이 성숙해진 후의 단단해진 회사 모습이 기대됩니다. 성장에는 어느정도 숙성시간이 필요하다는 마음으로 팀빌딩에도 더 신경을 써주시면 좋을 것 같습니다.
"
마케팅/시장조사,전직원,서울,2022. 07,4.0,"""마음먹으면 얼마든지 좋은 커리어를 쌓을 수 있는 스타트업""","
경영진에게 언제든 질문하고 의견을 나누기 편한 분위기, 활기차고 긍정적인 팀원들(인원이 적은 스타트업이다 보니 굉장히 중요), 주니어를 성장시키고자 하는 몇몇 시니어가 돋보이는 구조. 회사와 함께 사원도 발전할 수 있는 열정적인 환경!
","
복지랄 것이 없고 딱 연봉만 가져갈 수 있음(현금성 복지 부재, 야근수당, 식비 없음). 주니어와 시니어 갭이 커서 라떼(야근, 부심 등)가 있을 수 있음. 일부 능력자 주니어들이 회사를 받치고 있으나 그들의 대우는...
","
왜 사람이 안뽑히는가에 대한 생각을 해보셨으면.. 성과와 노력이 체감 가능한 보상으로 연결이 되어야 사람들이 모이고 유지되지 않을까요
"
데이터,현직원,서울,2022. 06,5.0,"""게임이라는 큰 시장에서 지속 성장중이라 미래가 탄탄하다.""","
매주 1회 재택 근무.연차 사용이 자유롭다.의무 회식같은 것이 없다.사람들이 다들 착하다.투자도 받고 매출도 나와서 초기 스타트업 치곤 안정적이다.초기에는 야근이 많았으나, 지금은 거의 없다.
","
지속 성장 중이라 일이 많다.빠르게 진행되다 보니 일이 두서 없을 때가 있다.점심 식대가 제공되지 않는다.
","
너무 게임사에게만 끌려다니지 않았으면 좋겠다.동시에 너무나 많은 KPI를 책정하지 않았으면 좋겠다.직접 와닿는 복지들이 소소하게라도 추가되면 좋겠다.
"
개발,현직원,서울,2021. 10,5.0,"""보람차게 일할 수 있는 곳. 비전이 명확한 회사.""","
부식이 자주 들어옵니다. 수평적인 조직에서 당신의 생각을 펼칠 수 있습니다.
","
주변에 맛있는 밥집이 있는듯하지 않습니다. 엘리베이터 정원이 적어서 눈치 볼 수 있습니다.
","
앞으로 더 나아가라 수 있는 미래를 그려 주기를 바랍니다.
"
디자인,전직원,서울,2021. 09,4.0,"""사람들이 친절하고 다들 목표의식이 뚜렷함발전 가능성이 높아보이는 회사""","
연차를 눈치 안보고 쓸 수 있음. 영어 이름을 사용하여 조직관계가 수평적임
","
복지제도가 다양하지 않고 건물이 좋은편은 아님, 화장실이 한칸이라 사용하는 데 불편함
","
바라는 점은 딱히 없고 능력있는 경영진 분들이 계셔서비전도 좋고 신뢰할만한 회사임
"
기획/경영,현직원,서울,2021. 07,5.0,"""모든 팀원들이 일을 열심히 하는 분위기이며, 게임을 좋아 하는 사람들이 많은것 같음""","
야근 강요 없음. 복장 자유 같음. 임원들이 스스로 꼰대라고 하지만 엄청 배려깊고 센스가 좋다고 생각함. 피곤하게 하는 사람 없음. 사무실 위치가 좋음. 대표님이 게임을 엄청 좋아함. 일을 잘해야 하는 분위기라서 오히려 의지가 불타오름. 배달의 민족처럼 엄청 성장할 것 같은 스타트업임.
","
사무실이 좀 더운 것 같음. 아직까지는 특별한 단점을 느끼지는 못했으나 발견하면 업데이트 하겠음.
","
쾌적한 곳으로 사무실을 옮겼으면 좋겠어요. 오큘러스 말고 플레이스테이션이랑 엑스박스도 사주세요. 팀원 복지를 말씀해달라고 하시는데 저희도 잘 모르니 먼저 잘 챙겨주시면....
"
데이터,현직원,서울,2021. 07,5.0,"""개인의 성장 = 회사의 성장. 매일매일 열심히 성장 중인 회사.""","
급여 밀릴 걱정이 전혀 없음.투자도 확정됨.탁월한 실력을 갖춘 개발자들과 일할 수 있음.개발자들이 칼퇴근에 엄격한 분위기업무의 특성상 게임을 좋아하는 사람일 수록 더 쉽게 업무에 적응할 수 있음.연차, 월차 사용의 자유로움.회사의 성장을 위해 최선을 다하는 팀원들.직급 구분이 없고 연차 혹은 나이에 따른 하대, 불평등 그런 거 없음.효율적인 업무 환경에 필요한 것이라면 뭐든 해주는 분위기개인의 성장이 곧 회사의 성장이라는 믿음.같이 게임하자고 하면 다들 좋아함.
","
사무실이 쪼끔 더움.경우에 따라 커버해야할 업무가 많을 수 있음 (개인의 발전을 생각하면 단점이라고 보긴 어렵지만, 편하고 여유로운 회사 생활을 원하는 사람에겐 비추)흔한 개발회사의 스낵바 같은 것은 없음. 다이어트가 유행 중.경우에 따라 고사양 랩탑이나 PC에 대한 제공은 제한적일 수 있음. 꼭 고사양이 필요하다면 본인 것을 사용하는 것은 가능함.
","
딱히 더 바라는 것은 없습니다.거리두기 단계 낮아지면 회식 한번 해주세요 ㅋ
"
