직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
서비스/고객지원,전직원,서울,2022. 08,1.0,"""정말 코로나 특수가 아니었다면... 외국게가 아니었다면.. 살아남았을 수 있을까? 정말 의문. 하지만 개별 선생님들은 정말 열심히 하시고, 늘 그렇듯 모든 기업엔 열심히 일하는 직원들이 있으니까, 그래서 이 기업이 잘되고 있는 (잘되고있나?) 것이 아닐까..생각한다""","
외국계여서 타 외국 부서와 대화가 가능하다. 그리고 자기가 원하는...직무가 있을 경우 (또 그것이 사업성이 있다면) 할 수 있는 가능성이 있다.
","
장점 외 모든 것이 단점..이라고 할 수 있지만, 굳이 또 나열해보자면, 이 기업은 독단적으로 운영된다고 할 수 있다. 교육계 특성상 어쩔수 없이 모든 기업이 경직되고, 신박한 걸 해도 잘 먹히진 않지만, 그래도 시도란 걸 해볼 수 있는데 (성인교육이라) 그것이 좀 안타깝다.
","
크게 바라는 바는 없는 듯 하다. 그냥 모든 직원을 평균적으로 대해주고, 모두에게 동등한 기회, 편견없는 기회를 주면 좋을 것 같다.
"
마케팅/시장조사,전직원,서울,2022. 07,1.0,"""칼퇴하기 좋는 기업임. 업무에 대한 지시가 거의 없어서 창의력이 좋아야할듯""","
퇴근시간 정각에 퇴근 가능. 조용함. 하는 척한해도 아무도 모름
","
업무 세분화, 시스템 구축, 프로세스 등 아무것도 잡혀있는것이 없음
","
직원들 r&d를 확실하게 하고 업무 푸로세스르 구체적으로 어떻게 어떤 업무를 해야하는지 바라는 결과 등 세밀하게 구축 필요
"
마케팅/시장조사,전직원,서울,2021. 12,3.0,"""체계가 잡히지 않은 스타트업 분위기지만 그 안에서 행복을 찾으려고 하면 찾게되는 회사""","
외국계 회사, 사업기반은 안정적, 직원들을 위한 복지를 위해 노력하는편! (노력만) 각자 개인 업무로 운영되는 곳이라 상사눈치 제오.
","
비효율적인 미팅, 체계가 덜 잡힌 업무 시스템, 성과압박은근 있음.
","
제대로된 리더는 비전제시 및 동기부여라고 생각합니다.근무하면서 제가 생각한 리더랑은 거리가멀구나라고 매번 느꼈습니다.
"
엔지니어링,전직원,서울,2021. 11,2.0,"""한 때 티비 광고까지 하며 인기몰이 했지만 고객 중심 서비스가 아닌 기업 중심으로 서비스 하는 바람에 하락세에,,""","
연차 사용에 제약 없음 야근 없음 몇몇 똑똑한 직원들이 있어 으쌰으쌰 가능했습니다
","
업무에 대한 의견을 내세울 수 없는게 아쉬웠습니다ㅠ 요청하시는 탑다운 방식으로만 업무하길 원하셨어요
","
모든 임직원 분들의 얘기를 조금이나마 들어보고 적절히 수렴하며 서비스 방향을 수립했으면 좋겠습니당
"
서비스/고객지원,전직원,서울,2021. 09,2.0,"""그냥저냥 별 거 없고 별 거 될 생각 없는 회사""","
칼퇴가 가능하다.그외에는 딱히 좋은 점을 모르겠다.회식이 없다.
","
쓸 데 없는 회의가 많고, 압박이 없는 듯 있다.단점은 많지만 자잘한 게 많아서 쓰기 애매하다.
","
회의를 하려면 안건이 있을 때 해라.
"
교육,전직원,서울,2021. 04,3.0,"""영어 스피킹의 중요성이 강조되고 언택트 시대에 맞춰 화상으로 영어 수업을 가성비 좋은 가격에 배울 수 있는 서비스를 제공한다는 점이 좋고 대부분 직원들이 여성분들이고 회식이 거의 없어서 경력 단절된 여성분들도 다닐 수 있는 회사인거 같다.""","
도서구입비 등 자기계발 비용을 지원해주고 구성원들이 다 착하고 좋습니다.
","
큰 단점은 딱히 없지만 가끔 불필요한 회의를 많이 하는 거 같습니다. 이것만 없으면 더 좋은 회사가 될 거 같습니다.
","
합리적인 복지 및 보상 체계를 갖추면 좋을거 같습니다.
"
미디어/홍보,전직원,서울,2020. 11,5.0,"""자율적이지만 직원 개개인에게 주어지는 책임의 범위가 넓은 회사""","
도전해 볼 수 있는 기회가 많은 회사. 하지만, 아이디어가 좋지 않은 경우는 냉정한 피드백을 받을 수 있는 곳. 정답은 없겠지만 대체로 상사들의 견해가 맞는 것으로 드러나는 경우가 대부분. 은근히 쌓이는 지식과 경험이 많음. 눈치보지않고 칼퇴 가능.
","
유연하고 유동적인 것 만큼 빠른 의사결정이 이루어 지다 보니 실무진에서 업무 강도가 강해질 수 있음.
","
대표와 경영진에 템포에 맞는 긍정적이고 좋은 동료를 선발하는데 많은 노력을 기울였으면 좋겠습니다.
"
서비스/고객지원,전직원,서울,2020. 10,1.0,"""충분히 작지만 커질 것 같지도 않음, 경력 살려 이직 가능한지 의문""","
칼퇴 가능하다, 서울역에 위치해서 약속 잡기 편하다, 회사가 있는 건물 깨끗하다. 더 할 말 없다. 주변 식당 그냥저냥 먹을만 하다.
","
식대 포함 연봉, 사내 복지나 동호회 등 이런 복지는 꿈도 못 꾼다. 그냥 다 없다고 보면 됩니다. 성장가능성 모호하다
","
실무 직원들 소리를 듣고 합리적인 의사결정이 필요
"
서비스/고객지원,전직원,서울,2020. 08,2.0,"""전문성이나 개인역량을 키울 수 있는 기회가 없음, 본받을 선배가 없었음.""","
연차를 눈치 안보고 쓸 수 있음, 수직적인 분위기는 아님. 보통 칼퇴.
","
전문성을 기를 수 없었음, 퇴사 후 뭘 했다고 말할 수 있나 싶었음.
","
사원들의 의견을 반영한 합리적인 의사결정방식이 필요하다고 봄.
"
마케팅/시장조사,전직원,서울,2019. 10,1.0,"""갈수록 평점이 깍이는 곳, 입사할 때만 해도 별 3개는 됐는데 시간이 흐르며 곤두박질""","
최대 장점은 자유로운 사내 분위기와 좋은 동료들이었습니다. 그러나 옛일이고 평점 별 1개인 거 보면 아시겠죠. * 연차 자유롭게 쓸 수 있었으나 불가해짐 - 교육계의 성수기인 연말 연초 사용 불가 지시 내려옴, 그외 기간 동안 항공권 끊기 전에 팀장 허락 필요함* 도서구입비 연간 10만원 지원* 화상영어 수강권 연간 50만원 - 수강권 금액이 치솟아 가장 저렴한 타입의 수강권 1년권 50%할인 이벤트를 해도 50만원 넘음, 1원이라도 넘는 금액은 회사 계좌로 송금해야 함* 간식 구비 - 매달 1회 간식 박스 배송 옴, 대표가 제일 많이 먹는 듯ㅎㅎ 먹고 쓰레기는 회의실이며 간식 서랍이며 그냥 다 두고 다님ㅎㅎ 헬젤과 그레텔인가?* 크게 잘못한 거 아니면 넘어감 - CS 는 4-5명, 마케팅은 4명으로 유지되서 거의 담당 업무에 대해 1인 체제이기 때문
","
* 일본 본사 말을 들어야 해서 뭐든 자유롭지 않음, 갈수록 터치가 심해짐* 본래 업무별 담당자가 있었지만 퇴사하면 그자리를 안채우고 남은 사람에게 전가함* 대표가 젊꼰임. 사람들이 싫어해서 년 1회 정도 회식하는데 술 마시기 전에는 술 강요 안한다하고 술 취하면 본 모습 나와서 '너는 너무 술 안 먹는다'라고 멘트하는 사람. 정시퇴근 하는 회사가 어딨냐며 정시 퇴근하는 것에 대해 자부심 있는 사람. 야근비/야근식대를 주든가?* 이상한 신규 사업을 시도함. ex) 화장품 큐레이션 서비스, 반려견 용품 큐레이션 서비스..최소한 교육이랑 관련된 거라도 하길...그러면서 교육 보다 화장품이 잘 될 것 같다고 말하는 클라스~* 이 회사에 좋은 후기 달리는 건 누가 썼을지 각 나오는데 굳이 뭐 언급해서 뭐하겠음. 들어가면 알 수 있음ㅎㅎ* 규모가 있는 기업인데 전체 한국 직원은 10명 내로 유지함. 그러니 발전할 여유 없이 현상 유지에 바쁨.
","
* 대표과 직원들 사이가 별로라고 해서, 직원들간의 사이까지 어색하지는 않습니다. A에게 기업의 리더로서 부적절한 언행을 하시면 B,C,D,E의 귀에도 들어갑니다. 앞에서만 조용히 계신다고 다른 사람들이 본인을 긍정적으로 볼 거라 생각 하지 마세요.* '너가 메일은 50개 받으면, 나는 500개를 받아. 그래서 못 봤어.' 멘트하지 마세요. 500개 분량 다 소화하라고 그 직함 얻으신 겁니다. 저는 제 자리에서 최선을 다했습니다.* 실무하는 사람들이 인력 충원 필요하다고 말하면 믿으세요. 초창기 멤버 수와 현재를 비교하면 인원이 늘었나요? 줄었나요? 그대로인가요? 발전을 위해 새로운 업무에 도전하고 싶습니다. 그러려면 기존 업무에 대해 지원할 보조 인력이 필요합니다.
"
