직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
개발,현직원,서울,2023. 01,5.0,"""다닐 맛 나는 회사. 자유로운 분위기 속에서 완성도 높은 sw 개발을 할 수 있는 회사. 구성원들이 뛰어나고 성격이 좋은 회사고 그런 사람들을 채용하려는 회사.""","
동료들이 다들 뛰어나고 성격들이 좋음. 다녀보니 좋은 동료가 최고의 복지라 느껴짐. 주체적으로 일하는걸 좋아하고 완성도 높은 서비스를 만드려고 노력하며 내가 발전한다고 느껴짐. 대표부터 인턴까지 수평적으로 지내며 재밌게 생활함.
","
스타트업이고 회사가 커진지 얼마 안돼서 복지와 연봉이 아직은 많지 않음. 다만 타운홀 미팅 등 많은 자리를 통해 경영진이 이러한 부분 개선을 공유해주며 하나씩 나아지고 있음.
","
장기적인 사업 방향성을 조금 더 구체적으로 공유해주면 직원도 장기적으로 회사와 어떻게 함께할 수 있을지 고민할 수 있다 생각함.
"
개발,현직원,서울,2022. 09,4.0,"""문화가 좋은 기업/성장하고 싶은 사람이 합류하기 좋은 기업""","
- 존중받으며 일할 수 있다.- 본인이 위임받은 권한으로 본인의 일을 드라이브 할 수 있다.- 잘 만들어진 문화가 기반이 되어준다.
","
- 주니어 수 대비 적은 시니어 - 시기별로 포화되는 업무량- 아직 안정적이지 못한 BM
","
경영진끼리 의사결정을 조금 더 투명하고 일관되게 해줬으면 좋겠습니다. 경영진이라 함은 회사를 아우른다는 걸 잊지 말아주셨으면 좋겠습니다.
"
연구개발,전직원,서울,2022. 09,3.0,"""젊은 에너지가 느껴지는 회사. 함께 성장할 수 있는 회사.""","
전반적으로 수평적인 분위기입니다. 자율 출퇴근과 재택근무가 보장되어 있습니다.
","
업계 대비 연봉이 낮은 편. 프리라이더가 많은 회사. 능력없는 초기 입사자들에게 휘둘리는 경영진.
","
강단있게 의사 결정을 내린다면 더 좋은 회사로 발전할 가능성이 있어보입니다.
"
연구개발,현직원,서울,2022. 01,5.0,"""좋은 스타트업이 무엇인지 알려줄 수 있는 회사. 나의 성장과 모두 회사의 성장을 도모할 수 있는곳Edge AI라는 강점을 가지고 있기에 추후에도 계속 발전하리라 생각. (시리즈 A입사 이후 짧은 시간내 시리즈B 경험)""","
서로서로를 존중하는 문화, 어려운 채용과정을 통과한 유능한 동료들, 책임 질수만 있으면, 제한 없는 재택과 자율출근 시스템연구자라면 마음껏 연구할 수 있는 문화.
","
스타트업이기 때문에 여러 업무를 수행해야 할 수 있음. 하지만 규모가 현재 7~80명이기 때문에 정말 급할때 아니면 요즘은 거의 없다.
","
구성원 한명 한명에게 관심을 가지려는 자세는 정말 감사하지만 규모가 늘어나면 너무 바빠지실것 같아 걱정입니다.
"
개발,전직원,서울,2020. 12,5.0,"""딥러닝 및 소프트웨어 엔지니어로서 스스로의 역량을 펼치고 성장하고 싶다면 절대 놓치지 말아야 할 기업""","
1. 수평적인 회사문화불필요한 위계질서 없이 모두가 편안하게 일을 할 수 있는 문화 및 환경을 제공해준다. 노타에서는 모두가 이름 + 님(예 철수님) 으로 서로를 부르고 서로에게 질문을 하고 의견을 제시하는 부분에 대해 불편함이 없다. 인턴이 의견을 제시하더라도 귀기울여 들으며 경영진이 의견을 내더라도 그 의견에 질문이나 의문이 있으면 망설임 없이 물어보고 납득시키는 과정을 거친다.  2. 성장 노타에서 가장 많이 언급되는 키워드는 ""성장"" 이다. 노타의 개발자들은 스스로를 어떻게 하면 발전시키고 성장시킬 수 있을까 끊임없이 고민한다. 매주 딥러닝 세미나를 통해 최신 딥러닝 이론을 공부하며 이론을 어떻게 실제로 적용 시킬 수 있을지 토론한다.  프로젝트 도중 개발적으로 의미있었던 아이디어 및 경험이 있다면 자발적으로 세미나를 열어 다른 개발자들에게 공유한다. 이 모든 세미나의 참석 여부는 자율적이며 단순히 세미나 이상으로 노타의 개발자들은 스스로 발전시키기 위해 부단히 노력하며 회사는 개발자의 성장에 필요한 점들을 적극적으로 서포트 해준다.  3. 사람 내가 생각하는 노타의 가장 큰 장점은 사실 수평적인 회사문화 혹은 성장 보다 사람이다. 이 회사에는 자기가 맡은 일에 책임을 다하고 각자의 분야에서 뛰어난 지식 및 경험을 갖고 있는 사람들이 많이 모여있다. 그들이 각자의 역량을 최대한 펼치면서 시너지를 내고 프로젝트에 참여하는 모두가 같은 모맨텀(동력)을 갖고 일이 진행되는 경험은 짜릿하다. 누구 하나가 발목을 잡는 것이 아닌 모두가 각자의 자리에서 최선을 다했을 때 비로소 발현되는 시너지를 나는 노타에서 자주 느꼈다. 그리고 각자가 맡은 일을 열심히 했을 때 프로젝트를 같이 수행하는 동료들도 그리고 경영진도 내 노력에 대해서 충분히 인정 및 존중 해준다.
","
1. 회사 내에 시스템 적으로 인턴이 할 업무, 주니어 업무, 시니어 업무가 따로 나누어져 있지 않기 때문에 처음 입사했을 경우 내가 해야할 일 혹은 할 수 있는 일을 파악하기 어려워 조금 해맬 수 있습니다. 2. 또한 사수의 개념이 없기 때문에 적극적으로 업무를 물어보지 않거나 스스로 일을 찾아 나서지 않고 수동적으로 있으면 업무 환경에 적응하기 어려울 수 있습니다.
","
지금 처럼 좋은 회사 문화를 유지하면서 좋은 사람 및 개발자를 뽑아 노타가 더 크고 멋진 회사로 발전하면 좋겠습니다.
"
개발,현직원,서울,2020. 12,5.0,"""AI 모델 경량화라는 좋은 아이템으로 앞으로의 발전이 기대되는 회사""","
자유로운 분위기, 능력있는 동료, 본인이 원하는 프로젝트에 참여, 그에 따른 본인의 책임감
","
업무량이 적은편은 아니다. 사수가 없어서 본인이 업무를 팔로업할 필요가 있다.
","
지금처럼 타운홀미팅을 통해, 직원들의 의견을 잘 들어주시고 함께 나아갔으면 좋겠습니다.
"
개발,현직원,서울,2020. 10,5.0,"""동료들이 너무 좋고 모두가 노력하는 조직임. 경영진도 회사와 직원들에 관심을 많이 쏟고 실제로 성장하는 것이 눈에 보임.""","
너무 많아서 나열할 필요가 없음. 가장 큰 장점은 회사 내 누구든 본인 목소리를 낼 수 있고 경영진이 그 목소리 하나하나에 귀를 기울여줌.
","
업무 강도는 센 편이며 그만큼 본인이 많이 성장할 수 있음.
","
지금처럼 직원들 이야기를 많이 경청했으면 좋겠고 너무 무리하지말고 경영진 각자의 건강에도 많이 신경썼으면 좋겠음.
"
개발,현직원,서울,2020. 09,5.0,"""이렇게 사내 문화가 정말 좋게 잡힌 기업이 있을까라는 생각이 들 정도로 좋게 느껴지는 곳.""","
수평적인 사무실 분위기로 인해서 편하게 팀원끼리 자유로운 의견 제시가 가능해서 좋습니다. 타운홀미팅을 주기적으로 하면서 직원들의 의견을 들어주고 함께 문화를 만들어가자고 노력하고 있는 회사.
","
주니어가 배우기 쉬운 환경은 아닌 거 같지만 어느 스타트업도 비슷할 거 같다는 생각이 든다.
","
앞으로도 지금처럼 직원들의 의견을 잘 반영해주셨으면 좋겠습니다.
"
개발,현직원,서울,2020. 09,5.0,"""개발자가 대우받으면서 일하기 좋은곳, 다양한 분야에서의 능력있는 인재들이 많아 배울것도 많고 AI에서도 경량화를 특화로한 아이템으로  잠재력이 뛰어난 기업, 최신 기술을 다루는 만큼 원하는 최신기술에 대해 쉽게 의논하고 다룰수 있는 기업""","
야근 식대 제공, 입사 시 웰컴 키트와 선불카드 지급, 자기계발 지원 ( 영상 강의나 웨비나, 도서 등), 개발 하드웨어 신속하게 구매지급 이외에도 휴가, 건강 검진 등의 복지제도가 다수 있고 자율적인 근무시간, 원하는 프로젝트에 자원해서 합류하는 능동적인 문화가 있어 개발자가 일하기 좋은 근무환경
","
자율적인 프로젝트 참여이기 때문에 불균형한 업무량이 있을 수 있다. 자신의 리소스 조절은 자기가 알아서 해야한다. 딥러닝 모델 경량화라는 기술의 깊이성 때문에 쉽게 팔로업이 안될 수도 있다.
","
신규 직원이 들어올 시 수습기간을 두어 해당 수습기간에 업무에 잘 적응할 수 있는 프로세스를 만들면 좋겠다.
"
영업/제휴,현직원,서울,2020. 05,5.0,"""직급에 상관없이 편하게 의견 타진이 가능한 매우 수평적인 문화의 회사.""","
학원 수강료 등 자기계발비를 지원해주고, 연차사용이 자유롭고, 저녁식대를 지원해주는 등 복지가 좋은편. 정기적으로 타운홀미팅을 여는 등 복지 및 사내문화를 직원들과 함께 만들어가고자 노력하고, 개개인의 목소리를 인정해주는 회사.
","
스타트업 특성상 주니어가 체계적으로 업무를 배울 수 있는 환경은 아님.
","
앞으로도 직원들의 지속적 동기부여를 위해 계속 노력해주시면 감사하겠습니다.
"
