직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
개발,전직원,서울,2023. 04,3.0,"""문화 예술 분야에 대한 관심이 있으면 보다 재밌게 다닐 수 있는 곳. 다만 회사 체계를 이제 막 잡아가는 중이라 과도기 느낌이 크다. 대표들의 비전이 아쉽다.""","
연차 사용에 부담이 적고, 규모가 작고, 회사가 젊어 수평적인 사내문화. 문화예술 컨텐츠에 애정이 있다면, 직종 상관없이 즐겁게 일할 수 있다. 업무 강도가 세지 않음.
","
경영진의 비전이 매우 아쉬움.. 이미 컨텐츠나 개발 역량 등은 높아지고 있지만, 이를 매니징하고, 비전을 제시하는 능력이 떨어짐.  비전이 없다보니 기업의 방향에 대한 공유도 부족하고 그런걸 할만한 역량도 없는듯. 복지가 종종 뒤로 후퇴함. 유연근무제에 제약 생김.
","
리더란 무엇인지, 트렌드와 예술에 대해 더 고민하고 배우시길 바랍니다.
"
디자인,전직원,서울,2023. 03,3.0,"""새로운 일을 도전해볼 수 있는 곳. 하지만 체계는 물음표.""","
- 같이 일하는 직원들이 좋음.- 타 팀과 함께 협업하는 시스템
","
- 상여금x- 경영진이 다소 곤대마인드를 갖고 있고, 개선할 의지를 보이는 듯 하나 결과로 도출되지 않아서 아쉬움.
","
말로만 개선한다고 하시지마시고 행동과 결과로 보여주세요.직원들이 바라는 건 생각보다 크지 않을 것입니다.
"
기획/경영,전직원,서울,2022. 10,3.0,"""많은 일을 동시에 해볼 수 있는 것이 장점이자 단점. 전형적인 스타트업. 하지만 같이 일하는 동료들이 좋음.""","
다양한 업무를 접해볼 수 있다. 같이 일하는 동료들과의 트러블이 거의 없다.
","
실행하는 사업대비 시니어가 부족하고 담당자수가 부족하다. 경력이 적은 사원들이 일을 담당하므로 일을 처리하는데 있어 어려움이 많다.
","
각 분야의 전문적인 지식은 아니더라도, 기본적인 지식과 이해도가 필요함.
"
개발,전직원,서울,2022. 09,3.0,"""개발능력과 문제해결 능력에 자신이 있는 개발자라면 본인의 기량을 충분히 표현할 수 있는 기업이라고 생각""","
대표님들이 다정하시고 회사 사람들도 좋음, 점심식대지원, 유연근무제, 추가 근무 시 휴가로 대체가능, 간식
","
문제의 답을 찾지 못했을 때 명쾌한 해답을 조언 받기 힘듬
","
든든한 기둥이 되는 개발자를 먼저 구해줬으면
"
서비스/고객지원,전직원,서울,2022. 09,1.0,"""같이 일하는 사람들 일을 잘하고 욕심있고 착하지만 6개월 정도 지나면 대표님 하라는대로, 시키는대로만 하게됨""","
- 같이 일하는 직원들 일에 대한 열정이 있고, 하려고 하고 착하고 연령대가 비슷하여 즐겁게 일할 수 있음 젊은 기업 젊은 기업 하는 이유가 있음- 패밀리데이가 있다 (매달 마지막 주 금요일 3시 퇴근)- 야근 시 대체휴무 제공 및 저녁식사 제공 (1만원)- 아이디어를 자유롭게 낼 수 있고 상급자도 잘 들어줌- 자율출퇴근제로 출근이 자유롭고 회사생활도 타이트하진 않음 (자율복장, 시간활용)- 간식 제공- 생일 선물 제공- 인센티브 23년부터 생김
","
- 같이 일하는 사람만 좋음 하지만 팀장급부터 능력없는 사람을 뽑아서 분위기 흐려짐- 패밀리데이 말고는 딱히 복지랄게 없음- 아이디어를 내면 낸 사람이 실행해야함 왜냐면 그에 맞는 직원들이 없기 때문 아이디어에 실패하면 오롯이 나의 잘못이 됨- 자율출퇴근제라고는 하지만 30분 단위로만 출근이 가능하며 재택은 꿈도 꾸면 안됨형.평.성 때문에- 하지만 본인 가족은 예외임 재택 가능함- 연봉협상 등급제로 바뀜, 동결 있음 그리고 1년 안됐거나 이전에 협상한 사람한해서 가감액 존재- 인센티브도 등급별로 제공 연봉 동결자는 받을 수 없음- 하지만 연봉협상 체계가 올해부터 시행되었기 때문에 내년에도 달라질 수 있다는 말을 했음 (= 매년 바쓀 수 있고 그건 경영진들 마음이다.)- 돈을 쓰지 않고 큰 효과를 내는것을 아주 좋아함- 남녀비율이 맞지 않는다고 하여 남직원 위주로 뽑는중- CCTV 실내에 배치 당연하다 라고 생각 할 수 있겠지만 위치가 상당히 직원들에게만 향해있음 제일 필요한 창고, 복도 등에는 없음 심지어 사전에 동의도 받지 않았음- 회사에 바라는거 말해줘도 들어주는 척 하면서 안들어줌(예를 들면 진짜 소소하게 의자를 바꿔달라하거나 온수 틀어달라고 하는거 등, 현재는 온수 나옴 하지만 싱크대에는 안나옴)- 법의 테두리 안에서 안해줘야 한다고 생각하는건 안해주는 편 (예를 들어 원래는 평일 5일 연속 연차를 써도 주휴수당 제공을 하였으나 23년부터 바뀜 원래 안주는게 맞지만 여태 우릴 배려해서 줬었다는 식으로 공지)
","
직원 존중 말로만 하지 마시고 행동으로 보여주세요팀장님 노릇 하지 마시고 경영진으로서 제발 직원 말 좀 들어주세요
"
개발,전직원,서울,2022. 09,1.0,"""잡플래닛 평점은 믿을게 못된다는걸 알려준 회사. 스타트업과 중소기업 그 사이 어딘가에 있는 회사""","
유연근무제라서 9시에서 11시 사이에 출근해서 근무시간 채우면 됩니다.
","
좋은 의자는 바라지도 않지만 앉아있기만해도 온몸이 쑤시는 불편한 의자는 직원들의 사기를 꺽습니다.점심 식대 제공은 이제 안하고 비과세 식대 10만원 월급에 포함되어 지급되는데 근처에 식당도 별로없어서 점심 먹기도 애매...소통하려고 노력하는 척만 하는 대표님. 우선 대표님 두분이서 커뮤니케이션 해주세요.
","
직원들의 불만을 한귀로 듣고 한귀로 흘려듣지마시고 경청 좀 해주세요. 잡플 평점 관리만 한다고 좋은회사가 아니예요. 정말 좋은 회사를 만들어주세요.
"
기획/경영,전직원,서울,2022. 08,1.0,"""스타트업 같은 같지 않은 회사 억어지로 굴리는 느낌""","
역이랑 가깝고 퇴근할때 빨라서 좋음 흡연자들에게 편함을 제공함
","
점심이 비싸고 막상 먹을께 없음 점심값이 상상외로 비쌈
","
그냥 번듯한 건물 들어가면 안되나요?
"
기획/경영,전직원,서울,2022. 06,4.0,"""스타트업답게 다양한 업무를 경험할 수 있음.체계가 없다보니 신입은 힘들 수 있음.""","
합정역 인근에 위치하여 회사 주변에 맛집들이 많음.패밀리데이, 연차 자유로움, 마당에 자유롭게 흡연 가능.사람들이 전반적으로 좋음.
","
저연차들이 많다보니 프로젝트를 이끌어나가는데 한계가 있음.대표가 두분이다 보니 소통에 문제가 있을 때가 있음.
","
직원들과 소통하려고 노력하는 모습은 본 받을 점이라고 생각함.대표들간의 소통도 매우 중요하다 생각함.저연차 직원들에게 너무 많은 것을 요구하지말고 제대로된 관리자를 뽑으시길.
"
기획/경영,전직원,서울,2022. 03,3.0,"""스타트업인 만큼 젊은 분위기에서 자유롭게 일할 수 있는 곳. 전시 관련 앱개발과 영상효과 등 전시회 관련 여러가지를 제작하는 곳.""","
사람들이 다들 좋다. 모난 사람이 없음. 젊은 분위기에 자유로운 환경. 대표님 두분 다 젊어서 꽉막히지 않고 말이 잘통함. 점심식대도 지원해줌.
","
전시관련 사업으로 회사가 더 성장할 수 있을지 의문임. 사업을 다양화할 필요가 있을듯. 지원팀도 관리자급을 뽑아 업무를 체계화할 필요가 있음.
","
관리자급도 채용 바람. 비용절감으로 신입만 뽑고 관리자급 퍼포먼스를 바라지 말고.
"
기획/경영,현직원,서울,2022. 01,4.0,"""아직  갖추어야 할 것이 많으나 성장의 여지가 있고 타 스타트업에 비해 업무 강도는 합리적인 편. 다른 회사에 비해 대표들이 소통이 잘 되는 편에 속함""","
자유로운 근무 분위기이며 연차는 눈치 보지 않고 쓸 수 있음. 대표들이 더 나은 복지를 위해 항상 고민함. 사람을 항상 우선순위로 생각함.합정역 인근이라 맛집과 분위기 좋은 카페가 많음. Pet-friendly 기업이라 동네 길고양이들도 돌봄. 직원들이 대부분 친절하고 착하다.
","
주요 결정권자가 제한적인데 결정이 다소 느리고 명확하지 않을 때가 있음. 부서/팀 간 TO의 밸런스가 적절하지 않다고 보여지고,  워낙 다양한 업무의 종사자가 모여있다보니 서로 간의 업무를 알기 어렵고 백업이 사실상 불가능.스타트업이다 보니 스스로 업무를 공부하며 알아야가야하는 경우가 많이 있음
","
기업이 앞으로 어떤 쪽으로 성장하고 싶은 것인지 명확하게 알고 싶습니다.
"
기획/경영,전직원,서울,2021. 08,3.0,"""딱히 장단점이 느껴지지 않는 회사. 업무량이 생각보다 높음.""","
연차 아무때나 사용가능, 직원분들이 모두 친절함, 마당이 있어서 흡연자에게는 흡연하기 편함(청소할때는 불편함)
","
스타트업 치고 업무 보고가 많음. 갑자기 프로젝트가 떨어질때가 많음. 최종 컨펌에서 뒤집어 지는 경우도 많음. 인원 충원이 잘 안됨
","
필요한 인원 충원이 생각하신거보다 많이 필요합니다.
"
개발,전직원,서울,2021. 06,5.0,"""두명의 대표 체계. 개발자 출신의 대표가 있어 개발자 관점의 기업운영을 하고 계심. 직원들 입장에서 생각하는 면이 좋음""","
스타트업의 나쁜 특성들이 최대한 배제하려는 노력이 좋음.모난 직원이 없어 사람 스트레스가 거의 없음.의사소통도 잘 되고 수평적 의사결정 체계가 맘에듦.간식 무제한. 점심 저녁 다 주고 밝은 분위기.자율출근제로 시간활용이 높음
","
업무가 몰릴땐 몰아치다 보니 철야 야근하는 날이 있음개발자 채용이 원활하지 않아 개발직군 업무가 많음팀장급 이상 시니어분들이 많지 않아 체계가 부족함
","
체계적인 운영 시스템을 만드는게 필요합니다.
"
기획/경영,전직원,서울,2021. 04,3.0,"""재밌는 일을 하는 곳입니다 여러 프로젝트 경험을 할 수 있어요""","
점심 사주시고 직원들도 젊고, 대표님들도 열려 계십니다. 나름 핫한 거리에 위치해 있어서 출퇴근할 때 마음이 덜 찌드는 것도 장점
","
업무가 너무 많이 쏟아질 때에는 집에 가는 게 눈치 보일 정도로 업무량이 많습니다. 사람들이 자주 바뀝니다.
","
대표님들은 딱히 잘못하시는 게 없어서 ... 그냥 직원들 복지에 더 신경써 주세요~
"
개발,전직원,서울,2020. 10,5.0,"""다양한 업무를 경험할 수 있는 환경. 사옥도 좋고 고양이도 귀여움""","
윗사람 눈치 안보고 연차를 자유롭게 쓸 수 있음. 고양이 귀여움
","
급하게 처리해야되는 프로젝트들이 많음. 인력이 부족함.
","
.직원 복지에도 노력하고 있는 것 같음.........
"
개발,전직원,서울,2020. 08,4.0,"""야근은 별로 없지만 신입이라면 업무에 힘들 수도 있는 회사""","
불필요한 야근이 없고 강요도 없음, 워크샵은 술이 아닌 즐기는 문화,신생회사라서 오래된 기업문화 전혀 없음
","
스타트업 회사라서, 업무진행 함에 있어서 참고할만한 자료나 정보들이 부족함, 사수가 없는 상태에서 혼자 진행하기에는 꽤 어려움이 따름, 콘텐츠 사업부는 꽤 야근이 있음(소곤소곤)
","
많은 기회를 받을 수 있는 것은 좋지만 좀 더 경력이 있는 사람을 뽑아 회사의 기반을 철저하게 다지는게 좋지 않을까 싶음
"
기획/경영,현직원,서울,2020. 01,5.0,"""경영진이 직원들의 입장에서 어려움과 개선점을 고민해 나가는 기업문화 정착을 통해 서로간의 신뢰를 쌓아가는 괜찮은 회사""","
10시 출근 7시 퇴근이지만 탄력 근무제로 일찍 출근 일찍 퇴근이 가능하며, 눈치 보지 않는 점이 좋다. 직원들과 경영자 모두가 수평적 구조에서 일을 하기 때문에 자유롭게 의견 개진할 수 있는 분위기가 정착되어 있다. 명절 상여와 선물이 있고 연말 인센티브 지급됨. 주말 출근하면 평일 대체 휴가를 주며 점심 저녁 8,000원 상한으로 제공.
","
업무 일정이 몰려서 야근이 많을 때가 있지만 수당 개념이 없어서 아쉬움.
","
개인 면담 횟수를 늘려 직원들의 의견을 더욱 많이 수렴해 줬으면 좋겠음. 야근 수당을 만들어 주길 바람.
"
미디어/홍보,현직원,서울,2019. 08,5.0,"""사내 분위기 자유로운 편. 본인이 원하는 스타일대로 자율적으로 업무를 해볼수 있음. 하지만 딱 떨어지는 규칙과 업무 가이드라인이 없기때문에 업무 방식에 호불호가 갈림""","
연차 마음대로 씀. 개인적인 분위기 때문에 불필요한 간섭 없음. 유연한 조직이라 본인 역량을 살려볼 수 있음. 분위기 쿨함. 회식 강요 없음. 커피 머신. 얼음 정수기 있음. 회사앞에 사교적 고양이 있음. 프로젝트 끝나고 하루씩 휴가줌. 출장 종종 있음. 눈치주는 문화 없음. 서열문화 없음.
","
업무량이 과중 될 때가 있음. 물론 기존 작업물들이 있지만 가이드라인이 없기 때문에 처음 온 사람들은 맨땅에 헤딩. 영상팀 직무별로 한두명 정도 있기 때문에 사수가 없음. 좋게 말하면 내맘대로 나쁘게 말하면 내머리 빠개짐. 야근 좀 있음.
","
기획파트에 인원 보강해줬으면 좋겠다. 직급별로 해야 할 일에 대한 가이드를 줬으면 좋겠다.
"
디자인,전직원,서울,2019. 08,2.0,"""피플리 이 회사 특유의 분위기와 작업스타일이 있다.""","
연트럴파크에 위치 지하철버스모두 가깝다1층에 귀여운 고양이있음권위적이지않은 분위기팔천원 중식제공 연남동에는 맛있는 카페 내돈주고 이용가능
","
자유로운분위기지만  인원이작아 숨막히고  집단적이며, 회사의 부족한점을 친목과 정으로 채워가려고하는 구시대적인 마인드를 가지고있다. 야근이 많다 한주는 자정넘어서 자정까지 야근 , 한주는 10시까지 야근하고 남은 한주는 정시퇴근 이런식로 일이진행된다. 덤으로 출장과 외근도 많다일이많다보니 사람들이 일에찌들어있고 항상피곤해보인다. 그래도사무실에서 전담피지맙시다... 수습기간에 도망간사람이많은지 수습기간 사대보험을 꺼려하고 마지못해요구에 응해준다.
","
회사에 꼭 맞는 인재 뽑아서 존중해주고 일많이 시킬꺼면 돈도 많이주시길
"
디자인,전직원,서울,2019. 08,2.0,"""체계가 많이 없고 자유롭지만 그만큼 힘듦이 받쳐줘여하는곳""","
자유로운 분위기, 자유로운 복장, 자유로운 생각, 쉬는시간
","
들쭉날쭉한 스케쥴, 사람들간의 업무 협업 시스템이 떨어진다
","
전체적으로 사내 분위기가 어떤지 봐주세요. 야근이 너무 많아 사람이 지칩니다
"
디자인,전직원,서울,2019. 05,4.0,"""전시영상의 기획부터 제작, 설치까지 경험해 볼 수 있음. 기획자, 디자이너는 물론 설치영상 개발자들도 성장할 수 있는 곳""","
회사의 분위기가 밝고 좋습니다. 일과 중 티타임을 가지는 등, 사원들 간의 친목이 잘 유지되고 있습니다. 연차, 휴가등 또한 비교적 자유롭고, 출근시간이 10시로 여유롭습니다.
","
인원에 비해 동시에 진행되는 프로젝트가 많을 때가 다수 있어서, 바쁠 때는 주말에도 가끔 출근을 해야합니다.
","
함께 프로젝트를 경험한 이들, 능력있는 분들은 붙잡지 못하고 놓치기만 하는게 아쉽습니다. 이를 위해서라도 업무능력에 걸맞는 복지와 보상체계가 하루 삘리 생겨나길 바랍니다.
"
미디어/홍보,전직원,서울,2023. 10,3.0,"""근무 시간동안 혼자 일하는 경우가 대부분이고 소통이 잘 되지 않습니다""","
스낵바가 있어서 배고플때 공짜로 먹을 수 있었던 부분과 생일 반차 및 연차 사용 눈치 안보고 사용할 수 있었습니다
","
팀원들과 소통 혹은 회의할 시간들이 부족하고 윗선에서 내려오는 지시들이 불합리한 경우가 있습니다. 또한 오랜시간 정착되지 못하는 일들과 사원들에게 과도한 업무량을 배분하고 눈에 보이지 않게 눈치를 주는 경우가 있습니다
","
회사가 업그레이드 하기 위해서는 사원들을 좀 더 생각해야합니다. 사원들은 일하는 기계가 아니라 회사를 함께 업그레이드 시켜 나가야하는 일원입니다. 그런 부분에서 그들이 원하는 부분이나 건의 사항들을 적극 수용해서 반영하고 그들의 입장에서 한번이라도 생각해줬으면 합니다.
"
마케팅/시장조사,전직원,서울,2023. 10,2.0,"""기타 스타트업과 다르지 않습니다 무엇인가 특별하지는 않습니다""","
스낵바 이용가능합니다 강남역과 가깝습니다 가끔식 공유오피스 이벤트 참여 가능합니다
","
재무구조 불안정 하지만 끊임없는 푸쉬 사업을 진행할때 거시적으로 하지않고 단기적으로 생각 당연한 야근속보이는 충고
","
계속 하시던 대로 잘해 주시기 바랍니다 추가적인 투자가 필요해 보입니다
"
미디어/홍보,전직원,서울,2023. 10,4.0,"""좋은 위치, 깔끔한 공유 오피스, 업무 장비 지원 원활""","
경영지원팀이 피드백이 빨랐고 일을 잘했던 것으로 기억. 사내 소소한 이벤트들이 많았음. 간식창고도 귀엽고 재밌었음. 공유오피스 자체적으로 진행하는 이벤트들도 꽤 재미였음
","
야근을 당연시 여기는 문화. 인센티브 체계의 불명확성. 식대 미지급
","
직원들의 불만을 듣지만 말고 좀 적극적으로 수용하면 어떨지
"
