직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
생산/제조,전직원,경기,2023. 08,5.0,"""회사자체는 안정적이고일이 많은회사돈은 제때 잘준다.""","
연차자유로움월급제때나옴밥 잘줌 그래서 돈 들일없음 기숙사도 있다고함
","
위치가 안좋음일이 너무많아 바쁨많이 혼나는거 있다그래도 너는 잘 오다.
","
지금도 좋아요앞으로도 잘 운영해주세요항상 너는 잘 오다.
"
생산관리/품질관리,전직원,경기,2023. 03,2.0,"""너무 야근이 많고 기업문화가 수직관계에서 일해야함  업무체계도 많이 부실함""","
삼성에서 지원받으며 대부분 국내보다는 외국의 수출이 많음 그리고 국내에서도 굴지의 업체로부터 새로운 오더를 받아 제조하여 납품을 진행하고 있는 회사
","
업무가 너무 많고 체계도 부족하며 인원도 자주 퇴사를 하여 업무인수인계에 대한 부족으로 이후 입사한 사람들이 힘들어하는 사항임
","
좀 더 체계적인 시스템과 부족한 인프라를 대체할 구성 및 복지등에도 좀 더 힘쓰셨으면 좋겠습니다
"
영업/제휴,전직원,경기,2022. 06,3.0,"""본부별 특이한사람이 있다. 탑다운방식의 회사.사내는깨끗....""","
기본업무만 잘하면직급상관없이 일편하게할수있는듯...사옥깨끗
","
본부별 빌런들...임원제외하고 직원내에 빌런들이 곳곳에있다...
","
합리적인복지제안해줬으면 좋겠다.....바래도 안들어준다
"
생산관리/품질관리,전직원,경기,2022. 04,4.0,"""중소기업이라 장점 단점 공존함.욕심을 너무 부려도, 너무 방관해도 안되는 회사""","
연차를 눈치 안보고 가능, 3식 제공, 유상교육 도 거의 강제로 가능보통의 중소기업 임
","
공단 에 위치해있어 대중교통이 불편하다. 마찬가지로 중소기업의 단점들이 공존 하는 회사어디가나 다 비슷 한거 같음......
","
직원불만의 해결책을 고민하였으면 좋겠다임원들 능력이 객관적으로 떨어져 보임..더 발전될수도 있는데 말이예요
"
생산/제조,전직원,경기,2022. 02,4.0,"""밥 3끼 다나오고 월급 잘나오고 추천해요 !""","
밥 걱정없으며 월급 밀려 나오는 걱정 없고 유니폼 줍니다통근버스도 있어요
","
인원대비 화장실이 작아요그리고 밥시간에 사람이 많아서 줄서서 먹어야해요지역이 외진곳이에요
","
앞으로도회사 발전을위해 열심히 노력해주세요
"
생산/제조,전직원,경기,2022. 02,3.0,"""일하는만큼 급여를 지급하는 임금으로 인해 피해는 안주는 곳""","
잔업수당을 원한다면 가는곳 잔업은 많이 할 수 있는 곳
","
항상 서서 일하고 생각보다 일이 어렵진 않지만 그저 그런곳
","
복지는 잘 모르겠지만 좋지도 나쁘지도 않은 그런 곳이라 생각
"
생산/제조,전직원,경기,2021. 12,1.0,"""책임 떠넘기기... 내탓아닌이유 찾고 남탓인이유찾는게 일과""","
회사를 망치는 사람이 있지만 아부하고 거짓말하면 안짤린다.
","
주요업무는 잘못된점을 남탓할만한게 있는지 찾아보고 내탓이 아니라고 할만한게 있는지 찾는것.남탓할게 있으면 맞든 아니든 일안하고있다가 남탓하면서 그것때문에 일 못했다고 한다.
","
일하는 사람은 힘들고 욕먹고 일 안하는 사람은 편안하고 욕먹고어짜피 욕먹으니깐 일안하고 욕 덜먹을 방법만 찾는다.그 이유가 무엇이고 본부장부터 직원까지 왜 그렇게 행동하는지 아시길 바랍니다.
"
생산관리/품질관리,전직원,경기,2021. 11,2.0,"""열심히 하면 인정 받을수 있을줄 알았습니다근데 가족 지인 인맥아니면 인정받기가 삼성가기만큼 어려워요다른 사람에게도 열심히 하고 있는사람에게도 기회를 주세요""","
삼시세끼 제공기숙사 제공통근버스 제공연구직이라면 대우 받고 보상받을수 있어요
","
아침마다 하는 스탠딩 회의가 너무 길어요시도때도 없이 잦은 회의... 그리고 회의를 했으면 결론이 좀 나왔으면해요답도 없고 의견도 없으니 계속 이어지는 회의 너무 문제에요
","
고객이라도 불합리한것은 좀 물으면 업무했어면 합니다따지지는 못하더라도 그저 네네 대답만이 해답은 아니잖아요
"
생산/제조,전직원,경기,2021. 11,1.0,"""좋지도 나쁘지도 않고 특장점이 없는 회사.""","
부서별로 차이점이 큰것 같다.빨리 끝나는 부서 늦게 끝나는 부서.
","
경영진이 무대뽀다.워라벨은 포기해야 다닐수 있어요....
","
사람 취급을 해주셨으면 좋겠습니다.닥달하지 마세요.
"
생산관리/품질관리,전직원,경기,2021. 08,3.0,"""근무시간이 많아 돈은 되지만..... 육체적으로 힘들다""","
삼시세끼 주는 식당..... 통근버스 운영.... 기숙사 운영..........
","
매일매일 잔업....특근.... 욱체적으로 정신적으로 힘들다 ... 돈만 주면 괜찮다 버틸 수 있으면 추천
","
합리적인 보상체계와 복지제도를 갖춰줬으면 좋겠다
"
