직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
연구개발,전직원,경기,2023. 10,2.0,"""야근 야근 야근 야근 그냥 일만 하다 늙고 싶은 사람은 추천드림""","
스태킹 설비 기술이 뛰어나 매출이 급증함.. sk on 상대로 영업
","
워라벨 밸런스가 무너짐…입사자 보다 퇴사자가 점점 더 많아짐
","
회사가 성장을 하고 싶다면 젊은 사람을 잡아야 합니다. 그러기 위해선 어떻게 해야할지 고민 하시길
"
엔지니어링,전직원,경기,2023. 10,1.0,"""2차 전지 스태킹 업체로 계속 성장 중인 회사""","
2차 전지 관련 업체로 3년치 계약물량을 이미 수주하여 현재 급성장중
","
워라밸 없음. 주52시간이라는 법은 어디다 팔았는지 모르겠지만 평일+ 주말 + 추석에도 나옴. 워라밸 필요없고 돈만 많이 벌고 싶다면 입사 추천근데 어처피 일한만큼 돈 받는거
","
어차피 바라는점 말해도 신경 안쓰는 경영철학 계속 이어가주세요.
"
생산/제조,전직원,경기,2023. 10,1.0,"""돈은 많이 받을 수 있는데 쉴수가 없네요 거의 야근에 거의 주말출근을 하게 됩니다""","
연차는 자유롭게 쓰지만 연차일때만 쉽니다 그러고 카페도 있어요
","
연봉은 많을수도 있겠지만 9시까지 포괄임금이라 9시까지만 일할때가 허다함
","
제발 일정을 촉박하게 짜지말고 촉박하면 사람이라도 더 뽑던가 했으면 좋겟음
"
생산/제조,현직원,경기,2023. 08,1.0,"""1. 이차전지 후발 주자인 SK온의 대표적인 수혜 업체로 빠르게 성장중이나 속빈 강정이다2. SK온이 신규 투자를 멈추는 순간 어떻게 될지 모르는 회사다""","
1. 월급을 제때 준다2. 연차, 반차 등을 쓸수 있다(부바부로 사용하기 어려울수도 있다)3. 연간 복지 포인트를 준다(복지몰 사용 가능)4. 여름 휴가가 있다(연차외 3일 사용)5. 점심, 저녁을 준다6. 출장시 출장비를 지급한다 7. 주말/공휴일 특근시 특근비를 지급한다굳이 장점을 찾자면 이정도이며, 다른 회사와 크게 다르지는 않다
","
1. 인맥으로 입사한 사람이 많다(다리 하나 건너면 아는사람, 뒷담화등 말조심 필요)2. 고인물이 많으며 능력 없이 한자리씩 차지하고 있는 사람들이 있다3. 회사가 규모가 커지며 성장하는 것과 반대로 사내문화 및 사람들 마인드등은 마찌꼬바 수준에 머물러 있다4. 사장님이 “평등평등” 말은 하는데 실제로는 차별이 존재한다5. SK온의 신규 공장 증설로 매출이 매년 증가하고 있으나, 직원들에게 돌아오는 것은 매우 적은 편이다6. 사장님 본인 욕심에 땅사고 공장 짓는게 너무 많다(어차피 직원들에게는 아무 쓸모 없는 일이다)7. 성과급 받고 퇴사하는 사람이 배아픈 것인지, 전년도 성과급을 연봉에 녹여서 준다(중도 퇴사시 잔여 성과급 받을수 없음)8. 인건비, 경비 절감으로 이익을 내려고 한다(출장인원 축소 또는 안보내기, 출장시 아파트 월세 또는 게스트하우스등을 여러명이 사용, SK 담당자가 인원 관련 얘기를 해도 충원을 안해준다)9. 설비가 정말정말 잘되는줄 안다(실제로는 셋업이나 양산시 문제가 많다)10. 설비 출하만 하고나면 본사에서는 나몰라라 한다(문제 발생시 출장자와 현지 사람들만 개고생 한다)11. 포괄 연봉제로 평일 21시까지의 잔업비가 고정으로 나온다. 그래서 다수의 시람들은 늦게까지 일을 해야할 경우 21시까지는 설렁설렁 하고. 21시 이후에 일을 하는 경우가 있다. 12. 11번의 연장 내용으로 늦게까지 업무를 하는걸 일을 잘한다고 생각하는 사람들이 매우 많다13. 부바부, 케바케로 주52시간은 개나준 경우가 있다(수면실과 샤워실이 있으며 사무실에 라꾸라꾸도 있다)14. 몇몇 부서는 상위 직급을 차지한 고인물 제외하고 밑에는 물갈이가 자주 된다15. 회사가 문제인걸 개인 문제라고 가스라이팅 하는 경우도 있다
","
어차피 말해봐야 바뀌지 않을거 알기에 바라는거 없어요퇴사율이 높은 이유를 잘 생각해 보시길
"
생산/제조,전직원,경기,2023. 07,2.0,"""일이 들쭉날쭉하고 부서마다 일의 강도가 다름니다""","
연차 쓰는건 자유롭게 쓰고 일 배우기는 좋습니다 그리고 회사앞에 편의점 식당이 많아서 그건 편합니다
","
부서마다 다르겠지만 정말 멀티플레이어가 되야됩니다 그리고 군대식문화가 심합니다
","
딱히 앞으로 얼마나 성장할지 모르겠지만 현상유지만 해도 다행일듯 합니다
"
서비스/고객지원,전직원,경기,2023. 07,5.0,"""성장가능성이높고 복지가 좋다 하지만 중소기업이다경영진들의 마인드가 젊다""","
신입사원에게 많은 기회를 주고 해외출장의 기회가 많다 보너스가 많다
","
교통이 불편하고 월급이짜다 야근이 많다 몸이 힘들다 특근이 많다
","
밥이 맛이 없다는 이야기가 많을 정도다 진짜다 밥맛이없다 밥좀 맛있게 할 수 없을까?
"
엔지니어링,전직원,경기,2023. 07,3.0,"""워라밸을 기대한다면 가지말고 한적한 시골길 길 끝에 자리 잡은 회사다""","
장점 중식 석식 제공, 식대가 비싸다, 밥이 맛있고 잘나온다 (입맛차이가 있다) 사내에 카페있다 셔틀 운행한다 주차 걱정없다 주차장이 넓은건 아닌데 어떻게든 해결한다 야근하면 야근비 준다 포괄이지만 그래도 줌
","
임원이나 사장이 반말 욕설은 기본으로 폭력적이다 나가려면 언제든지 나가라는 식으로 말함 직원들 출장은 갑작스럽게 잡히는경우가 대부분이고 보통 얼마 못가서 다 퇴사하지만 또 뽑으면 된다는 마인드
","
상호존대는 바라지도 않아요 욕설 폭언은 삼가주세요 부동산도 좋지만 설비에 신경써주세요
"
기획/경영,전직원,경기,2023. 07,1.0,"""sk 2차전지 1차 밴더로 아이템 자체는 나쁘지 않음""","
상사 눈치를 보지 않고 연차를 자유롭게 사용 할 수 있고, 직원들이 젊다.
","
자유로운 연차사용 외 별로 없는 거 같다.회사가 외진 곳에 있어서 차가 없으면 사실상 출퇴근이 너무 힘들고, 일의 체계가 없다.
","
직원들을 부려먹을 생각만 하고 보상해 줄 생각은 거의 없어 보이므로 바라는 점도 딱히 없다.
"
전문직,전직원,경기,2023. 05,1.0,"""지인소개시 형식적인 면접후 입사 가능 한 곳사내 정치가 활발한 회사""","
복지가 좋음.눈치 안 보고 자유로운 연차 사용신규 공장으로 회사가 깨끗함
","
정치와 차별이 심한곳. 백그라운드 여부에 따라 힘든 회사생활.
","
기준이 있어도 상황에 따라 적용중간 관리자의 주인의식이 없는 업무처리
"
생산/제조,현직원,경기,2023. 04,2.0,"""제조에 특화되어 있는 기업. 현장직만 아니라면 적당히 다닐만함.""","
지금까지의 누적 매출이 많이 잡혀 있어 계획되어 있는 기간 동안에는 일거리 걱정은 없다.사소하지만 복지 등 다방면으로 직원들이 필요하고 요구하는 사항들에 대해 신경 쓰고 대처하고 있다.
","
누적 매출이 많이 잡혀 있는 것과는 반대로 미래 매출이 명확하지 않다라는 것을 고객사의 투자 계획이 없음을 뉴스를 통해 알 수 있다. 고객사는 한 곳.사소하지만 복지 등 다방면으로 직원들에 대해 신경 써 주고 있다라는 것은 직원에 대한 회사의 부담이 커진다는 얘기인데 반대의 현상이 벌어지고 있다.
","
이 회사에 다니고 있다는데 큰 자부심을 느끼고 있습니다. 길지 않은 시간이지만 대표님의 통찰력과 결단력으로 회사가 지금까지 성장해 온 것에 대해 커다란 존경심을 느끼고 있습니다.다만, 회사의 방향성과 결단에 대한 결정을 내리고 선택하여 이 회사를 키운 대표님을 직원들이 높게 인정하듯이 수년을 회사와 동료를 위해 같이 헌신한 팀장, NGL 미만의 직원들에게도 회사 이익에 대한 분배를 함께 하였으면 합니다.감사합니다.
"
