회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
컨트롤웍스(주),정규직,"['기술영업', 'B2B영업', '메카트로닉스', '국방', 'IT영업', '모빌리티']","미래모빌리티를 위해 혁신적인 기술솔루션을 제공하는 컨트롤웍스!

전통자동차 산업에 테슬라가 던지는 강력한 충격파로 미래모빌리티 시대로 급변.
변화하지 않는 회사는 새로운 기회를 찾기 어려운데 속도가 가장 핵심 경쟁력.

신차개발기간 단축에 맞추어 짧은 시간에 소프트웨어를 개발/검증하는 것이 컨트롤웍스의 HILSmart!
현대기아자동차그룹, 한국부품업체에서 전기자동차 분야에서 독점적 우위로 최근 수주 급상승중.

신속한 기술솔루션으로 변화를 주도하는 컨트롤웍스와 미래모빌리티 시대로 함께!", 미래 모빌리티 개발 검증 솔루션의 기술영업 HW in the Loop 시뮬레이터 Battery Cell Simulator 친환경 모빌리티 제어기의 가상 검증 솔루션 자율원격 차량 제어 솔루션 센서인지 SW 가상 시뮬레이션,"[제출서류]
• 이력서, 자기소개서, 최종학력 성적증명서(90일 이내 발급분), 포트폴리오(선택) / 지원서 내 희망연봉 기재 필수","- 유연근무제(출근시간 7-10시)
- 연말 실적에 따른 인센티브 지급
- 생일자 축하금 지급
- 정규직 전환시 축하금 지급
- 콘도미니엄 회원(대명리조트, 한화리조트, 마리나베이속초호텔)
- 건강검진 지원(2년 주기, 40세이상 매년)
- 장기근속자 포상(휴가, 포상금)
- 사내 추천하여 채용시 포상금 지급
- 직원 상해 보험 가입
- 직무향상을 위한 교육비 전액 지원
- 퇴직연금 운영
- 특허 출원시, 등록시 포상금 지급
- 외부주차장 사용시 월정기권의 50% 지원
- 전동킥보드 월정기권 전액 지원
- 운전면허증 취득시 학원비의 50% 지원","서울 강남구 언주로81길 13, 5층 (역삼동,진일빌딩)", 4년대 이상 졸업 운전 가능한 자 해외여행에 결격 사유가 없는 자 문서 작성 기술 상 친환경 및 스마트모빌리티에 대한 관심 고객과의 원활한 의사소통 능력 HW in the Loop 시스템 영업 경험 B2B자동차 분야 영업 경험 국방 분야 영업 경험 기관 영업 경험 메카트로닉스 전기전자 또는 자동차 관련 전공 OPIc 스피킹 IH 이상또는 동급,152
(주)알엠소프트,정규직,"['기획', '관리', '영업지원', '영업기획', '영업', '영업관리', '신규사업기획', '매출관리', '기술영업', '입찰']","알엠소프트는 그 동안 집중해왔던 공공기관 비전자기록물 데이터베이스 구축을 토대로 새로운 분야의 사업을 추진하여 영역을 확장하고 있습니다.
자유롭고 수평적인 소통을 통해 구성원들의 창의성과 도전의식을 존중하며 신입사원도 다양한 기회를 제공함으로써 자율과 책임의 조직문화를 가지고 있습니다
",부서 전반 운영과 관리 보조국내 입찰서류 작성 및 제안서 작성 보조업무현황 관리신규사업 발굴 및 조사,"ㆍ서류전형 > 1차 면접(실무진) > 2차 면접(PT) > 최종합격
ㆍ서류합격자의 경우에 한에서 연락드립니다
","자격증수당
도서구입비
학교교육비
팀빌딩비
유연근무제
","서울특별시 서초구 서초중앙로 63-6, 8층(서초동,RM서초빌딩)",학사 이상관련 경력 1년 이상  5년 이하해외출장에 결격 사유가 없으신 분일처리가 꼼꼼하신 분 영업관리 경력을 보유하신 분 새로운 것을 배우고 도전에 두려움이 없으신 분 ,153
(주)알엠소프트,정규직,"['기획', '영업기획', '영업', '사업관리', '영업관리', '기술영업', '고객사관리', '솔루션영업', '클라우드시스템']","회사소개
알엠소프트는 그 동안 집중해왔던 공공기관 비전자기록물 데이터베이스 구축을 토대로 새로운 분야의 사업을 추진하여 영역을 확장하고 있습니다. 자유롭고 수평적인 소통을 통해 구성원들의 창의성과 도전의식을 존중하며 신입사원도 다양한 기회를 제공함으로써 자율과 책임의 조직문화를 가지고 있습니다

업무소개
현재 NHN Cloud, MEGAZONE CLOUD와 파트너십을 맺고 클라우드 전환 사업을 준비하고 있습니다. 2023년 하반기에 행정공공기관 및 기업의 IT인프라를 클라우드 환경으로 마이그레이션을 시작으로 해당 환경에 따른 구축을 제안합니다. 알엠소프트와 신기술분야 제안에 함께할 인재를 모집합니다.
",클라우드 사업 등 IT 인프라 기술영업CSP MSP 고객사 및 공공기관 사업담당자 영업관리 기타 영업 관련 업무 전반,"ㆍ서류전형 -> 1차면접 -> 2차면접(전결) -> 최종합격
ㆍ서류합격자의 한에서 면접 전형 연락드립니다.","자격증수당
도서구입비
학교교육비
팀빌딩비
유연근무제","서울특별시 서초구 서초중앙로 63-6, 8층(서초동,RM서초빌딩)",학력  무관경력  3년 이상 클라우드 개발 경험자 우대B2G사업 이해가 있으신 분클라우드 전환 사업 경험자관련 자격증 소지자,154
위시켓(주),정규직,"['마케팅', '영업', '컨설팅', '기술영업', '국내영업', 'B2B영업', '솔루션영업']","""세상이 일하는 방식을 더 행복하게 변화시키자.""
""우리는 IT 아웃소싱 시장의 거래 방식을 혁신하고 있습니다.""

IT 기술의 발달로 일하는 방식이 변화하고 있습니다.
우리가 맞이할 미래의 일하는 방식은 과거와 같지 않을 것입니다.

더 빠르고, 더 편리하고, 더 정확한 방법으로
소프트웨어를 거래할 수 있는 플랫폼을 만들고 있습니다.

위시켓은 플랫폼의 성장을 인정받아 누적 102억원 투자를 유치하였고, 스타트업 유니콘부터 대형기업, 중소기업, 공공기관, 예비창업자까지 다양한 규모의 기업이 위시켓을 통해 IT 프로젝트를 진행하고 있습니다.

위시켓은 계속해서 변화하는 사회와 시장의 문제를 앞장서서 해결하며 세상이 일하는 방식을 더 행복하게 변화 시키고자 합니다.


▶위시켓은 이렇게 일해요. 
▣ 위시켓은 [유저중심]으로 일을 하고 있습니다.
어떤 포지션의 일을 하던 상관없이, 모든 팀원들은 유저들과의 직/간접적 접점을 가지고 있습니다. 
유저들이 정말 원하는 것, 필요로 하는 것들을 만들기 위해 유저들의 생각이나 상황을 섣불리 추측하지 않습니다. 
경쟁사보다는 유저들의 실망을 두려워합니다.

▣ 위시켓은 [성장]을 위해 다양한 방면으로 끊임없이 노력합니다.
팀원 개개인의 현재 속도보다는 성장의 가속도를 중요하게 생각합니다.

▣ 위시켓은 [Why]를 중요하게 생각합니다.
본질에 집중하기 위해 항상 ""왜?""를 질문하고 답을 찾습니다.

▣ 위시켓은 [T자형 인재]를 지향합니다.
협업을 어려워하거나, 깊이가 부족한 주변 사람이 되는 것을 경계합니다. 능력 있는 개인이 해결할 수 있는 문제보다, 능력 있는 팀으로서 해결할 수 있는 문제가 더 크다고 생각합니다.
개인이 가지고 있는 버티컬한 능력만큼 협업을 중요하게 생각합니다.

▣ 위시켓은 [효과와 효율]을 중요하게 생각합니다.
효과가 있어야 효율이 의미가 있다고 믿습니다.
그래서 효과가 검증되기 전까지 수작업을 하기도 합니다.",   마케팅 및 기타 인바운드로 접수된 잠재고객 리드를 관리합니다   고객의 여정 단계에 맞게 위시켓 솔루션을 소개하거나 제안합니다   영업기회opportunity가 성공적으로 성사closing될 수 있게 타팀과 협업합니다,"서류전형 > 1차 인터뷰(실무진) > 2차 인터뷰(경영진) > 최종합격
-  이력서 및 자기소개서 자유 양식 형태로 작성하여, 채용 공고가 제공되는 플랫폼에서 지원해주세요.
-  서류 검토는 평균 1~3일 소요되며, 최대한 빠르고 꼼꼼하게 검토하여 안내 드립니다.
-  1차 실무진 인터뷰는 제출해주신 서류 기반으로 직무와 관련된 역량과 경험을 나누는 자리입니다. (대면 30~1시간 소요)
-  2차 경영진 인터뷰는 상호 간의 목표 및 방향 공유하며 서로의 가치관과 생각을 나누는 자리입니다. (대면 30~1시간 소요)
-  최종 합격 하시면 입사 일정 등을 협의합니다.","▶업무 환경
- 위시켓은 역세권에 위치해 있어서 편하게 이동할 수 있습니다. (서울 역삼역에서 도보 5분 거리) 
- ‘Django’라는 겁 많은 고양이와 ‘빠삐‘라는 발랄한 고양이가 사무실에서 함께 생활하고 있습니다.
- 사무실에 항상 음악이 켜져 있어 캐주얼한 분위기로 업무를 할 수 있습니다.
- 효율적으로 업무하기 위해 슬랙, flex, Trello, 그리팅, 컨플루언스(Confluence), 구글 이메일/캘린더/드라이브, Dropbox 등 다양한 툴을 사용하고 있습니다.

▶혜택 및 복지
위시켓은 세상의 일하는 방식뿐만 아니라, 임직원들이 행복하게 일할 수 있는 기업 문화와 업무 환경을 만드는 데에도 노력을 기울이고 있습니다. 
 - 6.5 hour : 하루에 6.5시간 근무 합니다. (10시부터 18시까지 근무)
 - Lunch time : 점심시간은 1시간 30분입니다. 여유롭게 식사하고, 개인시간을 가질 수 있습니다.
 - Meal : 팀원들의 밥값 부담을 해소하기 위해 점심/저녁 식사를 제공합니다.
 - Present : 생일을 맞이하는 팀원에게는 생일선물을, 설과 추석에는 명절 선물을 드립니다.
 - health care : 팀원들의 건강을 위해 종합 건강 검진을 지원해 드립니다.
 - Landing Program : 새로 합류한 팀원을 위한 랜딩제도와 버디제도를 운영하고 있습니다.
 - 무제한 간식 제공 : 다양한 간식과 카페보다 맛있는 커피를 무제한으로 드실 수 있습니다.
 - 성장을 위한 지원 : 개인 성장을 위한 도서, 교육, 세미나를 지원해 드립니다.
 - 생일 조기 퇴근 : 행복한 시간을 보낼 수 있도록 2시간 조기퇴근제도를 운영하고 있습니다.
 - 동호회 지원 : 팀원들과 더욱 친해지길 바라는 마음으로 사내 동호회 운영비를 지원해 드립니다.
 - 친목활동비 : 한 달에 한 번 유닛끼리 문화생활 등을 할 수 있도록 운영비를 지원해 드립니다.
 - 독서모임 : 같은 책을 읽고 자유롭게 생각을 공유하는 모임이 있습니다. (참여 시 상품권 지급)
 - Cheerup : 사소한 일이라도 서로 칭찬하고 응원하는 문화가 있습니다. (칭찬상품권 지급)",서울시 강남구 테헤란로 211 한국고등교육재단빌딩 3층,  고객 중심의 서비스 마인드를 갖추신 분  고객 팀원과의 커뮤니케이션 능력이 우수하신 분  주도적으로 업무를 진행하고 발전시킬 수 있으신 분  꼼꼼하고 책임감이 강하신 분  지속적 학습을 통해 팀과 함께 성장할 수 있는 분 이런 분이면 더 좋아요우대사항  SaaS 혹은 솔루션에 대한 세일즈 경험이 있으신 분  플랫폼 비즈니스 혹은 다른 산업에서 B2B 세일즈 경험이 있으신 분  컨설팅 기술영업 관련 경험이 있으신 분,155
(주)위드포인츠,정규직,"['기획', '영업기획', '영업', '영업관리', '기술영업', 'B2B영업']","""3차원 정밀 측정/분석"" 분야와 ""환경인식을 통한 자율운항"" 분야의 최고 기술을 바탕으로
선박의 제조 혁신과 선박의 자율운항 혁신을 이루려는 기업. WithPoints(위드포인츠) 입니다.

Innovate without Limits, Innovate with Points.", 개발 상담 요구사양 분석 및 서비스 견적 산정 신규 제품 솔루션 서비스 기획 고객사 관리 신규 고객사 발굴 등의 영업 전반,서류전형-> 1차면접-> 2차면접(필요시)->입사일 및 처우협의->최종합격,"기본복지: 4대보험, 퇴직연금, 명절선물,경조사 지원, 휴게공간, 고급사양pc&듀얼모니터

자율출퇴근제: 주40시간

워라밸보장: 자유로운 연차사용, 야근강요 없음

정기/포상휴가: 연차외 정기휴가 부여, 휴가비지원, 장기근속자 포상휴가

건강검진 지원: 배우자 포함

팀 운영비 지원: 팀 회식 및 운영비
 ","세종 한누리대로 1966, 605호", 대졸학사 이상 공학 관련 직무 경력 3년 이상 운전 가능자 전기전자컴퓨터 기계자동차조선 분야 직무 경험자 기술영업기획 직무 경험자,156
(주)소프트스퀘어드,정규직,"['영업기획', '영업', '엑셀', '영업관리', '기술영업', 'B2B영업', 'PPT', '솔루션영업']","Being myself
IT's NEO ORDINARY

18세기 제 1차 산업 혁명 이후 패션, 음식, 주거양식 등 인간과 관계된 모든 것들이 변했습니다. 한 가지 바뀌지 않은 것은 일 하는 환경입니다.

왜 100년 컴퓨터 시대에 IT 작업자들의 일하는 방식은 달라지지 않았을까요?


우리는 세대가 거듭하며서도 바뀌지 않은 일하는 방식 자체에 의문을 갖는 조직입니다.

🚩 Misssion
전 세계의 IT청년들에게 자신감과 성장의 기회를 제공함으로 그들이 주체적인 삶을 살 수 있는 세상을 만든다

📌 Vision
전 세계의 개발자들이 자유롭게 일 할 수 있는 WaaS (Workforce as a Service) 클라우드 구축하기

⚡ Objective
2024년, 연 매출 220억
소형 SW프로젝트 개발 시장 점유율 1위
리모트 작업팀 관리 자동화 75% 달성", 어떤 일을 하게 되나요 영업 프로세스를 효율효과적으로 운영해요 영업 프로세스 개선 및 보안 신규 거래처 발굴 및 기존 거래처 커뮤니케이션 파트너사들과 협업 및 전략적 제휴로 잠재고객 DB 확보 인바운드아웃바운드 업무 및 관리,"🗺️ 채용 프로세스
ㆍ 1차 (서류 심사) > 2차 (담당자 면접) > 3차 (임원 면접) > 결과 발표 과정으로 진행됩니다.
   ㆍ (상황에 따라 프로세스가 유동적일 수 있습니다.)
ㆍ 3개월 이후 정규 전환을 논의합니다.
ㆍ 각 전형에 합격/불합격시 개별 연락을 드립니다.","▸ 자유로운 복지

• 근무환경 : 온/오프라인의 자유로운 근무 환경
• 근로시간 : 간주근로제 / 자유출근제 (3개월 온보딩, 수습 기간동안 주 3회 필수)
• 휴가 정책 : 무제한 휴가 정책
• 사내문화 : 닉네임제를 사용하여 수평적인 문화
• 사내 교육 프로그램 지원 및 할인 혜택 : 라이징캠프 교육 50% 할인
• 자기개발 지원 : 자기개발 강의 지식 나눔시 최대 50,000원 환급
• 내일채움공제 지원 : 내일채움공제 대상자 진행 가능
• 중소기업청년대출 지원 : 중소기업청년 대상자 진행 가능
• 근속 복지 혜택 : 1주년 축하 키트 제공
• 간식 맞춤형으로 무한제공 : 스낵24 배송
• 각종 이벤트 지원 및 행사 진행 : 명절, 할로윈, 크리스마스 등 이벤트 진행 및 선물 지급
• 생일선물 지원 : 생일 24를 통해 본인이 원하는 선물 배송
• 종합검진지원 : 매년 1회 종합건강검진 지원
• 전사/부서 플레이샵 지원 : 분기별 1회 지원
• 온보딩/입,퇴사키트 지원 : 입사 기념 온보딩 지급, 퇴사 기념 앨범 및 선물 증정
• 사무실 근무 시간만큼 시프티 포인트 축적, 주 40시간 사무실 근무 시 아래 항목 연 100만원 한도 내 포인트 자유 사용 가능
• 팀 회식비 지원
• 팀 여행비용 지원
• 팀 생일선물구매 비용지원
• 부모님 선물구매 비용지원 (분기 1번 제한)
• 경조사비 지원",서울특별시 마포구 공덕동 242-75 4층 소프트스퀘어드, Sales Manager 는 누구인가요그릿지 SW 개발 프로젝트의 요구사항 정의 기획 디자인 개발에 이르기까지 SW개발에 전반적인 서비스를 제공하고 고객사의 상황에 맞는 프로젝트 팀을 만들어 제공하는 서비스입니다 그 중 영업은 고객 중심 사고를 시작으로 그릿지의 최전방의 역할입니다 Sales Manager는 SW 개발 프로젝트 제작 과정에 어려움을 느끼고 있는 MVP 고객 뿐 아니라 B2B 영업 채널을 통한 확장에 집중하고 있습니다 활발한 커뮤니케이션을 통해 고객부터 협력 업체 내부 조직 까지 다양한 이해관계자들 간의 업무를 조율하여 그릿지의 빠른 성장을 주도하고 있습니다이런 성향을 지닌 분은 소프트스퀘어드와 잘 맞아요 어떤 일을 한 번 시작하면 끝을 보기 전에 결코 일을 놓지 않는 끈기와 오기가 있으신 분 수평적인 조직 문화 속에서 새로운 아이디어에 개방적이며 건설적인 피드백을 주고 받는 것이 편하신 분 다양한 이해관계자와 소통할 수 있는 커뮤니케이션 스킬을 가지신 분 주도적으로 새로운 일을 만들어낼 수 있는 분 강력한 주인의식을 토대로 회사의 자원을 최대로 활용하여 폭발적으로 성장하고 싶으신 분,157
씨에스쉐어링(주),정규직,"['기획', '영업지원', '영업기획', '영업', '영업관리', '매출관리', '국내영업', 'B2B영업', '실적관리', '솔루션영업']","CS분야 유니콘 기업을 향한 CS쉐어링의 성장 스토리에 합류하세요!

CS 쉐어링은 'CS도 빌려쓰는 시대'라는 슬로건으로 CS업계의 패러다임을 뒤집은 국내 유일 공유경제모델 CS서비스입니다. 고객 관리를 필요로 하는 세계 모든 고객사에게 CS 쉐어링 서비스를 제공한다는 미션 달성을 목표로, 2018년 창립 이래 매년 200% 이상의 매출액, 고용인원, 고객사 성장을 이루고 있습니다. 

CS 쉐어링의 단기간 확장 비결은 직원들과 함께 성장하는 '압축성장' 프로그램입니다. 신입 매니저는 기초부터 탄탄히 쌓고, 경력자는 그 분야의 전문가가될 수 있도록 잘 짜인 커리큘럼을 통해, 사원에서 경영자까지 승진할 수 있는 커리어패스를 제공합니다. 성장 및 역량강화를 통해, CS업무가 감정노동이라는 고정관념을 타파하고, 고객 문제를 해결하는 지식근로자로서의 CS 전문가를 양성합니다.

100개의 글로벌 센터, 1,000개의 중소기업 고객사, 10,000명 고용창출이라는 비전을 달성하기 위해, CS쉐어링에서 영업본부(차/부장)을 공개채용합니다.", 연간분기별월간 B2B 제휴 전략 기획 및 실행 B2B 제휴 영업 총괄   각종 협회 및 단체 제휴선 발굴   박람회 세미나 전시 등 행사 참여 디지털 마케팅을 통한 고객사 리드 발굴 매출 목표 및 실적 관리 ,서류 > 1차 면접 > 2차 면접 > 최종합격,"복지혜택
(1) 성과에 따른 확실한 보상! 압축성장 프로그램
  1) 장기 근속 포상: 로열티 프로그램 운영
  2) 직군별 성과 프로모션: 학자금, 헬스케어, 도서구입비 등 지원
  3) 월별/연도별 우수사원 표창 및 축하선물 증정
  4) 승급식 및 자기성장PT: 연공서열타파!  연2회 성과PT를 통한 승급
  5) 인센티브제도: 정기, 특별 인센티브 제도 실시 
  6) 사내 온보딩 교육 실시

(2) 업무에만 집중하세요! 쾌적한 근무환경
  1) 무제한 커피 머신이 갖춰진 '쉐어벅스' (사내 휴게공간)
  2) 힘들 때 잠깐 쉬어가는 면담 프로그램 '사내 비스킷'
  3) 2023년 오픈, 마곡, 홍대 신사옥 (역 출구에서 도보 1~3분)
  4) 팀별 간식비 제공 
  5) 명절선물 및 경조사 혜택 지원","서울 강서구 마곡중앙1로 10, 517호,518호,519호,520호", 유사경험 10년  15년 차장부장 급 CS운영 Process 이해자 B2B B2C 영업 경력자 대기업 50석 이상 제안서 작성공공기관콜센터 입찰수주 경험자 OA 능력 상급자 해당직무 근무 경험자 고객센터콜센터 운영 관리 경험자센터장 고객센터 아웃소싱 경력자 AM 수주영업 경력자 우대 PT 능력 우수자,158
씨에스쉐어링(주),정규직,"['기획', '영업지원', '영업기획', '영업', '영업관리', '매출관리', '국내영업', 'B2B영업', '실적관리', '솔루션영업']","CS분야 유니콘 기업을 향한 CS쉐어링의 성장 스토리에 합류하세요!

CS 쉐어링은 'CS도 빌려쓰는 시대'라는 슬로건으로 CS업계의 패러다임을 뒤집은 국내 유일 공유경제모델 CS서비스입니다. 고객 관리를 필요로 하는 세계 모든 고객사에게 CS 쉐어링 서비스를 제공한다는 미션 달성을 목표로, 2018년 창립 이래 매년 200% 이상의 매출액, 고용인원, 고객사 성장을 이루고 있습니다. 

CS 쉐어링의 단기간 확장 비결은 직원들과 함께 성장하는 '압축성장' 프로그램입니다. 신입 매니저는 기초부터 탄탄히 쌓고, 경력자는 그 분야의 전문가가될 수 있도록 잘 짜인 커리큘럼을 통해, 사원에서 경영자까지 승진할 수 있는 커리어패스를 제공합니다. 성장 및 역량강화를 통해, CS업무가 감정노동이라는 고정관념을 타파하고, 고객 문제를 해결하는 지식근로자로서의 CS 전문가를 양성합니다.

100개의 글로벌 센터, 1,000개의 중소기업 고객사, 10,000명 고용창출이라는 비전을 달성하기 위해, CS쉐어링에서 영업본부(차/부장)을 공개채용합니다.", 온라인 쇼핑몰 이커머스  업종 고객센터 운영시 CS    외주 위탁운영 니즈가 있는 신규 고객사 발굴 및 관리 매출 목표 및 실적 관리 고객사 수주 영업 진행 사업계획 수립 영업 지원 기획운영,서류 > 1차 면접 > 2차 면접(PT) > 최종합격,"복지혜택
(1) 성과에 따른 확실한 보상! 압축성장 프로그램
  1) 장기 근속 포상: 로열티 프로그램 운영
  2) 직군별 성과 프로모션: 학자금, 헬스케어, 도서구입비 등 지원
  3) 월별/연도별 우수사원 표창 및 축하선물 증정
  4) 승급식 및 자기성장PT: 연공서열타파!  연2회 성과PT를 통한 승급
  5) 인센티브제도: 정기, 특별 인센티브 제도 실시 
  6) 사내 온보딩 교육 실시

(2) 업무에만 집중하세요! 쾌적한 근무환경
  1) 무제한 커피 머신이 갖춰진 '쉐어벅스' (사내 휴게공간)
  2) 힘들 때 잠깐 쉬어가는 면담 프로그램 '사내 비스킷'
  3) 2023년 오픈, 마곡, 홍대 신사옥 (역 출구에서 도보 1~3분)
  4) 팀별 간식비 제공 
  5) 명절선물 및 경조사 혜택 지원","서울 강서구 마곡중앙1로 10, 517호,518호,519호,520호", 유사경험 10년  15년 차장부장 급 CS운영 Process 이해자 B2B B2C 영업 경력자 대기업 50석 이상 제안서 작성공공기관콜센터 입찰수주 경험자 OA 능력 상급자 해당직무 근무 경험자 고객센터콜센터 운영 관리 경험자센터장 고객센터 아웃소싱 경력자 AM 수주영업 경력자 우대 PT 능력 우수자,159
(주)똑똑한개발자,정규직,"['영업기획', '영업', '엑셀', '영업관리', '기술영업']","좋은 사람들과 재미있게 일하고, 함께 성장하는 그런 팀에서 일할 수 없을까?
똑똑한개발자는 디지털 프로덕트 에이전시입니다. 
창의적인 아이디어로 UXUI, 브랜딩, Web/APP, MVP 개발 등 플랫폼 전반을 구축하고 브랜드 경험을 고도화하는 다각적인 서비스와 솔루션을 제공합니다. 


똑똑한개발자는 디저털 프로덕트의 똑똑한 경험을 함께 만들어 갑니다.
똑똑하다는 것은 문제를 제기하고 해결하는 기술을 의미합니다. 주체적인 태도와 열린 시각으로 끊임없이 성장하는 사람들입니다. 
우리는 이런한 ‘똑똑한 태도’를 바탕으로 생각을 더하고 연결하며, 가치있는 경험을 주는 프로덕트를 만들어갑니다 


- 국내 최대 규모의 React/Django 전문 개발사
- 50개 이상의 스타트업/대기업 서비스를 성공적으로 개발 및 출시
- 랜딩페이지/커뮤니티/O2O/커머스 등 다양한 Platform 서비스 개발 경험 제공
- 평균연령 20대 중/후반으로 구성되어 자유롭고 트렌디한 업무 분위기
- 코드리뷰, 세션, 회고를 통한 상호간의 성장 독려


Sales 팀은 다양한 분야에 클라이언트와 만나기 때문에, 한 곳에 국한되지 않는 경험을 쌓을 수 있습니다. 
Sales 팀 내부 뿐만 아니라, 운영팀, PM팀과도 소통하며 더 나은 프로덕트를 위해 소통하여 상호간의 성장에 도움을 줍니다. 
똑똑한개발자에서 가치있는 프로젝트의 시작과 성장을 위해 영업을 담당 해주실 Sales Manager를 찾습니다.", 앱웹사이트 개발 등 프로덕트 인바운드 및 아웃바운드 영업 프로덕트 관리 및 견적서 발송 클라이언트 응대 유선 및 대면 미팅 영업 전략 수립 및 수행,서류 - 실무자면접(기술 + 컬쳐핏) - 처우협의 - 입사,"• 망원역/합정역 도보 5분거리에 위치한 사무실
  (4층 규모의 오피스를 전부 사용해요)
• 유연한 출퇴근 제도(09시 ~ 18시 or 10시 ~ 19시)
• 자유롭게 사용 가능한 휴가/연차 제도
• 최신형 업무 장비 및 듀얼모니터 제공
• 스터디/유료강의 등을 포함한 실무자의 성장 지원
• 무한 과자, 음료 및 커피 제공 
• 생일자 2시간 조기퇴근
• 야근 시 식대지원
• 명절선물 지급
• 경조사 지원 (경조휴가)
• 이외 다양한 문화/복지(라운지공간/ 다양한 보드게임 등)",서울 마포구 동교로12안길 39, IT 분야에 대한 이해와 지식이 있으신 분 개발 프로세스 기술적인 용어에 대한 이해 원활한 커뮤니케이션 및 협업 능력이 있으신 분  적극적인 업무 수행 가능하신 분 책임감이 강하고 꼼꼼한 성격 보유 성장하길 원하는 분 스타트업 문화에 익숙하신 분 IT외주업체 또는 IT 관련 분야에서의 영업 경력 프리젠테이션 능력이 우수한 분,160
(주)스매치코퍼레이션,정규직,"['마케팅', '고객관리', '고객상담', '수주관리', '신규고객발굴']","[스매치코퍼레이션을 소개합니다.]

‘스매치코퍼레이션’은 차원이 다른 공간의 효율을 만들어가는 프롭테크 스타트업입니다.

AI 사무실 매칭 서비스 ‘스매치', 인테리어 솔루션 ‘스매치 디자인’, AI 빌딩 매입매각 컨설팅 서비스 ‘빌디’ 등 프롭테크 서비스의 새로운 지평을 열어가고 있습니다. 창업 2년차에 수주 금액 150억 원을 달성하고 서비스 이용사 5,000개를 돌파하였으며, 3년차인 올해 상반기에만 수주 금액 160억원을 달성하며 작년의 성과를 뛰어넘으며 로켓성장을 이어나가고 있습니다.

현재 80여 명의 유능한 동료들이 스매치 서초사옥에서 매일 새로운 지표를 그리고, 자유롭게 소통하며 자신의 잠재력을 펼치고 있습니다.

- 관련 기사 : https://www.joongang.co.kr/article/25189132

[서비스 소개]

- AI 사무실 매칭 서비스, 스매치
- 공유 오피스 견적 비교 플랫폼, 패스트매치
- 가장 효율적인 인테리어 솔루션, 스매치 디자인
- AI 빌딩 매입매각 컨설팅 서비스, 빌디
- 부동산 시장을 혁신할 새로운 B2B 프로덕트를 준비하고 있어요!", 인테리어 고객사 및 프로젝트 관리 신규 고객사 발굴 및 상담 프로젝트 수주 및 관리 인테리어 고객사 커뮤니케이션,"서류 전형 - 1차 인터뷰 - 2차 인터뷰 - 처우 협의 - 최종 합격
(채용 상황에 따라 전형이 축소, 확대될 수 있습니다)","• 유연한 업무 환경과 자율 복장으로 근무해요.
• 간식, 음료, 커피 무한 제공해요.
• '-님' 문화와 상호 존칭을 사용해요.
• 환영하는 마음을 담아 회사 생활에 필요한 다양한 물건을 담은 웰컴킷을 드려요.
• 시차출퇴근제를 통해 나의 생활리듬에 맞게 일해요.
• 모니터와 노트북을 기본으로 제공하여, 모두가 듀얼 모니터로 작업하고 있어요 .
• 생일 휴가는 기본! 배우자의 생일에도 반차를 제공하고, 자유로운 연차, 반차, 반반차 사용을 절대 보장해요.
• 구성원의 성장에  필요한 책/강의/외부 교육을 제공해요!
• 명절에는 명절 상여금 또는 선물을 드려요 
• 동료들과 빠르게 친해질 수 있도록 친목 프로그램을 운영하고 있어요.
• 곧 더 멋진 혜택과 복지가 쏟아질 거예요 !","서초구 서초동 1703-8, 스매치 서초사옥", 3년 이상의 유관 경력을 가진 분 인테리어 및 임대차 계약에 대한 이해도가 높으신 분 해외 여행에 결격사유가 없는 분 인테리어 시공 공무 등 업무 경험자 일반기업 내 백오피스 근무 경력자,161
