회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
누리미디어(주),정규직,"['서비스기획', '웹기획', '모바일기획', '데이터분석', '프로젝트 매니징', '경쟁사분석']","누리미디어는 #DBpia #학술논문수_1위 #서비스저널수_1위 #방문자수_압도적_1위

모두가 의심했지만 종이로 보던 역사 책과 논문을 디지털 매체로 옮겼고,
업계 최초로 저작권료를 지급하며 당당하게 논문 서비스 업계 1위를 이뤄냈습니다.
연간 1,430만 명이 방문하고 3,400만 건의 논문을 이용하는 국내 최대 학술 플랫폼 DBpia가 이제, '연구자들이 매일 들어오는 학술 플랫폼'으로의 도전을 시작합니다.
목표는 이루고야 마는 누리미디어에서 목표에 대한 책임을 가지고 끝까지 도전할 수 있는 열정 있는 동료를 기다립니다.
", 프로젝트 매니징 업무 자사 서비스웹모바일 신규 기획 및 개선 데이터 분석 경쟁사 분석 등을 통한 인사이트 발굴,"서류 전형 ▶ 1차 면접 ▶ 인성검사(온라인) ▶ 2차 면접(PT 포함) ▶ 처우 협의 ▶ 최종 합격

* 세부 절차는 일부 변경될 수 있으며, 일부 직무의 경우 레퍼런스 체크가 진행될 수 있습니다.

* 경력직 채용은 수시채용으로, 채용 완료 시 공고가 마감됩니다.
* 입사지원서 내용이 허위로 판명될 시, 입사가 취소될 수 있습니다.","# 회사 생활 임직원 숙소 운영 / 장기 근속 포상 제도(3년~) / 직원 단체 해외 연수 / 성과·감사 포상 제도 / 동호회 지원 / 중식대(월 20만원) 지원 / 스낵바·음료냉장고 지원

# 가족 친화 경조사 지원 / 사내 대출 제도(최대 1억원) / 휴양 시설 지원 / 자녀 학자금 지원 / 기념일 축하 제도 / 이사 비용 지원 / 명절 선물 지급

# 직원 건강 의료비 지원 / 건강검진비 지원(본인, 가족 1인) / 심리 치료 지원 / 독감 예방접종 지원

# 자기 개발 자기개발비 지원 / 직무 교육비 지원 / 도서 구입비 지원","서울특별시 마포구 양화로19길 22-16, 3~6층 (동교동)", 웹모바일 기획 경력 5년 이상 PM 경력 보유자 B2C 플랫폼 경험 포트폴리오 제출 필요 기여도 50 이상 석사 이상 학위를 보유하셨거나 학술 시장에 대한 이해가 높으신 분 서비스에 대한 Ownership을 보유하신 분 적극적이고 능동적인 성향을 보유하신 분 팀 협업 타 부서와 원활하고 유연한 커뮤니케이션이 가능하신 분 데이터 기반으로 문제 파악 등 지표 개선을 경험하신 분,222
영리빙코리아(유),계약직,"['전략기획', 'pl', '프로젝트매니저', 'it컨설팅', '기술기획']","자연의 살아있는 에너지-에센셜오일과 함께
대한민국의 풍요로운 삶을 전달할 영리빙 코리아의 가족을 모십니다

ㆍ회사 홈페이지 : https://www.youngliving.com/ko_KR
ㆍ회사 유튜브 : https://www.youtube.com/channel/UCeYOwjKqYQAutE1Jg9e49XA
ㆍ회사 인스타 : https://www.instagram.com/younglivingkorea/
",IT Vendor 및 사업계획 관리정보화 전략계획수립  시스템 TO_BE 구성안 수립IT타당성 검토 및 효과분석IT도입 및 운영관리  프로젝트 Management비즈니스 프로세스 분석 업무 수행ERP  BSI JDE legacy System 운영신규 ERP 프로젝트 관리infra  AWSAmazon Web ServicesDB  mysqlsystem  java spring boot,서류전형-1차면접-2차면접-최종합격,"지원금/보험 건강검진, 의료비지원(본인), 각종 경조사 지원, 단체 상해보험, 복지카드/포인트, 주요 제품 직원 할인
급여제도 인센티브제, 퇴직금, 4대 보험
선물 웰컴키트 지급
교육/생활 간식 제공
근무 환경 휴게실, 회의실, 노트북, 사원증, 자회사 제품할인, 사무용품 지급
출퇴근 야간교통비지급, 탄력근무제, 재택근무
리프레시연차, 여름휴가, 반차, 육아휴직","서울 강남구 테헤란로 419, 9층",학력  4년제 대졸 이상경력  업무경력 10년 이상ERPWMS 운영 및 PM경력자IT 시스템 통합 구축 및 운영 경력자ITHWSWDBMS 기타 솔루션 등에 대한 전반적인 지식 보유자기업체 IT기획운영 팀장 경험자더존ERP 운영자 유통 생산 및MLM 이력 우대영어능통자Cloud computing operating system database networking securityIT Project Management Global Communication Problem Solving Skill 경험자,223
(주)버즈빌,정규직,"['UX', '서비스기획', 'pm', '웹서비스기획']","""리워드 기반의 애드테크 No.1 기업, 버즈빌""

마케팅부터 수익화까지, 브랜드의 성장 단계별 필수 솔루션을 SaaS 형태로 제공하고 있습니다. 버즈빌은 일반 배너 광고에 비해 4배 이상의 전환율을 자랑하는 퍼포먼스 광고로 고객을 유치하고, 수익화 제품을 통해 앱의 고속 성장을 위한 재원 마련에 기여합니다. 또한, 이렇게 마련된 재원은 다양한 마케팅 이벤트 기획 및 운영에 활용되어 앱 활성화에 기여합니다.

광고가 사용자에게 진짜 혜택을 제공해야한다는 믿음으로 시작된 버즈빌의 리워드 광고는 고객사의 목소리를 바탕으로 수익화와 마케팅으로까지 그 범위를 확장해왔습니다. 이동통신 3사, SK, CJ, 카카오뱅크와 카카오페이 등 전세계 150개 이상의 프리미엄 제휴사 확보 및 꾸준한 매출 성장세를 통해 그 저력을 인정받았습니다.

2024년, 버즈빌은 IPO라는 과제에 앞서 AI 기술 투자를 통한 광고 효율 개선, 범용 포인트 제휴를 통한 성장, SaaS 솔루션 통합 등 다수의 신규 프로젝트를 진행 중에 있습니다. 자율적인 조직 문화(잡플래닛 평점 4.0점) 속에서 몰입의 즐거움을 함께 느끼실 분, 뛰어난 동료와 함께 성장하실 분, 무엇보다 고객 중심적 사고를 바탕으로 광고/마케팅의 혁신을 함께 만들어갈 미래의 버즈빌리언을 찾습니다.",Who we are웹 프로덕트 팀은 어떤 팀인가요버즈빌의 웹 프로덕트 팀은 대규모의 트래픽이 있는 B2C 프로덕트를 보유한 퍼블리셔들에게 리워드 기반 광고 지면을 웹으로 제공하는 광고 플랫폼을 개발하는 팀입니다 우리는 광고 지면의 효율을 최적화하기 위해 끊임없이 혁신적인 기술과 아이디어를 탐구하고 적용하며 광고주와 퍼블리셔 간의 협력을 촉진하고 광고 수익을 극대화하는 방향으로 노력합니다동시에 최종 사용자의 많은 참여를 이끌어낼 수 있는 매력적인 사용자 경험을 제공하기 위해 끝없이 고민합니다 또한 이러한 개선 과정에서 최대한 많은 데이터를 확보하고 데이터 기반 의사 결정을 지향합니다What youll do 웹 프로덕트 팀의 PM은 다양한 팀과의 협업을 통해 아래와 같은 일들을 수행하며 웹 기반 광고 플랫폼 서비스를 개선하고 성장시키는데 기여합니다 회사와 웹 프로덕트 팀의 OKR을 바탕으로 제품의 비전과 전략을 수립합니다 다양한 이해관계자내부 팀 외부 파트너 및 고객과 협업하여 핵심 문제를 해결하는 제품을 제공하고 이를 비즈니스 임팩트로 연결합니다 프로덕트에 필요한 기능들을 정의하고 개발자들이 쉽게 개발할 수 있는 형태로 기획합니다 백로그들의 우선순위를 판단하고 우선순위에 따라 업무를 조정하고 개발 일정을 관리합니다,"• 서류전형: 경력 기술 중심의 이력서
• 1차 인터뷰(Job-fit): 실무진 인터뷰, 사전 과제를 토대로 10분 PT 있음
• 레퍼런스 체크 
• 2차 인터뷰(Culture-fit): CEO 인터뷰
• 처우 협의 
• 오퍼레터 전달 (모든 전형은 영업일 1주일 이내로 합격/불합격 전달 드립니다.)","🧐 몰입을 위한 최적의 환경을 제공합니다. 
• 주 1회 전사 재택근무
• 오전 8시-10시 사이 자율 출퇴근 제도
• 필요한 만큼만, 1시간 단위의 연차 사용
• 3년 이상 근속자를 위한 2주 리프레시 휴가

👑 존중과 용기를 담아 커뮤니케이션 합니다. 
• 격주 전체 회의를 통해, 투명하게 정보를 공유하고 활발한 소통 문화 형성
• 분기별 OKR을 통해 전사 우선순위와 방향성 공유
• 전 구성원 영어 이름 사용 (존님 X,  존O)

🍭잘 먹고 잘 쉴 수 있도록 지원합니다. 
• 점심 식대 지원
• 종합 건강검진 및 전사 상해보험 지원
• 무제한 간식 및 음료 제공
• 휴게실 뿐만 아니라 수면실, 게임룸까지 완비
• 석촌호수 도보 1분 거리에서 즐기는 전망과 산책

🌟성장을 위해서라면 아끼지 않습니다. 
• 매월 10만원, 자기계발비 지급
• 나만의 자기계발 프로젝트 <버즈챌린지> 운영
• 사내 스터디 및 동호회 지원 
• 외부 세미나,컨퍼런스를 위한 교육비 지원
• 코딩 교육(코드잇) 수강 시 교육비 지원
• 무제한 도서 구매 혜택

💰 알찬 리워드 혜택과 함께합니다. 
• 결혼 축하금 및 경조금 최대 100만원 지원
• 본인 및 배우자 출산 시 선물 구독 서비스 지원
• 임직원 대출 우대 프로그램
• 최대 300만원의  인재 추천 리워드 지급
• 블로그 포스팅 및 브랜딩 활동 시 리워드 지급
• 5년 이상 장기 근속자를 위한 특별 리워드 지급","서울특별시 송파구 석촌호수로 272 MY빌딩 2, 3, 4, 5층", 프로덕트 매니저 관련 경력 3년 이상 UIUX를 고려한 모바일 웹 서비스 기획 경험이 있으신 분 기본적인 기획 문서 작성 능력PRD 스토리보드 플로우 차트 등을 보유하신 분 고객의 문제를 끊임없이 고민할 수 있는 Product Ownership이 있으신 분 다양한 이해관계자들의 요구 사항을 듣고 의견 조정을 위한 뛰어난 커뮤니케이션 능력을 보유하신 분 데이터 기반으로 다양하고 복잡한 문제를 해결하는 분석적 논리적 사고 능력을 보유하신 분 보상형포인트 제품 기획 경험이 있으신 분 온라인 광고 플랫폼 및 광고 시장에 대한 이해도가 높으신 분 B2B 프로덕트 또는 플랫폼 기획 경험이 있으신 분 대규모 트래픽 서비스를 운영하며 개선해 본 경험이 있으신 분 Figma 등 기획디자인 툴을 경험하신 분,224
(주)와들,정규직,"['고객지원', '상품기획', 'MYSQL', '상품개발', '프로덕트 매니저']","와들은 일찍이 대화형 AI의 잠재력을 깨닫고 커머스에 특화된 대화형 AI 에이전트를 만들어왔습니다.
• 시각장애인을 위한 배리어프리 쇼핑 ""소리마켓"" 출시 (2020)
• ""11번가"" 투자 유치 및 인공지능 솔루션 공급 (2021)
• ""소리마켓""에 대화형 AI 기반 검색추천 기능 출시 (2022)
• 와들의 대화형 AI 데모 체험 페이지 ‘아씨오’ 공개 (2023)
• 국내 최대 커머스 대화 데이터 기반 대화형 AI 에이전트 솔루션 출시 (2023)

대화형 UI로 검색추천 경험을 혁신할 뿐만 아니라, 대화 데이터의 가치를 이해하여 확실한 비즈니스 임팩트를 만듭니다. 출시 4개월 만에 10개사에 솔루션 공급하며 비즈니스 임팩트를 만들고 있어요.
• 고객이 어떤 기준으로 구매를 결정하는지, 구매 의도는 무엇이었는지 등 모든 구매 여정이 담겨있는 대화 데이터에서 인사이트를 발굴해요. 
• 기획전 상품 구성, CRM 메시지 문구 작성 등 새로운 플러그인을 만들어 실험하고 있어요.

대화형 AI로 비즈니스 임팩트를 만드는 와들의 여정에 함께하기를 원하신다면,
망설이지 말고 지금 바로 지원해주세요.",합류하시면 이런 일을 함께 해요 와들에서 만드는 모든 프로덕트의 목표 및 방향성을 고민해요 프로덕트의 핵심 지표 정의에서부터 비즈니스 모델 설계 액션 아이템 추진 및 결과 도출까지 서비스의 생애 주기를 오롯이 담당하며 제품의 성장을 드라이브하는 역할이에요 고객과 직접 대화하거나 세일즈 리드와 논의하여 고객의 핵심 니즈 및 우선순위를 파악해요 높은 의사결정 권한을 토대로 제품팀엔지니어 디자이너 등을 이끌어 나가요 직접 유저 스토리를 작성하고 백로그를 관리해요실제로 이런 고민을 하게될 거에요 고객이 원하는 대화 성능 개선을 위해 가장 먼저 실행해야하는 액션은 무엇일까 고객사가 커스텀 기능을 요청할 때 기능 개발에 들어가는 리소스와 얻게 될 비즈니스 임팩트 중 더 큰 것은 무엇일까 해당 커스텀 기능을 통해 다른 고객들에게도 가치를 제공할 수 있을까,"와들로의 합류 여정이에요
• 채용 프로세스 : 서류 전형 - (커피챗 or 전화 인터뷰) - 대면 인터뷰 - 처우 협의 - 최종 합격","1. 투명한 커뮤니케이션에서 신뢰가 시작됨을 믿어요
• 매일 오후 4시 모든 와들러들이 모여 우선순위 목표와 진행 상황에 대해 가감없이 이야기해요.
• 격주로 원온원(1:1) 미팅을 진행하여 회사 생활 전반, 특히 팀과 개인의 성장에 대한 이야기를 나누어요.
• 서로의 감정을 고려하며 당사자에게 직접, 수시로 피드백을 남겨요.
• 사소한 이야기라도 모두가 확인할 수 있는 슬랙 공개 채널에 글로 남겨요.
2. 불필요한 규정과 원칙을 줄이고, 하루라도 빠르게 실행하여 결과를 얻어내요
• 모든 상황에 일률적으로 적용되는 규정을 최소화하여 상황에 따라 구성원이 직접 결정할 수 있도록 자율성을 부여해요.
• 명확한 규정이 있어야 공정하고 효율적으로 일할 수 있는 부분에 대해서만 전사 규정을 만들어가고 있어요.
3. 실현 가능하지만 도전적인 목표를 설정하고, 끊임없는 성장을 추구해요
• 성장을 위해 성공률이 50% 미만이라고 생각하는 ‘실현 가능하지만 도전적인’ 목표를 설정해요.
• 시행착오를 비판하지 않으며, 레슨런을 기록하고 공유하여 같은 실수를 반복하지 않는 것에 집중해요.
• 무엇이든 새로운 것을 배우면 이를 팀 내에 전파하는 문화를 장려해요.

성장에 집중할 수 있는 환경을 위해 끊임없이 고민하고 있어요
1. 함께 성장해요 
• 경쟁력 있는 보상 체계를 위한 수시 연봉 협상  • 사내 추천 채용 보상 지급
• 업무관련 도서-교육-세미나 모두 지원  • 레슨런을 공유하는 사내 세미나 진행
2. 업무에만 몰입해요
• 유연근무제 (오후 1시-5시 공통근무)  • 별도 승인 절차 없는 1시간 단위 휴가 제도
• 최신형 업무 장비 지원 (iMac, Windows 선택)
3. 편안한 환경을 제공해요
• 교대역, 남부터미널역 도보 5분 거리 오피스  • 사무실 내 무제한 스낵바, 커피머신
• 야근 시 귀가 택시비 지원
4. 작은 부분까지 꼼곰하게 지원해요 
• 웰컴키트 및 굿즈 제공  • 자유롭게 선택 가능한 명절 선물 제공
• 함께하는 생일 축하와 선물","대전 유성구 대학로 99, 2층",와들은 이런 분을 찾고 있어요 제품을 만들기 위해 끊임없이 고민한 경험이 있는 분 AB 테스트를 설계하고 데이터를 기반으로 제품을 개선한 경험이 있는 분 문제의 핵심을 이해하고 이를 해결하기 위한 방법을 제안하는 것에 자신이 있는 분 비즈니스 임팩트를 고려하여 우선순위를 결정하고 이를 엔지니어 디자이너 등 다양한 이해관계자들에게 적극적으로 설득할 수 있는 분이런 경험이 있으면 더 좋아요 기획부터 운영까지 제품의 전체 라이프 사이클을 리딩해보신 분 이커머스 또는 B2B SaaS 제품을 기획한 경험이 있는 분 프로그래밍 개발 및 데이터에 대한 이해도가 있으신 분,225
(주)시루정보,정규직,"['서비스기획', '웹기획', '모바일기획', 'UI기획', '전자금융', '간편결제']","시루정보는 2009년 설립된 자본금 10억9천만원, 사원수 60명 규모의 
모바일 QR결제 솔루션 개발회사입니다.

독자적인 핀테크 기술력으로 국내 신용카드사, 은행 등에 모바일 결제, 
모바일 인증 기술 기반의 다양한 금융 서비스 시스템을 구축 및 운영하고 있으며, 
온/오프라인 전자결제대행서비스와 현금카드VAN서비스, 외국환거래서비스 측면으로 사업영역을 확대하고 있습니다.

꾸준한 사세확장에 따라 당사와 함께 성장할 기획자를 모집하고 있습니다.", 웹 모바일 기획 신규서비스 기획 전자금융 간편결제 기획,"※전형절차: 서류전형▶임원 및 실무자 면접▶최종합격 
               (면접일정은 추후 통보됩니다.)","• 산전/후 휴가, 육아휴직, 배우자 출산휴가 지원
• 각종 경조사 축하금 및 위로금, 경조휴가 지원
• 대체휴일, 업무 포상휴가, 장기근속포상, 우수사원 표창/포상 등 포상제도 운영
• 업무능력 개발을 위한 도서 구입비 및 직무교육 지원 
• 추천 인력 입사 시 추천자 및 입사자 포상금 지급
• 문화생활비 지원(연 60만원 현금성 복지, 연봉 외 지급)","서울 마포구 마포대로 109, 101동 2601호", 학력 초대졸 이상 경력 경력 5년 이상 채용 직위 대리과장 서비스 컨셉 UIUX설계 스토리보드 작성 가능자,226
(주)트레드링스,정규직,"['기획', '서비스 기획', 'Product manager', 'Product Owner']","지금 트레드링스에 합류하시면 채용축하금을 드립니다!
자세한 내용은 트레드링스 채용페이지를 참고해주세요.

[지금 트레드링스에 합류 해야 하는 이유]

첫번째, 국내 유저 수 1위 수출입 물류 플랫폼 기업!
두번째, 수출입 물류업계의 프런티어 기업!
세번째, 누적 투자액 118억 가파른 성장곡선!

결원에 따른 채용이 아닌, 빠르게 성장하는 서비스와 조직의 규모 확장을 위한 채용입니다.
지금, 트레드링스에서 수출입 물류시장의 구글을 함께 만들어갈 당신을 기다립니다.

[트레드링스로의 간편 합류 여정]
직무 적합성&문화 적합성 인터뷰가 한꺼번에 진행되는 트레드링스만의 간편 합류 여정!
서류 전형 ＞ 인터뷰 전형(직무 적합성& 조직 문화 적합성) ＞ 최종 합류
한 번의 인터뷰로, 현업 담당자가 직무 적합성을, 임원진과 피플팀이 조직 문화 적합성을 확인해요!

[합류하게 될 기획팀과의 인터뷰]

""기획팀에서는 어떤 일을 하나요?""
기획팀은 프로덕트의 방향을 결정하고, 제품의 완성도 향상에 기여합니다.
현재 서비스 기획자 & QA & CX 로 구성되어 요구사항 관리부터 기획, 분석, 검증까지
프로덕트 Life cycle을 통합적으로 관리하고, 서비스가 원활하게 돌아가는 데 필요한 업무를 담당하고 있어요.

""기획팀은 이런 동료와 함께 하고 싶어요!""
• 대화와 소통으로 팀원의 협력을 이끌 수 있는 분과 함께 하고 싶어요.
• 열린 시각으로 문제를 바라보고 해결할 수 있는 분이라면 좋겠어요.
• 책임감을 바탕으로 서로 믿고 존중할 수 있는 분이 필요해요.",서비스 기획자 ShipGo서비스 는 이런 일을 해요 글로벌 SCM 솔루션  Visibility 솔루션 기획 및 개발해요 수출입 물류 공급망 관리를 위한 솔루션 기획합니다 물류 빅데이터를 활용한 Business Intelligence 시각화 솔루션을 기획해요 요구사항 분석 및 우선순위 도출을 통해서 프로젝트를 관리해요 UIUX를 기획해요 서비스 VOC를 통한 개선과 고도화를 담당해요 디자인 개발 부서와의 협업을 넘어 주도적 역할 수행을 통해 자사 Product 를 고도화합니다,,"[몰입을 위한 모든 것을 지원하는 트레드링스의 혜택을 소개해요]

• 수평적 조직문화(직위 직급 없음)
• 연차공유제 운영(휴가 본인 승인)
• 유연근무제(시차출퇴근제) 운영
• 최신형 업무용 장비 지금
• 연간 120만원 복지포인트 지급 (유흥업소 제외 어디든 사용가능)
• 업무관련 도서구매 지원
• 직무 교육비 연200만원 지원
• 생일 축하 포상
• 스낵바 운영
• 중식비, 석식비 무제한 제공
• 편리한 식사를 위한 개인별 법인카드 지급
• 정기 종합 검진 제공
• 독감예방접종
• 경조금, 경조휴가 제공","서울특별시 서초구 서초대로77길 17, 13층",이런 분과 함께 하고 싶어요 웹 서비스 기획 경력 3년 이상이 필요해요 상용화 서비스 기획개선 경험이 필요해요 대용량 데이터를 통한 기획 경험이 있다면 좋아요 해외기업과 영어로 기본적인 비즈니스 커뮤니케이션이 필요해요 개발팀 현업부서와의 활발한 커뮤니케이션 역량이 있는 분이라면 좋겠어요 고객 인터뷰의견수렴를 통한 서비스 개선 노력이 가능하신 분이 필요해요 담당하는 프로젝트를 끝까지 완수하는 책임감이 강한 분이 필요해요 산업지식 현업의 업무 프로세스를 깊이 스터디 하실 준비가 되어있으신 분이라면 좋겠어요이런 경험이 있으면 더 좋아요 수출입 물류 경험화주 or 포워더이 있으신 분 IT 스타트업에서 서비스 기획 경험이 있으신 분 개발자와 협업 경험이 있으신 분,227
(주)알엠소프트,정규직,"['디자인', '개발', '제품기획', '시스템관리', '프로덕트 매니저', '프로덕트 디자인']","알엠소프트는 그 동안 집중해왔던 공공기관 비전자기록물 데이터베이스 구축을 토대로 새로운 분야의 사업을 추진하여 영역을 확장하고 있습니다.
자유롭고 수평적인 소통을 통해 구성원들의 창의성과 도전의식을 존중하며 신입사원도 다양한 기회를 제공함으로써 자율과 책임의 조직문화를 가지고 있습니다

",Product 개발을 위한 Project 관리 Scrum 혹은 Kanban 조직의 운영Product Life Cycle 관리개발 및 운영 프로세스 개선기존 시스템에 대한 문제점을 파악 및 개선방안 도출제품에 대한 기획,"ㆍ서류전형 -> 1차면접 -> 2차면접(전결) -> 최종합격
   (서류합격자의 한에서 면접연락드립니다.)","자격증수당
도서구입비
학교교육비
팀빌딩비
유연근무제","서울특별시 서초구 서초중앙로 63-6, 8층(서초동,RM서초빌딩)",경력 1년 이상디자인개발 직군과 협업 경험을 바탕으로 유연한 커뮤니케이션 능력을 보유하신 분IT에 대한 이해도가 높으신 분IT관련 학과 전공자이신 분Agile 관련 자격증을 보유하신 분전자결재시스템 및 이에 대한 이해가 높으신 분본인이 설계한 제품에 애정이 많으신 분,228
(주)알엠소프트,정규직,"['프로젝트관리', 'DB', '프로젝트매니저', '기록관리', '기록물관리전문요원', '문헌정보']","알엠소프트는 그 동안 집중해왔던 공공기관 비전자기록물 데이터베이스 구축을 토대로 새로운 분야의 사업을 추진하여 영역을 확장하고 있습니다.
자유롭고 수평적인 소통을 통해 구성원들의 창의성과 도전의식을 존중하며 신입사원도 다양한 기회를 제공함으로써 자율과 책임의 조직문화를 가지고 있습니다",PMPL프로젝트 통합관리일정 비용 품질 위험 등 모니터링 및 해결프로젝트 각 분야의 일부 팀관리작업 할당 인적자원관리 교육 및 품질관리,"ㆍ서류전형 > 1차 면접 > 2차 면접(PT) > 최종합격
   (서류합격자의 경우에 한에서 면접연락드립니다.)","자격증수당
도서구입비
학교교육비
팀빌딩비
유연근무제","서울특별시 서초구 서초중앙로 63-6, 8층(서초동,RM서초빌딩)",기록물관리전문요원 자격을 취득한 자 또는 기록학 졸업예정자 문헌정보학  사학 등 관련학과 전공자 경력 1년 이상우대사항리더십 소유자 프리젠테이션 가능자CDP주니어12년  온보딩 교육직무 체험심화 학습 PMO 교육 일학습병행 교육 프로젝트 업무 지원 또는 PL프로3년   PL 또는 PM시니어4년 이상  PM ,229
(주)에이아이트릭스,정규직,['상품기획'],,상품기획자는 제품 정의 계획 사양 개발 및 시장 출시상업화를 담당하는 핵심 전략적 위치입니다여기에는 시장성이 있는 제품의 기획부터 제품 수명 주기 전반에 걸쳐 제공되는 워크플로 솔루션 관리 이해 관계자로부터 제품 및 고객 요구 사항 수집 및 우선 순위 지정 제품 비전 정의 고객 가치 제안 및 시장 생존 가능성에 따른 제품 방향 제공 고위 경영진과의 긴밀한 협력이 포함됩니다 시장 Needs로 부터 제품 기획  제품 형태 workflow 포지션 가격 및 전략 수립 etc 시장 분석과 경쟁사 조사에 따른 기획 제품의 차별점 확보  제품 Value Proposition 정의 고객 VOC communication  제품의 feedback과 requirement 제품 반영,,,"서울특별시 강남구 테헤란로218, AP Tower 13층", 상품 개발 프로세스사업기획 or 기술기능 정책 정의 기회 발굴 경험 및 경력 6년 이상 의료 산업 직간접 종사자 다양한 이해관계자내부외부와의 excellent communication skill Globalization을 위한 영어 능력 Deep LearningIT 이해를 통한 제품적 인사이트 도출 능력 의료기기 PPPM 경험,230
(주)에이아이트릭스,정규직,['상품기획'],,상품기획자는 제품 정의 계획 사양 개발 및 시장 출시상업화를 담당하는 핵심 전략적 위치입니다여기에는 시장성이 있는 제품의 기획부터 제품 수명 주기 전반에 걸쳐 제공되는 워크플로 솔루션 관리 이해 관계자로부터 제품 및 고객 요구 사항 수집 및 우선 순위 지정 제품 비전 정의 고객 가치 제안 및 시장 생존 가능성에 따른 제품 방향 제공 고위 경영진과의 긴밀한 협력이 포함됩니다 시장 Needs로 부터 제품 기획  제품 형태 workflow 포지션 가격 및 전략 수립 etc 시장 분석과 경쟁사 조사에 따른 기획 제품의 차별점 확보  제품 Value Proposition 정의 고객 VOC communication  제품의 feedback과 requirement 제품 반영,,,"서울특별시 강남구 테헤란로218, AP Tower 13층", 상품 개발 프로세스사업기획 or 기술기능 정책 정의 기회 발굴 경험 및 경력 3년 이상 의료 산업 직간접 종사자 다양한 이해관계자내부외부와의 excellent communication skill Globalization을 위한 영어 능력 Deep LearningIT 이해를 통한 제품적 인사이트 도출 능력 의료기기 PPPM 경험,231
