회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)아이넥스코퍼레이션,정규직,"['엑셀', '회계', '세무', '결산', '자금', '더존']","“Happiness through good health""

안녕하세요, Ainex입니다. Ainex는 Medical AI Solution start-up으로, 인공지능기술을 바탕으로 보다 건강한 삶을 추구하는 전문가들이 모인 집단입니다. 우리는 국내 최고의 의료진들이 직접 수집/가공한 데이터를 기반으로 차별화된 소화기 전문 AI Solution을 제공합니다.

우리는

1. 의료기기와 AI의 융합을 통해 진료의 정확도를 높이고,
2. 과잉진료 및 오진단 등의 복잡한 문제들을 해결하며,
3. 개인별 맞춤형 진단과 치료방법을 제공하여

소화기 진료의 새로운 패러다임을 제시하고 더 건강한 삶을 영위할 수 있도록 돕습니다.
Ainex가 가고자 하는 길은 결코 쉬운 길이 아닙니다. 하지만 우리들의 기술과 노하우는 불가능 해보였던 일을 현실로 만들었고, 이제는 본격적인 도약을 준비하고 있습니다. 또한 이러한 기술력을 인정 받아 2021년 Series A 투자를 성공적으로 마쳤으며, 2023년 Series B 투자를 계획하고 있습니다.


[뉴스]

'AI 영상진단 보조 솔루션' 아이넥스, '우수 스타트업 선정'
https://news.mt.co.kr/mtview.php?no=2023041318221713973
'아이넥스, CES 2023 혁신상 수상 제품 KIMES서 공개'
https://mdtoday.co.kr/news/view/1065603819228337
'아이넥스(구 엔도아이), 국제의료영상처리학회서 글로벌 경쟁력 입증'
http://www.medical-tribune.co.kr/news/articleView.html?idxno=110780",자금 및 재무회계자금 집행 및 운용매출매입 마감세금계산서 발행월결산 및 부가세 신고더존 위하고 사용전반적인 회계관리 지원업무인사 총무 지원직원 급여관리 및 원천세 신고4대보험 관리연말정산 관리자산시설 및 비품 등 관리경조사 외 각종행사관리각종 계약서 외 서류관리기타 인사 총무 업무 전반,"1. 서류검토
- 본인의 역량이나 강점을 나타낼 수 있는 것이라면 무엇이든 알려주세요.
- 입사지원서는 자유양식입니다. 파일형태 또한 자유입니다.
- 포트폴리오나 Github, Notion 등의 링크를 함께 보내주시면 더욱 좋습니다.

2. 직무 인터뷰
- 지원하신 포지션에 대해 함께 할 동료들과 자세히 이야기를 나눕니다.
- 약 1시간 정도 소요되며, 직무에 대해 궁금한 점들을 확인할 수 있습니다.

3. 컬쳐핏 인터뷰
- Ainex와 지원자님께서 서로의 방향성과 가치관에 대한 생각을 나눕니다.
- 약 1시간 정도 소요되며, 회사에 대해 더욱 깊게 알아보실 수 있습니다.

4. 처우협의
- 우리는 개인별 역량에 따른 보상패키지를 제공합니다.
- 보상패키지와 입사일에 대한 자세한 정보는 별도로 협의합니다.

5. 최종합격","• 차세대 AI 헬스케어 시장을 리드할 최고의 동료

• 업무에만 집중할 수 있는 여건
- 유연한 근무시간 (Coretime 10:00~15:00)
- 자유로운 복장
- Macbook/iMac/Gram 등 최신식 업무용 디바이스
- 주기적으로 교체되는 업무용 디바이스
- 업무에 필요한 다양한 물품 지원
- 영업활동에 필요한 영업비용 및 영업차량 지원
- 각종 경조사비 지급
- 연장근무 발생시 식대 지원
- 출퇴근 택시비 지원 : 부득이하게 대중교통 이용이 불가능한 시간대의 출퇴근시 택시비 전액 지원

• 성과 기반의 보상패키지 제공
- 입사 시 역량에 따른 연봉 설정
- 역량과 성과 중심의 보상 체계

• 자기계발 지원
- 각종 Conference 참가 기회
- 국내외 AI Challenge 참가비 전액 지원
- 정기적인 Medical AI 세미나
- 자기계발을 위한 교육비 지원
- 업무관련 도서구매비용 지원

• Medical AI Start-up 다운 건강지원
- 종합건강검진 비용 지원
- 건강검진에 필요한 충분한 시간 보장

연차휴가, 산전 후 휴가, 육아휴직 등 법적사항들은 당연히 기본적으로 보장하고 있으며, 이외에도 동료들을 위한 다양한 복지제도를 끊임 없이 기획 중입니다.",서울 서초구 마방로2길 89,상경계열 전공자유관업무 12년 이상 경력자 컴퓨터활용능력 우수자회계관련 전공자 및 자격 보유자엑셀 고급능력 보유자회계 프로그램 능숙자자격증  전산회계1급 전산세무2급ERP인사정보관리사2급국가공인 ERP 인사 정보관리사 3급,607
(주)모요,정규직,"['엑셀', '재무', '회계', '세무', '결산', '자금', '재무회계', '리스크관리', 'FP&A', '연결회계']","# 모두에게 통신을 쉽고 정직하게

모요는 어려운 통신 용어와 절차를 쉽게 안내하고, 정보비대칭을 해결하여 고객들께 신뢰를 드릴 거예요. 여기서 더 나아가 고객의 정보를 바탕으로 최적의 상품을 추천해드릴 예정이에요.
모요는 설립 7개월 만에 월 BEP를 달성하고, 11개월간 누적 100만명의 고객이 이용할 정도로 빠른 성장을 이뤄내 유수의 투자사로부터의 투자 유치도 받았습니다.
훌륭한 동료들과 빠르게 성장하며 성공을 경험하고 싶은 분들은 꼭 합류해주세요!

＜아티클＞
• 모요가 만들어 낸 전환율 4배의 기적 https://moyo.career.greetinghr.com/product-vision",FPA 각 제품 단위의 실행계획 과정에서 크고 작은 재무 의사결정을 지원하고 비즈니스 전략을 수립해요 유저 데이터에 대한 이해를 바탕으로 매출 기여 가능성을 분석해요 서비스를 출시하거나 개선할 때 구성원에게 재무적인 인사이트를 공유해요회계세무 모든 매출과 비용 거래를 이해하고 회계 처리를 결정하며 관련 이슈를 검토해요 월 단위 결산 업무를 수행하며 재무제표를 확정해요 부가세 원천세 법인세 등 각종 세무 신고 업무를 지원해요자금 주기적으로 자금 현황을 업데이트 하고 손익과 현금 흐름을 분석해요 거래처 정산 및 대금 지급을 진행하고 유동 자금을 관리해요 법인카드와 관련된 관리 운영 정산 업무를 수행해요,"# 합류 여정 
서류 전형 → 실무 인터뷰 → 컬쳐 인터뷰 → 레퍼런스 체크 및 처우 협의 → 최종 합격 및 입사
- 상황에 따라 과제 또는 인터뷰 전형이 추가될 수 있습니다.
- 국가유공자 예우 및 지원에 관한 법률에 의거 취업 보호 대상자 및 장애인은 관련 법규에 따라 우대합니다.
- 제출 서류는 후보자의 채용 여부 확정일 이후 1년 동안 보관하고 이후 파기합니다.
- 각 전형에서 허위 사실이나 부정행위 발견 시 즉시 영입 절차가 중단/취소될 수 있습니다.
","＜물리적 환경 지원＞
• 역삼역 3번출구에서 도보 2분 거리의 오피스에 입주해있어요
• 모든 책상이 모션데스크라 허리 건강에 좋아요
• 최신 MacBook or Window 북을 지원해요
• 4K UHD 모니터를 지원하고 2~3개의 모니터도 지원해요
• 그 외 마우스나 키보드 등 장비도 요청시 적극 지원해요

＜성장을 위한 지원＞
• 업무에 필요한 도서를 적극적으로 지원해요
• 업무 관련 교육이나 컨퍼런스 및 외부 세미나 등의 참가비를 지원해요
• 콘텐츠 구독 (e.g. 아웃스탠딩 등)을 지원해요
• 데이터 분석, 조직문화, Product 전략 등 다양한 스터디가 있어요 

＜식대 및 간식 지원＞
• 점심과 저녁 식비를 지원해요 (법카 지원)
• 프리미엄 원두 커피를 무제한으로 제공해요
• 팀원들이 원하는 간식을 바로 구매하고 항상 비치해요

＜휴식과 건강을 위한 지원＞
• 별도의 승인이 필요없는 무제한 휴가를 제공해요
• 3년 만근 시 1개월의 유급 휴가인 '리프레시 휴가'를 지원해요
• 매년 정밀한 건강 검진을 지원해요

＜‍ 몰입할 수 있는 환경 지원＞
• 정해진 출퇴근 시간이 없어요
• 개인이 가장 효율적으로 일할 수 있는 시간에 근무해요
• 장소도 구애받지 않아요. 집중이 잘되는 장소에서 일을 해요

＜기타 지원＞
• 야근 택시비를 지원해요
• 중소기업 소득세 감면을 지원해요","서울특별시 강남구 테헤란로 20길 20, 8층", 7년 이상의 경험을 기반으로 Accounting 전반을 경험한 분 FPA 업무에 대한 이해 및 경험이 있는 분 회계 세무에 관한 이슈를 직접 해결해 본 분 전산 세무 2급 이상의 자격증이나 그에 준하는 지식을 갖춘 분 재무연결 시스템ERP 구축 혹은 프로세스 자동화 경험이 있는 분 외부 감사 대응 경험이 있는 분,608
(주)넥스트챕터,정규직,"['재무', '회계', '결산']","- Our mission

""넥스트챕터는 좋은 제품을 위대한 브랜드로 성장시켜 더 많은 고객과 연결합니다.""

좋은 제품이지만, 유통, 마케팅, 자금 조달 등의 문제로 제품의 잠재력을 충분히 발휘하지 못하는 경우가 많습니다. 우리는 좋은 제품이 더 많은 소비자에게 알려지는 세상을 꿈꿉니다. 좋은 제품을 인수하여 브랜드 오너의 장인 정신을 계승하되, 브랜드 운영의 전문화를 통해 위대한 브랜드로 키웁니다. 우리는 이렇게 중소 규모의 온라인 브랜드를 인수하여 성장시키는, 국내 최초의 브랜드 인수 운영 플랫폼입니다.

넥스트챕터는 BlueRun Ventures/BRV Capital Management, Goodwater Capital, 끌림벤처스, 패스트벤처스, 샌드박스네트워크, 김상헌 네이버 전 대표님을 비롯한 국내외 유수의 VC 및 엔젤 투자자로부터 Seed 투자를 유치하였으며, 2022년 8월 BRV Capital Management, 끌림벤처스로부터 200억 규모의 시리즈 A 투자 유치를 완료하고 큰 도약을 준비하고 있습니다.

넥스트챕터는 ‘남다른 위대함(Unique greatness)’을 추구하는 최고의 동료들과 함께하는 것(Hire and inspire the best)을 무엇보다도 중시합니다. 우리는 실력 뿐만 아니라 인격적으로도 ‘극도의 성숙함(Being exceptionally mature)’을 지향하는 팀입니다. 똑똑하지만 인격적으로 존경하기 어려운 동료들과 일하며 스트레스를 받으셨다면, 탁월함을 추구하지 않는 조직에서 홀로 타오르는 열정을 삭히며 답답해 하셨다면 넥스트챕터 팀에 합류하시는 것을 진지하게 고려해봐주세요!",More about this job중소 온라인 브랜드의 인수를 통한 빠른 성장을 추구하는 넥스트챕터에서 재무 및 회계 직무는 더욱 중요합니다 인수된 브랜드와 자회사에 대한 월 분기 반기 그리고 연 단위 실적 관리와 결산을 통해 회사가 목표를 잘 달성하고 있는지 현금 흐름상의 문제는 없는지 끊임없는 관리가 필요하기 때문입니다 이를 위해 가장 기본이 되는 기초 자료들이 적시에 문제없이 관리되어야 하며 Finance Team은 그러한 자료를 관리하는 역할을 수행합니다SAP 운영 담당자는 회사 내의 각종 기준 정보의 관리와 더불어 이커머스 사업의 최전방에서 재무 결산에 이르기까지 발생하는 여러 프로세스를 관리운영하게 됩니다 다수의 브랜드에 대한 관리 및 결산이 동시에 이루어지는 만큼 다소 도전적인 환경에 대한 적응력과 꼼꼼함이 요구됩니다넥스트챕터의 Finance Team은 공인회계사 재무 컨설팅 대기업 재무팀 등 최고의 경력을 갖춘 전문가 집단으로 구성되어 있습니다 넥스트챕터의 Finance Team 과 빠르게 성장하실 분을 찾습니다Responsibilities 회사 내 SAP의 원활한 운영을 통해 SCM Process를 안정화하고 신뢰성 있는 손익 분석에 기여합니다 SAP SME용 솔루션의 SCM 운영 전반 영업 구매 생산 물류    기본적인 유지보수 및 문의사항 대응 관련 외부 자문사와 운영서비스 계약 체결 중 이커머스 브랜드 운영 전반과 관련된 SAP 內 마스터 파일 관리 상품코드 판매공급처 BOM 기준 매입가격 등 SAP와 회사 내 타 IT Tool과의 연동 요소 발생 시 Tech 팀 협업 FCM 담당자와의 협업을 통한 신뢰성 있는 재무회계 결산 결과 도출,서류 -> 1차 전화 인터뷰 -> 2차 대면 인터뷰 -> 3차 케이스 디스커션 -> 최종합격,"NXSP: Nexter eXperience Support Program
넥스트챕터는 화려한 복지 제도 보다는 최고의 동료들과 함께 빠르게 성장할 수 있는 기회를 지속적으로 만드는 것이 더욱 중요하다고 생각합니다. 우리는 다른 회사에서 “복지 제도”라고 부르는 정책을 **Nexter 경험 지원 정책(NXSP, Nexter eXperience Support Policies)**이라고 부릅니다.

NXSP는 명확한 목적과 방향성 하에 활용될 경우 Nexter들의 긍정적인 행동의 변화를 이끌어내는 Nudge로서 기능할 수 있다고 믿습니다. NXSP는 생산성(Productivity), 건강(Health) 이라는 두 가지 목적 하에 설계를 하였으며, 앞으로도 지속적으로 넥스트챕터만의 정책을 만들어 나가고자 합니다. 



🚵‍♀️ 더 건강한 Nexter를 위해
- 사내 호텔급 무료 피트니스 센터 이용 가능
- 운동비 월 10만원 지원
- 20만원 상당 건강검진 지원
- 사내 식당 점심비 지원
- 팀 회식비 인당 월 3만원 지원


☀️ 더 생산적인 Nexter를 위해
- 야근 시 식대 15,000원 지원
- 야근 후 귀가 시 택시비 지원
- 회사 근처로 이사 시, 이사비 100만원 지원
- 입사 시 각종 생산성 장비 구매 지원 10만원
- 도서 구매 무제한 지원
","서울특별시 성동구 연무장7길 11, 8층(성수동2가, 우란문화재단)", 관련 경력 만 3년 이상 6년 미만 Inhouse외주 또는 구축운영 무관 이커머스 업종의 영업 구매 생산 물류 관련 전반적인 프로세스 이해 보유 업무를 주도적으로 진행할 수 있는 능력 원활한 커뮤니케이션 및 협업 능력 SAP SME용 솔루션 구축유지보수 업무 경험 IT 프로젝트 경험 기획 개발 무관 구매물류 관련 자격증 보유,609
(주)스타원엔터테인먼트,정규직,"['재무', '회계', '경리', '손익관리']","스타원엔터테인먼트는 현재 '톰토미' 라는 캐릭터 IP로 키즈 콘텐츠 시장에서 음원, 영상, MD등 경쟁력 있는 다양한 콘텐츠들을 서비스 중이며, 현재 공식 유튜브 채널은 27만의 구독자를 돌파하며 성장하고 있습니다. 유튜브 진출과 함께 다양한 사업을 확장해 나갈 예정입니다.

자사 키즈 콘텐츠 '톰토미' 유튜브 : www.youtube.com/tomtomi-ko",재무 회계정산 및 회계 관리결산 및 손익 관리경리 업무기타 운영 관련 지원 업무,,"ㆍ명절 선물
ㆍ4대 보험
ㆍ연,월차
ㆍ퇴직연금
ㆍ생일선물
ㆍ간식 및 커피머신제공","경기 안양시 만안구 덕천로152번길 25, A동 303호",학력  학력무관경력  3  10년컴퓨터활용능력 우수자문서작성 우수자프리젠테이션 능력우수자인근거주자유관업무 경력자 2년이상엑셀 고급능력 보유자,610
(주)핏펫,정규직,"['재무', '회계', '세무', '결산', 'ERP', '재무제표 작성', '재무회계', '재무분석', '감사대응', '재무 회계 감사']","핏펫은 반려동물 의료, 유통, 서비스, 보험부터 쇼핑몰까지 반려동물에 관한 모든 분야에 혁신적 솔루션을 제공하는 '펫 라이프케어 플랫폼'입니다. 사내 연구소에서 자체 제작한 반려동물 헬스키트 '어헤드'를 시작으로 핏펫몰과 병원 예약 서비스를 론칭 하였고 동물 등록, 미용 예약 서비스까지 추가 론칭하며 반려동물 업계 유일의 'All-around' 서비스로 확장해 나가고 있습니다.

2021년 7월 ""예비유니콘""선정, 누적 투자 금액 600억원, 매년 100% 이상의 인적 확장으로 빠르게 성장하고 있으며, 핏펫과 함께 최고의 결과를 만들어 낼 예비 핏펫터즈 여러분의 많은 지원을 기다립니다.", 핏펫의 회계 결산을 총괄 합니다 외부감사를 수검하며 이를 위하여 재무제표 및 회계 관련 보고서를 작성합니다 결산 시스템을 관리하고 회계 정책을 검토 하여 수립합니다 신규 비즈니스에서 발생 할 수 있는 재무 세무 리스크를 사전에 발견하고 예방합니다 전사 사업 계획과 연계된 재무 영향을 분석하고 이에 따른 재무구조를 수립합니다 결산 프로세스 및 관련 시스템을 개선합니다,"서류접수  > 1차 직무 인터뷰 > 2차 컬처핏 인터뷰 > 처우협의 > 최종합격
* 필수 제출 서류 : 자유 양식의 이력서 또는 경력기술서 (PDF 형식 권장)
* 지원하는 포지션에 따라 레퍼런스 체크, 과제 또는 코딩 테스트 전형이 추가될 수 있습니다.
* 리더 포지션의 경우 추가 면접이 진행될 수 있습니다.","- 매월 첫 번째 금요일은 핏펫터즈 쉬는 날 (놀금제도)로 운영합니다.
- 유연근무제 (오전 9시 ~ 11시)를 운영합니다.
- 반반차 운영 및 졸업, 이사 휴가를 지원합니다.
- 최고 업무 환경을 제공합니다. (허먼밀러 의자 등)
- 식사는 든든하게, 매일 다섯 가지의 다양한 중식 서비스를 제공합니다.
- 무제한 간식, 음료를 제공합니다.
- 경조사를 지원합니다. (경조휴가, 경조금, 경조물품 등)
- 출장, 외근, 야근 시 교통비를 지원합니다.
- 카쉐어링 서비스 직원 할인가에 제공합니다.
- 일정 비용 한도 내 도서구입 및 자기개발비를 지원합니다.
- 편안하게 쉴 수 있는 휴식 공간 제공합니다. (안마의자 등)
- 핏펫터즈 생일 축하 선물을 제공합니다.
- 핏펫터즈의 건강한 일상을 위해 매년 건강검진을 지원합니다.
- 핏펫터즈 전용 반려동물 유치원을 운영합니다.
- 반려가족 입양 지원 및 반려동물 장례비용을 지원합니다.
- 동물병원 진료비 할인 지원 및 핏펫몰 제품 할인을 제공합니다.",서울시 강남구 테헤란로 107길 6, 5년 이상의 경험을 보유하신 분 연 결산에 3회 이상 주도적으로 참여한 경험을 보유하신 분 별도 및 연결 재무제표 및 감사보고서 주석을 직접 작성해본 경험이 있으신 분 신규 비즈니스에 대한 세무 검토 경험을 보유하신 분 MS Excel 및 Powerpoint 사용이 능숙하신 분 몰입력 있고 꼼꼼한 성격을 보유하신 분 업무 개선에 즐거움을 느끼시는 분 상경계열경영 회계 세무 전공하신 분 ERP 도입 및 RPA 등 로직 구축 경험을 보유하신 분 연 결산에 주도적으로 참여한 경험이 있으신 분 회계 세무 관련 자격증 보유하신 분 더존 I CUBE 사용경험이 있으신 분 notion slack 등 다양한 업무 tool 이용 경험이 있으신 분 스타트업 혹은 B2C 업종에서 업무 경험이 있으신 분 100인 이상 회사에서 업무 경험이 있으신 분,611
(주)스매치코퍼레이션,정규직,"['회계', '공무', '정산', '비용정산', '예산관리', '원가회계', '매입매출관리']","[스매치코퍼레이션을 소개합니다]
‘스매치코퍼레이션’은 차원이 다른 공간의 효율을 만들어가는 프롭테크 스타트업입니다.

AI 사무실 매칭 서비스 ‘스매치', 인테리어 솔루션 ‘스매치 디자인’, AI 빌딩 매입매각 서비스 ‘빌디’ 등 프롭테크 서비스의 새로운 지평을 열어가고 있습니다. 창업 2년 만에 연간 수주 금액 150억 원과 서비스 이용사 5,000개를 돌파하였으며, 3년차인 올해는 상반기에만 수주 금액 150억원을 달성하는 등 큰 투자 없이도 BEP를 넘기며 빠르게 성장하고 있습니다.

현재 80여 명의 유능한 동료들은 스매치 서초사옥에서 매일 새로운 지표를 그리며, 자유로운 소통 속에서 자신의 잠재력을 펼치고 있습니다.

스매치코퍼레이션과 함께 시장을 혁신하고 성공을 만들 팀원을 찾습니다! 🚀

- 스매치코퍼레이션 바로가기 : https://www.smatchcorporation.kr/
- 관련 기사 1 : https://www.seoul.co.kr/news/newsView.php?id=20221216500079
- 관련 기사 2 : https://www.hankyung.com/finance/article/2023040572726

[서비스 소개]
- AI 사무실 매칭 서비스, 스매치 : https://smatch.kr
- 가장 효율적인 인테리어 솔루션, 스매치 디자인 : https://smatchdesign.kr
- AI 빌딩 매입매각 컨설팅 서비스, ‘빌디’ : https://buildy.kr",  인테리어 프로젝트 별 비용 정산  발주처 및 협력업체 예산 편성 및 실행  일주년 단위 프로젝트 예산 관리 및 정산  착공 사전 서류 및 인허가 지원  실내 건축 공무 지원,"서류 접수 → 대면 인터뷰 (필요 시, 2차 인터뷰 진행) → 처우 협의 → 최종 합류","창립일 행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 도서구입비지원, 교육비 지원, 자기계발비 지원, 연차, 반차, 반반차, Refresh휴가, 퇴직연금, 장기근속자 포상, 퇴직금, 건강검진, 연차수당, 수평적 조직문화, 회식강요 X, 야근강요 X, 명절선물/귀향비, 회의실, 공기청정기, 전용 사옥, 휠체어용 난간, 장애인 화장실, 장애인 전용주차장, 장애인 엘리베이터, 커피머신 보유, 음료제공(탄산, 주스, 두유 등), 간식제공, 야간교통비지급, 법인차량 있음, 노트북, 모니터, 4대 보험, 사무용품 지급, 자유로운 연차사용, 칼퇴근 보장, 문화 회식, 신규입사자 멘토 제도","서초구 서초동 1703-8, 스매치 서초사옥",  1  3년의 회계 업무 경력을 가진 분  서류 예산 비용을 꼼꼼히 관리해 주실 수 있는 분  팀원 협력업체 클라이언트 등 내외부 인원들과 원활한 커뮤니케이션을 할 수 있는 분  MS OFFICE 활용이 원활하신 분  예산 편성 관리 및 실행에 관심이 높은 분  인테리어에 대한 이해가 있는 분  실내건축 관현 자격증 보유자,612
(주)제니엘,정규직,"['행정', '4대보험', '사무 보조', '더존', '전표입력']","제니엘의 4대보험 담당자를 채용하고자 합니다.

[Zeniel 최선을 다하는 사람들]
제니엘은 '일하고 싶은 사람이 마음껏 일할 수있는 행복한 사회구현'이라는 미션 아래 인재를 통한 가치경영을 하는 회사입니다.
고객감동의 실현 + 혁신경영의 추구 + 인간존중의 실현을 합친 인재를 통한 가치경영이라는 경영이념 아래에 1996년 창립이래로 총 10개의 계열사와 1개의 비영리단체로 구성되어 있으며 의료, 아웃소싱, 유통/물류/판매, 생산/제조, 시설/보안 등의 다양한 사업을 운영합니다.", 행정 및 사무 보조 업무  전표처리 데이터 산출 등 ,서류전형 > 실무면접 > 임원면접 > 최종합격 ,"• 스마트워크 (신사옥)
• 매월 수요일 조기퇴근
• 자유로운 연차/ 반차 활용
• 신입OJT교육, 직무능력향상교육 진행
• 경조휴가, 경조금
• 생일축하선물 지급
• 교육지원, 도서구매비 지원
• 명절 상여 및 선물 지원
• 콘도/ 리조트 등 휴양시설 지원
• 본인 및 가족 건강검진 지원
• 직원대출제도 마련
• 장기근속자  포상",서울 서초구 효령로 402 제니엘빌딩, 신입경력 무관 유관업무 경력자  경력단절여성 우대,613
(주)제니엘,정규직,"['행정', '4대보험', '사무 보조', '더존', '전표입력']","제니엘의 4대보험 담당자(사무보조)를 채용하고자 합니다.
(단시간근로자)

[Zeniel 최선을 다하는 사람들]
제니엘은 '일하고 싶은 사람이 마음껏 일할 수있는 행복한 사회구현'이라는 미션 아래 인재를 통한 가치경영을 하는 회사입니다.
고객감동의 실현 + 혁신경영의 추구 + 인간존중의 실현을 합친 인재를 통한 가치경영이라는 경영이념 아래에 1996년 창립이래로 총 10개의 계열사와 1개의 비영리단체로 구성되어 있으며 의료, 아웃소싱, 유통/물류/판매, 생산/제조, 시설/보안 등의 다양한 사업을 운영합니다.", 행정 및 사무 보조 업무  전표처리 데이터 산출 등 ,서류전형 > 실무면접 > 임원면접 > 최종합격 ,"• 스마트워크 (신사옥)
• 매월 수요일 조기퇴근
• 자유로운 연차/ 반차 활용
• 신입OJT교육, 직무능력향상교육 진행
• 경조휴가, 경조금
• 생일축하선물 지급
• 교육지원, 도서구매비 지원
• 명절 상여 및 선물 지원
• 콘도/ 리조트 등 휴양시설 지원
• 본인 및 가족 건강검진 지원
• 직원대출제도 마련
• 장기근속자  포상",서울 서초구 효령로 402 제니엘빌딩, 신입경력 무관 유관업무 경력자  경력단절여성 우대,614
(주)제니엘,정규직,"['회계', '결산', '세금계산서 발행']","제니엘의 회계 담당자를 채용하고자 합니다.
•회계업무 팀원

[Zeniel 최선을 다하는 사람들]
제니엘은 '일하고 싶은 사람이 마음껏 일할 수있는 행복한 사회구현'이라는 미션 아래 인재를 통한 가치경영을 하는 회사입니다.
고객감동의 실현 + 혁신경영의 추구 + 인간존중의 실현을 합친 인재를 통한 가치경영이라는 경영이념 아래에 1996년 창립이래로 총 10개의 계열사와 1개의 비영리단체로 구성되어 있으며 의료, 아웃소싱, 유통/물류/판매, 생산/제조, 시설/보안 등의 다양한 사업을 운영합니다.",회계 월 회계 마감 업무 및 전자세금계산서 발행 법인결산 미수금 관리 기업 신용등급 관리 업무,,"• 스마트워크 (신사옥)
• 매월 수요일 조기퇴근
• 자유로운 연차/ 반차 활용
• 신입OJT교육, 직무능력향상교육 진행
• 경조휴가, 경조금
• 생일축하선물 지급
• 교육지원, 도서구매비 지원
• 명절 상여 및 선물 지원
• 콘도/ 리조트 등 휴양시설 지원
• 본인 및 가족 건강검진 지원
• 직원대출제도 마련
• 장기근속자  포상",서울 서초구 효령로 402 제니엘빌딩, 회계 경력 2년 이상인 자 결산 및 부가세 신고 경험 외부 감사 경험자 자체 회계 결산 유경험자 관련학과 전공자,615
(주)블루아트디자인,정규직,"['인테리어', '경리', '사무보조', '서류관리']","블루아트디자인은 LVMH 그룹 코스메틱 디올, 겔랑, 프레쉬, 메이크업 포에버 등의 코스메틱 인테리어와
오프화이트, UGG, 필리플레인골프, 알마니주니어, 젠틀몬스터등 패션브랜드 인테리어를 하고 있습니다.
위와같은 브랜드 동종업계 종사자를 우대합니다.",경리 업무서류 관리기타 사무보조,서류전형 > 1차면접 > 2차면접 > 최종합격,"급여제도
퇴직금, 휴일(특근)수당, 연차수당, 4대 보험

교육/생활
점심식사 제공

조직문화
자유복장

출퇴근
야간교통비지급

리프레시
연차",경기 광주시 초월읍 도평리 54-1번지 외,학력  무관경력  신입 및 경력 무관인근거주자 해당직무 근무경험,616
