회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)더캐리,정규직,"['경영기획', '사업계획수립', '지표관리', '회의체운영', '경쟁사분석', '중장기전략', '예산편성', '관리손익']",,1 관리손익 부서별  매장별  브랜드별 관리손익 산출2 사업계획 연간 사업계획 수립3 예산관리 사업계획 근거 예산 운영4 중장기 계획 3  5  10년 중장기 계획 수립5 경쟁사  환경분석 경쟁사 실적 및 내외부 환경 분석6 회의체 운영 기간별 회의체 운영7 지표관리 재고  손익 지표  산출 및 보고,"서류전형-면접전형-인적성검사-입사


ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.","임직원 건강 지원
중식 식권 제휴 & 석식 지원
사내 카페테리아 운영 (바리스타 상주)
사내 헬스키퍼실 운영
종합건강검진(임직원) 지원
종합건강검진(가족) 지원
의료비 지원
독감예방접종 지원

마음 편한 육아 지원
자사제품 할인
임신기 근로시간 단축
육아휴직/육아기 근로시간 단축
임산부 정기 건강진단 시간 지원
임신/육아기 근로형태 코디 운영

일/가정 양립 지원
theKARY DAY
(명절연휴 전 4시간 조기퇴근)
생일 반차 제공
명절 선물 제공
Family DAY(월 1회, 조기 퇴근)
야근 없는 날(매주 수요일)

더캐리 배테랑 양성
직책수당 지급
장기근속자 리프레시 휴가(매 3년, 휴가 및 휴가비 지급)
장기근속자 포상(매 5년마다 포상)
장기근속자 안식원(매 7년마다 부여)

근무여건
한강진역 도보 7분
기본 09:30~18:30(시차출근제 운영)
각 층별 라운지 운영(음료 및 다과제공)
개인 노트북 지급(직무별 일부 상이)

경조사 지원
경조휴가 및 경조사비 지원

",서울특별시 용산구 이태원로 241, 대학교4년 졸업 과장대리급48년 경영기획 경험 4년 이상 분석적 사고  키즈 및 주니어 패션 경력자 우대 주주 관련 업무 경험,628
(주)뮤즈라이브,정규직,"['인사', '재무', '회계', '결산', '경영', '경영관리', '경영기획']","뮤즈라이브는 키트앨범(키노앨범)을 제작하는 회사입니다.

저희가 만드는 앨범은 일반 CD가 아니라,

스마트폰에서 구동되는 음악 앨범입니다.

2023년 현재 키트앨범 누적 530만개 판매를 돌파하였고, 매년 급성장하고 있습니다.

현재 SM 엔터테인먼트 및 굴지의 기획사들과 함께 새로운 앨범을 만들고 있고,

해외 유니버셜 뮤직 그룹 등 여러 기획사들과 앨범 출시를 협의 중에 있습니다.

저희는 미디어 산업을 혁신시킬 다양한 생각들을 가지고 있습니다.

뮤즈라이브는 회사와 팀원의 급격한 성장을 목표로 합니다.

저희와 함께 세상의 변화를 이끄실 분을 찾습니다.", 매출매입관리 회계 결산 등 재무  회계업무자체기장 하지 않고 숙련된 세무대리인 협력중 정부지원사업 관련 업무 인사 관련 업무 및 계약서 관리 비품 및 사무용품 구매 및 관리,"* 채용 절차
서류전형 → 기술면접 / 경영진 면접 → 처우 협의 → 입사

* 지원방법
- 잡플래닛 입사지원
- 제출서류 : 자유양식의 국문 이력서 및 자기소개서","• 근무지 : 서울시 마포구 상암동
• 간식 무한 제공, 고급 커피 제공
• 10시 출근, 7시 퇴근
• 식비 전액 지원
• 종합 건강 검진 제공 
• 도서 구매비 지원
• 생일자 반차 및 상품권 지급
• 업무 관련 도서 및 인강 구매 지원","서울 마포구 월드컵북로56길 19, 10층 (상암동,드림타워)", 신입 및 2년이하 실무경력이 있으신 분 꼼꼼하고 자기주도적인 업무 태도를 가지신 분 커뮤니케이션 스킬이 우수하신 분 스타트업 경험이 있으신 분 IT업계 경력자 우대 더존 프로그램 사용 경험자 우대 정부지원사업 관리 경력 우대 KPop을 좋아하시는 분,629
(주)플러그링크,정규직,"['시설관리', '파트너관리', '사업기획', '조직관리', '대외협력', '서비스운영', '콜센터 시스템관리', 'VOC대응']","플러그링크(PLUGLINK)는
전기차 충전기의 플러그(Plug)로 사람과 세상을 연결(Link)하겠다는 뜻을 담고 있습니다.
빠르게 성장하는 전기차 시장에 발맞춰 에너지 금융으로 안정적인 인프라를 보급하고 있으며,
고객 경험을 실현하는 IT 기술로 전기차 충전을 사용자 경험 중심의 영역으로 확장하고 있습니다.
플러그링크는 전기차에 충전기를 연결하는 행위를 넘어
충전을 기다리는 시간과 공간도 함께 고민하는 일상을 바꾸는 전기차 충전 플랫폼입니다.
", 전기차 충전 사업 운영 조직 리드 정기 점검 및 현장 이슈 대응 등 전국 단위 충전 시설 충전 공간 관리 충전기 운영데이터 모니터링 및 분석을 통한 이용률 증진 장애 예방운영 효율성 증진을 위한 파트너쉽 IT 서비스 도입 등 운영 개선 PJT 수행대고객 커뮤니케이션 및 CX 정책 수립운영콜센터 및 현장 대응 파트너사 관리,서류심사-1차 인터뷰-2차 인터뷰(생략가능)-최종합격,"연금보험 국민연금, 고용보험, 산재보험, 건강보험
휴무 휴가행사 주5일제 연차제도, 반차제도, 창립일 휴무
보상수당·지원 자기개발지원
사내시설 휴식공간, 카페테리아
편의 여가건강저녁 식사 지원
","서울 강남구 강남대로 318, 2층 (역삼동,타워837빌딩)",전국 단위로 산재한 시설 또는 실물자산을 이용한 서비스 운영 경험을 보유하신 분데이터에 기반하여 문제를 파악하고 운영에 적합한 지표를 도출하여 서비스 품질 향상을 주도적으로 수행해 보신 분VoC에 기반하여 신속하게 운영 이슈를 대응하거나 사용자 관점으로 이용 경험을 향상시킨 이력을 보유하신 분 대내외 조직 및 기관과 적극적인 협업을 수행하고 파트너사를 관리한 경험을 보유하신 분동료 간 수평적인 구조를 중시하고 의견을 표현하는데 주저함이 없으며 다양한 팀과의 협업을 위한 커뮤니케이션이 원활하신 분 5인 이상 조직에서 조직인력 관리 미션 관리 구성원 피드백 등 리더 경험을 보유하신 분새로운 시도와 실패를 두려워하지 않는 도전적인 성격을 지니신 분 전기차 충전 서비스 운영 관련 경험을 보유하신 분모빌리티 또는 신재생에너지 관련 인더스트리에서 서비스 운영 관련 경험을 보유하신 분전기공학 관련 전공 또는 전기기사 등 관련 자격증을 보유하신 분조직 신설 경험 및 주니어 육성 관련 경험을 보유하신 분창업 혹은 스타트업 관련 커리어를 보유하신 분,630
(주)제니엘,정규직,"['데이터분석', '경영기획', '사업계획수립', '보고서 작성', '사업분석', '중장기전략수립', '회의기획']",,사업계획 수립 및 운영사업분석 및 중장기 사업전략 수립정기 그룹사 회의 운영경영기획 관한 전반 업무,"서류전형-1차 실무자면접-2차 임원면접-최종합격

ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.
ㆍ국가등록장애인 및 국가보훈 대상자는 관련 법령 및 내부 규정에 의하여 우대합니다.
   (장애인등록증, 취업지원대상자 등 관련 서류 제출 필수)

ㆍ채용과정에서 일부 서류를 직접 제출하는 경우 다음과 같이 해당 서류를 반환해드리고 있으니 참고바랍니다.
ㆍ반환서류 : 채용과정에서 직접 제출하신 각종 서류 및 자료 일체(단, 전자우편 제출서류는 제외)
ㆍ반환가능기간 : 최종합격자 발표 이후 180일 이내(보관기간 180일이 초과된 채용 관련 서류는 모두 파기)
서류전형-1차 실무자면접-2차 임원면접-최종합격

ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.
ㆍ국가등록장애인 및 국가보훈 대상자는 관련 법령 및 내부 규정에 의하여 우대합니다.
   (장애인등록증, 취업지원대상자 등 관련 서류 제출 필수)

ㆍ채용과정에서 일부 서류를 직접 제출하는 경우 다음과 같이 해당 서류를 반환해드리고 있으니 참고바랍니다.
ㆍ반환서류 : 채용과정에서 직접 제출하신 각종 서류 및 자료 일체(단, 전자우편 제출서류는 제외)
ㆍ반환가능기간 : 최종합격자 발표 이후 180일 이내(보관기간 180일이 초과된 채용 관련 서류는 모두 파기)
ㆍ반환신청방법 : 해당 채용공고 담당자(인사팀 02-580-0141)에게 신청 문의
","지원금/보험 건강검진, 직원대출제도, 각종 경조사 지원, 업무활동비 지급, 선택적복리후생, 자녀학자금
급여제도 퇴직연금, 상여금, 장기근속자 포상, 우수사원포상, 퇴직금, 야근수당, 연차수당, 직책수당, 장기근속수당, 가족수당, 4대 보험 
선물 명절선물/귀향비, 생일선물/파티
교육/생활 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 해외연수지원, 멘토링제도, 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 사우회(경조사회), 식비 지원, 음료제공(차, 커피)
근무 환경 회의실, 공기청정기, 카페테리아, 노트북, 콘도/리조트 이용권, 사무용품 지급
조직문화 노조/노사협의회, 회식강요 안함, 야근강요 안함
리프레시 연차, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가, 보건휴가, 휴양시설 제공
",서울 서초구 효령로 402 제니엘빌딩,해당 유사 경력 최소 2년 이상 MS OFFICE  활용능력 우수자기업 경영기획 관련 업무 경험자보고서 작성 능력 우수자계획수립 및 분석 문제해결 능력 우수자,631
(주)초원지역전략연구소,정규직,"['교육기획', '사업계획수립', '보고서 작성', 'MS Office', '경영컨설팅', '자료조사', '시스템구축', '교육계획수립']",,지자체 농업농촌 분야 사업 계획 수립 및 컨설팅농업경영체농협 영농조합법인 농업회사법인 등 사업계획 수립 및 컨설팅발식량작물 공동경영체 육성 컨설팅 및 농가 교육 진행학교급식로컬푸드직거래장터 기획생산체계 구축로컬푸드 직매장장터 개설 및 운영 컨설팅자료조사 및 수집 자료 정리교육계획 및 현장 진행사업계획 수립 및 컨설팅 업무 지원결과정산보고서 작성,"서류전형-면접진형-최종합격

ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.","지원금/보험 건강검진, 각종 경조사 지원, 본인학자금
급여제도 우수사원포상, 퇴직금, 장기근속수당
선물 명절선물/귀향비, 생일선물/파티, 장기근속 선물
교육/생활 창립일행사, 워크샵, 교육비 지원, 자기계발비 지원, 점심식사 제공, 간식 제공, 음료제공(차, 커피), 해외 워크샵
리프레시 연차, 여름휴가, 반차, 근로자의 날 휴무, 휴가비지원
",경기 안양시 동안구 벌말로 126 오비즈타워 1503호,대졸이상 석사동종업계 경력 2년 이상현장진행경험자교육 및 견학 연수진행MSoffice 활용운전가능,632
(주)플러그링크,정규직,"['사업계획', '신규사업기획', '재무분석', '계약서 검토', '법인설립', '투자관리', '펀딩']","플러그링크(PLUGLINK)는
전기차 충전기의 플러그(Plug)로 사람과 세상을 연결(Link)하겠다는 뜻을 담고 있습니다.
빠르게 성장하는 전기차 시장에 발맞춰 에너지 금융으로 안정적인 인프라를 보급하고 있으며, 고객 경험을 실현하는 IT 기술로 전기차 충전을 사용자 경험 중심의 영역으로 확장하고 있습니다
플러그링크는 전기차에 충전기를 연결하는 행위를 넘어
충전을 기다리는 시간과 공간도 함께 고민하는 일상을 바꾸는 전기차 충전 플랫폼입니다", 글로벌 투자사들과 전기차 충전 태양광 풍력 등 친환경에너지 프로젝트의 금융구조 최적화를 위한 사업계획 재무  모델 구축 펀딩 전략 및 집행안 마련대출약정서 임대차계약 양수도 계약 EPCOM 계약 등을 포함한 관련 계약 검토협의 및 관리 투자 합작법인 설립 투자 이후 자금 출금 및 인출 자산관리 투자자 보고 등 어드민 업무 신규 투자 유치 및 투자자 대응,서류심사-1차인터뷰-2차인터뷰(생략가능)-최종합격,,"서울 강남구 강남대로 318, 2층 (역삼동,타워837빌딩)", 재무 회계에 대한 기초적인 지식을 보유하신 분 새로운 시도와 실패를 두려워하지 않는 도전적인 정신을 보유하신 분 다양한 관계부서와의 커뮤니케이션에 능통하신 분 MS Office PowerPoint Excel Word 활용 중상급 이상이신 분금융기관컨설팅 회계법인 관련 경험이 있으신 분 발전 에너지 등 인프라 자산 투자 경험이 있으신 분 영어가 능통하신 분,633
(주)플러그링크,정규직,"['분석', '보고서 작성', '운영기획', '모니터링', '문제해결능력']","플러그링크(PLUGLINK)는
전기차 충전기의 플러그(Plug)로 사람과 세상을 연결(Link)하겠다는 뜻을 담고 있습니다.
빠르게 성장하는 전기차 시장에 발맞춰 에너지 금융으로 안정적인 인프라를 보급하고 있으며, 고객 경험을 실현하는 IT 기술로 전기차 충전을 사용자 경험 중심의 영역으로 확장하고 있습니다
플러그링크는 전기차에 충전기를 연결하는 행위를 넘어
충전을 기다리는 시간과 공간도 함께 고민하는 일상을 바꾸는 전기차 충전 플랫폼입니다
",전기차 충전기의 운영데이터 모니터링 및 분석 전기차 충전기 운영문제 해결 및 재발 방지전기차 충전기 운영보고서 작성운영 업무의 효율성을 높이기 위한 방안 제시,서류심사-1차인터뷰-2차인터뷰(생략가능)-최종합격,,"서울 강남구 강남대로 318, 2층 (역삼동,타워837빌딩)",데이터에 기반하여 문제를 파악하고 지표를 개선한 경험이 있으신 분 사용자 관점으로 충전경험에서 발생하는 불편함의 원인을 고민하고 답을 찾기 위해 노력하시는 분 Excel 활용 능력이 중상급 이상이신 분동료 간 수평적인 구조를 중시하고 의견을 표현하는데 주저함이 없으며 다양한 팀과의 협업을 위한 커뮤니케이션이 원활하신 분새로운 시도와 실패를 두려워하지 않는 도전적인 성격을 지니신 분CX 개발자 디자이너 등 협업 부서와의 커뮤니케이션에 능통하신 분전기자동차 및 충전 관련 유사업무 경험이 있으신 분디바이스를 활용한 서비스나 IoT 기반 서비스 BM에 대한 이해도가 높으신 분창업 혹은 스타트업에서 근무한 경험이 있으신 분,634
디엑스앤브이엑스(주),정규직,"['사업계획', '시장조사', '매출관리', '경영기획', '손익분석', '사업전략수립', '신상품기획']",,채용직급  차부장급 1명 분야 컨슈머 및 헬스케어 비즈니스 전사 영업 사업전략 기획 및 현황 분석 단기 중장기 계획 수립 및 관리 사업 전략 수립 신규 사업 발굴 타당성 분석 경영성과 및 실적관리 매출 관리 손익 분석 사업 계획 단기 중장기 계획 수립 및 관리 신규 상품 기획 및 출시 주요 사업 제휴 및 기술 파트너 발굴 경쟁사 분석 및 시장 조사 국내외 시장 및 트렌드 조사 분석,,,"서울 금천구 디지털로 173, 10층 1003호",학력  대졸 이상 4년경력  업무 경력 10년 이상어학  영어회화 가능자 경영 및 상경계열 전공 해외대학 졸업자 재무 회계 관련 기본 지식 신규 사업 경험 기획부터 런칭까지 전략기획 신사업 개발 및 검토 관련 경험 데이터 분석 및 OA 활용 능력 우수,635
(주)알파브라더스,계약직 (정규직 전환 가능),"['기획', '분석', '엑셀', '컨설팅', '데이터분석', '시장조사', '사업기획', '시장분석', '사업계획서 작성']","알파브라더스
We Build Company - 알파브라더스는 컴퍼니 빌딩형 액셀러레이터입니다
💰 투자실적 : 2020년부터 누적 21.7억원
👩‍👧‍👦 사내벤처 실적 : 2020년부터 매해 1개 사내벤처 창업
🏛️ 정부 연계 액셀러레이팅 : 2022년부터 매해 평균 3개 용역 실행

알파브라더스는 초기기업을 대상으로 투자하는 액셀러레이터이며, 그 중에서도 단순 자금지원에서 그치지 않고 실무인력까지 지원하는 ACTIVE 액셀러에이터입니다 🚀

💰 투자 : 유망한 기업을 발굴하고 기업가치 증대를 위한 직접투자와 후속투자 연계를 지원합니다.
👨‍🏫 사업기획 컨설팅 : 기업들의 자금확보와 매출증대를 위한 사업기획 및 BM 진단 컨설팅을 제공합니다.
🎨 디자인 서비스 : 발굴된 기업들을 대상으로 사업에 필요한 디자인 서비스 전반을 제공합니다. (기업 토탈 브랜딩, 그래픽 디자인, UXUI, 사진/영상 촬영 등)
📢 마케팅 서비스 : 발굴된 기업들의 매출증대를 위한 온라인 마케팅 전반을 지원합니다.",알파브라더스 사업기획자로 합류하시면 더피팀 소속으로 다음과 같은 일을 합니다 설계 정산 업무 FU 및 대형 PJT 관리 정부지원사업 관련 기업 상담 및 영업지원 업무 정부지원사업 신청 매뉴얼 제작 및 실무 진행사항 체크 클라이언트 커뮤니케이션 및 매니징,"[서류전형]
- 상시채용으로 진행되며, 이력서를 검토하는 대로 합격, 불합격 상관 없이 모든 지원자 분께 서류전형 결과를 발표합니다.
ㆍ 이력서와 자기소개서 제출(필수)
ㆍ 지원한 이유와 지원 직무관련 경험 및 보유 역량관련 내용을 지원서에 포함해 주세요. (제출시 서류 검토를 더 빠르게 진행할 수 있습니다!)

[과제]
- 과제는 인터뷰 일정 1일 전까지, 진행 후 전달해주시기 바랍니다.

[실무 면접 - Skill Set Interview]
- 이력서, 자기소개서, 포트폴리오를 중심으로 이야기 하되, 본인의 핵심 스킬셋이 무엇인지 왜 그렇게 생각하는지에 대해 여러 경험을 함께 소통하는 자리입니다.

★ 서류 접수 및 포트폴리오 제출 → 과제 → 실무 면접 → 처우협의 → 최종합격
※ 경우에 따라 1차 면접부터 실무진이 참여할 수 있습니다.
※ 면접일정은 추후 통보됩니다.
※ 포트폴리오 및 경력기술서 첨부 (유경험자 필수 제출 - 여러 디자인 업무 경험해보신 분 / 신입은 해당 X)
※ 파일크기가 5MB를 넘는 경우 서류 접수 시 ZIP파일로 첨부하여 제출
※ 포지션에 따라 사전 과제가 있을 수 있습니다.

[참고사항]
※ 면접 장소 : 본사 회의실 내 대면 면접 진행
※ 면접 시 필요 서류 : 이력서 및 포트폴리오
※ 최종 합격시 개별 연락으로 안내합니다.
※ 계약직(6개월) 이후 정규직 전환을 진행합니다. (수습기간 X)

[회사 위치]
서울시 강서구 공항대로 45길 71, 3,8층 / 서울시 강서구 공항대로 45길 75, 5층","알파브라더스는 구성원들이 최고의 퍼포먼스를 낼 수 있도록 다양한 복리후생 프로그램을 제공하며, 더 좋은 근무환경을
만들기 위해 지속적으로 발전하고 있습니다.

[문화 - 알파브라더스의 Work Culture]
1. 시차출퇴근제 - 오전 8시 - 11시 사이 자유로운 출근 (출근길에 더 이상 뛰지 마세요!)
2. 코어 타임을 활용한 유연근무제 운영 - 일 기본 8시간 근무, 월-목 연장근무 시 금요일 조기퇴근 가능 (코어타임 11 - 16시)
3. 1대1 미팅을 통한 지속적으로 업무 성과 및 성장에 대해 회고 및 피드백 제공
4. 재택근무제 - 하고 싶은 곳에서 해요! (3개월 이상 근무 시 재택근무 신청 가능)
5. 투명하게 정보를 공유하고 합리적으로 소통
ㆍ오픈 커뮤니케이션 추구, 다양한 소통 창구 보유
ㆍ노션 및 하이웍스를 통한 전체 정보 공유 (전사 근무일지 및 휴가캘린더)
6. 수평적 소통 문화 (인턴도 대표도 모두 다 '님'으로 통일!)
7. 신입사원을 위한 온보딩 교육 (적응을 충분히 잘할 수 있도록 최선을 다해 도와드려요!)
8. 복장 제한 X (패션의 자유로움 존중)
9. 1초도 집중하기 업무공간, 임직원들을 위한 스마트 워크부스 제공
10. 하이브리드 회의를 위한 깔끔한 회의실 제공 (최신 프로젝션 및 티비 보유)

[복지 - MZ세대들을 위한 '젊은 복지']
1. 쾌적한 업무 공간 지원
ㆍ카페/라운지/테라스 보유
ㆍ카페테리아 제공 (1일 1잔의 커피 혹은 티 제공)
2. 업계 최고 수준의 장비 제공 (직무에 따라 상이)
3. 직무 관련 교육 및 자기개발 비용 적극 지원 (온/오프라인 강의, 도서, 세미나 등)
4. 다양하고 맛있는 간식 사먹을 수 있는 개인 복지 카드 제공
5. 눈치없는 자유로운 연차 사용 (반차, 연차, 장기 연차 - 9박10일까지)
6. 생일자 생일선물, 경조휴가/경조금/경조물품 지원
7. 명절선물 지급 (백화점 상품권 지급)
8. 웰컴키트 제공
9. 소통과 교류를 위한 지원
ㆍ매달 팀별로 사용할 수 있는 복리후생비를 제공
10. 야근시 석식 및 택시비 지원해드려요! (11시 이후는 안전 귀가를 위해 택시를 타요!)
11. 중소기업취업청년소득세감면, 중기청 대출, 국가 연계지원 등 자격요건에 맞을 경우 지원
12. 임직원 스트레스 해소를 위한 사내 고충상담 운영 
13. 업무하다 지친 임직원들을 위해 안마의자 보유","서울시 강서구 공항대로45길 71, 3층(등촌동, 씨에치빌딩)",필수 마인드셋  이런 분과 함께 하고 싶어요 본인과 본인이 소속된 팀의 성장을 최우선으로 생각하시는 분 고민할 시간에 움직이시는 분 자유로운 문화 속에서 자기가 맡은 일에 책임감있게 일하시는 분 서비스 마인드를 가지고 클라이언트 및 팀구성원들이 겪고 있는 문제를 빠르게 파악하고 해결하려는 의지를 가지신 분필수 스킬셋 한컴오피스 MS365 노션 등 OA 툴 사용가능한 분  내외부 고객과 명확한 커뮤니케이션이 가능하신 분 다양한 프로젝트 관리 경험이 있으신 분우대 스킬셋 정부지원사업 및 관련 유관기관 근무경력이 있으신 분 정부지원사업 수혜 경험이 있으신 분  스타트업 또는 대기업 관련 업무 경험을 보유한 분 위 조건이 없어도 열정으로 가득차신 분,636
(주)버핏서울,정규직,"['기획', '영업기획', '서비스기획', '사업관리', '전략기획', '사업기획', '사업개발']",,오프라인 비즈니스에 대한 높은 이해도를 바탕으로 사업 전반의 영역을 지원  관리하여 사업 확장에 기여합니다Business 지표 관리 Sales Service Customer data VOC채용 및 운영 주도 채용 보상 교육지점 표준 메뉴얼 제작 및 관리Busienss 정책 수립 및 관리지점 Contents 및 온오프라인 마케팅 운영관리,"서류전형 - 1차 인터뷰 - 2차 인터뷰 - 최종합격
서면인터뷰, 과제가 추가로 부여될 수 있습니다.","-업무용 노트북 지급
-팀버핏 트레이닝 무료 수강
-버핏그라운드 지점 무료 이용
-1:1 PT 및 버핏그라운드 입점 업체 운동 상품(골프/필라테스/요가 등) 이용 할인
-지인 패밀리 할인 쿠폰 발급
-업무 역량 강화를 위한 교육 및 도서 구입비 지원
-건강검진 비용 지원
-장기근속자 포상 휴가 및 휴가비 지원","서울 강남구 논현로 336, 3층",5년 이상 오프라인 비즈니스 관리자 경험스타트업 기획 전략 경험 보유조직 리딩 경험 보유문제 해결 역량오프라인 비즈니스 구조에 대한 높은 이해도Sales와 Management 영역 전반의 폭넓은 경험MS Office 활용 역량 우수Communication 역량 우수,637
