회사명,고용 형태,스킬,기업 소개,주요 업무,자격 요건,우대 사항,채용 절차,복리후생,회사위치,직무_lv1,직무_lv2,자격요건 및 우대사항,index
(주)아우라제이,정규직,"['엑셀', 'CS']","인터넷쇼핑몰 16년차의 탄탄한 회사입니다.
명품 쇼핑몰 오히메를 운영하고 있습니다.",주문수집쇼핑몰 관리배송및 전화상담반품업무재고관리,"성별 : 여자
연령 : 20세 이상 ~ 45세 이하
학력 : 대학(2,3년제) 졸업
우대조건 : 컴퓨터활용가능,포토샵가능,일러스트가능,인근거주",사방넷 유경험자 / 셀메이트 유경험자 우대,온라인 서류 지원 - 면접 후 채용,"국민연금,고용보험,산재보험,건강보험,연차,월차,인센티브제,정기보너스,퇴직금,장기근속자 포상,연월차수당,명절 귀향비 지급,각종 경조금","서울 강남구 논현로16길 11, 3층","['서비스/고객지원', '유통/무역']","['고객지원/CS', '구매/자재/재고']",성별  여자연령  20세 이상  45세 이하학력  대학23년제 졸업우대조건  컴퓨터활용가능포토샵가능일러스트가능인근거주사방넷 유경험자  셀메이트 유경험자 우대,881
(주)멸치,정규직,"['자재구매', '구매관리', '계약관리', '신상품기획']","주)멸치는 2020년에 설립된 회사로 자본금 5,290만원, 매출액 110억 9,003만원, 사원수 120명 규모의 중소기업입니다. 서울 송파구 마 천로 146 (오금동)에 위치하고 있으며, 오픈마켓 멸치쇼핑, 영상 편집 플랫폼 '멸치' 배달 플랫폼 공공배달사업을 하고 있습니다.
",반려용품 구매업무신상품 발굴핵심역량협동심 창의성 계획성 적응성 성실성 성취지향성 꼼꼼함,"학력 : 학력무관
경력 : 경력3년↑","문서작성 우수자
컴퓨터활용능력 우수자
인근거주자","서류전형 > 1차면접>2차면접 > 최종합격

면접일정은 추후 통보됩니다.
허위사실이 발견될 경우 채용이 취소될 수 있습니다.","복리후생 연금보험
국민연금, 고용보험, 산재보험, 건강보험
휴무·휴가행사 주5일제 연자제도, 반자제도, 리프레시 휴가, 출산휴가, 육아휴직
보상수당·지원 퇴직금, 경조금, 우수사원 포상제도, 주차 지원, 야간교통비 지급, 도서 구입비 지원 휴가비
사내시설 휴식공간, 주차장
편의여가건강 건강검진, 저녁 식사 지원","서울 송파구 마천로 146, 2층, 3층",['유통/무역'],['구매/자재/재고'],학력  학력무관경력  경력3년문서작성 우수자컴퓨터활용능력 우수자인근거주자,1014
(주)지바이크,정규직,"['구매관리', '계약관리', '구매기획', '업체관리', '해외구매', '리스크관리', '해외소싱', '수요예측', '공급사관리', '외국어능력']","대한민국 No.1
지바이크는 100개 도시에서 전동킥보드 공유서비스 ‘지쿠터’를 운영하는 
아시아 No.1 모빌리티 스타트업입니다. 최근 동 분야 최대규모로 Series-B 투자를 마무리했습니다.

성장 No.1
지바이크는 매년 약 4배씩 성장중이며 서비스 지역 1위, 매출 1위, MAU 1위, 성장속도 1위 등 수치적 성과 뿐만 아니라, 플랫폼 서비스 최초 도입, 기기 국산화 최초 성공, 운영의 100% 내재화 등 다양한 혁신을 통해 시장을 선도하고 있습니다.

혁신 No.1
지바이크는 생활 밀착형 플랫폼을 지향합니다. 탑승과 기기 관리에 최적화된 서비스를 만들어 온 지바이크는 이제 고객들이 찾는 역세권(G세권)을 만들고, 사람과 장소를 연결하는 온라인-오프라인 연계 플랫폼 구축을 목표로 하고 있습니다.

빠르게 변화하는 공유 모빌리티 시장에서 지쿠터의 더 큰 도약을 위한 여정을 함께 할 동료를 찾습니다.", 구매 품목에 대한 리드타임 비용 및 품질에 대해 공급업체와 협상을 포함한 모든 구매 활동 각 품목별 효과적인 수요 예측 시스템 설계 및 운영 거래조건가격 품질 리드타임 MOQ 등 협의 계약 납품 유지보수 등 공급업체 관리 품목별 경쟁력 있는 신규 공급사 발굴 원가 변동 공급 중단 등 공급망 리스크 대비 구매 과정에서 발생하는 다양한 이슈 해결,"• 해외 구매 및 소싱 관련 경력을 가지신 분(1년 이상) 
• 외국어에 능통하신 분(영어 혹은 중국어, Speaking & Writing 유창하신 분)
• 목표 지향적인 사고방식을 가진 분
• 강한 책임감과 긍정적인 사고방식을 가진 분
• 공급사와 협상에 능하고, 논리적으로 의사소통이 가능하신 분
• MS Office (Excel) 상급 역량을 보유하신 분","• 원만한 커뮤니케이션 스킬과 협상력을 가지신 분
• 다양한 공급사(제조사, 원부자재 공급사)를 주기적으로 평가, 관리해 본 경험이 풍부하신 분
• 구매 전략 수립 및 지표 중심으로 해결한 경험을 가지신 분
• 스타트업에 대한 이해도가 높은 분",,"• 영어이름으로 실현하는 수평적 조직문화!
  지쿠터엔 직위 직급 없이 영문 닉네임으로 존칭합니다.

• 화려한 장비가 나를 감싸고!
  맥북 프로 및 와이드 모니터 등 직무에 필요한 개인장비를 제공해요.

• 자유로운 환경에서 샘솟는 업무열정!
  딱딱한 복장은 No! 딱딱한 근무시간도 No!
  자유로운 복장과 시간 선택제 근무, 재택근무 제도가 편안한 업무환경을 보장합니다.

•  열심히 일한 그대, 리프레쉬는 자유!
  연차, 반차, 반반차까지 자유롭게 사용할 수 있습니다.

• 이왕 쉬는 거 좋은 곳에서 쉬겠습니다!
  편안한 휴식을 위해 법인 콘도 회원권을 통해 휴양시설을 지원합니다.
  전국 주요 호텔 및 리조트와 제휴를 통해 저렴하게 이용할 수 있도록 지원합니다.

• 그대는 일에 집중! 배고픔은 우리가 챙겨드릴게요!
  식대 제공과 더불어, 다양한 간식과 음료가 가득한 스낵바가 있습니다.

• 지쿠터와 바람만 있으면 어디든 갈 수 있어
  지바이크 직원이라면 무료로 지쿠터를 이용할 수 있습니다.
  더워지는 여름, 출퇴근길 땀냄새와 함께 가지말고 지쿠터로 슝!

• 일만 해선 우리사이 친해질 수 없잖아요!
  업무 외에도 동료 간 단합과 리프레쉬를 위해, 조기퇴근과 함께하는 사내 동호회 활동을 지원합니다.

• 기쁨도 슬픔도 우리 함께해요.
  설/추석 명절, 생일, 결혼기념일 등에 경조금, 경조휴가 지급됩니다. 

• 근로기준법은 당연히 지키기로 약속!
  4대보험, 퇴직연금, 연차 제공, 휴게시간 제공 등 권리를 누리세요.

• 나도 지쿠터 사업자!
  내 직장이 곧 황금알을 낳는 거위, 지쿠터에 투자해 수익을 공유할 기회가 있어요.",서울,['유통/무역'],['구매/자재/재고'], 해외 구매 및 소싱 관련 경력을 가지신 분1년 이상  외국어에 능통하신 분영어 혹은 중국어 Speaking  Writing 유창하신 분 목표 지향적인 사고방식을 가진 분 강한 책임감과 긍정적인 사고방식을 가진 분 공급사와 협상에 능하고 논리적으로 의사소통이 가능하신 분 MS Office Excel 상급 역량을 보유하신 분 원만한 커뮤니케이션 스킬과 협상력을 가지신 분 다양한 공급사제조사 원부자재 공급사를 주기적으로 평가 관리해 본 경험이 풍부하신 분 구매 전략 수립 및 지표 중심으로 해결한 경험을 가지신 분 스타트업에 대한 이해도가 높은 분,1015
(주)골든하인드,정규직,"['자재구매', '수출', '재고관리', '물류사무', '협력업체관리', '구매업무', '관세환급', '문제해결능력', '클레임관리', '구매원가']","· 회사 소개
골든하인드는 성과와 노력에 보상을 아끼지 않는다는 방침으로 글로벌 F&B 브랜드의 다양한 인재를 찾고 있으며, 프리미엄 에그 샌드위치 브랜드인 에그드랍(EGGDROP), 프리미엄 수제버거 전문점 세인트그릴(SAINTGRILL)을 운영하고 있습니다. 현재 에그드랍을 주력 사업으로 진행하며 백화점, 휴게소, 아울렛 등 다양한 유통사에 입점되어 있습니다. 일상의 수준을 높이는 한 끼를 만들자는 신념으로 미래 외식업을 함께 만들어 갈 인재를 찾고 있습니다.


· 수상 내역 및 성과
-독일 iF 디자인어워드 2022 본상 수상
-매일경제 100대 프랜차이즈 3년 연속 선정
-태국 글로벌 1호점 오픈, 추후 10호점까지 확장 예정
- 인천공항 제 1터미널점 오픈 4개월만에 누적 고객 10만 명 돌파


· 브랜드 소개
[Egg Makes Better. EGG DROP]
‘프리미엄 에그 샌드위치’라는 새로운 카테고리를 창조한 에그드랍은 완전 식품인 달걀에서 영감을 받아 시작됐습니다. A+ 등급의 계란과 신선한 재료로 만든 스크램블 에그를 중심으로 건강한 한 끼를 요리합니다. 2017년에 시작되어 현재 전국 200여개의 가맹점과 9개의 직영점, 태국 글로벌 1호점까지 오픈을 완료했습니다. 세계 3대 디자인 어워드 수상, 매일경제 100대 프랜차이즈 3년 연속 선정 등 맛과 브랜딩 모두를 만족시키는 브랜드로 자리매김하였습니다.

[Burger from Heaven. SAINTGRILL]
세인트그릴은 숯으로 채워진 그릴에 구워 훈향과 육즙이 가득한 패티를 즐길 수 있는 프리미엄 수제버거 브랜드입니다. 70년대 미국의 레트로 다이너를 담은 매장 인테리어와 맛을 구현하고 있으며, 24시간 운영으로 고객에게 언제든지 최고의 수제버거를 제공하고 있습니다. 현재 가로수길에 직영점을 운영하고 있습니다.", 통합 구매 업무 지원 식자재부자재포장재 구매 구매 원가 산출 등 협력 업체 커뮤니케이션 및 관리 품질 관리 외식식품 산업 트렌드 조사 및 보고서 작성 가맹점물류사 클레임 관리 클레임 데이터 분석 및 보고서 작성 문제 개선 도출 재고 파악 재고 관리 관세 환급수출 제품 관련 대응 업무 지원,"· 전공 무관, 신입~경력 3년차 
· F&B, 프랜차이즈, 식품 산업에 관심이 많고 이해도가 있는 분
· 밝고 원활한 커뮤니케이션이 가능한 분
· 보고서 작성 및 컴퓨터 활용 능력이 우수한 분
· 동종업계 구매 경력은 없어도 외식업으로 커리어 개발을 원하는 분","· 식자재, 식품 구매 경력을 보유하신 분(원·부재료/상품 구매 업무)
· 수출입, 관세에 대한 이해도가 있으신 분
· 비즈니스 영어가 가능하신 분",,"ㆍ자기개발비 지원 : 직무 관련 수강비, 자격증, 외국어 공부, 도서 구입 지원
ㆍ시차출퇴근제 운영 : 8-10시 자율 출근 / 17-19시 자율 퇴근
ㆍ헬스 케어 지원 : 임직원 및 가족 건강검진 할인 지원
ㆍ장기근속자 리프레시 휴가 및 휴가비 지원
ㆍ사내 전자도서관 운영
ㆍ생일 반차 및 상품권 지급
ㆍ커피 및 간식 지원
ㆍ경조사 휴가 및 경조사비 지원
ㆍ청년 소득세 감면, 전세자금 대출 등 중소기업 지원 정책",서울특별시 서초구 강남대로 311,['유통/무역'],"['구매/자재/재고', '물류/유통/운송']", 전공 무관 신입경력 3년차  FB 프랜차이즈 식품 산업에 관심이 많고 이해도가 있는 분 밝고 원활한 커뮤니케이션이 가능한 분 보고서 작성 및 컴퓨터 활용 능력이 우수한 분 동종업계 구매 경력은 없어도 외식업으로 커리어 개발을 원하는 분 식자재 식품 구매 경력을 보유하신 분원부재료상품 구매 업무 수출입 관세에 대한 이해도가 있으신 분 비즈니스 영어가 가능하신 분,1016
(주)세나테크코리아,정규직,"['구매관리', '매출분석', '배송관리', '주문관리', '발주관리', '공급사관리', '비즈니스 영어']","세계로 나아가는 세나테크코리아는
Mobile, Display, Mobility 분야의 어플리케이션 제품구현의 선구자로서 관련 금형기술과 축적된 노하우를 바탕으로
최고의 솔루션을 개발하여 최상의 품질을 제공하기 위하여 끊임없이 노력하고 있습니다.
글로벌 시장변화에 대하여 지속적으로 기술력을 혁신하고 고객에게는 신뢰를 제품에는 믿음을 드리는 기업
세나테크 코리아에 많은 지원 바랍니다.",인도법 관련 법인 구매 업무 담당공급자 평가 및 선정매출 예측 및 발주 계획 수립주문 접수 및 배송 관리구매 부문의 원활한 의사소통 및   협업 지원,"ㆍ기타제조업 분야에서의 관련 경력 보유자
ㆍ인도법에 대한 전문 지식과 경험
ㆍ커뮤니케이션 및 협업 능력
ㆍ문제 해결과 결정력 있는 업무처리 능력
ㆍMS Office(Excel, Word, PowerPoint)에 능숙한 자","ㆍ경영학 또는 인사관리 관련 학위 소지자
ㆍSAP 및 ERP 시스템 사용 경험
ㆍ글로벌 업무 경험
ㆍ구매 협상 및 계약 관련 업무 경험
ㆍ비즈니스 영어 능통자",서류전형-1차 면접-최종합격,"건강검진 및 국민연금
경조금 및 경조사례 제공
주 40시간 근무 및 플렉시타임 시행
업무성과에 따른 보너스 및 인센티브
국내외 업무 연수 및 출장 기회 제공

","경기 안산시 단원구 해안로213번길 45, 반월공단",['유통/무역'],['구매/자재/재고'],기타제조업 분야에서의 관련 경력 보유자인도법에 대한 전문 지식과 경험커뮤니케이션 및 협업 능력문제 해결과 결정력 있는 업무처리 능력MS OfficeExcel Word PowerPoint에 능숙한 자경영학 또는 인사관리 관련 학위 소지자SAP 및 ERP 시스템 사용 경험글로벌 업무 경험구매 협상 및 계약 관련 업무 경험비즈니스 영어 능통자,1020
신성통상(주),정규직,"['품질관리', '자재구매', '원가관리', '협력업체관리', '업체소싱', '바이어발굴', '원가기획']",, 미주바이어 수출원단 관련 전반적인 구매업무 원단 업체 소싱 및 디벨롭국내해외 원단 구매 및 원단 관련 이슈 모니터링 및 서류 추적관리 원단생산 협력업체와 의사소통 원단원가비딩개발기획품질관리,"• 학력: 학사 이상
• 경력: 4년이하 (경력 1년이상 必/사원-대리급)

필요역량
• 미주바이어 수출오더 원단 관련 핸들링 및 소싱 경험자
• 기본적인 니트 or 우븐 원단 지식 보유자
• 외국어 사용 능통자 (영어/중국어) ※ 비지니스 회화가능 수준
• OA활용 우수자(엑셀/파워포인트)","• 섬유 관련 전공자
• 미주바이어 수출 오더 관련 업무 경험자
• 수출벤더/Fabric팀 경력자","서류전형-인적성 검사-1-2차 면접-채용확정

서류 합격여부에 상관없이 저형괄과는 개별 연락 드릴예정입니다
인적성 검사는 서류 합격자에 한해 시행 예정입니다
인적성 검사는 마이크/카메라 세팅이 필요없이 30분 내외로 소요됩니다","아침/음료는 신성에서
신성통상 자율주차
다양한 교육기회 부여/사내도서관
자사브랜드 할인
신성 한우데이
정시퇴근보장! 셧다운제",서울 강동구 풍성로63길 84,['유통/무역'],['구매/자재/재고'], 학력 학사 이상 경력 4년이하 경력 1년이상 必사원대리급필요역량 미주바이어 수출오더 원단 관련 핸들링 및 소싱 경험자 기본적인 니트 or 우븐 원단 지식 보유자 외국어 사용 능통자 영어중국어  비지니스 회화가능 수준 OA활용 우수자엑셀파워포인트 섬유 관련 전공자 미주바이어 수출 오더 관련 업무 경험자 수출벤더Fabric팀 경력자,1021
(주)엠로,정규직,"['구매', 'ERP', 'scm']","[국내 1위 AI기반 기업용 공급망관리 소프트웨어 전문 기업, 엠로]

엠로는 2000년 설립 이후 공급망관리 전 영역에 대한 full coverage 소프트웨어를 개발해 삼성, LG, 포스코, 현대차, SK, KT, 한화그룹 등 국내 대표 대기업뿐만 아니라 공기업, 금융기업 등에 공급하며 국내 공급망관리 소프트웨어 시장을 선도해오고 있습니다. 또한, 20여년 동안 공급망관리 분야에서 쌓아온 전문성을 바탕으로 지속적인 연구개발을 통해 인공지능, 머신러닝, 클라우드, 데이터 분석엔진, 고성능 검색엔진 등을 포함한 디지털 신기술을 내재화하여 기업의 디지털 혁신을 이끄는 다양한 소프트웨어를 개발 및 공급하고 있습니다.

특히, 2021년 특허를 받은 4건의 인공지능 기술을 바탕으로 Item Master Lifecycle 관리, 지능형 비용 분류 및 분석, 신규 모델 부품 원가 추천, 신규 프로젝트 최적 견적가 산정, 지능형 수요예측 및 재고관리, 기간별 최적 판매 가격 동적 예측 등 기업고객에게 가장 필요하고 실용적인 AI기반 디지털혁신 소프트웨어를 선보이며, 삼성전자, LG전자, LG화학, 에쓰오일, GS칼텍스, 현대자동차, 풀무원, 대상 등과 디지털 혁신 프로젝트를 진행해오고 있습니다.

엠로는 최고 경쟁력을 갖춘 전문성과 기술력을 바탕으로 국내 공급망관리 소프트웨어 시장 1위 기업을 넘어 세계를 움직이는 공급망관리 디지털 혁신 소프트웨어 Provider로 나아가고 있습니다.", IT 구매용역물품  계약 관리검수 소싱그룹 관리 월 마감 지원 등 SAP ERP MM 구매시스템 운영 파트너관리 체계 정비 및 운영,"• 학사(4년제 이상) 졸업자 및 유관 경력 5~10년이신 분
• 구매업무 경험 있으신 분
• SAP ERP(MM), 구매 시스템 경험이 있으신 분
• 파트너 관리 업무(IT업체 관리) 경험이 있으신 분
• 업체와의 협상/교섭 능력을 보유하신 분",• 구매업무 관련 자격증 우대,- 서류전형 - 1차면접(실무) - 2차면접(임원) - 처우협의 - 최종합격,"1. 年 2회 성과급 지급(PS/PI) 가능
2. 출/퇴근 교통비 지원(법인카드 사용)
3. 중식대 월 20만원 제공(법인카드 사용)
4. 직원대출제도(주택자금대출 및 생활안정자금 대출 지원)
5. 종합건강검진 지원
6. 장기근속 포상 (복지포인트 및 휴가 부여)
7. 경조지원/상조회 운영
8. 국내 콘도 이용 (소노리조트 및 제주도 별장)
9. 동호회 운영
10. 명절선물 및 생일선물
11. 멘토링 제도 (신입/경력)
12. 심리상담 서비스 운영
13. 교육지원(직무교육, 기본소양교육, 도서비)","서울 영등포구 당산로 41길 11, E동 5층 (당산로4가, 당산 SK V1센터)",['유통/무역'],"['구매/자재/재고', '프로젝트/자원개발']", 학사4년제 이상 졸업자 및 유관 경력 510년이신 분 구매업무 경험 있으신 분 SAP ERPMM 구매 시스템 경험이 있으신 분 파트너 관리 업무IT업체 관리 경험이 있으신 분 업체와의 협상교섭 능력을 보유하신 분 구매업무 관련 자격증 우대,1022
(주)엔젤로보틱스,정규직,"['자재관리', '재고관리', '창고관리', '수불관리', '실사']",, 자재 입출고 및 ERP 등록 자재 수불정리 및 재고 관리 어패럴 제작용 사급자재 관리 자재 창고관리 본사 및 외부 정기 재고실사 및 불용재고 관리 일반 상용품 및 소모품 구매 관리,"- 경력 : 3년 미만 (신입 가능)
- 미래 로봇산업에 대한 관심과 열정이 있으신 분","- 해당 직무 유경험자
- ERP(더존아이큐브) 유경험자
- 문석작성 우수자
- 운전가능자",,,"서울 성동구 성수이로22길 37, 1405호,1406호,1407호 (성수동2가,아크밸리)",['유통/무역'],['구매/자재/재고'], 경력  3년 미만 신입 가능 미래 로봇산업에 대한 관심과 열정이 있으신 분 해당 직무 유경험자 ERP더존아이큐브 유경험자 문석작성 우수자 운전가능자,1023
(주)애니캐스팅,정규직,"['자재관리', '입출고관리', '출고관리', '재고조사', '부자재구매']","회사의 핵심 리더로 성장할 인재를 모집합니다.
애니캐스팅은 LED 광학렌즈 분야에서 국내 1위를 점유하고 있고, 지난 20년간 광학렌즈를 국내 및 전세계에 수출하고 있는 자랑스런 대한민국의 기업입니다.
최근 반도체 접합 장비 상용화를 위하여 인재영입 및 투자를 하고 있습니다.
주요 고객은 국내 아모센스, 독일 노이뮬러, 미국 글린트 등 국내외 250개 이상의 LED 조명기업입니다.
다음의 분야에서 회사를 이끌어 나갈 분을 모시고자 합니다.",제품 출고 담당제품 입출고 기록출하계획 작성재고조사부자재 구매,"학력무관
신입, 경력 (년수무관)","출하관련 업무 경력 우대
자재관리 업무 경력 우대
구매업무 경력 우대","서류전형-1차 면접(서류전형 합격자에 한함)-2차 면접

이력서 : 희망연봉기재
자기소개서 : 관련 경력위주로 서술","급여제도: 퇴직금, 우수사원 포상
리프레시 : 연차, 여름휴가, 근로자의 날 휴무, 경조휴가제, 생일자 오후반차
지원 / 보험: 건강검진, 각종 경조사 지원, 4대보험, 명절선물, 중/석식 제공, 통근버스(진영 일대) 차랑 유류비 지원",서울 강서구 양천로 583 우림블루나인빌딩 16층,['유통/무역'],"['구매/자재/재고', '물류/유통/운송']",학력무관신입 경력 년수무관출하관련 업무 경력 우대자재관리 업무 경력 우대구매업무 경력 우대,1024
(주)제노스,정규직,"['바이오', '의료기기', '수입통관', '매입마감', '구매기획 원가절감 재고관리']","Vision 1 최고의 제품과 서비스
매년 매출의 약 20%를 R&D에 투자, 우수한 국내외 연구진 확보와 신제품 개발로
세계 최고의 제품을 준비하고 있습니다.

Vision 2 인류의 건강 증진
‘좋은 제품이 널리 쓰이게’하여 더 많은 수의 사람들이 제노스를 통해
건강을 유지할 수 있도록 세상에 기여합니다.

Vision 3 세계 최고의 의료기기 회사
많은 사람들의 ‘건강한 삶’을 도우며 세계 최고의 의료기기 제조사로 성장하겠습니다.",정기발주 기안BOM기반 원가 소요량 재고관리월분기별 구매계획 및 예산 수립협력업체 발굴 및 관리원가 절감 및 구매 프로세스 개선매입 마감업무수입통관업무 지원,"ㆍ의료기기 및 바이오, 전기전자 업계 구매 경력
ㆍ해외업체 구매 경력
ㆍTOEIC 600점 이상","ㆍ외국어 가능자 (영어 / 중국어)
ㆍ수입통관업무 경험자
ㆍOffice 문서 작업 및 프레젠테이션 우수자",서류전형-인성검사-실무면접-최종합격,"건강검진, 경조사지원
장기근속포상, 명절선물 및 상여, 월인센티브, 반기/연말성과급지급
신사옥, 주차장, 구내식당 및 카페테리아, 피트니스센터, 탁국장, 풋살장, 사내도서관, 근무복지급
경조휴가, 배우자출산휴가, 연차 외 유급 하계휴가
영업직 식대지원 및 차량유류대 법인카드 지급",경기도 수원시 영통구 창룡대로 256번길76(이의동)  덴티움 지식산업센터 12층(16229) ,['유통/무역'],['구매/자재/재고'],의료기기 및 바이오 전기전자 업계 구매 경력해외업체 구매 경력TOEIC 600점 이상외국어 가능자 영어  중국어수입통관업무 경험자Office 문서 작업 및 프레젠테이션 우수자,1025
