회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)오렌지풋볼네트워크,정규직,"['서비스기획', '웹기획', 'UI기획', 'UX기획', '사용자조사']","Orange Football Network는 
전세계 유소년들이 유럽 명문구단 코치들의 지식과 노하우에 접근할 수 있는
글로벌 스포츠 교육 콘텐츠 플랫폼 OFN 서비스입니다. 



맨유, 맨시티, 웨스트햄, 발렌시아 등 40여명의 유럽명문 구단의 코치분들과 함께 콘텐츠를 제작하고

2020년, 2021, 2022년 투자를 유치하며 빠르게 성장하고 있는 스타트업입니다. 




동종업계의 매각경험이 있는 대표와 경력자들이 모여 
글로벌 서비스를 런칭하고 60개국 이상의 유저들에게 좋은 반응을 얻고 있으며
올해 초부터는 유료화도 성공적으로 진행되고 있습니다. 


각 분야의 목소리가 합쳐지기 위해 
누구나 의견을 내고 논의하기에 편안한
수평적인 문화를 지향하고 있습니다. 
파트별 업무들이 주도적으로 계획되고 진행됩니다. 


회사와 함께 성장하며
글로벌 스포츠 시장에 센세이션을 만드실 분들!
함께 하시죠!", 앱웹기획UIUX 설계 서비스 정책 수립 협업을 통한 프로젝트 리딩 유저 데이터 분석 서비스 지표 분석 데이터경쟁사고객 피드백내외부 환경 분석을 통한 인사이트 도출 및 실행,,"• 지금이 합류하기 좋은 타이밍인 이유!


보통 초기 스타트업에서는 너무 작은 연봉과 너무 큰 리스크를 감수해야합니다. 
반대로 이미 성장한 회사에서는 
회사가 성장해도 개인에게 돌아가는 경제적인 보상은 매우 작거나 없는 경우가 많습니다. 

저희 오렌지풋볼은 Pre A 라운드 투자유치를 마무리하는 단계로
본격적인 성장을 앞두고 있는 단계입니다. 

스타트업이지만 연봉을 낮추지 않아도 되고 
스톡옵션을 통해 회사의 성장과 함께 
일반 회사에서는 생각하기 어려운 큰 보상을 가져갈 수 있는 단계입니다.
회사의 성장과정에서
연봉과 큰 보상을 함께 가져갈 수 있는 유일한 타이밍입니다. 

이미 업계에서 매각 경험이 있는 대표와 
각 분야 전문성있는 팀원들이 함께 하고 있습니다. 
본격적인 성장을 위해 각 파트에서 힘이 되어주실 분들을 모셔오고 있습니다. 





• 오렌지풋볼과 잘 맞는 분


자유로운 분위기에서
재미있게 일하는 걸 좋아하시는 분! 

누가 시키는 일보다는
주도적으로 일하고 싶으신 분! 

글로벌 시장의 수 많은 사람들에게
의미있는 일로
큰 꿈을 이뤄가실 분! 


지원해주세요!","서울 관악구 낙성대로4가길 5, 낙성벤처창업센터 낙성대동주민센터점 2층 2호", 겸손함 배려심 성장에 대한 욕심 재미있으신 분 글로벌 서비스에 관심있으신 분 축구 잘하시는 분 축구 좋아하시는 분 축구가 너무 싫지는 않으신 분,2634
(주)띵스파이어,정규직,"['사업관리', '프로젝트관리', 'pm', '솔루션', '프로젝트매니저', '기술기획', '소프트웨어개발', '프로젝트 기획', 'it개발', '외국어(영어)']",,사업관리기술기획IT 개발 역량,서류전형-임원면접-최종합격,"주5일근무
연차,반차,경조휴가
4대보험,퇴직금
각종 경조금 지원, 인센티브제, 장기근속자 포상, 성과급
건강검진
교육비 지원, 자기계발비 지원, 도서구입비 지원
국민연금, 고용보험, 건강보험, 퇴직연금
휴게실, 카페테리아, 사내정원
육아휴직, 노동절 휴무
워크샵/MT","서울 용산구 한강대로96길 27, 1층",학력  대졸이상경력  경력10년이상석사학위 수여자박사학위 수여자관련학과 전공자관련 자격증 보유자영어능통자원어민수준국가공공기관 출신자장기근무 가능자유관업무 경력자 10년자격증  정보처리기사전공  전산학 컴퓨터공학 산업공학 에너지공학,2635
(주)띵스파이어,정규직,"['사업관리', 'AI', '사업기획', 'OA', '외국어(영어)']","(주)띵스파이어
글로벌기반 에너지/탄소회계 SW 플랫폼 개발자/기획자 모집!
띵스파이어는 에너지/탄소관련 소프트웨어 플랫폼 및 AI 전문 기업으로, 직원 29명, 22년 매출 29억, 순이익 6억, 신용평가등급 BB-입니다.
현재 가상유틸리티기반에너지공유시스템, 전기차데이터플랫폼 구축등, 에너지자급자족 인프라 구축 플랫폼서비스 등 R&D 및 사업에 참여하고 있습니다.
태양광발전예측, 풍력블레이드 이상진단 등 AI 분야도 진행되고 있습니다.
최근 3개산단 210개 공장을 대상으로 하는 Cloud 기반 FEMS 서비스 구축사업의 위탁개발회사로 지정되었고, GIS 기반 에너지빅데이터서비스(www.energis.kr) 운영중, POC 개념의 글로벌 탄소지도 포함 스마트에너지플랫폼 연계 중소기업 탄소량 산출(Scope 1, Scope2) 서비스 구축 용역 수주 및 당사는 Carbon Accounting 플랫폼을
자체 R&D 진행 중으로 현재 10여만개의 탄소배출계수 확보 및 23000여개의 가공 DB 확보 및 API 개발 중입니다.
글로벌 서비스를 위해 영어 버전으로 개발 되고 있으며, 우선 스마트에너지플랫폼 수용가 대상 서비스가 2023년에 예정되어 있습니다.
또한, 제조업 중심으로 절감된 에너지 절감분을 오프셋 거래가 가능하도록 하는 부분과 Carbon Analytics를 아우르는 종합적 카본 플랫폼을 구축해나가고 있습니다.
",에너지절감 및 탄소배출권 관련 사업관리 및 기획 인력스킬 OA,서류전형-임원면접-최종합격,"주5일근무
연차,반차,경조휴가
4대보험,퇴직금
각종 경조금 지원, 인센티브제, 장기근속자 포상, 성과급
건강검진
교육비 지원, 자기계발비 지원, 도서구입비 지원
국민연금, 고용보험, 건강보험, 퇴직연금
휴게실, 카페테리아, 사내정원
육아휴직, 노동절 휴무
워크샵/MT","서울 용산구 한강대로96길 27, 1층",학력  대졸이상경력 경력 5년이상전공  에너지공학 산업공학 화학공학,2636
(주)타이드,정규직,"['기술지원', '연구소', '프로젝트 운영', '홍보물제작', '전시회 참여', '정부과제수행']",,프로젝트 운영관리 및 관련 업무연구소 기술 문서 번역 지원기술 미팅 지원 회의 일정 조율 자료 준비정부과제수행 지원국내외 전시회 참여 및 관련 홍보물 제작   브로셔 발표자료,서류전형-면접전형(실무진 및 임원진)-최종합격,"급여제도 상여금, 퇴직금, 4대 보험
선물 명절선물/귀향비, 생일선물/파티
교육/생활 저녁식사 제공, 음료제공(차, 커피)
근무 환경 회의실, 노트북
조직문화 회식강요 안함, 자유복장
리프레시 연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무","서울 중구 서소문로 115, 503호",대졸 이상2 3년 또는 졸업예정자경력자의 경우 관련 업무 경력 1년 이하이공계열토익 500점 이상   혹은 토익스피킹 120점 이상영어에 대한 부담 없이 모두 지원   가능합니다 많은 지원 바라며   신입사원들에게는 성장과 경험이   풍부한 기회가 기다리고 있습니다   지원해주셔서 감사합니다,2643
(주)더즌,정규직,"['서비스기획', '사업기획', 'UI기획', 'UX기획', '금융IT']","""더즌은 우리나라에서 가장 행복한 회사를 꿈꿉니다.""

1. 향상된 기술과 품질로 고객의 다양한 니즈를 충족시키는 Total B2B Service Provider입니다.
2. 펌뱅킹, 가상계좌 등 PG 및 결제 서비스를 제공합니다.
3. 본인인증, 청구서, 알림톡 등 카카오페이와 제휴합니다.
4. 리얼마진, 아보카도, 더아파트 등 생활밀착형 서비스를 제공합니다.
5. 무인환전, 스크래핑, 메시징, 해외법인까지 사업을 확장 중입니다.
6. 창립 후 꾸준하게 재무적 성장을 이뤄내고 있습니다.
7. 구성원의 행복이 곧 회사의 성장이라 생각하며, 아낌없는복지를 제공합니다. 

주 35시간 근무, 리프레시휴가 12일 추가 제공, 사내 휴양리조트 이용, 근속 3년마다 안식월, 무제한 간식, 취미활동비 지원 등 더즌만의 다양한 혜택을 경험해보세요!", 더즌의 금융 솔루션 이용자B2B를 대상으로 한 admin 및 back office 기획 간단한 조작으로 솔루션 기능을 이용 가능하도록 하고 각종 데이터를 시각화하여 제공하는 대시보드 기획 이용자 feedback을 반영한 시스템 개선 사항 도출,"- 정규직 채용
수습평가 3개월 (급여 100%)

- 채용 전형
서류전형 ＞ 1차 인터뷰(비대면/직무역량) ＞ 온라인 인성검사 ＞ 2차 인터뷰(대면/문화적합) ＞ 처우 협의/레퍼런스 체크 ＞ 최종 합격

** 서류 제출 시 더즌에 지원한 사유를 꼭 포함하여 제출해주세요!","•더즌인의 특권!
- 집중근무 일 7시간 / 주 35시간
- 신논현역 초인접! 전망좋은 교보타워 오피스
- 여유로운 점심시간 1시간 30분
- 개별 법인카드 지급 (점심식대+교통비)
- 장비 구매비용 지원
- 교육비/도서비/취미활동비/체력단련운동비 지원
- 다양한 간식 무제한 제공

•눈치보지 않고 떠나는 30일 이상의 휴가
- 입사와 동시에 연차 사용 가능
- 신규 입사자는 입사축하 4일 더! 
- 연차 외 추가 유급 Refresh 휴가 12일
- 더즌만의 특별한 퇴근 Dozn Day 6일 
- 가족기념일에는 조기퇴근하는 Family Day
- 근속 매 3년 마다 30일의 유급 휴가와 휴가비 지급
- 근로자 휴가지원사업

•‍‍‍가화만사성
- 매년 직원 종합 건강검진 제공
- 행복한 생일, 백화점 상품권 지급
- 경조휴가 및 경조사비 지원
- 명절 선물 제공
- 사내 휴양리조트 운영
- 결혼 축하휴가 2주

•그 외에도,
- 아침 식사, 저녁식대 지원  
- 워크샵 지원
- 팀회식비 지원
- 사내동호회 
- 인재 추천 지원금
- 편하게 쉴 수 있는 사내 휴식 라운지
- 반바지도 샌들도 OK! 자율 복장


#설립4~9년 #리프레시휴가 #주35시간","서울 서초구 강남대로 465, B동 16층", Back office 화면 기획 Admin기획 경력 보유 이용자에게 최적화된 UIUX 설계가 가능하신 분 주도적으로 본인 의견을 제시하고 의사 결정하는데 능숙한 분 함께 오랫동안 일하고 서로 힘이 되어 줄 분 펌뱅킹 가상계좌 관련 서비스 기획 경험이 있으신 분 은행 업무 경험이 있으신 분,2644
(주)딥엑스,정규직,"['자동차', '문서작성', '로봇', 'ISO9001', '기술문서']","딥엑스는 인공지능 기술로 인류문명 발전에 기여를 하고자 세계 최고 수준의 AI 반도체 원천기술을 연구개발 하는 스타트업 기업입니다. 딥엑스의 NPU가 적용될 AI 반도체 시장은 2025년까지 85조 이상의 급격한 성장이 예상되는 거대한 시장으로 우리는 빠르게 변하는 시장에서 기술 리더십을 보유하기 위해 원천기술 확보에 매진하고 있습니다. 우리는 이 도전을 함께 할 열정적인 동료를 찾고 있습니다.

AI 기술이 시대의 패러다임으로 자리잡는 길목에서 동료들과 효과적으로 협업하고 의미 있는 성과를 내기 위해 자신의 재능을 적극적으로 활용하실 분들을 딥엑스로 초대합니다.",딥엑스가 개발하는 솔루션은 반도체 설계의 기초부터 AI 애플리케이션을 위한 SW까지의 FullStack을 포괄합니다 당사는 우리의 뛰어난 기술 개발 구성원과 함께 할 전문 기술 문서 작성자를 찾고 있습니다 해당 포지션의 지원자는 기술 문서 및 매뉴얼을 작성하기 위해 엔지니어링 팀과 협력하고 코칭할 책임이 있습니다 또한 해당 포지션은 제품 설명의 정확성을 보장하면서 복잡한 정보를 명확하고 간결하게 설명할 수 있는 능력을 가지고 있어야 합니다딥엑스의 소프트웨어 제품에 대한 문서 요구 사항 정의기술 직원을 코치하여 정보를 구성하고 명확하고 간결한 엔지니어링 문서를 작성기술 용어 및 문서 라이브러리 유지기술 문서가 산업 표준 지침예 ISO 9001을 준수하는지 확인콘텐츠 스타일의 연속성을 유지하기 위해 문서 분석,,"• 4대보험 (국민연금, 건강보험, 산재보험, 고용보험) 가입
• 업무Tool Kit (최신 사양 노트북, 24~32인치 듀얼모니터, 스탠딩 데스크 등) 제공
• 커피, 티, 두유, 비타음료 등 다양한 바리에이션의 음료와 간식 무한 제공
• 점심, 저녁 든든한 식사 지원
• 생일자 생일축하금(20만원) 지급 및 16시 조기 퇴근
• 기혼자 결혼기념일축하금(20만원) 지급 및 16시 조기 퇴근
• 미혼자 크리스마스축하금(20만원) 지급 
• 설/추석 명절선물비(30만원) 지급
• 경조휴가 및 경조금 지급
• 전직원 주식증여
• 구성원 건강검진 지원 (2022.01부)
★ 복지는 딥엑스의 성장과 함께 지속적으로 업그레이드 됩니다.","경기도 성남시 분당구 판교역로 241번길 20, 미래에셋벤쳐타워 5F",반도체 또는 소프트웨어 업계에서 3년 이상의 기술 문서 작성 경험영어 기술 커뮤니케이션 전기컴퓨터 공학 또는 관련 분야 학사 학위MS Word Excel PowerPoint 및 Visio 능숙자임베디드 하드웨어 시스템과 밀접하게 연결된 SDK에 대한 기술 문서 작성 경험문서를 작성하기 위해 엔지니어 및 제품 관리자와 직접 작업한 경험반도체 및또는 소프트웨어 제품 개발 수명 주기에 대한 사전 경험문서 검토 및 승인을 위한 콘텐츠 관리 시스템CMS 경험스타트업에서 근무한 경험Atlassian Confluence에 대한 이해기술 커뮤니케이션 협회 또는 이에 상응하는 기술 작문 인증문서 관리 시스템 데이터베이스 HTML 및또는 XML에 대한 지식표준 Docstring 형식Doxygen Sphinx 또는 Epydoc 작업 경험,2645
(주)버핏서울,정규직,"['기획', '영업기획', '서비스기획', '사업관리', '전략기획', '사업기획', '사업개발']",,오프라인 비즈니스에 대한 높은 이해도를 바탕으로 사업 전반의 영역을 지원  관리하여 사업 확장에 기여합니다Business 지표 관리 Sales Service Customer data VOC채용 및 운영 주도 채용 보상 교육지점 표준 메뉴얼 제작 및 관리Busienss 정책 수립 및 관리지점 Contents 및 온오프라인 마케팅 운영관리,"서류전형 - 1차 인터뷰 - 2차 인터뷰 - 최종합격
서면인터뷰, 과제가 추가로 부여될 수 있습니다.","-업무용 노트북 지급
-팀버핏 트레이닝 무료 수강
-버핏그라운드 지점 무료 이용
-1:1 PT 및 버핏그라운드 입점 업체 운동 상품(골프/필라테스/요가 등) 이용 할인
-지인 패밀리 할인 쿠폰 발급
-업무 역량 강화를 위한 교육 및 도서 구입비 지원
-건강검진 비용 지원
-장기근속자 포상 휴가 및 휴가비 지원","서울 강남구 논현로 336, 3층",5년 이상 오프라인 비즈니스 관리자 경험스타트업 기획 전략 경험 보유조직 리딩 경험 보유문제 해결 역량오프라인 비즈니스 구조에 대한 높은 이해도Sales와 Management 영역 전반의 폭넓은 경험MS Office 활용 역량 우수Communication 역량 우수,2646
(주)아티슨앤오션,정규직,"['엑셀', '워드', '사업 기획', '사업계획서', '자료분석']","“아름다운 바다를 더 많은 사람이, 제대로 경험할 수 있도록”

아티슨앤오션은 다이빙 입문자의 진입 장벽을 낮추어 다이빙을 널리 알리고, 새로운 수중 레저 스포츠 문화를 선도하는 스타트업이에요.

2013년 창립 이후, 다이브로이드라는 제품으로 넥스트 유니콘 1위와 iF World Design 어워드에 두번이나 선정되었고, 킥스타터, 인디고고 등의 글로벌 크라우드 펀딩(스쿠버 다이빙 섹션) 1위로 백만불 이상을 달성하기도 했어요.

이와같은 성과 덕분에 2020년에는 김정일 대표가 ‘포브스 30세 이하 30인 리더’ 에 선정되었죠!

또한 최근에는 저희 제품이 갤럭시 광고에도 출연하게 되면서 보다 더 많은 사람들에게 알려졌답니다. 

다이브로이드의 성장에 멈추지 않고 아티슨앤오션은 보다 더 빠른 성장과 혁신을 위해 다이빙에 관한 모든것을 담은 애플리케이션, 다이빙 예약 플랫폼, AI 기술을 활용한 수중 생물 인식 / 초 해상화 / 디블러링 등의 서비스 영역의 솔루션도 개발중에 있습니다. 

세계적으로 다이빙 인구가 매년 100만 명씩 늘어나면서, 다이빙 시장은 약 10조 원의 규모를 자랑하며, 타 산업군에 비해 소비가 활발한 시장이지만, 해양 스포츠는 아직 아날로그에 머물러 있어 성장의 기회가 무궁무진해요.

이 시장에서의 선두를 선점하고 함께 혁신할 경험을 만들어나갈 당신, 아티슨앤오션에 어서 올라타세요!
", 정부지원사업과제 모니터링 지원 집행 및 관리 정부지원사업과제 관련 문서 작성  시장 리서치 및 자료 분석 사업비 사용 관리 과제 성과 관리 및 사업비 정산 업무 ,"서류전형 ＞ 폰 스크리닝 > 온라인 실무진 인터뷰 ＞대면 임원 인터뷰 ＞ 레퍼런스 체크 > 최종 합격

• 지원자의 이력 및 경력 사항에 따라 일부 면접 과정이 생략되거나 추가될 수 있어요. 
• 서류 전형 단계에서 (필요한 경우에 한하여) 간단한 과제 제출을 요청드릴 수 있어요.
• 이 외, 약 15분간 유선 또는 화상으로 리크루터 사전 면접이 추가될 수 있어요.

","“최신 장비 지원”
• 맥북 프로, 맥북 에어, iMac 등 최신 장비로 업무 생산성 극대화
• 최고급 의자 허먼밀러 전직원 제공

“식대 및 간식 지원”
• 사무실 부근의 맛집에서 점심을 제공해드려요
• 커피(커피머신계의 에르메스 Jura 커피머신 구비), 주스 등 음료 무한 제공
• 스낵바 제공: 팀원들의 입맛에 맞게 매 달 채워지는 스낵바,  원하는 간식을 요청해보세요!

“업무에 몰두할 수 있는 사무실이 준비되어있어요”
• 2호선 역삼역 근방 건물 3개층을 단독으로 사용하여 넓고 쾌적한 업무 환경 
• 단독 미팅룸 뿐만 아니라 크루의 휴식공간까지 준비 완료! 

“크루의 성장이 아티슨앤오션의 성장!”
• 업무관련 도서 무제한 구매 
• 업무에 필요한 온라인 강의 지원
• 사내 다이빙 장비 무상 대여
• 오픈워터 자격증 취득 시 50%지원

“또 어떤 혜택들이 기다리고 있나요?”
• 3년 근속시 2주 유급휴가 및 휴가비 100만원 + 스쿠버다이빙시 탱크당 3만원 지원 
• 사무실 출퇴근 도보 10분 이내 거리로 이사시, 월세 30만원 지원
• 청년 내일 채움공제 운영 
• 경조사 지원
","경기 군포시 군포첨단산업2로22번길 5, 603호", 컴퓨터 활용능력 한글 MS Office 등 문서작성 업무 Tool 이 우수하신 분 기획서 제안서 사업계획서 등 뛰어난 보고서 작성 역량을 가지신 분 사내외 타 부서 및 파트너들과의 원활한 커뮤니케이션 능력을 가지신 분  IRIS RCMS 등 정부사업 시스템 사용 경험이 있으신 분  정부과제 사업 참여 혹은 기획 업무 사업계획서제안서 작성 경험을 보유하신 분  스타트업 근무 경험 또는 창업 경험이 있으신 분  Google spread Notion Swit 등의 업무 협업 툴 사용이 원활하신 분 스쿠버다이빙프리다이빙이 취미이신 분,2647
데이원컴퍼니(주),정규직,"['기획', '서비스기획', '전략기획', 'pm', '사업기획']",""" 산업과 교육 간 미스매치를 해소하는 Fastcampus CIC ""

직장인에게 요구되는 역량의 종류는 더욱 다양해지고 있고, 그 수준도 무시할 수 없이 높아지고 있습니다. Fastcampus는 현재 시장에서 요구되고 있는, 나아가 앞으로 요구될 것으로 보이는 직무역량을 빠르고 날카롭게 포착해 교육콘텐츠를 개발하고 제공합니다. 

'프로그래밍', '마케팅', '데이터사이언스', '파이낸스', '크리에이티브'등 높은 부가가치를 내고있는 각 영역 최고의 실무자들과 함께 교육 콘텐츠를 만들어 나가고 있습니다. 현업에서 즉시 적용 가능한 프로젝트와 트렌드를 리딩하는 실사례 기반 콘텐츠는 온/오프라인 등 형식에 구애받지 않고 개발되고 있으며, 성장을 원하는 고객들에게 전에 없던 변화를 안겨주고 있습니다. 

 
[이런 사람을 찾습니다]

- 나만의 관점과 시장 이해를 바탕으로 5년 - 10년 후 나의 사업을 직접 해보고 싶다. 
- 콘텐츠를 활용해 사업화 하는 방법을 배우고, 내 손으로 직접 사업개발을 해보고 싶다. 
- 콘텐츠의 미묘한 뉘앙스와 팔릴만한 컨셉의 차이를 이해하고 다른사람에게 설득력 있게 설명할 수 있다. 
- 고객이 원하는 문제와 솔루션을 스스로 정의하고, 다른 사람에게 ‘스토리' 로서 전달하고 설득할 수 있다. 
- 사업을 지원하는 역할이 아니라, 사업과 서비스에서 주도적인 역할을 담당해보고 싶다.", 미래에 가장 부가가치 높은 기술스킬노하우 교육 상품 런칭의 A to Z를 진행합니다 주제에 대한 시장성을 분석하고 리포트를 작성합니다 학습자 고객관점의 강의 콘텐츠의 컨셉과 내용을 기획하고 커리큘럼을 구성합니다 영상 콘텐츠 제작을 관리하고 콘텐츠 퀄리티 검수를 담당합니다 업계 TopTier 연사를 섭외합니다 마케터와 협업해 코스를 런칭합니다신입의 경우 PM과 함께 기획 단계에 참여하여 기획력을 습득하고 전반적인 운영관리 업무를 담당하는 APMAssistant PM으로 시작하게 됩니다,"- 서류 전형 > 1차 면접 & 현장 과제 > 2차 면접 > 레퍼런스 체크 > 최종 합격
- 모집 기간 : 적합자에 한하여 면접 수시 진행
- 제출 서류 : 이력서 및 자기소개서, 경력기술서(경력)
- 포트폴리오, 기획서 등 본인을 표현 할 수 있는 서류도 자유롭게 제출 가능합니다","- 내/외부교육비지원(300-500만원 한도)
- 주택 관련 대출 이자 지원 제도 (정규직 재직 1년 이상)
- 종합건강검진 서비스 제공
- 마인드케어(EAP)프로그램 운영
- 체력단련비 지원
- 개인 경비 및 경조사비 지원
- 생일 조기 퇴근, 생일선물, 명절선물 지급
- 안식휴가(3년 근속시 10일, 6년 근속시 20일 부여)
- 자유로운 연차 사용
- 무제한 스낵바/카페테리아 제공
- 시차출퇴근제 '8 to 10 ~ 17 to 19' (출근길에 뛰지 마세요!)
- 수평적 소통 문화 (인턴도 대표도 모두 다 ‘000님’으로 통일!)","서울시 강남구 테헤란로 231, 센터필드 WEST 6~7층", 경력 신사업기획개발  리서치  상품기획  MD 등 분야에서 3년미만의 경력이 있으신 분 고객이 선택하는 교육 콘텐츠의 미묘한 차이를 이해하고 개선점을 찾을 수 있는 분  다양한 자료와 과거 성과 분석을 통해 스스로 의사결정하고 이를 기획과 실행으로 옮길 수 있는 분 엑셀 구글스프레드시트 Keynote PPT 등의 본인이 선호하는 툴을 통해 사업 방향과 시장성에 대해 논리적으로 설득하고 커뮤니케이션 할 수 있는 분  문과 계열 학과 졸업생 인문학 어학 철학 경영 상경 교육 등 사업 및 창업 경험 우대 ,2648
헤드헌팅 공고,정규직,"['사업기획', '커뮤니케이션', '블록체인']","< 이 공고를 통해 지원하시면 잡플래닛의 담당 헤드헌터가 검토 및 진행에 도움을 드립니다 >

미국의 IBM에 이은 세계 2위 블록체인 최다특허를 보유하고 있고, 이더리움창시자인 부테린이 기술고문으로 있는 회사입니다.", 대외 커뮤니케이션  요구사항 정의 계약 등 업무 프로세싱 사업기획  요구사항 분석 시장 분석 서비스 정책 정의 등,"서류전형 > 실무자면접 > 임원면접 > 최종합격 
제출서류: 국문

헤드헌터 강송호 / 010-5392-7058 / simon865@turningpoint-hr.com","【 복리후생 】
- 유연근무제(시차출퇴근제/ 재택근무제)
- 휴게공간 & 카페(음료/ 간식 제공)
- 도서구입비/교육 훈련비 지원
- 통신비 지원
- 생일 & 명절선물/ 경조사 지원
- 장기근속/ 사내추천포상제도
- 건강검진 지원
- 고용노동부 정부지원사업 지원
",,경력직의 경우 해당 직접 경력 2년이상 제안서 및 사업계획서 작성 협업 부서와의 정확한 커뮤니케이션 주도적 업무 진행이 가능한 분관련 전공자 블록체인 기술에대한 중급이상의 이해도 IT 분야 사업개발 경력 3년 이상 시스템 네크워크에 대한 이해도,2649
