회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
씨제이올리브네트웍스(주),정규직,"['java', '데이터분석', 'python', 'aws', '최적화', '프로세스 개선', '데이터 수집', '플랫폼개발']",, 제일제당 CRM 플랫폼 개발운영Data Engineer 데이터 분석 파이프라인 개발 및 운영데이터 수집 및 분석 클라우드 기반 데이터 처리 및 최적화 관리,"◼ 채용 프로세스 : 서류전형 > 1차면접 > 2차면접 > CJAT(인성검사),처우협의(평판조회),채용검진 > 최종합격
    • 세부 일정은 합격자에 한해 개별 안내드립니다.
    • 각 단계별 결과에 따라, 일부 전형 과정이 추가 또는 생략될 수 있습니다.
◼ 2차면접 진행 후 추가 역량 검증이 필요하다고 판단될 경우, 처우협의 과정에서 계약직 채용으로 협의가 진행될 수 있습니다.",,"서울 용산구 한강대로 366, 10층",Experience 데이터 파이프라인 구축 경험 프로세스 제안 개선문제점 분석 및 해결 방안 도출 경험 B2C IT 서비스 및 CRM 경험Skill  Knowledge AWS 구성 요소에 대한 경험Lambda Athena Airflow Glue SageMaker S3 등 Cloud 기반 DW Snowflake 등 활용 경험 PythonJAVA 프로그래밍 언어 능숙 및 ML 모델 이해Experience 프로젝트 PMPL 경험 적극적이며 긍정적 태도Skill  Knowledge 컴퓨터 공학 및 전산 계열 전공자 AWS 아키텍처 설계 또는 운영 경험 컨테이너 기반 개발 환경 및 MSA 기반 인프라 활용 경험 DevOps 관련 도구와 방법론Git CICD 등에 대한 지식 및 경험,36
하이데브,정규직,"['Spring framework', 'jpa', 'MSSQL', 'MYSQL', 'JIRA', 'kafka', 'spring boot', 'Docker', 'Apache']","
안녕하세요 하이데브 입니다. 공식 현대자동차, 네이버 공식 파트너사 및 협력사로써 특화된 기술 및 소프트웨어를 연구하고 개발합니다.
개발하는 범주는 일반 소프트웨어 개발 및 특수 AI,Blockchain 분야를 함께 개발합니다.
현재 빅테크, 은행에서의 VAN 시스템 및 PG 시스템 관련 기능 고도화 작업을 진행하게 됩니다.",VAN 서버 관리VAN 다중화가상계좌 연동결제수단 관리 시스템,,"


- 부산근무 원할 시 사택무료 제공(서울 근무 가능)
- 구내식당 이용가능
- 업계연봉 최고 대우
- 담당 프로젝트 일 미리 완료 시 남은 기간동안 출근 안해도 가능
- 내부 개발진 삼성, 현대 낵슨 국가기관나라사랑, 시타델, 현대자동차
이직을 원할 시 해당 회사 이직 기회 제공
- 4대보험, 식비(중식,석식), 연차휴가
-퇴직 연금 하나은행IRP 무료제공
- 성과금 인센은 전환이 없는 임원진 결정 하에 내부 결정 지급
- 교육지원(페스트캠퍼스, 노마드코더, 아마존aws, 코딩 교육스쿨 무상제공)
- 국가지원 내일 채움 공제, 청년 월세 지원, 일자리 도약 장여금 기타 등...제공
- 근무시간(9-6)식사1시간 야근 강요 없음",, 관련 업무 최소 4년 이상대규모 시스템 업무 최소 6년 이상은행 VAN 시스템 업무 경험PG 시스템 업무 경험대규모 시스템 업무 경험Kafka 기반 MSA 업무 경험,37
(주)인텍에프에이,정규직,"['java', 'c', 'C++', 'python', '웹개발', '서버관리', '데이터베이스 설계']","
인텍에프에이는 전력전자기술, 통신기술, 제어기술, 공진제어기술, 신재생에너지 분야의 다양한 기술과 제품(ESS시스템, 클린룸시스템, PCS, 인버터류, 제동유닛, 회생유닛 등)을 확보하고 있으며 이러한 기술을 토대로 고객사의 새로운 가치를 창출하는 협력개발에도 적극 참여하여 많은 성과를 이루고 있는 전력전자 전문기업 입니다.
또한, LG전자, LS일렉트릭, 삼성전자, 현대엘리베이터, 메타워터(日) 등 국내외 유수 대기업에 산업용 전력변환장비 및 시스템의 안정된 공급과 수출을 통하여 신뢰성을 인정받고 있으며 급변하는 환경 속에서 고객의 가치를 극대화하기 위하여 끊임없는 연구개발을 진행하고 있습니다. 이러한 전기전자통신 iot 융합기술을 기반하여 보다 효율적이고 행복한 사회구현에 이바지하는 기업을 이루겠습니다.",사용기술Java C C Python 산업용 장비 데이터베이스 구축 및 서버관리데이터 운영,,"• PS 성과급 지급
• 휴가: 주5일제, 연차, 정기휴가, 경조휴가, 리프레쉬 휴가
• 복리후생
- 4대보험 외 근로자재해보험 별도 가입
- 회사식당 운영(조,중,석식 무료제공)
- 기숙사 운영
- 복지포인트 지급
• 교육: 계층/직무 교육, 어학교육 기회 제공",경기 용인시 기흥구 탑실로 35번길 63, 학력 대졸 이상 전공 컴퓨터공학과 소프트웨어과 등 경력자인 경우 프로젝트 진행이 가능한 개발언어JAVACCPython 능력 보유자 프론트엔드 및 백엔드 등 웹개발 경험 네트워크 구축 및 시스템 구축 신재생에너지 및 장비제어 관련 경력자 공공기관 프로젝트 경험,38
(주)라텔앤드파트너즈,정규직,"['MSSQL', 'CS', 'CRM', 'DB', 'isms']","라텔앤드파트너즈는 2020년에 설립한 회사로 매출액 33억원, 사원수 33명 규모의 중소기업입니다. 서울 중구 필동로16(참그루빌딩)에 위치하고 있습니다.
라텔앤드파트너즈는 디스플레이 광고, SEO를 넘어 데이터 기반 퍼포먼스 마케팅, 그로스마케팅, CRM등을 머신러닝과 조합한 전력과 그에 맞는 남다른 크리에이티브를 접목해 광고+플랫폼+CRM+채널링등 통합적인 전략과 접근으로 폭발적인 성공을 거두며 디지털 마케팅을 재발명 해왔습니다.", DB 서버 구축 및 운영 DB 모니터링 및 트러블슈팅 쿼리 검수 및 튜닝 CRM 발송에 필요한 데이터 추출,서류전형 - 직무 인터뷰 - 최종합격,"• 업무시간 : 9시30분 ~ 18시 30분
• 회사위치 : 4호선 충무로역 도보5분
• 정규직 채용 / 주 5일제
• 연봉제 적용(퇴직금 별도- DC형 퇴직연금 운영)
• 수평적인 문화 지향(호칭 영어 닉네임 사용)
• 스낵바(간식) 및 음료 제공
• 프로젝트 Refresh휴가제공
• 팀회식비 지원(월별)
• 커피머신 사용(아메리카노외 티종류)
• 생일자 상품권 지급 & 오후1시 조기퇴근
• 3/5/7/10 휴가 : 장기 근속에 따른 유급 휴가 or 포상금 제공","서울 중구 필동로 16, 2층", MSSQL 사용 경력 5년 이상의 DBA 경험 데이터베이스 인덱스에 대한 이해 데이터베이스 성능 분석 및 튜닝에 대한 경험 ISMS 경험이 있는 분,39
(주)라텔앤드파트너즈,정규직,"['MSSQL', 'CS', 'CRM', 'DB', 'isms']","라텔앤드파트너즈는 2020년에 설립한 회사로 매출액 33억원, 사원수 33명 규모의 중소기업입니다. 서울 중구 필동로16(참그루빌딩)에 위치하고 있습니다.
라텔앤드파트너즈는 디스플레이 광고, SEO를 넘어 데이터 기반 퍼포먼스 마케팅, 그로스마케팅, CRM등을 머신러닝과 조합한 전력과 그에 맞는 남다른 크리에이티브를 접목해 광고+플랫폼+CRM+채널링등 통합적인 전략과 접근으로 폭발적인 성공을 거두며 디지털 마케팅을 재발명 해왔습니다.", 요청에 의한 데이터 추출 DB 모니터링 및 트러블슈팅,서류전형 - 직무 인터뷰 - 최종합격,"• 업무시간 : 9시30분 ~ 18시 30분
• 회사위치 : 4호선 충무로역 도보5분
• 정규직 채용 / 주 5일제
• 연봉제 적용(퇴직금 별도- DC형 퇴직연금 운영)
• 수평적인 문화 지향(호칭 영어 닉네임 사용)
• 스낵바(간식) 및 음료 제공
• 프로젝트 Refresh휴가제공
• 팀회식비 지원(월별)
• 커피머신 사용(아메리카노외 티종류)
• 생일자 상품권 지급 & 오후1시 조기퇴근
• 3/5/7/10 휴가 : 장기 근속에 따른 유급 휴가 or 포상금 제공","서울 중구 필동로 16, 2층", MSSQL 사용 경험 데이터 추출 경험 프로시저 쿼리 분석이 가능하신 분 데이터베이스 인덱스에 대한 이해 데이터베이스 성능 분석 및 튜닝에 대한 경험 DB 서버 구축 및 운영 2년 이상의 DBA 경험,40
캐롯손해보험(주),정규직,"['MSSQL', 'Oracle', 'SQL', 'dba', 'Tibero', '클라우드']","캐롯손해보험은 한화, SKT, 현대자동차, 알토스벤쳐스, 스틱인베스트먼트 등 대형 투자사들이 함께 합작하여 설립한 국내 최초의 디지털 손해보험사입니다.

사물인터넷(IoT) 등 정보통신기술(ICT)를 결합하여 더 간편하고 부담 없는 생활 밀착형 보험 서비스를 통해 고객에게 보험의 새로운 패러다임을 제공하려고 합니다.

캐롯은 모두가 '당연하다'라고 여기는 불평등과 불편함에 대해 고민했습니다.

세워두기만 한 차에도 동일한 보혐료를 내야하는 불평등, 매번 모든 정보를 입력하고 가입해야하는 불편함.

일상 속에서 너무나 당연히 받아들였던 오늘의 불편을 내일의 가치로 만들어갑니다.
생활 속 어떤 것도 보험 서비스가 될 수 있는 보험 스타트업 캐롯에서는 당신의 아이디어가 가치있는 보험이 됩니다.", 데이터베이스 아키텍처 설계 및 구축 운영 업무를 수행해요  데이터베이스를 지속적으로 최적화하고 스키마를 운영 관리해요 안정적인 데이터베이스 운영을 위해 성능 모니터링튜닝백업 및 복구 등의 업무를 수행해요 데이터베이스 운영에 필요한 SW를 운영 관리해요 단순 반복 작업을 자동화하여 효율적으로 운영할 수 있는 방안을 만들어요,"• 해당 직무는 수시채용으로, 채용 완료 시 공고가 마감될 수 있어요.
• 지원서를 허위로 기재할 경우 불합격 또는 입사가 취소될 수 있어요.
• 국가보훈대상자 및 장애인은 관계법에 의거 우대해요.
• 경력직의 경우 처우협의 단계에서 지원자의 정보 진위를 판단할 수 있는 증빙서류 제출이 요구될 수 있어

","[성장을 위한 휴식]
• 매년 복지포인트 200만원
• 설 차례비 지급
• 체력단련 휴가 5일
• 시차출퇴근제
• 자격증 취득 지원
• 무제한 온라인 교육 지원
• 연차사용 장려포인트 35만원
• 연차 숙박비 지원
• 근로자의 날 선물
• 한화계열사 할인 혜택
• 온라인 독서 플랫폼 지원
• 경조금 및 경조휴가 지원

[소중한 가족과 함께]
• 직원 및 배우자 단체상해보험
• 임직원 및 배우자 건강검진
• 자녀 학자금 지원
• 자녀보육수당 지원
• 수험생 자녀 응원선물
• 맘스패키지 선물
• 모성보호제도 운영","서울 중구 을지로100 파인에비뉴 B동 20층, 캐롯손해보험", Oracle 또는 Tibero DBA로서 5년 이상의 경험이 있으신 분이 필요해요 대용량 DB 설계 및 운영 경험을 가지고 계시고 SQL튜닝이 가능하신 분이 필요해요 24365대고객 서비스 제공을 위해 MissionCritical한 운영 환경에 열정과 책임감이 강하신 분이 필요해요 자동화효율화 등 리소스 절감을 위해 지속적으로 고민하고 도전하시는 분이 필요해요 클라우드 및 OnPremise 환경에서 다양한 DB운영을 경험하신 분이면 좋아요 데이터베이스 관련 금융회사 컴플라이언스에 대한 이해도가 있으신 분이면 더 좋아요,41
번개장터(주),정규직,"['java', 'kotlin', 'python', 'aws', 'hadoop', 'scala', 'Spark']","옷장 깊숙한 곳에 놓인 재킷
먼지 쌓인 태블릿 PC
더 이상 손이 가지 않는 명품 지갑

지금도 번개장터에서는 이 모든 물건들이 재발견되어 누군가의 새로운 가치가 됩니다.

번개장터는 오늘도 ‘세상 모든 물건에 가치를, 소비를 지속 가능하게‘라는 비전 아래, 스트레스 프리 중고거래(리커머스) 경험을 선사하는 사용자 중심 서비스를 만들어 나가고 있습니다.

이제는 소비의 한 장르가 되어버린 중고거래. C2C 리커머스의 미래를 치열하게 고민하고 그 희열을 함께 나누고 싶은 분이라면 번개장터에서 새로운 시작을 맞이해 보세요.

▷ 합류하게 될 팀을 소개해요
- 번개장터의 Data Lab 팀은 데이터 인프라 및 AI/ML 서비스를 개발하는 업무를 수행해요.
- 추천, 광고 등 다양한 데이터 기반 서비스를 위한 모델 및 백엔드를 개발을 비롯하여, 이와 관련된 데이터 분석 인프라의 구축과 운영을 담당하고 있어요.
- 항상 새로운 기술과 데이터 과학의 최신 동향을 탐구하며, 이를 현실적이고 혁신적인 서비스로 변환하기 위해 노력해요.
- ‘세상 모든 물건에 가치를, 소비를 지속 가능하게’ 라는 비전에 공감하며, 스트레스 없는 리커머스를 위한 솔루션을 끊임없이 함께 고민할 동료를 찾고 있어요.

고용형태: 정규직 (3개월의 수습기간이 적용됩니다.)

▷ 웰컴키트에 진심인 번개장터 구경하러 가기 (https://bit.ly/3zHXOoG)", 데이터 분석 인프라 ETL 파이프라인배치 처리 개발 및 유지 관리 머신러닝 및 딥러닝 모델의 학습 배치 개발 및 운영,"서류 전형 > 사전 과제  > 1차 인터뷰 > 2차 인터뷰 > 최종 합격
﻿       ※ 전형 절차는 일정 및 상황에 따라 변경될 수 있어요.","유연한 근무환경을 지원해요
• 8~11시 자율 출퇴근 제도를 운영하고 있어요
• 매월 원하는 날짜에 2시간 조기 퇴근이 가능한 '오아시스'를 드려요
• 주 3회 원하는 날짜에 '리모트 워크'가 가능해요

업무에 집중할 수 있는 환경을 제공해요
• 영어이름을 쓰며 수평적인 커뮤니케이션을 해요
• 주도적인 업무 환경과 성장 기회를 제공해요
• 야근과 불필요한 회식을 지양해요
• 최신형 고급 장비를 지급해드려요 (맥북 프로/갤럭시북, 스위블 모니터)
• 효율적인 리모트 근무를 위하여 30만원 상당의 재택 근무 장비를 지원해드려요

맛있는 식사를 제공해요
• 밥값 걱정 없도록 점심식대/저녁식대를 지원해드려요
• 다양한 간식과 음료를 무료로 제공해드려요

충분한 휴식을 지원해요
• 사유와 결재가 필요없는 휴가 사용이 가능해요
• 2시간 단위 휴가를 사용할 수 있어 연차 활용도가 높아요
• 중요한 삶의 순간을 함께 하기 위한 경조휴가와 경조금을 지원해드려요

이외에도 다양한 것을 지원해드려요
• 성과에 따른 인센티브를 지급해요
• 업무와 관련된 교육, 세미나 참가비와 도서 구매를 지원해드려요
• 공단 검진 이외의 추가 본인/가족 건강검진을 지원해드려요
• 사용자 경험을 위한 매월 구성원 번개 포인트를 지급해드려요
• 생일에는 소중한 사람들과의 시간을 위한 조기 퇴근과 상품권을 지급해드려요
• 번개장터 컨시어지 상품을 최대 30만원까지 할인해드려요","서울 서초구 서초대로38길 12, 타워2 7층, 10층", 데이터베이스 SQL에 대한 기본적인 지식이 있으신 분 AWS 환경에 대한 경험이 있으신 분 분산 시스템Hadoop Spark 등에 대한 기본적인 지식이 있으신 분 Python Java Kotlin Scala 중 하나 이상의 언어를 사용하여 개발한 경험이 있으신 분 컴퓨터공학 통계학 산업공학 등의 관련 학과 졸업 혹은 이에 상응하는 기반 경험을 보유하신 분 13년의 유관 경력을 보유하신 분 대용량 데이터 분석 및 빅데이터 인프라 활용 경험이 있으신 분 머신러닝 모델 개발 및 서비스 운영 경험이 있으신 분 Datadriven Thinking 기반으로 다양하고 복잡한 문제를 해결해본 경험이 있으신 분 IT  커머스 업계 또는 스타트업 근무 경험을 보유하신 분,43
씨제이올리브네트웍스(주),정규직,"['SAP', 'FI', '성능개선', 'TR']",, SAP FITR 모듈 운영 고객사 월분기년 결산지원 부가세 신고 지원 SAP 회계 전표 데이터 대량 인터페이스 처리 및 타모듈 FI SD MM PP BW 협업 고객사 사업 변화에 따른 과제 지원 및 관련 운영 프로젝트 수행 SAP 시스템을 포함하는 SM 프로젝트 수행 및 SI 프로젝트 지원,"서류전형 > 1차면접 > 2차면접 > CJAT(인성검사),처우협의(평판조회),채용검진 > 최종합격","♥복리후생
임직원 카드 : CJ그룹내 주요(브랜드,제품,서비스) 계열사 40% 할인
국내콘도 및 해외여행 지원 : 국내 콘도 및 해외여행(호텔,패키지) 회사지원
의료비 지원(본인) : 급여 항목 중 본인부담금 10만원 초과시
난임 부부 시술비 지원 : 자녀가 없는 난임 부부 시술비 지원(난임 휴가)
심장병 진료비 지원 : 본인 및 자녀 선천성 심장병 수술시 지원
종합건강검진 : 직급별 기준 상이(배우자 포함은 격년)
주택대부 이자지원 : 대출2,000만원에 대한 이자 회사 지원(100,000원 당 카페테리아 1Point 공제)
생일,자녀입학 선물지원 : 본인 생일, 자녀 입학시 선물 지원
경조사 휴가 및 경조금 : 결혼,회갑,칠순,팔순,구순,사망,장제비 등
상조 지원 : 상조 물품, 상조 업체 서비스(인력) 지원 
웨딩카 지원 : 본인 결혼시 웨딩카 지원
CGV 영화관람권 지급 : CGV영화관람권 1년 6장 제공 + CJ배급 영화관람권 제공
사내카페 : 본사 사내 카페 무료 이용
상담포유 : 심리상담서비스 연8회지원(심리정서, 부부/가족관계 등)

♥근무제도
재택근무 : 전사 주 2회 재택근무 
유연근무 : 시차 출퇴근,탄력근무, PC OFF제도 실시

♥자기계발
자격증 취득 지원 : 최종 합격시 응시료 및 자격증 발급 비용
외국어 검정비용 지원 : 언어 무관 회화 평가 기준 년 2회

♥자녀지원
자녀 학자금 및 보육수당 : 자녀 중,고,대학교 학자금 지원, 자녀 만 5세, 6세 매월 1인당 10만원 지원(10,000원 당 카페테리아 1Point 공제)
장애인 자녀 양육비 지원 : 미성년자 중증 장애인 자녀 양육비 지원
임신 축하 : 임신 축하 선물 지급, 예비맘 택시쿠폰 지원

♥휴가제도
휴가제도 : Creative Week 근속 3,5,7년 2주 유급휴가 (+개인휴가 2주포함 총4주 가능)
가족/자녀입학돌봄휴가 : 자녀입학(2주),가족(10일)
출산휴가 : 임직원 본인: 90일 / 배우자: 14일
난임휴가 : 여성:1회7일 / 남성: 3일(년)

♥장기근속
Creative Week : 근속 10년 이후부터 휴가와 포상금 지급

♥휴직제도
Global Knock : 글로벌 연수 무급 휴직 제도
가족돌봄휴직 : 최대 90일
임신휴직제도 : 만 8세 이하 자녀를 둔 임직원(임신중인 근로자) 최대 1년
육아휴직제도 : 임신중인 여성 근로자 최대 10개월

♥근로단축
임신 위험기 근로시간 단축 : 임신 12주 이내, 36주 이후 1일 2시간 단축
신생아 돌봄 근로시간 단축 : 출근 전,후 2시간 단축, 생후 3개월 자녀
입학자녀 돌봄 근로시간 단축 : 1일 1시간 단축, 초등학교에 입학한 자녀
긴급자녀 돌봄 근로시간 단축 : 1일 2시간 단축, 만 8세 이하 자녀
태아검진 시간제 : 임신중인 여성 근로자 4시간 단축근로","서울 용산구 한강대로 366, 10층", SAP FI TR 3년 이상 운영 기초 회계 지식 보유 SAP 프로젝트 경험 보유 시스템 성능 개선 경험 및 역량 식품 유통 또는 제약 비지니스 경험 有 SAP HANA DB 운영 경험,80
(주)클래스유,정규직,"['swift', 'kotlin']","클래스유는 교육의 가치를 풀어내는 온라인 콘텐츠 플랫폼 입니다.

- 교육[Education]이란? E(밖으로) + Duce+ate(이끌다), 인간 안에 존재하는 잠재력, 지식 등을 밖으로 이끌어내는 것

- ""모든 개개인이 자신의 잠재력을 믿고, 나답게 행동하는 세상""을 꿈꾸고 있습니다.

[재무적 성과]
- 2019년 런칭 후 매년 300-500% 매출 성장
- 누적 가입회원수 1,700,000명 / MAU 150만의 서비스
- 매년 10~15%의 영업이익 달성
- 2024년 2월 IPO 및 상장을 목표로 외부감사 진행중


[현재]
교육을 통해 본인의 인생에 변화를 경험하는 수강생은 10%에 불과합니다. 이에 이윤 추구를 넘어 수강생들이 교육의 진정한 가치를 느낄 수 있도록 새로운 서비스, 새로운 컨텐츠, 새로운 조직문화를 만드는 것이 저희의 현재 숙제입니다. 현재 당면한 문제를 함께 고민해주실 분을 찾고자 합니다.

[목표]
단순히 이윤만을 추구했다면, 이렇게 작은 팀으로 이만큼의 매출을 낼 수 없었을 것이며, 멈추지 않고 또다시 다음 챕터를 써내려가고자 하지도 않았을 것입니다. 저희의 동력은 대한민국의 교육문화를 계몽하는 데에 있습니다.
우리는 그동안 사회가 만들어낸 기준 안에서 평가를 받고, 주변 사람과 비교하며 자신의 잠재력을 믿지 못하게 되었습니다. 이러한 사회문제를 해결하기 위해서 클래스유는 본질적인 교육, 개인의 잠재력을 일깨우는 교육을 문화로 만드는데 앞장서고자 합니다. 


#개발팀 소개 

ㅁ 조직구성
- Tech Lead 1명 , Developer 10명 , PM 1명, Designer 2명 , Data Analyst 1명

-Tech Lead 인터뷰
https://www.notion.so/classu/Ted-Lead-Developer-cb0eb8be4e4c4028af3ac8779864fa49

ㅁ 진행 중 프로젝트
- 커뮤니티, 라이브 기반의 플랫폼 확장 준비중
- 선생님 - 수강생, 그리고 수강생들끼리 에너지를 전파할 수 있는 커뮤니티로 확장", 고객서비스 지향적인 모바일 설계 및 개발,서류->1차미팅(HR)->2차미팅(개발리드)->3차미팅(대표)->처우협의->입사,"•출근시간 선택제 : 팀원과의 협의를 바탕으로, 자유롭게 출근시간을 선택할 수 있습니다.
• 1인 1 법인카드: 점심식비, 야간식비, 야근교통비, 특별지원비 등을 개인 법카로 해결합니다.
• 교육훈련비, 도서구입비 : 금액에 상관없이 자유롭게 신청할 수 있습니다.","서울 중구 을지로 264, 11층 1103호", 클래스유의 신념 미션 비전에 공감하시는 분 Swift or Kotlin개발 경험업무경험 실제 서비스를 만들어 본 운영해 본 경험이 있으신분프로젝트 주도 경험,94
(주)액션파워,정규직,"['ios', 'swift', 'Objective-C']","액션파워는 2017년부터 국내 최초로 음성인식 서비스를 제공하기 시작했고, 매년 수만 시간 이상의 음성을 텍스트로 변환하고 있습니다. 또한, 삼성물산, 대구시청 등 국내 주요 기업 및 기관에서도 다글로를 도입하여 사용하고 있습니다.

액션파워의 인공지능 기술은 우수성을 인정받아 AWS AI Startup Challenge 수상을 시작으로 대한민국 모바일 어워드 수상, 코리아 AI 스타트업 100 선정 및 ICT 대상에서 과학기술정보통신부 장관상을 수상하였습니다.

최근에는 하나벤처스, 스프링캠프 등으로부터 133억 원 규모의 시리즈 A 투자 유치를 완료했습니다. 

액션파워는 선한 인격을 바탕으로, 능동적인 성격을 가지고 있으며 문제 해결을 좋아하는 사람이라면 누구나 환영합니다. 액션파워와 함께 스스로 미래를 개척하고자 하는 여러분을 기다리고 있겠습니다.

▶ 액션파워에 대한 정보가 궁금하시다면, 아래 링크를 확인해주세요!
https://actionpower.notion.site/ActionPower-Recruit-9d4fb6a9179841f9ab5bc01d33e8946e

", daglo 다글로 앱 서비스 개발,서류검토 > 면접(1회) > 결과발표,"[효율적으로 일하고 자율적으로 쉽니다]

• 선택적 근로시간제를 운영하고 있어요.
   - 8시~10시 사이 출근, 17시~19시 퇴근이 가능해요.
   - Core Time 10시~17시만 준수해주시고 주 40시간을 근무하시면 돼요.
• 몇 월에 입사하시든, 다음 해 1월 1일에 연차 15개를 선 부여해드려요.
   - 연차는 결재 받지 않아요!
• 생일에는 쉬세요!
• 회사 생일에도 쉬세요!
• 건강검진 받으실 때도 유급 휴가를 드려요.
• 그 외 각종 경조사 휴가를 지원해요.
• B사 안마의자, 빈백룸에서 편안하게 쉴 수 있어요.

[성장과 적응을 지원합니다]

• 업무에 필요한 도서를 지원해요.
• 월 5만원의 역량개발비를 지원해요.
   - 운동, 강의 등에 활용할 수 있어요.
• 4인 이상 모이실 경우 아무 조건 없이 1인당 3만원을 지원해요.
   - 주로 회식, 스터디, 문화생활 등에 활용해주고 계세요.
• 신규 입사 시, 유용한 물건들이 가득한 웰컴키트를 지급해드려요.
   - 그 외 필요한 물품을 구매하실 수 있도록 10만원을 지원해요.
   - 후드집업, 반팔티 등 팀복도 드려요.
    

[사소한 것도 잘 챙겨드리고 싶습니다]

• 각종 경조사의 경조비를 드려요.
• 명절(구정, 추석)에는 상품권을 드려요.
• 입사 1주년에는 소정의 상품을 드려요.
• 커피, 음료, 다과, 냉동식품 등 다양한 간식들이 항상 가득 차 있어요.
• S보험사의 단체 실손보험을 가입해드리고 있어요.","서울 관악구 남부순환로 1838, 11층", iOS native 개발 경력이 2년 이상이신 분 상용 서비스 개발 및 운영 경험이 있으신 분 MVP MVVM MVC 등의 디자인 패턴을 이용한 개발 경험이 있으신 분 UIUX에 대한 이해 및 협업 경험이 있으신 분 REST API에 대한 이해가 있으신 분 모바일웹 환경을 위한 API 시스템 개발 경험 사용기술  ObjectiveC  Swift 공통 개발 환경  GitLab을 통한 코드 관리 및 코드 리뷰  Jira Confluence Figma Slack Notion 사용 Cross Platform 가능자 Reactnative 프로젝트 경험,95
