회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)라텔앤드파트너즈,정규직,"['마케팅', '디지털마케팅', '퍼포먼스마케팅', 'CRM', '디지털 마케팅', 'DA', 'ad', '디지털캠페인', '네트워크광고운영']","Hey! RATEL!
천적이 없는 ‘벌꿀 오소리` RATEL은 전략, 브랜드, 광고, 디자인,
미디어, 플랫폼, 데이터, 머신러닝 분야에 대해 천적 없이, 겁 없이 일하는 마케팅 에이전시 입니다.

현재 라텔은 글로벌 기업의 디지털 통합 마케팅 대행과
Web/APP/Server 플랫폼 서비스를 하고 있으며,
자사 솔루션 개발을 위해 머신러닝팀을 같이 운영하고 있습니다.

라텔에서는 모든 직원들의 자유로운 커뮤니케이션을 위해 노력합니다.
직원 누구나 의견을 자유롭게 낼 수 있으며, 직원들과의 경쟁이 아닌 협업을 통한 성과에 집중합니다.

라텔은 직원들의 성과와 만족을 위해서 소수의 광고주 만을 선택해서 집중하고 있으며,
효율적인 업무를 통해 일과 삶의 균형을 맞출 수 있도록 노력하고 있습니다.",CRM 마케터 및 디지털 마케터  글로벌 브랜드의 이탈 방지 구매 유도 리텐션 등 소비자 저니 및 마케팅 전략 수립 아큐브 시슬리코리아 등  CRM 운영 SFMC 및 CDP 활용   목적에 맞는 채널 선정 및 CRM 기획 및 발송  CRM을 활용한 캠페인 기획 및 실행   데이터를 활용한 CRM 전략 수립  다양한 AB테스트를 진행하고 성과 분석을 통한 효율 개선 ,,"<근무 시간>
 *업무시간 : 9시30분 ~ 18시 30분 
 *생일자 오후1시 조기퇴근 및 상품권 지급 
 *연차, 반차, 반반차 사유 없이 사용 가능
 *3/5/7/10 휴가 : 장기 근속에 따른 포상 및 유급 휴가 제공

<업무 환경>
 *수평적인 문화 (임직원 전체 영어 닉네임으로만 호칭)
 *프로젝트 종료 시 Refresh휴가제공

<개인발전 지원>
 *Chat GPT 유료 결제 지원
 *Team Time(TT) : 매주 2회 업무 시간 내 트렌드 공유 및 스터디 (희망자만 참석)

<업무를 위한 지원>
 *회사위치 : 4호선 충무로역 도보3분
 *정규직 채용 (수습기간 3개월, 급여 100% 지급) / 주 5일제
 *연봉제 적용(퇴직연금 별도)
 *명절 귀성비 지급
 *간식 제공(별도 스낵바 및 커피머신 운영)
 *업무 관련 온라인 강의 및 도서비 지원
 *교통비 제공(업무이동 등 택시비)","서울 중구 필동로 16, 2층", CRM 경력 3년 이상 다양한 유관부서 개발자 DBA 디자이너 마케터 등 과의 협업에 능하신 분 데이터에 기반하여 성과를 분석하고 커뮤니케이션하는 업무방식에 익숙하신 분 디지털 이벤트 기획 경험자 해외여행에 결격사유가 없는 자  소비자 구매와 관련된 CRM 저니 설계를 해보신 분 SFMC 및 CDP 경험자 CRM 솔루션 경험자 SQL GA Appsflyer 등 트래킹 툴 실무 적용 경험 소비자 대상 메시지 작성에 어려움이 없는 분 간결한 글쓰기 스타트업 경력자 또는 스타트업 근무 희망자  글로벌 브랜드 및 국내 브랜드 등 의 마케팅 경험 가설 수립 및 검증에 대한 설계 경험이 있으신 분,11
번개장터(주),정규직,"['java', 'kotlin', 'python', 'aws', 'hadoop', 'scala', 'Spark']","옷장 깊숙한 곳에 놓인 재킷
먼지 쌓인 태블릿 PC
더 이상 손이 가지 않는 명품 지갑

지금도 번개장터에서는 이 모든 물건들이 재발견되어 누군가의 새로운 가치가 됩니다.

번개장터는 오늘도 ‘세상 모든 물건에 가치를, 소비를 지속 가능하게‘라는 비전 아래, 스트레스 프리 중고거래(리커머스) 경험을 선사하는 사용자 중심 서비스를 만들어 나가고 있습니다.

이제는 소비의 한 장르가 되어버린 중고거래. C2C 리커머스의 미래를 치열하게 고민하고 그 희열을 함께 나누고 싶은 분이라면 번개장터에서 새로운 시작을 맞이해 보세요.

▷ 합류하게 될 팀을 소개해요
- 번개장터의 Data Lab 팀은 데이터 인프라 및 AI/ML 서비스를 개발하는 업무를 수행해요.
- 추천, 광고 등 다양한 데이터 기반 서비스를 위한 모델 및 백엔드를 개발을 비롯하여, 이와 관련된 데이터 분석 인프라의 구축과 운영을 담당하고 있어요.
- 항상 새로운 기술과 데이터 과학의 최신 동향을 탐구하며, 이를 현실적이고 혁신적인 서비스로 변환하기 위해 노력해요.
- ‘세상 모든 물건에 가치를, 소비를 지속 가능하게’ 라는 비전에 공감하며, 스트레스 없는 리커머스를 위한 솔루션을 끊임없이 함께 고민할 동료를 찾고 있어요.

고용형태: 정규직 (3개월의 수습기간이 적용됩니다.)

▷ 웰컴키트에 진심인 번개장터 구경하러 가기 (https://bit.ly/3zHXOoG)", 데이터 분석 인프라 ETL 파이프라인배치 처리 개발 및 유지 관리 머신러닝 및 딥러닝 모델의 학습 배치 개발 및 운영,"서류 전형 > 사전 과제  > 1차 인터뷰 > 2차 인터뷰 > 최종 합격
﻿       ※ 전형 절차는 일정 및 상황에 따라 변경될 수 있어요.","유연한 근무환경을 지원해요
• 8~11시 자율 출퇴근 제도를 운영하고 있어요
• 매월 원하는 날짜에 2시간 조기 퇴근이 가능한 '오아시스'를 드려요
• 주 3회 원하는 날짜에 '리모트 워크'가 가능해요

업무에 집중할 수 있는 환경을 제공해요
• 영어이름을 쓰며 수평적인 커뮤니케이션을 해요
• 주도적인 업무 환경과 성장 기회를 제공해요
• 야근과 불필요한 회식을 지양해요
• 최신형 고급 장비를 지급해드려요 (맥북 프로/갤럭시북, 스위블 모니터)
• 효율적인 리모트 근무를 위하여 30만원 상당의 재택 근무 장비를 지원해드려요

맛있는 식사를 제공해요
• 밥값 걱정 없도록 점심식대/저녁식대를 지원해드려요
• 다양한 간식과 음료를 무료로 제공해드려요

충분한 휴식을 지원해요
• 사유와 결재가 필요없는 휴가 사용이 가능해요
• 2시간 단위 휴가를 사용할 수 있어 연차 활용도가 높아요
• 중요한 삶의 순간을 함께 하기 위한 경조휴가와 경조금을 지원해드려요

이외에도 다양한 것을 지원해드려요
• 성과에 따른 인센티브를 지급해요
• 업무와 관련된 교육, 세미나 참가비와 도서 구매를 지원해드려요
• 공단 검진 이외의 추가 본인/가족 건강검진을 지원해드려요
• 사용자 경험을 위한 매월 구성원 번개 포인트를 지급해드려요
• 생일에는 소중한 사람들과의 시간을 위한 조기 퇴근과 상품권을 지급해드려요
• 번개장터 컨시어지 상품을 최대 30만원까지 할인해드려요","서울 서초구 서초대로38길 12, 타워2 7층, 10층", 데이터베이스 SQL에 대한 기본적인 지식이 있으신 분 AWS 환경에 대한 경험이 있으신 분 분산 시스템Hadoop Spark 등에 대한 기본적인 지식이 있으신 분 Python Java Kotlin Scala 중 하나 이상의 언어를 사용하여 개발한 경험이 있으신 분 컴퓨터공학 통계학 산업공학 등의 관련 학과 졸업 혹은 이에 상응하는 기반 경험을 보유하신 분 13년의 유관 경력을 보유하신 분 대용량 데이터 분석 및 빅데이터 인프라 활용 경험이 있으신 분 머신러닝 모델 개발 및 서비스 운영 경험이 있으신 분 Datadriven Thinking 기반으로 다양하고 복잡한 문제를 해결해본 경험이 있으신 분 IT  커머스 업계 또는 스타트업 근무 경험을 보유하신 분,24
(주)멸치,정규직,"['영업', '웹개발', '앱 개발', 'API', 'O2O', 'cto', '서비스개발']","""일에 몰입하는 즐거움과 성공의 기쁨을 누리는 melchi의 여정에 합류할 인재를 모십니다.""

melchi는 2014년 23여년간 외식업계의 혁신을 일으키고 있는 피자나라치킨공주를 기반삼아  글로벌 쇼핑 플랫폼을 목표로 서비스를 '멸치쇼핑'을 런칭하여 2021년도 매출액 1,350억을 달성하며 급성장하였고, 2022년 새로운 사업을 통해 또 한 번 성공을 위해 쉼 없이 달려가고 있습니다.", 자사 이커머스O2O 서비스 개발 앱웹 환경을 위한 API 개발 및 리딩,,"1. 6개월 마다 유급 5일 휴가 휴가비 100만원
2. 야근 시 교통비 지원
3. 원두커피 무한제공 (원두커피와 각종 차)
4. 한화콘도 법인회원가 가용 가능
5. 명절 선물지급 (추석과 설날)
6. 장기근속자 포상
7. 경조사비와 경조휴가 지원 (입사 후 상세 조항 별도 예정)
8. 자녀 출산 시 축하금과 꽃바구니 배달
9. 원하는 사양의 PC 및 장비 지원
10. 건강검진 지원
11. 자유로운 연차/반차 사용 (사유를 기재하지 않고 자체 승인)
12. 야근 시 저녁 식비 지원
13. 인재추천제도 최대 500만원
14. 4.5일 근무제","서울 송파구 마천로 146, 2층, 3층", 유관 업무경력 7년 이상 타부서와 원활한 커뮤니케이션 가능한 분 API관련 유지보수 경험이 있으신 분 쇼핑몰 플랫폼 컨텐츠업종 개발운영 경험자 우대 주도적으로 업무를 진행하시는 분,26
(주)에이비일팔공,정규직,"['기획', '전략', 'B2B', '세일즈', 'SaaS']","AB180은 광고 성과 분석 솔루션 Airbridge를 개발하는 B2B SaaS 스타트업입니다. Airbridge는 메타, 구글, 틱톡과 같은 글로벌 플랫폼의 아시아 유일 공식 성과측정 파트너로 그 기술력을 인정받고 있으며, 국내뿐 아니라 세계적으로 빠르게 성장하고 있습니다. AB180은 Airbridge 외에도 세계 1위 프로덕트 분석 솔루션 Amplitude와 CRM 자동화 솔루션 Braze를 국내 시장에 공급하며 Mar-tech 시장의 선도기업으로 자리매김하고 있습니다.

오늘의집, 당근마켓, 카카오스타일과 같은 스타트업뿐 아니라 삼성증권, 현대카드, 롯데멤버스와 같은 대기업 모두 AB180의 솔루션을 활용해 비즈니스 성공을 만들어내고 있습니다.

매일 세계 각국에서 발생하는 10억개 이상의 이벤트 데이터, 1억 대의 디바이스, 100만 RPM-마케팅 테크놀로지 스타트업 AB180에 합류하세요!

*AB180 공식 홈페이지 : https://ab180.co
*Airbridge 공식 홈페이지 : https://www.airbridge.io", Key Account Retention을 위한 지원 전략 수립 및 실행 글로벌 SaaS 파트너사와의 협업 및 전략 수립 AB180 솔루션 연동을 통해 계약 규모 관리 및 가치 재고 세일즈 활동,"서류 전형
자유양식의 이력서 와 사전 설문지를 제출해주세요.
사전 설문지 : https://recruit.ab180.co/4fba7efb-9cc5-464d-a258-b6a1bd4aa04b

1차 인터뷰
직무 스킬 및 역량을 확인하기 위해 팀 리드와 구술 인터뷰를 진행합니다.

2차 인터뷰
회사 업무 및 문화 적합도 등을 판단하기 위해 관련 부문장과 구술 인터뷰를 진행합니다.

입사 협의
입사 조건을 협의하고 입사를 확정합니다.","1. 업무 효율과 생산성을 높이기 위해 아낌없이 지원합니다
    - 코어 워킹 타임 기반의 선택적 근로시간제 운영
    - 자유롭고 다양한 휴가 제도 운영 (반반차 휴가 및 생일 휴가, 출산 검진 휴가 등)
    - 3년 · 5년 · 7년 만근 시 유급 리프레시 휴가 제공
    - 야근 시 식비 및 교통비 지원
    - 고사양의 장비 지원(MacBook Pro, 고사양 모니터, 키보드 · 마우스 기기 선택 가능)

2. 구성원의 주도적인 성장이 AB180의 성장으로 이어진다고 믿습니다
    - 강의, 세미나, 외부 교육, 국내외 컨퍼런스 등 참가비 지원
    - 도서 구입비 지원
    - 체계적인 온보딩 커리큘럼과 신규 입사자 멘토링 운영
    - Product Research, Success Case Study, Knowledge Transfer 등 전사적 · 팀별로 다양한 지식 공유 프로그램 운영

3. 구성원의 의견을 수렴하고 더 나은 방향으로 나아가기 위한 Open Culture를 지향합니다 
    - 직무에 제한 없이 누구나 프로덕트 개선에 의견을 낼 수 있는 아이디어 파크 운영
    - 모든 구성원이 모여 회고를 나누고 비전을 공유하는 타운홀 미팅 & Airbase 진행
    - 업무 환경 · 조직 문화 개선에 대해 자유롭게 건의하고, 구체적으로 대책이 논의되는 오픈 서베이 상시 운영

4. 그외 다양한 혜택과 복지를 소개합니다
    - 강남역 9번 출구 3분 거리의 초특급 역세권 사무실
    - 스낵바, 커피・탄산수 머신 설치 운영
    - 라운지, 미팅룸, 폰부스 등 공용공간 · 휴게공간 완비
    - 중소기업청년 소득세 감면 혜택 적용 가능",서울 서초구 강남대로61길 17 3층, B2B Sales 등의 포지션에서 3년 이상의 경력에 준하는 경험이 있으신 분 영어 커뮤니케이션이 능숙하신 분 고객 중심 사고와 Happy to Help Mindset 을 통해 고객의 비즈니스 성장을 돕기를 원하시는 분 동시에 다양한 프로젝트를 관리하고 구성원과 협업하는 역량을 갖고 계신 분 AdTech 분야 경험 SaaS Product Sales 경험이 있으신 분 의사결정자 경험 또는 의사결정 프로세스를 빠르게 판단하는 역량이 있으신 분  CLevel 의사결정 프로세스에 참여한 경험이 있으신 분 다양한 산업의 클라이언트를 담당하신 분,1008
(주)빅닷,정규직,"['영업기획', '영업', '영업관리', '전략', '국내영업']","Vikan Rubbermaid 공식 수입원으로 1997년 설립 이후 매년 매출 및 이익률 성장의 안정성 있는 청소용품 수입/도소매 유통 기업입니다.

빅닷은요?

권위NO! 수평적인 관계!
- 직급, 나이에 상관없이 언제나 좋은 아이디어, 의견이 있으면 자유롭게 소통을 해요

자유로운 연차사용!
- 언제나 휴식이 필요하면 떠날 수 있어요~

6:00 떙 칼퇴근!
- 사장님, 상사가 퇴근을 안했다고 앉아있다? 할 일이 끝났다면 눈치보지 않고 칼퇴!", 제품영업 식품회사 제약회사 프랜차이즈 등 신규 고객사 개척 거래처 관리 영업전략 수립 및 시장분석,1차 서류면접 > 2차 면접 > 3차 채용통보,"- 장기근속 포상 (근속년수에 따라 혜택제공)
- 생일선물 (스타벅스 기프티콘 제공) 
- 자기계발비 지원 (책 구입, 강의 등 비용 50% 지원)
- 경조사 (경조사 발생시 휴가, 경조금 제공)
- 자사제품 할인 
- 건강관리 (격년 종합건강검진)
- 명절선물 지급 (명절마다 양손 무겁게 선물제공)
- 청년 내일채움 공제
- 간식지원 (내가 먹고싶은 과자, 부식 제공)
 -회식비 지원 (팀, 친한 동료들과 술 한잔!)
- 자유로운 복장 (내 마음대로, 편한 복장으로 출근!)",경기도 과천시 뒷골로 22-14, 학력  초대졸 이상 경력  3년 이상 운전 가능자 식품위생 관련 영업 경험자 컴퓨터 활동능력 OA 우수자,1009
태웅메디칼(주),정규직,"['영업기획', '영업', '국내영업', '의료기기']","다음과 같이 유능한 인재를 채용합니다.
미래를 함께 이끌어나갈 분들의 많은 관심과 지원 바랍니다.",내과팀 스텐트 의료기기 제품 영업대학병원 대리점 관리매출 관리,서류전형 > 1차면접(온라인면접) > 2차면접 > 최종합격자 발표,"각종 복리후생제도가 있으며, 계속해서 새로운 복리후생제도를 개선하고 만들어가고 있습니다.
1. 자기계발비 지원
2. 건강검진비 지원
3. 생일수당+생일휴가
4. 자녀교육비 지원
5. 교육, 레져활동 수당 지급
6. 동호회비 지원
7. 장기근속자
8. 교육수당 지급
9. 설, 추석, 하계휴가비 지급
10. 리조트 회원권 운영
11. 조식비 지급 등 기타",경기 김포시 월곶면 고정로 14 (고막리),학력  대졸 이상 2 3년경력  신입해당직무 근무경험 PPT능력 우수자,1010
(주)와이톤,정규직,"['기획', '마케팅', 'SNS', '컨텐츠마케팅']","We focus on WHY That's our TONE
데이터를 기반으로 브랜드의 방향을 제시하고,
소비자에 집중하며 브랜드의 성장을 만들어갑니다.
초고속으로 성장하는 회사로
새로운 동행을 함께하실 분들의 지원을 기다립니다.

Our Value & Vision
이커머스를 기반한 브랜드 빌더 컴퍼니로써 디지털 환경속에서 소비자들이 브랜드를 마주하고 경험할 수 있는 기반을 만들면서 성과를 만들어가고 있습니다.

About Y-TONE
와이톤은 국내와 아시아 이커머스 시장에서
브랜딩과 퍼포먼스를 위한 최적화된 커뮤니케이션 전략 기획과 운영으로 성장을 만드는 글로벌 이커머스 빌더 컴퍼니입니다.
국내외 뷰티/헬스/패션/ 플랫폼 등 업계를 리드하는
대기업 브랜드, 스타트업 브랜드와 함께 매년 폭발적인 성장을 만들고 있으며, 국내외 이커머스 유통까지 확대를 하고 있습니다.


Y-TONER
인재상
와이톤은 WHY를 고민하며 Awake / Hustle / Respect에 맞춰 성장하는 인재를 육성하고,
성장하는 와이토너에게 매월 / 매년 성과를 보상하고 권한을 부여합니다.

Y-toner Benefit
와이톤은 회사와 성장에 좋은 인재가 필수라고 생각합니다.
조직원의 성장과 열정을 더할 수 있는 것이라면 아낌없이 제공하고자 합니다.
서로 좋은 영향을 주는 좋은 팀원과 서로 배려하는 분위기, 성장기회는
와이톤의 가장 큰 장점입니다.
", 컨텐츠 영상 기획 및 SNS채널 운영 퍼포먼스 마케팅과 DA광고 운영을 위한 크리에이티브 기획 및 전략 수립 영상이미지아티클 형태의 컨텐츠 기획 SNS 컨텐츠 채널 운영 마케팅 관련 지표 및 데이터 관리,"HIRING PROCESS
채용사이트를 통해 지원(이력서, 포트폴리오, 경력기술서 첨부)
**최종 합격 시 수습기간 존재
서류전형 > 임원 면접 > 최종 합격
","1월 1회 리프레시 데이 (원하는 곳에서 근무하자!)
업무관련도서 구매비용 지원
커피 & 스낵 무제한 제공
성장하는 와이토너에 대한 성과보상
미리 공유하고 사유를 적지 않는 연차사용
업무에 필요한 교육지원
야근시 식대 및 택시비 제공
전직원 노트북 및 모니터 제공
경조사 경조화환 및 경조금 지원
명절 선물 지급
","서울 강남구 선릉로131길 9, 3층", 컨텐츠 및 SNS 운영 경력 12년 뉴 미디어 지식과 독창적인 컨텐츠 기획 아이디어를 보유하신 분 주도적으로 업무를 추진하고 수행할 수 있는 분 컨텐츠 기획 및 제작의 전반적인 프로세스를 경험해보신 분 자체 IP컨텐츠 운영 하신분 GA를 비롯한 퍼포먼스 마케팅툴 경험하신 분,1790
데이원컴퍼니(주),계약직 (정규직 전환 가능),"['기획', '마케팅', '영업']","[Fastcampus CIC]

""산업과 교육 간 미스매치를 해소하는 Fastcampus CIC""


직장인에게 요구되는 역량의 종류는 더욱 다양해지고 있고, 그 수준도 무시할 수 없이 높아지고 있습니다. Fastcampus는 현재 시장에서 요구되고 있는, 나아가 앞으로 요구될 것으로 보이는 직무 역량을 빠르고 날카롭게 포착해 교육 콘텐츠를 개발하고 제공합니다. 

'프로그래밍', '마케팅', '데이터사이언스', '파이낸스', '크리에이티브'등 높은 부가가치를 내고있는 각 영역 최고의 실무자들과 함께 교육 콘텐츠를 만들어 나가고 있습니다. 현업에서 즉시 적용 가능한 프로젝트와 트렌드를 리딩하는 실사례 기반 콘텐츠는 온/오프라인 등 형식에 구애 받지 않고 개발되고 있으며, 성장을 원하는 고객들에게 전에 없던 변화를 안겨주고 있습니다. 
 

[기업교육의 진짜 'Game Changer' 패스트캠퍼스 B2B교육사업본부]

기업의 경쟁력은 '디지털트랜스포메이션'에 달려 있습니다.

4차 산업혁명과 시장의 디지털화는 겉잡을 수 없이 빠르게 진행되고 있으며, 기업들은 [다가온 미래]인 디지털 환경에서의 비즈니스 성장을 위해 기존에 운영하던 직무들의 대한 재개편과 함께 임직원들의 재교육을 필요로 하고 있습니다. 

패스트캠퍼스 Fastcampus CIC의 B2B교육사업본부는 이 수요에 정확히 대응하는 콘텐츠와 서비스를 제공합니다. 기업들이 변화에 대응해 지속적으로 성장할 수 있도록 맞춤형 기업교육, 온라인 직무교육 구독서비스 등 다양한 교육 서비스를 제공하고 있습니다. ",1 B2B 리드 제너레이션 목적의 콘텐츠 기획과 제작 신규 리드 확보를 위한 백서 뉴스레터 웨비나 기획과 제작배포 검색엔진최적화SEO에 대한 이해를 바탕으로 오가닉 사용자 상승을 위한 블로그 아티클 기획과 제작2 B2B 리드 너처링 목적의 마케팅 캠페인 운영 리드 퍼널 및 타겟 세그먼트에 따른 이메일 자동화 기획과 운영  잠재 고객 및 기고객 관계 관리 차원의 오프라인 이벤트 기획 및 실행 초기 세일즈 담당 부서와의 커뮤니케이션 및 협업 영업팀과의 유기적인 협업을 통해 계약 논의까지 기대할 수 있는 신규 기업 발굴,- 서류 전형 -> 현장과제&인터뷰 -> 최종 합격,"- 내/외부교육비지원(300-500만원 한도)
- 주택 관련 대출 이자 지원 제도 (정규직 재직 1년 이상)
- 종합건강검진 서비스 제공
- 마인드케어(EAP)프로그램 운영
- 체력단련비 지원
- 개인 경비 및 경조사비 지원
- 생일 조기 퇴근, 생일선물, 명절선물 지급
- 안식휴가(3년 근속시 10일, 6년 근속시 20일 부여)
- 자유로운 연차 사용
- 무제한 스낵바/카페테리아 제공
- 시차출퇴근제 '8 to 10 ~ 17 to 19' (출근길에 뛰지 마세요!)
- 수평적 소통 문화 (인턴도 대표도 모두 다 ‘000님’으로 통일!)","서울시 강남구 테헤란로 231, 센터필드 WEST 6~7층", 콘텐츠 기획 제작 관련 업무 경험이 있으신 분 실용적인 글쓰기 역량을 바탕으로 다양한 콘텐츠 제작에 열려 있는 분 기업 간 거래B2B의 특성을 이해하여 잠재 고객사의 다양한 이해관계자를 설득할 수 있는 카피라이팅이 가능하신 분 B2B 비즈니스에서의 콘텐츠 마케팅 또는 브랜드 마케팅 경험이 있으신 분 검색엔진최적화SEO에 대한 기본적인 이해도가 있으신 분 B2B 고객 관리를 위한 CRM 툴 활용 경험이 있으신 분 ,1809
티핏클래스(주),정규직,"['기획', '마케팅', 'SNS', '카피라이팅', '컨텐츠 기획']","사람마다 ‘바르다’의 기준이 상이할 수 있습니다.
누군가는 유해성분이 없는, 친환경적인
또 누군가에겐 트렌디하고 멋진.

그래서 우리는 넘치는 정보와 제품 속 건강한 나를 위한 뷰티 즉, ‘바른 뷰티’의 기준을 정하고
세상의 모든 ‘나’들을 위한 뷰티 솔루션을 제공하고자 합니다.

건강한 나로 자신감 넘치는 삶을 지향하는
우리는 티핏클래스입니다.", 제품 마케팅 컨텐츠 기획 및 관리 인스타그램 틱톡 유튜브 등 자사 공식 SNS 컨텐츠 기획 및 운영 인스타그램 틱톡 유튜브 등의 매체를 통한 인플루언서 시딩 및 협업 인플루언서 마케팅에 필요한 제품 브리핑 자료 작성 국내 글로벌 제품 상세페이지 기획 및 카피라이팅 글로벌 시장 트렌드 분석,서류전형 > 실무자면접 > 최종합격,"[행복하기 일하기 위한 복리후생]

입사시 웰컴키트
- 필요한 사무용품과 자사제품 지급

신제품 증정
- 신제품 출시 시, 전직원 증정

직원할인 제공 
- 자사제품 구매 시 깜짝 놀랄 할인 제공

자기계발지원
- 업무관련강의&전시, 도서 등 지원

슬기로운 점심시간
- 점심시간 90분!
- 식사후 티타임까지 -

점심 식대지원
- 점심 식사비 별도 지원

인센티브제
- 성과에 보상하는 성과급 지급

강요없는힐링 회식
- 회식비 지원 & 근무시간 단축 가능

명절 선물 지급
- 설&추석맞이 선물세트 지급

해피버스데이
- 당일반차 및 생일선물제공

외근 회사차량 보유
- 외근차량사용시 유류비 & 통행료 등 지원

교통비 지원 
- 차량유류비지원 (장거리자차시)

듀얼모니터 사용
- 업무 향상을 위한 전직원 듀얼 모니터

경조사지원
- 각종 경조금
- 경조휴가지원

직원 스낵바 운영
- 각종 음료&간식 무한제공

자유로운 복장
- 편한 게 최고! 개인취향존중!

자유로운 연차/반차
- 쉬는 것은 권리! 자유로운 연차 사용

2시간 휴가제
- 필요할 때 나눠쓰는 반반차제도 시행

여성 존중 제도화 
- 출산 전/후 휴가, 육아휴직, 근로시간 단축(제한 시기)

비상약 지원
- 진통제, 연고, 밴드 등 기본 비상약 구비

그 밖에-
- 주 5일제 근무(주말 및 공휴일 휴무)
- 4대보험, 퇴직금 혜택

연장근무지양!
- 불가피하게 늦은 시간까지 야근시 식대 및 택시비 지원

장기근속자포상
1년-10만원 상품권/2년 -20만원 상품권
3년-현금 30만원+유급휴가 3일
5년-현금 300만원+유급휴가 5일
7년-동남아 여행권 (500만원 상당) + 유급휴가 7일
9년-유럽여행권 (1,000만원 상당) + 유급휴가 9일 + 특별포상 지원
","인천 연수구 센트럴로 263, 14층 1,2,3호", 비즈니스 영어 사용 가능하신 분 뷰티 관련 마케팅 경력 1년 이상이신 분 카피라이팅 능력이 우수하신 분 브랜드 비주얼 기획 및 관리를 경험해보신 분 뷰티 트렌드에 대한 관심과 이해도가 높으신 분 포트폴리오 제출,1827
(주)윗유,정규직,"['기획', '마케팅', '퍼포먼스마케팅', '온라인마케팅', '광고']","윗유는 숏폼 전문 마케팅 스타트업입니다. 

핵심 사업 영역
1. Short-Form MCN - YouTube Shorts, Instagram Reels, TikTok Creators
2. Media Buying & Operating - TikTok, Meta, Google 파트너
3. Production - AR & Video 콘텐츠(브랜드 계정 운영, 숏폼 CF)

2019년 창업 이후, 매년 새로운 도전과 결과로 숏폼 시장을 개척하며 급성장하고 있습니다.

2019년 850만원 매출에서, 2021년 137억 매출 달성, 22년에는 매출 378억을 달성했습니다.

매출이 증명하듯 윗유의 가장 큰 매력은 성장입니다. 
우리는 빠르게, 다르게, 확실하게 부딪히고 도전합니다.

함께 성장하고 도전할 동료를 구합니다. 

윗유witU 로켓에 올라타세요.



* 참고 사항 *
[국내 유일] 3대 숏폼 플랫폼 파트너

1. TikTok for Business 파트너 - 취급고 1위 & TikTok Marketing Partners & TikTok 파트너 MCN - TOP 3 
2. Meta for Business 파트너
3. Google(YouTube) 파트너

[2030 젊은 조직 구성 - 40인 규모]", 미디어별TikTok META GOOGLE 등 퍼포먼스 마케팅 자사글로벌 퍼포먼스 마케팅 고객사 광고 제안시장조사 미디어분석 제안서 작성 등 광고 캠페인 세팅 및 Upper Funnel  Low FunnelROAS 최적화 성과 테이터 분석을 통한 인사이트 도출 캠페인 및 크리에이티브 기획 및 미디어 믹스 제안 크리에이터  광고주 커뮤니케이션을 통한 업셀링,"서류 면접  대면 면접(1차)  > 대면 면접(2차, *필요 시)","• 사내 카페(바리스타 상주) 운영
• 업무 환경 - 더블/트리플 모니터, 소프트웨어, 장비 등 업무 능률 향상을 위한 장비는 모두 제공합니다
• 자유로운 연차 제도
• 실력과 성과에 따른 인센티브 및 스톡옵션",서울 강남구 선릉로133길 17, MMP 혹은 퍼포먼스 마케팅 실무 경험이 있으신 분 GTM 세팅 경력자 필수 UTM 세팅 경력자 필수 GA 분석 자신 있으신 분 필수 구글 키워드 최적화 경력자 동종 업계 경험 보유자  광고대행사 디지털 광고 관련 직무 구글 관련 자격증 소지자 캠페인 제안서 작성 결과 리포팅 등 실무 경험이 있는 자 팀 플레이어  팀원과 잘 어울리며 서로 도우며 성장할 수 있는 자 외국어영어중국어 등 가능,1908
