회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
콘센트릭스서비스코리아(유),정규직,['디지털마케팅'],"콘센트릭스 Catalyst는 미국 나스닥에 상장된 매출 13조, 직원수 44만명, 전 세계 70여개 국가에서 사업을 영위하는 글로벌 기업 콘센트릭스의 한국 법인으로 디지털 마케팅 및 이커머스 컨설팅 전문 기업입니다.

콘센트릭스 Catalyst는 디지털 마케팅 전 영역(전략컨설팅, UXUI, 웹컨텐츠, 구축/운영, 분석)에 대한 END TO END 서비스 제공 및 E-commerce 플랫폼의 기획,구축,운영을 수행하며 글로벌 Top-tier 대기업들과의 전략적 파트너로서 입지를 공고히 다져오고 있습니다. 

뷰티/코스메틱/전자/자동차 등 글로벌 기업들과의 협업을 통해 다양한 업무 경험을 쌓고 역량을 강화하며 콘센트릭스 Catalyst와 함께 수평적이고 수직적인 성장을 원하신다면 적극적인 지원을 부탁드립니다.", 엑셀 및 Powerpoint 활용하여 데이터 분석 보고 자료 작성 웹사이트 SEO Audit Performance Data 측정 SEO 태그On Off Contents SEO 분석 및 제작 Technical SEO 요소 분석 및 SEO 트렌드 확인  SEO KPI Data 분석 및 모니터링 이슈 해결 성과 분석 등 전략 구축 고도화 된 키워드 분석 진행 및 인사이트 도출 타겟 고객에 대한 정합성 분석 및 Insight 도출 대시보드 기획구현,"- 서류전형->1차면접->2차면접->최종합격
* 단계별 합격자에 한해 개별 연락 드리고 있습니다.
* 1차/2차 면접 후 인성검사를 실시할 수 있습니다.
* 화상 인터뷰와 대면 인터뷰를 함께 실시하고 있습니다.
- 입사지원서 내용에 허위사실이 발견될 경우, 채용이 취소될 수 있습니다.
","콘센트릭스는 아래와 같은 혜택을 구성원들과 함께 나눈답니다 !

1. For your personal life
• 단체보험 : 질병/재해 사망, 실손보험 제공
• 건강검진 및 독감접종비 지원
• 명절 상품권 지급
• 고등 자녀 교육비 지원
• 주택대출이자 지원
• 호텔 연계할인 프로그램
• EAP(Employee Assistance Program) 전문 심리 상담 자문 서비스
 

2. For your work life
• 야근 식대 및 택시비 지원
• 출퇴근용 주차비 지원
• 직원추천프로그램: 추천직원 채용시 보너스 지급
• 장애를 가진 직원을 위한 수당지급
 

3. For your development
• 신규입사자 OT 및 NEO 프로그램
• 신규입사자 100일 온보딩 프로그램
• 영어 교육비 지원
• 연간 무제한 온라인 학습 사이트
• Hobby club 지원
 
4. For your special moment
• 신규입사자 웰컴키트 제공
• 입사 1주년 축하 선물 제공
• 승진 축하선물 제공
• 각종 경조사 경조금, 근조화환, 휴가 제공
• 장기근속자 포상금 및 특별휴가 제공
• Family Day :설(구정)과 추석 명절 연휴전, 연말 마지막 근무일 조기퇴근
• Refresh Day: 매월 마지막주 금요일 조기퇴근
• Special Day: 생일자 당월 특별 휴가 제공","서울특별시 강남구 테헤란로 509, 5층(삼성동, 엔씨타워1)", SEO 경험이 없어도 좋으며 웹사이트 운영 기획 등을 최소한으로 경험하신 분 파워포인트 엑셀 리포팅에 자신 있으신 분 원활한 커뮤니케이션 능력 및 팀 협업 능력 보유하신 분 능동적이고 적극적인 사고를 토대로 본인의 책임을 다하고자 하는 분 끝없이 트랜드를 추구하는 지적 호기심이 있으신 분 새로운 도전과 배움에 두려움 없으신 분 ① 영어 및 외국어 가능자 해외대 출신 어학연수 포함 ② Google Search Console  Google Analytics 등 다양한 SEO 관련 툴에 대한 개념을 아시는 분 컴공 전공의 대학 졸업자 웹사이트 개발tech 지식 분석SEOSEM 전반 경험 보유자 데이터 분석 기반 인사이트 도출 경험 Big Data 분석 스킬 Python SQL Big Query 등 및 통계 지식 우대 엑셀 Macro 작업 가능자 우대,3980
(주)에스오씨컴퍼니,정규직,"['기획', '마케팅', '디지털마케팅', '퍼포먼스마케팅', '온라인마케팅', 'SNS마케팅', '디지털 마케팅', 'sns 콘텐츠 기획', '온라인 광고']","“New Way to Experience BRAND”
㈜에스오씨(SOC)컴퍼니는 빠르게 성장하고 있는, 
브랜드 콘텐츠 연출을 전문으로 하고 있는 새로운 방식의 브랜딩 에이전시 입니다. 
한화, LG 계열사의 대내외 커뮤니케이션을 위한 온라인 콘텐츠 제작을 하고 있으며,
뷰티&메디컬 분야의 퍼포먼스 광고, 브랜드 마케팅 사업을 빠르게 확장시켜 가고 있습니다.",월간 Web Content Magazine style기획 및 운영SNS소셜미디어 마케팅 기획 및 운영 META 및 그 외 디지털 매체 퍼포먼스 관리 구글 GDN 포함마케팅 콘텐츠 기획현재 Client  한화 LG PUBG 프렌차이즈 클리닉 외,"ㆍ서류전형 > 1차면접(비대면) > 2차면접(대면) > 최종합격
ㆍ면접일정은 추후 통보됩니다.","혜택 및 복지
• 랩탑/데스크탑, 태블릿 등 업무에 필요한 장비 지원
• 성과 base의 빠른 보상
• 4대보험 지원 (인턴 및 계약직 포함)
• 석식 제공
• 계열사 할인 (신사동 부근 와인바 연계)
• 3호선 신사역 5분거리 위치","서울 강남구 논현로 151길, 30",디지털 마케팅 경력 최소 만 1년 이상   FBIG Google Naver Kakao 광고 운영 경력 포함 온라인 및 모바일 광고 캠페인 관련 이해도가 높은 분주도적으로 업무를 진행하고 마감할 수 있는 책임감 있으신 분디자이너와 협업을 통해 성과 드라이브를 해보신 분대기업 클라이언트를 응대하며 마케팅 컨설팅 경력이 있으신 분 매체기획Media Planning 경험이 있으신 분,3981
피이그(주),정규직,"['기획', '마케팅', '디지털마케팅', '전략']","색다른 캠페인을 기획하고, 
시선을 사로잡을 광고, 파격적인 프로모션과 쿨한 파티,
영감을 일으키는 크리에이티브를 창작해 낼 
당신을 기다립니다.", 디지털 마케터AE는 이런 포지션입니다디지털 마케팅의 기본 이론과 실무 능력을 갖추어 다양한 채널과 플랫폼을 활용해서 캠패인을 기획하고 실행해요FIG 내부 팀이나 외주 파트너 업체 등 다양한 파트너와 업무 협업을 통해 최고최선의 결과물을 만들어내는 포지션이에요빠르게 변화하는 마케팅 환경에 적응하고 학습하며 나아가 FIG의 디지털 경험을 확대하고 리딩하는 포지션이에요MANAGER SENIOR 뿐 아니라 JUNIOR와도 적극 소통하는 중간관리자로서의 커뮤니케이션을 수행해요 이런 업무를 담당하시게 됩니다클라이언트와의 커뮤니케이션을 통해 Needs를 정확히 파악하고 그에 맞는 브랜드 디지털 마케팅 전략을 수립해요경쟁사 분석 및 시장 트렌드를 바탕으로 마켓 인사이트를 조사하고 배포해요퍼포먼스 마케팅에 대한 기본적인 이해를 가지고 데이터 도출을 통한 프로젝트 성과 효율을 높이는 걸 목표로 해요Creative 제작을 위해 FIG의 내부 팀 또는 외주 파트너 업체 등 다양한 파트너와 업무 협업을 하게 됩니다,"[FIG에 합류하는 과정]
1) 서류 접수(서류 열람 후 최대 1주일 내 결과 발표)
제출해주신 모든 서류를 꼼꼼히 확인하는 과정이오니, 잠시만 기다려 주세요. 

2) 대면 면접(약 30분 소요)
면접관 다수와 지원자님으로 면접이 진행됩니다. 실무 및 회사 컬쳐핏에 맞는지 확인하는 과정이예요.

3) 처우 협의 및 최종 합격
처우, 입사 일정 등을 협의합니다. FIG에 새로운 일원이 된 걸 환영해요!🎉","[기업문화 및 복리후생]

ㆍ출/퇴근 시간에 대해 압박이 없는 유연근무제 (Core-time 11시 ~ 17시는 지켜주셔야 해요!)
ㆍ여러분의 휴가를 존중합니다! (연차, 반차 뿐 아니라 반반차 사용 가능)
ㆍ무료 스낵바, 에스프레소 머신, 음료 등 무제한 간식 지원해드려요.  맥주도 있는 건 비밀..
ㆍ여러분의 업무 환경을 지원합니다. 최고급 업무장비를 지원해드려요.
ㆍ생일 축하합니다! (생일 대상자 생일 선물 제공)
ㆍFuse tour✈️ : 매 년 1명을 선발하여 최대 5일 및 300만원까지 지원해드려요!
ㆍ각 분야에서 최고로 몰입할 수 있도록 도와주는 뛰어난 동료들이 있습니다.","서울 마포구 와우산로 48, B1호",이런 능력을 필요로 해요직무 경력 3년 이상의 경력 또는 그에 준하는 경험을 보유한 분3개 이상의 광고 제작 혹은 브랜딩 커뮤니케이션 프로젝트 경험 필수Google Meta 등 유료 광고 운영을 경험하신 분다양한 파트너와의 CoWorking 경험을 가진 분이런 능력이 있으시다면 더욱 좋아요새로운 아이디어를 시도하고 실패를 두려워하지 않는 태도를 가진 분다양한 플랫폼 및 컨텐츠와 매체에 대한 높은 관심을 가지고 있는 분업계와 시장의 비즈니스 목적과 전략에 부합하는 트렌드를 파악하고 유저의 니즈에 맞춰 제시할 수 있는 분퍼포먼스 분석도구를 활용한 시장에 대한 이해와 그를 바탕으로 효율적으로 운영하는 것에 관심이 있는 분,3982
(주)딥파인,정규직,"['마케팅', '콘텐츠기획', '온라인마케팅', '전략', '서비스마케팅']","[회사소개]
딥파인은 산업용 업무협업 솔루션 ARON을 시작으로 다양한 XR기술과 서비스를 개발하고 있습니다.
이후 완성된 플랫폼 기업으로 나아가기 위해 가장 강력한 XR 플랫폼을 
함께 만들어갈 뛰어난 동료를 기다립니다!

딥파인의 ARON은 건설, 식품, 항공 등 국내 Top 기업고객들이 사용중에 있으며, 
스마트글라스를 활용한 솔루션으로써 국내 최대 상용화에 성공하였습니다. 

딥파인은 VPS 기반의 XR 플랫폼 출시를 목표로 현재 다양한 연구와 개발을 진행하고 있습니다. 
이는, 한국국토정보공사가 주관하는 'AR기반 실내 측위 서비스 시범 사업' 선정되어 그 기술력을 인정 받았습니다.

또한 창립 3년여만에 빠르게 성장하여, 2022년 Pre-A 시리즈 투자를 성공적으로 마무리 하였습니다.
XR 기술을 활용하여 어디에도 없는 새로운 메타버스 생태계를 구축한다는 자부심을 가지고
함께하는 성장에 가치를 느끼고 싶은 분이라면 언제든지 환영합니다.

[주요 사업 분야]
-비대면 업무협업 솔루션 ARON
-비대면 업무협업 솔루션  ARON Enterprise 
-XR 플랫폼 연구 및 구축
-XR 디바이스 솔루션 구축


[이런 분을 찾습니다!]
현재 딥파인은 ARON이라는 제품(B2B)과 함께 
B2C로 확장을 위해 XR 플랫폼 개발을 진행중에 있습니다.

하여, 지금까지 외부 협력 업체를 통해 마케팅 업무를 진행해왔다면,
이번 채용을 통해 새롭게 선보일 제품에 대한 비즈니스 전략을 수립하고
전체적인 마케팅 로드맵을 그려서 사업 milestone을 함께 실행시켜 나갈 주실 분을 찾고 있습니다. 

회사와 서비스에 애착을 가지고 끊임없이 도전하는 추진력이 있으신 분이였으면 좋겠습니다. 
저희만의 브랜드를 만들어가기 위한 여정에 즐거움을 느끼시는 분이였으면 좋겠습니다.


[기타 사항]
포트폴리오를 필수로 제출해 주시기 바랍니다.

지원서에는 최근 수행한 마케팅 목표와 설계, 결과, lessons learned와 
본인의 강점과 약점에 대한 설명을 상세히 기술해 주시면 
검토하는 데에 도움이 됩니다.", 브랜드 핵심 목표 달성을 위한 전략 수립 및 실행 B2B IT 제품서비스 고객 확보를 위한 IMC통합마케팅 전략을 수립하고 실행 PR 자료 뉴스레터 블로그 브로셔 튜토리얼 등의 콘텐츠 기획 및 제작 온라인 마케팅 성과 지표 셋업 및 광고 기획 집행 분석 효율화 투자사잠재고객사 대상으로 발행되는 뉴스레터의 기획 제작 효율분석 등 진행 데이터 분석을 통한 다양한 AB Test 가설 수립 및 효율을 개선,"[채용 절차]
• 1. 서류전형 ＞ 2. 실무 인터뷰(대면) ＞ 3. 최종 인터뷰(대면) ＞ 3. 최종합격
최종 합격 여부는 빠르면 24시간 이내 늦어도 2-3일 이내 안내드립니다.","[혜택 및 복지]
• 목표 매출 달성 시 상여금을 지급합니다.
• 각종 경조사비 및 경조 휴가를 제공합니다.
• 명절 선물 및 교통비를 제공합니다.
• 자기 계발 & 업무 관련 도서를 지원합니다.
• 업무 관련 교육비를 지원합니다.
• 대학원 학비 일부를 지원합니다.
• 음료수 무한 제공합니다.
• 매월 마지막 주 금요일 2시간 조기퇴근합니다.
• 매월 영화 관람비 지원합니다.
• 생일자는 그 주 원하는 날짜에 반차를 쓸 수 있습니다.","경기 시흥시 산기대학로 77, 12동 지하1층 12비08호", 동종업계 경력 5년 이상 전사 목표 달성을 위한 마케팅 목표 설정 및 팀 리딩이 가능하신 분 디지털 마케팅 매체 별 특성에 대한 이해 및 운영 경험이 있으신 분  데이터 분석을 바탕으로 한 지표관리 인사이트 도출 의사결정이 가능하신 분 브랜드 초기부터 마케팅을 통해 서비스 성장에 기여한 성공 사례를 직접 만들어보신 분 구성원들과의 협업을 즐기고 성과를 함께 나눌 수 있는 분 초기 stage의 서비스를 성장시켜 본 경험을 보유하신 분 Product의 성장 주기와 경쟁 환경을 고려한 마케팅 커뮤니케이션 플랜을    직접 수립하고 실행까지 해 보신 분 Data에서 인사이트를 도출하고 시장 트렌드와 접목하여 실행 계획을 도출해 보신 분 신규 조직을 성공적으로 이끌어본 경험이 있는 분 IT모바일웹 기반 스타트업 마케팅 업무 경험이 있으신 분 비지니스 영어 회화가 가능하신 분,3983
(주)알체라,정규직,"['기획', '마케팅', '디지털마케팅', '온라인마케팅']","■ 알체라 소개
Alchera는 국내 1위 영상 인식 AI 기술을 바탕으로 “Smart Viewing”을 실현하고 있습니다. 
카메라 기기에 최적화된 AI를 통해 출입통제 시스템, Health-Care, 산불 감시(Firescout), Fin-Tech(useB) 등 모든 산업으로 나아가고 있습니다.
AI를 통해 인류를 더 나은 곳으로 갈 수 있게 할 수 있다면 어느 분야든 알체라의 도전은 멈추지 않습니다.", 기업 전반의 Digital Asset 기획 및 운영웹사이트 CRM 소셜 전반 기획 전략 및 방향성 수립 알체라 웹사이트 내 Customer Journey를 위한 캠페인 기획운영 브랜딩프로젝트 캠페인 및 3rd party 채널 기획 마케팅 툴Salesforce Pardot 등을 활용하여 Databased 디지털 활동 기획 및 의사 결정,서류 전형 - Job / Culture Fit Interview - 처우 협의 - 최종 입사,"■ 몰입할 수 있는 최고의 환경
• 자유 복장과 자율 출퇴근제
• 직무에 맞는 최고급 업무 장비 및 소프트웨어 제공
• 전 직원 모션 데스크 기본 제공
• 업무에 집중할 수 있는 포커스 룸 
• 고급 커피 무제한 제공
• 야근 택시비 지원

■ 아낌없는 보상과 지원
• 업계 최고 연봉
• 개인 역량에 따른 사이닝/리텐션 보너스 지급
• 내부 인재 추천 제도 운영 (포상금 최대 7백만 원)
• 각종 경조비 지원 (ex. 결혼 시 200만 원)
• 생일자 상품권 지급

■ 휴식과 에너지
• Refresh 휴가 제도 운영 (1년 최대 5일 휴가 별도 지급)
• 3/6/10년 근속자 대상 휴가 지원금 지원
• 사무실 내 안마 의자
• 종합 건강 검진 지원 (배우자 포함)
• 휴양소 대명 리조트 운영
• 독감 예방 접종 지원

■ 함께 성장하는 알체라
• 자기 개발비 지원
• 온/오프라인 교육 무제한 지원
• 직무 관련 도서 구입비 무제한 지원
• 본인 및 자녀 학자금 지원
• 팀별 회의비 지원","경기 성남시 분당구 판교로256번길 25, 7층",  1 기업의 Digital Transformation ImplementationManagement 경험자2 기획자로서 여러 부서 및 팀원 외부와 원활하게 소통할 수 있는 분3 포트폴리오 제출 必 Digital agency에서 광고 기획자 PM으로 근무 경험을 가지신 분 B2B IT AI 등 유관 비즈니스 업계를 경험해보신 분  Data Analytics 스킬 보유자 SEO 및 Website Data 관리 경험 보유자,3984
(주)메이데이파트너스,정규직,"['기획', '마케팅', '디지털마케팅', '온라인마케팅', 'SNS 마케팅', '광고']","메이데이파트너스는 디지털을 기반으로 IT, CT 등 다양한 분야와의 융·복합을 통해 메이데이파트너스만의 New Creative를 선사하고 있으며, 시장의 흐름에 발맞추어 XR 혼합현실 이벤트 산업의 선두주자가 되고자 도약을 준비하고 있습니다.

프로모션 / 컨설팅 / 온라인 마케팅 / 멀티미디어 / PR / 디자인 / 실감형콘텐츠", 온라인 프로모션 기획 및 제안서 작성  SNS 바이럴 마케팅 온라인 매체광고GDN DA 등 운영  광고집행성과분석 및 보고서 작성,,"• 급여제도 - 상여금, 퇴직금, 4대보험, 진급축하비
• 교육/생활 - 도서구입비 지원, 교육비 지원, 음료제공(커피머신, 차), 명절 선물
• 근무환경 - 회의실, 카페테리아, 사원증
• 조직문화 - 수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장
• 리프레시 - 연차","서울 강남구 봉은사로 439, 2층, 3층", 0년차 신입 광고홍보학 전공,3985
(주)워즈코퍼레이션,정규직,"['마케팅', '콘텐츠기획', '디지털마케팅', '온라인마케팅']","워즈코퍼레이션은 2020년 미국 명문 사립대학 예일대학교의 시그니처 패션을 선보인 브랜드 YALE을 시작으로 Phyps, Tim Comix, Larry Clark 등 다양한 카테고리의 패션 브랜드를 운영하고 있습니다. 

""변하지 않는 옷의 기본 역할에 집중하고, 더 나아가 사람들의 자아실현을 돕기 위한 현대적 가치, 사회적 가치를 만든다""는 VISION으로 고객과 끊임없이 소통하며 브랜드 입지를 넓혀나가고 있으며, 2022년 전년 대비 200% 성장률을 기록했습니다. 

새로운 기회에 대한 아이디어는 누구나 제시하고 참여할 수 있으며,
우리 모두가 자신의 분야에서 권한과 책임을 가진 리더입니다. 
 
워즈코퍼레이션과 함께 새로운 문화를 선도할 동료를 찾습니다.",PR 및 에디터 업무  사실을 기반으로 체계적 내용의 보도자료 작성 정보 및 자료를 재구성한 매거진 기사 작성 매체 관계 구축 및 일간지매거진 피칭 취재를 통한 자사 매거진 인터뷰 컨텐츠 작성 및 진행 효율적 상호작용 가능한 라이브커머스 대본 작성  캐릭터 사업 스토리텔링 업무 매거진 커넥션 보유유튜브 컨텐츠 기획 패션유튜브 부킹 및 컨텐츠 기획 유튜브 커넥션 보유 브랜드 콘텐츠 기획 브랜드 관련 온오프라인 콘텐츠룩북커뮤니티컨퍼런스프로모션 기획 및 진행  팝업스토어이벤트 기획 및 진행 공통업무마케팅 채널 관리 인플루언서 시딩 제품 출시에 따른 프로모션 기획 및 진행 판매 추이에 따른 제품 전략 수립,"• 서류심사 ＞ 1차면접 ＞ 최종합격
• 서류 : 이력서","[ 근무환경 ]

• 시차출퇴근제
• 수평적 조직문화
• 자유로운 근무복장
• 리프레쉬 데이 (매월 마지막 주 금요일 2시 퇴근)


[ 복지 ]

• 자사몰 50% 할인 
• 반려견 복지 비용 지원
• 문화생활비 지원
• 사내 스낵바 운영
• 인센티브
• 회식비, 간식비 지원
• 생일축하금
• 야근 교통비, 식비지원
",서울특별시 성동구 성수일로12가길 22,학력  무관경력  신입  1년 이상 동종업계 경력보도자료 작성 및 배포 가능하신분브랜드 콘텐츠 스토리텔링 광고 카피라이팅 경험이 있으신 분커뮤니티 구축 및 운영 컨텐츠 경험이 있으신 분 우대사항다양한 콘텐츠 기획 및 스토리 작성 경험 보유자PR 대행사 근무 경력자친근감 있게 소통할 수 있는 커뮤니케이션 능력을 보유하신 분 패션유튜버 컨텐츠 진행 경험이 있으신분,3986
(주)윗유,정규직,"['마케팅', '퍼포먼스마케팅', '온라인마케팅', 'ga분석', 'GTM', 'utm']","윗유는 숏폼 전문 마케팅 스타트업입니다. 

핵심 사업 영역
1. Short-Form MCN - YouTube Shorts, Instagram Reels, TikTok Creators
2. Media Buying & Operating - TikTok, Meta, Google 파트너
3. Production - AR & Video 콘텐츠(브랜드 계정 운영, 숏폼 CF)

2019년 창업 이후, 매년 새로운 도전과 결과로 숏폼 시장을 개척하며 급성장하고 있습니다.

2019년 850만원 매출에서, 2021년 137억 매출 달성, 22년에는 매출 378억을 달성했습니다.

매출이 증명하듯 윗유의 가장 큰 매력은 성장입니다. 
우리는 빠르게, 다르게, 확실하게 부딪히고 도전합니다.

함께 성장하고 도전할 동료를 구합니다. 

윗유witU 로켓에 올라타세요.



* 참고 사항 *
[국내 유일] 3대 숏폼 플랫폼 파트너

1. TikTok for Business 파트너 - 취급고 1위 & TikTok Marketing Partners & TikTok 파트너 MCN - TOP 3 
2. Meta for Business 파트너
3. Google(YouTube) 파트너

[2030 젊은 조직 구성 - 40인 규모]", 캠페인 세팅 및 upper funnel  low funnel ROAS 최적화  캠페인  크리에이티브 기획  매체별 미디어믹스 제안 캠페인 데이터 분석을 통한 인사이트 도출 광고주 커뮤니케이션을 통한 업셀링UpSelling,,"• 사내 카페(바리스타 상주) 운영
• 업무 환경 - 더블/트리플 모니터, 소프트웨어, 장비 등 업무 능률 향상을 위한 장비는 모두 제공합니다
• 자유로운 연차 제도
• 실력과 성과에 따른 인센티브 및 스톡옵션",서울 강남구 선릉로133길 17, GTM 세팅 경력자  필수  UTM 세팅 경력자 필수  GA 분석 자신 있으신 분 필수 구글 키워드 최적화 경력자  동종 업계 경험 보유자  광고대행사 디지털 광고 관련 직무  구글 관련 자격증 소지자 캠페인 제안서 작성 결과 리포팅 등 실무 경험이 있는 자 팀 플레이어  팀원과 잘 어울리며 서로 도우며 성장할 수 있는 자,3987
(주)단군소프트,정규직,"['기획', '마케팅', '디자인', '온라인마케팅', '광고', 'SNS']","2002년, 단군소프트는 기존에 없던 새로운 클라우드 시장을 토대로 출범했습니다.
Microsoft Gold Partner, Adobe Platinum Partner, Autodesk Gold Partner로서 국내 기업 고객에게 여러 분야의 경쟁력 있는 소프트웨어 서비스를 제공하고 있습니다. 국내 뿐만 아닌 Global IT 솔루션 기업과 긴밀한 제휴 관계를 통해 JetBrains, GitHub, Zeplin, Acronis 등 APAC 총판 비즈니스로 지속적인 성장을 하고 있습니다.
현재는 변화하는 IT 환경에 따라 DevOps, 디자인시스템, 제조설계디자인, 클라우드, 데이터보안 등
미래를 향한 비전과 철학이 뚜렷한 글로벌 리더로 성장 중입니다.

당사가 추구하는 글로벌 미래를 함께할 자신감과 도전의식을 가진 분의 지원을 적극 환영합니다.", eDM 기획 디자인 유튜브 사내 교육 영상 썸네일 제작 홈페이지 블로그 게시물 제작 웨비나 세미나 홍보물 제작 및 행사준비 팜플렛 디자인제품 설명 프로모션 소개 등 컨텐츠 광고 집행SNS 유튜브,,"• 4대 보험
• 년 1회 건강검진
• 연차, 경조 휴가제
• 인센티브제
• 퇴직금, 각종 경조듬, 체력단련비 지원
• 장기근속자 포상
• 우수사원 표창, 포상
• 기념선물 지급
• 교육비, 자기계발비, 도서구입비 지원

","서울 강남구 언주로 620, 7층", 학력  초대졸 이상 전공  무관 디자인 전공 우대 디자인툴 자격증GTQ 웹디자인 기능사 등 관련 보유자 우대 유사 경력 경험자 우대 Microsoft Office 활용 능숙자 우대,3988
(주)비자인크리에이티브,정규직,"['기획', '마케팅', '브랜딩', '디지털마케팅', '온라인마케팅']","비자인은 데이터와 전략에 디자인이라는 가치를 엮어 세상과 소통하는 디지털 마케팅 에이전시입니다.

비자인만의 프리즘을 통해 클라이언트를 바라보고 한계 너머의 더 나은 가능성을 고민하며 '브랜드다움'을 만듭니다. 리빙/패션, 코스메틱, 라이프 스타일 등 다양한 장르의 브랜드를 성공적으로 브랜딩하였고, 2024년에는 더 다양한 카테고리로 확장해 나갈 예정입니다.", 브랜드의 성장을 위한 디지털 마케팅 업무 전반  광고 분석 및 매체 운영 최적화  디지털 브랜딩  퍼포먼스 캠페인 전략 기획  디지털 캠페인 운영  성과 분석 및 보고서 제작  광고 소재 기획 및 제안,,"• 자유로운 연차 사용
• 생일 반차, 생일자 디지털 포스터 제작
• 간식 제공","서울 서대문구 연희로2길 76, A동 1층", 신입  마케팅 분야에 열정이 있는 누구나  제안 문서 작성 가능자Excel PPT 등 경력  해당분야 경력 3년 이상에이전시 인하우스 미디어커머스              대형 광고 캠페인 운영 경험자              광고주 커뮤니케이션 전문성 보유자              제안 문서 작성 가능자Excel PPT 등              광고 전략 수립 및 분석 가능자 진취적인 마인드와 원활한 커뮤니케이션 능력자 문제 해결에 있어 적극적인 마인드 보유자 디지털 마케팅 에이전시 근무 경험자 APP마케팅 전략 수립 및 운영 경험자 APP 트래킹 툴 사용 가능자앱스플라이어 애드저스트 등 광고 또는 마케팅 관련 자격증 보유자GAIQ Facebook Blueprint 평소 주위로부터 아이디어 뱅크라고 듣는자 호기심 많은 자 타인의 관심을 즐기는 자,3989
