회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
번개장터(주),정규직,"['java', 'kotlin', 'python', 'aws', 'hadoop', 'scala', 'Spark']","옷장 깊숙한 곳에 놓인 재킷
먼지 쌓인 태블릿 PC
더 이상 손이 가지 않는 명품 지갑

지금도 번개장터에서는 이 모든 물건들이 재발견되어 누군가의 새로운 가치가 됩니다.

번개장터는 오늘도 ‘세상 모든 물건에 가치를, 소비를 지속 가능하게‘라는 비전 아래, 스트레스 프리 중고거래(리커머스) 경험을 선사하는 사용자 중심 서비스를 만들어 나가고 있습니다.

이제는 소비의 한 장르가 되어버린 중고거래. C2C 리커머스의 미래를 치열하게 고민하고 그 희열을 함께 나누고 싶은 분이라면 번개장터에서 새로운 시작을 맞이해 보세요.

▷ 합류하게 될 팀을 소개해요
- 번개장터의 Data Lab 팀은 데이터 인프라 및 AI/ML 서비스를 개발하는 업무를 수행해요.
- 추천, 광고 등 다양한 데이터 기반 서비스를 위한 모델 및 백엔드를 개발을 비롯하여, 이와 관련된 데이터 분석 인프라의 구축과 운영을 담당하고 있어요.
- 항상 새로운 기술과 데이터 과학의 최신 동향을 탐구하며, 이를 현실적이고 혁신적인 서비스로 변환하기 위해 노력해요.
- ‘세상 모든 물건에 가치를, 소비를 지속 가능하게’ 라는 비전에 공감하며, 스트레스 없는 리커머스를 위한 솔루션을 끊임없이 함께 고민할 동료를 찾고 있어요.

고용형태: 정규직 (3개월의 수습기간이 적용됩니다.)

▷ 웰컴키트에 진심인 번개장터 구경하러 가기 (https://bit.ly/3zHXOoG)", 데이터 분석 인프라 ETL 파이프라인배치 처리 개발 및 유지 관리 머신러닝 및 딥러닝 모델의 학습 배치 개발 및 운영,"서류 전형 > 사전 과제  > 1차 인터뷰 > 2차 인터뷰 > 최종 합격
﻿       ※ 전형 절차는 일정 및 상황에 따라 변경될 수 있어요.","유연한 근무환경을 지원해요
• 8~11시 자율 출퇴근 제도를 운영하고 있어요
• 매월 원하는 날짜에 2시간 조기 퇴근이 가능한 '오아시스'를 드려요
• 주 3회 원하는 날짜에 '리모트 워크'가 가능해요

업무에 집중할 수 있는 환경을 제공해요
• 영어이름을 쓰며 수평적인 커뮤니케이션을 해요
• 주도적인 업무 환경과 성장 기회를 제공해요
• 야근과 불필요한 회식을 지양해요
• 최신형 고급 장비를 지급해드려요 (맥북 프로/갤럭시북, 스위블 모니터)
• 효율적인 리모트 근무를 위하여 30만원 상당의 재택 근무 장비를 지원해드려요

맛있는 식사를 제공해요
• 밥값 걱정 없도록 점심식대/저녁식대를 지원해드려요
• 다양한 간식과 음료를 무료로 제공해드려요

충분한 휴식을 지원해요
• 사유와 결재가 필요없는 휴가 사용이 가능해요
• 2시간 단위 휴가를 사용할 수 있어 연차 활용도가 높아요
• 중요한 삶의 순간을 함께 하기 위한 경조휴가와 경조금을 지원해드려요

이외에도 다양한 것을 지원해드려요
• 성과에 따른 인센티브를 지급해요
• 업무와 관련된 교육, 세미나 참가비와 도서 구매를 지원해드려요
• 공단 검진 이외의 추가 본인/가족 건강검진을 지원해드려요
• 사용자 경험을 위한 매월 구성원 번개 포인트를 지급해드려요
• 생일에는 소중한 사람들과의 시간을 위한 조기 퇴근과 상품권을 지급해드려요
• 번개장터 컨시어지 상품을 최대 30만원까지 할인해드려요","서울 서초구 서초대로38길 12, 타워2 7층, 10층", 데이터베이스 SQL에 대한 기본적인 지식이 있으신 분 AWS 환경에 대한 경험이 있으신 분 분산 시스템Hadoop Spark 등에 대한 기본적인 지식이 있으신 분 Python Java Kotlin Scala 중 하나 이상의 언어를 사용하여 개발한 경험이 있으신 분 컴퓨터공학 통계학 산업공학 등의 관련 학과 졸업 혹은 이에 상응하는 기반 경험을 보유하신 분 13년의 유관 경력을 보유하신 분 대용량 데이터 분석 및 빅데이터 인프라 활용 경험이 있으신 분 머신러닝 모델 개발 및 서비스 운영 경험이 있으신 분 Datadriven Thinking 기반으로 다양하고 복잡한 문제를 해결해본 경험이 있으신 분 IT  커머스 업계 또는 스타트업 근무 경험을 보유하신 분,43
(주)디어유,정규직,"['java', 'ios', 'swift', 'kotlin', 'git', 'iOS 앱개발', 'Objective-C', 'iOS 개발', 'mvvm', 'restful api']","(주)디어유는 (주)에스엠엔터테인먼트의 IT계열사 입니다. 팬과 아티스와의 소통 할 수 있는 커뮤니케이션 & 커뮤니티 서비스를 런칭하여 사업을 운영, 확장 중에 있습니다. 주요 사업은 커뮤니케이션 플랫폼 기반 APP ""버블""이 있습니다. 향후 엔터테인먼트의 팬덤을 바탕으로 보다 다양한 국가에서 서비스를 확장 제공 할 예정입니다.", 메시징 기반 모바일 앱 개발 Lysn 및 디어유 버블 서비스 기능개발 및 유지보수 리팩토링 및 아키텍처 개선,서류전형 ▶ 코딩테스트 ▶ 면접전형(실무진/임원) ▶ 최종합격,"• 출퇴근: 자율(시차)출퇴근제
• 교육: 신입사원 교육(OJT) / 리더쉽,직무교육/ 사내 외국어 강좌운영
• 지원금/보험: 단체상해보험 / 건강검진지원/ 독감예방접종 지원
• 조직문화: 수평적 조직문화 / 자율복장/ 님,닉네임 문화
• 근무환경 : 사원증지급 / 카페테리아운영/ 스낵바 운영, 웰컴KIT지급
• 급여제도 : 4대보험/연차수당/퇴직연금/ 회식비, 중식비 지원, 임직원 우수인재 추천보상제도 운영/ 통신비 지원
• 선물: 명절선물/귀향비 지급
• 리프레쉬: 연차,반차/ 경조휴가 / 장기근속 포상
• 기타: 계열사 할인","서울 강남구 삼성로 633, 4층", ObjectiveCSwift을 이용한 네이티브 앱 서비스 개발 경력자 Custom UI 및 다양한 디자인은 UIUX 개발 경험자 상용 서비스 개발 및 유지보수 경험자 RESTFUL API에 대한 기본적인 이해를 가지신 분 MVPMVVM 등 디자인 패턴에 대한 이해와 경험 AACAndroid Architecture Components를 통한 개발 경험자 Live StreamingHLS RTSP 등 Client 개발 경험자 오픈소스 분석 및 사용 경험자 메신저 앱 개발 경험자,93
(주)뮤즈라이브,정규직,"['ios', 'swift', '개발', 'git', 'iOS 앱개발', 'iOS 개발', 'RxSwift']","뮤즈라이브는 키트 앨범(키노 앨범)을 제작하는 회사입니다.
저희가 만드는 앨범은 일반 CD가 아니라,
스마트폰에서 구동되는 음악 앨범입니다.
2023년 현재 키트앨범 누적 530만개 판매를 돌파하였고, 매년 급성장하고 있습니다.

현재 SM 엔터테인먼트 및 굴지의 기획사들과 함께 새로운 앨범을 만들고 있고,
해외 유니버셜 뮤직 그룹 등 여러 기획사들과 앨범 출시를 협의 중에 있습니다.

저희는 미디어 산업을 혁신시킬 다양한 생각들을 가지고 있습니다.
뮤즈라이브는 회사와 팀원의 급격한 성장을 목표로 합니다.
저희와 함께 세상의 변화를 이끄실 분을 찾습니다.",뮤즈라이브의 KiT Player 앱 유지보수 및 신규 기능 개발 입니다뮤즈라이브와 함께 발전할 수 있는 분을 찾습니다,"* 채용 절차
서류검토 → 온라인 코딩테스트 → 대면 인터뷰 (컬처핏 & 직무역량) → 처우협의 → 최종합격

* 지원방법
- 잡플래닛 입사지원
- 제출서류 : 자유양식의 국문 이력서 및 자기소개서","• 근무지 : 서울시 마포구 상암동
• 맥북프로 16"" 제공
• 듀얼모니터 제공
• 간식 무한 제공, 고급 커피 제공
• 10시 출근, 7시 퇴근
• 식비 전액 지원
• 종합 건강 검진 제공 
• 도서 구매비 지원
• 개발자 컨퍼런스 참석 지원
• 생일자 반차 및 상품권 지급
• 업무 관련 도서 및 인강 구매 지원","서울 마포구 월드컵북로56길 19, 10층 (상암동,드림타워)", iOS 경력 1년 이상 문제를 찾고 해결하는 데 재미를 느끼시는 분 능동적으로 개발 관련 문서 탐독 및 지식 습득이 원활하신 분 성장하는 회사에서 같이 개발 문화를 만들어나가실 분 자기가 만든 앱이 사람들에게 쓰일 때 뿌듯하신 분 자기 코드를 남에게 설명하는 게 어렵지 않으신 분 git을 다룰 줄 아시는 분 iOS 앱 직접 출시 경험 음악 관련 앱 제작 경험 KPOP 팬덤 문화에 대한 이해 오픈소스 프로젝트 참여 경험 영어를 통한 개발 정보 습득이 원활하신 분 RxSwift와 같은 반응형 프로그래밍 경험 체계적으로 문서화하는 것에 즐거움을 느끼시는 분,97
(주)볼트마이크로,정규직,"['ios', 'JIRA', 'git', 'iOS 개발']","카메라파이 라이브는 전문적인 방송 장비 없이도 스마프폰 하나만으로 고품질의 영상 스트리밍이 가능한 앱 입니다. 카메라파이 라이브를 통해 전 세계 사람들과 실시간으로 소통할 수 있으며, 실시간 영상 편집, DSLR 카메라 연결 등 다양한 기술을 담고 있습니다.",카메라파이 라이브 iOS버전을 신규 개발합니다 카메라파이 라이브 아이폰 앱 개발 라이브 스트리밍 기능에 필요한 인코딩 영상합성 스트리밍 기능 개발 유튜브 페이스북 트위치등 다양한 플랫폼 연동,"# 근무조건
근무형태 : 정규직 (수습기간 3개월)


# 전형절차
서류검토 ＞ 미션수행 ＞ 면접(대면) ＞ 최종합격

1. 제출하신 지원서와 포트폴리오를 바탕으로 모집 직군과의 연관성을 종합적으로 검토하며
   서류전형은 통상 1주일 정도 기간이 소요됩니다.

2. 개발 직군은 지원과 동시에 코딩테스트를 실시합니다. (프로그래머스 초대장 발송/3일 이내 응시 必)
    미션전형은 통상 1주일 정도 기간이 소요됩니다.

3. 제출해주신 미션과 실무내용을 중심으로 면접이 진행되며 시간은 약 1시간 내외로 소요됩니다.","▪ Work-Life Balance 
  - 자율출근제 : 개인의 삶은 중요해요 AM7TL~10시 사이 자율적으로 출근해요.
  - 승인없는 연차 제도 : 연차는 눈치 보지 않고 자유롭게 사용해요.

▪ 수평적인 조직문화
  - 수평적 호징 제도 : 님, 프로, 스페셜리스트, 매니저 호칭을 사용해요.
  - 든든한 협업 : 직급 간 지시를 줄이고, 동등한 위치에서 협업합니다.
  - 자유로운 복장 : 일하는데 옷차림이 중요한가요? 복장에 신경쓰지 않아요.

▪ 자기계발지원
  - 교육지원 : 직무와 관련된 교육이라면 아낌없이 지원합니다.
  - 멘토링 제도 : 멘토/멘티 활동비를 지원합니다. 

▪ 장기근속휴가
  - 장기 근속자에게 제공되는 5, 10, 15일 휴가

▪ 생일자 특별휴가 
▪ 중식제공
▪ 각종 경조사지원
▪ 명절선물
▪ 커피/음료제공",서울 용산구 한강로1가 한강대로62길 41 2층, 직군을 불문하고 타인과 원활한 소통이 가능하신 분 중요 하나라도 더 배우고 공유하고자 하는 의지가 있으신 분 Git Jira Confluence로 다른 사람과 협업이 가능하신 분 영어 API Docs를 보고 스펙대로 개발하실수 있는 분 Youtube Twitch 혹은 기타 방송 플랫폼 연동 경험이 있으신 분 MVI MVP MVVM등의 디자인 패턴 이해와 개발 적용 경험이 있으신 분 Clean Architecture Clean Code 구현에 깊이 고민하고 개선해보신 분 iOS 미디어 프레임워크에 대한 경험이 있으신 분 네트워크 환경에서 작동하는 모바일 앱서비스 개발 경험이 풍부하신 분 새로운 기술에 관심이 많고 자기 개발을 위해 노력하시는 분 UIUX의 차이점을 이해하고 고객 중심의 서비스를 설계하는데 익숙하신 분 긍정적이고 생산적인 토론을 즐기시는 분,129
콴텍(주),정규직,"['보안', '정보보안', '개인정보보호', '개인정보']","""콴텍""에서 금융 데이터 분석 전문가를 모십니다. 

""콴텍""은 폭넓은 기술력과 알고리즘을 기반으로 고객별 최적화된 맞춤형 투자전략을 자동으로 운용하는 금융투자플랫폼 개발 기업입니다. ""콴텍""은 금융위원회 주관 코스콤 로보어드바이저 테스트베드에서 2년 연속 수익률 1위를 기록하고 있으며, 업계 최초로 고객관리자산 1조원을 돌파하였습니다. 

콴텍의 자산관리 앱, 로보어드바이저 개발 솔루션 Q-엔진 등 콴텍의 기술로 자산관리를 갈망하는 모든 사람이 누구나 쉽고 편리하게 자산관리를 이용할 수 있도록 하는 것이 콴텍의 목표입니다.", 금융회사에서 주도적으로 정보보호 관리자의 역할을 수행하신 경험을 가지신 분을 찾습니다 전자금융감독규정 신용정보보호법 개인정보보호법 등 법률에 대한 이해도가 깊으신 분을 찾습니다 다양한 부서와의 협업에서 빠르고 정확한 의사결정을 위해 탁월한 커뮤니케이션 능력이 필요합니다 정보보호 관련한 문제점을 파악하고 이를 빠르게 해결할 수 있는 역량이 필요합니다 개인신용정보와 관련된 개인정보유출사고 대응절차를 이해하고 수행할 수 있는 역량이 필요합니다 수행 업무 정보보호상시평가 및 금감원 감사 대응 로보어드바이저 테스트베드 시스템보안 심사 대응 개인정보보호법 의무 조치 사항 운영 정보보안 내부 규정 운영 및 보안 인프라 운영 정보보호 및 개인정보보호 관련 임직원 교육,,"• 복리후생 

 - 연차와 별도로 Refresh 휴가 제공

 - 커피 제공

 - 도서 및 업무 관련 교육비 지원

 - 생일 상품권 지급

 - 명절 선물 지급

 - 추천 인재 채용 포상금 지급

 - 야근 시 식대 및 택시비 지원","서울특별시 영등포구 여의대로 14, 14층(여의도동, KT여의도타워)						", 유관 업무 경험자 유관 업무 경험 5년 이상 금융감독원 및 금융보안원 심사 및 업무 대응 경험자 CPPG PIP 등 개인정보보호 관련 자격증 및 정보보호 기사 등 정보보호 관련 자격 소지자,1426
(주)이롬넷,정규직,"['네트워크', 'aws', '보안', '정보보안', '클라우드']","이롬넷은 국내 및 해외 이용자에게 온라인 전자결제를 제공하는 회사로써 글로벌 전자지급결제 서비스를 진행하고 있습니다. 저희는 현재 전세계 대상으로 Global Fintech Service 사업을 주력으로 급성장하고 있으며, 한국 본사 외 싱가폴 지사, 홍콩 지사를 운영하고 있습니다.", 네트워크 관리   데이터센터내 서비스용 네트워크 운영 및 관리   클라우드AWS 네트워크 및 보안 그룹 운영 및 관리   오피스 네트워크무선AP 포함 운영 및 관리   인터넷 회선 및 전용회선 운영 및 관리  보안 관리   데이터센터 내 보안 솔루션 운영 및 관리   오피스용 보안 솔루션 운영 및 관리,,"• 연차, 경조휴가, 창립일 휴무
• 자율복장
• 도서구입비, 교육비 지원
• 카페테리아 (음료, 간식 무제한)
• 명절선물, 경조사비
• 건강검진 지원
• 조식지원
• 야간교통비 지원","서울 강남구 테헤란로 414, 엘엔비타워 10층", 전문학사 이상컴퓨터 전산 관련 학과 전공 우대  3년 이상의 서비스용 네트워크 구축 및 운영 경험자 3년 이상의 보안 솔루션 구축 및 운영 경험자 금융권 인프라 운영 경험자 네트워크 구성 설계 가능자 ISMS  PCI DSS 인증 네트워크보안솔루션 응대 업무 경험자 PC 설정 및 운영 능력 우수자 협업 툴을 적극 활용한 커뮤니케이션 프로젝트 진행 경험자 열정적이며 자기계발에 노력을 아끼지 않고 팀 내 기술 공유를 좋아하는 분 개방적이고 긍정적인 태도를 가지며 팀원들과 협업하는 능력,1430
(주)이랜드이노플,정규직,"['BI', 'ABAP', 'WM', 'SAP ERP']","[이랜드이노플 소개]

이랜드이노플은 '누구에게나 쉽고 편한 IT 서비스를 제공하여 모두가 누리는 세상을 실현'하고 있는 이랜드 그룹의 Tech 기업입니다.

뉴발란스, 미쏘, 스파오, ​애슐리, NC백화점 등 그룹의 풍부한 비즈니스 인프라를 담당하던 기술력을 바탕으로,기존 ITO 서비스 외 자체 플랫폼 구축 및 사내벤처를 통한 외부 솔루션 출시, 빅데이터, 캐릭터 IP 사업 등 새로운 영역으로의 성장을 거듭하고 있는 혁신적인 조직입니다.


[이노플 BI팀에서는 이런 일을 합니다.]

• 이랜드 이노플의 BI팀은 SAP BI 서비스를 개발하고 운영합니다.
 - Business Intelligence 서비스 구축 및 운영 
 - 비즈니스 데이터 분석 및 컨텐츠 기획", SAP BI 시스템 구축 및 서비스 운영 BI 솔루션 기반 SAP ERP 연계   데이터 시각화 컨텐츠 기획 및 개발,,"[근무환경]
• 시차 출퇴근제 운영
 - 7-10시 사이, 내가 가장 몰입할 수 있는 시간에 출근합니다.
• 직급 없는 ‘님’ 소통
• 사내 라운지 카페/스낵바 운영
 - 무료 커피와 저렴한 가격의 간식을 라운지에서 즐기며 쉬어갈 수 있습니다.
• 문화 행사
• 자율 근무복장


[소중한 날 지원]
• 생일반차
 - 생일 선물을 함께 드립니다.
• 이사휴가
• 학부모 특별휴가
 - 자녀의 입학식, 졸업식, 운동회가 있는 날, 가족분들과 행복한 시간을 보내세요.
• 경조휴가 및 경조금 지원


[일과 삶의 성장 지원]
• 도서구매, 온라인 강의 지원
 - 직무역량 향상을 위한 실물도서 구매 및 전자책 열람을 지원해드립니다.
• 사내 벤처 활성화&기술 동아리 운영
• 복지포인트 지급
• 이랜드그룹 계열사 할인 혜택 제공
 - 패션/유통/외식/호텔 등 다양한 그룹 계열사 할인 혜택 제공


[건강한 몸과 마음 지원]
• 연 1회 건강검진 지원
• 자유로이 이용 가능한 사내 상담실 운영
• 단체상해보험 지원
 - 예기치 못한 상황에서도 함께, 힘을 보태드립니다.","서울 금천구 가산디지털1로 88, 4층", 유관 경력 4년 이상이신 분 전산학 컴퓨터 공학 응용소프트웨어 공학 등 유관 전공 BI 관련 업무 및 데이터 포탈 시스템 개발 경험  SAP BI HANA 경험,1444
(주)캐논크래커,정규직,"['java', 'C#', 'Javascript', 'python', '서버']","CANNON CRACKER

대형 폭죽을 의미하는 캐논크래커는
폭죽이 터지는 그 순간과 같이
강렬한 Moment를 만들어 나가고자 하는 의미를 담고 있습니다.

글로벌 시장에서 우리만의 가치를 찾고
성공과 성공의 재생산을 이루며 성장하는
캐주얼-미드코어 게임제작 명가가 되기 위해
캐논크래커의 게임 제작은 시작되었습니다.", 서버 구조 설계와 프레임워크 개발 서버 API 설계와 구현 게임 데이터 베이스 개발 플랫폼 연동 및 운영 관련 서버 기능 개발 및 기술 지원 협의 작업,,"[일상의 소중함]
• 9시 ~ 10시 시차 출퇴근제 운영
• 생일기념 연차 제공


[집중할 수 있는 업무 환경]
• 모션 데스크 & 시디즈 의자
• 직무 관련 도서 지원


[캐논크래커는 One team!]
• 분기별 문화행사 (영화, 뮤지컬 관람)
• 플레이샵


[가족과 함께]
• 경조사 지원 (휴가, 지원금)
• 명절 선물 지급
• Family Day (여름휴가 or 여름휴가비 or 부모님 건강검진 지원)


[든든한 식사]
• 라운지 커피 & 간식 제공
• 점심식사 제공


[근속기간별 유급휴가 & 포상금]
• 근속기간별 축하선물, 유급휴가, 여행경비 지원",서울 성동구 뚝섬로 1길 63 영창디지털타워 102~103호, C  Java  JavaScript  Python 프로그래밍 경험 MySql MSSql 개발 경험 객체 지향 프로그래밍 OOP에 대한 지식 서비스 구성 요소 사이의 트랜잭션 설계 및 구현 능력 긍정적이고 책임감 있는 마인드 원활한 커뮤니케이션 스킬 AWS Azure 등 Cloud Infra 환경에 대한 경험 빌드테스트배포 자동화 경험 lasticsearch 개발 경험 성능 튜닝에 대한 노하우와 경험 담당 프로덕트의 구조 개선 경험,1456
슈어소프트테크(주),정규직,"['C#', 'python', 'Linux', '자율주행', 'ROS']","슈어소프트테크㈜는 소프트웨어 테스팅 자동화 분야에서 국내 유일하게 독자적인 기술을 개발한 강소기업으로, Mission-Critical(고신뢰) 산업분야의 소프트웨어 안전성 검증을 위한 테스트 자동화 도구 및 검증 서비스를 제공하는 소프트웨어 품질 전문기업입니다.

소프트웨어로 더 안전한 세상을 만들고자 하는 비전 아래 사회적 책임을 가지고 소프트웨어 산업에 기여하고자 노력하고 있습니다.",  시뮬레이션 소프트웨어 개발 가상센서 로직 개발 시나리오 로직 개발 자율주행SW 인터페이스 개발 등,서류전형->1차면접->2차면접->최종합격,"1. 조식제공(다양한 종류의 김밥, 컵밥, 샐러드 샌드위치, 라면, 음료 등)
2. My Choic 복지포인트
3. 종합건강검진 지원
4. 시차출퇴근제
5. 자유로운 연차 사용
6. 생일선물 지급",경기도 성남시 수정구 금토로80번길 37(금토통) 인피니티타워 E동,  프로그래밍 언어 C을 이용한 소프트웨어 개발 경험 보유자  자율주행 및 시뮬레이션에 관심이 있는 소프트웨어 개발자   C Python 언어 개발 개발 경험    ROS Linux 환경 개발 경험 ,1518
(주)에너자이,정규직,"['인사관리', 'HR', '채용', '인사 채용']","[회사 소개]
에너자이는 스마트폰, 자동차, CCTV, 드론 등 제약된 환경의 Edge 디바이스에서도 고성능?저전력으로 구동할 수 있는 AI 모델을 제공하는 Edge AI 솔루션 스타트업입니다. 일반적으로 AI 모델의 정확도를 높이기 위해서는 필연적으로 모델의 크기가 커지기 때문에 고성능 AI 모델을 Edge에 적용하는것은 매우 어렵지만, 당사는 고유의 AI 모델 경량화 및 최적화 기술로 정확도가 높으면서도 가볍고 빠른 AI 모델을 구현하는데 성공하였습니다.
에너자이는 뛰어난 기술력을 바탕으로 국제 저명 학회 CVPR 주최 Mobile AI Challenge에 참가하여 Xiaomi, Huawei 등의 글로벌 기업들을 제치고 우수한 성적으로 입상하였으며, 이후 그 기술력 및 사업성을 인정받아 Intel, Microsoft, Arm, 삼성전자 등의 글로벌 대기업들과 파트너쉽을 체결하고 협력을 진행하고 있습니다.
에너자이는 현재 딥러닝 기반 Neural ISP 솔루션, 딥러닝 기반 Radar 솔루션을 비롯해 다양한 분야 Edge AI 솔루션을 개발 완료하여 스마트폰, 자동차, CCTV, 드론 등의 Edge 디바이스 제조사들을 대상으로 사업화를 진행하고 있으며, 향후 지속적인 기술 고도화 및 사업 영역 확장을 통해 “모든 이들이 모든 사물을 통해 최고의 AI를 경험할 수 있도록” 이라는 당사 비전을 달성하는 것을 목표로 하고 있습니다.

[주요 솔루션 소개]
딥러닝 기반 Neural ISP 솔루션
ㆍ카메라 내 보정 및 영상 처리를 담당하는 반도체인 이미지 신호 프로세서(ISP; Image Signal Processor) 내 기존 Rule-based Noise Reduction(NR) 기능을 학습 기반의 NR 기능으로 대체하여, 크기가 작은 이미지 센서를 탑재한 촬영 장비가 사용되거나 광량이 적을 때 급격히 증가하는 악조건 속에서도 더욱 강력한 NR 효과 제공
ㆍ시연 영상: http://bit.ly/46tMkUd

딥러닝 기반 Radar 솔루션
ㆍ크기가 작고 가격경쟁력이 있지만, 해상도가 낮고 제한된 하드웨어 리소스를 가지는 Legacy Radar에 고성능 Edge AI 기술을 적용하여 성능, 가격, 크기 등 시장의 Needs를 모두 충족할 수 있는 제품으로, 현재 후석 승객 알림(ROA; Rear Occupant Alert)과 안전벨트 착용 알림(SBR; Seat Belt Reminder), 환자 상태 모니터링(PM; Patient Monitoring)의 세 가지 애플리케이션을 지원
ㆍ시연 영상
ㆍ후석 승객 알림: https://youtu.be/rRikbJrmstI
ㆍ안전벨트 착용 알림: https://youtu.be/9nfcP9Z_-cY
ㆍ환자 상태 모니터링: https://youtu.be/C9rgY_obJUg

AI 모델 추론 최적화 엔진(AI Compiler)
ㆍ사용자가 여러 타겟 디바이스에서 최적의 성능을 낼 수 있게 모델 배포를 지원하는 추론 엔진으로, 구글 Mediapipe 모델을 Arm Cortex-A77 기반 Qualcomm Kryo 585 CPU(QRB5165)에서 Single Thread/Float16으로 성능을 측정한 결과, 정확도는 유지하면서 구글의 TFLite XNNPACK 대비 최대 2.2배, Ryzen9 7950x에서는 Intel OpenVINO 대비 1.6배 더 빠른 속도 달성
ㆍ소개 페이지: https://slashpage.com/optima

[주요 성과]
2019 1월 네이버 계열 VC SpringCamp로부터 Seed 투자 유치 
2019 9월 Seoulz 주관 `주목해야할 대한민국 AI 스타트업 Top 10` 선정
2020 2월 중소벤처기업부 TIPS 프로그램 선정
2021 4월 Edge AI and Vision Alliance 회원사 선정
2021 5월 `CVPR 2021 - Mobile AI Workshop and Challenges` 3위 기록
Huawei, Megvii, Xiaomi, Dahua 등 Global IT 회사 참여
2021 5월 Microsoft 스타트업 프로그램 선발
2021 11월 삼성 C-Lab Outside 선발
2021 12월 Intel AI Builder 선발
2021 12월 SK True Innovation 선발
2022 4월 Intel Gold Tier Partner 선정
2022 5월 대한민국 녹색에너지 우수기업 대상 수상
2022 5월 SK이노베이션 주관 친환경 스타트업 진흥 프로그램 ‘에그’ 선발
2022 6월 정보통신산업진흥원 주관 인공지능 온라인 경진대회 1위 수상
2022 9월 Arm AI Partner 선정 
2022 12월 Qualcomm IoT Accelerator 프로그램 선발
2023 1월 Series A 투자 유치  
한국투자파트너스, 어센도벤처스, 스프링캠프, 신용보증기금 참여
2023 1월 KDB NextOne 6기 선정
2023 8월 중소벤처기업부 POST TIPS 프로그램 선정
2023 공고일 기준 특허 23건 등록, 16건 출원 완료",채용 프로세스 전반 관리 및 고도화 다양한 채널 관리 및 신규 채널 개발 직군별 최적의 채용 채널을 통한 다이렉트 소싱 인재풀 리서치 및 관리운영을 위한 Talent Relations 실행 채용 브랜딩 강화를 위한 전략 수립 및 실행 인재 리텐션 전략 발굴 및 운영 인력관리 및 구성원 역량 개발을 위한 평가보상교육 등 각종 인사제도 기획 그 외 HR 업무 지원 ,"ㆍ지원서 제출: 자유형식
ㆍ이력서(국/영문 무관)를 contact@enerzai.com으로 이메일 제목을 `[2023 에너자이 지원] 성명` 형식으로 작성하여 송부
ㆍ채용 절차:서류 심사 -> 1차 면접 -> 2차 면접 -> 최종 합격","ㆍ점심 및 저녁식대 지원
ㆍ맛있는 간식과 커피머신 상시 비치
ㆍ외근 및 야근 시 택시비 지원
ㆍSW/IT 고성능 장비 지원
ㆍ격년마다 진행하는 의무 건강검진 진행 시 추가 검진비 지원
ㆍ직무관련 도서 구입비 지급
ㆍ업무 역량 향상을 위한 교육비 지급
ㆍ팀 스터디, 세미나, 컨퍼런스, 논문 투고 등의 비용 지원
ㆍ동호회비 지원
ㆍ직무발명보상제도 시행
ㆍ근속 연수에 따른 선물 지급
ㆍ결혼, 출산 시 축하금 지급
ㆍ직계가족 조사 시 경조금 및 상조 서비스 지원
ㆍ생일 유급 반차 제공",서울 강남구 테헤란로 27길 27,인사채용 업무 경력 1년 이상구조적 논리적 사고를 기반으로 한 Problemsolving 역량을 갖추신 분초기 스타트업의 팀 빌딩 업무를 주도적으로 추진할 Ownership이 있으신 분빠르게 변화하는 IT인공지능 분야에 대한 관심이 있으신 분협업을 위한 원활한 Communication 역량을 보유하신 분MS OfficePPT Excel Word 등 활용능력이 중급 이상이신 분ITAI 직군과 산업에 대한 지식과 이해가 있고 관련 인재 네트워크를 보유하신 분 빠르게 변화하는 ITAI 스타트업에 대한 흥미가 있으신 분 다양한 채용 플랫폼에 대한 이해와 경험이 있으신 분,1530
