회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)플래티어,정규직,"['aws', 'devops', 'azure', 'Kubernetes']","플래티어는 2021년 8월 코스닥 시장에 상장한 디지털플랫폼 전문 기업으로, 크게 이커머스-마케팅(CM) 부문과 통합 디지털 전환(IDT) 부문으로 구성되어 있습니다.

IDT(Integration of Digital Transformation)부문은 기업의 디지털 전환을 위한 컨설팅 및 필요한 IT인프라 환경을 구축해 주는 솔루션을 제공 합니다.

다양한 경험과 기술력을 바탕으로 디지털 전환에 필수 요소인 협업(Collaboration) 플랫폼과 IT조직을 위한 데브옵스(DevOps)플랫폼을 갖추고 있어 기업의 디지털 전환을 빠르고 혁신적으로 이끌어 내는 역할을 수행 합니다.

IDT부문은 협업을 위한 Atlassian 제품, DevOps CI/CD를 위한 CloudBees, CT를 위한 Tricentis 같은 제품을 국내에 고급하고 있으며, 데브옵스 및 애자일 컨설팅 영역의 독보적 능력을 보유하고 있는 기술 중심의 사업역량을 가지고 있습니다.

IT분야는 너무도 다양한 영역이 있으며, 약간은 낯설기는 하지만 엔지니어링 부분에 도전해서 자신의 커리어를 저희와 함께 쌓아 가실 도전적이고 긍정적인 마인드를 가진 분을 찾고 있습니다.",DevOps 엔지니어1 CICD에 기반한 빌드테스트배포 자동화 시스템 구축2 IaC 기반의 DevOps플랫폼 구성 자동화 개발,서류전형 -> 1차 면접 -> 레퍼런스 체크(1차 합격 시) -> 2차 면접 -> 최종합격,"• 기본적인 것은 확실하게
- 4대 보험 가입
- 내일 채움 공제 지원
- 단체 상해 보험 (실비 보험) 가입

• 여러분의 성장을 응원합니다
- 자유롭게 스터디 및 각종 컨퍼런스에 참석할 수 있어요. 물론 비용도 지원!
- 장비 지원금 (노트북 / 디지털 장비)을 제공해요.
- 업무 관련된 도서비 구입 비용도 지원 해드려요.

• 팀내 / 팀간 긍정적 에너지를 통해 업무 능률 쑥쑥
- 각종 동호회 활동 비용을 지원해 드려요.
- 팀별 회식비도 지원 해드려요.

• 일과 삶의 균형도 중요하죠
- 빠른데이 (매월 셋째 주 수요일 5시 퇴근) 문화가 있어요
- 유연 근무제(8시반 ~ 10시반 자율 선택)를 시행하고 있어요. 
- 설날, 추석, 창립기념일은 따뜻하게 보내세요(상여급 지급)
- 자유로운 연차 사용을 보장해요.

• 즐거운 일과 슬픈 일에도 함께해요.
- 생일자에게 기프티콘 지급!
- 각종 경조사비 경조휴가 지원해드려요.

• 쾌적하고 즐겁게 일할 수 있어요.
- 휴게 공간에 안마의자와 각종 음료수, 커피머신이 있어요
- 스트레스 해소를 위한 게임기를 보유하고 있어요.
- 딥러닝 모델링을 위한 고사양 워크스테이션을 보유하고 있어요","서울특별시 송파구 법원로9길 26 D동 6층(문정동, 에이치비지니스파크)",1 DevOps관려 제품 사용자 또는 엔지니어 경험자2 형상관리 도구Git SVN Bitbucket 등 사용 또는 관리 경험자3 1개 이상 스크립트 언어Python Perl Java Go Shell 등에 능숙1 아래 기술 경험을 가진 사람 우대 DevOps CICD 구축 및 운영 경험 Linux 환경에서 개발 또는 Linux 환경을 활용 Terraform Helm Ansible Packer 등을 활용한 IaC 경험이 있는 분 시스템네트워크보안 등 인프라 주요 구성 요소에 대한 이해,4803
(주)플래티어,정규직,"['aws', '리눅스', 'Cloud', '컨테이너', 'gcp']","[사업부 소개]
그루비는 온라인 쇼핑몰에 접속한 고객의 행동 데이터와 인공지능 기술을 기반으로 B2B MarTech 솔루션을 서비스하고 있어요. 

현재는 고객 세그멘테이션과 AI 추천 시스템을 서비스 하고 있고, 고객 경험을 향상시키고 마케팅의 효과를 최대화하는 MarTech 글로벌 선두 주자를 목표로 오늘도 열심히 달리고 있어요. 

연구, 실험부터 서비스까지 모든 과정을 경험해보고 활기찬 사업부 분위기 속에 긍정적인 마인드로 함께 성장하고자 하는 여러분을 모시고자 합니다!

그루비 소개 및 관련 기사
•	솔루션 소개: https://www.mobiinside.co.kr/2022/12/22/max-summit-2022-plateer/
•	실적: https://zdnet.co.kr/view/?no=20221114150934


[팀 소개]
다양한 클라우드 환경에서 최신화된 클라우드 기술과 보안 기술을 기반으로 devops를 운영하고 있어요. 
또한 서비스 데이타에 대한 pipeline을 직접 생성하고 데이타 기반의 인공지능 기술이 접목된 자동화된 시스템을 만들어가고 있어요.
최신 클라우드 서비스 구성 및 운영을 경험해보고 싶고, 다양한 데이타 활용 및 처리에 대해 경험해보고 싶은 여러분을 모시고자 합니다.
", 기존 AWS 기반 인프라 안정적 운영과 고도화 등을 통한 비용 효율적 개선  서비스 모니터링 장애 예방을 위한 시스템 개선 및 장애 프로세스 구축  컨테이너 기반 기술Docker Kubernetes Amazon ECS 등을 활용한 CloudNative 환경의 서비스 구조를 지향  리소스 관리를 자동화 및 모니터링 시스템을 구축하고 지속적으로 개선,서류전형 -> 1차 면접 -> 레퍼런스 체크(1차 합격 시) -> 2차 면접 -> 최종합격,"• 기본적인 것은 확실하게
- 4대 보험 가입
- 내일 채움 공제 지원
- 단체 상해 보험 (실비 보험) 가입

• 여러분의 성장을 응원합니다
- 자유롭게 스터디 및 각종 컨퍼런스에 참석할 수 있어요. 물론 비용도 지원!
- 장비 지원금 (노트북 / 디지털 장비)을 제공해요.
- 업무 관련된 도서비 구입 비용도 지원 해드려요.

• 팀내 / 팀간 긍정적 에너지를 통해 업무 능률 쑥쑥
- 각종 동호회 활동 비용을 지원해 드려요.
- 팀별 회식비도 지원 해드려요.

• 일과 삶의 균형도 중요하죠
- 빠른데이 (매월 셋째 주 수요일 5시 퇴근) 문화가 있어요
- 유연 근무제(8시반 ~ 10시반 자율 선택)를 시행하고 있어요. 
- 설날, 추석, 창립기념일은 따뜻하게 보내세요(상여급 지급)
- 자유로운 연차 사용을 보장해요.

• 즐거운 일과 슬픈 일에도 함께해요.
- 생일자에게 기프티콘 지급!
- 각종 경조사비 경조휴가 지원해드려요.

• 쾌적하고 즐겁게 일할 수 있어요.
- 휴게 공간에 안마의자와 각종 음료수, 커피머신이 있어요
- 스트레스 해소를 위한 게임기를 보유하고 있어요.
- 딥러닝 모델링을 위한 고사양 워크스테이션을 보유하고 있어요","서울특별시 송파구 법원로9길 26 D동 6층(문정동, 에이치비지니스파크)", 2년 이상의 Public CloudAWS GCP NCP 등 기반 인프라 설계 및 운영 경험  리눅스CentOS Ubuntu RHEL 등 다양한 OS 환경에서의 시스템 엔지니어로서 경험  컨테이너 기반 기술Docker Kubernetes Amazon ECS 등을 이용하여 배포운영 경험  Open SourcePrometheus Grafana Pinpoint Sentry ELK Graylog 등 구축 및 운영 경험  Jenkins AWS Code Series 를 이용한 Pipeline 구성 및 운영 경험 Nginx Haproxy Taefik 등의 Proxy 서비스 운영 경험이 있으신 분  Grafana Prometheus 등을 활용한 모니터링 시스템에 대한 지식과 경험이 있으신 분  대규모 사용자를 대상으로 한 Infra 구성 및 Service Architecture 설계 참여 경험이 있으신 분  개발 인프라Sonarqube Jenkins Git 등 개선을 통한 개발 생산성 향상에 기여한 경험이 있는 분  다양한 PublicCloudGCP NCP 환경에서의 초기 서비스 구성 및 고도화 참여 경험이 있으신 분  데이터사이언스 개발 기획 등 Cross Functional 조직과의 협업을 이끌 수 있는 원활한 커뮤니케이션 능력을 보유하신 분,4804
(주)단군소프트,정규직,"['개발', 'aws', 'devops', 'azure', 'Docker', 'gcp', 'Kubernetes']","2002년, 단군소프트는 기존에 없던 새로운 클라우드 시장을 토대로 출범했습니다.
Microsoft Gold Partner, Adobe Platinum Partner, Autodesk Gold Partner로서 국내 기업 고객에게 여러 분야의 경쟁력 있는 소프트웨어 서비스를 제공하고 있습니다. 국내 뿐만 아닌 Global IT 솔루션 기업과 긴밀한 제휴 관계를 통해 JetBrains, GitHub, Zeplin, Acronis 등 APAC 총판 비즈니스로 지속적인 성장을 하고 있습니다.
현재는 변화하는 IT 환경에 따라 DevOps, 디자인시스템, 제조설계디자인, 클라우드, 데이터보안 등
미래를 향한 비전과 철학이 뚜렷한 글로벌 리더로 성장 중입니다.

당사가 추구하는 글로벌 미래를 함께할 자신감과 도전의식을 가진 분의 지원을 적극 환영합니다.", DevOps 컨설팅 및 고객 기술 자문 고객에게 필요한 DevOps 환경 및 업무 자동화 제안 DevOps 관련 툴 설치 또는 환경 구축,,"• 4대 보험
• 년 1회 건강검진
• 연차, 경조 휴가제
• 인센티브제
• 퇴직금, 각종 경조듬, 체력단련비 지원
• 장기근속자 포상
• 우수사원 표창, 포상
• 기념선물 지급
• 교육비, 자기계발비, 도서구입비 지원

","서울 강남구 언주로 620, 7층", 개발 경력 3년  5년 내외개발언어 무관 DevOps 관련 툴 사용 또는 운영 경험GitHub Jenkins 등 AWS  Azure  GCP 운영 경험 및 멀티 클라우드 운영 경험 Docker Kubernetes 등 Container 관련 운영 경험 Terraform Ansible Puppet Chef 등의 Infrastructure as code 관련 툴 실무 경험 레거시 인프라 및 애플리케이션 모니터링 시스템 운영 경험 네트워크 및 보안 관련 지식 보유 영어 커뮤니케이션이 가능하신 분 실무 개발 프로젝트 수행 이외 교육 경험,4805
(주)오픈소스컨설팅,정규직,"['Linux', 'openstack', 'Kubernetes']","""Sharing Technology, Growing Together""

[우리가 하는 일]
국내 최고의 오픈소스 전문가를 자부하는 오픈소스컨설팅은 2012년 창립되었습니다. 
오픈소스컨설팅은 성공적인 하이브리드 클라우드 구축 및 협업 문화 발전을 위한 
전문 솔루션과 서비스를 제공합니다. 
우리는 오픈소스 소프트웨어를 이용한 다양한 제품 개발을 통해, 
기술을 나누고 함께 성장하고 있습니다.

[우리의 조직 문화]
오픈소스컨설팅이 추구하는 조직은 보다 능동적입니다. 
내가 스스로 일에 즐거움을 느끼고 그 즐거움을 다른 팀원들과 나눌 때, 
나의 일이 우리의 일이 되고 우리의 일이 바로 오픈소스컨설팅이 해야하는 일이 됩니다. 
각 개인이 하는 일을 실현시켜 주는 곳이 바로 오픈소스컨설팅이고, 
우리는 능동적인 개인의 꿈을 실현 시켜주는 것을 추구합니다.

오픈소스컨설팅은 Iaas Openstack, Paas Kubernetes를 활용하여 
자사 솔루션인 Playce Cloud를 생산 관리 하고 있으며, 
Playce Cloud를 통한 고객이 원하는 인프라환경에서 
서비스를 구현하실 수 있는 인재를 찾고 있습니다.", 클라우드 시스템 아키텍처 설계 및 구축 오픈스택 설계 구축 및 기술지원 쿠버네티스 설계 구축 및 기술지원 클라우드 시스템 장애처리 및 유지보수,,"오픈소스컨설팅은 구성원들의 건강하고 행복한 삶을 지향합니다.

•  ""우리에게는 놀금이 있다"" : 격주 금요일 휴무
•  ""월요병? 그게 뭐지?"" : 월요일 10시 출근
•  ""풍요로운 워킹맘, 워킹파더"" : 육아포인트 월 20만원
•  ""태어나줘서 고마워요."" : 생일 2시간 조기 퇴근제(본인/배우자)
•  ""새로 합류한 당신을 진심으로 환영해요."" : 웰컴키트 제공
•  ""열심히 일한 당신, 떠나라!"" : 야간/주말 근무 시 대체휴가
•  ""먹방, 여행까지 내 맘대로"" : 연간 360만원 복지포인트
•  ""통신비, 걱정말아요!"" : 전 직원 휴대폰 사용료 지원(월 7만원)
•  ""맥북도 다 된다그램!"" : 350만원 한도 노트북 선택 구매(개발/엔지니어 경력직 기준)
•  ""369안식휴가"" : 3년마다 휴가 및 포상금
•  ""당신의 건강한 올해를 위해"" : 연 1회 전 직원 종합건강검진 지원
•  ""직원은 회사가 지킨닷"" : 기업보험(상해/재해)가입
•  ""건강은 소중하니까!"" : 매일 다른 메뉴로 아침식사 제공
•  ""피곤한 '몸'에는 이'친구'가 제격"" : 안마의자
•  ""읽고싶은 책은 마음껏 신청해봐"" : 도서비 지원(기술)
•  ""당 떨어질 땐 주전부리"" : 커피, 견과류, 스낵 제공
•  ""모두의 돌잔치"" : 입사 1주년 기념 휴가 및 상품권
•  ""업무 스킬 레벨업"" : 직무 관련 교육비 지원
•  ""출근 시간 내가 정해요"" : 시차 출퇴근제 운영(8~10시)
•  ""시간이 소중한 당신을 위해"" : 2시간 단위 휴가 사용
•  ""열심히 일한 당신 떠나라"" : 리조트 법인 회원가 이용
•  ""일하는 공간, 선택의 폭을 넓혀 보세요"" : 오피스 자율좌석제 및 재택근무 실시","서울 강남구 테헤란로83길 32, 5층", 3년 이상의 Private 클라우드 시스템 아키텍처 설계 및 구축 경력 보유 가상화 기술에 대한 이해와 경험 오픈스택 설계 구축 및 운영에 대한 경험 쿠버네티스 설계 구축 및 운영에 대한 경험 Private 클라우드 시스템 장애처리 및 유지보수 경험 커뮤니케이션 능력 및 팀워크 능력 CICD 파이프라인 구축 및 운영 경험 Ubuntu CentOS RHEL 등 리눅스 OS  다양한 경험 오픈스택 쿠버네티스 도커 등 오픈소스 기반 가상화 기술에 대한 경험 오픈소스 프로젝트 참여 또는 기여 경험 오픈소스 커뮤니티 활동 경험,4806
(주)오픈소스컨설팅,정규직,"['Linux', 'devops', '클라우드', 'Kubernetes', '웹서버']","2012년 설립되어 오픈소스 소프트웨어 기반 클라우드 솔루션을 개발하여 오픈소스 라이선스 기반으로 모두 공개하고 있으며 오픈소스, 퍼블릭/프라이빗 클라우드, 데이터센터 자동화, IoT 관련 솔루션을 지속적으로 개발 및 서비스하여 런칭하고 있습니다.", Linux  Network 지식 및 클라우드 환경 이해  오픈소스 웹서버Apache Nginx JBoss Tomcat WildFly에 대한 구축 및 마이그레이션 기술지원  Kubernetes 기반 서비스 구축 및 기술지원  기존 legacy환경을 컨테이너로 패키징 및 최적화  DevOps CICD 및 자동화 환경 구축  오픈소스 경험자 Docker Kubernetes Ansible 등,,"오픈소스컨설팅은 구성원들의 건강하고 행복한 삶을 지향합니다.

•  ""우리에게는 놀금이 있다"" : 격주 금요일 휴무
•  ""월요병? 그게 뭐지?"" : 월요일 10시 출근
•  ""풍요로운 워킹맘, 워킹파더"" : 육아포인트 월 20만원
•  ""태어나줘서 고마워요."" : 생일 2시간 조기 퇴근제(본인/배우자)
•  ""새로 합류한 당신을 진심으로 환영해요."" : 웰컴키트 제공
•  ""열심히 일한 당신, 떠나라!"" : 야간/주말 근무 시 대체휴가
•  ""먹방, 여행까지 내 맘대로"" : 연간 360만원 복지포인트
•  ""통신비, 걱정말아요!"" : 전 직원 휴대폰 사용료 지원(월 7만원)
•  ""맥북도 다 된다그램!"" : 350만원 한도 노트북 선택 구매(개발/엔지니어 경력직 기준)
•  ""369안식휴가"" : 3년마다 휴가 및 포상금
•  ""당신의 건강한 올해를 위해"" : 연 1회 전 직원 종합건강검진 지원
•  ""직원은 회사가 지킨닷"" : 기업보험(상해/재해)가입
•  ""건강은 소중하니까!"" : 매일 다른 메뉴로 아침식사 제공
•  ""피곤한 '몸'에는 이'친구'가 제격"" : 안마의자
•  ""읽고싶은 책은 마음껏 신청해봐"" : 도서비 지원(기술)
•  ""당 떨어질 땐 주전부리"" : 커피, 견과류, 스낵 제공
•  ""모두의 돌잔치"" : 입사 1주년 기념 휴가 및 상품권
•  ""업무 스킬 레벨업"" : 직무 관련 교육비 지원
•  ""출근 시간 내가 정해요"" : 시차 출퇴근제 운영(8~10시)
•  ""시간이 소중한 당신을 위해"" : 2시간 단위 휴가 사용
•  ""열심히 일한 당신 떠나라"" : 리조트 법인 회원가 이용
•  ""일하는 공간, 선택의 폭을 넓혀 보세요"" : 오피스 자율좌석제 및 재택근무 실시","서울 강남구 테헤란로83길 32, 5층",경력 3년 이상  대형 포털사이트 운영 및 관리 경험이 있으신 분  상용 미들웨어 경력자Weblogic Jeus Websphere  오픈소스 경험자 Apache HTTPD NginX Docker Tomcat Wildfly  python go 개발경험과 Ansible 경험자  AWS 환경 관리,4807
(주)오누이,계약직 (정규직 전환 가능),"['영업', 'TM', '아웃바운드']","신개념 교육 플랫폼의 선두주자

오누이는 '오빠랑 누나는 이렇게 공부한다'라는 의미를 담고 2016년에 탄생했어요. 현재 <오누이>와 <설탭>이라는 2가지 서비스를 제공하고 있으며, No.1 맞춤형 교육 플랫폼 기업으로 거듭나기 위해 노력중입니다. <오누이>앱은 독학이나 인터넷강의 등으로 공부하는 학생들의 궁금증을 언제 어디서나 해결할 수 있는 실시간 비대면 스마트 질의응답 서비스이며, 스마트 과외 <설탭>은 아이패드를 통해 1:1 실시간 수업을 하는 신개념 스마트 과외 서비스입니다.

누구보다 빠르게, 고속 성장

2019년 6월에 런칭한 <설탭>은 매월 15%씩 늘어나는 신규 회원을 바탕으로 누적 2만 명의 유료 수강생을 확보한 데다가, 연간 약 200% 매출 증가를 통해 빠른 속도의 성장세를 보이고 있어요. 이러한 비전과 성장성을 인정 받아 21년 10월에는 KB인베스트먼트, 스트롱벤처스 등의 기관으로부터 약 140억원 규모의 시리즈A 투자를 받았답니다. 그 외에도 토즈스터디센터, 비상교육 등과 제휴를 맺는 등 계속해서 성장해나가고 있어요!

Z세대를 위한, 설레는 공부의 시작

오누이는 사교육의 딱딱하고 성적 중심적인 프레임에서 벗어나, 신박하면서 즐거운 공부 경험을 제공하자는 것을 목표로 서비스를 운영하고 있어요. 서울대, 연세대, 고려대 등 일명 SKY 과외 선생님들의 강점과 교습타입 등을 분석하는 한편, 철저한 선생님 선발/관리를 통해 학생 개인에게 맞춤화된 서비스를 제공하고 있습니다. 온라인수업 환경은 물론, 직접 제공하는 다양한 학습 콘텐츠와 재미있는 기능/프로그램을 통해 Z세대를 위한 설레는 공부의 시작을 함께하고 있습니다.", 설탭에 관심 있는 학부모님들에게 학생의 현재 문제에 대해 진단하고 설탭의 솔루션을 통해 어떻게 해결할 수 있는지 설명하며 구매 의사를 높이고 구매를 제안하는 역할이에요 구체적으로는 인바운드를 통해 수집된 잠재 고객들에게 전화를 통해 설탭의 제품과 서비스에 대해 설명해요 그 과정에서 성공과 실패 원인을 분석하며 인사이트를 발굴하고 다양한 실험을 통해 콜 성공율을 높이는 것이 목표에요 잠재 고객들의 관리하며 최종 구매로 이어질 수 있도록 영업 활동을 진행해요,"Step 1. 지원서류 접수 및 검토
Step 2. 사전 전화 인터뷰
Step 3. 직무 면접(1/2차)
Step 4. 처우 협의 및 최종 합격","- 직급 없이 ""영어 닉네임"" 으로 소통하는 문화
- 좋은 성과에는 합당한 보상 제공(우수 성과자 : 인센티브 외 한우 선물 세트, 제주도 1박 2일 숙박권 등 지급)
- 잠깐의 리프레시가 필요할 때 재택근무(월 1회)
- 열심히 일한 당신 푹 쉬고 오세요! (분기별 유급 휴가 5일 제공)
- 일하면서 당 떨어질 틈이 없어요! 무제한 간식/음료 제공 
- 법인 카드로 점심식사 제공
- 퇴근 후 자기개발 시 저녁식사 지원
- 커리어 성장 지원(월 내부 영업 강의 진행, 분기별 외부 연사 강의 진행)
- 오뉴이어의 성장을 응원해요! 교육/도서비 지원
- 건강은 소중하니까! 종합 건강검진(연 1회)
- 생일자는 조기퇴근, 케이크, 팀별 파티까지! 
- 오뉴이어의 경사는 회사의 경사! 본인 결혼 시 축의금 100만원","서울 마포구 연희로 11, 4층", 학력 경력 무관 신입 가능 실행이 빠른 분 목표를 달성하는 것을 즐거워하시는 분이면 더욱 좋아요 다양한 채널을 활용하여 고객과 직접 커뮤니케이션을 해 본 경험이 있으시면 좋아요,4808
(주)글루온,정규직,"['관리', '마케팅', '영업', '디지털마케팅', 'CS', '상담', '텔레마케팅']","글루온은 2013년 창립된 오픈마켓전문 키워드광고대행사입니다. 

경기도 화성시 동탄에 자리잡은 글루온은 현재 적극적으로 채용을 진행중입니다. 

지마켓글로벌(G마켓,옥션)/위대한상상(요기요)/NHN AD(네이버) 등의 공식대행사로서,
광고취급액은 2021년기준 210억원을 달성하며 매년 성장하고 있습니다.

오픈마켓에서의 검색광고를 주력하여,2020년 부터는 채용도 적극적으로진행하며 20여명의 인원에서 2년만에 40인의 규모로 사세를 확장해 나가는 중입니다.

글루온의 마케터들은 진심을 더하는 마음으로, 광고주를 영업대상으로만 보지않으며,
함께 성장하고 인간적인 교류를 이어나가는 일을 합니다.

광고전문가로서 광고주의 성공을 돕고, 상호존중하는 관계로 진심을 나누며 커리어를 쌓아나갈 멋진 동료분들을 기다립니다.",오픈마켓G마켓옥션네이버 등에서 판매자들이 상품판매를 더 잘 할 수 있도록 키워드광고를 제안운영관리업무를 담당하는 업무입니다입사하면 하는일 광고영업AE 신입기준 연3000만원성과급신규광고주발굴 및 광고제안 오픈마켓셀러대상 DB수집광고영업TM광고운영관리 키워드추출상품노출순위조정예산조정광고효율분석 광고비 대비 매출분석 개선방안 리포트작성프로모션 운영각종 이슈별 프로모션 운영해당직무는 오픈마켓G마켓옥션네이버 등 판매자들 중 광고를 진행하고있으나 개선점이 필요한분 광고를 진행해보지 않은 분 광고에 관심은 있으나 방법을 모르시는 분 들께 광고진행방법과 광고예산 등을 관리할 수 있도록 제안하는 업무를 기반으로하여 상품이 고객들에게 잘 보여질 수 있도록 키워드추출 및 노출순위조정 예산설정 결과데이터 리포팅 등 광고관리를 도와드리는 업무를 담당하게됩니다 입사시 교육과 11 멘토링시스템으로 약 3개월 또는 6개월의 수습기간을 거치며 광고방법 광고운영스킬등을 향상시켜나가게됩니다업무진행방법G마켓 옥션 네이버 등에서 상품을 판매중인 셀러정보 수집판매자에게 전화영업광고의 필요성광고내용광고집행방법효과등을 설명 및 계약계약된 광고주들의 상품 중 광고노출상품선정해당상품에 적합한 키워드추출검색했을때 보여질 수 있는 키워드 추출추출한 키워드별 노출순위 결정상위노출광고 집행 후 결과데이터 분석광고비대비 수익확인광고결과전달 및 매체확장 등 검토업무에대해 잘 모르시는게 당연합니다 그래서 글루온은 신입분들을 위한 OJT와 11전담케어를 운영중입니다 입사하시게되면 A부터 Z까지 모두 다 알려드립니다더 궁금하신 내용은 카카오톡 오픈카톡으로 글루온 검색 후 11채팅으로 문의주시면 친절히 안내해드리겠습니다 응대가능시간  평일 10시17시,"＜전형절차＞
서류접수 - 서류평가 - 면접 -최종합격","매주수요일 점심시간 1.5시간/ 매주금요일 30분 조기퇴근 (주39시간근무)
주5일근무/연차/반차/ 반반차/ 프로모션 포상(연차/상품권/법인카드 월100만원)/명절선물/장기근속포상(Goldbar)
각종경조금/경조휴가/신입사원교육(OJT)/ 직무능력향상교육
탕비실/휴게실/안마의자/도서관/탁구대/당구대/스낵바/음료냉장고/석식제공(야근발생시)
워크숍/야유회/창립일행사 및 선물/복지몰운영 외 다수 

","경기 화성시 동탄순환대로 823, 2층",공통 경력  신입 경력 13년 무관 지역  경기 화성시 동탄순환대로823 에이팩시티 2층 직무  광고영업TM누군가에게 도움이 되는 일로 보람을 느끼고싶으신 분이라면 언제든 환영합니다검색광고마케터1급 채용시 우대 입사 후 취득시 응시료지원,4809
(주)도담이앤씨,정규직,"['도로설계', '토목기사', '건축구조설계', '토목설계', '건축설계']",,도로 설계,서류전형-면접전형-최종합격,"ㆍ종합건강검진 지원
ㆍ상해보험
ㆍ안식년휴가
ㆍ신년/창립기념일/명절 선물	
ㆍDODAM 복지포인트 제도 운영
ㆍ교육비/학자금 지원
ㆍ사내 동호회 지원
ㆍ휴양지 지원
ㆍ우수사원 포상",인천광역시 남동구 예술로 192번길 40 새마을회 빌딩 4층 ,토목공학과 및 관련학과 졸업토목기사 및 관련 자격증 보유자컴퓨터 활용능력 우수자토목기사 소지자,4810
(주)길교이앤씨,정규직,"['토목', '건축', '토목설계']",(주)길교이앤씨 설계팀 경력 (대리~차장), 교량구조설계 구조계산 설계도면 건축 PC 설계,,"• 장기근속자 포상
• 구내식당 (전액 회사부담)
• 우수사원 시상
• 휴양시설 지원 (리솜, 대명리조트)",경북 포항시 남구 철강로 306, 학력  전문대졸 이상 직무관련 전공자 토목공학 및 구조공학 경력  3년이상 대리  차장1 동종업계 경력 거더 전문업체 구조물 설계2 교량 및 구조물 경험자3 건축 무주대공간 관련 PCPCS 설계 경험자4 Modular 조립식 공법 관련 설계 경험자 PC 설계경험 대환영,4811
(주)길교이앤씨,정규직,"['토목', 'R&D', '지적재산권', '연구과제']",길교이앤씨 기술연구소 경력 채용, 지적재산권 창출 및 관리 특허 신기술 신공법 개발 및 보유기술 개선 RD 연구과제 참여,,"• 장기근속자 포상
• 구내식당 (전액 회사부담)
• 우수사원 시상
• 휴양시설 지원 (리솜, 대명리조트)",경북 포항시 남구 철강로 306, 학력  대졸 이상 전공  토목공학 및 구조공학 경력  1년 이상1 동종업계 경력 거더전문업체 구조물 설계2 MIDAS BIM CAD 사용경험자,4812
