회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)퍼폼어스,정규직,"['영업기획', 'CRM', '마케팅 전략', '디지털 마케팅', '대행사관리', '제안서 작성', '영업 관리', '고객사 관리']","(주)퍼폼어스는 브랜드의 빠른 성장을 위해 전략적인 브랜딩,
디지털 마케팅, 콘텐츠 기획/제작, 매체 노출까지 가능한 종합 광고 대행사 입니다.

다수의 고객사와 함께하는 퍼폼어스는 매년 폭발적인 성장 곡선을 그리고 있습니다.

많은 지원 부탁드립니다. 

감사합니다. ", 신규 고객사 개척 영업 고객사 재계약CRM 영업 고객사 소통 및 관리   문의상담 클레임 해결 제안서 공유 등 AE PM팀 소통 및 협력 고객사브랜드사 바이럴 퍼포먼스 컨텐츠 마케팅 플랜기획 및 제안서 작성   미디어믹스 플랜 기획,서류전형-면접전형-최종합격,"야근식대
자율적인 회식
듀얼모니터 제공
휴게실 및 커피머신(안마의자/소파베드)
경조사비 지원
명절선물
생일자 생일선물 및 반차제공
청년내일채움공제
자율복장
신입사원 자사제품 증정
장기근속&우수사원 포상
인센티브제(영업팀관련)
","서울 구로구 디지털로33길 48, 308호", 디지털 마케팅에 대한 이해도가 있는 분 인하우스 마케팅 or 마케팅 대행사 경력자 마케팅 영업 풀 보유자 함께성장을 원하는 마인드셋 좋으신 분 마케팅 성과를 지표화 시킨 경험이 있는분 노션슬랙이카운트 솔루션 사용 경험자,1065
(주)와이리,정규직,"['관리', '영업기획', '영업', '영업관리', 'MD']","[회사 소개]

안녕하세요, 여행 인플루언서 플랫폼 와이리입니다.
현재 와이리에서 영업직군을 모시고 있습니다.

자사는 한국관광공사와 문화체육관광부로부터 '2021년 올해의 관광벤처 기업 24사' 선정된 우수 관광벤처기업이며, 팁스 운영사로부터 시드투자를 유치 후 팁스까지 선정된 유망 관광벤처기업입니다. 특히 팀 평균 나이가 20대로 이루어져 활기차고 즐거운 분위기속에서 업무가 가능합니다. 

주요 비즈니스 모델은 여행 인플루언서와 여행업주 매칭 서비스, 일반인들이 본인의 여행을 직접 등록하고 사람들을 모집하여 여행을 떠날 수 있는 플랫폼 서비스 제공입니다.

2021년 5월에 창업하여 현재 매출이 3억원을 넘어섰습니다. 지금까지 빠른 성장을 하고 있고 한번더 도약하고자 합니다.

더 큰 성장을 위하여  책임감 있는 영업팀과 함께 회사를 성장시켜나가고 싶습니다.
와이리는 스타트업에 관심있으신 영업팀원, 함께 회사를 성장시켜 나가고 싶은 영업팀원을 채용하고 있습니다.
비전과 책임감에 공감해주시고, 최선을 다해주신다면 그에 걸맞는 권한과 보상을 드릴 예정입니다.

자사는 서울 종각역, 광화문역, 을지로입구역 인근에 위치한 '한국관광공사'에 사무실을 두고 있으며 즐겁고 자유로운 분위기에서 업무에 임하고 있습니다.

주소: 서울특별시 중구 청계천로 40, 한국관광공사 821호

웹사이트: www.wairi.co.kr
와이리 관련 기사: 
- https://www.edaily.co.kr/news/read?newsId=01472726632200016&mediaCodeNo=257&OutLnkChk=Y
- https://news.mt.co.kr/mtview.php?no=2022010910463847552

감사합니다
와이리 드림", 플랫폼 파트너사입점사 신규 제휴 영업 여행 사업체를 위주로 플랫폼 입점 영업 진행호텔 펜션 게스트하우스 레저관련업체 식당 카페 등  파트너 입점 1건당 성과급 지급건당 510만원 내외 영업 및 관리 프로세스 개선 영업 성과 대시보드 관리 파트너사 커뮤니케이션 및 분석 효과적인 영업을 위한 영업계획 수립 및 영업 성과 관리 영업 성과 지표 관리 계정 운영 관리 제안서 작성 등 시장조사 및 분석시장 고객 경쟁사 트렌드 채널 조사분석 및 인사이트 도출  프리랜서 영업직군을 모집하고 및 관리,잡플래닛 지원,"!! 제휴 1건당 성과급 지금(건당 5~10만원)
• 탄력 출근제(9시~11시 사이 원하는 시간에 자유롭게 출근)
• 자기계발을 위한 도서 지원(월 1회 독서시험 존재, 선택적 진행 가능, 통과시 현금 10만원 바로 지급, 본인이 원하는 책으로 진행가능)
• 총 휴식시간 1시간 30분 제공(점심시간 1시간+개인 휴식시간 30분)
• 사무실 외 휴식공간(청계천 뷰) 구비
• 명절 선물 제공
• 각종 간식 무제한 제공(원하는 간식 요청)
• 사대보험
• 커피 머신기
• 힐링존(힐링 안개 존)
• 긍정적인 팀원들
• 장기근속 포상 (유급휴가)
• 명절선물
• 종각역, 광화문역, 을지로입구역 도보 10분 내
• 청계천 뷰 사무실
• 사무실 내 원하는 음악 플레이
• 생일 축하 조기 퇴근
• 자율적 업무 환경
• 자유로운 복장
• 사유를 묻지 않는 연차 사용
•  미사용 연차: 1년이 지난 휴가도 소멸되지 않고 다음해에 사용 가능. 장기휴가 등 본인의 선호에 따라 자유롭게 사용가능합니다.","서울 중구 청계천로 40, 708호 씨호", 호텔에서 근무하신분 여행관련 업종에서 근무 경력이 있으신 분 여행 플랫폼에서 근무해보신분 본인의 사업을 진행해보신분 숙박업체여행사 영업 경력이 있으신 분 본인의 영업능력을 가시적인 지표로 증명하실 수 있는 분 시장 환경트렌드에 대해 높은지속적인 관심을 갖고 계신 분 타 부서와 긴밀히 협업하여 매니징을 스스로 할 수 있는 분 데이터 객관적 분석을 통해 가장 효율적인 기획 및 서비스를 만들어낼 줄 아는 사람 개발자 CS매니저 데이터 애널리스트 등 다양한 사람과 효과적인 커뮤니케이션이 가능한 사람 여행 관련 플랫폼 업무 경험이 있으신 분 플랫폼 영업 경험이 있으신 분 린스트타업 및 애자일 방식에 대한 이해가 있으신 분 스타트업 주인의식을 가지시는 분 창업경험이 있으신 분,1094
(주)칼라일플루이드테크놀로지스코리아,정규직,"['프로젝트관리', '기계설비', '프로젝트매니저', '캐드', '설치', 'AS', '대인관계']",,기계 설비의 준비 및 현장 설치 관리기존 설치된 설비의 AS 대응 및 관리 주요 고객사  현대자동차 기아자동차,,"""• 4대보험 가입
• 자유로운 연차 사용
• 매년 복지포인트 지급
• 본인 및 가족생일 선물 지급
• 명절 선물 지급
• 경조사비 지급
• 운전자보험 및 질병./상해보험 가입(보험료 회사 부담)
• 정기 건강검진(검진비용 최소 30만원 이상/검진비 회사 부담)
• 장기근속자 격려금 지급
• 점심식사 제공
• 야근식대 지원
									
									
									
","경기 안산시 단원구 만해로 205, B동 710호",학력 무관군복무 의무가 종료된 자신입  대리급 지원 가능 경력5년캐드2D 3D 가능한 자기계설비 관련 전공 또는 경험 필요직업학교 교육수료 등운전면허 1종 보통 소지자업무 관련 경력 및 자격증 보유자지방 출장 및  휴일근무에 거부감이 없는 자대인관계가 원활한 자프로젝트 진행 경험이 있는 자,1160
삼지전자(주),정규직,"['영업기획', '영업관리', '기술영업', 'B2B영업', '중계기', '정부과제수행', '외국어(영어)']","업력 42년의 중견기업이자 코스닥 상장사인 삼지전자에서 다음과 같이 유능하고 역량있는 인재를 모집합니다. 당사와 함께 미래를 이끌어 나갈 분들의 많은 지원 바랍니다
",RU 및 중계기 영업관리 RURadio Unit 중계기 기술영업 정부과제 발굴 및 조사,"서류전형-실무면접-최종합격

제출서류 : 이력서, 경력기술서 (신입사원 지원자의 경우 성적증명서 제출 必)","복리후생
기념일 상품권 지급
퇴직연금, 경영성과급
자녀 대학 학자금지원
종합건강검진 지원(배우자 포함)
기숙사 지원 (1인 1실)
동호회 운영 (산악, 축구동호회)
조식, 중식, 석식 무료제공",경기 화성시 금곡로 63-27,경력 경력무관학력  학력무관무선통신 및 네트워크에 대한 기본적인 지식 보유자책임감 있는 자B2B 영업 경력자 우대사업아이템 발굴 및 사업화 경험자영어회화 가능자 우대인근 거주자 우대,1210
(주)티디지,정규직,"['MSSQL', 'windows server', '장애처리', 'MS', 'ad', '클러스터']","Worldwide No.1 제품과 IT 분야의 전문성, 우수한 엔지니어 인력을 바탕으로 고객의 환경을 정확히 이해하고 최적의 비즈니스 솔루션을 제공하여 기업의 Digital Transformation 을 통한 가치 창출과 성장을 지원합니다.
한국마이크로소프트의 공인 라이선스 파트너
국내 커머셜 기업을 대상으로 EA (Enterprise Agreement), SCE (Server and Cloud Enrollment), MPSA 등 라이선스 프로그램 공급
기술 서비스, 컨설팅 제공
Cloud 전문 파트너
M365, Azure 등 Microsoft의 클라우드 서비스 공급
고객의 비즈니스 환경에 맞는 Cloud 시스템 제안
Cloud 기반의 라이선스 유통, 설계, 구축, 모니터링, 유지보수 지원
Microsoft 관련 각종 장애 지원 및 기술 교육, 사전 지원, 고객관리 서비스 제공 (유상 기술 지원 서비스)
Technical Account Management
Proactive Support
Technical Support
On-Site Support",수원 및 화성 삼성전자 MS 기술지원 Windows 서버 기술지원 장애해결 성능 AD Cluster 등,"서류전형 > 1차면접 > 2차면접 > 최종합격							
","장기근속자 포상 / 우수사원표창 / 경조휴가 
/ 복지지원금(체력단련, 개인도서, 교육훈련, 내부미팅음료, 건강검진비) 
/ 교육비지원(업무관련 전액, 도서포함) / 통신비지원
/ 야근 식대 지원 / 야근 교통비지원 / 시내교통비 지원(업무상) / 명절 선물 
/ 중소기업소득세 감면 / 시차출퇴근제 시행 / 생일자 오후 반차 유급휴가 지급 
/ 퇴직연금 운용 / 사내동호회 지원 / 출산전후휴가 및 육아휴직 지원 
/ 배우자 출산휴가 지원 / 4대보험 가입 / 프로젝트 수당 지원 / 주 1회 재택근무					
","서울 강남구 언주로 709, 15층",학력  초대졸이상경력  1년 이상 적극적이고 원활한 커뮤니케이션 가능자 컴퓨터 활용능력 우수자 지방근무 가능자 관련 자격증 보유자 1년 이상 MS업무 경험자 대규모 프로젝트에서 windows 특정 기술 분야 리딩 경험자 MSSQL 운영  기술지원 경험자 이중화 Cluster 설계  구성 전화  실패 원인 분석 및 해결 방안 제시,1343
(주)딥엑스,정규직,"['서버관리', '서비스운영', '정보보안운영', '네트워크 관리', '인프라구축']","딥엑스는 인공지능 기술로 인류문명 발전에 기여를 하고자 세계 최고 수준의 AI 반도체 원천기술을 연구개발 하는 스타트업 기업입니다. 딥엑스의 NPU가 적용될 AI 반도체 시장은 2025년까지 85조 이상의 급격한 성장이 예상되는 거대한 시장으로 우리는 빠르게 변하는 시장에서 기술 리더십을 보유하기 위해 원천기술 확보에 매진하고 있습니다. 우리는 이 도전을 함께 할 열정적인 동료를 찾고 있습니다.

AI 기술이 시대의 패러다임으로 자리잡는 길목에서 동료들과 효과적으로 협업하고 의미 있는 성과를 내기 위해 자신의 재능을 적극적으로 활용하실 분들을 딥엑스로 초대합니다.", IT 프로젝트 기획 및 수행 IT 자원 트러블슈팅 사내 정보시스템Google Work Space ERP Atlassian SCM 등 운영 보안 솔루션 도입 및 운영 네트워크 구축 및 운영 서버Linux 구축 및 운영,,"• 전직원 주식증여
• 일 3식(아침, 점심, 저녁) 식사 지원
• 설/추석 명절 선물비 및 개인 기념일 축하금 지급
• 4대보험 (국민연금, 건강보험, 산재보험, 고용보험) 가입
• 업무Tool Kit (최신 사양 노트북, 24~32인치 듀얼모니터, 스탠딩 데스크 등) 제공
• 커피, 티, 두유, 비타음료 등 다양한 바리에이션의 음료와 간식 무한 제공
• 생일자 생일축하금(20만원) 지급 및 16시 조기 퇴근
• 경조휴가 및 경조금 지급
• 구성원 건강검진 지원 

 복지는 딥엑스의 성장과 함께 지속적으로 업그레이드 됩니다.","경기도 성남시 분당구 판교역로 241번길 20, 미래에셋벤쳐타워 5F", 사내 IT팀 경력 경력 310년 데이터베이스 구축 및 운영 경험 형상관리 시스템 운영 경험 연구개발 환경 SetUp 및 개선 경험 유관 업계 IT팀 경력 서버 운영 경력 3년 이상 or 네트워크 운영 경력 3년 이상 관련 자격증 ITSM ITGC 운영 경력,1402
(주)에스투더블유,정규직,"['java', 'Spring framework', 'kotlin', 'python']","• 합류하실 프로덕트1팀은 지속적인 기술 혁신과 사용자 경험의 최적화를 목표로, 퀘이사(Quaxar)를 비롯한 S2W의 주력 제품 개발과 운영을 책임지는 팀 입니다. 서비스기획자, 프론트엔드, 백엔드 등 다양한 분야에서 3년 ~ 10년 경력을 가진 멤버들이 각자의 전문성을 바탕으로 협업하고 있습니다.

• 백엔드 파트의 목표는 방대한 양의 데이터를 원활하게 관리하고, 고객사의 보안담당자가 위협 데이터를 한 눈에 파악해 필요한 조치를 할 수 있는 제품을 개발·운영하는 것입니다. 거기에 더해 서비스 배포, 로깅, 모니터링 등 백엔드 시스템 구성을 자동화하고 아키텍처를 개선하고자 노력하고 있습니다.

• ●	언어는 Java를 주로 사용하며 Kotlin, Python도 활용하고 있어요. 주요 데이터 스토어는 MongoDB와 Elasticsearch, MySQL이며 데이터 수집, 분석 팀과 업무 연계를 위한 Event Message 처리는 RabbitMQ를 사용합니다.", JAVA Kotlin 기반으로 S2W의 주력 제품Quaxar ASM 백엔드 로직을 개발 배포합니다   퀘이사Quaxar는 기업기관의 보안담당자가 사이버 위협 정보를 효율적으로 관리하고 위협에 대처할 수 있도록 필요한 인텔리전스를 제공하는 보안 솔루션입니다   ASM는 기업기관의 보안담당자가 조직의 디지털 자산이나 인프라 관련 취약점과 위협 정보를 식별 모니터링하고 관리할 수 있도록 돕는 솔루션입니다 Elasticsearch를 주로 활용하여 유출 계정 보안 결함 목록 등의 데이터를 다크웹에서 검색할 수 있는 엔진을 개발 운영하고 고도화 합니다 클린 코드로 지속적으로 코드 구조를 개선하고 리팩토링합니다 테스트 코드 기반으로 API 문서를 작성합니다 코드 리뷰 기반으로 동료들과 함께 성장할 수 있는 문화를 만듭니다,"• 서류전형 ＞ 사전과제 ＞ 직무인터뷰 ＞ 컬쳐핏인터뷰 ＞ 처우협의 ＞ 최종합격

※ 사전과제는 보다 깊이 있는 직무 인터뷰를 위해 진행하며, 당락과는 무관합니다.","• 일하는 장소와 시간을 언제든 자율적으로 선택할 수 있습니다. (완전 자율출근제 + 재택근무 가능)
• 업무용 장비는 440만원 범위 내에서 원하시는 것을 지원하고, 3년 후 교체해 드립니다. 
• 오피스는 판교역 도보 5분 거리에 있으며, 넓고 쾌적한 근무환경을 제공합니다.
• 업무 관련 교육, 서적 구매를 최대한 지원합니다. 내부 스터디와 세미나도 활발히 이뤄지고 있어요! 
• 먹는데 돈 쓰지 마세요! 점심-저녁식사와 간식, 커피 등을 회사에서 지원합니다. 
• 공부, 취미, 어학 등에 필요한 자기개발 비용을 매년 120만원 지원합니다.
• 1:1 영어 회화 프로그램(링글)을 지원합니다.
• 구성원들의 건강이 최우선! 지정 병원에서 매년 종합 건강검진을 지원합니다. 
• 구성원들을 대상으로 무이자 사내대출을 지원합니다. (한도 1,000만원)
• 모든 구성원의 내일채움공제 가입을 지원합니다. 


※ 현직자의 한마디 : 저희와 함께 하시면 이런 장점이 있습니다.
• S2W는 다양한 종류의 빅 데이터를 다루고 있으며, 이 데이터들을 어떻게 제품에 녹여 사용자에게 전달하느냐가 매우 중요합니다. 특히 S2W의 고객의 대부분이 국내외 정부기관과 대기업, 금융기관 등이기 때문에, 고객이 원하는 퀄리티의 제품을 구현하기 위해 많은 고민과 노력이 필요합니다. 쉽지 않은 작업이지만 그만큼 임팩트 있는 결과물을 만들 수 있기 때문에 의미가 있다고 생각합니다.","경기 성남시 분당구 판교역로192번길 12, 판교미래에셋센터 3층", 3년 이상 서버 개발 경험 Java 8 이상 Spring Framework 활용한 개발 경험 기본적 모델링 RDBMS 이용한 개발 경험 다양한 관점을 가진 동료들과 협업해서 제품을 만들어본 경험 Clean Code 작성 경험 Kotlin 개발 경험 Mongo ElasticSearch 등 NoSQL 경험 JUnit Rest Docs 등을 활용한 테스트 및 API 문서화 경험,2280
옴니어스(주),정규직,"['java', 'C#', 'python', 'api개발', '웹개발자', 'Docker', '백엔드 개발', '배포', 'Kubernetes', 'SaaS']","옴니어스는 모두를 위한 인공지능 기반 커머스를 만듭니다.
우리는 개인과 기업 모두를 위한 인공지능 기반 커머스의 미래를 현실로 만들고, 이커머스의 성장과 혁신을 촉진하고 새로운 가능성이 실현되도록 노력하고 있습니다.
옴니어스는 인공지능 기반 커머스가 기업과 개인에게 가져다 줄 수 있는 효율성, 개인화된 경험 등의 이점과 혁신을 위한 새로운 기회와 가능성을 모색합니다.
인공지능 기반 커머스의 새로운 기술과 트렌드를 끊임없이 탐구하며 이러한 혁신들이 커머스의 미래를 어떻게 만들어가는지를 고려합니다
다양한 규모의 기업과 다양한 배경의 개개인들이 인공지능 기반 커머스의 혜택을 받을 수 있는 방법을 고민하고 이러한 목표를 달성하기 위한 전략을 실행합니다.
인공지능 기반 커머스가 지속 가능한 성장과 발전을 이끌어낼 수 있는 역할에 대해 고민하며, 이러한 성장이 포용적이면서 환경적으로 책임있는 방향으로 이루어지도록 노력합니다.

AI와 리테일 기술분야에서 혁신을 이끌어갈 재능있는 개발자분들을 모십니다.",1 이미지 인식 AI 기술 기반 APISaaS 서비스를 개발합니다     대량의 실시간 Inference 작업을 안정적으로 처리하기 위한 분산처리 시스템 개발 및 운영     고객이 편하게 사용할 수 있는 웹서비스의 백엔드를 개발     부하 상황에 따라 고성능 서버에서 동작하는 Workload를 Auto Scaling 할 수 있는 컨테이너 기반       인프라 구축2 생성형 언어모델 LLM 기반의 대화형 서비스를 개발합니다     언어모델의 프롬포트를 동적으로 관리하고 안정적으로 Inference 하기 위한 Serving 시스템       개발 및 운영     대량의 실시간 Inference 작업을 안정적으로 처리하기 위한 분산처리 시스템 개발 및 운영     여러 사용자가 안정적으로 편하게 사용할 수 있는 서비스의 백엔드 개발," • 서류 전형  코딩테스트  1차 실무면접  2차 임원 면접  최종합격
 • 코딩 테스트 및 면접 진행일정은 메일을 통해서 전달됩니다.","• 카페 같은 라운지, 폰부스, 남산과 한강 조망권을 가진 쾌적한 사무 환경 - 패스트파이브 신사점(신사역 8번출구 인근)
• 눈치 안 보는 휴가 사용, 창립기념일 전사 휴가
• 자유롭게 활용하는 유연 근무제
• 주중 1회 리모트 근무 시행(개인 일정별)
• 동종업계 상위 연봉 / 성과에 따른 인센티브 등 합리적인 보상 보장
• 매 2년 근속마다 Refresh 2주 유급 휴가 제공
• 본인 생일, 가족 기념일에 유급 반차 지급
• 원하는 스펙의 고사양 개인 장비 지원 (맥북/듀얼모니터 등)
• 원하는 개인 성장 지원 (교육비/세미나비/스터디비/도서구매비)
• 뛰어난 외부 인재 추천 및 입사 시 인재추천 인센티브 지급

이 외, 옴니어스 크루만을 위한 다양한 제도가 준비되어 있습니다.

[이런 분과 일하고 싶어요]
• 호기심이 많고 자기 분야에 전문성을 추구하시는 분 
• 자기주도적인 업무시간 관리, 학습을 체계화시키는 분
• 실패를 두려워 하지 않고 배우는 자세로 일하시는 분
• 고객의 입장에서 함께 문제를 해결하는 것에 가치를 두시는 분
• 팀이 행복해야 고객도 행복하다는 모토 하에 즐겁게 일하실 분

#수평적조직, #스타트업, #AI, #인공지능, #패션인공지능, #자율복장, #유연근무, #재택근무, #원격근무, #스톡옵션, #Macbook, #iMac, #노트북, #교육비, #직무교육, #세미나참가비, #컨퍼런스참가비, #자기계발, #도서구매비, #리프레시휴가","서울특별시 강남구 도산대로 145(신사동, 인우빌딩) 12층 옴니어스", 7년 이상의 실무 웹 서비스 개발 python  java  C 및 운영 경험이 있으신 분  실제 서비스의 기획 개발 배포 운영의 모든 과정을 경험해보신 분 RDB에 대한 설계 및 운영 경험이 있으신 분 Data Lake DW 관련 설계 및 운영 경험이 있으신분 Container Docker Kubernetes 기반 서비스의 개발 및 배포 경험이 있으신 분 다양한 배경을 가진 팀원들과 협업을 위한 원활한 커뮤니케이션이 가능하신 분 AWSGCP 클라우드 환경에서 서비스 설계 및 구현 경험이 있으신 분 Python 기반의 상용 서비스 개발 경험이 있으신 분 데이터 기반의 서비스에 대한 개발 및 상용화 경험이 있으신 분 RESTful Interface 기반 서비스 개발 경험이 있으신분 AI 기술이 실생활의 문제를 해결하는 제품으로 만들어지기까지의 과정에 기여하고자 하는 분 백엔드 엔지니어로서 빠르게 성장하고자 하는 분,4023
(주)제이펀,정규직,"['프로젝트관리', 'python', 'api개발', 'git', 'rdbms', 'RESTful', 'Java spring jsp', '인재관리', 'oop', 'github']","▣ 2023년 제이펀 개발자 공개채용
: 국내셀러의 해외진출을 돕는 동남아 E-커머스 마케팅 플랫폼 [엠텍트]와 함께
  비전과 목표를 공유하고 성장할 인재를 찾습니다.

'동남아 크로스보더 퍼포먼스 마케팅 플랫폼 [엠텍트]‘는 2020년 74조에서 2025년 약 206조로 연평균 35% 이상 급성장하는 동남아 이커머스 시장에 국내 브랜드사의 새로운 판로개척을 목표로 정부지원&시드투자 유치를 통해 개발 중인 플랫폼 입니다. 

[엠텍트]는 동남아 퍼포먼스 마케팅 성과를 플랫폼에 축적하고 300억 규모의 온라인 광고 노하우를 활용하여 빅데이터 기반의 다양한 인사이트를 제공함으로써 
국내 브랜드사의 동남아 마켓 입점 및 마케팅의 전 과정을 가이드하고 자 합니다.

 엠텍트 기능 소개 

1. 맞춤 자가 진단을 통해 동남아 진출 가이드
  - 상품 정보를 분석하여 동남아 추천진출국 및 쇼피 입점에 필요한 
    권장판매가, 마케팅 세팅 전략 등 전반적인 가이드를 제공합니다.
2. 동남아 광고에 필요한 영상 제작 대행
  - 자사 4,000편 이상 영상 제작  노하우 기반으로 광고 영상 
    제작 대행 및 진행 상황을 실시간으로 확인이 가능합니다.
3. 다양한 광고 데이터를 한 곳에서 쉽게 관리
  - 가치있는 인사이트 제공 및 소재,마케팅 채널, 상점, 성과 데이터 등
    시각화 대시보드를 통해 누구나 쉽게 비교 분석 및 진단 가능합니다.

 엠텍트 플랫폼의 History
2020년 페이스북&인스타그램 어워드 시상식 최고의 대행사 수상
          쇼피코리아 공식 마케팅 대행사 등록
          중소벤처기업부, [창업도약패키지 정글프로그램] 선정
          중소벤처기업진흥공단, [온라인수출기업화사업] 선정
2021년 과학기술정보통신부, [데이터바우처지원사업] 선성
          한국디자인진흥원, [스타일테크 유망기업 성장지원 프로그램] 선정
          중소벤처기업부, [창업도약패키지 성장촉진_디자인개선] 선정
          과학기술정보통신부, 대한민국 온라인광고 대상_테크&솔루션 부문 우수상
2022년 투자 유치 완료 
          엠텍트 자가진단 ver 1 개발완료
2023년
          Pre-A 진행완료
          엠텍트 고도화 진행 준비
", 개발 실무와 관리 개발 직군 인재 영입 및 관리 웹앱 플랫폼 개발 및 관리 총괄 서비스 구현을 위한 개발 전략 수립 및 기술 로드맵 제시 내부 서비스 개선 기술 고도화 속도 개선 보안 검색 최적화 개발기획디자인 실무자와의 협업 커뮤니케이션,"서류전형 -＞ 1차 온라인 커피챗  -＞ 2차면접 -＞ 처후협의 -＞ 최종합격
* 채용절차는 포지션에 따라 생략/추가될 수 있습니다.","• 유연근무제 
• 패밀리데이, 명절 연휴 전날 조기퇴근제도
• 간식 무한 제공
• 업무 관련 교육 지원(교육비, 도서구입비)
• 생일자 상품권 선물지급, 명절 선물지급
• 자사브랜드 제품 구매혜택
• 전직원 듀얼모니터 지원 및 최신 고급 장비 지원
• 각종 경조사 휴가 및 경조비 지원
• 자율복장","서울 금천구 가산디지털1로 128, 1001호", 개발 프로젝트를 리딩해 보신 분 개발 management 만이 아니라 개발 실무를 하시는 분  실무 개발 경력 최소 4년 이상 웹 개발 경력 또는 앱 개발 경력 SI 쪽이 아닌 서비스 제품을 직접 개발 해보신 경력이 있으신 분  해외 출장에 결격 사유가 없는 자 OOPObject Oriented Programming에 대한 이해가 있는 분 벡엔드 프레임워크를 사용한 상용 서비스 개발 및 운영 경험이 있는 분 RDBMS에 대한 이해와 하나 이상의 RDBMS를 사용한 개발 경험이 있는 분 API 설계 및 개발에 대한 다양한 경험이 있는 분 Git과 GitHub를 사용한 버전 관리와 협업에 익숙한 분 프론트엔드 개발자 프로덕트 매니저 프로덕트 디자이너 등 동료와 협업 경험이 있는 분 Python FastAPI Java Spring JPA 등에 이해 및 경험이 있는 분 Serverless 환경에서 서비스 개발 및 운영을 한 경험이 있는 분 도메인 주도 설계에 대한 이해 및 경험이 있는 분 테스트 자동화 및 테스트 주도 개발에 경험이 있는 분 애자일 프로세스에 대한 경험 CI  CD 구축 경험 빅데이터 수집 및 가공 분석 경험  데이터 분석 등에 대한 기술적 이해도가 높으신 분 RESTful 이해 비동기 프로그래밍 사용경험,4026
(주)레드버튼,정규직,"['QA', 'python', '유지보수', '프로젝트매니저', 'js', '프로젝트 기획', 'Android 개발', 'iOS 개발', 'RDB', '클라우드시스템']","레드버튼은 보드게임카페 전용 어플리케이션 개발과 영상 설명을 통해 기존 보드게임카페의 한계성을 해결하였고, 차별화된 인테리어, 보드게임 카페 수준을 넘어서는 메뉴 퀄리티를 통해
자타공인 업계 1위로 수많은 고객분들께 사랑 받아 왔습니다.

무궁무진한 가능성을 가지고 성장하고 있는 레드버튼에서 최고의 능력을 발휘해 줄 당신을 기다립니다.", 신규 개발 프로젝트 기획 및 설계 신규 개발 프로젝트 개발 진행 관리 빌드 점검시연 QA 론칭 BtoC 라이브 서비스 유지보수 관리 서버클라이언트 개발 및 운영 관리 형상 관리 통합빌드 배포 소스품질 관리 외부 개발업체 발굴 평가 개발진행관리,"
• 포트폴리오 제출 필수
• 경력기술서 제출 필수
• 해외여행에 결격사유가 없는 분","• 연 1회 인센티브
• 복지포인트 지급
• 1시간 단위 연차 사용
• 시차출퇴근제 운영
• 운동지원금
• 보드게임카페 지원금
• 생일 반차 및 선물 지급","경기 안양시 동안구 동편로13번길 65, 303호 302호, 303호(관양동, 넥스트아이빌딩)", Cloud Server 개발 및 운영 경험 AWSEC2 Auto Scale Cloud front S3 등 프로젝트 PLPM 등 수행 및 업무 시스템 구축 경험 테크니컬 분석설계 역량 AndroidIOS 개발 경험 네이티브 플러터 리액트 네이티브 등 모바일 크로스 플랫폼 관련 경험 서브 능력 Python JS RDB 개발 경험 Flask Django Vuejs MariaDBMySQL 사용 혹은 관련 겅험 관련 경력자,4028
