회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)우원기술,정규직,"['소프트웨어개발', '알고리즘 개발', '연구 개발 R&D', '컴퓨터공학', '연구 plc 설계']",,기업부설 연구소 PLC프로그램 업무,"서류전형-면접전형- 최종합격

ㆍ입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.","지원금/보험 건강검진, 금연수당, 각종 경조사 지원, 체력단련실운영
급여제도 장기근속자 포상, 우수사원포상, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 가족수당, 4대 보험
선물 명절선물/귀향비, 창립일선물지급, 생일선물/파티
교육/생활 워크샵, 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 사우회(경조사회), 음료제공(차, 커피)
근무 환경 휴게실, 회의실, 카페테리아, 전용 사옥, 장애인 전용주차장, 유니폼지급, 사원증, 사무용품 지급
조직문화 노조/노사협의회, 자유로운 연차사용
출퇴근 기숙사 운영, 통근버스 운행, 주차장제공, 회사차량 있음
리프레시 연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가


복지
ㆍ하계(유급)휴가 3일 지급.
ㆍ인센티브 지급.
ㆍ건강검진 년 1회 지원.
ㆍ사내대출 제도
ㆍ복지포인트 지급(년 200만)",경기 평택시 서탄면 서탄2로 176-25,학력  대졸 이상 23년경력  무관 신입도 지원 가능컴퓨터시스템공학,3112
(주)알세미,정규직,"['java', 'c', 'C++', 'python']","안녕하세요. 저희는 AI 기반 반도체 모델링 소프트웨어를 개발하는 알세미입니다. 많은 관심 부탁드립니다. 
알세미는 SK하이닉스 사내벤처로 분사창업한 5년차 스타트업으로, 인공지능 기술 기반의 반도체 모델링 솔루션을 개발하고 있습니다.
알세미는 기존 기술의 패러다임을 완전히 바꾸어 놓을 새로운 도전을 위해 업계 최고수준의 연구원들과 함께하고 있습니다.

＞ 알세미 창업 스토리 : https://bit.ly/3I1bMEL
＞ 알세미가 궁금하다! : https://bit.ly/31Px33P
＞ 알세미 시리즈A 투자유치 : https://bit.ly/3FG2BHC
＞ 알세미 아기유니콘 선정 : https://bit.ly/3Q4gUOy

최고수준의 연구원들과 함께 하실 분들을 찾고 있습니다", 개발팀 주니어 SW 개발자전문연구요원 글로벌 Toptier 반도체 기업 및 연구기관에 제공할 엔지니어링 솔루션 소프트웨어 개발,"서류 전형 ＞ 전화 인터뷰 ＞ 라이브 코딩테스트 ＞ 온라인 인터뷰 ＞ 대면 인터뷰 ＞ 최종합격
** 포지션의 특성에 따라 인터뷰 순서가 변동/추가/생략 될 수 있습니다","[최고의 업무환경을 만들어가고 있어요!]
 • 최고수준의 연구원들, 가장 훌륭한 팀원들과 함께 시너지를 만들어가고 있습니다
 • 입사시 400만원 한도 내로 업무에 필요한 장비들을 직접 고르세요
 • 매월 제공되는 마일리지를 모아모아 업무환경을 튜닝하세요

[휴식도 업무의 일환이에요!]
 • 집중력이 떨어질 땐.. 라운지에서 자유롭게 쉬면서 일해요
 • 선정릉 관람권 제공! 도심 속 자연과 함께 힐링해요~
 • 탁구장, 헬스장, 노래방 등 편의시설을 자유롭게 이용할 수 있어요

[함께 성장해 나가요!]
• 본인 필요에 따라 학회/세미나/도서를 지원해드려요
• 분기별 팀 활동비 지급! 티타임, 팀 액티비티 등 팀웍을 끌어올리세요 

[자율과 책임감으로 일해요!]
 **코어타임(10:30~15:30)**을 제외하고 자유롭게 출퇴근이 가능해요
• 재택근무는 주 2+@회 가능해요!

[눈치보지 말고 쉬세요!]
• 연차/반차 등 당일에도 휴가를 사용할 수 있어요
• 쉬어야 더 잘 일한다! 기본 연차 받고 특별 휴가 4일 더
• 출산휴가, 배우자 출산휴가 등 각종 경조휴가(+경조금) 제공

[건강이 최고예요!]
• 연1회 건강검진 지원과 함께 1일 유급휴가를 드려요

[끼니는 꼭 챙겨드려요!]
• 식권대장 - 매월 식대를 지급해드려요
• 부득이하게 야근시 저녁 식대도 별도로 지원해드려요
• 다양한 과자/커피/음료 등을 무제한으로 제공해드려요",서울 강남구 봉은사로78길 16, 컴퓨터 과학 또는 관련 공학기술 분야의 석사 이상 학위 취득자 새로운 기술 습득 및 도입에 적극적인 태도 소프트웨어 개발 라이프 사이클에 대한 이해 뛰어난 구두 및 서면 커뮤니케이션 능력 적절한 데이터 구조 및 알고리즘을 사용한 문제 해결 기술 CC JAVA Python 또는 유사한 프로그래밍 언어로 고품질 코드 개발 경험 객체 지향 소프트웨어 설계에 대한 이해 CICD 파이프라인 유지 및 구축 경험 AWS GCP Kubernetes 를 이용한 클라우드 솔루션 구축 경험 머신러닝과 딥러닝에 대한 지식 반도체에 대한 지식,3144
(주)알세미,정규직,"['c', 'C++', 'python']","안녕하세요. 저희는 AI 기반 반도체 모델링 소프트웨어를 개발하는 알세미입니다. 많은 관심 부탁드립니다. 
알세미는 SK하이닉스 사내벤처로 분사창업한 5년차 스타트업으로, 인공지능 기술 기반의 반도체 모델링 솔루션을 개발하고 있습니다.
알세미는 기존 기술의 패러다임을 완전히 바꾸어 놓을 새로운 도전을 위해 업계 최고수준의 연구원들과 함께하고 있습니다.

＞ 알세미 창업 스토리 : https://bit.ly/3I1bMEL
＞ 알세미가 궁금하다! : https://bit.ly/31Px33P
＞ 알세미 시리즈A 투자유치 : https://bit.ly/3FG2BHC
＞ 알세미 아기유니콘 선정 : https://bit.ly/3Q4gUOy

최고수준의 연구원들과 함께 하실 분들을 찾고 있습니다", AI 기반의 반도체 소자 Compact model과 회로 시뮬레이터를 연결하는 인터페이스 개발 Neural compact model을 보완하는 수치 해석 기법 개발 Neural compact model을 위한 Spice 시뮬레이터 개발,"서류 전형 ＞ 전화 인터뷰 ＞ 라이브 코딩테스트 ＞ 대면 인터뷰 ＞ 최종합격
** 포지션의 특성에 따라 인터뷰 순서가 변동/추가/생략 될 수 있습니다.","혜택 및 복지
[최고의 업무환경을 만들어가고 있어요!]
 • 최고수준의 연구원들, 가장 훌륭한 팀원들과 함께 시너지를 만들어가고 있습니다
 • 입사시 400만원 한도 내로 업무에 필요한 장비들을 직접 고르세요
 • 매월 제공되는 마일리지를 모아모아 업무환경을 튜닝하세요

[휴식도 업무의 일환이에요!]
 • 집중력이 떨어질 땐.. 라운지에서 자유롭게 쉬면서 일해요
 • 선정릉 관람권 제공! 도심 속 자연과 함께 힐링해요~
 • 탁구장, 헬스장, 노래방 등 편의시설을 자유롭게 이용할 수 있어요

[함께 성장해 나가요!]
• 본인 필요에 따라 학회/세미나/도서를 지원해드려요
• 분기별 팀 활동비 지급! 티타임, 팀 액티비티 등 팀웍을 끌어올리세요 

[자율과 책임감으로 일해요!]
 **코어타임(10:30~15:30)**을 제외하고 자유롭게 출퇴근이 가능해요
• 재택근무는 주 2+@회 가능해요!

[눈치보지 말고 쉬세요!]
• 연차/반차 등 당일에도 휴가를 사용할 수 있어요
• 쉬어야 더 잘 일한다! 기본 연차 받고 특별 휴가 4일 더
• 출산휴가, 배우자 출산휴가 등 각종 경조휴가(+경조금) 제공

[건강이 최고예요!]
• 연1회 건강검진 지원과 함께 1일 유급휴가를 드려요

[끼니는 꼭 챙겨드려요!]
• 식권대장 - 매월 식대를 지급해드려요
• 부득이하게 야근시 저녁 식대도 별도로 지원해드려요
• 다양한 과자/커피/음료 등을 무제한으로 제공해드려요",서울 강남구 봉은사로78길 16, 반도체 전자공학 또는 관련 분야 학사 이상 HSPICE SPECTRE등을 활용한 회로 설계 업무 경험 새로운 기술 습득 및 도입에 적극적인 태도 뛰어난 구두 및 서면 커뮤니케이션 능력 CC 파이썬 skill 반도체 전자공학 또는 관련 기술 분야의 석사 학위 머신러닝과 딥러닝에 대한 지식 Spice simulator의 common model interface에 대한 경험 BSIM model 관련 연구 경험 리눅스 기반 library system 개발 경험 전문가용 SW 개발 경험,3147
호텔페이토(주),정규직,"['호텔', '객실관리']","HOTEL PEYTO는,
뱅뱅사거리에 위치한 강남점과 삼성역 도심공항 터미널에 위치한 삼성점이 2015년에 오픈 했습니다.
비즈니스 고객 모두를 위한 어반라이프스타일 호텔 (Urban Lifestyle Hotel)로써
고객들의 경제적 니즈를 충족시키고, 기존 비즈니스 호텔과는 차별화된 감성적이면서도 스타일리시한
페이토와 함께 성장 할 열정 있는 직원을 채용하고자 합니다.",HOUSE MAN 사원 주임급,,"지원금/보험
- 건강검진
- 각종 경조사 지원

급여제도
- 퇴직금
- 4대보험

선물
- 명절선물/귀향비

교육/생활
- 구내식당(사원식당)
- 점심식사 제공

리프레시
- 연차
- 경조휴가제","서울특별시 서초구 강남대로 259(서초동, 호텔 페이토)", 학력  무관 경력  신입경력 1년 이상 성별  무관 해당직무 근무경험,5271
(주)엠지알브이,정규직,"['서비스', '고객응대', '프론트', '호텔']","부동산 임팩트 디벨로퍼, MGRV
MGRV는 가치 있는 공간으로 사회적 영향력과 수익을 동시에 창출하는 부동산 임팩트 디벨로퍼입니다. 다양한 세대가 직면하는 주거 문제에 주목하여 ‘맹그로브 mangrove’를 기획/개발/운영해 나가고 있습니다.

그 첫 번째 전개는 청년 세대를 위한 쾌적하고 안정적인 집, 코리빙 하우스입니다. 2020년 청년 24명이 모여 사는 ‘맹그로브 숭인’을 시작으로, 한 건물에 200명 이상 거주할 수 있는 대규모 코리빙 ‘맹그로브 신설’과 ‘맹그로브 동대문’을 운영하고 있으며, 2023년 코리빙 라이프를 위해 설계된 ‘맹그로브 신촌’, 리모트 워커들을 위한 공간 ‘맹그로브 고성’을 연달아 오픈했습니다. MGRV는 대상과 지역을 넓히면서 비즈니스를 확장하고 있습니다.

[조직 문화] 
•  고객에게 혁신적인 대안을 제안하는 동시에, 사회적으로 긍정적인 임팩트를 만들어갑니다.
•  담대한 목표를 이루기 위해 우리는 뛰어난 역량과 성숙한 리더십이 동시에 필요하다고 믿습니다.
•  스스로에 대한, 그리고 타인에 대한 존중을 기반으로 치열하게 대화하고 협력하기를 원합니다.
•  건강한 셀프 리더십 기반으로, 통제보다는 맥락을 공유하고 전략과 프로세스, 일하는 과정을 능동적으로 관리하기를 바랍니다.
•  겸손하고 유연한 태도로 실패와 시행착오에 대한 배움과 성장을 추구하되 높은 기준과 분명한 방향성을 갖고 끈질기게 다가설 때 누구보다 차별적인 결과, 혁신을 이룰 수 있다고 믿습니다.",CX Management팀 소속으로 맹그로브가 지향하는 주거 문화를 알리고 고객 커뮤니케이션 및 공간 서비스 운영을 담당하시게 됩니다 맹그로브에서의 경험이 코리빙 장단기 숙박 커뮤니티 기획 및 운영에 관심이 있으신 분들께 건강한 성장의 시간이 되기를 기대합니다  고객 커뮤니케이션     방문자 대상 문의 응대     이슈 매니지먼트     멤버로부터의 서면 대면 문의 대응 및 문제해결  공간 서비스 운영 서포트     공간 서비스 관리 및 개선     예약 채널 운영 및 예약 관리     입퇴실 프로세스 관리     NPSNet Promoter Score VOC투숙객 리뷰 관리  MSCMangrove Social Club 운영 서포트     필요 시 MSC 운영 서포트         MSC는 건강한 일상을 가꾸고 자기다운 성장을 돕는 맹그로브의 웰니스 커뮤니티입니다,"•  채용 절차 : 서류 심사 > 1차 실무 인터뷰 > 2차 CEO 인터뷰 > 입사 협의
•  제출 기간 : 서류 제출 순서에 따라 전형을 진행, 채용 확정 시 마감합니다
•  제출 서류 : 이력서(경력 및 수행업무 위주) 또는 포트폴리오/ 경력기술서,  자기소개서

모든 지원자 분들께 결과를 안내 드리고 싶지만 여건 상 서류 합격하신 분들께 개별 안내 드리는 점 양해 부탁 드립니다. 시간 내어 지원해주신 모든 분들께 진심을 담아 감사 드립니다.","•  근로관계: 정규직
•  근무지: 맹그로브 신설, 맹그로브 동대문 (팀 내 협의 후 추후 확정 예정)
•  근무시간:  스케줄 근무제) 09:00~18:00, 14:00~22:00 /  근무 요일은 상황에 따라 조율 가능합니다.
•  보상: 회사 내규 및 경력에 따라 협의 
•  복지제도: 
   -  자유와 책임의 원칙에 따라 자율적이고 능동적으로 일하는 문화 조성을 꾀하고 있습니다.
   -  자율적 학습 문화를 지지하며, 업무 역량 개발과 성장에 필요한 컨텐츠 비용 지원
   -  연 20일 연차를 제공하며 반차, 반반차 등 유연한 연차 사용 가능
   -  근속 3년 시점마다 2주 유급휴가와 휴가비 지원
   -  8세 이하 자녀가 있는 구성에게 최대 4주 (유급 2주, 무급 2주)의 휴가 부여   *법정 육아휴직과 별도 운영
   -  종합검진 패키지 격년으로 지원
   -  MGRV는 아직 성장 중인 스타트업으로, 물리적 Benefit의 규모는 크지 않을 수 있습니다. 하지만 회사와 구성원의 지속가능한 성장과 연결을 꾀하며 우리의 스테이지에 부합한 지원 정책들을 진정성 있게 발전시켜 가겠습니다.","서울 성동구 왕십리로 115, 헤이그라운드 서울숲점 5층 G504",  Coliving에 대한 관심 및 이해도가 높으신 분  레지던스 호텔 운영 경험이 있으신 분 프론트 경력 포함  현장에서 발생하는 다양한 이슈를 차분하게 대응하고 운영 원칙에 따라 신속하게 처리하거나 해결 방안을 찾아가는 역량이 있으신 분  새로운 주거 상품을 시장 및 고객에게 제안하고 설득하는데 즐거움과 가치를 느끼시는 분  다양한 사람들의 입장에서 다름을 인정하고 공감하며 소통할 수 있는 역량을 가지신 분  호텔 업계 프론트 오피스 Reservation 실무 경력이 있으신 분  영어 커뮤니케이션이 가능하신 분  여행이나 다양한 공간을 찾아다니는 것에 관심이 있으신 분,5272
(주)어스빌리지,정규직,"['서비스', '고객응대', '운영관리', '운영 기획']","어스빌리지는 1인가구에게 보다 나은 주거서비스와 생활을
제공하기 위해 ""주거""라는 기본 레이아웃 안에 공간컨텐츠와
온라인 컨테츠를 공유하는 주거 플랫폼 서비스를 제공하고 있습니다.",운영기획신입경력시장 및 소비자 트랜드 조사브랜드 마케팅 전략 관리 및 실행플랫폼 서비스 기획 및 활성화상품 판매 기획 및 운영조직 내외 다양한 이해관계자 협업CS 담당자고객서비스 관리   투어 입퇴실 문의사항 고객응대 등신촌지점 매니저투어어스빌리지 지원 업무   입주민 투어 입실 퇴실어스빌리지 운영   주거시설 어스스페이스 등 프로모션 이벤트 원데이클래스    지원 업무신촌지점매니저운영투어센터 운영 및 관리커뮤니티 시설 운영 및 관리프로모션 이벤트 원데이클래스    지원 업무신촌지점매니저시설투어센터 시설관리커뮤니티 시설관리주거시설 시설관리,"1차 서류심사
2차 면접
3차 합격",,"서울 강남구 언주로 736, 4층",해당 유관 업무 경험자 및 경력자호텔리조트 등해당 유관 업무 경험자 및 경력자건물관리 시설물관리 등해당 관련 전공자외국어 능력 가능자영어일본어 등주거 플랫폼에 관심이 많은 분,5273
(주)에이아이트릭스,정규직,['PR'],, 온오프라인 뉴스 및 매체 모니터링 온드미디어 채널 관리 링크드인 유튜브 홈페이지 블로그 홍보 컨텐츠 발굴 및 국문 보도자료 작성 미디어 네트워크 수립 및 형성 기타 브랜딩커뮤니케이션 프로젝트 참여,,,"서울특별시 강남구 테헤란로218, AP Tower 13층", 언론 커뮤니케이션 등 관련 전공 혹은 1년3년 경력 전문적인 수준의 한글 글쓰기가 가능한 분 헬스케어IT 업계 경험이 있으신 분 기본적인 영어 소통 능력 Reading  Written 다양한 콘텐츠 기획 및 제작 경험,5274
(주)더시그니처,정규직,"['홍보', '언론홍보', 'PR', '커뮤니케이션']","더시그니처는 넷플릭스, 페이스북, 인스타그램, P&G, 루이 비통, 보스턴컨설팅그룹(BCG) 등 세계적인 다국적 기업에 홍보 및 디지털 마케팅 서비스를 제공하는 전문 컨설팅 기업입니다. 변화하는 홍보마케팅 환경을 선도하는 더시그니처에서 컨설턴트로 활동할 인재를 모십니다.",Planning on digital and media communicationsResearchanalysis across diverse sectorsindustriesDevelopment of all forms of contentsDevelopconduct promotional activitiesClientmedia communicationsReport translation monitoring etc,"1차 서류전형 통과자에 한해 개별적으로 통보
2차 면접 시 영어 회화 및 작문 테스트 있음

- 이력서, 자기소개서 (각각 국/영문), MS Word로 작성 (필수) 
- 블로그, 페이스북, 인스타그램 등 개인 SNS 혹은 디지털 커뮤니케이션 활동 이력 (선택) 
- 졸업증명서, 어학 관련 증명 서류 (TOEFL, TOEIC, TEPS등) 1차 합격 후 제출 
","-       정규직 초봉 4,500 만원 (자기개발지원비 200만원 포함)
-	상시 주 3일 재택근무(코로나 무관)
-	시차출퇴근제
-	자기개발비 200만원 지원
-	생일 축하 백화점 상품권, 추석 및 설 명절 선물 (각 10만원 상당)
","서울 중구 무교로 21, 15층",TOEIC score of above 940 or of equivalent test scoreOutstanding communication  interpersonal skillsFluency of English and Korean in both written and verbal formsResearch and analytical skills utilizing resourcesTeam playerResponsible professional and a fast learnerStrong computer skills in Microsoft Office Word Excel Powerpoint,5275
(주)스프링온워드,정규직,"['기획', '홍보', '언론홍보', '포토샵', 'PR', '커뮤니케이션']","■ 우리는 이런 회사, 이런 서비스에요.

스프링온워드는 정보 기술을 활용하여 누구나 더 나은 커피 생활을 즐길 수 있도록 소비자, 판매자, 공급자 모두가 풍요롭게 사는 세상을 꿈꾸고 있어요. 
원두데일리'(ONEDO DAILY)라는 브랜드로 커피원두, 커피머신, 케어서비스를 종합적으로 제공하는 Coffee Solution as Service를 운영하고 있어요. 
오피스를 대상으로 고객사를 한분 한분 모시다 보니 많은 분들께서 저희의 커피를 향한 진심과 제공해드리는 서비스에 담긴 진정성을 알아봐 주신 덕분에 오픈 3년 만에 고객사 수 1,500곳을 돌파하며 대한민국 곳곳을 커피 맛 나는 직장으로 만들어 가고 있답니다. 
앞으로 오피스를 넘어, 커피를 소비하는 어떤 공간이든 더 나은 커피 생활을 즐길 수 있도록 새로운 커피 생태계를 만들고자 합니다.
 



■ 우리는 이런 것을 중요하게 생각해요.

1. RESILIENT - 회복 탄력성 : 넘어지지 않는 것보다, 넘어지더라도 SPRING처럼 다시 일어서는 것이 중요해요.
2. TRANSPARENT - 투명성 : 올바른 업무와 의사결정을 위해 가능한 모든 정보는 투명하게 공유해요.
3. EXCELLENCE - 탁월함 : 개개인이 탁월함을 추구할 때, 서로 의지하며 배울 수 있어요.
4. WIN-WIN : 회사와 직원들, 그리고 우리 서비스를 사용하는 소비자, 판매자, 공급자 모두의 성공을 추구해요.
5. IMMERSION - 몰입 : 항상 높은 목표를 추구하는 만큼, 우리가 가진 모든 역량을 끌어낼 수 있는 몰입이 필요해요.
 



■ 우리는 이런 분을 찾고 있어요.

""ONEDO DAILY""는 맛있는 커피와 우수한 서비스, 그리고 탁월한 동료들 덕분에 공격적인 마케팅이나 영업 활동 없이도 빠르게 성장할 수 있었어요.
이제 ""ONEDO DAILY""는 또 한 번의 도약을 위해 우리의 제품과 서비스를 널리 알려줄 커뮤니케이션 및 홍보담당자를 찾고 있어요. 제품과 서비스가 좋고, 또 함께 일하는 동료들이 탁월한 만큼 커뮤니케이션 및 홍보담당자로서 느낄 수 있는 보람과 성취감은 어디에도 뒤지지 않을 거라 생각해요.
 스프링온워드와 함께 만들어갈 커피산업을 변화시키는 여정에 끌리신다면, 망설이지 말고 지금 바로 지원해 주세요 
", 원두데일리 서비스 및 기업홍보CPR 온오프라인 홍보 커뮤니케이션 전략 수립 및 실행 홍보 기획 보도 자료 작성 및 배포 프레스 행사 기획진행 미디어 관리 기사 스크랩 언론 모니터링 및 리스크 매니지먼트 PR 방향성 협업 및 서포트브랜드 콘텐츠 제작 및 배포,1차. 서류면접  >  2차.실무진 면접  >  3차.임원진 면접  >  최종합격,"- 출퇴근이 편리한 오피스! 23년 9월 새로 이사한 정자역 500m 거리 
 (주소 : 성남시 분당구 정자일로 248 파크뷰오피스타워 15층 1503호)
- 음악이 흐르는 카페에서 일하는 분위기의 사무실이에요
- 점심, 저녁 식사 별도 제공 (법인카드 활용 1만원, 급여 미포함)
- 정기적으로 제공되는 간식들,  유명카페 원두들과 다양한 커피머신으로 얼마든지 원하는 커피를 마셔요.
- 수평적이고 유연한 커뮤니케이션을 위한 상호 영어 닉네임 호칭 
- 정기 타운홀을 통한 구성원간의 상호 커뮤니케이션 및 정보교류 증진 
- 명절 선물 제공
- 경조휴가 및 경조금 지원 
- 외근직의 경우 차량 및 차량지원금 제공
- 스톡옵션 부여 기회 제공
- 최신 사양의 업무용 장비 제공","(본사) 세종시 나성북1로 22, 8층 디펠리체 / (지사) 경기도 성남시 분당구 정자일로 248 파크뷰오피스타워 15층 1503호", PR 대행사 또는 인하우스 PR 담당 경력 23년차 이상 다양한 스타트업 및 산업 전반에 관심과 이해가 있는 분 내부 관계자와 협업 언론과의 소통에 필요한 원활한 커뮤니케이션 역량을 갖춘 분 국문영문 커뮤니케이션 대응 가능하신 분 커피산업을 잘 이해하고 있으신 분 SaaS 플랫폼 분야의 IT 스타트업 업계 근무 경험이 있는 분 기본적인 디자인 편집 역량포토샵이 있는 분 작문 및 기사 작성 능력 우수자 자사 브랜드 채널OwnedMedia을 운영해 본 경험이 있는 분 기존에 시도하지 않았던 새로운 방식으로 콘텐츠를 기획제작하고자 하는 분,5276
(주)선을만나다,정규직,"['홍보기획', '기사작성', '클라이언트', '교육지원', '보도자료 작성', '기자관리']",, 스타트업 홍보를 위한 리서치 및 기획서 작성기자관리와 기자 커뮤니케이션기사피칭 스케줄조율과 메시지 조율보도자료 작성과 배포 팔로우콜클라이언트사 위기관리 모니터링클라이언트사 오피스아워와 교육지원,,"ㆍ자율출퇴근(8시~10시사이)
ㆍ점심식대 제공(1만원)/야근시 동일적용
ㆍ연말 안식휴가(12/24 오후~12/31)
ㆍ장기근속자(3년이상) 포상유급휴가 15일 지급
ㆍ생일 상품권 지급(10만원)
ㆍ명절선물 지급
ㆍ경조사 휴가
ㆍ교육훈련비 지원
ㆍ와부미팅시 경비제공(교통비 및 식음료 전액)
ㆍ인재추천 포상금
ㆍ성과급 및 인센티브","서울 마포구 동교로23길 41, 3층",홍보대행사 또는 인하우스홍보 410년차기자네트워크 클라이언트사 네트워크 보유IT 또는 스타트업 홍보업무 IT와 디지털에 대한 배움의 자세가 있는분유관업무 경력자IT기업또는 스타트업 클라이언트 경험스타트업 관련기관에서 홍보경험 있으신분대행사 경험이 풍부한분IT또는 스타트업 미디어 기자출신스타트업과 에코시스템에 대한 이해도가 있으신분,5277
