회사명,고용 형태,스킬,기업 소개,주요 업무,채용 절차,복리후생,회사위치,자격요건 및 우대사항,index
(주)알세미,정규직,"['java', 'c', 'C++', 'python']","안녕하세요. 저희는 AI 기반 반도체 모델링 소프트웨어를 개발하는 알세미입니다. 많은 관심 부탁드립니다. 
알세미는 SK하이닉스 사내벤처로 분사창업한 5년차 스타트업으로, 인공지능 기술 기반의 반도체 모델링 솔루션을 개발하고 있습니다.
알세미는 기존 기술의 패러다임을 완전히 바꾸어 놓을 새로운 도전을 위해 업계 최고수준의 연구원들과 함께하고 있습니다.

＞ 알세미 창업 스토리 : https://bit.ly/3I1bMEL
＞ 알세미가 궁금하다! : https://bit.ly/31Px33P
＞ 알세미 시리즈A 투자유치 : https://bit.ly/3FG2BHC
＞ 알세미 아기유니콘 선정 : https://bit.ly/3Q4gUOy

최고수준의 연구원들과 함께 하실 분들을 찾고 있습니다", 개발팀 주니어 SW 개발자전문연구요원 글로벌 Toptier 반도체 기업 및 연구기관에 제공할 엔지니어링 솔루션 소프트웨어 개발,"서류 전형 ＞ 전화 인터뷰 ＞ 라이브 코딩테스트 ＞ 온라인 인터뷰 ＞ 대면 인터뷰 ＞ 최종합격
** 포지션의 특성에 따라 인터뷰 순서가 변동/추가/생략 될 수 있습니다","[최고의 업무환경을 만들어가고 있어요!]
 • 최고수준의 연구원들, 가장 훌륭한 팀원들과 함께 시너지를 만들어가고 있습니다
 • 입사시 400만원 한도 내로 업무에 필요한 장비들을 직접 고르세요
 • 매월 제공되는 마일리지를 모아모아 업무환경을 튜닝하세요

[휴식도 업무의 일환이에요!]
 • 집중력이 떨어질 땐.. 라운지에서 자유롭게 쉬면서 일해요
 • 선정릉 관람권 제공! 도심 속 자연과 함께 힐링해요~
 • 탁구장, 헬스장, 노래방 등 편의시설을 자유롭게 이용할 수 있어요

[함께 성장해 나가요!]
• 본인 필요에 따라 학회/세미나/도서를 지원해드려요
• 분기별 팀 활동비 지급! 티타임, 팀 액티비티 등 팀웍을 끌어올리세요 

[자율과 책임감으로 일해요!]
 **코어타임(10:30~15:30)**을 제외하고 자유롭게 출퇴근이 가능해요
• 재택근무는 주 2+@회 가능해요!

[눈치보지 말고 쉬세요!]
• 연차/반차 등 당일에도 휴가를 사용할 수 있어요
• 쉬어야 더 잘 일한다! 기본 연차 받고 특별 휴가 4일 더
• 출산휴가, 배우자 출산휴가 등 각종 경조휴가(+경조금) 제공

[건강이 최고예요!]
• 연1회 건강검진 지원과 함께 1일 유급휴가를 드려요

[끼니는 꼭 챙겨드려요!]
• 식권대장 - 매월 식대를 지급해드려요
• 부득이하게 야근시 저녁 식대도 별도로 지원해드려요
• 다양한 과자/커피/음료 등을 무제한으로 제공해드려요",서울 강남구 봉은사로78길 16, 컴퓨터 과학 또는 관련 공학기술 분야의 석사 이상 학위 취득자 새로운 기술 습득 및 도입에 적극적인 태도 소프트웨어 개발 라이프 사이클에 대한 이해 뛰어난 구두 및 서면 커뮤니케이션 능력 적절한 데이터 구조 및 알고리즘을 사용한 문제 해결 기술 CC JAVA Python 또는 유사한 프로그래밍 언어로 고품질 코드 개발 경험 객체 지향 소프트웨어 설계에 대한 이해 CICD 파이프라인 유지 및 구축 경험 AWS GCP Kubernetes 를 이용한 클라우드 솔루션 구축 경험 머신러닝과 딥러닝에 대한 지식 반도체에 대한 지식,3144
호텔페이토(주),정규직,"['호텔', '객실관리']","HOTEL PEYTO는,
뱅뱅사거리에 위치한 강남점과 삼성역 도심공항 터미널에 위치한 삼성점이 2015년에 오픈 했습니다.
비즈니스 고객 모두를 위한 어반라이프스타일 호텔 (Urban Lifestyle Hotel)로써
고객들의 경제적 니즈를 충족시키고, 기존 비즈니스 호텔과는 차별화된 감성적이면서도 스타일리시한
페이토와 함께 성장 할 열정 있는 직원을 채용하고자 합니다.",HOUSE MAN 사원 주임급,,"지원금/보험
- 건강검진
- 각종 경조사 지원

급여제도
- 퇴직금
- 4대보험

선물
- 명절선물/귀향비

교육/생활
- 구내식당(사원식당)
- 점심식사 제공

리프레시
- 연차
- 경조휴가제","서울특별시 서초구 강남대로 259(서초동, 호텔 페이토)", 학력  무관 경력  신입경력 1년 이상 성별  무관 해당직무 근무경험,5271
(주)어스빌리지,정규직,"['서비스', '고객응대', '운영관리', '운영 기획']","어스빌리지는 1인가구에게 보다 나은 주거서비스와 생활을
제공하기 위해 ""주거""라는 기본 레이아웃 안에 공간컨텐츠와
온라인 컨테츠를 공유하는 주거 플랫폼 서비스를 제공하고 있습니다.",운영기획신입경력시장 및 소비자 트랜드 조사브랜드 마케팅 전략 관리 및 실행플랫폼 서비스 기획 및 활성화상품 판매 기획 및 운영조직 내외 다양한 이해관계자 협업CS 담당자고객서비스 관리   투어 입퇴실 문의사항 고객응대 등신촌지점 매니저투어어스빌리지 지원 업무   입주민 투어 입실 퇴실어스빌리지 운영   주거시설 어스스페이스 등 프로모션 이벤트 원데이클래스    지원 업무신촌지점매니저운영투어센터 운영 및 관리커뮤니티 시설 운영 및 관리프로모션 이벤트 원데이클래스    지원 업무신촌지점매니저시설투어센터 시설관리커뮤니티 시설관리주거시설 시설관리,"1차 서류심사
2차 면접
3차 합격",,"서울 강남구 언주로 736, 4층",해당 유관 업무 경험자 및 경력자호텔리조트 등해당 유관 업무 경험자 및 경력자건물관리 시설물관리 등해당 관련 전공자외국어 능력 가능자영어일본어 등주거 플랫폼에 관심이 많은 분,5273
(주)에이아이트릭스,정규직,['PR'],, 온오프라인 뉴스 및 매체 모니터링 온드미디어 채널 관리 링크드인 유튜브 홈페이지 블로그 홍보 컨텐츠 발굴 및 국문 보도자료 작성 미디어 네트워크 수립 및 형성 기타 브랜딩커뮤니케이션 프로젝트 참여,,,"서울특별시 강남구 테헤란로218, AP Tower 13층", 언론 커뮤니케이션 등 관련 전공 혹은 1년3년 경력 전문적인 수준의 한글 글쓰기가 가능한 분 헬스케어IT 업계 경험이 있으신 분 기본적인 영어 소통 능력 Reading  Written 다양한 콘텐츠 기획 및 제작 경험,5274
(주)프레인글로벌,계약직,"['홍보', '언론홍보', 'PR', '홍보전략', '비즈니스영어']","국내 1위 PR 기업 프레인글로벌은 해외 PR AWARDS에서 대상을 수상한 국내 유일의 PR 전문 기업으로 미국 PROVOKE MEDIA에서 발표한 GLOBAL TOP 250 PR AGENCY RANKING 2023에서 국내 1위, 아시아 7위, 세계 57위에 선정되었습니다.

프레인글로벌은 미디어PR, 디지털 마케팅, IMC, 스포츠 마케팅 광고, 해외 홍보 분야의 전문성을 바탕으로 새로운 도전과 혁신을 통해 PR 산업의 영역을 확장하는 노력을 지속하고 있습니다.", 기업 및 제품의 언론 홍보전략 수립 PR 메시지 기획 보도자료 등 미디어 전달용 자료 작성 미디어 릴레이션십 관리 고객사 및 미디어 커뮤니케이션 업무 수행 데일리 모니터링 및 미디어 환경 분석 보고,,"• Happy Friday (매주 금요일 2시간 조기퇴근)
• 코로나 하이브리드 근무 (주 1회 재택근무)
• 시차출퇴근제
• 사내대출 (주택자금, 학자금, 치료비)
• 자녀학자금 (대학교전액)
• 생일축하 (생일선물, 생일반차)
• 휴가지원사업 (휴가 경비 지원, 휴양지 숙소 제공)
• 경조사 지원 (본인 결혼 200만원 外)
• 명절선물
• 육아보조금 (3년간 매월 지원)
• 단체보험 (실손보험 가입)
• 건강검진 (기본격년, 만 40세 이상 매년, 비용지원, 공가부여)
• 독감백신접종
• 직무교육비 지원
• 미디어구독
• PCG Awards (팀/개인 연말포상)
• 해외 Awards 포상
• 복지포인트 (현금지원)
• Refresh 휴가 (3/5/10년 근속 시)
• 동호회 지원
• 근속포상
• 청년내일채움 공제","서울 중구 칠패로 37, 12층, 14층", 관련 경력 3년 이상 게임을 좋아하고 게임 시장에 대한 이해도가 높으신 분 PR 에이전시 경력이 있으신 분 컨퍼런스콜 및 비즈니스 커뮤니케이션 가능한 영어 실력을 가지신 분,5278
(주)하스,정규직,"['연구개발', '화학', '연구', '국책과제']","HASS & ME, New Frontier and Innovator in Dentistry!
하스의 성장과 발전을 함께 이루어 갈 진취적이고 뜻있는 분들의 많은 관심과 지원을 바랍니다.",치과용 유무기 소재 연구개발국책과제 수행 및 관리기타 연구개발 업무,"서류전형 > 면접전형 > 처우협의 > 최종합격
상기 일정은 변동이 가능하며, 모집분야별로 상이할 수 있습니다.
면접전형 일시는 합격자에 한하여 개별통보 예정입니다.

제출서류
입사지원시: 이력서(희망연봉 필히 기재), 자기소개서
최종합격시: 졸업증명서, 성적증명서, 기타 자격 및 어학 관련 증빙서류 채용(일반)건강진단서","- 4대보험
- 시차출퇴근
- 식대지급
- 휴게실
- 직무능력 향상 교육
- 각종행사 (워크샵, 체육행사, 동호회 등)
- 우수사원 표창 / 포상
- 성과급 운영
- 경조사 지원
- 명절선물
",강원 강릉시 과학단지로 77-14,학력 초대졸 이상경력 경력 무관 재료세라믹화학고분자유기화학화학 관련 전공자 국책과제 수행 경험자,5296
한류뱅크(주),정규직,"['재무', '회계', '재무제표', 'KICPA', 'aicpa', '회계사']","한류뱅크(주)는 2018년 설립된 이래 글로벌 한류 플랫폼 '팬투'를 운영하고 있으며, 나스닥 상장추진을 통해 글로벌 사업부문을 확장하고 있습니다.
서비스, 콘텐츠, 커머스, 플랫폼 사업의 강자로 한류문화 비즈니스의 선도적 역할을 하고 있습니다.

한류는 국내를 넘어서 세계로 무한확장하고 있습니다.
현실에 안주하지 않는 미래를 여는 새로운 비즈니스를 개척할 인재를 모집합니다.
서비스와 콘텐츠, 커머스 및 플랫폼을 아우르는 한류문화의 개척자로 참여해보세요.", US GAAP 미국 일반기업회계기준에 따른 재무제표 및 주석 작성 공인회계사 KICPA AICPA,서류전형 > 면접전형 > 최종합격,"ㆍ사내카페운영, 스낵바, 커피머신
ㆍ중식제공
ㆍ각종 경조사비, 특별 및 여름 휴가 제공
ㆍ교육비 및 도서비 지원
ㆍ내일 채움 공제 등 정부 지원 상ㅂ 신청
ㆍ설, 명절 상품권 지급
ㆍ최신 노트북, 비품, 듀얼 모니터 등 지원
ㆍ자율 복장 및 야근, 회식 강요 NO!
ㆍ대체 휴가 시스템
ㆍ주차 지원","서울특별시 영등포구 국회대로38길 8, 403호 A-164호(당산동3가, 문화빌딩)", 대졸 이상4년 8년 이상차장 부장급 AICPA공인회계사AICPA 자격증 소지자 영어 능통자 우대,5305
(주)업스테이지,정규직,"['회계', '세무', '재무관리', '재무제표']","업스테이지는 AI 기술로 해결할 수 있는 비즈니스 문제들을 풀어갑니다. Making AI Beneficial 이라는 미션 아래, 누구나 AI 기술의 혜택을 누릴 수 있도록 '적용이 쉬운 AI 솔루션'을 만들고 있습니다. 세계 최고 수준의 AI 모델과 그 모델을 지속적으로 관리, 개선, 운영하기 위한 데이터, 학습, 서빙과 관련된 모든 필수 소프트웨어를 하나로 묶은 “AI Pack” 그리고 OCR 및 개인화 기술을 다양한 분야에서 손쉽게 활용할 수 있는 API 시리즈를 출시하여 기업 고객들의 비즈니스 성공에 기여하고 있습니다.

또한 ChatGPT를 적용한 카카오톡 채널 기반 챗봇 '애스크업'(AskUp)을 통해 모바일 사용 경험의 혁신을 이루는 동시에 AI분야에 대한 대중들의 접근성과 신뢰성을 높여가고 있으며, Chat AI 기술을 비즈니스 환경에 맞게 최적화해 기업들의 업무 효율과 생산성을 높일 수 있는 ‘애스크업 비즈’(AskUp Biz)를 운영하는 등 AI가 세상에 이롭게 쓰이게 하기 위해 노력하고 있습니다.",회계 회계 기장 재무제표 작성 법인카드 발급 및 한도 관리 및 정산 매출 발생 구조에 대한 이해 및 정산 회계처리 분석 모니터링 등스톡옵션 회계 처리 등재무 관리 자금 운용 및 관리 자금집행 등 실적 보고나 손익예상 보고 등 각종 보고 투자자 문의 대응 재무 자료 준비세무 원천세 부가세 법인세 등의 신고 및 납부   세무적 이슈에 대한 운영 및 사전 대응 회사의 사업아이템에 대해 회계세무적 이슈 의견 개진,"서류 전형
체크업 세션(Optional)
롤매칭 인터뷰(1차)
롤매칭 인터뷰(2차) - 오프라인 진행
컬처 인터뷰
최종 인터뷰
최종 결과 발표

*절차는 상황에 따라 조정될 수 있으며, 일부 절차는 오프라인으로 진행될 수 있습니다.
*최종 인터뷰 후, 레퍼런스 체크 절차가 진행될 수 있습니다.","- Anywhere On Earth But Together! ‘어디서든’ 함께 일할 수 있습니다.
- 원격 근무에 필요한 장비를 500만원 예산 내에 자유롭게 선택하실 수 있습니다.
- 근무를 위한 카페 이용 시 음료 비용, 스터디룸 혹은 공유오피스 이용 비용 등을 지원해드립니다.
- 업무 관련 소프트웨어, 도서, 자료, 교육수강비 등 성장에 필요한 비용을 지원해드립니다.
- 직장 단체보험 및 연 1회 종합건강검진을 지원해드립니다","경기 용인시 수지구 광교중앙로 338, 에이동 821호(상현동, 광교우미뉴브)", 25년의 재무 관련 경력이 있는 분 관련학과 전공하신 분 자금 법인카드 관리에 대한 경험과 이해가 있는 분 프로세스 수립에 따른 재무 이슈를 검토하고 가이드를 제안할 수 있는 분 엑셀 Notion Slack 등 활용 역량이 우수한 분 외감 대응 경험이 있는 분 스타트업 IT 서비스 업계에 대한 이해가 깊은 분 명확한 커뮤니케이션에 능숙한 분 주도적으로 업무를 수행하고 비효율적인 부분을 개선하고자 하는 의지가 있는 분 투명하고 명확한 회계 기준을 수립하고 운영해보실 분,5306
(주)더파운더즈,정규직,"['재무', '회계', '재무관리', '재무기획', '재무회계', '재무분석', 'FP&A']","더파운더즈는 '글로벌 No.1 브랜드 빌더'라는 목표로 스킨케어 브랜드 '아누아', 반려동물 용품 '프로젝트21', 더마 헤어케어 '프롬랩스', 향수 ‘유즈’까지 현재 4개의 소비재 브랜드를 운영 중이며, 글로벌 10여개국의 많은 고객들에게 사랑받고 있습니다.

많은 사랑을 받은 결과 2017년 창업 이후 연평균 성장률 270%이상을 관철하며 2022년 매출 660억, 올해 매출 1,000억 이상을 목표로 달려가고 있습니다. 이런 급진적인 성장에도 불구하고 영익율 20%* 이상을 지키며, 안정적인 재무환경을 기반으로 외부 투자 간섭 없이, 자주적으로 사업을 전개하고 있습니다.
*국내 소비재 기업 평균 영업이익률 6.5%(2021 전경련 발표)

2022년은 국내외적으로 의미있는 한 해로 올리브영 어워즈 3개 부문 수상 (아누아 토너 1위, 토너패드 3위, 유즈 고체향수 1위), 일본 큐텐 화장수 부문 1위, 4분기 메가와리 매출 기준 누적 1위를 달성하는 성과를 얻었습니다. 더파운더즈는 현재에 안주하지 않고 국내 및 신규 아시아 국가, 북미 시장으로 한 단계 더 높게 도약하고 있습니다. 특히 북미는 런칭 7개월 만에 일매출 1억원, 아마존 토너 카테고리 1위를 달성하며 매주 2배씩 가파르게 성장하고 있습니다.

소비재 대기업, 글로벌 IT 기업(구글, 하이퍼커넥트), VC, PE, 미디어커머스 등 다양한 분야의 탑탤런트들을 포함한 130여명의 팀원들과 함께 글로벌 No.1 Brand builder로 커리어를 도약해보세요!



 ＞  더파운더즈 관련 기사

· 어성초 토너 히트 비결요? 피부에 대한 진심 담아냈기 때문
(https://www.mk.co.kr/news/economy/view/2022/05/463775/)

· 클린 뷰티 브랜드 ‘아누아’, ‘2022 올리브영 어워즈’에서 2관왕 수상
(http://www.gvalley.co.kr/news/articleView.html?idxno=607066)", 회계 자료 validation 및 최종 사업부별 재무실적과 주요 지표 분석 실적 개선을 위한 비즈니스 이니셔티브 발굴 및 유관부서와의 TFPJT 리딩을 통한 임팩트 창출 사업 방향성에 대한 경영진의 재무적 의사결정 지원,서류 -> 1차 면접 -> 2차 면접 -> 보상협의 -> 최종합격,"앞으로 있을 더 많은 가능성을 약속드립니다.

구성원 성장을 지원합니다
- 역량 성장을 위한 도서와 강의를 예산 제한 없이 지원합니다.
일할 ‘맛’ 나는 오피스
- 간식, 커피, 영양제 등을 제공합니다.
불가피한 야근에도 든든하게
- 야근 시 식대와 택시가 지원됩니다.
몸도 마음도 건강하게
- 연 1회 종합건강검진과 유급반차, 심리상담, 본인과 직계가족(반려동물)의 의료비를 지원합니다
탄력적인 연차 사용
- 1시간 단위의 자유로운 연차 사용이 가능합니다.
팀원은 소중하기 때문에
- 꼭 필요로 하는 순간에 사용하실 수 있도록 생일 반차, 상품권, 경조 휴가, 경조 물품, 가족 돌봄 휴가 등을 드립니다. 
함께하는 성장
- 신규 입사자의 소프트랜딩을 위한 버디 제도, 브랜드 간 lesson&learn 쉐어링 세션, 다른 팀 팀원들과의 랜덤런치, 팀 연합 회식 등을 운영합니다.

[근무조건]

근무시간 : 09:30 ~ 18:30 (점심시간 13:00 ~ 14:00)
*입사시 수습계약직 3개월 적용 (급여 100% 지급)","서울특별시 서초구 강남대로 343 (서초동,신덕빌딩) 6,7층", 5년 이상의 유관 경력을 보유하신 분 데이터를 통해 현상과 문제의 원인을 파악하고 재무적 임팩트를 만드는 솔루션을 도출하실 수 있는 분 경영진과 협력하여 비즈니스 전략 수립에 기여한 경험이 있으신 분 탁월한 커뮤니케이션 역량으로 경영진 주요 이해관계자들과 협업을 이끄는 분재무적 인사이트와 솔루션을 이해관계자에게 제안하여 성공적인 재무적 의사결정의 경험이 있으신 분글로벌 소비재 산업에 대한 이해도가 높으신 분,5307
SNT모티브(주),정규직,"['회계', '세무', '회계감사', '회계 사무']",, 세무업무 전반 내부회계관리 총괄 회계감사 및 각종 심사 대응,서류전형 > 면접전형 > 신체검사 > 채용(시용 3개월),"· 명절 귀성비 및 하계 휴가비 지원
· 포상제도 : 장기근속, 제안 포상
· 4대보험, 퇴직연금 가입
· 건강관리 지원 : 본인 및 배우자 건강검진 지원
· 근무복 지급
· 의료비 지원
· 경조사 지원
· 자녀 학자금 지원
· 조/중/석식 지원
· 기숙사 지원
· 회식 시 대리운전비 지원
· 주택자금 지원
· 직장인 보험 가입
· 통근버스 운영",부산 기장군 철마면 여락송정로 363, 학사이상 학력 소지자 대한민국 변호사 또는 공인회계사 자격 보유자 병역필 또는 면제자로서 해외여행에 결격사유가 없는 자 부산거주예정자 우대 국내외 상장기업 관련근무 경력자 우대 취업지원대상자보훈가족 국가유공자 등는 관련법규에 의거 우대,5308
